Paula paula
wreck wreck
. .
This this
was be
heavy heavy
. .
I i
retreated retreat
into into
myself myself
. .
I i
was be
angry angry
. .
I i
felt feel
betrayed betray
. .
And and
I i
guess guess
I i
should should
have have
known know
by by
the the
fact fact
that that
you you
encouraged encourage
me me
to to
be be
a a
Mets met
fan fan
that that
you you
were be
preparing prepare
me me
for for
life life
' '
s s
really really
big big
disappointments disappointment
. .
That that
' '
s s
true true
. .
And and
yet yet
, ,
there there
were be
the the
games game
of of
catch catch
, ,
and and
there there
were be
the the
season season
tickets ticket
and and
bacon bacon
, ,
egg egg
and and
cheese cheese
sandwiches sandwich
every every
Saturday saturday
from from
the the
best good
bagel bagel
place place
on on
Long long
Island island
. .
My my
father father
lived live
this this
life life
he he
didn didn
' '
t t
want want
to to
live live
, ,
but but
he he
lived live
it it
so so
that that
I i
could could
have have
a a
dad dad
. .
I i
stopped stop
wondering wonder
if if
my my
dad dad
had have
ever ever
existed exist
. .
He he
had have
existed exist
— -
willfully willfully
, ,
consciously consciously
, ,
intentionally intentionally
— -
each each
and and
every every
day day
of of
my my
growing grow
up up
. .
For for
that that
, ,
I i
was be
thankful thankful
. .
Paula paula
' '
s s
body body
was be
hers hers
now now
and and
her her
transformation transformation
was be
complete complete
, ,
but but
my my
transformation transformation
was be
just just
beginning begin
. .
I i
had have
another another
trial trial
, ,
another another
journey journey
, ,
another another
choice choice
to to
heed heed
my my
father father
' '
s s
advice advice
and and
continue continue
down down
that that
narrow narrow
path path
. .
PSW psw
: :
So so
most most
days day
I i
believe believe
there there
is be
a a
God god
. .
Tuesdays tuesday
and and
Thursdays thursday
can can
be be
tough tough
, ,
and and
any any
day day
that that
you you
' '
re re
on on
the the
New new
Jersey jersey
Turnpike turnpike
. .
I i
mean mean
, ,
really really
, ,
you you
know know
? ?
It it
' '
s s
hard hard
to to
believe believe
in in
God god
when when
your your
soul soul
is be
in in
the the
wrong wrong
body body
. .
Still still
, ,
somehow somehow
I i
ended end
up up
in in
ministry ministry
. .
When when
I i
lost lose
all all
my my
jobs job
, ,
it it
was be
nothing nothing
personal personal
. .
It it
' '
s s
what what
religious religious
tribes tribe
do do
. .
They they
believe believe
an an
enemy enemy
is be
necessary necessary
for for
the the
tribe tribe
to to
survive survive
, ,
so so
where where
no no
enemy enemy
exists exist
, ,
they they
create create
one one
. .
Right right
now now
, ,
sexual sexual
minorities minority
are be
the the
enemy enemy
; ;
my my
departure departure
was be
swift swift
and and
sure sure
. .
I i
was be
surprised surprise
when when
my my
son son
left leave
his his
job job
teaching teaching
in in
West west
Philadelphia philadelphia
to to
go go
into into
the the
ministry ministry
. .
I i
did do
not not
see see
that that
one one
coming come
. .
And and
now now
I i
wondered wonder
: :
What what
would would
he he
do do
? ?
I i
didn didn
' '
t t
have have
to to
wait wait
that that
long long
to to
find find
an an
answer answer
. .
Six six
months month
after after
that that
first first
visit visit
, ,
he he
invited invite
me me
back back
to to
New new
York york
. .
JW jw
: :
The the
designers designer
of of
the the
Brooklyn brooklyn
Bridge bridge
, ,
they they
had have
their their
share share
of of
bad bad
luck luck
. .
John john
Roebling roebling
, ,
he he
died die
shortly shortly
after after
the the
bridge bridge
' '
s s
construction construction
began begin
. .
His his
son son
Washington washington
took take
over over
, ,
but but
he he
suffered suffer
from from
decompression decompression
sickness sickness
. .
His his
wife wife
Emily emily
became become
the the
surrogate surrogate
executive executive
engineer engineer
who who
oversaw oversee
the the
bridge bridge
' '
s s
completion completion
. .
Father father
and and
son son
, ,
John john
and and
Washington washington
, ,
done do
in in
by by
their their
work work
. .
It it
was be
this this
sunny sunny
day day
in in
May may
and and
my my
father father
and and
I i
sat sit
in in
the the
shadow shadow
of of
that that
Brooklyn brooklyn
Bridge bridge
. .
Would would
our our
lives life
follow follow
the the
Roeblings roeblings
' '
— -
father father
and and
son son
, ,
done do
in in
by by
our our
work work
? ?
My my
father father
thought think
that that
her her
friends friend
in in
church church
would would
carry carry
her her
through through
her her
transition transition
, ,
and and
they they
did do
not not
. .
They they
ditched ditch
her her
and and
they they
clung cling
to to
me me
. .
I i
was be
the the
pastor pastor
of of
a a
new new
church church
in in
Brooklyn brooklyn
. .
This this
wonderful wonderful
group group
of of
forward-thinking forward-thinking
people people
, ,
and and
yet yet
, ,
we we
were be
financially financially
tied tie
to to
really really
conservative conservative
churches church
. .
To to
hold hold
space space
for for
Paula paula
meant mean
jeopardizing jeopardize
our our
own own
church church
' '
s s
livelihood livelihood
. .
I i
sort sort
of of
straddled straddle
the the
line line
between between
these these
warring war
worlds world
. .
So so
I i
said say
to to
my my
dad dad
, ,
" "
Dad dad
, ,
I i
still still
live live
and and
work work
in in
your your
old old
world world
. .
Is be
it it
possible possible
that that
you you
might might
extend extend
an an
olive olive
branch branch
for for
my my
sake sake
? ?
" "
And and
her her
response response
was be
impassioned impassion
. .
You you
said say
to to
me me
, ,
" "
Do do
you you
have have
any any
idea idea
what what
it it
feels feel
like like
to to
finally finally
show show
yourself yourself
to to
your your
true true
friends friend
and and
have have
them them
completely completely
reject reject
you you
? ?
To to
ask ask
you you
to to
live live
a a
lie lie
? ?
Do do
you you
know know
what what
that that
feels feel
like like
? ?
" "
And and
I i
didn didn
' '
t t
know know
what what
that that
felt feel
like like
. .
But but
I i
knew know
I i
had have
a a
decision decision
to to
make make
. .
It it
was be
the the
decision decision
to to
continue continue
down down
that that
narrow narrow
path path
through through
nights night
, ,
but but
for for
the the
first first
time time
, ,
I i
caught catch
a a
glimpse glimpse
of of
light light
. .
I i
cannot can
ask ask
my my
father father
to to
be be
anything anything
other other
than than
her her
true true
self self
. .
PSW psw
: :
So so
as as
we we
sat sit
by by
the the
river river
that that
day day
, ,
Jonathan jonathan
talked talk
about about
his his
pain pain
, ,
his his
suffering suffering
, ,
his his
grief grief
, ,
his his
confusion confusion
. .
He he
brought bring
all all
of of
himself himself
to to
that that
conversation conversation
, ,
and and
it it
tore tear
at at
me me
to to
be be
the the
cause cause
of of
such such
pain pain
. .
But but
as as
he he
talked talk
, ,
there there
was be
something something
redemptive redemptive
going go
on on
, ,
full full
of of
tension tension
but but
possibility possibility
, ,
grounded ground
in in
that that
narrow narrow
path path
. .
He he
said say
, ,
" "
This this
is be
always always
going go
to to
be be
hard hard
. .
It it
always always
will will
be be
. .
But but
Dad dad
, ,
I i
love love
you you
. .
" "
My my
son son
is be
the the
best good
of of
me me
and and
more more
. .
He he
' '
s s
bold bold
and and
strong strong
, ,
sensitive sensitive
and and
thoughtful thoughtful
. .
I i
guess guess
you you
could could
say say
, ,
he he
' '
s s
an an
alpha alpha
male male
who who
' '
s s
gentle gentle
. .
JW jw
: :
It it
was be
time time
for for
my my
daughters daughter
to to
meet meet
their their
— -
Paula paula
. .
We we
went go
back back
to to
my my
apartment apartment
, ,
and and
my my
daughters daughter
were be
coloring color
at at
the the
dining dining
room room
table table
, ,
and and
there there
was be
this this
awkward awkward
silence silence
. .
And and
finally finally
, ,
my my
youngest young
asked ask
a a
single single
, ,
confident confident
question question
. .
" "
So so
, ,
Grandpa grandpa
, ,
do do
you you
have have
a a
penis penis
? ?
" "
And and
after after
the the
tension tension
abated abate
and and
the the
laughter laughter
subsided subside
, ,
my my
girls girl
took take
their their
grandpa grandpa
back back
into into
their their
room room
and and
showed show
her her
their their
new new
toys toy
, ,
and and
they they
christened christen
her her
with with
a a
new new
name name
. .
They they
called call
her her
" "
GrandPaula grandpaula
. .
" "
PSW psw
: :
So so
this this
past past
summer summer
, ,
I i
had have
all all
five five
of of
my my
granddaughters granddaughter
at at
my my
home home
, ,
there there
in in
the the
foothills foothill
of of
the the
Rocky rocky
Mountains mountains
. .
We we
went go
swimming swim
in in
the the
cool cool
waters water
of of
the the
river river
that that
flows flow
through through
our our
little little
town town
. .
And and
one one
day day
, ,
one one
of of
Jonathan jonathan
' '
s s
girls girl
said say
to to
me me
, ,
" "
GrandPaula grandpaula
, ,
can can
we we
go go
tubing tubing
on on
the the
river river
? ?
" "
And and
I i
said say
, ,
" "
Well well
, ,
you you
know know
, ,
I i
' '
d d
really really
wait wait
until until
your your
daddy daddy
gets get
here here
for for
that that
. .
That that
feels feel
to to
me me
like like
that that
ought ought
to to
be be
his his
call call
. .
" "
And and
she she
said say
, ,
" "
Oh oh
, ,
but but
GrandPaula grandpaula
, ,
he he
' '
ll ll
exactly exactly
make make
the the
same same
decision decision
you you
would would
. .
He he
' '
s s
a a
lot lot
like like
you you
, ,
you you
know know
. .
" "
And and
I i
thought think
, ,
yeah yeah
, ,
he he
is be
a a
lot lot
like like
me me
, ,
both both
of of
us us
determined determine
to to
find find
the the
narrow narrow
path path
and and
follow follow
it it
through through
the the
long long
, ,
dark dark
night night
, ,
all all
the the
way way
to to
the the
light light
of of
dawn dawn
. .
JW jw
: :
Have have
you you
ever ever
noticed notice
that that
a a
child child
who who
is be
secure secure
, ,
a a
child child
who who
knows know
love love
, ,
that that
child child
will will
dance dance
? ?
They they
wave wave
their their
arms arm
, ,
they they
kick kick
their their
legs leg
to to
music music
that that
only only
they they
can can
hear hear
. .
It it
' '
s s
the the
music music
of of
a a
child child
who who
is be
safe safe
and and
unharmed unharmed
and and
wholly wholly
loved love
. .
The the
day day
after after
my my
children child
met meet
their their
GrandPaula grandpaula
, ,
she she
took take
them them
to to
go go
get get
doughnuts doughnut
, ,
and and
I i
watched watch
as as
they they
walked walk
down down
the the
street street
, ,
and and
my my
girls girl
took take
my my
father father
' '
s s
arms arm
, ,
and and
they they
danced dance
. .
My my
father father
' '
s s
arms arm
swung swing
wildly wildly
. .
You you
bought buy
them them
one one
too too
many many
doughnuts doughnut
, ,
because because
you you
always always
do do
— -
I i
watched watch
my my
older old
daughter daughter
take take
a a
bite bite
of of
her her
doughnut doughnut
, ,
and and
she she
unleashed unleash
two two
jumps jump
and and
a a
twirl twirl
. .
It it
was be
perfect perfect
. .
That that
narrow narrow
path path
, ,
it it
always always
has have
its its
share share
of of
burdens burden
and and
challenges challenge
. .
But but
I i
was be
certain certain
that that
we we
were be
going go
to to
see see
this this
through through
to to
redemption redemption
. .
I i
looked look
at at
my my
dad dad
and and
I i
looked look
at at
my my
girls girl
who who
were be
dancing dance
and and
eating eat
their their
doughnuts doughnut
, ,
and and
I i
said say
aloud aloud
to to
no no
one one
in in
particular particular
, ,
I i
said say
, ,
" "
This this
. .
. .
. .
this this
is be
how how
God god
sees see
my my
dad dad
. .
" "
My my
father father
was be
literally literally
born bear
again again
. .
And and
by by
choosing choose
the the
narrow narrow
path path
of of
redemption redemption
, ,
I i
was be
born bear
again again
with with
her her
. .
Thank thank
you you
. .
