Well well
the the
stars star
for for
Kepler kepler
are be
just just
points point
of of
light light
. .
But but
we we
learn learn
a a
lot lot
from from
that that
: :
not not
only only
that that
there there
is be
a a
planet planet
there there
, ,
but but
we we
also also
learn learn
its its
size size
. .
How how
much much
of of
the the
light light
is be
being be
dimmed dim
depends depend
on on
how how
big big
the the
planet planet
is be
. .
We we
learn learn
about about
its its
orbit orbit
, ,
the the
period period
of of
its its
orbit orbit
and and
so so
on on
. .
So so
, ,
what what
have have
we we
learned learn
? ?
Well well
, ,
let let
me me
try try
to to
walk walk
you you
through through
what what
we we
actually actually
see see
and and
so so
you you
understand understand
the the
news news
that that
I i
' '
m m
here here
to to
tell tell
you you
today today
. .
What what
Kepler kepler
does do
is be
discover discover
a a
lot lot
of of
candidates candidate
, ,
which which
we we
then then
follow follow
up up
and and
find find
as as
planets planet
, ,
confirm confirm
as as
planets planet
. .
It it
basically basically
tells tell
us us
this this
is be
the the
distribution distribution
of of
planets planet
in in
size size
. .
There there
are be
small small
planets planet
, ,
there there
are be
bigger big
planets planet
, ,
there there
are be
big big
planets planet
, ,
okay okay
. .
So so
we we
count count
many many
, ,
many many
such such
planets planet
, ,
and and
they they
have have
different different
sizes size
. .
We we
do do
that that
in in
our our
solar solar
system system
. .
In in
fact fact
, ,
even even
back back
during during
the the
ancients ancient
, ,
the the
Solar solar
System system
in in
that that
sense sense
would would
look look
on on
a a
diagram diagram
like like
this this
. .
There there
will will
be be
the the
smaller small
planets planet
, ,
and and
there there
will will
be be
the the
big big
planets planet
, ,
even even
back back
to to
the the
time time
of of
Epicurus epicurus
and and
then then
of of
course course
Copernicus copernicus
and and
his his
followers follower
. .
Up up
until until
recently recently
, ,
that that
was be
the the
Solar solar
System system
â â
four four
Earth-like earth-like
planets planet
with with
small small
radius radius
, ,
smaller small
than than
about about
two two
times time
the the
size size
of of
the the
Earth earth
â â
and and
that that
was be
of of
course course
Mercury mercury
, ,
Venus venus
, ,
Mars mars
, ,
and and
of of
course course
the the
Earth earth
, ,
and and
then then
the the
two two
big big
, ,
giant giant
planets planet
. .
Then then
the the
Copernican copernican
Revolution revolution
brought bring
in in
telescopes telescope
, ,
and and
of of
course course
three three
more more
planets planet
were be
discovered discover
. .
Now now
the the
total total
planet planet
number number
in in
our our
solar solar
system system
was be
nine nine
. .
The the
small small
planets planet
dominated dominate
, ,
and and
there there
was be
a a
certain certain
harmony harmony
to to
that that
, ,
which which
actually actually
Copernicus copernicus
was be
very very
happy happy
to to
note note
, ,
and and
Kepler kepler
was be
one one
of of
the the
big big
proponents proponent
of of
. .
So so
now now
we we
have have
Pluto pluto
to to
join join
the the
numbers number
of of
small small
planets planet
. .
But but
up up
until until
, ,
literally literally
, ,
15 @card@
years year
ago ago
, ,
that that
was be
all all
we we
knew know
about about
planets planet
. .
And and
that that
' '
s s
what what
the the
frustration frustration
was be
. .
The the
Copernican copernican
dream dream
was be
unfulfilled unfulfilled
. .
Finally finally
, ,
15 @card@
years year
ago ago
, ,
the the
technology technology
came come
to to
the the
point point
where where
we we
could could
discover discover
a a
planet planet
around around
another another
star star
, ,
and and
we we
actually actually
did do
pretty pretty
well well
. .
In in
the the
next next
15 @card@
years year
, ,
almost almost
500 @card@
planets planet
were be
discovered discover
orbiting orbit
other other
stars star
, ,
with with
different different
methods method
. .
Unfortunately unfortunately
, ,
as as
you you
can can
see see
, ,
there there
was be
a a
very very
different different
picture picture
. .
There there
was be
of of
course course
an an
explanation explanation
for for
it it
: :
We we
only only
see see
the the
big big
planets planet
, ,
so so
that that
' '
s s
why why
most most
of of
those those
planets planet
are be
really really
in in
the the
category category
of of
" "
like like
Jupiter jupiter
. .
" "
But but
you you
see see
, ,
we we
haven haven
' '
t t
gone go
very very
far far
. .
We we
were be
still still
back back
where where
Copernicus copernicus
was be
. .
We we
didn didn
' '
t t
have have
any any
evidence evidence
whether whether
planets planet
like like
the the
Earth earth
are be
out out
there there
. .
And and
we we
do do
care care
about about
planets planet
like like
the the
Earth earth
because because
by by
now now
we we
understood understand
that that
life life
as as
a a
chemical chemical
system system
really really
needs need
a a
smaller small
planet planet
with with
water water
and and
with with
rocks rock
and and
with with
a a
lot lot
of of
complex complex
chemistry chemistry
to to
originate originate
, ,
to to
emerge emerge
, ,
to to
survive survive
. .
And and
we we
didn didn
' '
t t
have have
the the
evidence evidence
for for
that that
. .
So so
today today
, ,
I i
' '
m m
here here
to to
actually actually
give give
you you
a a
first first
glimpse glimpse
of of
what what
the the
new new
telescope telescope
, ,
Kepler kepler
, ,
has have
been be
able able
to to
tell tell
us us
in in
the the
last last
few few
weeks week
, ,
and and
, ,
lo lo
and and
behold behold
, ,
we we
are be
back back
to to
the the
harmony harmony
and and
to to
fulfilling fulfill
the the
dreams dream
of of
Copernicus copernicus
. .
You you
can can
see see
here here
, ,
the the
small small
planets planet
dominate dominate
the the
picture picture
. .
The the
planets planet
which which
are be
marked mark
" "
like like
Earth earth
, ,
" "
[ [
are be
] ]
definitely definitely
more more
than than
any any
other other
planets planet
that that
we we
see see
. .
And and
now now
for for
the the
first first
time time
, ,
we we
can can
say say
that that
. .
There there
is be
a a
lot lot
more more
work work
we we
need need
to to
do do
with with
this this
. .
Most most
of of
these these
are be
candidates candidate
. .
In in
the the
next next
few few
years year
we we
will will
confirm confirm
them them
. .
But but
the the
statistical statistical
result result
is be
loud loud
and and
clear clear
. .
And and
the the
statistical statistical
result result
is be
that that
planets planet
like like
our our
own own
Earth earth
are be
out out
there there
. .
Our our
own own
Milky milky
Way way
Galaxy galaxy
is be
rich rich
in in
this this
kind kind
of of
planets planet
. .
So so
the the
question question
is be
: :
what what
do do
we we
do do
next next
? ?
Well well
, ,
first first
of of
all all
, ,
we we
can can
study study
them them
now now
that that
we we
know know
where where
they they
are be
. .
And and
we we
can can
find find
those those
that that
we we
would would
call call
habitable habitable
, ,
meaning mean
that that
they they
have have
similar similar
conditions condition
to to
the the
conditions condition
that that
we we
experience experience
here here
on on
Earth earth
and and
where where
a a
lot lot
of of
complex complex
chemistry chemistry
can can
happen happen
. .
So so
, ,
we we
can can
even even
put put
a a
number number
to to
how how
many many
of of
those those
planets planet
now now
do do
we we
expect expect
our our
own own
Milky milky
Way way
Galaxy galaxy
harbors harbor
. .
And and
the the
number number
, ,
as as
you you
might might
expect expect
, ,
is be
pretty pretty
staggering staggering
. .
It it
' '
s s
about about
100 @card@
million million
such such
planets planet
. .
That that
' '
s s
great great
news news
. .
Why why
? ?
Because because
with with
our our
own own
little little
telescope telescope
, ,
just just
in in
the the
next next
two two
years year
, ,
we we
' '
ll ll
be be
able able
to to
identify identify
at at
least least
60 @card@
of of
them them
. .
So so
that that
' '
s s
great great
because because
then then
we we
can can
go go
and and
study study
them them
â â
remotely remotely
, ,
of of
course course
â â
with with
all all
the the
techniques technique
that that
we we
already already
have have
tested test
in in
the the
past past
five five
years year
. .
We we
can can
find find
what what
they they
' '
re re
made make
of of
, ,
would would
their their
atmospheres atmosphere
have have
water water
, ,
carbon carbon
dioxide dioxide
, ,
methane methane
. .
We we
know know
and and
expect expect
that that
we we
' '
ll ll
see see
that that
. .
That that
' '
s s
great great
, ,
but but
that that
is be
not not
the the
whole whole
news news
. .
That that
' '
s s
not not
why why
I i
' '
m m
here here
. .
Why why
I i
' '
m m
here here
is be
to to
tell tell
you you
that that
the the
next next
step step
is be
really really
the the
exciting exciting
part part
. .
The the
one one
that that
this this
step step
is be
enabling enable
us us
to to
do do
is be
coming come
next next
. .
And and
here here
comes come
biology biology
â â
biology biology
, ,
with with
its its
basic basic
question question
, ,
which which
still still
stands stand
unanswered unanswered
, ,
which which
is be
essentially essentially
: :
" "
If if
there there
is be
life life
on on
other other
planets planet
, ,
do do
we we
expect expect
it it
to to
be be
like like
life life
on on
Earth earth
? ?
" "
And and
let let
me me
immediately immediately
tell tell
you you
here here
, ,
when when
I i
say say
life life
, ,
I i
don don
' '
t t
mean mean
" "
dolce dolce
vita vita
, ,
" "
good good
life life
, ,
human human
life life
. .
I i
really really
mean mean
life life
on on
Earth earth
, ,
past past
and and
present present
, ,
from from
microbes microbe
to to
us us
humans human
, ,
in in
its its
rich rich
molecular molecular
diversity diversity
, ,
the the
way way
we we
now now
understand understand
life life
on on
Earth earth
as as
being be
a a
set set
of of
molecules molecule
and and
chemical chemical
reactions reaction
â â
and and
we we
call call
that that
, ,
collectively collectively
, ,
biochemistry biochemistry
, ,
life life
as as
a a
chemical chemical
process process
, ,
as as
a a
chemical chemical
phenomenon phenomenon
. .
So so
the the
question question
is be
: :
is be
that that
chemical chemical
phenomenon phenomenon
universal universal
, ,
or or
is be
it it
something something
which which
depends depend
on on
the the
planet planet
? ?
Is be
it it
like like
gravity gravity
, ,
which which
is be
the the
same same
everywhere everywhere
in in
the the
universe universe
, ,
or or
there there
would would
be be
all all
kinds kind
of of
different different
biochemistries biochemistry
wherever wherever
we we
find find
them them
? ?
We we
need need
to to
know know
what what
we we
are be
looking look
for for
when when
we we
try try
to to
do do
that that
. .
And and
that that
' '
s s
a a
very very
basic basic
question question
, ,
which which
we we
don don
' '
t t
know know
the the
answer answer
to to
, ,
but but
which which
we we
can can
try try
â â
and and
we we
are be
trying try
â â
to to
answer answer
in in
the the
lab lab
. .
We we
don don
' '
t t
need need
to to
go go
to to
space space
to to
answer answer
that that
question question
. .
And and
so so
, ,
that that
' '
s s
what what
we we
are be
trying try
to to
do do
. .
And and
that that
' '
s s
what what
many many
people people
now now
are be
trying try
to to
do do
. .
And and
a a
lot lot
of of
the the
good good
news news
comes come
from from
that that
part part
of of
the the
bridge bridge
that that
we we
are be
trying try
to to
build build
as as
well well
. .
So so
this this
is be
one one
example example
that that
I i
want want
to to
show show
you you
here here
. .
When when
we we
think think
of of
what what
is be
necessary necessary
for for
the the
phenomenon phenomenon
that that
we we
call call
life life
, ,
we we
think think
of of
compartmentalization compartmentalization
, ,
keeping keep
the the
molecules molecule
which which
are be
important important
for for
life life
in in
a a
membrane membrane
, ,
isolated isolate
from from
the the
rest rest
of of
the the
environment environment
, ,
but but
yet yet
, ,
in in
an an
environment environment
in in
which which
they they
actually actually
could could
originate originate
together together
. .
And and
in in
one one
of of
our our
labs lab
, ,
Jack jack
Szostak szostak
' '
s s
labs lab
, ,
it it
was be
a a
series series
of of
experiments experiment
in in
the the
last last
four four
years year
that that
showed show
that that
the the
environments environment
â â
which which
are be
very very
common common
on on
planets planet
, ,
on on
certain certain
types type
of of
planets planet
like like
the the
Earth earth
, ,
where where
you you
have have
some some
liquid liquid
water water
and and
some some
clays clay
â â
you you
actually actually
end end
up up
with with
naturally naturally
available available
molecules molecule
which which
spontaneously spontaneously
form form
bubbles bubble
. .
But but
those those
bubbles bubble
have have
membranes membrane
very very
similar similar
to to
the the
membrane membrane
of of
every every
cell cell
of of
every every
living live
thing thing
on on
Earth earth
looks look
like like
, ,
like like
this this
. .
And and
they they
really really
help help
molecules molecule
, ,
like like
nucleic nucleic
acids acid
, ,
like like
RNA rna
and and
DNA dna
, ,
stay stay
inside inside
, ,
develop develop
, ,
change change
, ,
divide divide
and and
do do
some some
of of
the the
processes process
that that
we we
call call
life life
. .
Now now
this this
is be
just just
an an
example example
to to
tell tell
you you
the the
pathway pathway
in in
which which
we we
are be
trying try
to to
answer answer
that that
bigger big
question question
about about
the the
universality universality
of of
the the
phenomenon phenomenon
. .
And and
in in
a a
sense sense
, ,
you you
can can
think think
of of
that that
work work
that that
people people
are be
starting start
to to
do do
now now
around around
the the
world world
as as
building build
a a
bridge bridge
, ,
building build
a a
bridge bridge
from from
two two
sides side
of of
the the
river river
. .
On on
one one
hand hand
, ,
on on
the the
left leave
bank bank
of of
the the
river river
, ,
are be
the the
people people
like like
me me
who who
study study
those those
planets planet
and and
try try
to to
define define
the the
environments environment
. .
We we
don don
' '
t t
want want
to to
go go
blind blind
because because
there there
' '
s s
too too
many many
possibilities possibility
, ,
and and
there there
is be
not not
too too
much much
lab lab
, ,
and and
there there
is be
not not
enough enough
human human
time time
to to
actually actually
to to
do do
all all
the the
experiments experiment
. .
So so
that that
' '
s s
what what
we we
are be
building build
from from
the the
left leave
side side
of of
the the
river river
. .
From from
the the
right right
bank bank
of of
the the
river river
are be
the the
experiments experiment
in in
the the
lab lab
that that
I i
just just
showed show
you you
, ,
where where
we we
actually actually
tried try
that that
, ,
and and
it it
feeds feed
back back
and and
forth forth
, ,
and and
we we
hope hope
to to
meet meet
in in
the the
middle middle
one one
day day
. .
So so
why why
should should
you you
care care
about about
that that
? ?
Why why
am be
I i
trying try
to to
sell sell
you you
a a
half-built half-built
bridge bridge
? ?
Am be
I i
that that
charming charm
? ?
Well well
, ,
there there
are be
many many
reasons reason
, ,
and and
you you
heard hear
some some
of of
them them
in in
the the
short short
talk talk
today today
. .
This this
understanding understanding
of of
chemistry chemistry
actually actually
can can
help help
us us
with with
our our
daily daily
lives life
. .
But but
there there
is be
something something
more more
profound profound
here here
, ,
something something
deeper deeper
. .
And and
that that
deeper deep
, ,
underlying underlie
point point
is be
that that
science science
is be
in in
the the
process process
of of
redefining redefin
life life
as as
we we
know know
it it
. .
And and
that that
is be
going go
to to
change change
our our
worldview worldview
in in
a a
profound profound
way way
â â
not not
in in
a a
dissimilar dissimilar
way way
as as
400 @card@
years year
ago ago
, ,
Copernicus copernicus
' '
act act
did do
, ,
by by
changing change
the the
way way
we we
view view
space space
and and
time time
. .
Now now
it it
' '
s s
about about
something something
else else
, ,
but but
it it
' '
s s
equally equally
profound profound
. .
And and
half half
the the
time time
, ,
what what
' '
s s
happened happen
is be
it it
' '
s s
related relate
this this
kind kind
of of
sense sense
of of
insignificance insignificance
to to
humankind humankind
, ,
to to
the the
Earth earth
in in
a a
bigger big
space space
. .
And and
the the
more more
we we
learn learn
, ,
the the
more more
that that
was be
reinforced reinforce
. .
You you
' '
ve ve
all all
learned learn
that that
in in
school school
â â
how how
small small
the the
Earth earth
is be
compared compare
to to
the the
immense immense
universe universe
. .
And and
the the
bigger big
the the
telescope telescope
, ,
the the
bigger big
that that
universe universe
becomes become
. .
And and
look look
at at
this this
image image
of of
the the
tiny tiny
, ,
blue blue
dot dot
. .
This this
pixel pixel
is be
the the
Earth earth
. .
It it
is be
the the
Earth earth
as as
we we
know know
it it
. .
It it
is be
seen see
from from
, ,
in in
this this
case case
, ,
from from
outside outside
the the
orbit orbit
of of
Saturn saturn
. .
But but
it it
' '
s s
really really
tiny tiny
. .
We we
know know
that that
. .
Let let
' '
s s
think think
of of
life life
as as
that that
entire entire
planet planet
because because
, ,
in in
a a
sense sense
, ,
it it
is be
. .
The the
biosphere biosphere
is be
the the
size size
of of
the the
Earth earth
. .
Life life
on on
Earth earth
is be
the the
size size
of of
the the
Earth earth
. .
And and
let let
' '
s s
compare compare
it it
to to
the the
rest rest
of of
the the
world world
in in
spatial spatial
terms term
. .
What what
if if
that that
Copernican copernican
insignificance insignificance
was be
actually actually
all all
wrong wrong
? ?
Would would
that that
make make
us us
more more
responsible responsible
for for
what what
is be
happening happen
today today
? ?
Let let
' '
s s
actually actually
try try
that that
. .
So so
in in
space space
, ,
the the
Earth earth
is be
very very
small small
. .
Can can
you you
imagine imagine
how how
small small
it it
is be
? ?
Let let
me me
try try
it it
. .
Okay okay
, ,
let let
' '
s s
say say
this this
is be
the the
size size
of of
the the
observable observable
universe universe
, ,
with with
all all
the the
galaxies galaxy
, ,
with with
all all
the the
stars star
, ,
okay okay
, ,
from from
here here
to to
here here
. .
Do do
you you
know know
what what
the the
size size
of of
life life
in in
this this
necktie necktie
will will
be be
? ?
It it
will will
be be
the the
size size
of of
a a
single single
, ,
small small
atom atom
. .
It it
is be
unimaginably unimaginably
small small
. .
We we
can can
' '
t t
imagine imagine
it it
. .
I i
mean mean
look look
, ,
you you
can can
see see
the the
necktie necktie
, ,
but but
you you
can can
' '
t t
even even
imagine imagine
seeing see
the the
size size
of of
a a
little little
, ,
small small
atom atom
. .
But but
that that
' '
s s
not not
the the
whole whole
story story
, ,
you you
see see
. .
The the
universe universe
and and
life life
are be
both both
in in
space space
and and
time time
. .
If if
that that
was be
the the
age age
of of
the the
universe universe
, ,
then then
this this
is be
the the
age age
of of
life life
on on
Earth earth
. .
Think think
about about
those those
oldest old
living living
things thing
on on
Earth earth
, ,
but but
in in
a a
cosmic cosmic
proportion proportion
. .
This this
is be
not not
insignificant insignificant
. .
This this
is be
very very
significant significant
. .
So so
life life
might might
be be
insignificant insignificant
in in
size size
, ,
but but
it it
is be
not not
insignificant insignificant
in in
time time
. .
Life life
and and
the the
universe universe
compare compare
to to
each each
other other
like like
a a
child child
and and
a a
parent parent
, ,
parent parent
and and
offspring offspring
. .
So so
what what
does do
this this
tell tell
us us
? ?
This this
tells tell
us us
that that
that that
insignificance insignificance
paradigm paradigm
that that
we we
somehow somehow
got get
to to
learn learn
from from
the the
Copernican copernican
principle principle
, ,
it it
' '
s s
all all
wrong wrong
. .
There there
is be
immense immense
, ,
powerful powerful
potential potential
in in
life life
in in
this this
universe universe
â â
especially especially
now now
that that
we we
know know
that that
places place
like like
the the
Earth earth
are be
common common
. .
And and
that that
potential potential
, ,
that that
powerful powerful
potential potential
, ,
is be
also also
our our
potential potential
, ,
of of
you you
and and
me me
. .
And and
if if
we we
are be
to to
be be
stewards steward
of of
our our
planet planet
Earth earth
and and
its its
biosphere biosphere
, ,
we we
' '
d d
better well
understand understand
the the
cosmic cosmic
significance significance
and and
do do
something something
about about
it it
. .
And and
the the
good good
news news
is be
we we
can can
actually actually
, ,
indeed indeed
do do
it it
. .
And and
let let
' '
s s
do do
it it
. .
Let let
' '
s s
start start
this this
new new
revolution revolution
at at
the the
tail tail
end end
of of
the the
old old
one one
, ,
with with
synthetic synthetic
biology biology
being be
the the
way way
to to
transform transform
both both
our our
environment environment
and and
our our
future future
. .
And and
let let
' '
s s
hope hope
that that
we we
can can
build build
this this
bridge bridge
together together
and and
meet meet
in in
the the
middle middle
. .
Thank thank
you you
very very
much much
. .
