Anyone anyone
And and
it it
uses use
this this
dexterity dexterity
to to
bypass bypass
the the
vagina vagina
altogether altogether
and and
deposit deposit
sperm sperm
directly directly
into into
the the
female female
' '
s s
uterus uterus
, ,
not not
to to
mention mention
it it
' '
s s
a a
pretty pretty
good good
size size
. .
The the
biggest big
penis penis
in in
the the
animal animal
kingdom kingdom
, ,
however however
, ,
is be
not not
that that
of of
the the
tapir tapir
. .
The the
biggest big
penis-to-body-size penis-to-body-size
ratio ratio
in in
the the
animal animal
kingdom kingdom
actually actually
belongs belong
to to
the the
meager meager
beach beach
barnacle barnacle
, ,
and and
this this
video video
is be
actually actually
showing show
you you
what what
the the
human human
penis penis
would would
look look
like like
if if
it it
were be
the the
same same
size size
as as
that that
of of
a a
barnacle barnacle
. .
Mm-hm mm-hm
. .
So so
with with
all all
of of
this this
diversity diversity
in in
structure structure
, ,
one one
might might
think think
, ,
then then
, ,
that that
penises penis
are be
fitting fit
neatly neatly
into into
vaginas vagina
all all
over over
the the
place place
for for
the the
purposes purpose
of of
successful successful
reproduction reproduction
. .
Simply simply
insert insert
part part
A a
into into
slot slot
B b
, ,
and and
we we
should should
all all
be be
good good
to to
go go
. .
But but
of of
course course
, ,
that that
doesn doesn
' '
t t
exactly exactly
happen happen
, ,
and and
that that
' '
s s
because because
we we
can can
' '
t t
just just
take take
form form
into into
account account
. .
We we
have have
to to
think think
about about
function function
as as
well well
, ,
and and
when when
it it
comes come
to to
sex sex
, ,
function function
relates relate
to to
the the
contributions contribution
made make
by by
the the
gametes gamete
, ,
or or
the the
sperm sperm
and and
the the
eggs egg
. .
And and
these these
contributions contribution
are be
far far
from from
equal equal
. .
Eggs egg
are be
very very
expensive expensive
to to
make make
, ,
so so
it it
makes make
sense sense
for for
females female
to to
be be
very very
choosy choosy
about about
who who
she she
shares share
them them
with with
. .
Sperm sperm
, ,
on on
the the
other other
hand hand
, ,
is be
abundant abundant
and and
cheap cheap
, ,
so so
it it
makes make
more more
sense sense
for for
males male
to to
have have
a a
more-sex-is-better more-sex-is-better
strategy strategy
when when
it it
comes come
to to
siring sire
members member
of of
future future
generations generation
. .
So so
how how
do do
animals animal
cope cope
with with
these these
very very
incongruent incongruent
needs need
between between
the the
sexes sex
? ?
I i
mean mean
, ,
if if
a a
female female
doesn doesn
' '
t t
choose choose
a a
particular particular
male male
, ,
or or
if if
she she
has have
the the
ability ability
to to
store store
sperm sperm
and and
she she
simply simply
has have
enough enough
, ,
then then
it it
makes make
more more
sense sense
for for
her her
to to
spend spend
her her
time time
doing do
other other
biologically biologically
relevant relevant
things thing
: :
avoiding avoid
predators predator
, ,
taking take
care care
of of
offspring offspring
, ,
gathering gather
and and
ingesting ingest
food food
. .
This this
is be
, ,
of of
course course
, ,
bad bad
news news
for for
any any
male male
who who
has have
yet yet
to to
make make
a a
deposit deposit
in in
her her
sperm sperm
bank bank
, ,
and and
this this
sets set
the the
scene scene
for for
some some
pretty pretty
drastic drastic
strategies strategy
for for
successful successful
fertilization fertilization
. .
This this
is be
bedbug bedbug
sex sex
, ,
and and
it it
' '
s s
aptly aptly
termed term
traumatic traumatic
insemination insemination
. .
Males male
have have
a a
spiked spiked
, ,
barbed barbed
penis penis
that that
they they
literally literally
stab stab
into into
the the
female female
, ,
and and
they they
don don
' '
t t
stab stab
it it
anywhere anywhere
near near
her her
vagina vagina
. .
They they
stab stab
it it
anywhere anywhere
in in
her her
body body
, ,
and and
the the
sperm sperm
simply simply
migrates migrate
through through
her her
hemolymph hemolymph
to to
her her
ovaries ovary
. .
If if
a a
female female
gets get
too too
many many
stab stab
wounds wound
, ,
or or
if if
a a
stab stab
wound wound
happens happen
to to
become become
infected infected
, ,
she she
can can
actually actually
die die
from from
it it
. .
Now now
if if
you you
' '
ve ve
ever ever
been be
out out
for for
a a
nice nice
, ,
peaceful peaceful
walk walk
by by
the the
lake lake
and and
happened happen
to to
see see
some some
ducks duck
having have
sex sex
, ,
you you
' '
ve ve
undoubtedly undoubtedly
been be
alarmed alarm
, ,
because because
it it
looks look
like like
gang gang
rape rape
. .
And and
quite quite
frankly frankly
, ,
that that
' '
s s
exactly exactly
what what
it it
is be
. .
A a
group group
of of
males male
will will
grab grab
a a
female female
, ,
hold hold
her her
down down
, ,
and and
ballistically ballistically
ejaculate ejaculate
their their
spiral- spiral-
shaped shaped
penis penis
into into
her her
corkscrew-shaped corkscrew-shaped
vagina vagina
over over
and and
over over
and and
over over
again again
. .
From from
flaccid flaccid
to to
ejaculation ejaculation
in in
less less
than than
a a
second second
. .
Now now
the the
female female
actually actually
gets get
the the
last last
laugh laugh
, ,
though though
, ,
because because
she she
can can
actually actually
manipulate manipulate
her her
posture posture
so so
as as
to to
allow allow
the the
sperm sperm
of of
certain certain
suitors suitor
better good
access access
to to
her her
ovaries ovary
. .
Now now
, ,
I i
like like
to to
share share
stories story
like like
this this
with with
my my
audiences audience
because because
, ,
yeah yeah
, ,
we we
humans human
, ,
we we
tend tend
to to
think think
sex sex
, ,
sex sex
is be
fun fun
, ,
sex sex
is be
good good
, ,
there there
' '
s s
romance romance
, ,
and and
there there
' '
s s
orgasm orgasm
. .
But but
orgasm orgasm
didn didn
' '
t t
actually actually
evolve evolve
until until
about about
65 @card@
million million
years year
ago ago
with with
the the
advent advent
of of
mammals mammal
. .
But but
some some
animals animal
had have
it it
going go
on on
quite quite
a a
bit bit
before before
that that
. .
There there
are be
some some
more more
primitive primitive
ways way
of of
pleasing pleasing
one one
' '
s s
partner partner
. .
Earwig earwig
males male
have have
either either
really really
large large
penile penile
appendages appendage
or or
really really
small small
ones one
. .
It it
' '
s s
a a
very very
simple simple
genetically genetically
inherited inherit
trait trait
and and
the the
males male
are be
not not
otherwise otherwise
any any
different different
. .
Those those
that that
have have
long long
penile penile
appendages appendage
are be
not not
bigger big
or or
stronger strong
or or
otherwise otherwise
any any
different different
at at
all all
. .
So so
going go
back back
to to
our our
biological biological
minds mind
, ,
then then
, ,
we we
might might
think think
that that
females female
should should
choose choose
to to
have have
sex sex
with with
the the
guys guy
that that
have have
the the
shorter short
appendages appendage
, ,
because because
she she
can can
use use
her her
time time
for for
other other
things thing
: :
avoiding avoid
predators predator
, ,
taking take
care care
of of
young young
, ,
finding find
and and
ingesting ingest
food food
. .
But but
biologists biologist
have have
repeatedly repeatedly
observed observe
that that
females female
choose choose
to to
have have
sex sex
with with
the the
males male
that that
have have
the the
long long
appendages appendage
. .
Why why
do do
they they
do do
this this
? ?
Well well
, ,
according accord
to to
the the
biological biological
literature literature
, ,
" "
During during
copulation copulation
, ,
the the
genitalia genitalia
of of
certain certain
males male
may may
elicit elicit
more more
favorable favorable
female female
responses response
through through
superior superior
mechanical mechanical
or or
stimulatory stimulatory
interaction interaction
with with
the the
female female
reproductive reproductive
tract tract
. .
" "
Mm-hm mm-hm
. .
These these
are be
Mexican mexican
guppies guppy
, ,
and and
what what
you you
see see
on on
their their
upper upper
maxilla maxilla
is be
an an
outgrowth outgrowth
of of
epidermal epidermal
filaments filament
, ,
and and
these these
filaments filament
basically basically
form form
a a
fish fish
mustache mustache
, ,
if if
you you
will will
. .
Now now
males male
have have
been be
observed observe
to to
prod prod
the the
female female
' '
s s
genital genital
opening opening
prior prior
to to
copulating copulate
with with
her her
, ,
and and
in in
what what
I i
have have
lovingly lovingly
termed term
the the
Magnum magnum
, ,
P p
. .
I i
. .
hypothesis hypothesis
, ,
females female
are be
overwhelmingly overwhelmingly
more more
likely likely
to to
be be
found find
with with
males male
that that
have have
these these
fish fish
mustaches mustache
. .
A a
little little
guppy guppy
porn porn
for for
you you
right right
there there
. .
So so
we we
' '
ve ve
seen see
very very
different different
strategies strategy
that that
males male
are be
using use
when when
it it
comes come
to to
winning win
a a
female female
partner partner
. .
We we
' '
ve ve
seen see
a a
coercion coercion
strategy strategy
in in
which which
sexual sexual
structures structure
are be
used use
in in
a a
forceful forceful
way way
to to
basically basically
make make
a a
female female
have have
sex sex
. .
We we
' '
ve ve
also also
seen see
a a
titillation titillation
strategy strategy
where where
males male
are be
actually actually
pleasing please
their their
female female
partners partner
into into
choosing choose
them them
as as
a a
sex sex
partner partner
. .
Now now
unfortunately unfortunately
, ,
in in
the the
animal animal
kingdom kingdom
, ,
it it
' '
s s
the the
coercion coercion
strategy strategy
that that
we we
see see
time time
and and
time time
again again
. .
It it
' '
s s
very very
common common
in in
many many
phyla phylum
, ,
from from
invertebrates invertebrate
to to
avian avian
species specie
, ,
mammals mammal
, ,
and and
, ,
of of
course course
, ,
even even
in in
primates primate
. .
Now now
interestingly interestingly
, ,
there there
are be
a a
few few
mammalian mammalian
species specie
in in
which which
females female
have have
evolved evolve
specialized specialized
genitalia genitalia
that that
doesn doesn
' '
t t
allow allow
for for
sexual sexual
coercion coercion
to to
take take
place place
. .
Female female
elephants elephant
and and
female female
hyenas hyena
have have
a a
penile penile
clitoris clitoris
, ,
or or
an an
enlarged enlarged
clitoral clitoral
tissue tissue
that that
hangs hang
externally externally
, ,
much much
like like
a a
penis penis
, ,
and and
in in
fact fact
it it
' '
s s
very very
difficult difficult
to to
sex sex
these these
animals animal
by by
merely merely
looking look
at at
their their
external external
morphology morphology
. .
So so
before before
a a
male male
can can
insert insert
his his
penis penis
into into
a a
female female
' '
s s
vagina vagina
, ,
she she
has have
to to
take take
this this
penile penile
clitoris clitoris
and and
basically basically
inside-out inside-out
it it
in in
her her
own own
body body
. .
I i
mean mean
, ,
imagine imagine
putting put
a a
penis penis
into into
another another
penis penis
. .
It it
' '
s s
simply simply
not not
going go
to to
happen happen
unless unless
the the
female female
is be
on on
board board
with with
the the
action action
. .
Now now
, ,
even even
more more
interesting interesting
is be
the the
fact fact
that that
elephant elephant
and and
hyena hyena
societies society
are be
entirely entirely
matriarchal matriarchal
: :
they they
' '
re re
run run
by by
females female
, ,
groups group
of of
females female
, ,
sisters sister
, ,
aunts aunt
and and
offspring offspring
, ,
and and
when when
young young
males male
attain attain
sexual sexual
maturity maturity
, ,
they they
' '
re re
turfed turf
out out
of of
the the
group group
. .
In in
hyena hyena
societies society
, ,
adult adult
males male
are be
actually actually
the the
lowest low
on on
the the
social social
scale scale
. .
They they
can can
take take
part part
in in
a a
kill kill
only only
after after
everybody everybody
else else
, ,
including include
the the
offspring offspring
. .
So so
it it
seems seem
that that
when when
you you
take take
the the
penis penis
power power
away away
from from
a a
male male
, ,
you you
take take
away away
all all
the the
social social
power power
he he
has have
. .
So so
what what
are be
my my
take-home take-home
messages message
from from
my my
talk talk
today today
? ?
Well well
, ,
sex sex
is be
just just
so so
much much
more more
than than
insert insert
part part
A a
into into
slot slot
B b
and and
hope hope
that that
the the
offspring offspring
run run
around around
everywhere everywhere
. .
The the
sexual sexual
strategies strategy
and and
reproductive reproductive
structures structure
that that
we we
see see
in in
the the
animal animal
kingdom kingdom
basically basically
dictate dictate
how how
males male
and and
females female
will will
react react
to to
each each
other other
, ,
which which
then then
dictates dictate
how how
populations population
and and
societies society
form form
and and
evolve evolve
. .
So so
it it
may may
not not
be be
surprising surprising
to to
any any
of of
you you
that that
animals animal
, ,
including include
ourselves ourselves
, ,
spend spend
a a
good good
amount amount
of of
time time
thinking think
about about
sex sex
, ,
but but
what what
might might
surprise surprise
you you
is be
the the
extent extent
to to
which which
so so
many many
other other
aspects aspect
of of
their their
lives life
and and
our our
lives life
are be
influenced influence
by by
it it
. .
So so
thank thank
you you
, ,
and and
happy happy
daydreaming daydream
. .
