Hi hi
sinusoidal sinusoidal
movement movement
, ,
so so
that that
' '
s s
breathing breathing
. .
You you
' '
re re
all all
doing do
it it
. .
Don don
' '
t t
stop stop
. .
As as
soon soon
as as
you you
start start
talking talk
, ,
you you
start start
using use
your your
breathing breathing
completely completely
differently differently
. .
So so
what what
I i
' '
m m
doing do
now now
is be
you you
see see
something something
much much
more more
like like
this this
. .
In in
talking talk
, ,
you you
use use
very very
fine fine
movements movement
of of
the the
ribcage ribcage
to to
squeeze squeeze
the the
air air
out out
— -
and and
in in
fact fact
, ,
we we
' '
re re
the the
only only
animals animal
that that
can can
do do
this this
. .
It it
' '
s s
why why
we we
can can
talk talk
at at
all all
. .
Now now
, ,
both both
talking talking
and and
breathing breathing
has have
a a
mortal mortal
enemy enemy
, ,
and and
that that
enemy enemy
is be
laughter laughter
, ,
because because
what what
happens happen
when when
you you
laugh laugh
is be
those those
same same
muscles muscle
start start
to to
contract contract
very very
regularly regularly
, ,
and and
you you
get get
this this
very very
marked mark
sort sort
of of
zig-zagging zig-zagging
, ,
and and
that that
' '
s s
just just
squeezing squeeze
the the
air air
out out
of of
you you
. .
It it
literally literally
is be
that that
basic basic
a a
way way
of of
making make
a a
sound sound
. .
You you
could could
be be
stamping stamp
on on
somebody somebody
, ,
it it
' '
s s
having have
the the
same same
effect effect
. .
You you
' '
re re
just just
squeezing squeeze
air air
out out
, ,
and and
each each
of of
those those
contractions contraction
— -
Ha ha
! !
— -
gives give
you you
a a
sound sound
. .
And and
as as
the the
contractions contraction
run run
together together
, ,
you you
can can
get get
these these
spasms spasm
, ,
and and
that that
' '
s s
when when
you you
start start
getting get
these these
— -
— -
things thing
happening happen
. .
I i
' '
m m
brilliant brilliant
at at
this this
. .
Now now
, ,
in in
terms term
of of
the the
science science
of of
laughter laughter
, ,
there there
isn isn
' '
t t
very very
much much
, ,
but but
it it
does do
turn turn
out out
that that
pretty pretty
much much
everything everything
we we
think think
we we
know know
about about
laughter laughter
is be
wrong wrong
. .
So so
it it
' '
s s
not not
at at
all all
unusual unusual
, ,
for for
example example
, ,
to to
hear hear
people people
to to
say say
humans human
are be
the the
only only
animals animal
that that
laugh laugh
. .
Nietzsche nietzsche
thought think
that that
humans human
are be
the the
only only
animals animal
that that
laugh laugh
. .
In in
fact fact
, ,
you you
find find
laughter laughter
throughout throughout
the the
mammals mammal
. .
It it
' '
s s
been be
well- well-
described describe
and and
well-observed well-observe
in in
primates primate
, ,
but but
you you
also also
see see
it it
in in
rats rat
, ,
and and
wherever wherever
you you
find find
it it
— -
humans human
, ,
primates primate
, ,
rats rat
— -
you you
find find
it it
associated associate
with with
things thing
like like
tickling tickle
. .
That that
' '
s s
the the
same same
for for
humans human
. .
You you
find find
it it
associated associate
with with
play play
, ,
and and
all all
mammals mammal
play play
. .
And and
wherever wherever
you you
find find
it it
, ,
it it
' '
s s
associated associate
with with
interactions interaction
. .
So so
Robert robert
Provine provine
, ,
who who
has have
done do
a a
lot lot
of of
work work
on on
this this
, ,
has have
pointed point
out out
that that
you you
are be
30 @card@
times time
more more
likely likely
to to
laugh laugh
if if
you you
are be
with with
somebody somebody
else else
than than
if if
you you
' '
re re
on on
your your
own own
, ,
and and
where where
you you
find find
most most
laughter laughter
is be
in in
social social
interactions interaction
like like
conversation conversation
. .
So so
if if
you you
ask ask
human human
beings being
, ,
" "
When when
do do
you you
laugh laugh
? ?
" "
they they
' '
ll ll
talk talk
about about
comedy comedy
and and
they they
' '
ll ll
talk talk
about about
humor humor
and and
they they
' '
ll ll
talk talk
about about
jokes joke
. .
If if
you you
look look
at at
when when
they they
laugh laugh
, ,
they they
' '
re re
laughing laugh
with with
their their
friends friend
. .
And and
when when
we we
laugh laugh
with with
people people
, ,
we we
' '
re re
hardly hardly
ever ever
actually actually
laughing laugh
at at
jokes joke
. .
You you
are be
laughing laugh
to to
show show
people people
that that
you you
understand understand
them them
, ,
that that
you you
agree agree
with with
them them
, ,
that that
you you
' '
re re
part part
of of
the the
same same
group group
as as
them them
. .
You you
' '
re re
laughing laugh
to to
show show
that that
you you
like like
them them
. .
You you
might might
even even
love love
them them
. .
You you
' '
re re
doing do
all all
that that
at at
the the
same same
time time
as as
talking talk
to to
them them
, ,
and and
the the
laughter laughter
is be
doing do
a a
lot lot
of of
that that
emotional emotional
work work
for for
you you
. .
Something something
that that
Robert robert
Provine provine
has have
pointed point
out out
, ,
as as
you you
can can
see see
here here
, ,
and and
the the
reason reason
why why
we we
were be
laughing laugh
when when
we we
heard hear
those those
funny funny
laughs laugh
at at
the the
start start
, ,
and and
why why
I i
was be
laughing laugh
when when
I i
found find
my my
parents parent
laughing laugh
, ,
is be
that that
it it
' '
s s
an an
enormously enormously
behaviorally behaviorally
contagious contagious
effect effect
. .
You you
can can
catch catch
laughter laughter
from from
somebody somebody
else else
, ,
and and
you you
are be
more more
likely likely
to to
catch catch
laughter laughter
off off
somebody somebody
else else
if if
you you
know know
them them
. .
So so
it it
' '
s s
still still
modulated modulate
by by
this this
social social
context context
. .
You you
have have
to to
put put
humor humor
to to
one one
side side
and and
think think
about about
the the
social social
meaning meaning
of of
laughter laughter
because because
that that
' '
s s
where where
its its
origins origin
lie lie
. .
Now now
, ,
something something
I i
' '
ve ve
got get
very very
interested interested
in in
is be
different different
kinds kind
of of
laughter laughter
, ,
and and
we we
have have
some some
neurobiological neurobiological
evidence evidence
about about
how how
human human
beings being
vocalize vocalize
that that
suggests suggest
there there
might might
be be
two two
kinds kind
of of
laughs laugh
that that
we we
have have
. .
So so
it it
seems seem
possible possible
that that
the the
neurobiology neurobiology
for for
helpless helpless
, ,
involuntary involuntary
laughter laughter
, ,
like like
my my
parents parent
lying lie
on on
the the
floor floor
screaming scream
about about
a a
silly silly
song song
, ,
might might
have have
a a
different different
basis basis
to to
it it
than than
some some
of of
that that
more more
polite polite
social social
laughter laughter
that that
you you
encounter encounter
, ,
which which
isn isn
' '
t t
horrible horrible
laughter laughter
, ,
but but
it it
' '
s s
behavior behavior
somebody somebody
is be
doing do
as as
part part
of of
their their
communicative communicative
act act
to to
you you
, ,
part part
of of
their their
interaction interaction
with with
you you
; ;
they they
are be
choosing choose
to to
do do
this this
. .
In in
our our
evolution evolution
, ,
we we
have have
developed develop
two two
different different
ways way
of of
vocalizing vocalize
. .
Involuntary involuntary
vocalizations vocalization
are be
part part
of of
an an
older old
system system
than than
the the
more more
voluntary voluntary
vocalizations vocalization
like like
the the
speech speech
I i
' '
m m
doing do
now now
. .
So so
we we
might might
imagine imagine
that that
laughter laughter
might might
actually actually
have have
two two
different different
roots root
. .
So so
I i
' '
ve ve
been be
looking look
at at
this this
in in
more more
detail detail
. .
To to
do do
this this
, ,
we we
' '
ve ve
had have
to to
make make
recordings recording
of of
people people
laughing laugh
, ,
and and
we we
' '
ve ve
had have
to to
do do
whatever whatever
it it
takes take
to to
make make
people people
laugh laugh
, ,
and and
we we
got get
those those
same same
people people
to to
produce produce
more more
posed pose
, ,
social social
laughter laughter
. .
So so
imagine imagine
your your
friend friend
told tell
a a
joke joke
, ,
and and
you you
' '
re re
laughing laugh
because because
you you
like like
your your
friend friend
, ,
but but
not not
really really
because because
the the
joke joke
' '
s s
all all
that that
. .
So so
I i
' '
m m
going go
to to
play play
you you
a a
couple couple
of of
those those
. .
I i
want want
you you
to to
tell tell
me me
if if
you you
think think
this this
laughter laughter
is be
real real
laughter laughter
, ,
or or
if if
you you
think think
it it
' '
s s
posed pose
. .
So so
is be
this this
involuntary involuntary
laughter laughter
or or
more more
voluntary voluntary
laughter laughter
? ?
What what
does do
that that
sound sound
like like
to to
you you
? ?
Audience audience
: :
Posed pose
. .
Sophie sophie
Scott scott
: :
Posed pose
? ?
Posed pose
. .
How how
about about
this this
one one
? ?
I i
' '
m m
the the
best good
. .
Not not
really really
. .
No no
, ,
that that
was be
helpless helpless
laughter laughter
, ,
and and
in in
fact fact
, ,
to to
record record
that that
, ,
all all
they they
had have
to to
do do
was be
record record
me me
watching watch
one one
of of
my my
friends friend
listening listen
to to
something something
I i
knew know
she she
wanted want
to to
laugh laugh
at at
, ,
and and
I i
just just
started start
doing do
this this
. .
What what
you you
find find
is be
that that
people people
are be
good good
at at
telling tell
the the
difference difference
between between
real real
and and
posed pose
laughter laughter
. .
They they
seem seem
to to
be be
different different
things thing
to to
us us
. .
Interestingly interestingly
, ,
you you
see see
something something
quite quite
similar similar
with with
chimpanzees chimpanzee
. .
Chimpanzees chimpanzee
laugh laugh
differently differently
if if
they they
' '
re re
being be
tickled tickle
than than
if if
they they
' '
re re
playing playing
with with
each each
other other
, ,
and and
we we
might might
be be
seeing see
something something
like like
that that
here here
, ,
involuntary involuntary
laughter laughter
, ,
tickling tickle
laughter laughter
, ,
being be
different different
from from
social social
laughter laughter
. .
They they
' '
re re
acoustically acoustically
very very
different different
. .
The the
real real
laughs laugh
are be
longer long
. .
They they
' '
re re
higher high
in in
pitch pitch
. .
When when
you you
start start
laughing laugh
hard hard
, ,
you you
start start
squeezing squeeze
air air
out out
from from
your your
lungs lung
under under
much much
higher high
pressures pressure
than than
you you
could could
ever ever
produce produce
voluntarily voluntarily
. .
For for
example example
, ,
I i
could could
never never
pitch pitch
my my
voice voice
that that
high high
to to
sing sing
. .
Also also
, ,
you you
start start
to to
get get
these these
sort sort
of of
contractions contraction
and and
weird weird
whistling whistle
sounds sound
, ,
all all
of of
which which
mean mean
that that
real real
laughter laughter
is be
extremely extremely
easy easy
, ,
or or
feels feel
extremely extremely
easy easy
to to
spot spot
. .
In in
contrast contrast
, ,
posed pose
laughter laughter
, ,
we we
might might
think think
it it
sounds sound
a a
bit bit
fake fake
. .
Actually actually
, ,
it it
' '
s s
not not
, ,
it it
' '
s s
actually actually
an an
important important
social social
cue cue
. .
We we
use use
it it
a a
lot lot
, ,
we we
' '
re re
choosing choose
to to
laugh laugh
in in
a a
lot lot
of of
situations situation
, ,
and and
it it
seems seem
to to
be be
its its
own own
thing thing
. .
So so
, ,
for for
example example
, ,
you you
find find
nasality nasality
in in
posed pose
laughter laughter
, ,
that that
kind kind
of of
" "
ha ha
ha ha
ha ha
ha ha
ha ha
" "
sound sound
that that
you you
never never
get get
, ,
you you
could could
not not
do do
, ,
if if
you you
were be
laughing laugh
involuntarily involuntarily
. .
So so
they they
do do
seem seem
to to
be be
genuinely genuinely
these these
two two
different different
sorts sort
of of
things thing
. .
We we
took take
it it
into into
the the
scanner scanner
to to
see see
how how
brains brain
respond respond
when when
you you
hear hear
laughter laughter
. .
And and
when when
you you
do do
this this
, ,
this this
is be
a a
really really
boring boring
experiment experiment
. .
We we
just just
played play
people people
real real
and and
posed pose
laughs laugh
. .
We we
didn didn
' '
t t
tell tell
them them
it it
was be
a a
study study
on on
laughter laughter
. .
We we
put put
other other
sounds sound
in in
there there
to to
distract distract
them them
, ,
and and
all all
they they
' '
re re
doing do
is be
lying lie
listening listen
to to
sounds sound
. .
We we
don don
' '
t t
tell tell
them them
to to
do do
anything anything
. .
Nonetheless nonetheless
, ,
when when
you you
hear hear
real real
laughter laughter
and and
when when
you you
hear hear
posed pose
laughter laughter
, ,
the the
brains brain
are be
responding respond
completely completely
differently differently
, ,
significantly significantly
differently differently
. .
What what
you you
see see
in in
the the
regions region
in in
blue blue
, ,
which which
lies lie
in in
auditory auditory
cortex cortex
, ,
are be
the the
brain brain
areas area
that that
respond respond
more more
to to
the the
real real
laughs laugh
, ,
and and
what what
seems seem
to to
be be
the the
case case
, ,
when when
you you
hear hear
somebody somebody
laughing laugh
involuntarily involuntarily
, ,
you you
hear hear
sounds sound
you you
would would
never never
hear hear
in in
any any
other other
context context
. .
It it
' '
s s
very very
unambiguous unambiguous
, ,
and and
it it
seems seem
to to
be be
associated associate
with with
greater great
auditory auditory
processing processing
of of
these these
novel novel
sounds sound
. .
In in
contrast contrast
, ,
when when
you you
hear hear
somebody somebody
laughing laugh
in in
a a
posed pose
way way
, ,
what what
you you
see see
are be
these these
regions region
in in
pink pink
, ,
which which
are be
occupying occupy
brain brain
areas area
associated associate
with with
mentalizing mentalizing
, ,
thinking think
about about
what what
somebody somebody
else else
is be
thinking think
. .
And and
I i
think think
what what
that that
means means
is be
, ,
even even
if if
you you
' '
re re
having have
your your
brain brain
scanned scan
, ,
which which
is be
completely completely
boring boring
and and
not not
very very
interesting interesting
, ,
when when
you you
hear hear
somebody somebody
going go
, ,
" "
A a
ha ha
ha ha
ha ha
ha ha
ha ha
, ,
" "
you you
' '
re re
trying try
to to
work work
out out
why why
they they
' '
re re
laughing laugh
. .
Laughter laughter
is be
always always
meaningful meaningful
. .
You you
are be
always always
trying try
to to
understand understand
it it
in in
context context
, ,
even even
if if
, ,
as as
far far
as as
you you
are be
concerned concern
, ,
at at
that that
point point
in in
time time
, ,
it it
has have
not not
necessarily necessarily
anything anything
to to
do do
with with
you you
, ,
you you
still still
want want
to to
know know
why why
those those
people people
are be
laughing laugh
. .
Now now
, ,
we we
' '
ve ve
had have
the the
opportunity opportunity
to to
look look
at at
how how
people people
hear hear
real real
and and
posed pose
laughter laughter
across across
the the
age age
range range
. .
So so
this this
is be
an an
online online
experiment experiment
we we
ran run
with with
the the
Royal royal
Society society
, ,
and and
here here
we we
just just
asked ask
people people
two two
questions question
. .
First first
of of
all all
, ,
they they
heard hear
some some
laughs laugh
, ,
and and
they they
had have
to to
say say
, ,
how how
real real
or or
posed pose
do do
these these
laughs laugh
sound sound
? ?
The the
real real
laughs laugh
are be
shown show
in in
red red
and and
the the
posed pose
laughs laugh
are be
shown show
in in
blue blue
. .
What what
you you
see see
is be
there there
is be
a a
rapid rapid
onset onset
. .
As as
you you
get get
older old
, ,
you you
get get
better well
and and
better well
at at
spotting spot
real real
laughter laughter
. .
So so
six-year-olds six-year-old
are be
at at
chance chance
, ,
they they
can can
' '
t t
really really
hear hear
the the
difference difference
. .
By by
the the
time time
you you
are be
older old
, ,
you you
get get
better good
, ,
but but
interestingly interestingly
, ,
you you
do do
not not
hit hit
peak peak
performance performance
in in
this this
dataset dataset
until until
you you
are be
in in
your your
late late
30s 30s
and and
early early
40s 40s
. .
You you
don don
' '
t t
understand understand
laughter laughter
fully fully
by by
the the
time time
you you
hit hit
puberty puberty
. .
You you
don don
' '
t t
understand understand
laughter laughter
fully fully
by by
the the
time time
your your
brain brain
has have
matured mature
at at
the the
end end
of of
your your
teens teen
. .
You you
' '
re re
learning learn
about about
laughter laughter
throughout throughout
your your
entire entire
early early
adult adult
life life
. .
If if
we we
turn turn
the the
question question
around around
and and
now now
say say
not not
, ,
what what
does do
the the
laughter laughter
sound sound
like like
in in
terms term
of of
being be
real real
or or
posed pose
, ,
but but
we we
say say
, ,
how how
much much
does do
this this
laughter laughter
make make
you you
want want
to to
laugh laugh
, ,
how how
contagious contagious
is be
this this
laughter laughter
to to
you you
, ,
we we
see see
a a
different different
profile profile
. .
And and
here here
, ,
the the
younger young
you you
are be
, ,
the the
more more
you you
want want
to to
join join
in in
when when
you you
hear hear
laughter laughter
. .
Remember remember
me me
laughing laugh
with with
my my
parents parent
when when
I i
had have
no no
idea idea
what what
was be
going go
on on
. .
You you
really really
can can
see see
this this
. .
Now now
everybody everybody
, ,
young young
and and
old old
, ,
finds find
the the
real real
laughs laugh
more more
contagious contagious
than than
the the
posed pose
laughs laugh
, ,
but but
as as
you you
get get
older old
, ,
it it
all all
becomes become
less less
contagious contagious
to to
you you
. .
Now now
, ,
either either
we we
' '
re re
all all
just just
becoming become
really really
grumpy grumpy
as as
we we
get get
older old
, ,
or or
it it
may may
mean mean
that that
as as
you you
understand understand
laughter laughter
better well
, ,
and and
you you
are be
getting get
better well
at at
doing do
that that
, ,
you you
need need
more more
than than
just just
hearing hear
people people
laugh laugh
to to
want want
to to
laugh laugh
. .
You you
need need
the the
social social
stuff stuff
there there
. .
So so
we we
' '
ve ve
got get
a a
very very
interesting interesting
behavior behavior
about about
which which
a a
lot lot
of of
our our
lay lay
assumptions assumption
are be
incorrect incorrect
, ,
but but
I i
' '
m m
coming come
to to
see see
that that
actually actually
there there
' '
s s
even even
more more
to to
laughter laughter
than than
it it
' '
s s
an an
important important
social social
emotion emotion
we we
should should
look look
at at
, ,
because because
it it
turns turn
out out
people people
are be
phenomenally phenomenally
nuanced nuanced
in in
terms term
of of
how how
we we
use use
laughter laughter
. .
There there
' '
s s
a a
really really
lovely lovely
set set
of of
studies study
coming come
out out
from from
Robert robert
Levenson levenson
' '
s s
lab lab
in in
California california
, ,
where where
he he
' '
s s
doing do
a a
longitudinal longitudinal
study study
with with
couples couple
. .
He he
gets get
married married
couples couple
, ,
men man
and and
women woman
, ,
into into
the the
lab lab
, ,
and and
he he
gives give
them them
stressful stressful
conversations conversation
to to
have have
while while
he he
wires wire
them them
up up
to to
a a
polygraph polygraph
so so
he he
can can
see see
them them
becoming become
stressed stress
. .
So so
you you
' '
ve ve
got get
the the
two two
of of
them them
in in
there there
, ,
and and
he he
' '
ll ll
say say
to to
the the
husband husband
, ,
" "
Tell tell
me me
something something
that that
your your
wife wife
does do
that that
irritates irritate
you you
. .
" "
And and
what what
you you
see see
is be
immediately immediately
— -
just just
run run
that that
one one
through through
your your
head head
briefly briefly
, ,
you you
and and
your your
partner partner
— -
you you
can can
imagine imagine
everybody everybody
gets get
a a
bit bit
more more
stressed stress
as as
soon soon
as as
that that
starts start
. .
You you
can can
see see
physically physically
, ,
people people
become become
more more
stressed stress
. .
What what
he he
finds find
is be
that that
the the
couples couple
who who
manage manage
that that
feeling feel
of of
stress stress
with with
laughter laughter
, ,
positive positive
emotions emotion
like like
laughter laughter
, ,
not not
only only
immediately immediately
become become
less less
stressed stress
, ,
they they
can can
see see
them them
physically physically
feeling feel
better good
, ,
they they
' '
re re
dealing deal
with with
this this
unpleasant unpleasant
situation situation
better well
together together
, ,
they they
are be
also also
the the
couples couple
that that
report report
high high
levels level
of of
satisfaction satisfaction
in in
their their
relationship relationship
and and
they they
stay stay
together together
for for
longer longer
. .
So so
in in
fact fact
, ,
when when
you you
look look
at at
close close
relationships relationship
, ,
laughter laughter
is be
a a
phenomenally phenomenally
useful useful
index index
of of
how how
people people
are be
regulating regulate
their their
emotions emotion
together together
. .
We we
' '
re re
not not
just just
emitting emit
it it
at at
each each
other other
to to
show show
that that
we we
like like
each each
other other
, ,
we we
' '
re re
making make
ourselves ourselves
feel feel
better well
together together
. .
Now now
, ,
I i
don don
' '
t t
think think
this this
is be
going go
to to
be be
limited limit
to to
romantic romantic
relationships relationship
. .
I i
think think
this this
is be
probably probably
going go
to to
be be
a a
characteristic characteristic
of of
close close
emotional emotional
relationships relationship
such such
as as
you you
might might
have have
with with
friends friend
, ,
which which
explains explain
my my
next next
clip clip
, ,
which which
is be
of of
a a
YouTube youtube
video video
of of
some some
young young
men man
in in
the the
former former
East east
Germany germany
on on
making make
a a
video video
to to
promote promote
their their
heavy heavy
metal metal
band band
, ,
and and
it it
' '
s s
extremely extremely
macho macho
, ,
and and
the the
mood mood
is be
very very
serious serious
, ,
and and
I i
want want
you you
to to
notice notice
what what
happens happen
in in
terms term
of of
laughter laughter
when when
things thing
go go
wrong wrong
and and
how how
quickly quickly
that that
happens happen
, ,
and and
how how
that that
changes change
the the
mood mood
. .
He he
' '
s s
cold cold
. .
He he
' '
s s
about about
to to
get get
wet wet
. .
He he
' '
s s
got get
swimming swimming
trunks trunk
on on
, ,
got get
a a
towel towel
. .
Ice ice
. .
What what
might might
possibly possibly
happen happen
? ?
Video video
starts start
. .
Serious serious
mood mood
. .
And and
his his
friends friend
are be
already already
laughing laugh
. .
They they
are be
already already
laughing laugh
, ,
hard hard
. .
He he
' '
s s
not not
laughing laugh
yet yet
. .
He he
' '
s s
starting start
to to
go go
now now
. .
And and
now now
they they
' '
re re
all all
off off
. .
They they
' '
re re
on on
the the
floor floor
. .
The the
thing thing
I i
really really
like like
about about
that that
is be
it it
' '
s s
all all
very very
serious serious
until until
he he
jumps jump
onto onto
the the
ice ice
, ,
and and
as as
soon soon
as as
he he
doesn doesn
' '
t t
go go
through through
the the
ice ice
, ,
but but
also also
there there
isn isn
' '
t t
blood blood
and and
bone bone
everywhere everywhere
, ,
his his
friends friend
start start
laughing laugh
. .
And and
imagine imagine
if if
that that
had have
played play
him him
out out
with with
him him
standing stand
there there
going go
, ,
" "
No no
seriously seriously
, ,
Heinrich heinrich
, ,
I i
think think
this this
is be
broken break
, ,
" "
we we
wouldn wouldn
' '
t t
enjoy enjoy
watching watch
that that
. .
That that
would would
be be
stressful stressful
. .
Or or
if if
he he
was be
running run
around around
with with
a a
visibly visibly
broken break
leg leg
laughing laugh
, ,
and and
his his
friends friend
are be
going go
, ,
" "
Heinrich heinrich
, ,
I i
think think
we we
need need
to to
go go
to to
the the
hospital hospital
now now
, ,
" "
that that
also also
wouldn wouldn
' '
t t
be be
funny funny
. .
The the
fact fact
that that
the the
laughter laughter
works work
, ,
it it
gets get
him him
from from
a a
painful painful
, ,
embarrassing embarrassing
, ,
difficult difficult
situation situation
, ,
into into
a a
funny funny
situation situation
, ,
into into
what what
we we
' '
re re
actually actually
enjoying enjoy
there there
, ,
and and
I i
think think
that that
' '
s s
a a
really really
interesting interesting
use use
, ,
and and
it it
' '
s s
actually actually
happening happen
all all
the the
time time
. .
For for
example example
, ,
I i
can can
remember remember
something something
like like
this this
happening happening
at at
my my
father father
' '
s s
funeral funeral
. .
We we
weren weren
' '
t t
jumping jump
around around
on on
the the
ice ice
in in
our our
underpants underpants
. .
We we
' '
re re
not not
Canadian canadian
. .
These these
events event
are be
always always
difficult difficult
, ,
I i
had have
a a
relative relative
who who
was be
being be
a a
bit bit
difficult difficult
, ,
my my
mum mum
was be
not not
in in
a a
good good
place place
, ,
and and
I i
can can
remember remember
finding find
myself myself
just just
before before
the the
whole whole
thing thing
started start
telling tell
this this
story story
about about
something something
that that
happened happen
in in
a a
1970s 1970s
sitcom sitcom
, ,
and and
I i
just just
thought think
at at
the the
time time
, ,
I i
don don
' '
t t
know know
why why
I i
' '
m m
doing do
this this
, ,
and and
what what
I i
realized realize
I i
was be
doing do
was be
I i
was be
coming come
up up
with with
something something
from from
somewhere somewhere
I i
could could
use use
to to
make make
her her
laugh laugh
together together
with with
me me
. .
It it
was be
a a
very very
basic basic
reaction reaction
to to
find find
some some
reason reason
we we
can can
do do
this this
. .
We we
can can
laugh laugh
together together
. .
We we
' '
re re
going go
to to
get get
through through
this this
. .
We we
' '
re re
going go
to to
be be
okay okay
. .
And and
in in
fact fact
, ,
all all
of of
us us
are be
doing do
this this
all all
the the
time time
. .
You you
do do
it it
so so
often often
, ,
you you
don don
' '
t t
even even
notice notice
it it
. .
Everybody everybody
underestimates underestimate
how how
often often
they they
laugh laugh
, ,
and and
you you
' '
re re
doing do
something something
, ,
when when
you you
laugh laugh
with with
people people
, ,
that that
' '
s s
actually actually
letting let
you you
access access
a a
really really
ancient ancient
evolutionary evolutionary
system system
that that
mammals mammal
have have
evolved evolve
to to
make make
and and
maintain maintain
social social
bonds bond
, ,
and and
clearly clearly
to to
regulate regulate
emotions emotion
, ,
to to
make make
ourselves ourselves
feel feel
better well
. .
It it
' '
s s
not not
something something
specific specific
to to
humans human
— -
it it
' '
s s
a a
really really
ancient ancient
behavior behavior
which which
really really
helps help
us us
regulate regulate
how how
we we
feel feel
and and
makes make
us us
feel feel
better well
. .
In in
other other
words word
, ,
when when
it it
comes come
to to
laughter laughter
, ,
you you
and and
me me
, ,
baby baby
, ,
ain ain
' '
t t
nothing nothing
