I i
sea sea
. .
We we
don don
' '
t t
know know
where where
the the
structure structure
is be
. .
We we
can can
' '
t t
tell tell
where where
are be
the the
watering watering
holes hole
like like
we we
can can
on on
an an
African african
plain plain
. .
We we
can can
' '
t t
see see
the the
corridors corridor
, ,
and and
we we
can can
' '
t t
see see
what what
it it
is be
that that
brings bring
together together
a a
tuna tuna
, ,
a a
leatherback leatherback
and and
an an
albatross albatross
. .
We we
' '
re re
only only
just just
beginning begin
to to
understand understand
how how
the the
physical physical
oceanography oceanography
and and
the the
biological biological
oceanography oceanography
come come
together together
to to
create create
a a
seasonal seasonal
force force
that that
actually actually
causes cause
the the
upwelling upwelling
that that
might might
make make
a a
hot hot
spot spot
a a
hope hope
spot spot
. .
The the
reasons reason
these these
challenges challenge
are be
great great
is be
that that
technically technically
it it
' '
s s
difficult difficult
to to
go go
to to
sea sea
. .
It it
' '
s s
hard hard
to to
study study
a a
bluefin bluefin
on on
its its
turf turf
, ,
the the
entire entire
Pacific pacific
realm realm
. .
It it
' '
s s
really really
tough tough
to to
get get
up up
close close
and and
personal personal
with with
a a
mako mako
shark shark
and and
try try
to to
put put
a a
tag tag
on on
it it
. .
And and
then then
imagine imagine
being be
Bruce bruce
Mate mate
' '
s s
team team
from from
OSU osu
, ,
getting get
up up
close close
to to
a a
blue blue
whale whale
and and
fixing fix
a a
tag tag
on on
the the
blue blue
whale whale
that that
stays stay
, ,
an an
engineering engineering
challenge challenge
we we
' '
ve ve
yet yet
to to
really really
overcome overcome
. .
So so
the the
story story
of of
our our
team team
, ,
a a
dedicated dedicated
team team
, ,
is be
fish fish
and and
chips chip
. .
We we
basically basically
are be
taking take
the the
same same
satellite satellite
phone phone
parts part
, ,
or or
the the
same same
parts part
that that
are be
in in
your your
computer computer
, ,
chips chip
. .
We we
' '
re re
putting put
them them
together together
in in
unusual unusual
ways way
, ,
and and
this this
is be
taking take
us us
into into
the the
ocean ocean
realm realm
like like
never never
before before
. .
And and
for for
the the
first first
time time
, ,
we we
' '
re re
able able
to to
watch watch
the the
journey journey
of of
a a
tuna tuna
beneath beneath
the the
ocean ocean
using use
light light
and and
photons photon
to to
measure measure
sunrise sunrise
and and
sunset sunset
. .
Now now
, ,
I i
' '
ve ve
been be
working work
with with
tunas tuna
for for
over over
15 @card@
years year
. .
I i
have have
the the
privilege privilege
of of
being be
a a
partner partner
with with
the the
Monterey monterey
Bay bay
Aquarium aquarium
. .
We we
' '
ve ve
actually actually
taken take
a a
sliver sliver
of of
the the
ocean ocean
, ,
put put
it it
behind behind
glass glass
, ,
and and
we we
together together
have have
put put
bluefin bluefin
tuna tuna
and and
yellowfin yellowfin
tuna tuna
on on
display display
. .
When when
the the
veil veil
of of
bubbles bubble
lifts lift
every every
morning morning
, ,
we we
can can
actually actually
see see
a a
community community
from from
the the
Pelagic pelagic
ocean ocean
, ,
one one
of of
the the
only only
places place
on on
Earth earth
you you
can can
see see
giant giant
bluefin bluefin
swim swim
by by
. .
We we
can can
see see
in in
their their
beauty beauty
of of
form form
and and
function function
, ,
their their
ceaseless ceaseless
activity activity
. .
They they
' '
re re
flying fly
through through
their their
space space
, ,
ocean ocean
space space
. .
And and
we we
can can
bring bring
two two
million million
people people
a a
year year
into into
contact contact
with with
this this
fish fish
and and
show show
them them
its its
beauty beauty
. .
Behind behind
the the
scenes scene
is be
a a
working work
lab lab
at at
Stanford stanford
University university
partnered partner
with with
the the
Monterey monterey
Bay bay
Aquarium aquarium
. .
Here here
, ,
for for
over over
14 @card@
or or
15 @card@
years year
, ,
we we
' '
ve ve
actually actually
brought bring
in in
both both
bluefin bluefin
and and
yellowfin yellowfin
in in
captivity captivity
. .
We we
' '
d d
been be
studying study
these these
fish fish
, ,
but but
first first
we we
had have
to to
learn learn
how how
to to
husbandry husbandry
them them
. .
What what
do do
they they
like like
to to
eat eat
? ?
What what
is be
it it
that that
they they
' '
re re
happy happy
with with
? ?
We we
go go
in in
the the
tanks tank
with with
the the
tuna tuna
â â
we we
touch touch
their their
naked naked
skin skin
â â
it it
' '
s s
pretty pretty
amazing amazing
. .
It it
feels feel
wonderful wonderful
. .
And and
then then
, ,
better well
yet yet
, ,
we we
' '
ve ve
got get
our our
own own
version version
of of
tuna tuna
whisperers whisperer
, ,
our our
own own
Chuck chuck
Farwell farwell
, ,
Alex alex
Norton norton
, ,
who who
can can
take take
a a
big big
tuna tuna
and and
in in
one one
motion motion
, ,
put put
it it
into into
an an
envelope envelope
of of
water water
, ,
so so
that that
we we
can can
actually actually
work work
with with
the the
tuna tuna
and and
learn learn
the the
techniques technique
it it
takes take
to to
not not
injure injure
this this
fish fish
who who
never never
sees see
a a
boundary boundary
in in
the the
open open
sea sea
. .
Jeff jeff
and and
Jason jason
there there
, ,
are be
scientists scientist
who who
are be
going go
to to
take take
a a
tuna tuna
and and
put put
it it
in in
the the
equivalent equivalent
of of
a a
treadmill treadmill
, ,
a a
flume flume
. .
And and
that that
tuna tuna
thinks think
it it
' '
s s
going go
to to
Japan japan
, ,
but but
it it
' '
s s
staying stay
in in
place place
. .
We we
' '
re re
actually actually
measuring measure
its its
oxygen oxygen
consumption consumption
, ,
its its
energy energy
consumption consumption
. .
We we
' '
re re
taking take
this this
data datum
and and
building build
better good
models model
. .
And and
when when
I i
see see
that that
tuna tuna
â â
this this
is be
my my
favorite favorite
view view
â â
I i
begin begin
to to
wonder wonder
: :
how how
did do
this this
fish fish
solve solve
the the
longitude longitude
problem problem
before before
we we
did do
? ?
So so
take take
a a
look look
at at
that that
animal animal
. .
That that
' '
s s
the the
closest close
you you
' '
ll ll
probably probably
ever ever
get get
. .
Now now
, ,
the the
activities activity
from from
the the
lab lab
have have
taught teach
us us
now now
how how
to to
go go
out out
in in
the the
open open
ocean ocean
. .
So so
in in
a a
program program
called call
Tag-A-Giant tag-a-giant
we we
' '
ve ve
actually actually
gone go
from from
Ireland ireland
to to
Canada canada
, ,
from from
Corsica corsica
to to
Spain spain
. .
We we
' '
ve ve
fished fish
with with
many many
nations nation
around around
the the
world world
in in
an an
effort effort
to to
basically basically
put put
electronic electronic
computers computer
inside inside
giant giant
tunas tuna
. .
We we
' '
ve ve
actually actually
tagged tag
1 @card@
, ,
100 @card@
tunas tuna
. .
And and
I i
' '
m m
going go
to to
show show
you you
three three
clips clip
, ,
because because
I i
tagged tag
1 @card@
, ,
100 @card@
tunas tuna
. .
It it
' '
s s
a a
very very
hard hard
process process
, ,
but but
it it
' '
s s
a a
ballet ballet
. .
We we
bring bring
the the
tuna tuna
out out
, ,
we we
measure measure
it it
. .
A a
team team
of of
fishers fisher
, ,
captains captain
, ,
scientists scientist
and and
technicians technician
work work
together together
to to
keep keep
this this
animal animal
out out
of of
the the
ocean ocean
for for
about about
four four
to to
five five
minutes minute
. .
We we
put put
water water
over over
its its
gills gill
, ,
give give
it it
oxygen oxygen
. .
And and
then then
with with
a a
lot lot
of of
effort effort
, ,
after after
tagging tag
, ,
putting put
in in
the the
computer computer
, ,
making make
sure sure
the the
stalk stalk
is be
sticking stick
out out
so so
it it
senses sense
the the
environment environment
, ,
we we
send send
this this
fish fish
back back
into into
the the
sea sea
. .
And and
when when
it it
goes go
, ,
we we
' '
re re
always always
happy happy
. .
We we
see see
a a
flick flick
of of
the the
tail tail
. .
And and
from from
our our
data data
that that
gets get
collected collected
, ,
when when
that that
tag tag
comes come
back back
, ,
because because
a a
fisher fisher
returns return
it it
for for
a a
thousand-dollar thousand-dollar
reward reward
, ,
we we
can can
get get
tracks track
beneath beneath
the the
sea sea
for for
up up
to to
five five
years year
now now
, ,
on on
a a
backboned backboned
animal animal
. .
Now now
sometimes sometimes
the the
tunas tuna
are be
really really
large large
, ,
such such
as as
this this
fish fish
off off
Nantucket nantucket
. .
But but
that that
' '
s s
about about
half half
the the
size size
of of
the the
biggest big
tuna tuna
we we
' '
ve ve
ever ever
tagged tag
. .
It it
takes take
a a
human human
effort effort
, ,
a a
team team
effort effort
, ,
to to
bring bring
the the
fish fish
in in
. .
In in
this this
case case
, ,
what what
we we
' '
re re
going go
to to
do do
is be
put put
a a
pop-up pop-up
satellite satellite
archival archival
tag tag
on on
the the
tuna tuna
. .
This this
tag tag
rides ride
on on
the the
tuna tuna
, ,
senses sense
the the
environment environment
around around
the the
tuna tuna
and and
actually actually
will will
come come
off off
the the
fish fish
, ,
detach detach
, ,
float float
to to
the the
surface surface
and and
send send
back back
to to
Earth-orbiting earth-orbiting
satellites satellite
position position
data datum
estimated estimate
by by
math math
on on
the the
tag tag
, ,
pressure pressure
data datum
and and
temperature temperature
data datum
. .
And and
so so
what what
we we
get get
then then
from from
the the
pop-up pop-up
satellite satellite
tag tag
is be
we we
get get
away away
from from
having have
to to
have have
a a
human human
interaction interaction
to to
recapture recapture
the the
tag tag
. .
Both both
the the
electronic electronic
tags tag
I i
' '
m m
talking talk
about about
are be
expensive expensive
. .
These these
tags tag
have have
been be
engineered engineer
by by
a a
variety variety
of of
teams team
in in
North north
America america
. .
They they
are be
some some
of of
our our
finest fine
instruments instrument
, ,
our our
new new
technology technology
in in
the the
ocean ocean
today today
. .
One one
community community
in in
general general
has have
given give
more more
to to
help help
us us
than than
any any
other other
community community
. .
And and
that that
' '
s s
the the
fisheries fishery
off off
the the
state state
of of
North north
Carolina carolina
. .
There there
are be
two two
villages village
, ,
Harris harris
and and
Morehead morehead
City city
, ,
every every
winter winter
for for
over over
a a
decade decade
, ,
held hold
a a
party party
called call
Tag-A-Giant tag-a-giant
, ,
and and
together together
, ,
fishers fisher
worked work
with with
us us
to to
tag tag
800 @card@
to to
900 @card@
fish fish
. .
In in
this this
case case
, ,
we we
' '
re re
actually actually
going go
to to
measure measure
the the
fish fish
. .
We we
' '
re re
going go
to to
do do
something something
that that
in in
recent recent
years year
we we
' '
ve ve
started start
: :
take take
a a
mucus mucus
sample sample
. .
Watch watch
how how
shiny shiny
the the
skin skin
is be
; ;
you you
can can
see see
my my
reflection reflection
there there
. .
And and
from from
that that
mucus mucus
, ,
we we
can can
get get
gene gene
profiles profile
, ,
we we
can can
get get
information information
on on
gender gender
, ,
checking check
the the
pop-up pop-up
tag tag
one one
more more
time time
, ,
and and
then then
it it
' '
s s
out out
in in
the the
ocean ocean
. .
And and
this this
is be
my my
favorite favorite
. .
With with
the the
help help
of of
my my
former former
postdoc postdoc
, ,
Gareth gareth
Lawson lawson
, ,
this this
is be
a a
gorgeous gorgeous
picture picture
of of
a a
single single
tuna tuna
. .
This this
tuna tuna
is be
actually actually
moving move
on on
a a
numerical numerical
ocean ocean
. .
The the
warm warm
is be
the the
Gulf gulf
Stream stream
, ,
the the
cold cold
up up
there there
in in
the the
Gulf gulf
of of
Maine maine
. .
That that
' '
s s
where where
the the
tuna tuna
wants want
to to
go go
â â
it it
wants want
to to
forage forage
on on
schools school
of of
herring herring
â â
but but
it it
can can
' '
t t
get get
there there
. .
It it
' '
s s
too too
cold cold
. .
But but
then then
it it
warms warm
up up
, ,
and and
the the
tuna tuna
pops pop
in in
, ,
gets get
some some
fish fish
, ,
maybe maybe
comes come
back back
to to
home home
base base
, ,
goes go
in in
again again
and and
then then
comes come
back back
to to
winter winter
down down
there there
in in
North north
Carolina carolina
and and
then then
on on
to to
the the
Bahamas bahamas
. .
And and
my my
favorite favorite
scene scene
, ,
three three
tunas tuna
going go
into into
the the
Gulf gulf
of of
Mexico mexico
. .
Three three
tunas tuna
tagged tag
. .
Astronomically astronomically
, ,
we we
' '
re re
calculating calculate
positions position
. .
They they
' '
re re
coming come
together together
. .
That that
could could
be be
tuna tuna
sex sex
â â
and and
there there
it it
is be
. .
That that
is be
where where
the the
tuna tuna
spawn spawn
. .
So so
from from
data datum
like like
this this
, ,
we we
' '
re re
able able
now now
to to
put put
the the
map map
up up
, ,
and and
in in
this this
map map
you you
see see
thousands thousand
of of
positions position
generated generate
by by
this this
decade decade
and and
a a
half half
of of
tagging tag
. .
And and
now now
we we
' '
re re
showing show
that that
tunas tuna
on on
the the
western western
side side
go go
to to
the the
eastern eastern
side side
. .
So so
two two
populations population
of of
tunas tunas
â â
that that
is be
, ,
we we
have have
a a
Gulf gulf
population population
, ,
one one
that that
we we
can can
tag tag
â â
they they
go go
to to
the the
Gulf gulf
of of
Mexico mexico
, ,
I i
showed show
you you
that that
â â
and and
a a
second second
population population
. .
Living live
amongst amongst
our our
tunas tuna
â â
our our
North north
American american
tunas tuna
â â
are be
European european
tunas tuna
that that
go go
back back
to to
the the
Med med
. .
On on
the the
hot hot
spots spot
â â
the the
hope hope
spots spot
â â
they they
' '
re re
mixed mixed
populations population
. .
And and
so so
what what
we we
' '
ve ve
done do
with with
the the
science science
is be
we we
' '
re re
showing show
the the
International international
Commission commission
, ,
building build
new new
models model
, ,
showing show
them them
that that
a a
two-stock two-stock
no-mixing no-mixing
model model
â â
to to
this this
day day
, ,
used use
to to
reject reject
the the
CITES cite
treaty treaty
â â
that that
model model
isn isn
' '
t t
the the
right right
model model
. .
This this
model model
, ,
a a
model model
of of
overlap overlap
, ,
is be
the the
way way
to to
move move
forward forward
. .
So so
we we
can can
then then
predict predict
where where
management management
places place
should should
be be
. .
Places place
like like
the the
Gulf gulf
of of
Mexico mexico
and and
the the
Mediterranean mediterranean
are be
places place
where where
the the
single single
species species
, ,
the the
single single
population population
, ,
can can
be be
captured capture
. .
These these
become become
forthright forthright
in in
places place
we we
need need
to to
protect protect
. .
The the
center center
of of
the the
Atlantic atlantic
where where
the the
mixing mix
is be
, ,
I i
could could
imagine imagine
a a
policy policy
that that
lets let
Canada canada
and and
America america
fish fish
, ,
because because
they they
manage manage
their their
fisheries fishery
well well
, ,
they they
' '
re re
doing do
a a
good good
job job
. .
But but
in in
the the
international international
realm realm
, ,
where where
fishing fishing
and and
overfishing overfishing
has have
really really
gone go
wild wild
, ,
these these
are be
the the
places place
that that
we we
have have
to to
make make
hope hope
spots spot
in in
. .
That that
' '
s s
the the
size size
they they
have have
to to
be be
to to
protect protect
the the
bluefin bluefin
tuna tuna
. .
Now now
in in
a a
second second
project project
called call
Tagging tag
of of
Pacific pacific
Pelagics pelagics
, ,
we we
took take
on on
the the
planet planet
as as
a a
team team
, ,
those those
of of
us us
in in
the the
Census census
of of
Marine marine
Life life
. .
And and
, ,
funded fund
primarily primarily
through through
Sloan sloan
Foundation foundation
and and
others other
, ,
we we
were be
able able
to to
actually actually
go go
in in
, ,
in in
our our
project project
â â
we we
' '
re re
one one
of of
17 @card@
field field
programs program
and and
begin begin
to to
take take
on on
tagging tag
large large
numbers number
of of
predators predator
, ,
not not
just just
tunas tuna
. .
So so
what what
we we
' '
ve ve
done do
is be
actually actually
gone go
up up
to to
tag tag
salmon salmon
shark shark
in in
Alaska alaska
, ,
met meet
salmon salmon
shark shark
on on
their their
home home
territory territory
, ,
followed follow
them them
catching catch
salmon salmon
and and
then then
went go
in in
and and
figured figure
out out
that that
, ,
if if
we we
take take
a a
salmon salmon
and and
put put
it it
on on
a a
line line
, ,
we we
can can
actually actually
take take
up up
a a
salmon salmon
shark shark
â â
This this
is be
the the
cousin cousin
of of
the the
white white
shark shark
â â
and and
very very
carefully carefully
â â
note note
, ,
I i
say say
" "
very very
carefully carefully
, ,
" "
â â
we we
can can
actually actually
keep keep
it it
calm calm
, ,
put put
a a
hose hose
in in
its its
mouth mouth
, ,
keep keep
it it
off off
the the
deck deck
and and
then then
tag tag
it it
with with
a a
satellite satellite
tag tag
. .
That that
satellite satellite
tag tag
will will
now now
have have
your your
shark shark
phone phone
home home
and and
send send
in in
a a
message message
. .
And and
that that
shark shark
leaping leap
there there
, ,
if if
you you
look look
carefully carefully
, ,
has have
an an
antenna antenna
. .
It it
' '
s s
a a
free free
swimming swimming
shark shark
with with
a a
satellite satellite
tag tag
jumping jump
after after
salmon salmon
, ,
sending send
home home
its its
data datum
. .
Salmon salmon
sharks shark
aren aren
' '
t t
the the
only only
sharks shark
we we
tag tag
. .
But but
there there
goes go
salmon salmon
sharks shark
with with
this this
meter-level meter-level
resolution resolution
on on
an an
ocean ocean
of of
temperature temperature
â â
warm warm
colors color
are be
warmer warm
. .
Salmon salmon
sharks shark
go go
down down
to to
the the
tropics tropic
to to
pup pup
and and
come come
into into
Monterey monterey
. .
Now now
right right
next next
door door
in in
Monterey monterey
and and
up up
at at
the the
Farallones farallones
are be
a a
white white
shark shark
team team
led lead
by by
Scott scott
Anderson anderson
â â
there here
â â
and and
Sal sal
Jorgensen jorgensen
. .
They they
can can
throw throw
out out
a a
target target
â â
it it
' '
s s
a a
carpet carpet
shaped shape
like like
a a
seal seal
â â
and and
in in
will will
come come
a a
white white
shark shark
, ,
a a
curious curious
critter critter
that that
will will
come come
right right
up up
to to
our our
16-ft 16-ft
. .
boat boat
. .
It it
' '
s s
a a
several several
thousand-pound thousand-pound
animal animal
. .
And and
we we
' '
ll ll
wind wind
in in
the the
target target
. .
And and
we we
' '
ll ll
place place
an an
acoustic acoustic
tag tag
that that
says say
, ,
" "
OMSHARK omshark
10165 @card@
, ,
" "
or or
something something
like like
that that
, ,
acoustically acoustically
with with
a a
ping ping
. .
And and
then then
we we
' '
ll ll
put put
on on
a a
satellite satellite
tag tag
that that
will will
give give
us us
the the
long- long-
distance distance
journeys journey
with with
the the
light-based light-based
geolocation geolocation
algorithms algorithm
solved solve
on on
the the
computer computer
that that
' '
s s
on on
the the
fish fish
. .
So so
in in
this this
case case
, ,
Sal sal
' '
s s
looking look
at at
two two
tags tag
there there
, ,
and and
there there
they they
are be
: :
the the
white white
sharks shark
of of
California california
going go
off off
to to
the the
white white
shark shark
cafe cafe
and and
coming come
back back
. .
We we
also also
tag tag
makos mako
with with
our our
NOAA noaa
colleagues colleague
, ,
blue blue
sharks shark
. .
And and
now now
, ,
together together
, ,
what what
we we
can can
see see
on on
this this
ocean ocean
of of
color color
that that
' '
s s
temperature temperature
, ,
we we
can can
see see
ten-day ten-day
worms worm
of of
makos mako
and and
salmon salmon
sharks shark
. .
We we
have have
white white
sharks shark
and and
blue blue
sharks shark
. .
For for
the the
first first
time time
, ,
an an
ecoscape ecoscape
as as
large large
as as
ocean-scale ocean-scale
, ,
showing show
where where
the the
sharks shark
go go
. .
The the
tuna tuna
team team
from from
TOPP topp
has have
done do
the the
unthinkable unthinkable
: :
three three
teams team
tagged tag
1 @card@
, ,
700 @card@
tunas tuna
, ,
bluefin bluefin
, ,
yellowfin yellowfin
and and
albacore albacore
all all
at at
the the
same same
time time
â â
carefully carefully
rehearsed rehearse
tagging tag
programs program
in in
which which
we we
go go
out out
, ,
pick pick
up up
juvenile juvenile
tunas tuna
, ,
put put
in in
the the
tags tag
that that
actually actually
have have
the the
sensors sensor
, ,
stick stick
out out
the the
tuna tuna
and and
then then
let let
them them
go go
. .
They they
get get
returned return
, ,
and and
when when
they they
get get
returned return
, ,
here here
on on
a a
NASA nasa
numerical numerical
ocean ocean
you you
can can
see see
bluefin bluefin
in in
blue blue
go go
across across
their their
corridor corridor
, ,
returning return
to to
the the
Western western
Pacific pacific
. .
Our our
team team
from from
UCSC ucsc
has have
tagged tag
elephant elephant
seals seal
with with
tags tag
that that
are be
glued glue
on on
their their
heads head
, ,
that that
come come
off off
when when
they they
slough slough
. .
These these
elephant elephant
seals seal
cover cover
half half
an an
ocean ocean
, ,
take take
data datum
down down
to to
1 @card@
, ,
800 @card@
feet foot
â â
amazing amazing
data datum
. .
And and
then then
there there
' '
s s
Scott scott
Shaffer shaffer
and and
our our
shearwaters shearwater
wearing wear
tuna tuna
tags tag
, ,
light-based light-based
tags tag
, ,
that that
now now
are be
going go
to to
take take
you you
from from
New new
Zealand zealand
to to
Monterey monterey
and and
back back
, ,
journeys journey
of of
35 @card@
, ,
000 @card@
nautical nautical
miles mile
we we
had have
never never
seen see
before before
. .
But but
now now
with with
light-based light-based
geolocation geolocation
tags tag
that that
are be
very very
small small
, ,
we we
can can
actually actually
see see
these these
journeys journey
. .
Same same
thing thing
with with
Laysan laysan
albatross albatross
who who
travel travel
an an
entire entire
ocean ocean
on on
a a
trip trip
sometimes sometimes
, ,
up up
to to
the the
same same
zone zone
the the
tunas tuna
use use
. .
You you
can can
see see
why why
they they
might might
be be
caught catch
. .
Then then
there there
' '
s s
George george
Schillinger schillinger
and and
our our
leatherback leatherback
team team
out out
of of
Playa playa
Grande grande
tagging tag
leatherbacks leatherback
that that
go go
right right
past past
where where
we we
are be
. .
And and
Scott scott
Benson benson
' '
s s
team team
that that
showed show
that that
leatherbacks leatherback
go go
from from
Indonesia indonesia
all all
the the
way way
to to
Monterey monterey
. .
So so
what what
we we
can can
see see
on on
this this
moving move
ocean ocean
is be
we we
can can
finally finally
see see
where where
the the
predators predator
are be
. .
We we
can can
actually actually
see see
how how
they they
' '
re re
using use
ecospaces ecospace
as as
large large
as as
an an
ocean ocean
. .
And and
from from
this this
information information
, ,
we we
can can
begin begin
to to
map map
the the
hope hope
spots spot
. .
So so
this this
is be
just just
three three
years year
of of
data datum
right right
here here
â â
and and
there there
' '
s s
a a
decade decade
of of
this this
data datum
. .
We we
see see
the the
pulse pulse
and and
the the
seasonal seasonal
activities activity
that that
these these
animals animal
are be
going go
on on
. .
So so
what what
we we
' '
re re
able able
to to
do do
with with
this this
information information
is be
boil boil
it it
down down
to to
hot hot
spots spot
, ,
4 @card@
, ,
000 @card@
deployments deployment
, ,
a a
huge huge
herculean herculean
task task
, ,
2 @card@
, ,
000 @card@
tags tag
in in
an an
area area
, ,
shown show
here here
for for
the the
first first
time time
, ,
off off
the the
California california
coast coast
, ,
that that
appears appear
to to
be be
a a
gathering gathering
place place
. .
And and
then then
for for
sort sort
of of
an an
encore encore
from from
these these
animals animal
, ,
they they
' '
re re
helping help
us us
. .
They they
' '
re re
carrying carry
instruments instrument
that that
are be
actually actually
taking take
data datum
down down
to to
2 @card@
, ,
000 @card@
meters meter
. .
They they
' '
re re
taking take
information information
from from
our our
planet planet
at at
very very
critical critical
places place
like like
