David david
an an
artist artist
, ,
and and
my my
dad dad
told tell
me me
that that
wasn wasn
' '
t t
a a
real real
job job
, ,
so so
architecture architecture
seemed seem
to to
fall fall
somewhere somewhere
in in
the the
middle middle
. .
AG ag
: :
He he
ended end
up up
starting start
a a
consulting consulting
business business
to to
help help
architects architect
, ,
engineers engineer
, ,
contractors contractor
and and
building building
owners owner
improve improve
their their
work work
spaces space
. .
Soon soon
WeWork wework
was be
a a
client client
. .
In in
2015 @card@
, ,
WeWork wework
acquired acquire
Dave dave
' '
s s
company company
. .
He he
became become
WeWork wework
' '
s s
chief chief
product product
officer officer
, ,
and and
then then
chief chief
growth growth
officer officer
. .
He he
oversaw oversee
all all
of of
real real
estate estate
, ,
design design
, ,
construction construction
, ,
sales sale
and and
marketing marketing
. .
In in
the the
spring spring
of of
2019 @card@
he he
left leave
. .
Six six
months month
later later
, ,
after after
WeWork wework
filed file
for for
an an
IPO ipo
, ,
a a
series series
of of
investigative investigative
reports report
exposed expose
their their
huge huge
financial financial
losses loss
. .
The the
media medium
was be
in in
an an
uproar uproar
over over
the the
self-dealing self-deal
behavior behavior
of of
the the
cofounder cofounder
and and
CEO ceo
, ,
Adam adam
Neumann neumann
. .
Woman woman
1 @card@
: :
Adam adam
Neumann neumann
pays pay
a a
direct direct
family family
member member
to to
be be
the the
director director
of of
wellness wellness
at at
the the
company company
. .
Man man
: :
There there
' '
s s
credible credible
reports report
in in
the the
business business
press press
that that
he he
traveled travel
with with
illegal illegal
drugs drug
across across
international international
boundaries boundary
. .
Woman woman
2 @card@
: :
Expenses expense
at at
WeWork wework
more more
than than
quadrupled quadruple
. .
Man man
2 @card@
: :
Adam adam
Neumann neumann
is be
stepping step
down down
as as
CEO ceo
. .
AG ag
: :
Plenty plenty
of of
people people
are be
still still
dissecting dissect
what what
happened happen
on on
the the
business business
side side
of of
WeWork wework
. .
I i
wanted want
to to
explore explore
something something
different different
, ,
the the
leadership leadership
and and
culture culture
. .
We we
know know
visions vision
and and
values value
have have
a a
real real
impact impact
on on
whether whether
a a
company company
succeed succeed
or or
fail fail
, ,
and and
WeWork wework
was be
an an
extreme extreme
example example
of of
doing do
both both
. .
What what
could could
we we
learn learn
from from
WeWork wework
' '
s s
rise rise
and and
demise demise
about about
how how
culture culture
is be
built build
and and
sustained sustain
? ?
When when
is be
a a
strong strong
culture culture
actually actually
helpful helpful
? ?
And and
when when
do do
you you
trust trust
your your
sense sense
that that
something something
is be
off off
? ?
I i
can can
' '
t t
think think
of of
a a
better good
person person
to to
ask ask
than than
Dave dave
. .
He he
had have
a a
front front
row row
seat seat
to to
the the
company company
' '
s s
evolution evolution
, ,
expansion expansion
and and
peak peak
. .
This this
is be
his his
first first
time time
speaking speak
publicly publicly
about about
WeWork wework
. .
DF df
: :
I i
think think
we we
tried try
to to
do do
a a
lot lot
as as
a a
company company
. .
you you
know know
, ,
what what
' '
s s
the the
saying saying
, ,
start-ups start-up
don don
' '
t t
die die
of of
starvation starvation
, ,
they they
die die
of of
indigestion indigestion
. .
I i
think think
we we
did do
a a
lot lot
, ,
I i
think think
we we
tried try
to to
do do
a a
lot lot
of of
things thing
, ,
which which
probably probably
led lead
to to
over-committing over-committing
and and
not not
following follow
through through
with with
things thing
at at
times time
. .
But but
I i
don don
' '
t t
think think
that that
there there
was be
ill ill
intent intent
. .
AG ag
: :
I i
want want
to to
dig dig
more more
into into
that that
, ,
but but
first first
let let
me me
tell tell
you you
actually actually
about about
my my
first first
introduction introduction
to to
WeWork wework
. .
So so
summer summer
2017 @card@
, ,
I i
had have
been be
talking talk
to to
the the
TED ted
team team
about about
starting start
this this
WorkLife worklife
podcast podcast
, ,
and and
I i
mentioned mention
it it
to to
a a
few few
friends friend
of of
mine mine
and and
a a
couple couple
of of
colleagues colleague
, ,
and and
one one
of of
them them
said say
, ,
" "
Oh oh
, ,
you you
' '
ve ve
got get
to to
talk talk
to to
WeWork wework
, ,
because because
they they
' '
re re
all all
about about
trying try
to to
make make
work work
better well
. .
" "
And and
before before
I i
knew know
it it
, ,
I i
was be
being be
introduced introduce
to to
Adam adam
, ,
and and
I i
reached reach
out out
to to
a a
colleague colleague
I i
knew know
had have
worked work
with with
the the
company company
a a
bunch bunch
, ,
and and
she she
said say
, ,
" "
Listen listen
, ,
they they
are be
obviously obviously
growing grow
really really
fast fast
, ,
they they
' '
re re
accomplishing accomplish
a a
lot lot
, ,
but but
if if
I i
were be
you you
I i
wouldn wouldn
' '
t t
trust trust
them them
because because
they they
' '
re re
gangsters gangster
. .
" "
I i
didn didn
' '
t t
know know
what what
that that
meant mean
at at
first first
, ,
I i
' '
m m
curious curious
about about
whether whether
you you
heard hear
that that
description description
and and
what what
you you
took take
from from
it it
? ?
DF df
: :
Actually actually
it it
' '
s s
the the
first first
time time
I i
' '
ve ve
heard hear
the the
company company
described describe
that that
way way
. .
I i
don don
' '
t t
feel feel
like like
that that
was be
the the
case case
, ,
I i
think think
actually actually
more more
often often
than than
not not
we we
did do
the the
right right
thing thing
, ,
we we
tried try
to to
do do
right right
by by
vendors vendor
, ,
we we
tried try
to to
do do
right right
by by
the the
people people
. .
When when
you you
get get
bigger big
those those
things thing
get get
complicated complicated
and and
there there
' '
s s
always always
two two
sides side
to to
every every
story story
. .
AG ag
: :
There there
are be
. .
Well well
, ,
I i
certainly certainly
want want
to to
hear hear
more more
of of
your your
side side
. .
So so
let let
' '
s s
begin begin
with with
, ,
what what
was be
the the
mission mission
when when
you you
joined join
? ?
DF df
: :
To to
create create
a a
world world
where where
people people
make make
a a
life life
and and
not not
just just
a a
living living
. .
Or or
enable enable
a a
world world
, ,
where where
, ,
you you
now now
, ,
there there
' '
s s
-- --
the the
main main
punchline punchline
being be
that that
you you
create create
a a
world world
where where
people people
make make
a a
life life
and and
not not
just just
a a
living living
. .
AG ag
: :
That that
is be
both both
incredibly incredibly
lofty lofty
and and
extraordinarily extraordinarily
vague vague
. .
What what
did do
it it
mean mean
to to
you you
? ?
DF df
: :
I i
always always
really really
connected connect
with with
the the
aspects aspect
of of
work work
. .
Not not
as as
much much
the the
sort sort
of of
, ,
non-work non-work
side side
, ,
however however
we we
define define
that that
. .
So so
I i
thought think
that that
was be
very very
exciting exciting
, ,
you you
know know
, ,
if if
I i
' '
m m
an an
embroidery embroidery
designer designer
sending send
invoices invoice
and and
billing billing
is be
not not
so so
exciting exciting
, ,
or or
signing sign
a a
lease lease
, ,
so so
I i
was be
really really
excited excite
about about
the the
idea idea
of of
stripping strip
away away
all all
the the
stuff stuff
that that
was be
not not
their their
core core
activity activity
, ,
and and
I i
was be
pretty pretty
charged charge
up up
with with
that that
and and
that that
' '
s s
how how
I i
interpreted interpret
the the
mission mission
. .
AG ag
: :
Got get
it it
. .
That that
could could
almost almost
be be
the the
slogan slogan
for for
this this
podcast podcast
that that
I i
host host
. .
So so
that that
, ,
if if
you you
frame frame
the the
mission mission
that that
way way
, ,
I i
could could
even even
imagine imagine
myself myself
getting get
excited excited
about about
it it
. .
I i
' '
m m
curious curious
about about
how how
the the
mission mission
got get
communicated communicate
. .
What what
were be
the the
major major
ways way
that that
the the
mission mission
was be
brought bring
to to
life life
? ?
DF df
: :
I i
think think
it it
changed change
over over
time time
, ,
I i
think think
very very
early early
on on
, ,
it it
was be
about about
the the
entrepreneur entrepreneur
, ,
the the
small small
business business
, ,
the the
founder founder
, ,
and and
enabling enable
them them
to to
do do
what what
they they
love love
and and
start start
the the
companies company
that that
mattered matter
to to
them them
, ,
and and
all all
these these
companies company
that that
were be
going go
to to
go go
change change
the the
world world
. .
I i
think think
as as
the the
company company
got get
a a
little little
bigger big
and and
there there
was be
excitement excitement
around around
the the
reach reach
of of
the the
idea idea
, ,
and and
building build
more more
of of
a a
lifestyle lifestyle
brand brand
, ,
it it
started start
to to
become become
a a
little little
more more
consumer consumer
centric centric
and and
tried try
to to
speak speak
to to
a a
broader broad
audience audience
, ,
and and
then then
you you
saw see
the the
evolution evolution
of of
the the
company company
trying try
to to
do do
more more
things thing
. .
We we
live live
, ,
we we
grow grow
, ,
and and
then then
it it
goes go
really really
about about
serving serve
everybody everybody
and and
enabling enable
everyone everyone
to to
, ,
you you
know know
, ,
live live
their their
best good
lives life
. .
It it
became become
incredibly incredibly
broad broad
, ,
but but
I i
think think
a a
lot lot
of of
people people
suited suit
up up
every every
day day
to to
go go
do do
that that
, ,
I i
think think
people people
jumped jump
out out
of of
bed bed
excited excite
to to
try try
to to
help help
people people
. .
It it
was be
a a
powerful powerful
mission mission
. .
And and
I i
think think
as as
a a
workforce workforce
and and
as as
a a
team team
, ,
people people
got get
really really
excited excited
about about
it it
, ,
and and
it it
motivated motivate
them them
and and
the the
closer close
proximity proximity
you you
had have
to to
the the
customers customer
and and
the the
more more
you you
can can
see see
that that
you you
are be
affecting affect
these these
people people
and and
helping help
them them
day day
in in
and and
day day
out out
, ,
whether whether
they they
were be
the the
owner owner
of of
the the
company company
or or
an an
employee employee
of of
the the
company company
, ,
people people
were be
really really
charged charge
up up
to to
help help
them them
. .
AG ag
: :
Is be
there there
a a
story story
, ,
Dave dave
, ,
that that
illustrates illustrate
a a
moment moment
when when
you you
really really
felt feel
fired fire
up up
by by
the the
mission mission
, ,
wondering wonder
was be
there there
a a
company company
retreat retreat
where where
a a
speech speech
resonated resonate
with with
you you
, ,
or or
, ,
you you
know know
, ,
just just
any any
defining define
experience experience
where where
it it
clicked click
and and
you you
said say
, ,
" "
Yeah yeah
, ,
this this
is be
why why
I i
' '
m m
here here
. .
" "
DF df
: :
There there
was be
a a
story story
that that
the the
community community
manager manager
told tell
one one
day day
of of
someone someone
who who
was be
working work
at at
one one
of of
the the
companies company
in in
the the
building building
and and
he he
had have
become become
really really
good good
friends friend
with with
them them
and and
they they
' '
d d
see see
them them
every every
day day
and and
he he
came come
, ,
I i
think think
, ,
crying cry
to to
the the
main main
community community
desk desk
and and
he he
had have
lost lose
his his
job job
. .
And and
the the
community community
team team
mobilized mobilize
incredibly incredibly
quickly quickly
, ,
started start
to to
talk talk
to to
all all
the the
other other
members member
in in
the the
building building
, ,
and and
I i
think think
within within
48 @card@
hours hour
they they
found find
him him
a a
new new
job job
. .
And and
I i
thought think
that that
was be
amazing amazing
, ,
that that
this this
person person
, ,
you you
know know
, ,
we we
associate associate
so so
much much
of of
our our
identity identity
and and
our our
being being
to to
our our
work work
, ,
and and
the the
work work
we we
do do
and and
the the
company company
that that
we we
do do
it it
at at
, ,
and and
especially especially
I i
like like
to to
think think
of of
it it
through through
the the
lens lens
of of
the the
employee employee
, ,
because because
I i
think think
the the
founders founder
and and
CEOs ceo
have have
a a
bit bit
more more
agency agency
in in
those those
things thing
, ,
and and
that that
wasn wasn
' '
t t
the the
person person
paying pay
the the
bills bill
, ,
this this
was be
someone someone
who who
worked work
in in
the the
building building
and and
that that
the the
community community
team team
took take
such such
good good
care care
of of
this this
person person
, ,
and and
they they
didn didn
' '
t t
need need
to to
, ,
again again
, ,
this this
person person
wasn wasn
' '
t t
, ,
like like
, ,
the the
direct direct
customer customer
. .
And and
that that
by by
being be
part part
of of
that that
community community
, ,
that that
person person
was be
taken take
care care
of of
. .
That that
really really
meant mean
a a
lot lot
to to
me me
, ,
and and
I i
thought think
that that
that that
was be
really really
beautiful beautiful
. .
A a
group group
of of
people people
that that
could could
be be
looking look
out out
for for
each each
other other
. .
And and
this this
thing thing
is be
mostly mostly
individualistic individualistic
, ,
managing manage
my my
career career
, ,
looking look
out out
for for
myself myself
, ,
making make
my my
money money
. .
For for
me me
that that
really really
highlighted highlight
the the
benefits benefit
of of
what what
we we
were be
doing do
. .
And and
I i
got get
even even
more more
excited excited
to to
figure figure
out out
how how
to to
scale scale
that that
out out
to to
more more
people people
. .
AG ag
: :
It it
sounds sound
like like
you you
were be
far far
from from
the the
only only
one one
to to
feel feel
fired fire
up up
about about
the the
mission mission
. .
What what
would would
you you
say say
was be
the the
dominant dominant
emotion emotion
that that
people people
felt feel
at at
WeWork wework
? ?
DF df
: :
Excited excite
. .
High high
growth growth
is be
pretty pretty
exciting exciting
. .
You you
hit hit
those those
milestones milestone
, ,
you you
hit hit
those those
achievements achievement
that that
you you
didn didn
' '
t t
even even
think think
were be
possible possible
. .
It it
' '
s s
a a
combination combination
of of
excited excite
and and
exhausted exhaust
. .
And and
I i
think think
people people
-- --
I i
think think
struggle struggle
is be
kind kind
of of
important important
to to
really really
love love
your your
work work
. .
I i
think think
you you
may may
not not
realize realize
it it
at at
the the
time time
, ,
but but
I i
think think
it it
' '
s s
one one
of of
those those
things thing
in in
retrospect retrospect
, ,
when when
you you
think think
about about
some some
of of
the the
most most
fulfilling fulfill
times time
at at
work work
, ,
they they
involve involve
some some
amount amount
of of
struggle struggle
, ,
and and
I i
think think
people people
felt feel
really really
fulfilled fulfill
by by
their their
work work
. .
Again again
, ,
I i
think think
there there
was be
plenty plenty
of of
peaks peak
of of
exhaustion exhaustion
, ,
but but
I i
think think
they they
were be
getting get
to to
do do
really really
good good
work work
with with
really really
good good
people people
. .
And and
I i
think think
they they
felt feel
that that
sense sense
of of
community community
and and
excitement excitement
. .
AG ag
: :
The the
juxtaposition juxtaposition
of of
excitement excitement
and and
exhaustion exhaustion
is be
fascinating fascinating
to to
me me
, ,
it it
reminds remind
me me
of of
some some
research research
on on
what what
' '
s s
called call
the the
passion passion
tax tax
, ,
where where
Aaron aaron
Kay kay
and and
his his
colleagues colleague
have have
found find
that that
people people
who who
love love
their their
jobs job
are be
more more
likely likely
to to
get get
asked ask
to to
do do
extra extra
work work
unpaid unpaid
, ,
even even
if if
it it
' '
s s
not not
part part
of of
their their
role role
, ,
even even
if if
it it
' '
s s
demeaning demean
. .
And and
they they
end end
up up
sacrificing sacrifice
sleep sleep
, ,
family family
time time
and and
health health
because because
of of
it it
. .
Do do
you you
feel feel
like like
there there
was be
a a
passion passion
tax tax
imposed impose
at at
WeWork wework
? ?
DF df
: :
I i
think think
people people
loved love
what what
they they
did do
. .
And and
I i
think think
they they
worked work
hard hard
. .
You you
know know
, ,
I i
think think
if if
you you
asked ask
most most
people people
that that
worked work
there there
they they
' '
ll ll
tell tell
you you
about about
how how
amazing amazing
the the
team team
was be
, ,
and and
that that
it it
was be
some some
of of
the the
most most
incredible incredible
people people
they they
ever ever
got get
to to
work work
with with
. .
And and
I i
really really
think think
people people
liked like
being being
at at
work work
. .
And and
yeah yeah
, ,
so so
I i
think think
they they
may may
have have
put put
a a
little little
bit bit
more more
of of
themselves themselves
out out
there there
that that
led lead
to to
a a
little little
bit bit
more more
of of
that that
draining draining
and and
exhaustion exhaustion
, ,
but but
I i
think think
people people
were be
pretty pretty
stoked stoke
for for
the the
work work
they they
were be
doing do
and and
the the
people people
they they
were be
doing do
it it
with with
. .
AG ag
: :
So so
it it
sounds sound
like like
then then
you you
don don
' '
t t
feel feel
that that
they they
were be
getting get
exploited exploit
, ,
so so
much much
as as
they they
were be
making make
voluntary voluntary
sacrifices sacrifice
out out
of of
passion passion
? ?
DF df
: :
I i
don don
' '
t t
think think
so so
. .
Look look
, ,
that that
' '
s s
a a
tricky tricky
one one
, ,
because because
I i
had have
a a
very very
particular particular
view view
of of
the the
business business
, ,
given give
my my
scope scope
and and
my my
domain domain
. .
There there
were be
a a
lot lot
of of
different different
roles role
. .
I i
didn didn
' '
t t
work work
in in
the the
buildings building
. .
Most most
of of
the the
folks folk
that that
I i
lead lead
and and
managed manage
and and
interacted interact
with with
on on
a a
regular regular
basis basis
were be
within within
the the
office office
, ,
and and
they they
had have
a a
bit bit
more more
control control
of of
, ,
sort sort
of of
, ,
managing manage
their their
time time
. .
I i
could could
imagine imagine
if if
you you
were be
working work
in in
the the
buildings building
and and
you you
had have
a a
bit bit
more more
of of
a a
direct direct
obligation obligation
to to
the the
members member
and and
their their
needs need
that that
it it
may may
not not
have have
felt feel
like like
you you
had have
as as
much much
agency agency
, ,
so so
I i
can can
' '
t t
speak speak
to to
that that
as as
much much
. .
AG ag
: :
When when
I i
sat sit
down down
with with
Adam adam
, ,
I i
was be
asking ask
him him
what what
WeWork wework
was be
all all
about about
, ,
what what
are be
his his
goals goal
, ,
what what
' '
s s
he he
hoping hope
to to
accomplish accomplish
, ,
and and
he he
said say
, ,
" "
We we
' '
re re
selling selling
culture culture
. .
" "
And and
you you
know know
, ,
my my
reaction reaction
, ,
as as
an an
organizational organizational
psychologist psychologist
was be
, ,
" "
I i
' '
m m
pretty pretty
sure sure
you you
' '
re re
leasing leasing
buildings building
. .
" "
It it
seemed seem
like like
there there
was be
a a
big big
, ,
you you
know know
, ,
a a
little little
bit bit
of of
a a
leap leap
from from
what what
the the
actual actual
work work
was be
to to
the the
mission mission
that that
it it
was be
serving serve
, ,
and and
of of
course course
, ,
sometimes sometimes
those those
leaps leap
are be
aspirational aspirational
. .
Sometimes sometimes
they they
' '
re re
part part
of of
creating create
a a
meaningful meaningful
and and
compelling compelling
vision vision
. .
But but
the the
disconnect disconnect
felt feel
a a
little little
bit bit
more more
significant significant
to to
me me
than than
I i
see see
in in
a a
lot lot
of of
workplaces workplace
. .
What what
' '
s s
your your
take take
on on
that that
? ?
DF df
: :
I i
think think
we we
were be
selling sell
cultural cultural
intervention intervention
. .
I i
think think
a a
culture culture
is be
ultimately ultimately
the the
aggregates aggregate
of of
the the
micro-actions micro-action
that that
an an
organization organization
takes take
, ,
and and
we we
couldn couldn
' '
t t
entirely entirely
control control
those those
. .
But but
I i
think think
we we
were be
trying try
to to
help help
shape shape
culture culture
. .
The the
big big
learning learning
for for
me me
was be
that that
space space
and and
the the
physical physical
environment environment
helped help
, ,
but but
at at
the the
end end
of of
the the
day day
it it
was be
the the
core core
and and
how how
the the
organization organization
behaved behave
that that
would would
ultimately ultimately
shape shape
the the
culture culture
. .
And and
companies company
who who
are be
looking look
to to
try try
to to
bring bring
cultural cultural
lightning lightning
rods rod
to to
the the
organization organization
would would
bring bring
a a
whole whole
group group
into into
a a
WeWork wework
, ,
because because
it it
was be
so so
different different
from from
whatever whatever
their their
corporate corporate
environment environment
was be
. .
So so
we we
would would
be be
used use
as as
a a
bit bit
of of
a a
lever lever
for for
cultural cultural
change change
. .
So so
I i
think think
we we
were be
helping help
inform inform
culture culture
. .
I i
think think
companies company
were be
looking look
to to
us us
to to
think think
about about
culture culture
in in
a a
different different
way way
. .
I i
would would
say say
the the
unfortunate unfortunate
part part
is be
I i
think think
they they
gave give
too too
much much
emphasis emphasis
to to
the the
space space
itself itself
. .
And and
that that
, ,
you you
know know
, ,
what what
one one
of of
my my
colleagues colleague
at at
WeWork wework
at at
the the
time time
called call
cultural cultural
confetti confetti
, ,
and and
much much
more more
of of
the the
appliqué appliqué
of of
culture culture
than than
, ,
like like
, ,
the the
deep deep
internals internal
of of
culture culture
. .
So so
I i
think think
we we
were be
trying try
to to
have have
those those
conversations conversation
and and
it it
was be
a a
tricky tricky
thing thing
to to
navigate navigate
, ,
understanding understand
that that
our our
product product
in in
the the
market market
was be
space space
, ,
and and
flexibility flexibility
in in
space space
, ,
while while
still still
trying try
to to
have have
a a
meaningful meaningful
impact impact
on on
the the
employee employee
experience experience
. .
AG ag
: :
Cultural cultural
confetti confetti
, ,
I i
think think
in in
that that
sense sense
, ,
it it
sounds sound
like like
just just
a a
surface surface
layer layer
, ,
as as
opposed oppose
to to
dealing deal
with with
the the
underlying underlie
values value
and and
norms norm
that that
define define
what what
a a
culture culture
is be
. .
But but
the the
other other
image image
that that
confetti confetti
paints paint
for for
me me
, ,
at at
least least
in in
my my
mind mind
, ,
is be
it it
almost almost
sounds sound
like like
it it
' '
s s
a a
weak weak
culture culture
, ,
that that
it it
' '
s s
kind kind
of of
dispersed disperse
and and
there there
' '
s s
not not
anything anything
consistent consistent
or or
strong strong
about about
it it
. .
And and
that that
to to
me me
is be
a a
big big
part part
of of
the the
difference difference
between between
weak weak
and and
strong strong
cultures culture
. .
So so
in in
my my
world world
we we
normally normally
define define
a a
weak weak
culture culture
as as
existing exist
when when
you you
go go
around around
to to
different different
people people
and and
you you
ask ask
what what
the the
values value
are be
and and
they they
all all
name name
different different
values value
, ,
and and
nobody nobody
really really
cares care
about about
them them
. .
In in
a a
strong strong
culture culture
, ,
the the
values value
are be
widely widely
shared share
, ,
so so
everybody everybody
believes believe
the the
values value
are be
the the
same same
. .
And and
they they
' '
re re
intensely intensely
held hold
, ,
so so
people people
are be
extremely extremely
passionate passionate
about about
them them
. .
My my
sense sense
was be
that that
WeWork wework
had have
a a
very very
strong strong
culture culture
. .
First first
question question
is be
do do
you you
agree agree
or or
disagree disagree
, ,
and and
then then
secondly secondly
, ,
how how
would would
you you
describe describe
the the
culture culture
? ?
DF df
: :
I i
think think
WeWork wework
had have
an an
incredibly incredibly
strong strong
culture culture
. .
I i
think think
people people
felt feel
very very
connected connect
to to
the the
mission mission
, ,
I i
think think
they they
felt feel
very very
connected connect
to to
the the
values value
. .
So so
in in
that that
sense sense
the the
culture culture
was be
incredibly incredibly
strong strong
. .
It it
was be
about about
relentlessness relentlessness
, ,
entrepreneurialism entrepreneurialism
, ,
respect respect
, ,
tenaciousness tenaciousness
, ,
togetherness togetherness
and and
community community
. .
It it
was be
really really
about about
achieving achieve
a a
lot lot
as as
a a
collective collective
, ,
I i
think think
that that
was be
kind kind
of of
the the
essence essence
of of
the the
values value
, ,
and and
bringing bring
an an
entrepreneurial entrepreneurial
approach approach
to to
everything everything
we we
did do
. .
And and
I i
think think
the the
organization organization
, ,
you you
know know
, ,
for for
the the
most most
part part
operated operate
that that
way way
. .
I i
think think
people people
felt feel
very very
emboldened embolden
to to
do do
what what
they they
thought think
was be
right right
for for
the the
customer customer
. .
If if
you you
were be
the the
community community
manager manager
of of
a a
building building
and and
it it
wasn wasn
' '
t t
part part
of of
the the
standard standard
operating operate
procedures procedure
to to
have have
, ,
you you
know know
, ,
nondairy nondairy
milk milk
, ,
but but
you you
had have
a a
member member
who who
needed need
it it
, ,
they they
would would
go go
do do
it it
. .
That that
' '
s s
kind kind
of of
a a
silly silly
little little
example example
, ,
but but
there there
are be
places place
where where
you you
could could
find find
yourself yourself
caught catch
in in
bureaucracy bureaucracy
for for
weeks week
to to
be be
able able
to to
do do
something something
like like
that that
. .
And and
they they
felt feel
, ,
you you
know know
, ,
I i
think think
, ,
a a
tremendous tremendous
amount amount
of of
agency agency
and and
ownership ownership
around around
-- --
And and
then then
again again
, ,
everyone everyone
felt feel
this this
way way
to to
do do
the the
things thing
you you
needed need
to to
do do
to to
move move
the the
business business
forward forward
. .
At at
least least
what what
we we
thought think
was be
moving move
the the
business business
forward forward
at at
the the
time time
. .
AG ag
: :
That that
goes go
to to
a a
lot lot
of of
the the
research research
on on
strong strong
cultures culture
, ,
which which
, ,
there there
' '
s s
a a
long long
list list
of of
benefits benefit
. .
We we
know know
that that
when when
organizations organization
have have
strong strong
cultures culture
they they
' '
re re
better well
at at
attracting attract
and and
retaining retain
people people
, ,
because because
they they
stand stand
for for
something something
unique unique
and and
it it
draws draw
talented talented
employees employee
, ,
and and
once once
they they
' '
re re
there there
, ,
why why
would would
I i
want want
to to
go go
anywhere anywhere
else else
? ?
It it
' '
s s
also also
helpful helpful
for for
motivating motivate
and and
connecting connect
and and
coordinating coordinate
people people
, ,
because because
