Hi hi
life life
, ,
and and
I i
don don
' '
t t
know know
what what
it it
is be
, ,
but but
I i
' '
m m
pretty pretty
certain certain
that that
management management
consultancy consultancy
is be
not not
it it
. .
So so
, ,
fast fast
forward forward
a a
few few
years year
. .
I i
' '
d d
gone go
through through
some some
changes change
. .
To to
try try
and and
answer answer
that that
question question
of of
, ,
" "
What what
am be
I i
supposed suppose
to to
be be
doing do
with with
my my
life life
? ?
" "
I i
sat sit
down down
one one
day day
and and
wrote write
two two
versions version
of of
my my
own own
obituary obituary
, ,
the the
one one
that that
I i
wanted want
, ,
a a
life life
of of
adventure adventure
, ,
and and
the the
one one
that that
I i
was be
actually actually
heading head
for for
which which
was be
a a
nice nice
, ,
normal normal
, ,
pleasant pleasant
life life
, ,
but but
it it
wasn wasn
' '
t t
where where
I i
wanted want
to to
be be
by by
the the
end end
of of
my my
life life
. .
I i
wanted want
to to
live live
a a
life life
that that
I i
could could
be be
proud proud
of of
. .
And and
I i
remember remember
looking look
at at
these these
two two
versions version
of of
my my
obituary obituary
and and
thinking thinking
, ,
" "
Oh oh
boy boy
, ,
I i
' '
m m
on on
totally totally
the the
wrong wrong
track track
here here
. .
If if
I i
carry carry
on on
living live
as as
I i
am be
now now
, ,
I i
' '
m m
just just
not not
going go
to to
end end
up up
where where
I i
want want
to to
be be
in in
five five
years year
, ,
or or
10 @card@
years year
, ,
or or
at at
the the
end end
of of
my my
life life
. .
" "
I i
made make
a a
few few
changes change
, ,
let let
go go
of of
some some
loose loose
trappings trappings
of of
my my
old old
life life
, ,
and and
through through
a a
bit bit
of of
a a
leap leap
of of
logic logic
, ,
decided decide
to to
row row
across across
the the
Atlantic atlantic
Ocean ocean
. .
The the
Atlantic atlantic
Rowing rowing
Race race
runs run
from from
the the
Canaries canary
to to
Antigua antigua
, ,
it it
' '
s s
about about
3 @card@
, ,
000 @card@
miles mile
, ,
and and
it it
turned turn
out out
to to
be be
the the
hardest hard
thing thing
I i
had have
ever ever
done do
. .
Sure sure
, ,
I i
had have
wanted want
to to
get get
outside outside
of of
my my
comfort comfort
zone zone
, ,
but but
what what
I i
' '
d d
sort sort
of of
failed fail
to to
notice notice
was be
that that
getting get
out out
of of
your your
comfort comfort
zone zone
is be
, ,
by by
definition definition
, ,
extremely extremely
uncomfortable uncomfortable
. .
And and
my my
timing timing
was be
not not
great great
either either
: :
2005 @card@
, ,
when when
I i
did do
the the
Atlantic atlantic
, ,
was be
the the
year year
of of
Hurricane hurricane
Katrina katrina
. .
There there
were be
more more
tropical tropical
storms storm
in in
the the
North north
Atlantic atlantic
than than
ever ever
before before
, ,
since since
records record
began begin
. .
And and
pretty pretty
early early
on on
, ,
those those
storms storm
started start
making make
their their
presence presence
known know
. .
All all
four four
of of
my my
oars oar
broke break
before before
I i
reached reach
halfway halfway
across across
. .
Oars oar
are be
not not
supposed suppose
to to
look look
like like
this this
. .
But but
what what
can can
you you
do do
? ?
You you
' '
re re
in in
the the
middle middle
of of
the the
ocean ocean
. .
Oars oar
are be
your your
only only
means mean
of of
propulsion propulsion
. .
So so
I i
just just
had have
to to
look look
around around
the the
boat boat
and and
figure figure
out out
what what
I i
was be
going go
to to
use use
to to
fix fix
up up
these these
oars oar
so so
that that
I i
could could
carry carry
on on
. .
So so
I i
found find
a a
boat boat
hook hook
and and
my my
trusty trusty
duct duct
tape tape
and and
splintered splinter
the the
boat boat
hook hook
to to
the the
oars oar
to to
reinforce reinforce
it it
. .
Then then
, ,
when when
that that
gave give
out out
, ,
I i
sawed saw
the the
wheel wheel
axles axle
off off
my my
spare spare
rowing rowing
seat seat
and and
used use
those those
. .
And and
then then
when when
those those
gave give
out out
, ,
I i
cannibalized cannibalize
one one
of of
the the
broken break
oars oar
. .
I i
' '
d d
never never
been be
very very
good good
at at
fixing fix
stuff stuff
when when
I i
was be
living live
my my
old old
life life
, ,
but but
it it
' '
s s
amazing amazing
how how
resourceful resourceful
you you
can can
become become
when when
you you
' '
re re
in in
the the
middle middle
of of
the the
ocean ocean
and and
there there
' '
s s
only only
one one
way way
to to
get get
to to
the the
other other
side side
. .
And and
the the
oars oar
kind kind
of of
became become
a a
symbol symbol
of of
just just
in in
how how
many many
ways way
I i
went go
beyond beyond
what what
I i
thought think
were be
my my
limits limit
. .
I i
suffered suffer
from from
tendinitis tendinitis
on on
my my
shoulders shoulder
and and
saltwater saltwater
sores sore
on on
my my
bottom bottom
. .
I i
really really
struggled struggle
psychologically psychologically
, ,
totally totally
overwhelmed overwhelm
by by
the the
scale scale
of of
the the
challenge challenge
, ,
realizing realize
that that
, ,
if if
I i
carried carry
on on
moving move
at at
two two
miles mile
an an
hour hour
, ,
3 @card@
, ,
000 @card@
miles mile
was be
going go
to to
take take
me me
a a
very very
, ,
very very
long long
time time
. .
There there
were be
so so
many many
times time
when when
I i
thought think
I i
' '
d d
hit hit
that that
limit limit
, ,
but but
had have
no no
choice choice
but but
to to
just just
carry carry
on on
and and
try try
and and
figure figure
out out
how how
I i
was be
going go
to to
get get
to to
the the
other other
side side
without without
driving drive
myself myself
crazy crazy
. .
And and
eventually eventually
after after
103 @card@
days day
at at
sea sea
, ,
I i
arrived arrive
in in
Antigua antigua
. .
I i
don don
' '
t t
think think
I i
' '
ve ve
ever ever
felt feel
so so
happy happy
in in
my my
entire entire
life life
. .
It it
was be
a a
bit bit
like like
finishing finish
a a
marathon marathon
and and
getting get
out out
of of
solitary solitary
confinement confinement
and and
winning win
an an
Oscar oscar
all all
rolled roll
into into
one one
. .
I i
was be
euphoric euphoric
. .
And and
to to
see see
all all
the the
people people
coming come
out out
to to
greet greet
me me
and and
standing stand
along along
the the
cliff cliff
tops top
and and
clapping clap
and and
cheering cheer
, ,
I i
just just
felt feel
like like
a a
movie movie
star star
. .
It it
was be
absolutely absolutely
wonderful wonderful
. .
And and
I i
really really
learned learn
then then
that that
, ,
the the
bigger big
the the
challenge challenge
, ,
the the
bigger big
the the
sense sense
of of
achievement achievement
when when
you you
get get
to to
the the
end end
of of
it it
. .
So so
this this
might might
be be
a a
good good
moment moment
to to
take take
a a
quick quick
time-out time-out
to to
answer answer
a a
few few
FAQs faqs
about about
ocean ocean
rowing rowing
that that
might might
be be
going go
through through
your your
mind mind
. .
Number number
one one
that that
I i
get get
asked ask
: :
What what
do do
you you
eat eat
? ?
A a
few few
freeze-dried freeze-dry
meals meal
, ,
but but
mostly mostly
I i
try try
and and
eat eat
much much
more more
unprocessed unprocessed
foods food
. .
So so
I i
grow grow
my my
own own
beansprouts beansprout
. .
I i
eat eat
fruits fruit
and and
nut nut
bars bar
, ,
a a
lot lot
of of
nuts nut
. .
And and
generally generally
arrive arrive
about about
30 @card@
pounds pound
lighter light
at at
the the
other other
end end
. .
Question question
number number
two two
: :
How how
do do
you you
sleep sleep
? ?
With with
my my
eyes eye
shut shut
. .
Ha-ha ha-ha
. .
I i
suppose suppose
what what
you you
mean mean
is be
: :
What what
happens happen
to to
the the
boat boat
while while
I i
' '
m m
sleeping sleeping
? ?
Well well
, ,
I i
plan plan
my my
route route
so so
that that
I i
' '
m m
drifting drift
with with
the the
winds wind
and and
the the
currents current
while while
I i
' '
m m
sleeping sleeping
. .
On on
a a
good good
night night
, ,
I i
think think
my my
best well
ever ever
was be
11 @card@
miles mile
in in
the the
right right
direction direction
. .
Worst bad
ever ever
, ,
13 @card@
miles mile
in in
the the
wrong wrong
direction direction
. .
That that
' '
s s
a a
bad bad
day day
at at
the the
office office
. .
What what
do do
I i
wear wear
? ?
Mostly mostly
, ,
a a
baseball baseball
cap cap
, ,
rowing rowing
gloves glove
and and
a a
smile smile
— -
or or
a a
frown frown
, ,
depending depend
on on
whether whether
I i
went go
backwards backwards
overnight overnight
— -
and and
lots lot
of of
sun sun
lotion lotion
. .
Do do
I i
have have
a a
chase chase
boat boat
? ?
No no
I i
don don
' '
t t
. .
I i
' '
m m
totally totally
self-supporting self-supporting
out out
there there
. .
I i
don don
' '
t t
see see
anybody anybody
for for
the the
whole whole
time time
that that
I i
' '
m m
at at
sea sea
, ,
generally generally
. .
And and
finally finally
: :
Am be
I i
crazy crazy
? ?
Well well
, ,
I i
leave leave
that that
one one
up up
to to
you you
to to
judge judge
. .
So so
, ,
how how
do do
you you
top top
rowing rowing
across across
the the
Atlantic atlantic
? ?
Well well
, ,
naturally naturally
, ,
you you
decide decide
to to
row row
across across
the the
Pacific pacific
. .
Well well
, ,
I i
thought think
the the
Atlantic atlantic
was be
big big
, ,
but but
the the
Pacific pacific
is be
really really
, ,
really really
big big
. .
I i
think think
we we
tend tend
to to
do do
it it
a a
little little
bit bit
of of
a a
disservice disservice
in in
our our
usual usual
maps map
. .
I i
don don
' '
t t
know know
for for
sure sure
that that
the the
Brits brit
invented invent
this this
particular particular
view view
of of
the the
world world
, ,
but but
I i
suspect suspect
we we
might might
have have
done do
so so
: :
we we
are be
right right
in in
the the
middle middle
, ,
and and
we we
' '
ve ve
cut cut
the the
Pacific pacific
in in
half half
and and
flung fling
it it
to to
the the
far far
corners corner
of of
the the
world world
. .
Whereas whereas
if if
you you
look look
in in
Google google
Earth earth
, ,
this this
is be
how how
the the
Pacific pacific
looks look
. .
It it
pretty pretty
much much
covers cover
half half
the the
planet planet
. .
You you
can can
just just
see see
a a
little little
bit bit
of of
North north
America america
up up
here here
and and
a a
sliver sliver
of of
Australia australia
down down
there there
. .
It it
is be
really really
big big
— -
65 @card@
million million
square square
miles mile
— -
and and
to to
row row
in in
a a
straight straight
line line
across across
it it
would would
be be
about about
8 @card@
, ,
000 @card@
miles mile
. .
Unfortunately unfortunately
, ,
ocean ocean
rowboats rowboat
very very
rarely rarely
go go
in in
a a
straight straight
line line
. .
By by
the the
time time
I i
get get
to to
Australia australia
, ,
if if
I i
get get
to to
Australia australia
, ,
I i
will will
have have
rowed row
probably probably
nine nine
or or
10 @card@
, ,
000 @card@
miles mile
in in
all all
. .
So so
, ,
because because
nobody nobody
in in
their their
straight straight
mind mind
would would
row row
straight straight
past past
Hawaii hawaii
without without
dropping drop
in in
, ,
I i
decided decide
to to
cut cut
this this
very very
big big
undertaking undertaking
into into
three three
segments segment
. .
The the
first first
attempt attempt
didn didn
' '
t t
go go
so so
well well
. .
In in
2007 @card@
, ,
I i
did do
a a
rather rather
involuntary involuntary
capsize capsize
drill drill
three three
times time
in in
24 @card@
hours hour
. .
A a
bit bit
like like
being be
in in
a a
washing washing
machine machine
. .
Boat boat
got get
a a
bit bit
dinged ding
up up
, ,
so so
did do
I i
. .
I i
blogged blog
about about
it it
. .
Unfortunately unfortunately
, ,
somebody somebody
with with
a a
bit bit
of of
a a
hero hero
complex complex
decided decide
that that
this this
damsel damsel
was be
in in
distress distress
and and
needed needed
saving saving
. .
The the
first first
I i
knew know
about about
this this
was be
when when
the the
Coast coast
Guard guard
plane plane
turned turn
up up
overhead overhead
. .
I i
tried try
to to
tell tell
them them
to to
go go
away away
. .
We we
had have
a a
bit bit
of of
a a
battle battle
of of
wills will
. .
I i
lost lose
and and
got get
airlifted airlift
. .
Awful awful
, ,
really really
awful awful
. .
It it
was be
one one
of of
the the
worst bad
feelings feeling
of of
my my
life life
, ,
as as
I i
was be
lifted lift
up up
on on
that that
winch winch
line line
into into
the the
helicopter helicopter
and and
looked look
down down
at at
my my
trusty trusty
little little
boat boat
rolling roll
around around
in in
the the
20 @card@
foot foot
waves wave
and and
wondering wonder
if if
I i
would would
ever ever
see see
her her
again again
. .
So so
I i
had have
to to
launch launch
a a
very very
expensive expensive
salvage salvage
operation operation
and and
then then
wait wait
another another
nine nine
months month
before before
I i
could could
get get
back back
out out
onto onto
the the
ocean ocean
again again
. .
But but
what what
do do
you you
do do
? ?
Fall fall
down down
nine nine
times time
, ,
get get
up up
10 @card@
. .
So so
, ,
the the
following follow
year year
, ,
I i
set set
out out
and and
, ,
fortunately fortunately
, ,
this this
time time
made make
it it
safely safely
across across
to to
Hawaii hawaii
. .
But but
it it
was be
not not
without without
misadventure misadventure
. .
My my
watermaker watermaker
broke break
, ,
only only
the the
most most
important important
piece piece
of of
kit kit
that that
I i
have have
on on
the the
boat boat
. .
Powered power
by by
my my
solar solar
panels panel
, ,
it it
sucks suck
in in
saltwater saltwater
and and
turns turn
it it
into into
freshwater freshwater
. .
But but
it it
doesn doesn
' '
t t
react react
very very
well well
to to
being be
immersed immerse
in in
ocean ocean
, ,
which which
is be
what what
happened happen
to to
it it
. .
Fortunately fortunately
, ,
help help
was be
at at
hand hand
. .
There there
was be
another another
unusual unusual
boat boat
out out
there there
at at
the the
same same
time time
, ,
doing do
as as
I i
was be
doing do
, ,
bringing bring
awareness awareness
to to
the the
North north
Pacific pacific
Garbage garbage
Patch patch
, ,
that that
area area
in in
the the
North north
Pacific pacific
about about
twice twice
the the
size size
of of
Texas texas
, ,
with with
an an
estimated estimated
3 @card@
. .
5 @card@
million million
tons ton
of of
trash trash
in in
it it
, ,
circulating circulate
at at
the the
center center
of of
that that
North north
Pacific pacific
Gyre gyre
. .
So so
, ,
to to
make make
the the
point point
, ,
these these
guys guy
had have
actually actually
built build
their their
boat boat
out out
of of
plastic plastic
trash trash
, ,
15 @card@
, ,
000 @card@
empty empty
water water
bottles bottle
latched latch
together together
into into
two two
pontoons pontoon
. .
They they
were be
going go
very very
slowly slowly
. .
Partly partly
, ,
they they
' '
d d
had have
a a
bit bit
of of
a a
delay delay
. .
They they
' '
d d
had have
to to
pull pull
in in
at at
Catalina catalina
Island island
shortly shortly
after after
they they
left leave
Long long
Beach beach
because because
the the
lids lid
of of
all all
the the
water water
bottles bottle
were be
coming come
undone undo
, ,
and and
they they
were be
starting start
to to
sink sink
. .
So so
they they
' '
d d
had have
to to
pull pull
in in
and and
do do
all all
the the
lids lid
up up
. .
But but
, ,
as as
I i
was be
approaching approach
the the
end end
of of
my my
water water
reserves reserve
, ,
luckily luckily
, ,
our our
courses course
were be
converging converge
. .
They they
were be
running run
out out
of of
food food
; ;
I i
was be
running run
out out
of of
water water
. .
So so
we we
liaised liaise
by by
satellite satellite
phone phone
and and
arranged arrange
to to
meet meet
up up
. .
And and
it it
took take
about about
a a
week week
for for
us us
to to
actually actually
gradually gradually
converge converge
. .
I i
was be
doing do
a a
pathetically pathetically
slow slow
speed speed
of of
about about
1 @card@
. .
3 @card@
knots knot
, ,
and and
they they
were be
doing do
only only
marginally marginally
less less
pathetic pathetic
speed speed
of of
about about
1 @card@
. .
4 4
: :
it it
was be
like like
two two
snails snail
in in
a a
mating mating
dance dance
. .
But but
, ,
eventually eventually
, ,
we we
did do
manage manage
to to
meet meet
up up
and and
Joel joel
hopped hop
overboard overboard
, ,
caught catch
us us
a a
beautiful beautiful
, ,
big big
mahi- mahi-
mahi mahi
, ,
which which
was be
the the
best good
food food
I i
' '
d d
had have
in in
, ,
ooh ooh
, ,
at at
least least
three three
months month
. .
Fortunately fortunately
, ,
the the
one one
that that
he he
caught catch
that that
day day
was be
better good
than than
this this
one one
they they
caught catch
a a
few few
weeks week
earlier earlier
. .
When when
they they
opened open
this this
one one
up up
, ,
they they
found find
its its
stomach stomach
was be
full full
of of
plastic plastic
. .
And and
this this
is be
really really
bad bad
news news
because because
plastic plastic
is be
not not
an an
inert inert
substance substance
. .
It it
leaches leach
out out
chemicals chemical
into into
the the
flesh flesh
of of
the the
poor poor
critter critter
that that
ate eat
it it
, ,
and and
then then
we we
come come
along along
and and
eat eat
that that
poor poor
critter critter
, ,
and and
we we
get get
some some
of of
the the
toxins toxin
accumulating accumulate
in in
our our
bodies body
as as
well well
. .
So so
there there
are be
very very
real real
implications implication
for for
human human
health health
. .
I i
eventually eventually
made make
it it
to to
Hawaii hawaii
still still
alive alive
. .
And and
, ,
the the
following follow
year year
, ,
set set
out out
on on
the the
second second
stage stage
of of
the the
Pacific pacific
, ,
from from
Hawaii hawaii
down down
to to
Tarawa tarawa
. .
And and
you you
' '
ll ll
notice notice
something something
about about
Tarawa tarawa
; ;
it it
is be
very very
low-lying low-lying
. .
It it
' '
s s
that that
little little
green green
sliver sliver
on on
the the
horizon horizon
, ,
which which
makes make
them them
very very
nervous nervous
about about
rising rise
oceans ocean
. .
This this
is be
big big
trouble trouble
for for
these these
guys guy
. .
They they
' '
ve ve
got get
no no
points point
of of
land land
more more
than than
about about
six six
feet foot
above above
sea sea
level level
. .
And and
also also
, ,
as as
an an
increase increase
in in
extreme extreme
weather weather
events event
due due
to to
climate climate
change change
, ,
they they
' '
re re
expecting expect
more more
waves wave
to to
come come
in in
over over
the the
fringing fringe
reef reef
, ,
which which
will will
contaminate contaminate
their their
fresh fresh
water water
supply supply
. .
I i
had have
a a
meeting meeting
with with
the the
president president
there there
, ,
who who
told tell
me me
about about
his his
exit exit
strategy strategy
for for
his his
country country
. .
He he
expects expect
that that
within within
the the
next next
50 @card@
years year
, ,
the the
100 @card@
, ,
000 @card@
people people
that that
live live
there there
will will
have have
to to
relocate relocate
to to
New new
Zealand zealand
or or
Australia australia
. .
And and
that that
made make
me me
think think
about about
how how
would would
I i
feel feel
if if
Britain britain
was be
going go
to to
disappear disappear
under under
the the
waves wave
; ;
if if
the the
places place
where where
I i
' '
d d
been be
born bear
and and
gone go
to to
school school
and and
got get
married married
, ,
if if
all all
those those
places place
were be
just just
going go
to to
disappear disappear
forever forever
. .
How how
, ,
literally literally
, ,
ungrounded ungrounded
that that
would would
make make
me me
feel feel
. .
Very very
shortly shortly
, ,
I i
' '
ll ll
be be
setting set
out out
to to
try try
and and
get get
to to
Australia australia
, ,
and and
if if
I i
' '
m m
successful successful
, ,
I i
' '
ll ll
be be
the the
first first
woman woman
ever ever
to to
row row
solo solo
all all
the the
way way
across across
the the
Pacific pacific
. .
And and
I i
try try
to to
use use
this this
to to
bring bring
awareness awareness
to to
these these
environmental environmental
issues issue
, ,
to to
bring bring
a a
human human
face face
to to
the the
ocean ocean
. .
If if
the the
Atlantic atlantic
was be
about about
my my
inner inner
journey journey
, ,
discovering discover
my my
own own
capabilities capability
, ,
maybe maybe
the the
Pacific pacific
has have
been be
about about
my my
outer outer
journey journey
, ,
figuring figure
out out
how how
I i
can can
use use
my my
interesting interesting
career career
choice choice
to to
be be
of of
service service
to to
the the
world world
, ,
and and
to to
take take
some some
of of
those those
things thing
that that
I i
' '
ve ve
learned learn
out out
there there
and and
apply apply
them them
to to
the the
situation situation
that that
humankind humankind
now now
finds find
itself itself
in in
. .
I i
think think
there there
are be
probably probably
three three
key key
points point
here here
. .
The the
first first
one one
is be
about about
the the
stories story
that that
we we
tell tell
ourselves ourselves
. .
For for
so so
long long
, ,
I i
told tell
myself myself
that that
I i
couldn couldn
' '
t t
have have
an an
adventure adventure
because because
I i
wasn wasn
' '
t t
six six
foot foot
tall tall
and and
athletic athletic
and and
bearded bearded
. .
And and
then then
that that
story story
changed change
. .
I i
found find
out out
that that
people people
had have
rowed row
across across
oceans ocean
. .
I i
even even
met meet
one one
of of
them them
and and
she she
was be
just just
about about
my my
size size
. .
So so
even even
though though
I i
didn didn
' '
t t
grow grow
any any
taller tall
, ,
I i
didn didn
' '
t t
sprout sprout
a a
beard beard
, ,
something something
had have
changed change
: :
My my
interior interior
dialogue dialogue
had have
changed change
. .
At at
the the
moment moment
, ,
the the
story story
that that
we we
collectively collectively
tell tell
ourselves ourselves
is be
that that
we we
need need
all all
this this
stuff stuff
, ,
that that
we we
need need
oil oil
. .
But but
what what
about about
if if
we we
just just
change change
that that
story story
? ?
We we
do do
have have
alternatives alternative
, ,
and and
we we
have have
the the
power power
of of
free free
will will
to to
choose choose
those those
alternatives alternative
, ,
those those
sustainable sustainable
ones one
, ,
to to
create create
a a
greener green
future future
. .
The the
second second
point point
is be
about about
the the
accumulation accumulation
of of
tiny tiny
actions action
. .
We we
might might
think think
that that
anything anything
that that
we we
do do
as as
an an
individual individual
is be
just just
a a
drop drop
in in
the the
ocean ocean
, ,
that that
it it
can can
' '
t t
really really
make make
a a
difference difference
. .
But but
it it
does do
. .
Generally generally
, ,
we we
haven haven
' '
t t
got get
ourselves ourselves
into into
this this
mess mess
through through
big big
disasters disaster
. .
Yes yes
, ,
there there
have have
been be
the the
Exxon exxon
Valdezes valdezes
and and
the the
Chernobyls chernobyls
, ,
but but
mostly mostly
it it
' '
s s
been be
an an
accumulation accumulation
of of
bad bad
decisions decision
by by
billions billion
of of
individuals individual
, ,
day day
after after
day day
and and
year year
after after
year year
. .
And and
, ,
by by
the the
same same
token token
, ,
we we
can can
turn turn
that that
tide tide
. .
We we
can can
start start
making make
better good
, ,
wiser wise
, ,
more more
sustainable sustainable
decisions decision
. .
And and
when when
we we
do do
that that
, ,
we we
' '
re re
not not
just just
one one
person person
. .
Anything anything
that that
we we
do do
spreads spread
ripples ripple
. .
Other other
people people
will will
see see
if if
you you
' '
re re
in in
the the
supermarket supermarket
line line
and and
you you
pull pull
out out
your your
reusable reusable
grocery grocery
bag bag
. .
Maybe maybe
if if
we we
all all
start start
doing do
this this
, ,
we we
can can
make make
it it
socially socially
unacceptable unacceptable
to to
say say
yes yes
to to
plastic plastic
in in
the the
checkout checkout
line line
. .
That that
' '
s s
just just
one one
example example
. .
This this
is be
a a
world-wide world-wide
community community
. .
The the
other other
point point
: :
It it
' '
s s
about about
taking take
responsibility responsibility
. .
For for
so so
much much
of of
my my
life life
, ,
I i
wanted want
something something
else else
to to
make make
me me
happy happy
. .
I i
thought think
if if
I i
had have
the the
right right
house house
or or
the the
right right
car car
or or
the the
right right
man man
in in
my my
life life
, ,
then then
I i
could could
be be
happy happy
. .
But but
when when
I i
wrote write
that that
obituary obituary
exercise exercise
, ,
I i
actually actually
grew grow
up up
a a
little little
bit bit
in in
that that
moment moment
and and
realized realize
that that
I i
needed need
to to
create create
my my
own own
future future
. .
I i
couldn couldn
' '
t t
just just
wait wait
passively passively
for for
happiness happiness
to to
come come
and and
find find
me me
. .
And and
I i
suppose suppose
I i
' '
m m
a a
selfish selfish
environmentalist environmentalist
. .
I i
plan plan
on on
being be
around around
for for
a a
long long
time time
, ,
and and
when when
I i
' '
m m
90 @card@
years year
old old
, ,
I i
want want
to to
be be
happy happy
and and
healthy healthy
. .
And and
it it
' '
s s
very very
difficult difficult
to to
be be
happy happy
on on
a a
planet planet
that that
' '
s s
racked rack
with with
famine famine
and and
drought drought
. .
It it
' '
s s
very very
difficult difficult
to to
be be
healthy healthy
on on
a a
planet planet
where where
we we
' '
ve ve
poisoned poison
the the
earth earth
and and
the the
sea sea
and and
the the
air air
. .
So so
, ,
shortly shortly
, ,
I i
' '
m m
going go
to to
be be
launching launch
a a
new new
initiative initiative
called call
Eco-Heroes eco-heroes
. .
And and
the the
idea idea
here here
is be
that that
all all
our our
Eco-Heroes eco-heroes
will will
log log
at at
least least
one one
green green
deed deed
every every
day day
. .
It it
' '
s s
meant mean
to to
be be
a a
bit bit
of of
a a
game game
. .
We we
' '
re re
going go
to to
make make
an an
iPhone iphone
app app
out out
of of
it it
. .
We we
just just
want want
to to
try try
and and
create create
that that
awareness awareness
because because
, ,
sure sure
, ,
changing change
a a
light light
bulb bulb
isn isn
' '
t t
going go
to to
change change
the the
world world
, ,
but but
that that
attitude attitude
, ,
that that
awareness awareness
that that
leads lead
you you
to to
change change
the the
light light
bulb bulb
or or
take take
your your
reusable reusable
coffee coffee
mug mug
, ,
that that
is be
what what
could could
change change
the the
world world
. .
I i
really really
believe believe
that that
we we
stand stand
at at
a a
very very
important important
point point
in in
history history
. .
We we
have have
a a
choice choice
. .
We we
' '
ve ve
been be
blessed bless
, ,
or or
cursed curse
, ,
with with
free free
will will
. .
We we
can can
choose choose
a a
greener green
future future
, ,
and and
we we
can can
get get
there there
if if
we we
all all
pull pull
together together
to to
take take
it it
one one
stroke stroke
at at
a a
time time
. .
Thank thank
you you
. .
