Most most
captured capture
outside outside
behind behind
that that
window window
. .
Mary mary
had have
a a
little little
lamb lamb
whose whose
fleece fleece
was be
white white
as as
snow snow
, ,
and and
everywhere everywhere
that that
Mary mary
went go
, ,
that that
lamb lamb
was be
sure sure
to to
go go
. .
AD ad
: :
And and
there there
are be
other other
ways way
that that
we we
can can
push push
these these
limits limit
as as
well well
. .
So so
here here
' '
s s
a a
quieter quiet
experiment experiment
where where
we we
filmed film
some some
earphones earphone
plugged plug
into into
a a
laptop laptop
computer computer
, ,
and and
in in
this this
case case
, ,
our our
goal goal
was be
to to
recover recover
the the
music music
that that
was be
playing play
on on
that that
laptop laptop
from from
just just
silent silent
video video
of of
these these
two two
little little
plastic plastic
earphones earphone
, ,
and and
we we
were be
able able
to to
do do
this this
so so
well well
that that
I i
could could
even even
Shazam shazam
our our
results result
. .
And and
we we
can can
also also
push push
things thing
by by
changing change
the the
hardware hardware
that that
we we
use use
. .
Because because
the the
experiments experiment
I i
' '
ve ve
shown show
you you
so so
far far
were be
done do
with with
a a
camera camera
, ,
a a
high-speed high-speed
camera camera
, ,
that that
can can
record record
video video
about about
a a
100 @card@
times time
faster faster
than than
most most
cell cell
phones phone
, ,
but but
we we
' '
ve ve
also also
found find
a a
way way
to to
use use
this this
technique technique
with with
more more
regular regular
cameras camera
, ,
and and
we we
do do
that that
by by
taking take
advantage advantage
of of
what what
' '
s s
called call
a a
rolling rolling
shutter shutter
. .
You you
see see
, ,
most most
cameras camera
record record
images image
one one
row row
at at
a a
time time
, ,
and and
so so
if if
an an
object object
moves move
during during
the the
recording recording
of of
a a
single single
image image
, ,
there there
' '
s s
a a
slight slight
time time
delay delay
between between
each each
row row
, ,
and and
this this
causes cause
slight slight
artifacts artifact
that that
get get
coded code
into into
each each
frame frame
of of
a a
video video
. .
And and
so so
what what
we we
found find
is be
that that
by by
analyzing analyze
these these
artifacts artifact
, ,
we we
can can
actually actually
recover recover
sound sound
using use
a a
modified modified
version version
of of
our our
algorithm algorithm
. .
So so
here here
' '
s s
an an
experiment experiment
we we
did do
where where
we we
filmed film
a a
bag bag
of of
candy candy
while while
a a
nearby nearby
loudspeaker loudspeaker
played play
the the
same same
" "
Mary mary
Had have
a a
Little little
Lamb lamb
" "
music music
from from
before before
, ,
but but
this this
time time
, ,
we we
used use
just just
a a
regular regular
store-bought store-bought
camera camera
, ,
and and
so so
in in
a a
second second
, ,
I i
' '
ll ll
play play
for for
you you
the the
sound sound
that that
we we
recovered recover
, ,
and and
it it
' '
s s
going go
to to
sound sound
distorted distorted
this this
time time
, ,
but but
listen listen
and and
see see
if if
you you
can can
still still
recognize recognize
the the
music music
. .
And and
so so
, ,
again again
, ,
that that
sounds sound
distorted distorted
, ,
but but
what what
' '
s s
really really
amazing amazing
here here
is be
that that
we we
were be
able able
to to
do do
this this
with with
something something
that that
you you
could could
literally literally
run run
out out
and and
pick pick
up up
at at
a a
Best good
Buy buy
. .
So so
at at
this this
point point
, ,
a a
lot lot
of of
people people
see see
this this
work work
, ,
and and
they they
immediately immediately
think think
about about
surveillance surveillance
. .
And and
to to
be be
fair fair
, ,
it it
' '
s s
not not
hard hard
to to
imagine imagine
how how
you you
might might
use use
this this
technology technology
to to
spy spy
on on
someone someone
. .
But but
keep keep
in in
mind mind
that that
there there
' '
s s
already already
a a
lot lot
of of
very very
mature mature
technology technology
out out
there there
for for
surveillance surveillance
. .
In in
fact fact
, ,
people people
have have
been be
using use
lasers laser
to to
eavesdrop eavesdrop
on on
objects object
from from
a a
distance distance
for for
decades decade
. .
But but
what what
' '
s s
really really
new new
here here
, ,
what what
' '
s s
really really
different different
, ,
is be
that that
now now
we we
have have
a a
way way
to to
picture picture
the the
vibrations vibrations
of of
an an
object object
, ,
which which
gives give
us us
a a
new new
lens lens
through through
which which
to to
look look
at at
the the
world world
, ,
and and
we we
can can
use use
that that
lens lens
to to
learn learn
not not
just just
about about
forces force
like like
sound sound
that that
cause cause
an an
object object
to to
vibrate vibrate
, ,
but but
also also
about about
the the
object object
itself itself
. .
And and
so so
I i
want want
to to
take take
a a
step step
back back
and and
think think
about about
how how
that that
might might
change change
the the
ways way
that that
we we
use use
video video
, ,
because because
we we
usually usually
use use
video video
to to
look look
at at
things thing
, ,
and and
I i
' '
ve ve
just just
shown show
you you
how how
we we
can can
use use
it it
to to
listen listen
to to
things thing
. .
But but
there there
' '
s s
another another
important important
way way
that that
we we
learn learn
about about
the the
world world
: :
that that
' '
s s
by by
interacting interact
with with
it it
. .
We we
push push
and and
pull pull
and and
poke poke
and and
prod prod
things thing
. .
We we
shake shake
things thing
and and
see see
what what
happens happen
. .
And and
that that
' '
s s
something something
that that
video video
still still
won won
' '
t t
let let
us us
do do
, ,
at at
least least
not not
traditionally traditionally
. .
So so
I i
want want
to to
show show
you you
some some
new new
work work
, ,
and and
this this
is be
based base
on on
an an
idea idea
I i
had have
just just
a a
few few
months month
ago ago
, ,
so so
this this
is be
actually actually
the the
first first
time time
I i
' '
ve ve
shown show
it it
to to
a a
public public
audience audience
. .
And and
the the
basic basic
idea idea
is be
that that
we we
' '
re re
going go
to to
use use
the the
vibrations vibrations
in in
a a
video video
to to
capture capture
objects object
in in
a a
way way
that that
will will
let let
us us
interact interact
with with
them them
and and
see see
how how
they they
react react
to to
us us
. .
So so
here here
' '
s s
an an
object object
, ,
and and
in in
this this
case case
, ,
it it
' '
s s
a a
wire wire
figure figure
in in
the the
shape shape
of of
a a
human human
, ,
and and
we we
' '
re re
going go
to to
film film
that that
object object
with with
just just
a a
regular regular
camera camera
. .
So so
there there
' '
s s
nothing nothing
special special
about about
this this
camera camera
. .
In in
fact fact
, ,
I i
' '
ve ve
actually actually
done do
this this
with with
my my
cell cell
phone phone
before before
. .
But but
we we
do do
want want
to to
see see
the the
object object
vibrate vibrate
, ,
so so
to to
make make
that that
happen happen
, ,
we we
' '
re re
just just
going go
to to
bang bang
a a
little little
bit bit
on on
the the
surface surface
where where
it it
' '
s s
resting rest
while while
we we
record record
this this
video video
. .
So so
that that
' '
s s
it it
: :
just just
five five
seconds second
of of
regular regular
video video
, ,
while while
we we
bang bang
on on
this this
surface surface
, ,
and and
we we
' '
re re
going go
to to
use use
the the
vibrations vibrations
in in
that that
video video
to to
learn learn
about about
the the
structural structural
and and
material material
properties property
of of
our our
object object
, ,
and and
we we
' '
re re
going go
to to
use use
that that
information information
to to
create create
something something
new new
and and
interactive interactive
. .
And and
so so
here here
' '
s s
what what
we we
' '
ve ve
created create
. .
And and
it it
looks look
like like
a a
regular regular
image image
, ,
but but
this this
isn isn
' '
t t
an an
image image
, ,
and and
it it
' '
s s
not not
a a
video video
, ,
because because
now now
I i
can can
take take
my my
mouse mouse
and and
I i
can can
start start
interacting interact
with with
the the
object object
. .
And and
so so
what what
you you
see see
here here
is be
a a
simulation simulation
of of
how how
this this
object object
would would
respond respond
to to
new new
forces force
that that
we we
' '
ve ve
never never
seen see
before before
, ,
and and
we we
created create
it it
from from
just just
five five
seconds second
of of
regular regular
video video
. .
And and
so so
this this
is be
a a
really really
powerful powerful
way way
to to
look look
at at
the the
world world
, ,
because because
it it
lets let
us us
predict predict
how how
objects object
will will
respond respond
to to
new new
situations situation
, ,
and and
you you
could could
imagine imagine
, ,
for for
instance instance
, ,
looking look
at at
an an
old old
bridge bridge
and and
wondering wonder
what what
would would
happen happen
, ,
how how
would would
that that
bridge bridge
hold hold
up up
if if
I i
were be
to to
drive drive
my my
car car
across across
it it
. .
And and
that that
' '
s s
a a
question question
that that
you you
probably probably
want want
to to
answer answer
before before
you you
start start
driving drive
across across
that that
bridge bridge
. .
And and
of of
course course
, ,
there there
are be
going go
to to
be be
limitations limitation
to to
this this
technique technique
, ,
just just
like like
there there
were be
with with
the the
visual visual
microphone microphone
, ,
but but
we we
found find
that that
it it
works work
in in
a a
lot lot
of of
situations situation
that that
you you
might might
not not
expect expect
, ,
especially especially
if if
you you
give give
it it
longer long
videos video
. .
So so
for for
example example
, ,
here here
' '
s s
a a
video video
that that
I i
captured capture
of of
a a
bush bush
outside outside
of of
my my
apartment apartment
, ,
and and
I i
didn didn
' '
t t
do do
anything anything
to to
this this
bush bush
, ,
but but
by by
capturing capture
a a
minute- minute-
long long
video video
, ,
a a
gentle gentle
breeze breeze
caused cause
enough enough
vibrations vibration
that that
we we
could could
learn learn
enough enough
about about
this this
bush bush
to to
create create
this this
simulation simulation
. .
And and
so so
you you
could could
imagine imagine
giving give
this this
to to
a a
film film
director director
, ,
and and
letting let
him him
control control
, ,
say say
, ,
the the
strength strength
and and
direction direction
of of
wind wind
in in
a a
shot shot
after after
it it
' '
s s
been be
recorded record
. .
Or or
, ,
in in
this this
case case
, ,
we we
pointed point
our our
camera camera
at at
a a
hanging hang
curtain curtain
, ,
and and
you you
can can
' '
t t
even even
see see
any any
motion motion
in in
this this
video video
, ,
but but
by by
recording record
a a
two-minute-long two-minute-long
video video
, ,
natural natural
air air
currents current
in in
this this
room room
created create
enough enough
subtle subtle
, ,
imperceptible imperceptible
motions motion
and and
vibrations vibration
that that
we we
could could
learn learn
enough enough
to to
create create
this this
simulation simulation
. .
And and
ironically ironically
, ,
we we
' '
re re
kind kind
of of
used use
to to
having have
this this
kind kind
of of
interactivity interactivity
when when
it it
comes come
to to
virtual virtual
objects object
, ,
when when
it it
comes come
to to
video video
games game
and and
3D 3d
models model
, ,
but but
to to
be be
able able
to to
capture capture
this this
information information
from from
real real
objects object
in in
the the
real real
world world
using use
just just
simple simple
, ,
regular regular
video video
, ,
is be
something something
new new
that that
has have
a a
lot lot
of of
potential potential
. .
So so
here here
are be
the the
amazing amazing
people people
who who
worked work
with with
me me
on on
these these
projects project
. .
And and
what what
I i
' '
ve ve
shown show
you you
today today
is be
only only
the the
beginning beginning
. .
We we
' '
ve ve
just just
started start
to to
scratch scratch
the the
surface surface
of of
what what
you you
can can
do do
with with
this this
kind kind
of of
imaging imaging
, ,
because because
it it
gives give
us us
a a
new new
way way
to to
capture capture
our our
surroundings surroundings
with with
common common
, ,
accessible accessible
technology technology
. .
And and
so so
looking look
to to
the the
future future
, ,
it it
' '
s s
going go
to to
be be
really really
exciting exciting
to to
explore explore
what what
this this
can can
tell tell
us us
about about
the the
world world
. .
Thank thank
you you
. .
