Well well
believe believe
me me
, ,
can can
make make
you you
feel feel
pains pain
that that
you you
' '
ve ve
never never
felt feel
before before
. .
Venom venom
can can
also also
make make
your your
heart heart
stop stop
within within
minutes minute
, ,
or or
it it
can can
turn turn
your your
blood blood
into into
jelly jelly
. .
Venom venom
can can
also also
paralyze paralyze
you you
almost almost
instantly instantly
, ,
or or
it it
can can
just just
eat eat
your your
flesh flesh
away away
, ,
like like
acid acid
. .
Now now
, ,
all all
of of
these these
are be
pretty pretty
gruesome gruesome
stories story
, ,
I i
know know
, ,
but but
, ,
to to
me me
, ,
it it
' '
s s
kind kind
of of
music music
to to
my my
ears ear
. .
It it
' '
s s
what what
I i
love love
. .
So so
why why
is be
that that
? ?
Well well
, ,
it it
' '
s s
not not
because because
I i
' '
m m
a a
nutcase nutcase
, ,
no no
. .
Just just
imagine imagine
what what
we we
could could
do do
if if
we we
could could
harvest harvest
all all
those those
super super
powerful powerful
compounds compound
and and
use use
them them
to to
our our
benefit benefit
. .
That that
would would
be be
amazing amazing
, ,
right right
? ?
What what
if if
we we
could could
, ,
I i
don don
' '
t t
know know
, ,
produce produce
new new
antibiotics antibiotic
with with
those those
venoms venom
? ?
What what
if if
we we
could could
actually actually
help help
people people
that that
are be
suffering suffer
from from
diabetes diabetes
or or
hypertension hypertension
? ?
Well well
, ,
in in
fact fact
, ,
all all
those those
applications application
are be
already already
being be
developed develop
by by
scientists scientist
just just
like like
me me
everywhere everywhere
around around
the the
world world
, ,
as as
I i
speak speak
. .
You you
see see
, ,
hypertension hypertension
is be
actually actually
treated treat
regularly regularly
with with
a a
medication medication
that that
has have
been be
developed develop
from from
the the
toxin toxin
that that
is be
produced produce
by by
a a
South south
American american
viper viper
. .
People people
that that
have have
type type
2 @card@
diabetes diabetes
can can
be be
monitored monitor
using use
, ,
actually actually
, ,
the the
toxin toxin
produced produce
by by
a a
lizard lizard
from from
North north
America america
. .
And and
in in
hospitals hospital
all all
around around
the the
world world
, ,
a a
new new
protocol protocol
is be
being be
developed develop
to to
use use
a a
toxin toxin
from from
a a
marine marine
snail snail
for for
anesthetics anesthetic
. .
You you
see see
, ,
venom venom
is be
that that
kind kind
of of
huge huge
library library
of of
chemical chemical
compounds compound
that that
are be
available available
to to
us us
, ,
that that
are be
produced produce
by by
hundreds hundred
of of
thousands thousand
of of
live live
creatures creature
. .
And and
â â
Oh oh
, ,
sorry sorry
, ,
she she
just just
wants want
to to
go go
for for
a a
little little
walk walk
. .
Spiders spider
alone alone
are be
actually actually
thought think
to to
produce produce
over over
10 @card@
million million
different different
kinds kind
of of
compounds compound
with with
potential potential
therapeutic therapeutic
application application
. .
10 @card@
million million
. .
And and
do do
you you
know know
how how
many many
scientists scientist
actually actually
have have
managed manage
to to
study study
so so
far far
? ?
About about
0 @card@
. .
01 @card@
percent percent
. .
So so
that that
means mean
that that
there there
is be
still still
99 @card@
. .
99 @card@
percent percent
of of
all all
those those
compounds compound
that that
are be
out out
there there
, ,
completely completely
unknown unknown
, ,
and and
are be
just just
waiting wait
to to
be be
harvested harvest
and and
tested test
, ,
which which
is be
fantastic fantastic
. .
You you
see see
, ,
so so
far far
, ,
scientists scientist
have have
concentrated concentrate
their their
efforts effort
on on
very very
charismatic charismatic
, ,
very very
dangerous dangerous
animals animal
â â
vipers viper
and and
cobras cobra
or or
scorpions scorpion
and and
black black
widows widow
. .
But but
what what
about about
all all
those those
little little
bugs bug
that that
we we
actually actually
have have
all all
around around
us us
? ?
You you
know know
, ,
like like
that that
spider spider
that that
lives live
behind behind
your your
couch couch
? ?
You you
know know
, ,
the the
one one
that that
decides decide
to to
just just
shoot shoot
through through
the the
floor floor
when when
you you
' '
re re
watching watch
TV tv
and and
freaks freak
you you
out out
? ?
Ah ah
, ,
you you
have have
that that
one one
at at
home home
as as
well well
. .
Well well
, ,
what what
about about
those those
guys guy
? ?
Do do
they they
actually actually
produce produce
some some
kind kind
of of
amazing amazing
compound compound
in in
their their
tiny tiny
body body
as as
well well
? ?
Well well
, ,
an an
honest honest
answer answer
a a
few few
months month
ago ago
would would
have have
been be
, ,
" "
We we
have have
no no
clue clue
. .
" "
But but
now now
that that
my my
students student
and and
myself myself
have have
started start
to to
look look
into into
it it
, ,
I i
can can
tell tell
you you
those those
guys guy
actually actually
are be
producing produce
very very
, ,
very very
interesting interesting
compounds compound
. .
And and
I i
' '
m m
going go
to to
tell tell
you you
more more
about about
that that
in in
a a
second second
, ,
but but
first first
, ,
I i
would would
like like
to to
tell tell
you you
more more
about about
this this
" "
we we
are be
looking look
into into
it it
. .
" "
How how
does do
one one
look look
into into
it it
? ?
Well well
, ,
first first
of of
all all
, ,
my my
students student
and and
I i
have have
to to
capture capture
a a
lot lot
of of
spiders spider
. .
So so
how how
do do
we we
do do
that that
? ?
Well well
, ,
you you
' '
d d
be be
surprised surprise
. .
Once once
one one
starts start
to to
look look
, ,
one one
finds find
a a
lot lot
of of
spiders spider
. .
They they
actually actually
live live
everywhere everywhere
around around
us us
. .
Within within
a a
couple couple
of of
hours hour
, ,
we we
are be
capable capable
of of
catching catch
maybe maybe
two two
, ,
three three
, ,
four four
hundred hundred
spiders spider
, ,
and and
we we
bring bring
them them
back back
to to
my my
laboratory laboratory
, ,
and and
we we
house house
each each
of of
them them
in in
its its
own own
individual individual
home home
. .
And and
we we
give give
each each
of of
them them
a a
little little
meal meal
. .
So so
now now
I i
know know
what what
you you
' '
re re
thinking thinking
: :
" "
This this
guy guy
' '
s s
nuts nut
. .
He he
has have
a a
spider spider
B&B b&b
at at
work work
. .
. .
. .
" "
No no
, ,
no no
it it
' '
s s
not not
exactly exactly
that that
, ,
and and
it it
' '
s s
not not
the the
kind kind
of of
venture venture
I i
would would
advise advise
you you
to to
start start
. .
No no
, ,
once once
we we
' '
re re
done do
with with
that that
, ,
we we
wait wait
a a
few few
days day
, ,
and and
then then
, ,
we we
anesthetize anesthetize
those those
spiders spider
. .
Once once
they they
' '
re re
asleep asleep
, ,
we we
run run
a a
tiny tiny
little little
electric electric
current current
through through
their their
body body
and and
that that
contracts contract
their their
venom venom
glads glad
. .
Then then
, ,
under under
a a
microscope microscope
, ,
we we
can can
see see
a a
tiny tiny
little little
droplet droplet
of of
venom venom
appearing appear
. .
So so
we we
take take
a a
hair-thin hair-thin
glass glass
tube tube
, ,
a a
capillary capillary
, ,
and and
we we
collect collect
that that
tiny tiny
droplet droplet
. .
Then then
, ,
we we
take take
the the
spider spider
and and
we we
put put
it it
back back
into into
its its
home home
, ,
and and
we we
start start
again again
with with
another another
one one
. .
Because because
spiders spider
are be
completely completely
unharmed unharmed
during during
the the
process process
, ,
it it
means mean
that that
a a
few few
days day
later later
, ,
once once
they they
' '
ve ve
produced produce
a a
little little
bit bit
of of
venom venom
again again
and and
they they
' '
ve ve
recovered recover
, ,
we we
can can
release release
them them
back back
into into
the the
wild wild
. .
It it
takes take
literally literally
hundreds hundred
of of
spiders spider
to to
just just
produce produce
the the
equivalent equivalent
of of
one one
raindrop raindrop
of of
venom venom
. .
So so
that that
drop drop
is be
incredibly incredibly
precious precious
to to
us us
. .
And and
once once
we we
have have
it it
, ,
we we
freeze freeze
it it
, ,
and and
we we
then then
pass pass
it it
in in
a a
machine machine
that that
will will
separate separate
and and
purify purify
every every
chemical chemical
compound compound
that that
is be
in in
that that
venom venom
. .
We we
' '
re re
speaking speaking
about about
tiny tiny
amounts amount
. .
We we
' '
re re
actually actually
speaking speak
about about
a a
tenth tenth
of of
a a
millionth millionth
of of
a a
liter liter
of of
compound compound
, ,
but but
we we
can can
dilute dilute
that that
compound compound
several several
thousand thousand
times time
in in
its its
own own
volume volume
of of
water water
and and
then then
test test
it it
against against
a a
whole whole
range range
of of
nasty nasty
stuff stuff
, ,
like like
cancer cancer
cells cell
or or
bacteria bacterium
. .
And and
this this
is be
when when
the the
very very
exciting exciting
part part
of of
my my
job job
starts start
, ,
because because
this this
is be
pure pure
scientific scientific
gambling gambling
. .
It it
' '
s s
kind kind
of of
" "
Las las
Vegas vegas
, ,
baby baby
, ,
" "
for for
me me
. .
We we
spend spend
so so
many many
hours hour
, ,
so so
much much
resources resource
, ,
so so
much much
time time
trying try
to to
get get
those those
compounds compound
ready ready
, ,
and and
then then
we we
test test
them them
. .
And and
most most
of of
the the
time time
, ,
nothing nothing
happens happen
. .
Nothing nothing
at at
all all
. .
But but
once once
in in
a a
while while
â â
just just
once once
in in
a a
while while
, ,
we we
get get
that that
particular particular
compound compound
that that
has have
absolutely absolutely
amazing amazing
effects effect
. .
That that
' '
s s
the the
jackpot jackpot
. .
And and
when when
I i
' '
m m
saying say
that that
, ,
actually actually
, ,
I i
should should
take take
out out
something something
else else
from from
my my
pocket pocket
â â
be be
afraid afraid
, ,
be be
very very
afraid afraid
. .
Now now
, ,
in in
that that
little little
tube tube
, ,
I i
have have
, ,
actually actually
, ,
a a
very very
common common
spider spider
. .
The the
kind kind
of of
spider spider
that that
you you
could could
find find
in in
your your
shed shed
, ,
that that
you you
could could
find find
in in
your your
basement basement
or or
that that
you you
could could
find find
in in
your your
sewer sewer
pipe pipe
, ,
understand understand
: :
in in
your your
toilet toilet
. .
Now now
, ,
that that
little little
spider spider
happens happen
to to
produce produce
amazingly amazingly
powerful powerful
antimicrobial antimicrobial
compounds compound
. .
It it
is be
even even
capable capable
of of
killing kill
those those
drug-resistant drug-resistant
bacteria bacterium
that that
are be
giving give
us us
so so
much much
trouble trouble
, ,
that that
are be
often often
making make
media medium
headlines headline
. .
Now now
, ,
honestly honestly
, ,
if if
I i
was be
living live
in in
your your
sewer sewer
pipe pipe
, ,
I i
' '
d d
produce produce
antibiotics antibiotic
, ,
too too
. .
But but
that that
little little
spider spider
, ,
may may
actually actually
hold hold
the the
answer answer
to to
a a
very very
, ,
very very
serious serious
concern concern
we we
have have
. .
You you
see see
, ,
around around
the the
world world
, ,
every every
single single
day day
, ,
about about
1 @card@
, ,
700 @card@
people people
die die
because because
of of
antimicrobial-resistant antimicrobial-resistant
infections infection
. .
Multiply multiply
that that
by by
365 @card@
, ,
and and
you you
' '
re re
reaching reach
the the
staggering staggering
number number
of of
700 @card@
, ,
000 @card@
people people
dead dead
every every
single single
year year
because because
antibiotics antibiotic
that that
were be
efficient efficient
30 @card@
, ,
20 @card@
or or
10 @card@
years year
ago ago
are be
not not
capable capable
of of
killing kill
very very
common common
bugs bug
. .
The the
reality reality
is be
that that
the the
world world
is be
running run
out out
of of
antibiotics antibiotic
, ,
and and
the the
pharmaceutical pharmaceutical
industry industry
does do
not not
have have
any any
answer answer
, ,
actually actually
, ,
any any
weapon weapon
to to
address address
that that
concern concern
. .
You you
see see
, ,
30 @card@
years year
ago ago
, ,
you you
could could
consider consider
that that
10 @card@
to to
15 @card@
new new
kinds kind
of of
antibiotics antibiotic
would would
hit hit
the the
market market
every every
couple couple
of of
years year
. .
Do do
you you
know know
how how
many many
of of
them them
hit hit
the the
market market
in in
the the
past past
five five
years year
? ?
Two two
. .
The the
reality reality
is be
that that
if if
we we
continue continue
this this
way way
, ,
we we
are be
a a
few few
decades decade
away away
from from
being be
completely completely
helpless helpless
in in
front front
of of
infections infection
, ,
just just
like like
we we
were be
before before
the the
discovery discovery
of of
penicillin penicillin
90 @card@
years year
ago ago
. .
So so
you you
see see
, ,
the the
reality reality
is be
that that
we we
are be
at at
war war
against against
an an
invisible invisible
enemy enemy
that that
adapts adapt
and and
evolves evolve
a a
lot lot
quicker quicker
than than
we we
do do
. .
And and
in in
that that
war war
, ,
this this
little little
spider spider
might might
be be
one one
of of
our our
greatest great
secret secret
weapons weapon
. .
Just just
a a
half half
a a
millionth millionth
of of
a a
liter liter
of of
a a
venom venom
, ,
diluted dilute
10 @card@
, ,
000 @card@
times time
, ,
is be
still still
capable capable
of of
killing kill
most most
bacteria bacterium
that that
are be
resistant resistant
to to
any any
other other
kind kind
of of
antibiotics antibiotic
. .
It it
' '
s s
absolutely absolutely
amazing amazing
. .
Every every
time time
I i
repeat repeat
this this
experiment experiment
, ,
I i
just just
wonder wonder
: :
How how
is be
that that
possible possible
? ?
How how
many many
other other
possibilities possibility
and and
secrets secret
do do
the the
siblings sibling
actually actually
have have
? ?
What what
kind kind
of of
wonderful wonderful
product product
can can
we we
really really
find find
, ,
if if
we we
care care
to to
look look
? ?
So so
when when
people people
ask ask
me me
, ,
" "
Are be
bugs bug
really really
the the
future future
of of
therapeutic therapeutic
drugs drug
? ?
" "
my my
answer answer
is be
, ,
" "
Well well
, ,
I i
really really
believe believe
that that
they they
do do
hold hold
some some
key key
answers answer
. .
" "
And and
we we
need need
to to
really really
give give
ourselves ourselves
the the
means mean
to to
investigate investigate
them them
. .
So so
when when
you you
head head
back back
home home
later later
tonight tonight
, ,
and and
you you
see see
that that
spider spider
in in
the the
corner corner
of of
your your
room room
. .
. .
. .
don don
' '
t t
squash squash
it it
. .
Just just
look look
at at
it it
, ,
admire admire
it it
and and
remember remember
that that
it it
is be
an an
absolutely absolutely
fantastic fantastic
creature creature
, ,
a a
pure pure
product product
of of
evolution evolution
, ,
and and
that that
maybe maybe
that that
very very
spider spider
, ,
one one
day day
, ,
will will
hold hold
the the
answer answer
, ,
will will
hold hold
the the
key key
to to
your your
very very
own own
survival survival
. .
You you
see see
, ,
she she
' '
s s
not not
so so
insignificant insignificant
anymore anymore
now now
, ,
is be
she she
? ?
Thank thank
you you
. .
