When when
want want
accidents accident
here here
. .
OK ok
, ,
thank thank
you you
. .
So so
as as
you you
can can
see see
, ,
we we
have have
this this
device device
that that
can can
monitor monitor
so so
many many
physiological physiological
signals signal
for for
you you
, ,
and and
what what
is be
really really
interesting interesting
about about
this this
device device
is be
that that
it it
does do
all all
this this
without without
any any
wearables wearable
, ,
without without
asking ask
the the
person person
to to
change change
his his
behavior behavior
or or
to to
wear wear
anything anything
or or
charge charge
anything anything
special special
. .
And and
that that
got get
doctors doctor
very very
excited excite
, ,
because because
doctors doctor
, ,
they they
always always
want want
to to
know know
more more
information information
about about
their their
patients patient
, ,
particularly particularly
at at
home home
, ,
and and
this this
is be
particularly particularly
true true
in in
chronic chronic
diseases disease
, ,
like like
pulmonary pulmonary
diseases disease
, ,
like like
COPD copd
, ,
or or
heart heart
failure failure
or or
Alzheimer alzheimer
' '
s s
and and
even even
depression depression
. .
All all
of of
these these
chronic chronic
diseases disease
are be
very very
important important
. .
In in
fact fact
— -
perhaps perhaps
you you
know know
— -
two-thirds two-third
of of
the the
cost cost
of of
health health
care care
in in
the the
US us
is be
due due
to to
chronic chronic
diseases disease
. .
But but
what what
is be
really really
interesting interesting
about about
chronic chronic
diseases disease
is be
that that
when when
the the
person person
, ,
for for
example example
, ,
has have
a a
problem problem
that that
leads lead
to to
the the
hospital hospital
and and
the the
emergency emergency
room room
, ,
this this
problem problem
doesn doesn
' '
t t
happen happen
overnight overnight
. .
Actually actually
, ,
things thing
happen happen
gradually gradually
. .
So so
if if
we we
can can
monitor monitor
chronic chronic
disease disease
patients patient
in in
their their
home home
, ,
we we
can can
detect detect
changes change
in in
their their
breathing breathing
, ,
heartbeat heartbeat
, ,
mobility mobility
, ,
sleep sleep
— -
and and
we we
can can
detect detect
emergencies emergency
before before
they they
occur occur
and and
have have
the the
doctor doctor
intervene intervene
earlier earlier
so so
that that
we we
can can
avoid avoid
hospitalization hospitalization
. .
And and
indeed indeed
, ,
today today
we we
are be
working work
with with
multiple multiple
doctors doctor
in in
different different
disease disease
categories category
. .
So so
I i
' '
m m
really really
excited excite
because because
we we
have have
deployed deploy
the the
device device
with with
many many
patients patient
. .
We we
have have
deployed deploy
the the
device device
with with
patients patient
that that
have have
COPD copd
, ,
which which
is be
a a
pulmonary pulmonary
disease disease
, ,
patients patient
that that
have have
Alzheimer alzheimer
' '
s s
, ,
patients patient
that that
have have
depression depression
and and
anxiety anxiety
and and
people people
that that
have have
Parkinson parkinson
' '
s s
. .
And and
we we
are be
working work
with with
the the
doctors doctor
on on
improving improve
their their
life life
, ,
understanding understand
the the
disease disease
better well
. .
So so
when when
I i
started start
, ,
I i
told tell
you you
that that
I i
' '
m m
really really
fascinated fascinate
with with
Star star
Wars wars
and and
the the
Force force
in in
Star star
Wars wars
, ,
and and
indeed indeed
, ,
I i
' '
m m
still still
very very
much much
fascinated fascinate
, ,
even even
now now
, ,
as as
a a
grown-up grown-up
, ,
with with
Star star
Wars wars
, ,
waiting wait
for for
the the
next next
movie movie
. .
But but
I i
' '
m m
very very
fascinated fascinate
now now
and and
excited excite
about about
this this
new new
Force force
of of
wireless wireless
signals signal
, ,
and and
the the
potential potential
of of
changing change
health health
care care
with with
this this
new new
force force
. .
One one
of of
the the
patients patient
with with
whom whom
we we
deployed deploy
is be
actually actually
my my
aunt aunt
. .
She she
has have
heart heart
failure failure
, ,
and and
I i
' '
m m
sure sure
many many
of of
you you
guys guy
in in
the the
audience audience
have have
parents parent
, ,
grandparents grandparent
, ,
loved love
ones one
who who
have have
chronic chronic
diseases disease
. .
So so
I i
want want
you you
to to
imagine imagine
with with
me me
a a
future future
where where
in in
every every
home home
that that
has have
a a
chronic chronic
disease disease
patient patient
, ,
there there
is be
a a
device device
like like
this this
device device
sitting sit
in in
the the
background background
and and
just just
monitoring monitor
passively passively
sleep sleep
, ,
breathing breathing
, ,
the the
health health
of of
this this
chronic chronic
disease disease
patient patient
, ,
and and
before before
an an
emergency emergency
occurs occur
, ,
it it
would would
detect detect
the the
degradation degradation
in in
the the
physiological physiological
signal signal
and and
alert alert
the the
doctor doctor
so so
that that
we we
can can
avoid avoid
hospitalization hospitalization
. .
This this
can can
change change
health health
care care
as as
we we
know know
it it
today today
, ,
improve improve
how how
we we
understand understand
chronic chronic
diseases disease
and and
also also
save save
many many
lives life
. .
Thank thank
you you
. .
Helen helen
Walters walters
: :
Dina dina
, ,
thank thank
you you
so so
much much
. .
Thank thank
you you
too too
, ,
Zach zach
. .
So so
glad glad
you you
' '
re re
breathing breathing
. .
So so
Dina dina
, ,
this this
is be
amazing amazing
. .
The the
positive positive
applications application
are be
incredible incredible
. .
What what
is be
the the
framework framework
, ,
though though
, ,
like like
the the
ethical ethical
framework framework
around around
this this
? ?
What what
are be
you you
doing do
to to
prevent prevent
this this
technology technology
from from
being be
used use
for for
other other
, ,
perhaps perhaps
less less
positive positive
types type
of of
applications application
? ?
Dina dina
Katabi katabi
: :
Yeah yeah
, ,
this this
is be
a a
very very
important important
question question
, ,
of of
course course
, ,
like like
, ,
what what
about about
misuse misuse
, ,
or or
what what
about about
, ,
I i
guess guess
you you
could could
say say
, ,
about about
the the
Dark dark
Side side
of of
the the
Force force
? ?
HW hw
: :
Right right
, ,
right right
. .
DK dk
: :
So so
we we
actually actually
have have
technologies technology
that that
prevent prevent
people people
from from
trying try
to to
use use
this this
device device
to to
monitor monitor
somebody somebody
without without
their their
consent consent
. .
Because because
the the
device device
understands understand
space space
, ,
it it
will will
ask ask
you you
to to
prove prove
, ,
by by
doing do
certain certain
movements movement
, ,
that that
you you
have have
access access
to to
the the
space space
and and
you you
are be
the the
person person
who who
you you
are be
asking ask
the the
device device
to to
monitor monitor
. .
So so
technology-wise technology-wise
, ,
we we
have have
technology technology
that that
we we
integrate integrate
to to
prevent prevent
misuse misuse
, ,
but but
also also
, ,
I i
think think
there there
is be
a a
role role
for for
policy policy
, ,
like like
everything everything
else else
, ,
and and
hopefully hopefully
, ,
with with
the the
two two
of of
them them
, ,
we we
can can
control control
any any
misuse misuse
. .
HW hw
: :
Amazing amazing
. .
Thank thank
you you
so so
much much
. .
DK dk
: :
Thank thank
you you
. .
