Menstruation menstruation
unimaginable unimaginable
. .
And and
the the
desire desire
to to
voice voice
this this
frustration frustration
led lead
me me
, ,
along along
with with
three three
other other
teammates teammate
, ,
to to
initiate initiate
a a
campaign campaign
that that
calls call
for for
change change
, ,
questions question
the the
taboos taboo
surrounding surround
menstruation menstruation
and and
spreads spread
period period
positivity positivity
. .
The the
name name
of of
our our
campaign campaign
, ,
" "
Pravahkriti pravahkriti
, ,
" "
was be
born bear
from from
the the
message message
that that
we we
want want
to to
convey convey
to to
the the
world world
. .
" "
Pravah pravah
" "
means mean
" "
flow flow
, ,
" "
and and
" "
kriti kriti
" "
means mean
" "
a a
beautiful beautiful
creation creation
. .
" "
Because because
how how
could could
the the
monthly monthly
cycle cycle
that that
ultimately ultimately
gives give
rise rise
to to
all all
creation creation
be be
anything anything
less less
than than
beautiful beautiful
? ?
Now now
, ,
as as
a a
social social
issue issue
, ,
menstruation menstruation
has have
several several
facets facet
to to
it it
that that
overlap overlap
, ,
reinforce reinforce
and and
worsen worsen
the the
situation situation
. .
So so
we we
based base
our our
campaign campaign
on on
four four
fundamental fundamental
pillars pillar
: :
health health
, ,
hygiene hygiene
, ,
awareness awareness
and and
spreading spread
positivity positivity
. .
But but
how how
did do
we we
actually actually
implement implement
this this
? ?
Well well
, ,
we we
started start
within within
the the
walls wall
of of
our our
school school
classroom classroom
. .
Instead instead
of of
simply simply
explaining explain
menstruation menstruation
to to
children child
from from
a a
textbook textbook
or or
biological biological
standpoint standpoint
, ,
we we
adopted adopt
an an
innovative innovative
approach approach
. .
We we
conducted conduct
an an
activity activity
where where
students student
strung string
together together
a a
bracelet bracelet
consisting consist
of of
28 @card@
beads bead
signifying signify
the the
length length
of of
the the
menstrual menstrual
cycle cycle
, ,
out out
of of
which which
four four
to to
seven seven
beads bead
were be
of of
a a
different different
color color
, ,
demonstrating demonstrate
the the
days day
a a
woman woman
bleeds bleed
. .
And and
in in
this this
way way
, ,
we we
not not
only only
explained explain
what what
periods period
are be
in in
a a
manner manner
that that
was be
educational educational
but but
also also
approachable approachable
and and
engaging engaging
. .
To to
offer offer
another another
example example
, ,
we we
explored explore
various various
ways way
of of
alleviating alleviate
cramps cramp
, ,
including include
preparing prepare
some some
natural natural
remedies remedy
in in
school school
itself itself
. .
And and
we we
didn didn
' '
t t
just just
stop stop
at at
involving involve
girls girl
in in
our our
campaign campaign
. .
In in
fact fact
, ,
boys boy
were be
equally equally
involved involve
, ,
and and
one one
of of
our our
co-team co-team
members member
, ,
as as
you you
saw see
, ,
is be
also also
a a
boy boy
. .
Through through
internal internal
conversations conversation
where where
girls girl
could could
freely freely
share share
their their
personal personal
experiences experience
and and
boys boy
could could
just just
ask ask
questions question
, ,
no no
matter matter
how how
" "
dumb dumb
" "
they they
might might
seem seem
, ,
our our
male male
volunteers volunteer
quickly quickly
got get
over over
their their
awkwardness awkwardness
, ,
not not
just just
supporting support
but but
also also
leading lead
educational educational
sessions session
. .
Clearly clearly
, ,
starting start
an an
inclusive inclusive
conversation conversation
, ,
including include
members member
of of
all all
genders gender
and and
listening listen
to to
and and
supporting support
each each
other other
, ,
can can
go go
a a
long long
way way
. .
Now now
, ,
to to
make make
our our
campaign campaign
successful successful
, ,
we we
conducted conduct
extensive extensive
research research
, ,
interviewed interview
gynecologists gynecologist
, ,
surveyed survey
people people
to to
gauge gauge
public public
opinion opinion
on on
periods period
and and
conducted conduct
a a
panel panel
discussion discussion
with with
professionals professional
working work
in in
this this
field field
. .
And and
then then
we we
undertook undertake
the the
journey journey
to to
create create
change change
. .
We we
organized organize
a a
stall stall
at at
Shilpotsav shilpotsav
, ,
a a
local local
fair fair
, ,
where where
we we
distributed distribute
sanitary sanitary
napkin-shaped napkin-shaped
envelopes envelope
and and
bookmarks bookmark
containing contain
period-positive period-positive
messages message
. .
We we
donated donate
hundreds hundred
of of
pads pad
that that
we we
had have
collected collect
through through
a a
pad pad
donation donation
drive drive
at at
school school
. .
Interacting interact
with with
young young
girls girl
in in
government government
and and
charitable charitable
schools school
, ,
we we
explained explain
periods period
to to
them them
through through
a a
game game
of of
hopscotch hopscotch
and and
distributed distribute
period period
kits kit
that that
we we
had have
made make
ourselves ourselves
that that
consisted consist
of of
a a
pad pad
and and
other other
items item
like like
a a
paper paper
soap soap
and and
sanitizer sanitizer
for for
maintaining maintain
hygiene hygiene
, ,
a a
piece piece
of of
dark dark
chocolate chocolate
just just
to to
lift lift
their their
mood mood
, ,
a a
sachet sachet
of of
ginger ginger
tea tea
and and
so so
on on
. .
In in
whatever whatever
we we
did do
, ,
we we
strived strive
to to
think think
beyond beyond
the the
norm norm
and and
break break
barriers barrier
, ,
be be
it it
by by
creating create
a a
physical physical
period period
tracker tracker
to to
help help
girls girl
without without
access access
to to
the the
internet internet
to to
record record
their their
monthly monthly
cycle cycle
, ,
or or
sensitizing sensitize
the the
masses mass
by by
performing perform
street street
plays play
, ,
or or
even even
developing develop
a a
video video
game game
called call
" "
Crimson crimson
Crusade crusade
" "
-- --
that that
introduces introduce
both both
boys boy
and and
girls girl
to to
problems problem
faced face
by by
menstruating menstruating
women woman
globally globally
and and
players player
progress progress
in in
the the
game game
by by
defeating defeat
menstrual menstrual
monsters monster
. .
To to
sustain sustain
this this
effort effort
, ,
we we
' '
ve ve
installed install
10 @card@
sanitary sanitary
napkin napkin
dispensers dispenser
in in
several several
schools school
. .
Gradually gradually
, ,
people people
' '
s s
mindsets mindsets
are be
changing change
. .
But but
does do
change change
come come
so so
easily easily
? ?
At at
a a
school school
for for
the the
underprivileged underprivileged
, ,
we we
encountered encounter
a a
girl girl
who who
had have
just just
got get
her her
first first
period period
but but
wasn wasn
' '
t t
wearing wear
anything anything
to to
absorb absorb
the the
flow flow
. .
Imagine imagine
being being
her her
, ,
sitting sit
in in
class class
feeling feel
embarrassed embarrassed
and and
uncomfortable uncomfortable
, ,
looking look
down down
and and
seeing see
red red
, ,
asking ask
your your
parents parent
for for
help help
, ,
asking ask
what what
was be
going go
on on
with with
you you
and and
being be
dismissed dismiss
. .
Imagine imagine
the the
shame shame
, ,
fear fear
and and
embarrassment embarrassment
for for
being be
" "
caught catch
" "
doing do
something something
wrong wrong
that that
forces force
you you
into into
living live
in in
ignorance ignorance
and and
silence silence
at at
the the
cost cost
of of
your your
health health
and and
dignity dignity
. .
While while
we we
do do
our our
part part
, ,
our our
endeavors endeavor
will will
only only
be be
successful successful
if if
each each
one one
of of
you you
internalizes internalize
and and
spreads spread
onward onward
the the
idea idea
that that
menstruation menstruation
is be
completely completely
normal normal
, ,
if if
each each
one one
of of
you you
conveys convey
this this
message message
to to
every every
person person
you you
know know
. .
When when
we we
can can
discuss discuss
digestion digestion
, ,
blood blood
circulation circulation
and and
respiration respiration
-- --
all all
natural natural
, ,
biological biological
processes process
-- --
why why
should should
menstruation menstruation
be be
off-limits off-limits
? ?
And and
you you
, ,
too too
, ,
can can
help help
make make
it it
less less
taboo taboo
, ,
simply simply
by by
being be
more more
open open
with with
male male
friends friend
and and
family family
members member
, ,
supporting support
local local
and and
international international
organizations organization
working work
to to
improve improve
menstrual menstrual
hygiene hygiene
management management
, ,
making make
menstrual menstrual
bracelets bracelet
with with
middle middle
school school
kids kid
in in
your your
area area
or or
even even
by by
playing play
Crimson crimson
Crusade crusade
with with
your your
friends friend
. .
Every every
small small
steps step
counts count
, ,
because because
brushing brush
this this
topic topic
under under
the the
carpet carpet
perpetuates perpetuate
lack lack
of of
access access
to to
sanitary sanitary
absorbents absorbent
, ,
ignorance ignorance
of of
menstrual menstrual
health health
issues issue
, ,
school school
absenteeism absenteeism
, ,
infection infection
and and
so so
much much
more more
. .
I i
' '
d d
like like
to to
end end
with with
a a
few few
lines line
a a
volunteer volunteer
wrote write
for for
us us
: :
" "
Let let
the the
crimson crimson
tide tide
turn turn
. .
Let let
there there
be be
waves wave
of of
positivity positivity
, ,
thundering thunder
applause applause
, ,
villages village
full full
of of
women woman
who who
bleed bleed
with with
pride pride
. .
Let let
there there
be be
a a
scent scent
of of
education education
drifting drift
through through
the the
oxygen oxygen
inhaled inhale
by by
men man
, ,
women woman
and and
children child
. .
Let let
all all
know know
the the
marvels marvel
of of
menstruation menstruation
and and
celebrate celebrate
Pravahkriti pravahkriti
. .
" "
Thank thank
you you
. .
