Priya priya
poverty poverty
existed exist
as as
recently recently
as as
Sandra sandra
' '
s s
parents parent
' '
generation generation
and and
therefore therefore
impacts impact
Sandra sandra
today today
. .
She she
experiences experience
someone someone
saying saying
— -
WG wg
: :
" "
I i
don don
' '
t t
want want
to to
feed feed
you you
. .
" "
PV pv
: :
As as
— -
WG wg
: :
" "
I i
don don
' '
t t
want want
to to
hug hug
you you
. .
" "
PV pv
: :
And and
without without
her her
and and
her her
partner partner
having have
that that
nuanced nuanced
understanding understanding
of of
her her
reaction reaction
and and
the the
historical historical
context context
behind behind
it it
, ,
it it
could could
easily easily
lead lead
to to
unnecessary unnecessary
fighting fighting
. .
That that
' '
s s
why why
it it
' '
s s
so so
important important
that that
we we
proactively proactively
— -
: :
Co-create co-create
— -
PV pv
: :
A a
shared shared
American american
culture culture
that that
identifies identify
and and
embraces embrace
the the
different different
values value
and and
norms norm
within within
our our
diverse diverse
communities community
. .
WG wg
: :
To to
be be
racially racially
literate literate
— -
PV pv
: :
To to
understand understand
who who
we we
are be
so so
that that
we we
can can
heal heal
together together
— -
WG wg
: :
We we
cannot can
neglect neglect
the the
heart heart
— -
PV pv
: :
Or or
the the
mind mind
. .
So so
, ,
with with
our our
hundreds hundred
of of
stories story
, ,
we we
decided decide
to to
publish publish
a a
racial racial
literacy literacy
textbook textbook
to to
bridge bridge
that that
gap gap
between between
our our
hearts heart
and and
minds mind
. .
WG wg
: :
Our our
last last
book book
, ,
" "
The the
Classroom classroom
Index index
, ,
" "
shares share
deeply deeply
personal personal
stories story
. .
PV pv
: :
And and
pairs pair
those those
personal personal
stories story
to to
the the
brilliant brilliant
research research
of of
statisticians statistician
and and
scholars scholar
. .
WG wg
: :
Every every
day day
, ,
we we
are be
still still
blown blow
away away
by by
people people
' '
s s
experiences experience
, ,
by by
the the
complexity complexity
of of
our our
collective collective
racial racial
reality reality
. .
PV pv
: :
So so
today today
, ,
we we
ask ask
you you
— -
WG wg
: :
Are be
you you
racially racially
literate literate
? ?
Are be
you you
there there
yet yet
? ?
PV pv
: :
Do do
you you
really really
understand understand
the the
people people
around around
you you
, ,
their their
stories story
, ,
stories story
like like
these these
? ?
It it
' '
s s
not not
just just
knowing know
that that
Louise louise
from from
Seattle seattle
survived survive
Japanese japanese
American american
internment internment
camps camp
. .
It it
' '
s s
knowing know
that that
, ,
meanwhile meanwhile
, ,
her her
husband husband
was be
one one
of of
an an
estimated estimated
33 @card@
, ,
000 @card@
Japanese japanese
Americans americans
who who
fought fight
for for
our our
country country
during during
the the
war war
, ,
a a
country country
that that
was be
simultaneously simultaneously
interning intern
their their
families family
. .
For for
most most
of of
us us
, ,
those those
Japanese japanese
Americans americans
both both
in in
camps camp
and and
in in
service service
, ,
now now
see see
their their
bravery bravery
, ,
their their
resilience resilience
, ,
their their
history history
forgotten forget
. .
They they
' '
ve ve
become become
only only
victims victim
. .
PV pv
: :
It it
' '
s s
not not
just just
knowing know
that that
interracial interracial
marriages marriage
like like
Shermaine shermaine
and and
Paul paul
in in
DC dc
exist exist
, ,
it it
' '
s s
acknowledging acknowledge
that that
our our
society society
has have
been be
programmed programme
for for
them them
to to
fail fail
. .
That that
on on
their their
very very
first first
date date
someone someone
shouted shout
, ,
" "
Why why
are be
you you
with with
that that
black black
whore whore
? ?
" "
That that
according accord
to to
a a
Columbia columbia
study study
on on
cis cis
straight straight
relationships relationship
black black
is be
often often
equated equate
with with
masculinity masculinity
and and
Asian asian
with with
femininity femininity
, ,
leading lead
more more
men man
to to
not not
value value
black black
women woman
and and
to to
fetishize fetishize
Asian asian
women woman
. .
Among among
black-white black-white
marriages marriage
in in
the the
year year
2000 @card@
, ,
73 @card@
percent percent
had have
a a
black black
husband husband
and and
a a
white white
wife wife
. .
Paul paul
and and
Shermaine shermaine
defy defy
that that
statistic statistic
. .
Black black
is be
beautiful beautiful
, ,
but but
it it
takes take
a a
lot lot
to to
believe believe
so so
once once
society society
says say
otherwise otherwise
. .
WG wg
: :
It it
' '
s s
not not
just just
knowing know
that that
white white
people people
like like
Lisa lisa
in in
Chicago chicago
have have
white white
privilege privilege
, ,
it it
' '
s s
reflecting reflect
consciously consciously
on on
the the
term term
whiteness whiteness
and and
its its
history history
, ,
knowing know
that that
whiteness whiteness
can can
' '
t t
be be
equated equate
with with
American american
. .
It it
' '
s s
knowing know
that that
Lisa lisa
can can
' '
t t
forget forget
her her
own own
personal personal
family family
' '
s s
history history
of of
Jewish jewish
oppression oppression
. .
That that
she she
can can
' '
t t
forget forget
how how
, ,
growing grow
up up
, ,
she she
was be
called call
a a
dirty dirty
Jew jew
with with
horns horn
and and
tails tail
. .
But but
Lisa lisa
knows know
she she
can can
pass pass
as as
white white
so so
she she
benefits benefit
from from
huge huge
systemic systemic
and and
interpersonal interpersonal
privileges privilege
, ,
and and
so so
she she
spends spend
every every
day day
grappling grapple
with with
ways way
that that
she she
can can
leverage leverage
that that
white white
privilege privilege
for for
social social
justice justice
. .
For for
example example
, ,
starting start
conversations conversation
with with
other other
people people
of of
privilege privilege
about about
race race
. .
Or or
shifting shift
the the
power power
in in
her her
classroom classroom
to to
her her
students student
by by
learning learn
to to
listen listen
to to
their their
experiences experience
of of
racism racism
and and
poverty poverty
. .
PV pv
: :
It it
' '
s s
not not
just just
knowing know
that that
native native
languages language
are be
dying die
. .
It it
' '
s s
appreciating appreciate
how how
fluency fluency
in in
the the
Cherokee cherokee
language language
, ,
which which
really really
only only
less less
than than
12 @card@
, ,
000 @card@
people people
speak speak
today today
, ,
is be
an an
act act
of of
survival survival
, ,
of of
preservation preservation
of of
culture culture
and and
history history
. .
It it
' '
s s
knowing know
how how
the the
nongendered nongendered
Cherokee cherokee
language language
enabled enable
Ahyoka ahyoka
' '
s s
acceptance acceptance
as as
a a
trans trans
woman woman
in in
Tahlequah tahlequah
, ,
Oklahoma oklahoma
. .
Her her
grandmother grandmother
told tell
her her
firmly firmly
a a
saying saying
in in
Cherokee cherokee
, ,
" "
I i
don don
' '
t t
tell tell
me me
who who
you you
are be
, ,
you you
tell tell
me me
who who
you you
are be
. .
And and
that that
is be
who who
you you
are be
. .
" "
WG wg
: :
These these
are be
just just
parts part
of of
a a
few few
stories story
. .
There there
are be
approximately approximately
323 @card@
million million
people people
in in
the the
United united
States states
. .
PV pv
: :
And and
7 @card@
. .
4 @card@
billion billion
people people
on on
the the
planet planet
. .
WG wg
: :
So so
we we
have have
a a
lot lot
to to
listen listen
to to
. .
PV pv
: :
And and
a a
lot lot
to to
learn learn
. .
WG wg
: :
We we
need need
to to
raise raise
the the
bar bar
. .
PV pv
: :
Elevate elevate
our our
standards standard
for for
racial racial
literacy literacy
. .
Because because
without without
investing invest
in in
an an
education education
that that
values value
— -
WG wg
: :
Both both
the the
stories story
— -
PV pv
: :
And and
statistics statistic
— -
WG wg
: :
The the
people people
— -
PV pv
: :
And and
the the
numbers number
— -
WG wg
: :
The the
interpersonal interpersonal
— -
PV pv
: :
And and
the the
systemic systemic
— -
WG wg
: :
There there
will will
always always
be be
a a
piece piece
missing miss
. .
PV pv
: :
Today today
, ,
so so
few few
of of
us us
understand understand
each each
other other
. .
WG wg
: :
We we
don don
' '
t t
know know
how how
to to
communicate communicate
— -
PV pv
: :
Live live
together together
— -
WG wg
: :
Love love
one one
another another
. .
We we
need need
to to
all all
work work
together together
to to
create create
a a
new new
national national
community community
. .
PV pv
: :
A a
new new
shared shared
culture culture
of of
mutual mutual
suffering suffering
and and
celebration celebration
. .
WG wg
: :
We we
need need
to to
each each
begin begin
by by
learning learn
in in
our our
own own
local local
communities community
, ,
bridging bridge
the the
gaps gap
between between
our our
own own
hearts heart
and and
minds mind
to to
become become
racially racially
literate literate
. .
PV pv
: :
Once once
we we
all all
do do
, ,
we we
will will
be be
that that
much much
closer close
to to
living live
in in
spaces space
and and
systems system
that that
fight fight
and and
care care
equally equally
for for
all all
of of
us us
. .
WG wg
: :
Then then
, ,
none none
of of
us us
will will
be be
able able
to to
remain remain
distant distant
. .
PV pv
: :
We we
couldn couldn
' '
t t
— -
sorry sorry
, ,
mom mom
and and
dad dad
, ,
college college
can can
wait wait
. .
WG wg
: :
We we
' '
re re
on on
a a
gap gap
year year
before before
college college
, ,
traveling travel
to to
all all
50 @card@
states state
collecting collect
stories story
for for
our our
next next
book book
. .
PV pv
: :
And and
we we
still still
have have
23 @card@
states state
left leave
to to
interview interview
in in
. .
Let let
' '
s s
all all
get get
to to
work work
. .
Thank thank
you you
. .
