One one
and and
better good
human human
beings being
. .
That that
' '
s s
a a
lovely lovely
idea idea
. .
Interesting interest
where where
it it
came come
from from
. .
In in
the the
early early
19th 19th
century century
, ,
church church
attendance attendance
in in
Western western
Europe europe
started start
sliding slide
down down
very very
, ,
very very
sharply sharply
, ,
and and
people people
panicked panick
. .
They they
asked ask
themselves themselves
the the
following follow
question question
. .
They they
said say
, ,
where where
are be
people people
going go
to to
find find
the the
morality morality
, ,
where where
are be
they they
going go
to to
find find
guidance guidance
, ,
and and
where where
are be
they they
going go
to to
find find
sources source
of of
consolation consolation
? ?
And and
influential influential
voices voice
came come
up up
with with
one one
answer answer
. .
They they
said say
culture culture
. .
It it
' '
s s
to to
culture culture
that that
we we
should should
look look
for for
guidance guidance
, ,
for for
consolation consolation
, ,
for for
morality morality
. .
Let let
' '
s s
look look
to to
the the
plays play
of of
Shakespeare shakespeare
, ,
the the
dialogues dialogue
of of
Plato plato
, ,
the the
novels novel
of of
Jane jane
Austen austen
. .
In in
there there
, ,
we we
' '
ll ll
find find
a a
lot lot
of of
the the
truths truth
that that
we we
might might
previously previously
have have
found find
in in
the the
Gospel gospel
of of
Saint saint
John john
. .
Now now
I i
think think
that that
' '
s s
a a
very very
beautiful beautiful
idea idea
and and
a a
very very
true true
idea idea
. .
They they
wanted want
to to
replace replace
scripture scripture
with with
culture culture
. .
And and
that that
' '
s s
a a
very very
plausible plausible
idea idea
. .
It it
' '
s s
also also
an an
idea idea
that that
we we
have have
forgotten forget
. .
If if
you you
went go
to to
a a
top top
university university
â â
let let
' '
s s
say say
you you
went go
to to
Harvard harvard
or or
Oxford oxford
or or
Cambridge cambridge
â â
and and
you you
said say
, ,
" "
I i
' '
ve ve
come come
here here
because because
I i
' '
m m
in in
search search
of of
morality morality
, ,
guidance guidance
and and
consolation consolation
; ;
I i
want want
to to
know know
how how
to to
live live
, ,
" "
they they
would would
show show
you you
the the
way way
to to
the the
insane insane
asylum asylum
. .
This this
is be
simply simply
not not
what what
our our
grandest grand
and and
best good
institutes institute
of of
higher high
learning learning
are be
in in
the the
business business
of of
. .
Why why
? ?
They they
don don
' '
t t
think think
we we
need need
it it
. .
They they
don don
' '
t t
think think
we we
are be
in in
an an
urgent urgent
need need
of of
assistance assistance
. .
They they
see see
us us
as as
adults adult
, ,
rational rational
adults adult
. .
What what
we we
need need
is be
information information
. .
We we
need need
data datum
, ,
we we
don don
' '
t t
need need
help help
. .
Now now
religions religion
start start
from from
a a
very very
different different
place place
indeed indeed
. .
All all
religions religion
, ,
all all
major major
religions religion
, ,
at at
various various
points point
call call
us us
children child
. .
And and
like like
children child
, ,
they they
believe believe
that that
we we
are be
in in
severe severe
need need
of of
assistance assistance
. .
We we
' '
re re
only only
just just
holding hold
it it
together together
. .
Perhaps perhaps
this this
is be
just just
me me
, ,
maybe maybe
you you
. .
But but
anyway anyway
, ,
we we
' '
re re
only only
just just
holding hold
it it
together together
. .
And and
we we
need need
help help
. .
Of of
course course
, ,
we we
need need
help help
. .
And and
so so
we we
need need
guidance guidance
and and
we we
need need
didactic didactic
learning learning
. .
You you
know know
, ,
in in
the the
18th 18th
century century
in in
the the
U u
. .
K k
. .
, ,
the the
greatest great
preacher preacher
, ,
greatest great
religious religious
preacher preacher
, ,
was be
a a
man man
called call
John john
Wesley wesley
, ,
who who
went go
up up
and and
down down
this this
country country
delivering deliver
sermons sermon
, ,
advising advise
people people
how how
they they
could could
live live
. .
He he
delivered deliver
sermons sermon
on on
the the
duties duty
of of
parents parent
to to
their their
children child
and and
children child
to to
their their
parents parent
, ,
the the
duties duty
of of
the the
rich rich
to to
the the
poor poor
and and
the the
poor poor
to to
the the
rich rich
. .
He he
was be
trying try
to to
tell tell
people people
how how
they they
should should
live live
through through
the the
medium medium
of of
sermons sermon
, ,
the the
classic classic
medium medium
of of
delivery delivery
of of
religions religion
. .
Now now
we we
' '
ve ve
given give
up up
with with
the the
idea idea
of of
sermons sermon
. .
If if
you you
said say
to to
a a
modern modern
liberal liberal
individualist individualist
, ,
" "
Hey hey
, ,
how how
about about
a a
sermon sermon
? ?
" "
they they
' '
d d
go go
, ,
" "
No no
, ,
no no
. .
I i
don don
' '
t t
need need
one one
of of
those those
. .
I i
' '
m m
an an
independent independent
, ,
individual individual
person person
. .
" "
What what
' '
s s
the the
difference difference
between between
a a
sermon sermon
and and
our our
modern modern
, ,
secular secular
mode mode
of of
delivery delivery
, ,
the the
lecture lecture
? ?
Well well
a a
sermon sermon
wants want
to to
change change
your your
life life
and and
a a
lecture lecture
wants want
to to
give give
you you
a a
bit bit
of of
information information
. .
And and
I i
think think
we we
need need
to to
get get
back back
to to
that that
sermon sermon
tradition tradition
. .
The the
tradition tradition
of of
sermonizing sermonize
is be
hugely hugely
valuable valuable
, ,
because because
we we
are be
in in
need need
of of
guidance guidance
, ,
morality morality
and and
consolation consolation
â â
and and
religions religion
know know
that that
. .
Another another
point point
about about
education education
: :
we we
tend tend
to to
believe believe
in in
the the
modern modern
secular secular
world world
that that
if if
you you
tell tell
someone someone
something something
once once
, ,
they they
' '
ll ll
remember remember
it it
. .
Sit sit
them them
in in
a a
classroom classroom
, ,
tell tell
them them
about about
Plato plato
at at
the the
age age
of of
20 @card@
, ,
send send
them them
out out
for for
a a
career career
in in
management management
consultancy consultancy
for for
40 @card@
years year
, ,
and and
that that
lesson lesson
will will
stick stick
with with
them them
. .
Religions religion
go go
, ,
" "
Nonsense nonsense
. .
You you
need need
to to
keep keep
repeating repeat
the the
lesson lesson
10 @card@
times time
a a
day day
. .
So so
get get
on on
your your
knees knee
and and
repeat repeat
it it
. .
" "
That that
' '
s s
what what
all all
religions religion
tell tell
us us
: :
" "
Get get
on on
you you
knees knee
and and
repeat repeat
it it
10 @card@
or or
20 @card@
or or
15 @card@
times time
a a
day day
. .
" "
Otherwise otherwise
our our
minds mind
are be
like like
sieves sieve
. .
So so
religions religion
are be
cultures culture
of of
repetition repetition
. .
They they
circle circle
the the
great great
truths truth
again again
and and
again again
and and
again again
. .
We we
associate associate
repetition repetition
with with
boredom boredom
. .
" "
Give give
us us
the the
new new
, ,
" "
we we
' '
re re
always always
saying say
. .
" "
The the
new new
is be
better good
than than
the the
old old
. .
" "
If if
I i
said say
to to
you you
, ,
" "
Okay okay
, ,
we we
' '
re re
not not
going go
to to
have have
new new
TED ted
. .
We we
' '
re re
just just
going go
to to
run run
through through
all all
the the
old old
ones one
and and
watch watch
them them
five five
times time
because because
they they
' '
re re
so so
true true
. .
We we
' '
re re
going go
to to
watch watch
Elizabeth elizabeth
Gilbert gilbert
five five
times time
because because
what what
she she
says say
is be
so so
clever clever
, ,
" "
you you
' '
d d
feel feel
cheated cheat
. .
Not not
so so
if if
you you
' '
re re
adopting adopt
a a
religious religious
mindset mindset
. .
The the
other other
things thing
that that
religions religion
do do
is be
to to
arrange arrange
time time
. .
All all
the the
major major
religions religion
give give
us us
calendars calendar
. .
What what
is be
a a
calendar calendar
? ?
A a
calendar calendar
is be
a a
way way
of of
making make
sure sure
that that
across across
the the
year year
you you
will will
bump bump
into into
certain certain
very very
important important
ideas idea
. .
In in
the the
Catholic catholic
chronology chronology
, ,
Catholic catholic
calendar calendar
, ,
at at
the the
end end
of of
March march
you you
will will
think think
about about
St st
. .
Jerome jerome
and and
his his
qualities quality
of of
humility humility
and and
goodness goodness
and and
his his
generosity generosity
to to
the the
poor poor
. .
You you
won win
' '
t t
do do
that that
by by
accident accident
; ;
you you
will will
do do
that that
because because
you you
are be
guided guide
to to
do do
that that
. .
Now now
we we
don don
' '
t t
think think
that that
way way
. .
In in
the the
secular secular
world world
we we
think think
, ,
" "
If if
an an
idea idea
is be
important important
, ,
I i
' '
ll ll
bump bump
into into
it it
. .
I i
' '
ll ll
just just
come come
across across
it it
. .
" "
Nonsense nonsense
, ,
says say
the the
religious religious
world world
view view
. .
Religious religious
view view
says say
we we
need need
calendars calendar
, ,
we we
need need
to to
structure structure
time time
, ,
we we
need need
to to
synchronize synchronize
encounters encounter
. .
This this
comes come
across across
also also
in in
the the
way way
in in
which which
religions religion
set set
up up
rituals ritual
around around
important important
feelings feeling
. .
Take take
the the
Moon moon
. .
It it
' '
s s
really really
important important
to to
look look
at at
the the
Moon moon
. .
You you
know know
, ,
when when
you you
look look
at at
the the
Moon moon
, ,
you you
think think
, ,
" "
I i
' '
m m
really really
small small
. .
What what
are be
my my
problems problem
? ?
" "
It it
sets set
things thing
into into
perspective perspective
, ,
etc etc
. .
, ,
etc etc
. .
We we
should should
all all
look look
at at
the the
Moon moon
a a
bit bit
more more
often often
. .
We we
don don
' '
t t
. .
Why why
don don
' '
t t
we we
? ?
Well well
there there
' '
s s
nothing nothing
to to
tell tell
us us
, ,
" "
Look look
at at
the the
Moon moon
. .
" "
But but
if if
you you
' '
re re
a a
Zen zen
Buddhist buddhist
in in
the the
middle middle
of of
September september
, ,
you you
will will
be be
ordered order
out out
of of
your your
home home
, ,
made make
to to
stand stand
on on
a a
canonical canonical
platform platform
and and
made make
to to
celebrate celebrate
the the
festival festival
of of
Tsukimi tsukimi
, ,
where where
you you
will will
be be
given give
poems poem
to to
read read
in in
honor honor
of of
the the
Moon moon
and and
the the
passage passage
of of
time time
and and
the the
frailty frailty
of of
life life
that that
it it
should should
remind remind
us us
of of
. .
You you
' '
ll ll
be be
handed hand
rice rice
cakes cake
. .
And and
the the
Moon moon
and and
the the
reflection reflection
on on
the the
Moon moon
will will
have have
a a
secure secure
place place
in in
your your
heart heart
. .
That that
' '
s s
very very
good good
. .
The the
other other
thing thing
that that
religions religion
are be
really really
aware aware
of of
is be
: :
speak speak
well well
â â
I i
' '
m m
not not
doing do
a a
very very
good good
job job
of of
this this
here here
â â
but but
oratory oratory
, ,
oratory oratory
is be
absolutely absolutely
key key
to to
religions religion
. .
In in
the the
secular secular
world world
, ,
you you
can can
come come
through through
the the
university university
system system
and and
be be
a a
lousy lousy
speaker speaker
and and
still still
have have
a a
great great
career career
. .
But but
the the
religious religious
world world
doesn doesn
' '
t t
think think
that that
way way
. .
What what
you you
' '
re re
saying say
needs need
to to
be be
backed back
up up
by by
a a
really really
convincing convincing
way way
of of
saying say
it it
. .
So so
if if
you you
go go
to to
an an
African-American african-american
Pentecostalist pentecostalist
church church
in in
the the
American american
South south
and and
you you
listen listen
to to
how how
they they
talk talk
, ,
my my
goodness goodness
, ,
they they
talk talk
well well
. .
After after
every every
convincing convincing
point point
, ,
people people
will will
go go
, ,
" "
Amen amen
, ,
amen amen
, ,
amen amen
. .
" "
At at
the the
end end
of of
a a
really really
rousing rousing
paragraph paragraph
, ,
they they
' '
ll ll
all all
stand stand
up up
, ,
and and
they they
' '
ll ll
go go
, ,
" "
Thank thank
you you
Jesus jesus
, ,
thank thank
you you
Christ christ
, ,
thank thank
you you
Savior savior
. .
" "
If if
we we
were be
doing do
it it
like like
they they
do do
it it
â â
let let
' '
s s
not not
do do
it it
, ,
but but
if if
we we
were be
to to
do do
it it
â â
I i
would would
tell tell
you you
something something
like like
, ,
" "
Culture culture
should should
replace replace
scripture scripture
. .
" "
And and
you you
would would
go go
, ,
" "
Amen amen
, ,
amen amen
, ,
amen amen
. .
" "
And and
at at
the the
end end
of of
my my
talk talk
, ,
you you
would would
all all
stand stand
up up
and and
you you
would would
go go
, ,
" "
Thank thank
you you
Plato plato
, ,
thank thank
you you
Shakespeare shakespeare
, ,
thank thank
you you
Jane jane
Austen austen
. .
" "
And and
we we
' '
d d
know know
that that
we we
had have
a a
real real
rhythm rhythm
going go
. .
All all
right right
, ,
all all
right right
. .
We we
' '
re re
getting get
there there
. .
We we
' '
re re
getting get
there there
. .
The the
other other
thing thing
that that
religions religion
know know
is be
we we
' '
re re
not not
just just
brains brain
, ,
we we
are be
also also
bodies body
. .
And and
when when
they they
teach teach
us us
a a
lesson lesson
, ,
they they
do do
it it
via via
the the
body body
. .
So so
for for
example example
, ,
take take
the the
Jewish jewish
idea idea
of of
forgiveness forgiveness
. .
Jews jews
are be
very very
interested interested
in in
forgiveness forgiveness
and and
how how
we we
should should
start start
anew anew
and and
start start
afresh afresh
. .
They they
don don
' '
t t
just just
deliver deliver
us us
sermons sermon
on on
this this
. .
They they
don don
' '
t t
just just
give give
us us
books book
or or
words word
about about
this this
. .
They they
tell tell
us us
to to
have have
a a
bath bath
. .
So so
in in
Orthodox orthodox
Jewish jewish
communities community
, ,
every every
Friday friday
you you
go go
to to
a a
Mikveh mikveh
. .
You you
immerse immerse
yourself yourself
in in
the the
water water
, ,
and and
a a
physical physical
action action
backs back
up up
a a
philosophical philosophical
idea idea
. .
We we
don don
' '
t t
tend tend
to to
do do
that that
. .
Our our
ideas idea
are be
in in
one one
area area
and and
our our
behavior behavior
with with
our our
bodies body
is be
in in
another another
. .
Religions religion
are be
fascinating fascinating
in in
the the
way way
they they
try try
and and
combine combine
the the
two two
. .
Let let
' '
s s
look look
at at
art art
now now
. .
Now now
art art
is be
something something
that that
in in
the the
secular secular
world world
, ,
we we
think think
very very
highly highly
of of
. .
We we
think think
art art
is be
really really
, ,
really really
important important
. .
A a
lot lot
of of
our our
surplus surplus
wealth wealth
goes go
to to
museums museum
, ,
etc etc
. .
We we
sometimes sometimes
hear hear
it it
said say
that that
museums museum
are be
our our
new new
cathedrals cathedral
, ,
or or
our our
new new
churches church
. .
You you
' '
ve ve
heard hear
that that
saying say
. .
Now now
I i
think think
that that
the the
potential potential
is be
there there
, ,
but but
we we
' '
ve ve
completely completely
let let
ourselves ourselves
down down
. .
And and
the the
reason reason
we we
' '
ve ve
let let
ourselves ourselves
down down
is be
that that
we we
' '
re re
not not
properly properly
studying study
how how
religions religion
handle handle
art art
. .
The the
two two
really really
bad bad
ideas idea
that that
are be
hovering hover
in in
the the
modern modern
world world
that that
inhibit inhibit
our our
capacity capacity
to to
draw draw
strength strength
from from
art art
: :
The the
first first
idea idea
is be
that that
art art
should should
be be
for for
art art
' '
s s
sake sake
â â
a a
ridiculous ridiculous
idea idea
â â
an an
idea idea
that that
art art
should should
live live
in in
a a
hermetic hermetic
bubble bubble
and and
should should
not not
try try
to to
do do
anything anything
with with
this this
troubled troubled
world world
. .
I i
couldn couldn
' '
t t
disagree disagree
more more
. .
The the
other other
thing thing
that that
we we
believe believe
is be
that that
art art
shouldn shouldn
' '
t t
explain explain
itself itself
, ,
that that
artists artist
shouldn shouldn
' '
t t
say say
what what
they they
' '
re re
up up
to to
, ,
because because
if if
they they
said say
it it
, ,
it it
might might
destroy destroy
the the
spell spell
and and
we we
might might
find find
it it
too too
easy easy
. .
That that
' '
s s
why why
a a
very very
common common
feeling feeling
when when
you you
' '
re re
in in
a a
museum museum
â â
let let
' '
s s
admit admit
it it
â â
is be
, ,
" "
I i
don don
' '
t t
know know
what what
this this
is be
about about
. .
" "
But but
if if
we we
' '
re re
serious serious
people people
, ,
we we
don don
' '
t t
admit admit
to to
that that
. .
But but
that that
feeling feeling
of of
puzzlement puzzlement
is be
structural structural
to to
contemporary contemporary
art art
. .
Now now
religions religion
have have
a a
much much
saner sane
attitude attitude
to to
art art
. .
They they
have have
no no
trouble trouble
telling tell
us us
what what
art art
is be
about about
. .
Art art
is be
about about
two two
things thing
in in
all all
the the
major major
faiths faith
. .
Firstly firstly
, ,
it it
' '
s s
trying try
to to
remind remind
you you
of of
what what
there there
is be
to to
love love
. .
And and
secondly secondly
, ,
it it
' '
s s
trying try
to to
remind remind
you you
of of
what what
there there
is be
to to
fear fear
and and
to to
hate hate
. .
And and
that that
' '
s s
what what
art art
is be
. .
Art art
is be
a a
visceral visceral
encounter encounter
with with
the the
most most
important important
ideas idea
of of
your your
faith faith
. .
So so
as as
you you
walk walk
around around
a a
church church
, ,
or or
a a
mosque mosque
or or
a a
cathedral cathedral
, ,
what what
you you
' '
re re
trying try
to to
imbibe imbibe
, ,
what what
you you
' '
re re
imbibing imbibe
is be
, ,
through through
your your
eyes eye
, ,
through through
your your
senses sense
, ,
truths truth
that that
have have
otherwise otherwise
come come
to to
you you
through through
your your
mind mind
. .
Essentially essentially
it it
' '
s s
propaganda propaganda
. .
Rembrandt rembrandt
is be
a a
propagandist propagandist
in in
the the
Christian christian
view view
. .
Now now
the the
word word
" "
propaganda propaganda
" "
sets set
off off
alarm alarm
bells bell
. .
We we
think think
of of
Hitler hitler
, ,
we we
think think
of of
Stalin stalin
. .
Don don
' '
t t
, ,
necessarily necessarily
. .
Propaganda propaganda
is be
a a
manner manner
of of
being be
didactic didactic
in in
honor honor
of of
something something
. .
And and
if if
that that
thing thing
is be
good good
, ,
there there
' '
s s
no no
problem problem
with with
it it
at at
all all
. .
My my
view view
is be
that that
museums museum
should should
take take
a a
leaf leaf
out out
of of
the the
book book
of of
religions religion
. .
And and
they they
should should
make make
sure sure
that that
when when
you you
walk walk
into into
a a
museum museum
â â
if if
I i
was be
a a
museum museum
curator curator
, ,
I i
would would
make make
a a
room room
for for
love love
, ,
a a
room room
for for
generosity generosity
. .
All all
works work
of of
art art
are be
talking talk
to to
us us
about about
things thing
. .
And and
if if
we we
were be
able able
to to
arrange arrange
spaces space
where where
we we
could could
come come
across across
works work
where where
we we
would would
be be
told tell
, ,
use use
these these
works work
of of
art art
to to
cement cement
these these
ideas idea
in in
your your
mind mind
, ,
we we
would would
get get
a a
lot lot
more more
out out
of of
art art
. .
Art art
would would
pick pick
up up
the the
duty duty
that that
it it
used use
to to
have have
and and
that that
we we
' '
ve ve
neglected neglect
because because
of of
certain certain
mis-founded mis-founded
ideas idea
. .
Art art
should should
be be
one one
of of
the the
tools tool
by by
which which
we we
improve improve
our our
society society
. .
Art art
should should
be be
didactic didactic
. .
Let let
' '
s s
think think
of of
something something
else else
. .
The the
people people
in in
the the
modern modern
world world
, ,
in in
the the
secular secular
world world
, ,
who who
are be
interested interested
in in
matters matter
of of
the the
spirit spirit
, ,
in in
matters matter
of of
the the
mind mind
, ,
in in
higher high
soul-like soul-like
concerns concern
, ,
tend tend
to to
be be
isolated isolate
individuals individual
. .
They they
' '
re re
poets poet
, ,
they they
' '
re re
philosophers philosopher
, ,
they they
' '
re re
photographers photographer
, ,
they they
' '
re re
filmmakers filmmaker
. .
And and
they they
tend tend
to to
be be
on on
their their
own own
. .
They they
' '
re re
our our
cottage cottage
industries industry
. .
They they
are be
vulnerable vulnerable
, ,
single single
people people
. .
And and
they they
get get
depressed depress
and and
they they
get get
sad sad
on on
their their
own own
. .
And and
they they
don don
' '
t t
really really
change change
much much
. .
Now now
think think
about about
religions religion
, ,
think think
about about
organized organized
religions religion
. .
What what
do do
organized organized
religions religion
do do
? ?
They they
group group
together together
, ,
they they
form form
institutions institution
. .
And and
that that
has have
all all
sorts sort
of of
advantages advantage
. .
First first
of of
all all
, ,
scale scale
, ,
might might
. .
The the
Catholic catholic
Church church
pulled pull
in in
97 @card@
billion billion
dollars dollar
last last
year year
according accord
to to
the the
Wall wall
Street street
Journal journal
. .
These these
are be
massive massive
machines machine
. .
They they
' '
re re
collaborative collaborative
, ,
they they
' '
re re
branded brand
, ,
they they
' '
re re
multinational multinational
, ,
and and
they they
' '
re re
highly highly
disciplined discipline
. .
These these
are be
all all
very very
good good
qualities quality
. .
We we
recognize recognize
them them
in in
relation relation
to to
corporations corporation
. .
And and
corporations corporation
are be
very very
like like
religions religion
in in
many many
ways way
, ,
except except
they they
' '
re re
right right
down down
at at
the the
bottom bottom
of of
the the
pyramid pyramid
of of
needs need
. .
They they
' '
re re
selling sell
us us
shoes shoe
and and
cars car
. .
Whereas whereas
the the
people people
who who
are be
selling sell
us us
the the
higher high
stuff stuff
â â
the the
therapists therapist
, ,
the the
poets poet
â â
are be
on on
their their
own own
and and
they they
have have
no no
power power
, ,
they they
have have
no no
might might
. .
So so
religions religion
are be
the the
foremost foremost
example example
of of
an an
institution institution
that that
is be
fighting fight
for for
the the
things thing
of of
the the
mind mind
. .
Now now
we we
may may
not not
agree agree
with with
what what
religions religion
are be
trying try
to to
teach teach
us us
, ,
but but
we we
can can
admire admire
the the
institutional institutional
way way
in in
which which
they they
' '
re re
doing do
it it
. .
Books book
alone alone
, ,
books book
written write
by by
lone lone
individuals individual
, ,
are be
not not
going go
to to
change change
anything anything
. .
We we
need need
to to
group group
together together
. .
If if
you you
want want
to to
change change
the the
world world
, ,
you you
have have
to to
group group
together together
, ,
you you
have have
to to
be be
collaborative collaborative
. .
And and
that that
' '
s s
what what
religions religion
do do
. .
They they
are be
multinational multinational
, ,
as as
I i
say say
, ,
they they
are be
branded brand
, ,
they they
have have
a a
clear clear
identity identity
, ,
so so
they they
don don
' '
t t
get get
lost lose
in in
a a
busy busy
world world
. .
That that
' '
s s
something something
we we
can can
learn learn
from from
. .
I i
want want
to to
conclude conclude
. .
Really really
what what
I i
want want
to to
say say
is be
for for
many many
of of
you you
who who
are be
operating operate
in in
a a
range range
of of
different different
fields field
, ,
there there
is be
something something
to to
learn learn
from from
the the
example example
of of
religion religion
â â
even even
if if
you you
don don
' '
t t
believe believe
any any
of of
it it
. .
If if
you you
' '
re re
involved involve
in in
anything anything
that that
' '
s s
communal communal
, ,
that that
involves involve
lots lot
of of
people people
getting get
together together
, ,
there there
are be
things thing
for for
you you
in in
religion religion
. .
If if
you you
' '
re re
involved involve
, ,
say say
, ,
in in
a a
travel travel
industry industry
in in
any any
way way
, ,
look look
at at
pilgrimage pilgrimage
. .
Look look
very very
closely closely
at at
pilgrimage pilgrimage
. .
We we
haven haven
' '
t t
begun begin
to to
scratch scratch
the the
surface surface
of of
what what
travel travel
could could
be be
because because
we we
haven haven
' '
t t
looked look
at at
what what
religions religion
do do
with with
travel travel
. .
If if
you you
' '
re re
in in
the the
art art
world world
, ,
look look
at at
the the
example example
of of
what what
religions religion
are be
doing do
with with
art art
. .
And and
if if
you you
' '
re re
an an
educator educator
in in
any any
way way
, ,
again again
, ,
look look
at at
how how
religions religion
are be
spreading spread
ideas idea
. .
You you
may may
not not
agree agree
with with
the the
ideas idea
, ,
but but
my my
goodness goodness
, ,
they they
' '
re re
highly highly
effective effective
mechanisms mechanism
for for
doing do
so so
. .
So so
really really
my my
concluding conclude
point point
is be
you you
may may
not not
agree agree
with with
religion religion
, ,
but but
at at
the the
end end
of of
the the
day day
, ,
religions religion
are be
so so
subtle subtle
, ,
so so
complicated complicate
, ,
so so
intelligent intelligent
in in
many many
ways way
that that
they they
' '
re re
not not
