Whoa whoa
mechanics mechanic
. .
But but
this this
does do
not not
mean mean
everything everything
happens happen
. .
The the
rest rest
of of
physics physic
is be
about about
describing describe
what what
can can
happen happen
and and
what what
can can
' '
t t
. .
What what
physics physics
tells tell
us us
is be
that that
everything everything
comes come
down down
to to
geometry geometry
and and
the the
interactions interaction
of of
elementary elementary
particles particle
. .
And and
things thing
can can
happen happen
only only
if if
these these
interactions interaction
are be
perfectly perfectly
balanced balance
. .
Now now
I i
' '
ll ll
go go
ahead ahead
and and
describe describe
how how
we we
know know
about about
these these
particles particle
, ,
what what
they they
are be
and and
how how
this this
balance balance
works work
. .
In in
this this
machine machine
, ,
a a
beam beam
of of
protons proton
and and
antiprotons antiproton
are be
accelerated accelerate
to to
near near
the the
speed speed
of of
light light
and and
brought bring
together together
in in
a a
collision collision
, ,
producing produce
a a
burst burst
of of
pure pure
energy energy
. .
This this
energy energy
is be
immediately immediately
converted convert
into into
a a
spray spray
of of
subatomic subatomic
particles particle
, ,
with with
detectors detector
and and
computers computer
used use
to to
figure figure
out out
their their
properties property
. .
This this
enormous enormous
machine machine
— -
the the
Large large
Hadron hadron
Collider collider
at at
CERN cern
in in
Geneva geneva
— -
has have
a a
circumference circumference
of of
17 @card@
miles mile
and and
, ,
when when
it it
' '
s s
operating operate
, ,
draws draw
five five
times time
as as
much much
power power
as as
the the
city city
of of
Monterey monterey
. .
We we
can can
' '
t t
predict predict
specifically specifically
what what
particles particle
will will
be be
produced produce
in in
any any
individual individual
collision collision
. .
Quantum quantum
mechanics mechanic
tells tell
us us
all all
possibilities possibility
are be
realized realize
. .
But but
physics physic
does do
tell tell
us us
what what
particles particle
can can
be be
produced produce
. .
These these
particles particle
must must
have have
just just
as as
much much
mass mass
and and
energy energy
as as
is be
carried carry
in in
by by
the the
proton proton
and and
antiproton antiproton
. .
Any any
particles particle
more more
massive massive
than than
this this
energy energy
limit limit
aren aren
' '
t t
produced produce
, ,
and and
remain remain
invisible invisible
to to
us us
. .
This this
is be
why why
this this
new new
particle particle
accelerator accelerator
is be
so so
exciting exciting
. .
It it
' '
s s
going go
to to
push push
this this
energy energy
limit limit
seven seven
times time
beyond beyond
what what
' '
s s
ever ever
been be
done do
before before
, ,
so so
we we
' '
re re
going go
to to
get get
to to
see see
some some
new new
particles particle
very very
soon soon
. .
But but
before before
talking talk
about about
what what
we we
might might
see see
, ,
let let
me me
describe describe
the the
particles particle
we we
already already
know know
of of
. .
There there
' '
s s
a a
whole whole
zoo zoo
of of
subatomic subatomic
particles particle
. .
Most most
of of
us us
are be
familiar familiar
with with
electrons electron
. .
A a
lot lot
of of
people people
in in
this this
room room
make make
a a
good good
living living
pushing push
them them
around around
. .
But but
the the
electron electron
also also
has have
a a
neutral neutral
partner partner
called call
the the
neutrino neutrino
, ,
with with
no no
electric electric
charge charge
and and
a a
very very
tiny tiny
mass mass
. .
In in
contrast contrast
, ,
the the
up up
and and
down down
quarks quark
have have
very very
large large
masses mass
, ,
and and
combine combine
in in
threes three
to to
make make
the the
protons proton
and and
neutrons neutron
inside inside
atoms atom
. .
All all
of of
these these
matter matter
particles particle
come come
in in
left- left-
and and
right-handed right-handed
varieties variety
, ,
and and
have have
antiparticle antiparticle
partners partner
that that
carry carry
opposite opposite
charges charge
. .
These these
familiar familiar
particles particle
also also
have have
less less
familiar familiar
second second
and and
third third
generations generation
, ,
which which
have have
the the
same same
charges charge
as as
the the
first first
but but
have have
much much
higher high
masses mass
. .
These these
matter matter
particles particle
all all
interact interact
with with
the the
various various
force force
particles particle
. .
The the
electromagnetic electromagnetic
force force
interacts interact
with with
electrically electrically
charged charge
matter matter
via via
particles particle
called call
photons photon
. .
There there
is be
also also
a a
very very
weak weak
force force
called call
, ,
rather rather
unimaginatively unimaginatively
, ,
the the
weak weak
force force
. .
. .
. .
that that
interacts interact
only only
with with
left-handed left-handed
matter matter
. .
The the
strong strong
force force
acts act
between between
quarks quark
which which
carry carry
a a
different different
kind kind
of of
charge charge
, ,
called call
color color
charge charge
, ,
and and
come come
in in
three three
different different
varieties variety
: :
red red
, ,
green green
and and
blue blue
. .
You you
can can
blame blame
Murray murray
Gell-Mann gell-mann
for for
these these
names name
— -
they they
' '
re re
his his
fault fault
. .
Finally finally
, ,
there there
' '
s s
the the
force force
of of
gravity gravity
, ,
which which
interacts interact
with with
matter matter
via via
its its
mass mass
and and
spin spin
. .
The the
most most
important important
thing thing
to to
understand understand
here here
is be
that that
there there
' '
s s
a a
different different
kind kind
of of
charge charge
associated associate
with with
each each
of of
these these
forces force
. .
These these
four four
different different
forces force
interact interact
with with
matter matter
according accord
to to
the the
corresponding corresponding
charges charge
that that
each each
particle particle
has have
. .
A a
particle particle
that that
hasn hasn
' '
t t
been be
seen see
yet yet
, ,
but but
we we
' '
re re
pretty pretty
sure sure
exists exist
, ,
is be
the the
Higgs higgs
particle particle
, ,
which which
gives give
masses mass
to to
all all
these these
other other
particles particle
. .
The the
main main
purpose purpose
of of
the the
Large large
Hadron hadron
Collider collider
is be
to to
see see
this this
Higgs higgs
particle particle
, ,
and and
we we
' '
re re
almost almost
certain certain
it it
will will
. .
But but
the the
greatest great
mystery mystery
is be
what what
else else
we we
might might
see see
. .
And and
I i
' '
m m
going go
to to
show show
you you
one one
beautiful beautiful
possibility possibility
towards towards
the the
end end
of of
this this
talk talk
. .
Now now
, ,
if if
we we
count count
up up
all all
these these
different different
particles particle
using use
their their
various various
spins spin
and and
charges charge
, ,
there there
are be
226 @card@
. .
That that
' '
s s
a a
lot lot
of of
particles particle
to to
keep keep
track track
of of
. .
And and
it it
seems seem
strange strange
that that
nature nature
would would
have have
so so
many many
elementary elementary
particles particle
. .
But but
if if
we we
plot plot
them them
out out
according accord
to to
their their
charges charge
, ,
some some
beautiful beautiful
patterns pattern
emerge emerge
. .
The the
most most
familiar familiar
charge charge
is be
electric electric
charge charge
. .
Electrons electron
have have
an an
electric electric
charge charge
, ,
a a
negative negative
one one
, ,
and and
quarks quark
have have
electric electric
charges charge
in in
thirds third
. .
So so
when when
two two
up up
quarks quark
and and
a a
down down
quark quark
are be
combined combine
to to
make make
a a
proton proton
, ,
it it
has have
a a
total total
electric electric
charge charge
of of
plus plus
one one
. .
These these
particles particle
also also
have have
antiparticles antiparticle
, ,
which which
have have
opposite opposite
charges charge
. .
Now now
, ,
it it
turns turn
out out
the the
electric electric
charge charge
is be
actually actually
a a
combination combination
of of
two two
other other
charges charge
: :
hypercharge hypercharge
and and
weak weak
charge charge
. .
If if
we we
spread spread
out out
the the
hypercharge hypercharge
and and
weak weak
charge charge
and and
plot plot
the the
charges charge
of of
particles particle
in in
this this
two-dimensional two-dimensional
charge charge
space space
, ,
the the
electric electric
charge charge
is be
where where
these these
particles particle
sit sit
along along
the the
vertical vertical
direction direction
. .
The the
electromagnetic electromagnetic
and and
weak weak
forces force
interact interact
with with
matter matter
according accord
to to
their their
hypercharge hypercharge
and and
weak weak
charge charge
, ,
which which
make make
this this
pattern pattern
. .
This this
is be
called call
the the
unified unified
electroweak electroweak
model model
, ,
and and
it it
was be
put put
together together
back back
in in
1967 @card@
. .
The the
reason reason
most most
of of
us us
are be
only only
familiar familiar
with with
electric electric
charge charge
and and
not not
both both
of of
these these
is be
because because
of of
the the
Higgs higgs
particle particle
. .
The the
Higgs higgs
, ,
over over
here here
on on
the the
left left
, ,
has have
a a
large large
mass mass
and and
breaks break
the the
symmetry symmetry
of of
this this
electroweak electroweak
pattern pattern
. .
It it
makes make
the the
weak weak
force force
very very
weak weak
by by
giving give
the the
weak weak
particles particle
a a
large large
mass mass
. .
Since since
this this
massive massive
Higgs higgs
sits sit
along along
the the
horizontal horizontal
direction direction
in in
this this
diagram diagram
, ,
the the
photons photon
of of
electromagnetism electromagnetism
remain remain
massless massless
and and
interact interact
with with
electric electric
charge charge
along along
the the
vertical vertical
direction direction
in in
this this
charge charge
space space
. .
So so
the the
electromagnetic electromagnetic
and and
weak weak
forces force
are be
described describe
by by
this this
pattern pattern
of of
particle particle
charges charge
in in
two-dimensional two-dimensional
space space
. .
We we
can can
include include
the the
strong strong
force force
by by
spreading spread
out out
its its
two two
charge charge
directions direction
and and
plotting plot
the the
charges charge
of of
the the
force force
particles particle
in in
quarks quark
along along
these these
directions direction
. .
The the
charges charge
of of
all all
known know
particles particle
can can
be be
plotted plot
in in
a a
four-dimensional four-dimensional
charge charge
space space
, ,
and and
projected project
down down
to to
two two
dimensions dimension
like like
this this
so so
we we
can can
see see
them them
. .
Whenever whenever
particles particle
interact interact
, ,
nature nature
keeps keep
things thing
in in
a a
perfect perfect
balance balance
along along
all all
four four
of of
these these
charge charge
directions direction
. .
If if
a a
particle particle
and and
an an
antiparticle antiparticle
collide collide
, ,
it it
creates create
a a
burst burst
of of
energy energy
and and
a a
total total
charge charge
of of
zero zero
in in
all all
four four
charge charge
directions direction
. .
At at
this this
point point
, ,
anything anything
can can
be be
created create
as as
long long
as as
it it
has have
the the
same same
energy energy
and and
maintains maintain
a a
total total
charge charge
of of
zero zero
. .
For for
example example
, ,
this this
weak weak
force force
particle particle
and and
its its
antiparticle antiparticle
can can
be be
created create
in in
a a
collision collision
. .
In in
further further
interactions interaction
, ,
the the
charges charge
must must
always always
balance balance
. .
One one
of of
the the
weak weak
particles particle
could could
decay decay
into into
an an
electron electron
and and
an an
antineutrino antineutrino
, ,
and and
these these
three three
still still
add add
to to
zero zero
total total
charge charge
. .
Nature nature
always always
keeps keep
a a
perfect perfect
balance balance
. .
So so
these these
patterns pattern
of of
charges charge
are be
not not
just just
pretty pretty
. .
They they
tell tell
us us
what what
interactions interaction
are be
allowed allow
to to
happen happen
. .
And and
we we
can can
rotate rotate
this this
charge charge
space space
in in
four four
dimensions dimension
to to
get get
a a
better good
look look
at at
the the
strong strong
interaction interaction
, ,
which which
has have
this this
nice nice
hexagonal hexagonal
symmetry symmetry
. .
In in
a a
strong strong
interaction interaction
, ,
a a
strong strong
force force
particle particle
, ,
such such
as as
this this
one one
, ,
interacts interact
with with
a a
colored color
quark quark
, ,
such such
as as
this this
green green
one one
, ,
to to
give give
a a
quark quark
with with
a a
different different
color color
charge charge
— -
this this
red red
one one
. .
And and
strong strong
interactions interaction
are be
happening happen
millions million
of of
times time
each each
second second
in in
every every
atom atom
of of
our our
bodies body
, ,
holding hold
the the
atomic atomic
nuclei nucleus
together together
. .
But but
these these
four four
charges charge
corresponding corresponding
to to
three three
forces force
are be
not not
the the
end end
of of
the the
story story
. .
We we
can can
also also
include include
two two
more more
charges charge
corresponding corresponding
to to
the the
gravitational gravitational
force force
. .
When when
we we
include include
these these
, ,
each each
matter matter
particle particle
has have
two two
different different
spin spin
charges charge
, ,
spin-up spin-up
and and
spin-down spin-down
. .
So so
they they
all all
split split
and and
give give
a a
nice nice
pattern pattern
in in
six-dimensional six-dimensional
charge charge
space space
. .
We we
can can
rotate rotate
this this
pattern pattern
in in
six six
dimensions dimension
and and
see see
that that
it it
' '
s s
quite quite
pretty pretty
. .
Right right
now now
, ,
this this
pattern pattern
matches match
our our
best good
current current
knowledge knowledge
of of
how how
nature nature
is be
built build
at at
the the
tiny tiny
scales scale
of of
these these
elementary elementary
particles particle
. .
This this
is be
what what
we we
know know
for for
certain certain
. .
Some some
of of
these these
particles particle
are be
at at
the the
very very
limit limit
of of
what what
we we
' '
ve ve
been be
able able
to to
reach reach
with with
experiments experiment
. .
From from
this this
pattern pattern
we we
already already
know know
the the
particle particle
physics physics
of of
these these
tiny tiny
scales scale
— -
the the
way way
the the
universe universe
works work
at at
these these
tiny tiny
scales scale
is be
very very
beautiful beautiful
. .
But but
now now
I i
' '
m m
going go
to to
discuss discuss
some some
new new
and and
old old
ideas idea
about about
things thing
we we
don don
' '
t t
know know
yet yet
. .
We we
want want
to to
expand expand
this this
pattern pattern
using use
mathematics mathematics
alone alone
, ,
and and
see see
if if
we we
can can
get get
our our
hands hand
on on
the the
whole whole
enchilada enchilada
. .
We we
want want
to to
find find
all all
the the
particles particle
and and
forces force
that that
make make
a a
complete complete
picture picture
of of
our our
universe universe
. .
And and
we we
want want
to to
use use
this this
picture picture
to to
predict predict
new new
particles particle
that that
we we
' '
ll ll
see see
when when
experiments experiment
reach reach
higher high
energies energy
. .
So so
there there
' '
s s
an an
old old
idea idea
in in
particle particle
physics physic
that that
this this
known know
pattern pattern
of of
charges charge
, ,
which which
is be
not not
very very
symmetric symmetric
, ,
could could
emerge emerge
from from
a a
more more
perfect perfect
pattern pattern
that that
gets get
broken break
— -
similar similar
to to
how how
the the
Higgs higgs
particle particle
breaks break
the the
electroweak electroweak
pattern pattern
to to
give give
electromagnetism electromagnetism
. .
In in
order order
to to
do do
this this
, ,
we we
need need
to to
introduce introduce
new new
forces force
with with
new new
charge charge
directions direction
. .
When when
we we
introduce introduce
a a
new new
direction direction
, ,
we we
get get
to to
guess guess
what what
charges charge
the the
particles particle
have have
along along
this this
direction direction
, ,
and and
then then
we we
can can
rotate rotate
it it
in in
with with
the the
others other
. .
If if
we we
guess guess
wisely wisely
, ,
we we
can can
construct construct
the the
standard standard
charges charge
in in
six six
charge charge
dimensions dimension
as as
a a
broken break
symmetry symmetry
of of
this this
more more
perfect perfect
pattern pattern
in in
seven seven
charge charge
dimensions dimension
. .
This this
particular particular
choice choice
corresponds correspond
to to
a a
grand grand
unified unified
theory theory
introduced introduce
by by
Pati pati
and and
Salam salam
in in
1973 @card@
. .
When when
we we
look look
at at
this this
new new
unified unified
pattern pattern
, ,
we we
can can
see see
a a
couple couple
of of
gaps gap
where where
particles particle
seem seem
to to
be be
missing miss
. .
This this
is be
the the
way way
theories theory
of of
unification unification
work work
. .
A a
physicist physicist
looks look
for for
larger large
, ,
more more
symmetric symmetric
patterns pattern
that that
include include
the the
established established
pattern pattern
as as
a a
subset subset
. .
The the
larger large
pattern pattern
allows allow
us us
to to
predict predict
the the
existence existence
of of
particles particle
that that
have have
never never
been be
seen see
. .
This this
unification unification
model model
predicts predict
the the
existence existence
of of
these these
two two
new new
force force
particles particle
, ,
which which
should should
act act
a a
lot lot
like like
the the
weak weak
force force
, ,
only only
weaker weak
. .
Now now
, ,
we we
can can
rotate rotate
this this
set set
of of
charges charge
in in
seven seven
dimensions dimension
and and
consider consider
an an
odd odd
fact fact
about about
the the
matter matter
particles particle
: :
the the
second second
and and
third third
generations generation
of of
matter matter
have have
exactly exactly
the the
same same
charges charge
in in
six-dimensional six-dimensional
charge charge
space space
as as
the the
first first
generation generation
. .
These these
particles particle
are be
not not
uniquely uniquely
identified identify
by by
their their
six six
charges charge
. .
They they
sit sit
on on
top top
of of
one one
another another
in in
the the
standard standard
charge charge
space space
. .
However however
, ,
if if
we we
work work
in in
eight-dimensional eight-dimensional
charge charge
space space
, ,
then then
we we
can can
assign assign
unique unique
new new
charges charge
to to
each each
particle particle
. .
Then then
we we
can can
spin spin
these these
in in
eight eight
dimensions dimension
and and
see see
what what
the the
whole whole
pattern pattern
looks look
like like
. .
Here here
we we
can can
see see
the the
second second
and and
third third
generations generation
of of
matter matter
now now
, ,
related relate
to to
the the
first first
generation generation
by by
a a
symmetry symmetry
called call
" "
triality triality
. .
" "
This this
particular particular
pattern pattern
of of
charges charge
in in
eight eight
dimensions dimension
is be
actually actually
part part
of of
the the
most most
beautiful beautiful
geometric geometric
structure structure
in in
mathematics mathematics
. .
It it
' '
s s
a a
pattern pattern
of of
the the
largest large
exceptional exceptional
Lie lie
group group
, ,
E8 e8
. .
This this
Lie lie
group group
is be
a a
smooth smooth
, ,
curved curve
shape shape
with with
248 @card@
dimensions dimension
. .
Each each
point point
in in
this this
pattern pattern
corresponds correspond
to to
a a
symmetry symmetry
of of
this this
very very
complex complex
and and
beautiful beautiful
shape shape
. .
One one
small small
part part
of of
this this
E8 e8
shape shape
can can
be be
used use
to to
describe describe
the the
curved curve
space-time space-time
of of
Einstein einstein
' '
s s
general general
relativity relativity
, ,
explaining explain
gravity gravity
. .
Together together
with with
quantum quantum
mechanics mechanic
, ,
the the
geometry geometry
of of
this this
shape shape
could could
describe describe
everything everything
about about
how how
the the
universe universe
works work
at at
the the
tiniest tiny
scales scale
. .
The the
pattern pattern
of of
this this
shape shape
living living
in in
eight-dimensional eight-dimensional
charge charge
space space
is be
exquisitely exquisitely
beautiful beautiful
, ,
and and
it it
summarizes summarize
thousands thousand
of of
possible possible
interactions interaction
between between
these these
elementary elementary
particles particle
, ,
each each
of of
which which
is be
just just
a a
facet facet
of of
this this
complicated complicated
shape shape
. .
As as
we we
spin spin
it it
, ,
we we
can can
see see
many many
of of
the the
other other
intricate intricate
patterns pattern
contained contain
in in
this this
one one
. .
And and
with with
a a
particular particular
rotation rotation
, ,
we we
can can
look look
down down
through through
this this
pattern pattern
in in
eight eight
dimensions dimension
along along
a a
symmetry symmetry
axis axis
and and
see see
all all
the the
particles particle
at at
once once
. .
It it
' '
s s
a a
very very
beautiful beautiful
object object
, ,
and and
as as
with with
any any
unification unification
, ,
we we
can can
see see
some some
holes hole
where where
new new
particles particle
are be
required require
by by
this this
pattern pattern
. .
There there
are be
20 @card@
gaps gap
where where
new new
particles particle
should should
be be
, ,
two two
of of
which which
have have
been be
filled fill
by by
the the
Pati-Salam pati-salam
particles particle
. .
From from
their their
location location
in in
this this
pattern pattern
, ,
we we
know know
that that
these these
new new
particles particle
should should
be be
scalar scalar
fields field
like like
the the
Higgs higgs
particle particle
, ,
but but
have have
color color
charge charge
and and
interact interact
with with
the the
strong strong
force force
. .
Filling fill
in in
these these
new new
particles particle
completes complete
this this
pattern pattern
, ,
giving give
us us
the the
full full
E8 e8
. .
This this
E8 e8
pattern pattern
has have
very very
deep deep
mathematical mathematical
roots root
. .
It it
' '
s s
considered consider
by by
many many
to to
be be
the the
most most
beautiful beautiful
structure structure
in in
mathematics mathematics
. .
It it
' '
s s
a a
fantastic fantastic
prospect prospect
that that
this this
object object
of of
great great
mathematical mathematical
beauty beauty
could could
describe describe
the the
truth truth
of of
particle particle
interactions interaction
at at
the the
smallest small
scales scale
imaginable imaginable
. .
And and
this this
idea idea
that that
nature nature
is be
described describe
by by
mathematics mathematics
is be
not not
at at
all all
new new
. .
In in
1623 @card@
, ,
Galileo galileo
wrote write
this this
: :
" "
Nature nature
' '
s s
grand grand
book book
, ,
which which
stands stand
continually continually
open open
to to
our our
gaze gaze
, ,
is be
written write
in in
the the
language language
of of
mathematics mathematics
. .
Its its
characters character
are be
triangles triangle
, ,
circles circle
and and
other other
geometrical geometrical
figures figure
, ,
without without
which which
it it
is be
humanly humanly
impossible impossible
to to
understand understand
a a
single single
word word
of of
it it
; ;
without without
these these
, ,
one one
is be
wandering wander
around around
in in
a a
dark dark
labyrinth labyrinth
. .
" "
I i
believe believe
this this
to to
be be
true true
, ,
and and
I i
' '
ve ve
tried try
to to
follow follow
Galileo galileo
' '
s s
guidance guidance
in in
describing describe
the the
mathematics mathematics
of of
particle particle
physics physic
using use
only only
triangles triangle
, ,
circles circle
and and
other other
geometrical geometrical
figures figure
. .
Of of
course course
, ,
when when
other other
physicists physicist
and and
I i
actually actually
work work
on on
this this
stuff stuff
, ,
the the
mathematics mathematics
can can
resemble resemble
a a
dark dark
labyrinth labyrinth
. .
But but
it it
' '
s s
reassuring reassure
that that
at at
the the
heart heart
of of
this this
mathematics mathematics
is be
pure pure
, ,
beautiful beautiful
geometry geometry
. .
Joined join
with with
quantum quantum
mechanics mechanic
, ,
this this
mathematics mathematics
describes describe
our our
universe universe
as as
a a
growing grow
E8 e8
coral coral
, ,
with with
particles particle
interacting interact
at at
every every
location location
in in
all all
possible possible
ways way
according accord
to to
a a
beautiful beautiful
pattern pattern
. .
And and
as as
more more
of of
the the
pattern pattern
comes come
into into
view view
using use
new new
machines machine
like like
the the
Large large
Hadron hadron
Collider collider
, ,
we we
may may
be be
able able
to to
see see
whether whether
nature nature
uses use
this this
E8 e8
pattern pattern
or or
a a
different different
one one
. .
This this
process process
of of
discovery discovery
is be
a a
wonderful wonderful
adventure adventure
to to
be be
involved involve
in in
. .
If if
the the
LHC lhc
finds find
particles particle
that that
fit fit
this this
E8 e8
pattern pattern
, ,
that that
will will
be be
very very
, ,
very very
cool cool
. .
If if
the the
LHC lhc
finds find
new new
particles particle
, ,
but but
they they
don don
' '
t t
fit fit
this this
pattern pattern
— -
well well
, ,
that that
will will
be be
very very
interesting interesting
, ,
but but
bad bad
for for
this this
E8 e8
theory theory
. .
And and
, ,
of of
course course
, ,
bad bad
for for
me me
personally personally
. .
Now now
, ,
how how
bad bad
would would
that that
be be
? ?
Well well
, ,
pretty pretty
bad bad
. .
But but
predicting predict
how how
nature nature
works work
is be
a a
very very
risky risky
game game
. .
This this
theory theory
and and
others other
like like
it it
are be
long long
shots shot
. .
One one
does do
a a
lot lot
of of
hard hard
work work
knowing know
that that
most most
of of
these these
ideas idea
probably probably
won win
' '
t t
end end
up up
being be
true true
about about
nature nature
. .
That that
' '
s s
what what
doing do
theoretical theoretical
physics physics
is be
like like
: :
there there
are be
a a
lot lot
of of
wipeouts wipeouts
. .
In in
this this
regard regard
, ,
new new
physics physics
theories theory
are be
a a
lot lot
like like
start-up start-up
companies company
. .
As as
with with
any any
large large
investment investment
, ,
it it
can can
be be
emotionally emotionally
difficult difficult
to to
abandon abandon
a a
line line
of of
research research
when when
it it
isn isn
' '
t t
working work
out out
. .
But but
in in
science science
, ,
if if
something something
isn isn
' '
t t
working working
, ,
you you
have have
to to
toss toss
it it
out out
and and
try try
something something
else else
. .
Now now
, ,
the the
only only
way way
to to
maintain maintain
sanity sanity
and and
achieve achieve
happiness happiness
in in
the the
midst midst
of of
this this
uncertainty uncertainty
is be
to to
keep keep
balance balance
and and
perspective perspective
in in
life life
. .
I i
' '
ve ve
tried try
the the
best good
I i
can can
to to
live live
a a
balanced balanced
life life
. .
I i
try try
to to
balance balance
my my
life life
equally equally
between between
physics physic
, ,
love love
and and
surfing surfing
— -
my my
own own
three three
charge charge
directions direction
. .
This this
way way
, ,
even even
if if
the the
physics physics
I i
work work
on on
comes come
to to
nothing nothing
, ,
I i
still still
know know
I i
' '
ve ve
lived live
a a
good good
life life
. .
And and
I i
try try
to to
live live
in in
beautiful beautiful
places place
. .
For for
most most
of of
the the
past past
ten ten
years year
I i
' '
ve ve
lived live
on on
the the
island island
of of
Maui maui
, ,
a a
very very
beautiful beautiful
place place
. .
Now now
, ,
it it
' '
s s
one one
of of
the the
greatest great
mysteries mystery
in in
the the
universe universe
to to
my my
parents parent
how how
I i
managed manage
to to
survive survive
all all
that that
time time
without without
engaging engage
in in
anything anything
resembling resemble
full-time full-time
employment employment
. .
I i
' '
m m
going go
to to
let let
you you
in in
on on
that that
secret secret
. .
This this
was be
a a
view view
from from
my my
home home
office office
on on
Maui maui
. .
And and
this this
is be
another another
, ,
and and
another another
. .
And and
you you
may may
have have
noticed notice
that that
these these
beautiful beautiful
views view
are be
similar similar
, ,
but but
in in
slightly slightly
different different
places place
. .
That that
' '
s s
because because
this this
used use
to to
be be
my my
home home
and and
office office
on on
Maui maui
. .
I i
' '
ve ve
chosen choose
a a
very very
unusual unusual
life life
. .
But but
not not
worrying worry
about about
rent rent
allowed allow
me me
to to
spend spend
my my
time time
doing do
what what
I i
love love
. .
Living live
a a
nomadic nomadic
existence existence
has have
been be
hard hard
at at
times time
, ,
but but
it it
' '
s s
allowed allow
me me
to to
live live
in in
beautiful beautiful
places place
and and
keep keep
a a
balance balance
in in
my my
life life
that that
I i
' '
ve ve
been be
happy happy
with with
. .
It it
allows allow
me me
to to
spend spend
a a
lot lot
of of
my my
time time
hanging hang
out out
with with
hyperintelligent hyperintelligent
coral coral
. .
But but
