Everywhere everywhere
To to
do do
so so
, ,
we we
need need
to to
bring bring
a a
builder builder
' '
s s
mindset mindset
to to
all all
conversations conversation
by by
relying rely
on on
curiosity curiosity
, ,
compassion compassion
, ,
creativity creativity
and and
courage courage
. .
The the
four four
Cs c
of of
a a
builder builder
' '
s s
mindset mindset
. .
And and
we we
understand understand
that that
there there
' '
s s
no no
chance chance
we we
' '
re re
going go
to to
change change
things thing
in in
a a
community community
, ,
let let
alone alone
across across
the the
world world
, ,
with with
a a
centralized centralized
model model
. .
We we
need need
a a
distributed distribute
model model
where where
everyone everyone
, ,
everyone everyone
here here
is be
empowered empower
to to
bring bring
change change
to to
their their
own own
communities community
. .
And and
so so
we we
' '
re re
in in
the the
process process
of of
creating create
a a
builder builder
' '
s s
toolkit toolkit
to to
help help
people people
take take
that that
into into
their their
communities community
, ,
into into
their their
high high
schools school
, ,
into into
their their
universities university
, ,
into into
their their
workplaces workplace
, ,
into into
their their
houses house
of of
faith faith
, ,
to to
try try
to to
help help
them them
replace replace
rigid rigid
ideologies ideology
with with
critical critical
thinking thinking
and and
critical critical
listening listening
, ,
to to
provide provide
best good
practices practice
for for
how how
to to
replace replace
cancel cancel
culture culture
with with
respectful respectful
, ,
hearty hearty
debate debate
. .
Not not
just just
because because
we we
want want
to to
get get
along along
, ,
not not
just just
because because
we we
want want
the the
best good
ideas idea
to to
emanate emanate
, ,
but but
because because
we we
need need
to to
mold mold
builders builder
of of
social social
enterprises enterprise
, ,
of of
bridges bridge
, ,
of of
jobs job
, ,
of of
actual actual
societal societal
change change
to to
become become
protagonists protagonist
in in
our our
own own
lives life
rather rather
than than
products product
of of
recrimination recrimination
and and
mutual mutual
resentment resentment
. .
By by
now now
, ,
I i
' '
ve ve
told tell
you you
a a
lot lot
. .
But but
I i
haven haven
' '
t t
told tell
you you
why why
I i
do do
what what
I i
do do
. .
My my
father father
was be
a a
Holocaust holocaust
survivor survivor
, ,
and and
ever ever
since since
I i
was be
a a
kid kid
, ,
I i
promised promise
myself myself
to to
try try
to to
prevent prevent
what what
happened happen
to to
him him
from from
happening happen
again again
to to
other other
human human
beings being
. .
One one
of of
the the
most most
difficult difficult
stories story
he he
shared share
with with
me me
involved involve
his his
superintendent superintendent
. .
When when
he he
was be
11 @card@
years year
old old
, ,
in in
Lithuania lithuania
and and
the the
war war
had have
started start
, ,
the the
super super
approached approach
him him
and and
said say
, ,
" "
Are be
you you
hungry hungry
? ?
" "
My my
dad dad
said say
, ,
" "
Yes yes
. .
" "
" "
Come come
, ,
I i
' '
ll ll
show show
you you
where where
you you
can can
get get
some some
food food
. .
" "
He he
walked walk
him him
down down
to to
the the
ground ground
floor floor
. .
He he
pointed point
to to
a a
dead dead
body body
and and
said say
, ,
" "
There there
, ,
that that
' '
s s
a a
Jew jew
. .
You you
can can
take take
a a
bite bite
of of
him him
. .
" "
A a
few few
months month
later later
, ,
the the
German german
paramilitary paramilitary
forces force
rounded round
up up
all all
of of
the the
Jewish jewish
families family
. .
The the
super super
pointed point
them them
out out
one one
by by
one one
. .
They they
eliminated eliminate
16 @card@
Jewish jewish
families family
. .
My my
family family
was be
the the
last last
one one
standing standing
. .
And and
they they
brought bring
them them
to to
the the
ground ground
floor floor
. .
And and
then then
the the
super super
whispered whisper
something something
into into
the the
ear ear
of of
the the
head head
of of
the the
paramilitary paramilitary
forces force
, ,
and and
they they
left leave
. .
And and
the the
super super
turned turn
to to
my my
grandfather grandfather
and and
said say
, ,
" "
Mr mr
. .
Lubetzky lubetzky
, ,
I i
told tell
them them
to to
leave leave
. .
And and
I i
spared spare
you you
because because
you you
were be
always always
kind kind
to to
me me
. .
You you
always always
looked look
at at
my my
eyes eye
. .
You you
shook shake
my my
hand hand
, ,
you you
treated treat
me me
with with
respect respect
. .
But but
leave leave
now now
before before
I i
change change
my my
mind mind
. .
" "
That that
night night
they they
packed pack
a a
couple couple
bags bag
and and
they they
went go
to to
the the
Kovno kovno
Ghetto ghetto
. .
And and
eventually eventually
they they
were be
all all
sent send
to to
a a
concentration concentration
camp camp
. .
But but
they they
survived survive
. .
Because because
at at
the the
greatest great
moment moment
of of
darkness darkness
, ,
a a
man man
who who
had have
so so
much much
darkness darkness
in in
him him
. .
. .
. .
saw see
a a
little little
bit bit
of of
light light
. .
And and
the the
thought thought
that that
I i
stand stand
here here
today today
, ,
that that
I i
exist exist
because because
of of
an an
act act
of of
humanity humanity
[ [
from from
] ]
a a
person person
that that
was be
not not
a a
very very
good good
human human
being be
, ,
haunts haunt
me me
. .
But but
it it
also also
arms arm
me me
with with
hope hope
and and
conviction conviction
that that
every every
human human
being being
can can
turn turn
away away
from from
hate hate
. .
Some some
of of
you you
may may
disagree disagree
. .
And and
that that
does do
not not
worry worry
me me
. .
What what
worries worry
me me
is be
that that
many many
of of
you you
will will
agree agree
but but
we we
' '
ll ll
do do
nothing nothing
about about
it it
. .
If if
builders builder
do do
not not
step step
up up
, ,
destroyers destroyer
will will
step step
in in
. .
And and
some some
of of
the the
worst bad
chapters chapter
that that
we we
' '
ve ve
witnessed witness
in in
history history
will will
repeat repeat
themselves themselves
. .
But but
if if
all all
of of
us us
recognize recognize
the the
power power
that that
every every
one one
of of
us us
has have
every every
single single
day day
, ,
with with
every every
human human
interaction interaction
, ,
to to
look look
at at
each each
other other
in in
the the
eyes eye
-- --
now now
you you
' '
re re
making make
me me
cry cry
-- --
to to
look look
at at
each each
other other
in in
the the
eyes eye
, ,
to to
give give
each each
other other
the the
blessing blessing
of of
kindness kindness
and and
the the
assumption assumption
of of
positive positive
intent intent
, ,
not not
only only
are be
we we
going go
to to
break break
the the
shackles shackle
that that
hate hate
has have
placed place
on on
humanity humanity
, ,
we we
' '
re re
going go
to to
prevail prevail
in in
writing write
one one
of of
the the
most most
beautiful beautiful
chapters chapter
that that
have have
ever ever
been be
built build
in in
human human
history history
. .
We we
are be
going go
to to
get get
there there
because because
when when
society society
is be
falling fall
apart apart
, ,
the the
only only
way way
out out
is be
for for
all all
of of
us us
, ,
all all
of of
us us
, ,
to to
build build
together together
. .
Thank thank
you you
. .
