Roughly roughly
specifically specifically
to to
crack crack
wartime wartime
codes code
or or
calculate calculate
rocket rocket
trajectories trajectory
. .
But but
in in
fact fact
, ,
the the
origins origin
of of
the the
modern modern
computer computer
are be
much much
more more
playful playful
, ,
even even
musical musical
, ,
than than
you you
might might
imagine imagine
. .
The the
idea idea
behind behind
the the
flute flute
, ,
of of
just just
pushing push
air air
through through
tubes tube
to to
make make
a a
sound sound
, ,
was be
eventually eventually
modified modify
to to
create create
the the
first first
organ organ
more more
than than
2 @card@
, ,
000 @card@
years year
ago ago
. .
Someone someone
came come
up up
with with
the the
brilliant brilliant
idea idea
of of
triggering trigger
sounds sound
by by
pressing press
small small
levers lever
with with
our our
fingers finger
, ,
inventing invent
the the
first first
musical musical
keyboard keyboard
. .
Now now
, ,
keyboards keyboard
evolved evolve
from from
organs organ
to to
clavichords clavichord
to to
harpsichords harpsichord
to to
the the
piano piano
, ,
until until
the the
middle middle
of of
the the
19th 19th
century century
, ,
when when
a a
bunch bunch
of of
inventors inventor
finally finally
hit hit
on on
the the
idea idea
of of
using use
a a
keyboard keyboard
to to
trigger trigger
not not
sounds sound
but but
letters letter
. .
In in
fact fact
, ,
the the
very very
first first
typewriter typewriter
was be
originally originally
called call
" "
the the
writing writing
harpsichord harpsichord
. .
" "
Flutes flute
and and
music music
led lead
to to
even even
more more
powerful powerful
breakthroughs breakthrough
. .
About about
a a
thousand thousand
years year
ago ago
, ,
at at
the the
height height
of of
the the
Islamic islamic
Renaissance renaissance
, ,
three three
brothers brother
in in
Baghdad baghdad
designed design
a a
device device
that that
was be
an an
automated automated
organ organ
. .
They they
called call
it it
" "
the the
instrument instrument
that that
plays play
itself itself
. .
" "
Now now
, ,
the the
instrument instrument
was be
basically basically
a a
giant giant
music music
box box
. .
The the
organ organ
could could
be be
trained train
to to
play play
various various
songs song
by by
using use
instructions instruction
encoded encode
by by
placing place
pins pin
on on
a a
rotating rotate
cylinder cylinder
. .
And and
if if
you you
wanted want
the the
machine machine
to to
play play
a a
different different
song song
, ,
you you
just just
swapped swap
a a
new new
cylinder cylinder
in in
with with
a a
different different
code code
on on
it it
. .
This this
instrument instrument
was be
the the
first first
of of
its its
kind kind
. .
It it
was be
programmable programmable
. .
Now now
, ,
conceptually conceptually
, ,
this this
was be
a a
massive massive
leap leap
forward forward
. .
The the
whole whole
idea idea
of of
hardware hardware
and and
software software
becomes become
thinkable thinkable
for for
the the
first first
time time
with with
this this
invention invention
. .
And and
that that
incredibly incredibly
powerful powerful
concept concept
didn didn
' '
t t
come come
to to
us us
as as
an an
instrument instrument
of of
war war
or or
of of
conquest conquest
, ,
or or
necessity necessity
at at
all all
. .
It it
came come
from from
the the
strange strange
delight delight
of of
watching watch
a a
machine machine
play play
music music
. .
In in
fact fact
, ,
the the
idea idea
of of
programmable programmable
machines machine
was be
exclusively exclusively
kept keep
alive alive
by by
music music
for for
about about
700 @card@
years year
. .
In in
the the
1700s 1700s
, ,
music-making music-making
machines machine
became become
the the
playthings plaything
of of
the the
Parisian parisian
elite elite
. .
Showmen showman
used use
the the
same same
coded code
cylinders cylinder
to to
control control
the the
physical physical
movements movement
of of
what what
were be
called call
automata automata
, ,
an an
early early
kind kind
of of
robot robot
. .
One one
of of
the the
most most
famous famous
of of
those those
robots robot
was be
, ,
you you
guessed guess
it it
, ,
an an
automated automated
flute flute
player player
designed design
by by
a a
brilliant brilliant
French french
inventor inventor
named name
Jacques jacques
de de
Vaucanson vaucanson
. .
And and
as as
de de
Vaucanson vaucanson
was be
designing design
his his
robot robot
musician musician
, ,
he he
had have
another another
idea idea
. .
If if
you you
could could
program program
a a
machine machine
to to
make make
pleasing pleasing
sounds sound
, ,
why why
not not
program program
it it
to to
weave weave
delightful delightful
patterns pattern
of of
color color
out out
of of
cloth cloth
? ?
Instead instead
of of
using use
the the
pins pin
of of
the the
cylinder cylinder
to to
represent represent
musical musical
notes note
, ,
they they
would would
represent represent
threads thread
with with
different different
colors color
. .
If if
you you
wanted want
a a
new new
pattern pattern
for for
your your
fabric fabric
, ,
you you
just just
programmed programme
a a
new new
cylinder cylinder
. .
This this
was be
the the
first first
programmable programmable
loom loom
. .
Now now
, ,
the the
cylinders cylinder
were be
too too
expensive expensive
and and
time-consuming time-consuming
to to
make make
, ,
but but
a a
half half
century century
later later
, ,
another another
French french
inventor inventor
named name
Jacquard jacquard
hit hit
upon upon
the the
brilliant brilliant
idea idea
of of
using use
paper-punched paper-punched
cards card
instead instead
of of
metal metal
cylinders cylinder
. .
Paper paper
turned turn
out out
to to
be be
much much
cheaper cheap
and and
more more
flexible flexible
as as
a a
way way
of of
programming programme
the the
device device
. .
That that
punch punch
card card
system system
inspired inspire
Victorian victorian
inventor inventor
Charles charles
Babbage babbage
to to
create create
his his
analytical analytical
engine engine
, ,
the the
first first
true true
programmable programmable
computer computer
ever ever
designed design
. .
And and
punch punch
cards card
were be
used use
by by
computer computer
programmers programmer
as as
late late
as as
the the
1970s 1970s
. .
So so
ask ask
yourself yourself
this this
question question
: :
what what
really really
made make
the the
modern modern
computer computer
possible possible
? ?
Yes yes
, ,
the the
military military
involvement involvement
is be
an an
important important
part part
of of
the the
story story
, ,
but but
inventing invent
a a
computer computer
also also
required require
other other
building building
blocks block
: :
music music
boxes box
, ,
toy toy
robot robot
flute flute
players player
, ,
harpsichord harpsichord
keyboards keyboard
, ,
colorful colorful
patterns pattern
woven weave
into into
fabric fabric
, ,
and and
that that
' '
s s
just just
a a
small small
part part
of of
the the
story story
. .
There there
' '
s s
a a
long long
list list
of of
world-changing world-change
ideas idea
and and
technologies technology
that that
came come
out out
of of
play play
: :
public public
museums museum
, ,
rubber rubber
, ,
probability probability
theory theory
, ,
the the
insurance insurance
business business
and and
many many
more more
. .
Necessity necessity
isn isn
' '
t t
always always
the the
mother mother
of of
invention invention
. .
The the
playful playful
state state
of of
mind mind
is be
fundamentally fundamentally
exploratory exploratory
, ,
seeking seek
out out
new new
possibilities possibility
in in
the the
world world
around around
us us
. .
And and
that that
seeking seek
is be
why why
so so
many many
experiences experience
that that
started start
with with
simple simple
delight delight
and and
amusement amusement
eventually eventually
led lead
us us
to to
profound profound
breakthroughs breakthrough
. .
Now now
, ,
I i
think think
this this
has have
implications implication
for for
how how
we we
teach teach
kids kid
in in
school school
and and
how how
we we
encourage encourage
innovation innovation
in in
our our
workspaces workspace
, ,
but but
thinking think
about about
play play
and and
delight delight
this this
way way
also also
helps help
us us
detect detect
what what
' '
s s
coming come
next next
. .
Think think
about about
it it
: :
if if
you you
were be
sitting sit
there there
in in
1750 @card@
trying try
to to
figure figure
out out
the the
big big
changes change
coming come
to to
society society
in in
the the
19th 19th
, ,
the the
20th 20th
centuries century
, ,
automated automated
machines machine
, ,
computers computer
, ,
artificial artificial
intelligence intelligence
, ,
a a
programmable programmable
flute flute
entertaining entertain
the the
Parisian parisian
elite elite
would would
have have
been be
as as
powerful powerful
a a
clue clue
as as
anything anything
else else
at at
the the
time time
. .
It it
seemed seem
like like
an an
amusement amusement
at at
best good
, ,
not not
useful useful
in in
any any
serious serious
way way
, ,
but but
it it
turned turn
out out
to to
be be
the the
beginning beginning
of of
a a
tech tech
revolution revolution
that that
would would
change change
the the
world world
. .
You you
' '
ll ll
find find
the the
future future
wherever wherever
people people
are be
having have
the the
most most
fun fun
. .
