Modern modern
contractions contraction
. .
Take take
a a
look look
at at
this this
large large
muscle muscle
we we
made make
to to
lift lift
and and
lower lower
a a
leg leg
. .
A a
stack stack
of of
flexible flexible
sheets sheet
contracts contract
and and
relaxes relax
just just
like like
a a
thigh thigh
muscle muscle
does do
. .
Let let
me me
tell tell
you you
how how
this this
works work
. .
So so
we we
take take
laminated laminate
sheets sheet
to to
create create
pouches pouch
. .
We we
have have
several several
of of
these these
pouches pouch
within within
a a
single single
muscle muscle
. .
We we
now now
take take
a a
conductive conductive
ink ink
and and
spray-coat spray-coat
that that
ink ink
onto onto
these these
pouches pouch
, ,
and and
then then
we we
inject inject
them them
with with
oil oil
. .
After after
having have
done do
this this
, ,
we we
have have
a a
conductive conductive
ink ink
that that
acts act
like like
a a
flexible flexible
electrode electrode
that that
squeezes squeeze
these these
liquid-filled liquid-filled
pouches pouch
when when
a a
voltage voltage
is be
applied apply
. .
Now now
, ,
just just
like like
muscles muscle
with with
real real
fish fish
, ,
we we
take take
this this
kind kind
of of
filmed film
muscles muscle
and and
pair pair
them them
up up
as as
antagonistic antagonistic
pairs pair
and and
put put
them them
into into
our our
soft soft
robotic robotic
fish fish
design design
. .
We we
3D-print 3d-print
the the
hull hull
and and
the the
spine spine
of of
this this
fish fish
, ,
using use
soft soft
and and
rigid rigid
materials material
. .
The the
fish fish
now now
swims swim
silently silently
by by
electrically electrically
charging charge
the the
muscles muscle
inside inside
of of
the the
fish fish
in in
an an
alternating alternate
fashion fashion
from from
one one
side side
to to
the the
other other
. .
To to
improve improve
our our
designs design
, ,
we we
do do
not not
rely rely
on on
tedious tedious
trial trial
and and
error error
fabrication fabrication
. .
Instead instead
, ,
our our
software software
rapidly rapidly
simulates simulate
and and
optimizes optimize
a a
design design
for for
performance performance
before before
we we
have have
to to
build build
it it
. .
Our our
approach approach
creates create
a a
continuous continuous
design design
space space
that that
interpolates interpolate
between between
existing exist
fish fish
designs design
to to
create create
new new
designs design
. .
Our our
optimization optimization
then then
explores explore
this this
continuous continuous
design design
space space
to to
come come
up up
with with
new new
and and
faster fast
creatures creature
we we
have have
not not
seen see
before before
. .
Robots robot
one one
day day
might might
even even
be be
made make
of of
living live
muscle muscle
cells cell
. .
Wouldn wouldn
' '
t t
it it
be be
great great
if if
such such
a a
living live
robot robot
would would
then then
heal heal
itself itself
, ,
just just
like like
human human
muscles muscle
do do
? ?
I i
can can
tell tell
you you
this this
. .
Starting start
from from
muscle muscle
cells cell
, ,
we we
can can
already already
print print
, ,
grow grow
and and
stimulate stimulate
muscles muscle
. .
We we
are be
now now
beginning begin
to to
make make
these these
muscles muscle
larger large
, ,
longer-lasting longer-lasting
and and
controllable controllable
. .
It it
' '
s s
a a
fascinating fascinating
challenge challenge
to to
engineer engineer
a a
standalone standalone
muscle muscle
without without
a a
supporting supporting
organism organism
that that
provides provide
this this
muscle muscle
with with
an an
immune immune
system system
. .
These these
living living
muscles muscle
efficiently efficiently
convert convert
chemical chemical
energy energy
that that
comes come
from from
nutrients nutrient
into into
muscle muscle
contractions contraction
. .
Living living
muscles muscle
can can
eventually eventually
become become
sustainable sustainable
and and
biodegradable biodegradable
machines machine
that that
decrease decrease
emissions emission
and and
pollution pollution
all all
while while
actually actually
truly truly
mimicking mimick
nature nature
. .
So so
all all
of of
this this
, ,
what what
I i
' '
ve ve
told tell
you you
, ,
is be
possible possible
with with
the the
knowledge knowledge
that that
researchers researcher
and and
engineers engineer
have have
today today
. .
I i
believe believe
we we
have have
to to
rethink rethink
every every
machine machine
ever ever
invented invent
from from
a a
holistic holistic
perspective perspective
. .
We we
have have
to to
rethink rethink
what what
the the
machine machine
should should
do do
and and
what what
it it
should should
not not
do do
. .
I i
think think
we we
want want
machines machine
that that
safely safely
integrate integrate
with with
us us
, ,
improve improve
our our
quality quality
of of
life life
. .
All all
the the
while while
, ,
we we
respect respect
nature nature
, ,
and and
don don
' '
t t
pollute pollute
our our
world world
with with
loud loud
noises noise
. .
So so
let let
' '
s s
reimagine reimagine
machines machine
to to
take take
on on
forms form
we we
have have
never never
thought think
of of
before before
and and
discover discover
places place
we we
have have
never never
been be
to to
before before
. .
Thank thank
you you
. .
