Let let
A a
light light
bulb bulb
is be
a a
different different
technology technology
, ,
based base
on on
deeper deep
scientific scientific
understanding understanding
. .
Similarly similarly
, ,
a a
quantum quantum
computer computer
is be
a a
new new
kind kind
of of
device device
, ,
based base
on on
the the
science science
of of
quantum quantum
physics physic
, ,
and and
just just
like like
a a
light light
bulb bulb
transformed transform
society society
, ,
quantum quantum
computers computer
have have
the the
potential potential
to to
impact impact
so so
many many
aspects aspect
of of
our our
lives life
, ,
including include
our our
security security
needs need
, ,
our our
health health
care care
and and
even even
the the
internet internet
. .
So so
companies company
all all
around around
the the
world world
are be
working work
to to
build build
these these
devices device
, ,
and and
to to
see see
what what
the the
excitement excitement
is be
all all
about about
, ,
let let
' '
s s
play play
our our
game game
on on
a a
quantum quantum
computer computer
. .
So so
I i
can can
log log
into into
IBM ibm
' '
s s
quantum quantum
computer computer
from from
right right
here here
, ,
which which
means mean
I i
can can
play play
the the
game game
remotely remotely
, ,
and and
so so
can can
you you
. .
To to
make make
this this
happen happen
, ,
you you
may may
remember remember
getting get
an an
email email
ahead ahead
of of
time time
, ,
from from
TED ted
, ,
asking ask
you you
whether whether
you you
would would
choose choose
to to
flip flip
the the
coin coin
or or
not not
, ,
if if
you you
played play
the the
game game
. .
Well well
, ,
actually actually
, ,
we we
asked ask
you you
to to
choose choose
between between
a a
circle circle
or or
a a
square square
. .
You you
didn didn
' '
t t
know know
it it
, ,
but but
your your
choice choice
of of
circle circle
meant mean
" "
flip flip
the the
coin coin
, ,
" "
and and
your your
choice choice
of of
square square
was be
" "
don don
' '
t t
flip flip
. .
" "
We we
received receive
372 @card@
responses response
. .
Thank thank
you you
. .
That that
means mean
we we
can can
play play
372 @card@
games game
against against
the the
quantum quantum
computer computer
using use
your your
choices choice
. .
And and
it it
' '
s s
a a
pretty pretty
fast fast
game game
to to
play play
, ,
so so
I i
can can
show show
you you
the the
results result
right right
here here
. .
Unfortunately unfortunately
, ,
you you
didn didn
' '
t t
do do
very very
well well
. .
The the
quantum quantum
computer computer
won win
almost almost
every every
game game
. .
It it
lost lose
a a
few few
only only
because because
of of
operational operational
errors error
in in
the the
computer computer
. .
So so
how how
did do
it it
achieve achieve
this this
amazing amazing
winning winning
streak streak
? ?
It it
seems seem
like like
magic magic
or or
cheating cheating
, ,
but but
actually actually
, ,
it it
' '
s s
just just
quantum quantum
physics physic
in in
action action
. .
Here here
' '
s s
how how
it it
works work
. .
A a
regular regular
computer computer
simulates simulate
heads head
or or
tails tail
of of
a a
coin coin
as as
a a
bit bit
, ,
a a
zero zero
or or
a a
one one
, ,
or or
a a
current current
flipping flip
on on
and and
off off
inside inside
your your
computer computer
chip chip
. .
A a
quantum quantum
computer computer
is be
completely completely
different different
. .
A a
quantum quantum
bit bit
has have
a a
more more
fluid fluid
, ,
nonbinary nonbinary
identity identity
. .
It it
can can
exist exist
in in
a a
superposition superposition
, ,
or or
a a
combination combination
of of
zero zero
and and
one one
, ,
with with
some some
probability probability
of of
being be
zero zero
and and
some some
probability probability
of of
being be
one one
. .
In in
other other
words word
, ,
its its
identity identity
is be
on on
a a
spectrum spectrum
. .
For for
example example
, ,
it it
could could
have have
a a
70 @card@
percent percent
chance chance
of of
being be
zero zero
and and
a a
30 @card@
percent percent
chance chance
of of
being be
one one
or or
80-20 @card@
or or
60-40 @card@
. .
The the
possibilities possibility
are be
endless endless
. .
The the
key key
idea idea
here here
is be
that that
we we
have have
to to
give give
up up
on on
precise precise
values value
of of
zero zero
and and
one one
and and
allow allow
for for
some some
uncertainty uncertainty
. .
So so
during during
the the
game game
, ,
the the
quantum quantum
computer computer
creates create
this this
fluid fluid
combination combination
of of
heads head
and and
tails tail
, ,
zero zero
and and
one one
, ,
so so
that that
no no
matter matter
what what
the the
player player
does do
, ,
flip flip
or or
no no
flip flip
, ,
the the
superposition superposition
remains remain
intact intact
. .
It it
' '
s s
kind kind
of of
like like
stirring stir
a a
mixture mixture
of of
two two
fluids fluid
. .
Whether whether
or or
not not
you you
stir stir
, ,
the the
fluids fluid
remain remain
in in
a a
mixture mixture
, ,
but but
in in
its its
final final
move move
, ,
the the
quantum quantum
computer computer
can can
unmix unmix
the the
zero zero
and and
one one
, ,
perfectly perfectly
recovering recover
heads head
so so
that that
you you
lose lose
every every
time time
. .
If if
you you
think think
this this
is be
all all
a a
bit bit
weird weird
, ,
you you
are be
absolutely absolutely
right right
. .
Regular regular
coins coin
do do
not not
exist exist
in in
combinations combination
of of
heads head
and and
tails tail
. .
We we
do do
not not
experience experience
this this
fluid fluid
quantum quantum
reality reality
in in
our our
everyday everyday
lives life
. .
So so
if if
you you
are be
confused confuse
by by
quantum quantum
, ,
don don
' '
t t
worry worry
, ,
you you
' '
re re
getting get
it it
. .
But but
even even
though though
we we
don don
' '
t t
experience experience
quantum quantum
strangeness strangeness
, ,
we we
can can
see see
its its
very very
real real
effects effect
in in
action action
. .
You you
' '
ve ve
seen see
the the
data datum
for for
yourself yourself
. .
The the
quantum quantum
computer computer
won win
because because
it it
harnessed harness
superposition superposition
and and
uncertainty uncertainty
, ,
and and
these these
quantum quantum
properties property
are be
powerful powerful
, ,
not not
just just
to to
win win
coin coin
games game
, ,
but but
also also
to to
build build
future future
quantum quantum
technologies technology
. .
So so
let let
me me
give give
you you
three three
examples example
of of
potential potential
applications application
that that
could could
change change
our our
lives life
. .
First first
of of
all all
, ,
quantum quantum
uncertainty uncertainty
could could
be be
used use
to to
create create
private private
keys key
for for
encrypting encrypt
messages message
sent send
from from
one one
location location
to to
another another
so so
that that
hackers hacker
could could
not not
secretly secretly
copy copy
the the
key key
perfectly perfectly
, ,
because because
of of
quantum quantum
uncertainty uncertainty
. .
They they
would would
have have
to to
break break
the the
laws law
of of
quantum quantum
physics physic
to to
hack hack
the the
key key
. .
So so
this this
kind kind
of of
unbreakable unbreakable
encryption encryption
is be
already already
being be
tested test
by by
banks bank
and and
other other
institutions institution
worldwide worldwide
. .
Today today
, ,
we we
use use
more more
than than
17 @card@
billion billion
connected connect
devices device
globally globally
. .
Just just
imagine imagine
the the
impact impact
quantum quantum
encryption encryption
could could
have have
in in
the the
future future
. .
Secondly secondly
, ,
quantum quantum
technologies technology
could could
also also
transform transform
health health
care care
and and
medicine medicine
. .
For for
example example
, ,
the the
design design
and and
analysis analysis
of of
molecules molecule
for for
drug drug
development development
is be
a a
challenging challenging
problem problem
today today
, ,
and and
that that
' '
s s
because because
exactly exactly
describing describe
and and
calculating calculate
all all
of of
the the
quantum quantum
properties property
of of
all all
the the
atoms atom
in in
the the
molecule molecule
is be
a a
computationally computationally
difficult difficult
task task
, ,
even even
for for
our our
supercomputers supercomputer
. .
But but
a a
quantum quantum
computer computer
could could
do do
better well
, ,
because because
it it
operates operate
using use
the the
same same
quantum quantum
properties property
as as
the the
molecule molecule
it it
' '
s s
trying try
to to
simulate simulate
. .
So so
future future
large-scale large-scale
quantum quantum
simulations simulation
for for
drug drug
development development
could could
perhaps perhaps
lead lead
to to
treatments treatment
for for
diseases disease
like like
Alzheimer alzheimer
' '
s s
, ,
which which
affects affect
thousands thousand
of of
lives life
. .
And and
thirdly thirdly
, ,
my my
favorite favorite
quantum quantum
application application
is be
teleportation teleportation
of of
information information
from from
one one
location location
to to
another another
without without
physically physically
transmitting transmit
the the
information information
. .
Sounds sound
like like
sci-fi sci-fi
, ,
but but
it it
is be
possible possible
, ,
because because
these these
fluid fluid
identities identity
of of
the the
quantum quantum
particles particle
can can
get get
entangled entangled
across across
space space
and and
time time
in in
such such
a a
way way
that that
when when
you you
change change
something something
about about
one one
particle particle
, ,
it it
can can
impact impact
the the
other other
, ,
and and
that that
creates create
a a
channel channel
for for
teleportation teleportation
. .
It it
' '
s s
already already
been be
demonstrated demonstrate
in in
research research
labs lab
and and
could could
be be
part part
of of
a a
future future
quantum quantum
internet internet
. .
We we
don don
' '
t t
have have
such such
a a
network network
as as
yet yet
, ,
but but
my my
team team
is be
working work
on on
these these
possibilities possibility
, ,
by by
simulating simulate
a a
quantum quantum
network network
on on
a a
quantum quantum
computer computer
. .
So so
we we
have have
designed design
and and
implemented implement
some some
interesting interesting
new new
protocols protocol
such such
as as
teleportation teleportation
among among
different different
users user
in in
the the
network network
and and
efficient efficient
data datum
transmission transmission
and and
even even
secure secure
voting voting
. .
So so
it it
' '
s s
a a
lot lot
of of
fun fun
for for
me me
, ,
being be
a a
quantum quantum
physicist physicist
. .
I i
highly highly
recommend recommend
it it
. .
We we
get get
to to
be be
explorers explorer
in in
a a
quantum quantum
wonderland wonderland
. .
Who who
knows know
what what
applications application
we we
will will
discover discover
next next
. .
We we
must must
tread tread
carefully carefully
and and
responsibly responsibly
as as
we we
build build
our our
quantum quantum
future future
. .
And and
for for
me me
, ,
personally personally
, ,
I i
don don
' '
t t
see see
quantum quantum
physics physic
as as
a a
tool tool
just just
to to
build build
quantum quantum
computers computer
. .
I i
see see
quantum quantum
computers computer
as as
a a
way way
for for
us us
to to
probe probe
the the
mysteries mystery
of of
nature nature
and and
reveal reveal
more more
about about
this this
hidden hidden
world world
outside outside
of of
our our
experiences experience
. .
How how
amazing amaze
that that
we we
humans human
, ,
with with
our our
relatively relatively
limited limit
access access
to to
the the
universe universe
, ,
can can
still still
see see
far far
beyond beyond
our our
horizons horizon
just just
using use
our our
imagination imagination
and and
our our
ingenuity ingenuity
. .
And and
the the
universe universe
rewards reward
us us
by by
showing show
us us
how how
incredibly incredibly
interesting interesting
and and
surprising surprising
it it
is be
. .
The the
future future
is be
fundamentally fundamentally
uncertain uncertain
, ,
and and
to to
me me
, ,
that that
is be
certainly certainly
exciting exciting
. .
Thank thank
you you
. .
