Exactly exactly
difficult difficult
to to
make make
robots robot
walk walk
with with
two two
feet foot
? ?
And and
I i
found find
something something
fascinating fascinating
. .
So so
check check
this this
out out
. .
Now now
, ,
when when
your your
robot robot
tries try
to to
move move
forward forward
, ,
one one
of of
the the
reasons reason
why why
it it
constantly constantly
falls fall
down down
is be
because because
the the
distance distance
between between
your your
left left
and and
right right
leg leg
. .
Because because
your your
legs leg
move move
forward forward
and and
backward backward
, ,
up up
and and
down down
, ,
it it
creates create
this this
unwanted unwanted
twisting twisting
forces force
, ,
we we
call call
these these
moments moment
, ,
right right
? ?
Now now
, ,
this this
is be
a a
video video
called call
a a
RoboOne roboone
Competition competition
. .
It it
' '
s s
a a
robot robot
fighting fight
competition competition
. .
And and
people people
who who
participate participate
in in
this this
competition competition
are be
robot robot
hobbyists hobbyist
. .
And and
if if
you you
look look
at at
the the
robots robot
, ,
they they
develop develop
, ,
it it
' '
s s
brilliant brilliant
. .
It it
' '
s s
fast fast
, ,
it it
' '
s s
nimble nimble
, ,
and and
it it
doesn doesn
' '
t t
fall fall
down down
. .
And and
if if
you you
look look
carefully carefully
, ,
they they
always always
walk walk
sideways sideways
, ,
Because because
if if
you you
walk walk
sideways sideways
, ,
your your
left left
and and
right right
leg leg
line line
up up
, ,
so so
your your
twisting twisting
moments moment
disappear disappear
. .
I i
actually actually
got get
this this
inspiration inspiration
by by
watching watch
sports sport
, ,
fencing fencing
or or
ballet ballet
. .
They they
always always
walk walk
sideways sideways
, ,
and and
I i
think think
this this
is be
the the
reason reason
why why
. .
Now now
, ,
one one
of of
the the
problems problem
of of
trying try
to to
make make
robots robot
move move
sideways sideways
is be
you you
cannot can
really really
use use
your your
knees knee
. .
So so
what what
do do
we we
do do
? ?
We we
rotate rotate
our our
legs leg
. .
It it
looks look
kind kind
of of
awkward awkward
, ,
right right
? ?
So so
actually actually
, ,
let let
' '
s s
change change
the the
entire entire
torso torso
like like
this this
and and
make make
it it
walk walk
this this
way way
. .
Now now
, ,
the the
problem problem
of of
this this
kind kind
of of
configuration configuration
is be
that that
you you
really really
cannot can
use use
your your
feet foot
and and
ankles ankle
. .
So so
what what
do do
we we
do do
? ?
We we
get get
rid rid
of of
them them
. .
Now now
let let
' '
s s
make make
more more
changes change
, ,
let let
' '
s s
change change
the the
shin shin
. .
And and
while while
doing do
that that
, ,
let let
' '
s s
change change
the the
head head
. .
And and
something something
strange strange
starts start
to to
emerge emerge
. .
This this
is be
NABi nabi
, ,
Non non
Anthropomorphic anthropomorphic
Biped biped
. .
In in
other other
words word
, ,
it it
' '
s s
a a
robot robot
with with
two two
legs leg
, ,
but but
it it
does do
not not
look look
like like
a a
human human
. .
How how
does do
it it
walk walk
? ?
It it
walks walk
like like
this this
. .
Simple simple
, ,
fast fast
, ,
easy easy
, ,
low low
cost cost
. .
This this
is be
great great
. .
Now now
, ,
I i
briefly briefly
mentioned mention
about about
a a
robot robot
called call
SAFFiR saffir
, ,
Shipboard shipboard
Autonomous autonomous
Fire fire
Fighting fighting
Robot robot
that that
we we
built build
. .
This this
is be
a a
robot robot
for for
Navy navy
ships ship
. .
And and
I i
don don
' '
t t
know know
if if
you you
' '
ve ve
been be
on on
a a
Navy navy
ship ship
, ,
but but
if if
you you
open open
this this
door door
, ,
it it
has have
a a
really really
high high
door door
seal seal
. .
We we
call call
that that
" "
knee-knockers knee-knocker
. .
" "
Before before
we we
had have
this this
robot robot
, ,
it it
was be
very very
difficult difficult
for for
the the
robot robot
to to
climb climb
over over
it it
. .
But but
if if
a a
robot robot
does do
not not
have have
to to
be be
like like
a a
human human
, ,
we we
can can
do do
something something
like like
this this
. .
Make make
the the
knee knee
rotate rotate
at at
360 @card@
degrees degree
. .
Brilliant brilliant
! !
Isn isn
' '
t t
this this
cool cool
? ?
Yeah yeah
. .
Our our
robots robot
can can
climb climb
stairs stair
, ,
but but
it it
' '
s s
rather rather
difficult difficult
. .
But but
now now
we we
can can
climb climb
stairs stair
like like
this this
. .
Now now
, ,
is be
this this
just just
simulation simulation
and and
animation animation
? ?
No no
. .
In in
two two
weeks week
, ,
from from
the the
idea idea
, ,
analysis analysis
, ,
design design
and and
fabrication fabrication
, ,
in in
two two
weeks week
, ,
we we
built build
our our
first first
robot robot
. .
And and
you you
have have
not not
seen see
anything anything
like like
this this
. .
Man man
: :
You you
' '
re re
wild wild
. .
And and
we we
use use
many many
different different
types type
of of
tricks trick
. .
For for
example example
, ,
utilize utilize
the the
springiness springiness
of of
the the
feet foot
we we
can can
store store
the the
energy energy
and and
make make
it it
hop hop
and and
jump jump
. .
When when
we we
first first
introduced introduce
NABi nabi
to to
the the
community community
, ,
it it
had have
a a
pretty pretty
good good
impact impact
on on
the the
community community
. .
However however
, ,
this this
robot robot
is be
great great
for for
walking walk
forward forward
and and
backward backward
. .
But but
how how
does do
it it
change change
directions direction
? ?
It it
can can
' '
t t
. .
So so
we we
decided decide
to to
work work
on on
the the
next next
version version
called call
ALPHRED alphred
. .
ALPHRED alphred
stands stand
for for
Autonomous autonomous
Leg leg
Personal personal
Helper helper
Robot robot
with with
Enhanced enhanced
Dynamics dynamics
. .
So so
think think
of of
this this
robot robot
as as
two two
NABis nabis
stacked stack
onto onto
each each
other other
. .
So so
it it
looks look
like like
this this
. .
So so
this this
robot robot
is be
axisymmetric axisymmetric
, ,
which which
means mean
that that
there there
' '
s s
no no
forwards forwards
, ,
backwards backwards
or or
sideways sideways
. .
Now now
, ,
when when
it it
walks walk
, ,
it it
has have
a a
very very
wide wide
stance stance
, ,
right right
? ?
So so
it it
can can
walk walk
like like
this this
. .
And and
this this
is be
great great
for for
unstructured unstructured
outdoor outdoor
environments environment
. .
However however
, ,
it it
' '
s s
pretty pretty
slow slow
. .
If if
you you
want want
to to
make make
it it
go go
really really
fast fast
, ,
you you
can can
change change
your your
body body
configuration configuration
. .
And and
if if
you you
go go
like like
this this
, ,
you you
can can
have have
your your
forward forward
legs leg
and and
backward backward
legs leg
, ,
and and
then then
you you
can can
gallop gallop
like like
a a
horse horse
. .
There there
you you
go go
. .
And and
when when
you you
lift lift
two two
of of
the the
arms arm
it it
can can
walk walk
like like
NABi nabi
, ,
then then
the the
two two
of of
the the
other other
legs leg
can can
be be
used use
as as
arms arm
to to
pick pick
up up
boxes box
or or
press press
buttons button
. .
And and
we we
' '
re re
pretty pretty
excited excite
about about
this this
new new
type type
of of
configuration configuration
. .
We we
call call
this this
multimodal multimodal
locomotion locomotion
, ,
and and
this this
is be
ALPHRED alphred
. .
Now now
, ,
while while
developing develop
these these
robots robot
, ,
we we
' '
ve ve
been be
also also
working work
on on
this this
new new
type type
of of
actuator actuator
. .
Now now
, ,
when when
we we
say say
actuators actuator
, ,
we we
' '
re re
talking talk
about about
these these
devices device
that that
make make
the the
robots robot
move move
just just
like like
muscles muscle
in in
humans human
. .
Now now
, ,
most most
of of
the the
robots robot
that that
exist exist
today today
, ,
electric electric
robots robot
, ,
use use
electric electric
motors motor
with with
gears gear
, ,
right right
? ?
And and
these these
are be
really really
strong strong
, ,
and and
they they
' '
re re
precise precise
, ,
they they
' '
re re
good good
for for
manufacturing manufacturing
. .
But but
for for
legs leg
, ,
we we
need need
something something
different different
. .
We we
need need
something something
like like
biological biological
muscles muscle
that that
' '
s s
compliant compliant
, ,
springy springy
, ,
and and
not not
only only
the the
position position
, ,
but but
also also
change change
the the
force force
. .
And and
we we
developed develop
a a
new new
type type
of of
actuator actuator
called call
the the
BEAR bear
actuator actuator
. .
Now now
, ,
using use
this this
BEAR bear
actuator actuator
with with
the the
NABi nabi
, ,
we we
developed develop
a a
second second
version version
called call
NABi-2 nabi-2
. .
Now now
, ,
if if
you you
remember remember
, ,
NABi nabi
was be
our our
experiment experiment
for for
studying study
a a
new new
type type
of of
bipedal bipedal
locomotion locomotion
. .
But but
it it
turns turn
out out
that that
this this
NABi nabi
with with
these these
new new
actuators actuator
doesn doesn
' '
t t
work work
very very
well well
in in
terms term
of of
walking walk
. .
However however
, ,
unexpectedly unexpectedly
, ,
we we
didn didn
' '
t t
know know
this this
, ,
but but
this this
robot robot
is be
great great
for for
jumping jump
and and
hopping hop
. .
It it
can can
jump jump
forward forward
, ,
backward backward
and and
turn turn
directions direction
, ,
it it
' '
s s
brilliant brilliant
. .
But but
the the
really really
cool cool
thing thing
is be
, ,
once once
it it
jumps jump
and and
when when
it it
lands land
, ,
the the
motors motor
become become
generators generator
, ,
and and
the the
impact impact
is be
changed change
to to
electricity electricity
. .
And and
it it
can can
charge charge
its its
battery battery
, ,
so so
it it
' '
s s
very very
energy energy
efficient efficient
. .
And and
NABi-2 nabi-2
is be
ready ready
to to
go go
. .
Or or
not not
. .
But but
this this
is be
NABi-2 nabi-2
. .
So so
BEAR bear
actuator actuator
with with
NABi nabi
was be
NABi-2 nabi-2
, ,
then then
BEAR bear
actuator actuator
with with
ALPHRED alphred
is be
-- --
ALPHRED-2 alphred-2
. .
And and
this this
is be
the the
next next
generation generation
of of
ALPHRED alphred
. .
So so
this this
is be
the the
very very
first first
time time
we we
turned turn
on on
the the
switch switch
. .
Look look
carefully carefully
at at
the the
reaction reaction
of of
our our
students student
. .
Man man
: :
Whoa whoa
! !
Oh oh
, ,
my my
God god
! !
What what
the the
-- --
? ?
Dennis dennis
Hong hong
: :
Excuse excuse
me me
. .
Oh oh
, ,
my my
! !
Man man
2 @card@
: :
That that
was be
amazing amazing
! !
I i
think think
it it
jumped jump
about about
1 @card@
. .
4 @card@
meters meter
. .
This this
is be
remarkable remarkable
. .
Walking walk
is be
also also
very very
fast fast
and and
stable stable
. .
So so
we we
wanted want
to to
do do
something something
more more
interesting interesting
. .
We we
wanted want
to to
make make
it it
do do
taekwondo taekwondo
. .
Whoa whoa
! !
DH dh
: :
We we
' '
re re
just just
having have
too too
much much
fun fun
. .
And and
ALPHRED-2 alphred-2
is be
ready ready
to to
go go
. .
Now now
, ,
ALPHRED-2 alphred-2
is be
actually actually
a a
very very
practical practical
robot robot
. .
For for
example example
, ,
this this
is be
an an
example example
of of
picking pick
up up
a a
box box
, ,
delivering deliver
it it
and and
putting put
it it
nicely nicely
on on
the the
ground ground
or or
on on
the the
table table
. .
I i
sped speed
up up
the the
video video
because because
it it
was be
pretty pretty
slow slow
, ,
but but
you you
can can
get get
an an
idea idea
how how
we we
can can
use use
these these
new new
type type
of of
robots robot
for for
different different
applications application
. .
And and
this this
is be
ALPHRED-2 alphred-2
. .
Now now
, ,
we we
looked look
at at
two two
legs leg
. .
We we
looked look
at at
four four
legs leg
. .
What what
about about
six six
legs leg
? ?
Of of
course course
, ,
we we
have have
a a
hexapod hexapod
robot robot
. .
Now now
, ,
this this
robot robot
, ,
HEX hex
, ,
is be
about about
the the
size size
of of
a a
small small
car car
. .
Now now
, ,
the the
cool cool
thing thing
about about
six-legged six-legged
robots robot
is be
this this
. .
Now now
, ,
to to
have have
static static
stability stability
, ,
the the
minimum minimum
number number
of of
contacts contact
with with
the the
ground ground
is be
three three
. .
Think think
of of
a a
camera camera
tripod tripod
. .
If if
you you
have have
a a
hexapod hexapod
robot robot
, ,
you you
can can
always always
have have
three-point three-point
contact contact
with with
the the
ground ground
. .
Three three
, ,
three three
, ,
three three
. .
And and
this this
makes make
it it
really really
great great
for for
outdoor outdoor
environment environment
, ,
rough rough
environment environment
. .
This this
particular particular
robot robot
we we
' '
re re
developing develop
for for
demining demining
applications application
, ,
getting get
rid rid
of of
landmines landmine
underground underground
autonomously autonomously
. .
If if
you you
see see
it it
in in
person person
, ,
it it
' '
s s
kind kind
of of
scary scary
, ,
it it
' '
s s
big big
and and
goes go
like like
this this
. .
So so
this this
is be
HEX hex
. .
We we
also also
have have
a a
smaller small
version version
, ,
this this
is be
called call
SiLVIA silvia
: :
Six six
Legged legged
Vehicle vehicle
with with
Intelligent intelligent
Articulation articulation
. .
And and
as as
I i
mentioned mention
, ,
these these
type type
of of
robots robot
are be
really really
great great
for for
unstructured unstructured
terrain terrain
such such
as as
this this
. .
It it
can can
also also
climb climb
up up
and and
down down
stairs stair
. .
And and
this this
robot robot
might might
be be
the the
strongest strong
six-legged six-legged
robot robot
out out
there there
. .
Man man
: :
Ah ah
, ,
20 @card@
kilograms kilogram
. .
DH dh
: :
Now now
, ,
the the
reason reason
why why
we we
wanted want
to to
make make
it it
really really
strong strong
is be
because because
we we
want want
this this
robot robot
to to
do do
some some
very very
interesting interesting
new new
type type
of of
stuff stuff
. .
So so
this this
is be
the the
very very
first first
robot robot
that that
can can
brace brace
between between
walls wall
and and
climb climb
up up
. .
So so
it it
' '
s s
like like
Spiderman spiderman
, ,
isn isn
' '
t t
that that
cool cool
? ?
And and
it it
has have
some some
other other
tricks trick
, ,
too too
. .
If if
you you
put put
suction suction
cups cup
on on
the the
feet foot
, ,
it it
can can
stick stick
to to
the the
wall wall
and and
climb climb
. .
And and
if if
you you
give give
it it
an an
arm arm
, ,
it it
can can
do do
some some
fun fun
stuff stuff
on on
the the
blackboard blackboard
, ,
too too
. .
And and
this this
is be
SiLVIA silvia
. .
So so
we we
talked talk
about about
vertical vertical
mobility mobility
. .
Twelve twelve
years year
ago ago
, ,
in in
my my
last last
TEDx tedx
Talk talk
, ,
I i
introduced introduce
a a
robot robot
called call
CLIMBeR climber
. .
It it
' '
s s
a a
robot robot
for for
climbing climb
cliffs cliff
using use
cables cable
like like
a a
human human
. .
But but
this this
year year
, ,
we we
wanted want
to to
get get
rid rid
of of
the the
cable cable
. .
We we
wanted want
to to
make make
it it
do do
free free
climbing climbing
. .
And and
I i
' '
m m
very very
excited excite
to to
introduce introduce
a a
brand brand
new new
robot robot
called call
SCALER scaler
, ,
Spine spine
Enhanced enhance
Climbing climb
Autonomous autonomous
Legged legged
Exploration exploration
Robot robot
. .
Now now
, ,
when when
you you
first first
look look
at at
it it
, ,
it it
looks look
like like
a a
quadruped quadruped
robot robot
, ,
four-legged four-legged
robot robot
. .
It it
' '
s s
actually actually
very very
strong strong
, ,
but but
strength strength
is be
not not
all all
. .
We we
had have
to to
develop develop
this this
new new
type type
of of
gripper gripper
, ,
we we
call call
these these
spine spine
grippers gripper
, ,
that that
can can
really really
grab grab
onto onto
the the
surfaces surface
. .
And and
this this
video video
, ,
we we
just just
took take
it it
a a
few few
days day
ago ago
. .
So so
literally literally
, ,
it it
' '
s s
taking take
its its
very very
first first
few few
steps step
. .
Now now
, ,
why why
are be
we we
interested interested
in in
cliff-climbing cliff-climb
robots robot
? ?
Rescue rescue
missions mission
, ,
of of
course course
. .
But but
we we
' '
re re
really really
interested interested
in in
the the
planetary planetary
applications application
. .
Now now
, ,
as as
you you
know know
, ,
on on
Mars mars
, ,
we we
had have
these these
Rovers rover
discovering discover
the the
new new
planet planet
. .
However however
, ,
the the
really really
science-rich science-rich
sites site
are be
always always
at at
the the
cliffs cliff
, ,
and and
these these
Rovers rover
cannot can
get get
there there
. .
So so
something something
like like
this this
will will
enable enable
those those
kind kind
of of
exploration exploration
, ,
in in
the the
science-rich science-rich
sites site
on on
planetary planetary
surfaces surface
. .
This this
is be
SCALER scaler
. .
Now now
, ,
we we
talked talk
about about
legs leg
, ,
but but
what what
about about
wheels wheel
? ?
Of of
course course
, ,
we we
have have
robots robot
with with
wheels wheel
. .
This this
is be
called call
OmBURo omburo
, ,
Omnidirectional omnidirectional
Balancing balancing
Unicycle unicycle
Robot robot
. .
And and
as as
the the
name name
implies imply
, ,
it it
has have
one one
wheel wheel
, ,
it it
' '
s s
omnidirectional omnidirectional
, ,
it it
can can
go go
forward forward
, ,
backwards backwards
, ,
sideways sideways
and and
diagonal diagonal
. .
But but
if if
we we
look look
at at
it it
, ,
it it
doesn doesn
' '
t t
even even
need need
to to
change change
its its
orientation orientation
. .
When when
you you
see see
it it
, ,
it it
' '
s s
almost almost
like like
magic magic
. .
It it
feels feel
like like
it it
' '
s s
gliding glide
over over
the the
surface surface
. .
Isn isn
' '
t t
that that
cool cool
? ?
It it
can can
also also
balance balance
and and
climb climb
very very
steep steep
surfaces surface
. .
Now now
it it
follows follow
path path
, ,
now now
, ,
yes yes
, ,
it it
has have
one one
wheel wheel
, ,
but but
actually actually
has have
these these
smaller small
rollers roller
in in
the the
rim rim
to to
generate generate
this this
kind kind
of of
motion motion
as as
well well
. .
So so
why why
do do
we we
want want
to to
build build
a a
robot robot
like like
this this
? ?
We we
like like
to to
have have
robots robot
living live
with with
us us
in in
this this
environment environment
, ,
and and
this this
environment environment
sometimes sometimes
is be
crowded crowd
, ,
a a
lot lot
of of
people people
or or
obstacles obstacle
. .
To to
go go
through through
people people
or or
to to
avoid avoid
obstacles obstacle
, ,
it it
' '
s s
very very
important important
to to
have have
a a
very very
small small
cross cross
section section
, ,
and and
probably probably
a a
single single
wheel wheel
is be
the the
best good
way way
to to
have have
a a
very very
small small
cross cross
section section
. .
And and
this this
is be
OmBURo omburo
. .
Now now
, ,
I i
' '
ve ve
shown show
you you
many many
different different
shapes shape
, ,
sizes size
, ,
mechanism mechanism
robots robot
. .
And and
if if
you you
remember remember
this this
, ,
the the
whole whole
thing thing
started start
because because
we we
had have
problems problem
with with
this this
bipedal bipedal
locomotion locomotion
. .
Is be
there there
a a
way way
to to
make make
these these
humanoid humanoid
robots robot
not not
fall fall
at at
all all
? ?
There there
is be
. .
And and
this this
robot robot
is be
called call
BALLU ballu
. .
This this
is be
my my
son son
, ,
Ethan ethan
, ,
by by
the the
way way
. .
Ethan ethan
Man man
: :
Uh-oh uh-oh
. .
DH dh
: :
What what
if if
robots robot
never never
fell fall
? ?
What what
if if
we we
could could
change change
the the
direction direction
of of
gravity gravity
? ?
I i
' '
m m
very very
excited excite
to to
show show
you you
our our
new new
robot robot
, ,
BALLU ballu
, ,
Buoyancy buoyancy
Assisted assist
Lightweight lightweight
Leg leg
Unit unit
. .
This this
robot robot
is be
a a
bipedal bipedal
robot robot
the the
size size
of of
a a
human human
being be
. .
But but
the the
body body
is be
a a
helium helium
balloon balloon
. .
It it
' '
s s
a a
balloon balloon
with with
two two
legs leg
. .
How how
does do
it it
walk walk
? ?
It it
walks walk
like like
this this
. .
Very very
elegant elegant
, ,
isn isn
' '
t t
it it
? ?
This this
robot robot
might might
be be
the the
safest safe
robot robot
out out
there there
. .
It it
can can
walk walk
forward forward
, ,
backwards backwards
, ,
sideways sideways
. .
It it
can can
turn turn
directions direction
. .
We we
want want
this this
robot robot
to to
be be
living live
with with
us us
. .
So so
it it
can can
climb climb
upstairs upstairs
, ,
downstairs downstairs
. .
Go go
over over
obstacles obstacle
. .
It it
' '
s s
fun fun
to to
play play
with with
. .
It it
can can
hop hop
, ,
now now
it it
can can
hop hop
up up
to to
a a
height height
of of
a a
table table
top top
. .
Oh oh
, ,
this this
robot robot
is be
a a
good good
dancer dancer
. .
If if
you you
turn turn
on on
the the
music music
, ,
it it
listens listen
to to
beat beat
and and
it it
dances dance
to to
the the
beat beat
. .
Now now
we we
do do
crazy crazy
things thing
when when
we we
do do
experiments experiment
. .
Once once
, ,
we we
opened open
the the
window window
and and
threw throw
the the
robot robot
out out
the the
window window
. .
Isn isn
' '
t t
it it
great great
? ?
It it
solves solve
all all
the the
problems problem
of of
bilateral bilateral
locomotion locomotion
. .
It it
' '
s s
cheap cheap
, ,
it it
doesn doesn
' '
t t
fall fall
down down
. .
However however
, ,
it it
also also
creates create
new new
problems problem
. .
This this
robot robot
is be
horrible horrible
outdoors outdoors
because because
if if
the the
wind wind
blows blow
, ,
it it
floats float
away away
. .
Now now
, ,
these these
are be
some some
of of
the the
images image
of of
our our
secret secret
projects project
. .
I i
' '
m m
not not
going go
to to
explain explain
it it
, ,
but but
we we
' '
re re
using use
projection projection
mapping mapping
, ,
vortex vortex
cannons cannon
, ,
many many
different different
things thing
. .
Oh oh
, ,
this this
robot robot
literally literally
can can
walk walk
on on
water water
. .
You you
put put
ping-pong ping-pong
balls ball
on on
the the
foot foot
, ,
it it
can can
walk walk
on on
water water
. .
It it
can can
also also
walk walk
on on
a a
tightrope tightrope
. .
Isn isn
' '
t t
this this
cool cool
? ?
This this
is be
BALLU ballu
. .
By by
the the
way way
, ,
all all
of of
our our
videos video
end end
with with
a a
bang bang
like like
this this
. .
Isn isn
' '
t t
that that
cool cool
? ?
This this
is be
BALLU ballu
. .
Thank thank
you you
. .
Now now
all all
of of
these these
new new
inventions invention
and and
creativity creativity
came come
from from
the the
problem problem
of of
humanoid humanoid
robots robot
. .
However however
, ,
secretly secretly
, ,
we we
' '
ve ve
still still
been be
working work
on on
humanoid humanoid
robots robot
. .
And and
this this
robot robot
is be
called call
ARTEMIS artemis
, ,
our our
latest late
one one
, ,
Advanced advanced
Robotics robotics
Technology technology
for for
Enhanced enhanced
Mobility mobility
and and
Improved improve
Stability stability
. .
And and
this this
is be
the the
very very
first first
time time
I i
' '
m m
showing show
it it
to to
the the
general general
public public
. .
This this
is be
a a
sneak sneak
peek peek
of of
what what
is be
about about
to to
come come
. .
Now now
, ,
this this
robot robot
, ,
ARTEMIS artemis
, ,
uses use
a a
new new
type type
of of
technology technology
. .
It it
' '
s s
based base
on on
that that
BEAR bear
actuator actuator
. .
And and
because because
it it
' '
s s
so so
new new
, ,
you you
cannot can
buy buy
any any
of of
these these
components component
. .
So so
we we
have have
to to
design design
and and
fabricate fabricate
every every
single single
part part
of of
this this
robot robot
. .
We we
have have
just just
finished finish
assembly assembly
of of
the the
lower low
body body
, ,
and and
I i
' '
m m
very very
excited excite
to to
show show
you you
a a
sneak sneak
peek peek
of of
robot robot
ARTEMIS artemis
. .
And and
ARTEMIS artemis
is be
coming come
too too
, ,
I i
cannot can
wait wait
to to
show show
it it
to to
you you
, ,
probably probably
on on
stage stage
in in
my my
next next
talk talk
. .
I i
' '
ve ve
shown show
you you
a a
lot lot
of of
our our
newest new
creation creation
robots robot
from from
our our
lab lab
RoMeLa romela
. .
I i
would would
like like
to to
give give
credit credit
to to
our our
brilliant brilliant
, ,
hardworking hardwork
students student
at at
RoMeLa romela
. .
But but
what what
is be
the the
source source
of of
this this
creativity creativity
? ?
What what
' '
s s
the the
source source
of of
this this
energy energy
? ?
What what
is be
the the
secret secret
to to
this this
crazy crazy
productivity productivity
? ?
I i
think think
the the
next next
video video
will will
be be
able able
to to
answer answer
that that
question question
. .
Man man
: :
Look look
at at
that that
. .
DH dh
: :
You you
remember remember
BALLU ballu
? ?
We we
' '
re re
doing do
the the
experiment experiment
of of
dancing dancing
. .
By by
the the
way way
, ,
this this
is be
Saturday saturday
, ,
2am 2am
in in
the the
morning morning
. .
We we
' '
re re
having have
too too
much much
fun fun
, ,
so so
, ,
yeah yeah
, ,
let let
' '
s s
bring bring
out out
all all
of of
our our
robots robot
, ,
one one
by by
one one
. .
You you
remember remember
NABi nabi
? ?
An an
early early
prototype prototype
of of
ALPHRED alphred
. .
Everybody everybody
' '
s s
favorite favorite
, ,
DARwIn-OP darwin-op
. .
The the
rotating rotate
knee knee
mechanism mechanism
for for
NABi nabi
. .
The the
six-legged six-legged
hexapod hexapod
robot robot
. .
This this
is be
RoMeLa romela
, ,
the the
Robotics robotics
and and
Mechanism mechanism
Laboratory laboratory
at at
UCLA ucla
. .
By by
the the
way way
, ,
that that
' '
s s
me me
on on
the the
left left
, ,
dancing dancing
. .
You you
probably probably
haven haven
' '
t t
seen see
a a
professor professor
dance dance
and and
party party
with with
their their
students student
while while
conducting conduct
serious serious
experiments experiment
, ,
right right
? ?
Openness openness
, ,
freedom freedom
, ,
trust trust
, ,
having have
fun fun
and and
truly truly
believing believe
what what
you you
do do
can can
change change
the the
world world
. .
These these
are be
some some
of of
the the
secrets secret
behind behind
our our
next next
seven seven
species specie
of of
robot robot
. .
Thank thank
you you
very very
much much
. .
