Every every
sometimes sometimes
this this
theory theory
or or
this this
model model
is be
referred refer
to to
as as
the the
deductive- deductive-
nomological nomological
model model
, ,
mainly mainly
because because
academics academic
like like
to to
make make
things thing
complicated complicated
. .
But but
also also
because because
in in
the the
ideal ideal
case case
, ,
it it
' '
s s
about about
laws law
. .
So so
nomological nomological
means means
having have
to to
do do
with with
laws law
. .
And and
in in
the the
ideal ideal
case case
, ,
the the
hypothesis hypothesis
isn isn
' '
t t
just just
an an
idea idea
: :
ideally ideally
, ,
it it
is be
a a
law law
of of
nature nature
. .
Why why
does do
it it
matter matter
that that
it it
is be
a a
law law
of of
nature nature
? ?
Because because
if if
it it
is be
a a
law law
, ,
it it
can can
' '
t t
be be
broken break
. .
If if
it it
' '
s s
a a
law law
then then
it it
will will
always always
be be
true true
in in
all all
times time
and and
all all
places place
no no
matter matter
what what
the the
circumstances circumstance
are be
. .
And and
all all
of of
you you
know know
of of
at at
least least
one one
example example
of of
a a
famous famous
law law
: :
Einstein einstein
' '
s s
famous famous
equation equation
, ,
E=MC2 e=mc2
, ,
which which
tells tell
us us
what what
the the
relationship relationship
is be
between between
energy energy
and and
mass mass
. .
And and
that that
relationship relationship
is be
true true
no no
matter matter
what what
. .
Now now
, ,
it it
turns turn
out out
, ,
though though
, ,
that that
there there
are be
several several
problems problem
with with
this this
model model
. .
The the
main main
problem problem
is be
that that
it it
' '
s s
wrong wrong
. .
It it
' '
s s
just just
not not
true true
. .
And and
I i
' '
m m
going go
to to
talk talk
about about
three three
reasons reason
why why
it it
' '
s s
wrong wrong
. .
So so
the the
first first
reason reason
is be
a a
logical logical
reason reason
. .
It it
' '
s s
the the
problem problem
of of
the the
fallacy fallacy
of of
affirming affirm
the the
consequent consequent
. .
So so
that that
' '
s s
another another
fancy fancy
, ,
academic academic
way way
of of
saying say
that that
false false
theories theory
can can
make make
true true
predictions prediction
. .
So so
just just
because because
the the
prediction prediction
comes come
true true
doesn doesn
' '
t t
actually actually
logically logically
prove prove
that that
the the
theory theory
is be
correct correct
. .
And and
I i
have have
a a
good good
example example
of of
that that
too too
, ,
again again
from from
the the
history history
of of
science science
. .
This this
is be
a a
picture picture
of of
the the
Ptolemaic ptolemaic
universe universe
with with
the the
Earth earth
at at
the the
center center
of of
the the
universe universe
and and
the the
sun sun
and and
the the
planets planet
going go
around around
it it
. .
The the
Ptolemaic ptolemaic
model model
was be
believed believe
by by
many many
very very
smart smart
people people
for for
many many
centuries century
. .
Well well
, ,
why why
? ?
Well well
the the
answer answer
is be
because because
it it
made make
lots lot
of of
predictions prediction
that that
came come
true true
. .
The the
Ptolemaic ptolemaic
system system
enabled enable
astronomers astronomer
to to
make make
accurate accurate
predictions prediction
of of
the the
motions motion
of of
the the
planet planet
, ,
in in
fact fact
more more
accurate accurate
predictions prediction
at at
first first
than than
the the
Copernican copernican
theory theory
which which
we we
now now
would would
say say
is be
true true
. .
So so
that that
' '
s s
one one
problem problem
with with
the the
textbook textbook
model model
. .
A a
second second
problem problem
is be
a a
practical practical
problem problem
, ,
and and
it it
' '
s s
the the
problem problem
of of
auxiliary auxiliary
hypotheses hypothesis
. .
Auxiliary auxiliary
hypotheses hypothesis
are be
assumptions assumption
that that
scientists scientist
are be
making make
that that
they they
may may
or or
may may
not not
even even
be be
aware aware
that that
they they
' '
re re
making making
. .
So so
an an
important important
example example
of of
this this
comes come
from from
the the
Copernican copernican
model model
, ,
which which
ultimately ultimately
replaced replace
the the
Ptolemaic ptolemaic
system system
. .
So so
when when
Nicolaus nicolaus
Copernicus copernicus
said say
, ,
actually actually
the the
Earth earth
is be
not not
the the
center center
of of
the the
universe universe
, ,
the the
sun sun
is be
the the
center center
of of
the the
solar solar
system system
, ,
the the
Earth earth
moves move
around around
the the
sun sun
. .
Scientists scientist
said say
, ,
well well
okay okay
, ,
Nicolaus nicolaus
, ,
if if
that that
' '
s s
true true
we we
ought ought
to to
be be
able able
to to
detect detect
the the
motion motion
of of
the the
Earth earth
around around
the the
sun sun
. .
And and
so so
this this
slide slide
here here
illustrates illustrate
a a
concept concept
known know
as as
stellar stellar
parallax parallax
. .
And and
astronomers astronomer
said say
, ,
if if
the the
Earth earth
is be
moving move
and and
we we
look look
at at
a a
prominent prominent
star star
, ,
let let
' '
s s
say say
, ,
Sirius sirius
— -
well well
I i
know know
I i
' '
m m
in in
Manhattan manhattan
so so
you you
guys guy
can can
' '
t t
see see
the the
stars star
, ,
but but
imagine imagine
you you
' '
re re
out out
in in
the the
country country
, ,
imagine imagine
you you
chose choose
that that
rural rural
life life
— -
and and
we we
look look
at at
a a
star star
in in
December december
, ,
we we
see see
that that
star star
against against
the the
backdrop backdrop
of of
distant distant
stars star
. .
If if
we we
now now
make make
the the
same same
observation observation
six six
months month
later later
when when
the the
Earth earth
has have
moved move
to to
this this
position position
in in
June june
, ,
we we
look look
at at
that that
same same
star star
and and
we we
see see
it it
against against
a a
different different
backdrop backdrop
. .
That that
difference difference
, ,
that that
angular angular
difference difference
, ,
is be
the the
stellar stellar
parallax parallax
. .
So so
this this
is be
a a
prediction prediction
that that
the the
Copernican copernican
model model
makes make
. .
Astronomers astronomer
looked look
for for
the the
stellar stellar
parallax parallax
and and
they they
found find
nothing nothing
, ,
nothing nothing
at at
all all
. .
And and
many many
people people
argued argue
that that
this this
proved prove
that that
the the
Copernican copernican
model model
was be
false false
. .
So so
what what
happened happen
? ?
Well well
, ,
in in
hindsight hindsight
we we
can can
say say
that that
astronomers astronomer
were be
making make
two two
auxiliary auxiliary
hypotheses hypothesis
, ,
both both
of of
which which
we we
would would
now now
say say
were be
incorrect incorrect
. .
The the
first first
was be
an an
assumption assumption
about about
the the
size size
of of
the the
Earth earth
' '
s s
orbit orbit
. .
Astronomers astronomer
were be
assuming assume
that that
the the
Earth earth
' '
s s
orbit orbit
was be
large large
relative relative
to to
the the
distance distance
to to
the the
stars star
. .
Today today
we we
would would
draw draw
the the
picture picture
more more
like like
this this
, ,
this this
comes come
from from
NASA nasa
, ,
and and
you you
see see
the the
Earth earth
' '
s s
orbit orbit
is be
actually actually
quite quite
small small
. .
In in
fact fact
, ,
it it
' '
s s
actually actually
much much
smaller small
even even
than than
shown show
here here
. .
The the
stellar stellar
parallax parallax
therefore therefore
, ,
is be
very very
small small
and and
actually actually
very very
hard hard
to to
detect detect
. .
And and
that that
leads lead
to to
the the
second second
reason reason
why why
the the
prediction prediction
didn didn
' '
t t
work work
, ,
because because
scientists scientist
were be
also also
assuming assume
that that
the the
telescopes telescope
they they
had have
were be
sensitive sensitive
enough enough
to to
detect detect
the the
parallax parallax
. .
And and
that that
turned turn
out out
not not
to to
be be
true true
. .
It it
wasn wasn
' '
t t
until until
the the
19th 19th
century century
that that
scientists scientist
were be
able able
to to
detect detect
the the
stellar stellar
parallax parallax
. .
So so
, ,
there there
' '
s s
a a
third third
problem problem
as as
well well
. .
The the
third third
problem problem
is be
simply simply
a a
factual factual
problem problem
, ,
that that
a a
lot lot
of of
science science
doesn doesn
' '
t t
fit fit
the the
textbook textbook
model model
. .
A a
lot lot
of of
science science
isn isn
' '
t t
deductive deductive
at at
all all
, ,
it it
' '
s s
actually actually
inductive inductive
. .
And and
by by
that that
we we
mean mean
that that
scientists scientist
don don
' '
t t
necessarily necessarily
start start
with with
theories theory
and and
hypotheses hypothesis
, ,
often often
they they
just just
start start
with with
observations observation
of of
stuff stuff
going go
on on
in in
the the
world world
. .
And and
the the
most most
famous famous
example example
of of
that that
is be
one one
of of
the the
most most
famous famous
scientists scientist
who who
ever ever
lived live
, ,
Charles charles
Darwin darwin
. .
When when
Darwin darwin
went go
out out
as as
a a
young young
man man
on on
the the
voyage voyage
of of
the the
Beagle beagle
, ,
he he
didn didn
' '
t t
have have
a a
hypothesis hypothesis
, ,
he he
didn didn
' '
t t
have have
a a
theory theory
. .
He he
just just
knew know
that that
he he
wanted want
to to
have have
a a
career career
as as
a a
scientist scientist
and and
he he
started start
to to
collect collect
data datum
. .
Mainly mainly
he he
knew know
that that
he he
hated hate
medicine medicine
because because
the the
sight sight
of of
blood blood
made make
him him
sick sick
so so
he he
had have
to to
have have
an an
alternative alternative
career career
path path
. .
So so
he he
started start
collecting collect
data datum
. .
And and
he he
collected collect
many many
things thing
, ,
including include
his his
famous famous
finches finch
. .
When when
he he
collected collect
these these
finches finch
, ,
he he
threw throw
them them
in in
a a
bag bag
and and
he he
had have
no no
idea idea
what what
they they
meant mean
. .
Many many
years year
later later
back back
in in
London london
, ,
Darwin darwin
looked look
at at
his his
data datum
again again
and and
began begin
to to
develop develop
an an
explanation explanation
, ,
and and
that that
explanation explanation
was be
the the
theory theory
of of
natural natural
selection selection
. .
Besides besides
inductive inductive
science science
, ,
scientists scientist
also also
often often
participate participate
in in
modeling modeling
. .
One one
of of
the the
things thing
scientists scientist
want want
to to
do do
in in
life life
is be
to to
explain explain
the the
causes cause
of of
things thing
. .
And and
how how
do do
we we
do do
that that
? ?
Well well
, ,
one one
way way
you you
can can
do do
it it
is be
to to
build build
a a
model model
that that
tests test
an an
idea idea
. .
So so
this this
is be
a a
picture picture
of of
Henry henry
Cadell cadell
, ,
who who
was be
a a
Scottish scottish
geologist geologist
in in
the the
19th 19th
century century
. .
You you
can can
tell tell
he he
' '
s s
Scottish scottish
because because
he he
' '
s s
wearing wear
a a
deerstalker deerstalker
cap cap
and and
Wellington wellington
boots boot
. .
And and
Cadell cadell
wanted want
to to
answer answer
the the
question question
, ,
how how
are be
mountains mountain
formed form
? ?
And and
one one
of of
the the
things thing
he he
had have
observed observe
is be
that that
if if
you you
look look
at at
mountains mountain
like like
the the
Appalachians appalachians
, ,
you you
often often
find find
that that
the the
rocks rock
in in
them them
are be
folded fold
, ,
and and
they they
' '
re re
folded fold
in in
a a
particular particular
way way
, ,
which which
suggested suggest
to to
him him
that that
they they
were be
actually actually
being be
compressed compress
from from
the the
side side
. .
And and
this this
idea idea
would would
later later
play play
a a
major major
role role
in in
discussions discussion
of of
continental continental
drift drift
. .
So so
he he
built build
this this
model model
, ,
this this
crazy crazy
contraption contraption
with with
levers lever
and and
wood wood
, ,
and and
here here
' '
s s
his his
wheelbarrow wheelbarrow
, ,
buckets bucket
, ,
a a
big big
sledgehammer sledgehammer
. .
I i
don don
' '
t t
know know
why why
he he
' '
s s
got get
the the
Wellington wellington
boots boot
. .
Maybe maybe
it it
' '
s s
going go
to to
rain rain
. .
And and
he he
created create
this this
physical physical
model model
in in
order order
to to
demonstrate demonstrate
that that
you you
could could
, ,
in in
fact fact
, ,
create create
patterns pattern
in in
rocks rock
, ,
or or
at at
least least
, ,
in in
this this
case case
, ,
in in
mud mud
, ,
that that
looked look
a a
lot lot
like like
mountains mountain
if if
you you
compressed compress
them them
from from
the the
side side
. .
So so
it it
was be
an an
argument argument
about about
the the
cause cause
of of
mountains mountain
. .
Nowadays nowadays
, ,
most most
scientists scientist
prefer prefer
to to
work work
inside inside
, ,
so so
they they
don don
' '
t t
build build
physical physical
models model
so so
much much
as as
to to
make make
computer computer
simulations simulation
. .
But but
a a
computer computer
simulation simulation
is be
a a
kind kind
of of
a a
model model
. .
It it
' '
s s
a a
model model
that that
' '
s s
made make
with with
mathematics mathematics
, ,
and and
like like
the the
physical physical
models model
of of
the the
19th 19th
century century
, ,
it it
' '
s s
very very
important important
for for
thinking think
about about
causes cause
. .
So so
one one
of of
the the
big big
questions question
to to
do do
with with
climate climate
change change
, ,
we we
have have
tremendous tremendous
amounts amount
of of
evidence evidence
that that
the the
Earth earth
is be
warming warm
up up
. .
This this
slide slide
here here
, ,
the the
black black
line line
shows show
the the
measurements measurement
that that
scientists scientist
have have
taken take
for for
the the
last last
150 @card@
years year
showing show
that that
the the
Earth earth
' '
s s
temperature temperature
has have
steadily steadily
increased increase
, ,
and and
you you
can can
see see
in in
particular particular
that that
in in
the the
last last
50 @card@
years year
there there
' '
s s
been be
this this
dramatic dramatic
increase increase
of of
nearly nearly
one one
degree degree
centigrade centigrade
, ,
or or
almost almost
two two
degrees degree
Fahrenheit fahrenheit
. .
So so
what what
, ,
though though
, ,
is be
driving drive
that that
change change
? ?
How how
can can
we we
know know
what what
' '
s s
causing cause
the the
observed observed
warming warming
? ?
Well well
, ,
scientists scientist
can can
model model
it it
using use
a a
computer computer
simulation simulation
. .
So so
this this
diagram diagram
illustrates illustrate
a a
computer computer
simulation simulation
that that
has have
looked look
at at
all all
the the
different different
factors factor
that that
we we
know know
can can
influence influence
the the
Earth earth
' '
s s
climate climate
, ,
so so
sulfate sulfate
particles particle
from from
air air
pollution pollution
, ,
volcanic volcanic
dust dust
from from
volcanic volcanic
eruptions eruption
, ,
changes change
in in
solar solar
radiation radiation
, ,
and and
, ,
of of
course course
, ,
greenhouse greenhouse
gases gas
. .
And and
they they
asked ask
the the
question question
, ,
what what
set set
of of
variables variable
put put
into into
a a
model model
will will
reproduce reproduce
what what
we we
actually actually
see see
in in
real real
life life
? ?
So so
here here
is be
the the
real real
life life
in in
black black
. .
Here here
' '
s s
the the
model model
in in
this this
light light
gray gray
, ,
and and
the the
answer answer
is be
a a
model model
that that
includes include
, ,
it it
' '
s s
the the
answer answer
E e
on on
that that
SAT sit
, ,
all all
of of
the the
above above
. .
The the
only only
way way
you you
can can
reproduce reproduce
the the
observed observed
temperature temperature
measurements measurement
is be
with with
all all
of of
these these
things thing
put put
together together
, ,
including include
greenhouse greenhouse
gases gas
, ,
and and
in in
particular particular
you you
can can
see see
that that
the the
increase increase
in in
greenhouse greenhouse
gases gas
tracks track
this this
very very
dramatic dramatic
increase increase
in in
temperature temperature
over over
the the
last last
50 @card@
years year
. .
And and
so so
this this
is be
why why
climate climate
scientists scientist
say say
it it
' '
s s
not not
just just
that that
we we
know know
that that
climate climate
change change
is be
happening happen
, ,
we we
know know
that that
greenhouse greenhouse
gases gas
are be
a a
major major
part part
of of
the the
reason reason
why why
. .
So so
now now
because because
there there
all all
these these
different different
things thing
that that
scientists scientist
do do
, ,
the the
philosopher philosopher
Paul paul
Feyerabend feyerabend
famously famously
said say
, ,
" "
The the
only only
principle principle
in in
science science
that that
doesn doesn
' '
t t
inhibit inhibit
progress progress
is be
: :
anything anything
goes go
. .
" "
Now now
this this
quotation quotation
has have
often often
been be
taken take
out out
of of
context context
, ,
because because
Feyerabend feyerabend
was be
not not
actually actually
saying say
that that
in in
science science
anything anything
goes go
. .
What what
he he
was be
saying say
was be
, ,
actually actually
the the
full full
quotation quotation
is be
, ,
" "
If if
you you
press press
me me
to to
say say
what what
is be
the the
method method
of of
science science
, ,
I i
would would
have have
to to
say say
: :
anything anything
goes go
. .
" "
What what
he he
was be
trying try
to to
say say
is be
that that
scientists scientist
do do
a a
lot lot
of of
different different
things thing
. .
Scientists scientist
are be
creative creative
. .
But but
then then
this this
pushes push
the the
question question
back back
: :
If if
scientists scientist
don don
' '
t t
use use
a a
single single
method method
, ,
then then
how how
do do
they they
decide decide
what what
' '
s s
right right
and and
what what
' '
s s
wrong wrong
? ?
And and
who who
judges judge
? ?
And and
the the
answer answer
is be
, ,
scientists scientist
judge judge
, ,
and and
they they
judge judge
by by
judging judge
evidence evidence
. .
Scientists scientist
collect collect
evidence evidence
in in
many many
different different
ways way
, ,
but but
however however
they they
collect collect
it it
, ,
they they
have have
to to
subject subject
it it
to to
scrutiny scrutiny
. .
And and
this this
led lead
the the
sociologist sociologist
Robert robert
Merton merton
to to
focus focus
on on
this this
question question
of of
how how
scientists scientist
scrutinize scrutinize
data datum
and and
evidence evidence
, ,
and and
he he
said say
they they
do do
it it
in in
a a
way way
he he
called call
" "
organized organized
skepticism skepticism
. .
" "
And and
by by
that that
he he
meant mean
it it
' '
s s
organized organize
because because
they they
do do
it it
collectively collectively
, ,
they they
do do
it it
as as
a a
group group
, ,
and and
skepticism skepticism
, ,
because because
they they
do do
it it
from from
a a
position position
of of
distrust distrust
. .
That that
is be
to to
say say
, ,
the the
burden burden
of of
proof proof
is be
on on
the the
person person
with with
a a
novel novel
claim claim
. .
And and
in in
this this
sense sense
, ,
science science
is be
intrinsically intrinsically
conservative conservative
. .
It it
' '
s s
quite quite
hard hard
to to
persuade persuade
the the
scientific scientific
community community
to to
say say
, ,
" "
Yes yes
, ,
we we
know know
something something
, ,
this this
is be
true true
. .
" "
So so
despite despite
the the
popularity popularity
of of
the the
concept concept
of of
paradigm paradigm
shifts shift
, ,
what what
we we
find find
is be
that that
actually actually
, ,
really really
major major
changes change
in in
scientific scientific
thinking thinking
are be
relatively relatively
rare rare
in in
the the
history history
of of
science science
. .
So so
finally finally
that that
brings bring
us us
to to
one one
more more
idea idea
: :
If if
scientists scientist
judge judge
evidence evidence
collectively collectively
, ,
this this
has have
led lead
historians historian
to to
focus focus
on on
the the
question question
of of
consensus consensus
, ,
and and
to to
say say
that that
at at
the the
end end
of of
the the
day day
, ,
what what
science science
is be
, ,
what what
scientific scientific
knowledge knowledge
is be
, ,
is be
the the
consensus consensus
of of
the the
scientific scientific
experts expert
who who
through through
this this
process process
of of
organized organized
scrutiny scrutiny
, ,
collective collective
scrutiny scrutiny
, ,
have have
judged judge
the the
evidence evidence
and and
come come
to to
a a
conclusion conclusion
about about
it it
, ,
either either
yea yea
or or
nay nay
. .
So so
we we
can can
think think
of of
scientific scientific
knowledge knowledge
as as
a a
consensus consensus
of of
experts expert
. .
We we
can can
also also
think think
of of
science science
as as
being be
a a
kind kind
of of
a a
jury jury
, ,
except except
it it
' '
s s
a a
very very
special special
kind kind
of of
jury jury
. .
It it
' '
s s
not not
a a
jury jury
of of
your your
peers peer
, ,
it it
' '
s s
a a
jury jury
of of
geeks geek
. .
It it
' '
s s
a a
jury jury
of of
men man
and and
women woman
with with
Ph ph
. .
D d
. .
s s
, ,
and and
unlike unlike
a a
conventional conventional
jury jury
, ,
which which
has have
only only
two two
choices choice
, ,
guilty guilty
or or
not not
guilty guilty
, ,
the the
scientific scientific
jury jury
actually actually
has have
a a
number number
of of
choices choice
. .
Scientists scientist
can can
say say
yes yes
, ,
something something
' '
s s
true true
. .
Scientists scientist
can can
say say
no no
, ,
it it
' '
s s
false false
. .
Or or
, ,
they they
can can
say say
, ,
well well
it it
might might
be be
true true
but but
we we
need need
to to
work work
more more
and and
collect collect
more more
evidence evidence
. .
Or or
, ,
they they
can can
say say
it it
might might
be be
true true
, ,
but but
we we
don don
' '
t t
know know
how how
to to
answer answer
the the
question question
and and
we we
' '
re re
going go
to to
put put
it it
aside aside
and and
maybe maybe
we we
' '
ll ll
come come
back back
to to
it it
later later
. .
That that
' '
s s
what what
scientists scientist
call call
" "
intractable intractable
. .
" "
But but
this this
leads lead
us us
to to
one one
final final
problem problem
: :
If if
science science
is be
what what
scientists scientist
say say
it it
is be
, ,
then then
isn isn
' '
t t
that that
just just
an an
appeal appeal
to to
authority authority
? ?
And and
weren weren
' '
t t
we we
all all
taught teach
in in
school school
that that
the the
appeal appeal
to to
authority authority
is be
a a
logical logical
fallacy fallacy
? ?
Well well
, ,
here here
' '
s s
the the
paradox paradox
of of
modern modern
science science
, ,
the the
paradox paradox
of of
the the
conclusion conclusion
I i
think think
historians historian
and and
philosophers philosopher
and and
sociologists sociologist
have have
come come
to to
, ,
that that
actually actually
science science
is be
the the
appeal appeal
to to
authority authority
, ,
but but
it it
' '
s s
not not
the the
authority authority
of of
the the
individual individual
, ,
no no
matter matter
how how
smart smart
that that
individual individual
is be
, ,
like like
Plato plato
or or
Socrates socrates
or or
Einstein einstein
. .
It it
' '
s s
the the
authority authority
of of
the the
collective collective
community community
. .
You you
can can
think think
of of
it it
is be
a a
kind kind
of of
wisdom wisdom
of of
the the
crowd crowd
, ,
but but
a a
very very
special special
kind kind
of of
crowd crowd
. .
Science science
does do
appeal appeal
to to
authority authority
, ,
but but
it it
' '
s s
not not
based base
on on
any any
individual individual
, ,
no no
matter matter
how how
smart smart
that that
individual individual
may may
be be
. .
It it
' '
s s
based base
on on
the the
collective collective
wisdom wisdom
, ,
the the
collective collective
knowledge knowledge
, ,
the the
collective collective
work work
, ,
of of
all all
of of
the the
scientists scientist
who who
have have
worked work
on on
a a
particular particular
problem problem
. .
Scientists scientist
have have
a a
kind kind
of of
culture culture
of of
collective collective
distrust distrust
, ,
this this
" "
show show
me me
" "
culture culture
, ,
illustrated illustrate
by by
this this
nice nice
woman woman
here here
showing show
her her
colleagues colleague
her her
evidence evidence
. .
Of of
course course
, ,
these these
people people
don don
' '
t t
really really
look look
like like
scientists scientist
, ,
because because
they they
' '
re re
much much
too too
happy happy
. .
Okay okay
, ,
so so
that that
brings bring
me me
to to
my my
final final
point point
. .
Most most
of of
us us
get get
up up
in in
the the
morning morning
. .
Most most
of of
us us
trust trust
our our
cars car
. .
Well well
, ,
see see
, ,
now now
I i
' '
m m
thinking thinking
, ,
I i
' '
m m
in in
Manhattan manhattan
, ,
this this
is be
a a
bad bad
analogy analogy
, ,
but but
most most
Americans americans
who who
don don
' '
t t
live live
in in
Manhattan manhattan
get get
up up
in in
the the
morning morning
and and
get get
in in
their their
cars car
and and
turn turn
on on
that that
ignition ignition
, ,
and and
their their
cars car
work work
, ,
and and
they they
work work
incredibly incredibly
well well
. .
The the
modern modern
automobile automobile
hardly hardly
ever ever
breaks break
down down
. .
So so
why why
is be
that that
? ?
Why why
do do
cars car
work work
so so
well well
? ?
It it
' '
s s
not not
because because
of of
the the
genius genius
of of
Henry henry
Ford ford
