Thank thank
tried try
all all
that that
— -
and and
I i
just just
didn didn
' '
t t
like like
reading read
books book
. .
And and
my my
mother mother
bought buy
this this
book book
when when
we we
were be
at at
the the
Grand grand
Canyon canyon
called call
" "
The the
Hot hot
Zone zone
. .
" "
It it
was be
all all
about about
the the
outbreak outbreak
of of
the the
Ebola ebola
virus virus
. .
And and
something something
about about
it it
just just
kind kind
of of
drew draw
me me
towards towards
it it
. .
There there
was be
this this
big big
sort sort
of of
bumpy-looking bumpy-look
virus virus
on on
the the
cover cover
, ,
and and
I i
just just
wanted want
to to
read read
it it
. .
I i
picked pick
up up
that that
book book
, ,
and and
as as
we we
drove drive
from from
the the
edge edge
of of
the the
Grand grand
Canyon canyon
to to
Big big
Sur sur
, ,
and and
to to
, ,
actually actually
, ,
here here
where where
we we
are be
today today
, ,
in in
Monterey monterey
, ,
I i
read read
that that
book book
, ,
and and
from from
when when
I i
was be
reading read
that that
book book
, ,
I i
knew know
that that
I i
wanted want
to to
have have
a a
life life
in in
medicine medicine
. .
I i
wanted want
to to
be be
like like
the the
explorers explorer
I i
' '
d d
read read
about about
in in
the the
book book
, ,
who who
went go
into into
the the
jungles jungle
of of
Africa africa
, ,
went go
into into
the the
research research
labs lab
and and
just just
tried try
to to
figure figure
out out
what what
this this
deadly deadly
virus virus
was be
. .
So so
from from
that that
moment moment
on on
, ,
I i
read read
every every
medical medical
book book
I i
could could
get get
my my
hands hand
on on
, ,
and and
I i
just just
loved love
it it
so so
much much
. .
I i
was be
a a
passive passive
observer observer
of of
the the
medical medical
world world
. .
It it
wasn wasn
' '
t t
until until
I i
entered enter
high high
school school
that that
I i
thought think
, ,
" "
Maybe maybe
now now
, ,
you you
know know
— -
being be
a a
big big
high high
school school
kid kid
— -
I i
can can
maybe maybe
become become
an an
active active
part part
of of
this this
big big
medical medical
world world
. .
" "
I i
was be
14 @card@
, ,
and and
I i
emailed email
professors professor
at at
the the
local local
university university
to to
see see
if if
maybe maybe
I i
could could
go go
work work
in in
their their
lab lab
. .
And and
hardly hardly
anyone anyone
responded respond
. .
But but
I i
mean mean
, ,
why why
would would
they they
respond respond
to to
a a
14-year-old 14-year-old
, ,
anyway anyway
? ?
And and
I i
got get
to to
go go
talk talk
to to
one one
professor professor
, ,
Dr dr
. .
Jacobs jacobs
, ,
who who
accepted accept
me me
into into
the the
lab lab
. .
At at
that that
time time
, ,
I i
was be
really really
interested interested
in in
neuroscience neuroscience
and and
wanted want
to to
do do
a a
research research
project project
in in
neurology neurology
— -
specifically specifically
looking look
at at
the the
effects effect
of of
heavy heavy
metals metal
on on
the the
developing develop
nervous nervous
system system
. .
So so
I i
started start
that that
, ,
and and
worked work
in in
his his
lab lab
for for
a a
year year
, ,
and and
found find
the the
results result
that that
I i
guess guess
you you
' '
d d
expect expect
to to
find find
when when
you you
feed feed
fruit fruit
flies fly
heavy heavy
metals metal
— -
that that
it it
really really
, ,
really really
impaired impair
the the
nervous nervous
system system
. .
The the
spinal spinal
cord cord
had have
breaks break
. .
The the
neurons neuron
were be
crossing cross
in in
every every
which which
way way
. .
And and
from from
then then
I i
wanted want
to to
look look
not not
at at
impairment impairment
, ,
but but
at at
prevention prevention
of of
impairment impairment
. .
So so
that that
' '
s s
what what
led lead
me me
to to
Alzheimer alzheimer
' '
s s
. .
I i
started start
reading reading
about about
Alzheimer alzheimer
' '
s s
and and
tried try
to to
familiarize familiarize
myself myself
with with
the the
research research
, ,
and and
at at
the the
same same
time time
when when
I i
was be
in in
the the
— -
I i
was be
reading read
in in
the the
medical medical
library library
one one
day day
, ,
and and
I i
read read
this this
article article
about about
something something
called call
" "
purine purine
derivatives derivative
. .
" "
And and
they they
seemed seem
to to
have have
cell cell
growth-promoting growth-promoting
properties property
. .
And and
being be
naive naive
about about
the the
whole whole
field field
, ,
I i
kind kind
of of
thought thought
, ,
" "
Oh oh
, ,
you you
have have
cell cell
death death
in in
Alzheimer alzheimer
' '
s s
which which
is be
causing cause
the the
memory memory
deficit deficit
, ,
and and
then then
you you
have have
this this
compound compound
— -
purine purine
derivatives derivative
— -
that that
are be
promoting promote
cell cell
growth growth
. .
" "
And and
so so
I i
thought think
, ,
" "
Maybe maybe
if if
it it
can can
promote promote
cell cell
growth growth
, ,
it it
can can
inhibit inhibit
cell cell
death death
, ,
too too
. .
" "
And and
so so
that that
' '
s s
the the
project project
that that
I i
pursued pursue
for for
that that
year year
, ,
and and
it it
' '
s s
continuing continue
now now
as as
well well
, ,
and and
found find
that that
a a
specific specific
purine purine
derivative derivative
called call
" "
guanidine guanidine
" "
had have
inhibited inhibit
the the
cell cell
growth growth
by by
approximately approximately
60 @card@
percent percent
. .
So so
I i
presented present
those those
results result
at at
the the
International international
Science science
Fair fair
, ,
which which
was be
just just
one one
of of
the the
most most
amazing amazing
experiences experience
of of
my my
life life
. .
And and
there there
I i
was be
awarded award
" "
Best good
in in
the the
World world
in in
Medicine medicine
, ,
" "
which which
allowed allow
me me
to to
get get
in in
, ,
or or
at at
least least
get get
a a
foot foot
in in
the the
door door
of of
the the
big big
medical medical
world world
. .
And and
from from
then then
on on
, ,
since since
I i
was be
now now
in in
this this
huge huge
exciting exciting
world world
, ,
I i
wanted want
to to
explore explore
it it
all all
. .
I i
wanted want
it it
all all
at at
once once
, ,
but but
knew know
I i
couldn couldn
' '
t t
really really
get get
that that
. .
And and
I i
stumbled stumble
across across
something something
called call
" "
cancer cancer
stem stem
cells cell
. .
" "
And and
this this
is be
really really
what what
I i
want want
to to
talk talk
to to
you you
about about
today today
— -
about about
cancer cancer
. .
At at
first first
when when
I i
heard hear
of of
cancer cancer
stem stem
cells cell
, ,
I i
didn didn
' '
t t
really really
know know
how how
to to
put put
the the
two two
together together
. .
I i
' '
d d
heard hear
of of
stem stem
cells cell
, ,
and and
I i
' '
d d
heard hear
of of
them them
as as
the the
panacea panacea
of of
the the
future future
— -
the the
therapy therapy
of of
many many
diseases disease
to to
come come
in in
the the
future future
, ,
perhaps perhaps
. .
But but
I i
' '
d d
heard hear
of of
cancer cancer
as as
the the
most most
feared feared
disease disease
of of
our our
time time
, ,
so so
how how
did do
the the
good good
and and
bad bad
go go
together together
? ?
Last last
summer summer
I i
worked work
at at
Stanford stanford
University university
, ,
doing do
some some
research research
on on
cancer cancer
stem stem
cells cell
. .
And and
while while
I i
was be
doing do
this this
, ,
I i
was be
reading read
the the
cancer cancer
literature literature
, ,
trying try
to to
— -
again again
— -
familiarize familiarize
myself myself
with with
this this
new new
medical medical
field field
. .
And and
it it
seemed seem
that that
tumors tumor
actually actually
begin begin
from from
a a
stem stem
cell cell
. .
This this
fascinated fascinate
me me
. .
The the
more more
I i
read read
, ,
the the
more more
I i
looked look
at at
cancer cancer
differently differently
and and
almost almost
became become
less less
fearful fearful
of of
it it
. .
It it
seems seem
that that
cancer cancer
is be
a a
direct direct
result result
to to
injury injury
. .
If if
you you
smoke smoke
, ,
you you
damage damage
your your
lung lung
tissue tissue
, ,
and and
then then
lung lung
cancer cancer
arises arise
. .
If if
you you
drink drink
, ,
you you
damage damage
your your
liver liver
, ,
and and
then then
liver live
cancer cancer
occurs occur
. .
And and
it it
was be
really really
interesting interesting
— -
there there
were be
articles article
correlating correlate
if if
you you
have have
a a
bone bone
fracture fracture
, ,
and and
then then
bone bone
cancer cancer
arises arise
. .
Because because
what what
stem stem
cells cell
are be
— -
they they
' '
re re
these these
phenomenal phenomenal
cells cell
that that
really really
have have
the the
ability ability
to to
differentiate differentiate
into into
any any
type type
of of
tissue tissue
. .
So so
, ,
if if
the the
body body
is be
sensing sense
that that
you you
have have
damage damage
to to
an an
organ organ
and and
then then
it it
' '
s s
initiating initiate
cancer cancer
, ,
it it
' '
s s
almost almost
as as
if if
this this
is be
a a
repair repair
response response
. .
And and
the the
cancer cancer
, ,
the the
body body
is be
saying say
the the
lung lung
tissue tissue
is be
damaged damage
, ,
we we
need need
to to
repair repair
the the
lung lung
. .
And and
cancer cancer
is be
originating originate
in in
the the
lung lung
trying try
to to
repair repair
— -
because because
you you
have have
this this
excessive excessive
proliferation proliferation
of of
these these
remarkable remarkable
cells cell
that that
really really
have have
the the
potential potential
to to
become become
lung lung
tissue tissue
. .
But but
it it
' '
s s
almost almost
as as
if if
the the
body body
has have
originated originate
this this
ingenious ingenious
response response
, ,
but but
can can
' '
t t
quite quite
control control
it it
. .
It it
hasn hasn
' '
t t
yet yet
become become
fine-tuned fine-tuned
enough enough
to to
finish finish
what what
has have
been be
initiated initiate
. .
So so
this this
really really
, ,
really really
fascinated fascinate
me me
. .
And and
I i
really really
think think
that that
we we
can can
' '
t t
think think
about about
cancer cancer
— -
let let
alone alone
any any
disease disease
— -
in in
such such
black-and-white black-and-white
terms term
. .
If if
we we
eliminate eliminate
cancer cancer
the the
way way
we we
' '
re re
trying try
to to
do do
now now
, ,
with with
chemotherapy chemotherapy
and and
radiation radiation
, ,
we we
' '
re re
bombarding bombard
the the
body body
or or
the the
cancer cancer
with with
toxins toxin
, ,
or or
with with
radiation radiation
, ,
trying try
to to
kill kill
it it
. .
It it
' '
s s
almost almost
as as
if if
we we
' '
re re
getting get
back back
to to
this this
starting start
point point
. .
We we
' '
re re
removing remove
the the
cancer cancer
cells cell
, ,
but but
we we
' '
re re
revealing reveal
the the
previous previous
damage damage
that that
the the
body body
has have
tried try
to to
fix fix
. .
Shouldn shouldn
' '
t t
we we
think think
about about
manipulation manipulation
, ,
rather rather
than than
elimination elimination
? ?
If if
somehow somehow
we we
can can
cause cause
these these
cells cell
to to
differentiate differentiate
— -
to to
become become
bone bone
tissue tissue
, ,
lung lung
tissue tissue
, ,
liver liver
tissue tissue
, ,
whatever whatever
that that
cancer cancer
has have
been be
put put
there there
to to
do do
— -
it it
would would
be be
a a
repair repair
process process
. .
We we
' '
d d
end end
up up
better good
than than
we we
were be
before before
cancer cancer
. .
So so
, ,
this this
really really
changed change
my my
view view
of of
looking look
at at
cancer cancer
. .
And and
while while
I i
was be
reading read
all all
these these
articles article
about about
cancer cancer
, ,
it it
seemed seem
that that
the the
articles article
— -
a a
lot lot
of of
them them
— -
focused focus
on on
, ,
you you
know know
, ,
the the
genetics genetics
of of
breast breast
cancer cancer
, ,
and and
the the
genesis genesis
and and
the the
progression progression
of of
breast breast
cancer cancer
— -
tracking track
the the
cancer cancer
through through
the the
body body
, ,
tracing trace
where where
it it
is be
, ,
where where
it it
goes go
. .
But but
it it
struck strike
me me
that that
I i
' '
d d
never never
heard hear
of of
cancer cancer
of of
the the
heart heart
, ,
or or
cancer cancer
of of
any any
skeletal skeletal
muscle muscle
for for
that that
matter matter
. .
And and
skeletal skeletal
muscle muscle
constitutes constitute
50 @card@
percent percent
of of
our our
body body
, ,
or or
over over
50 @card@
percent percent
of of
our our
body body
. .
And and
so so
at at
first first
I i
kind kind
of of
thought thought
, ,
" "
Well well
, ,
maybe maybe
there there
' '
s s
some some
obvious obvious
explanation explanation
why why
skeletal skeletal
muscle muscle
doesn doesn
' '
t t
get get
cancer cancer
— -
at at
least least
not not
that that
I i
know know
of of
. .
" "
So so
, ,
I i
looked look
further further
into into
it it
, ,
found find
as as
many many
articles article
as as
I i
could could
, ,
and and
it it
was be
amazing amazing
— -
because because
it it
turned turn
out out
that that
it it
was be
very very
rare rare
. .
Some some
articles article
even even
went go
as as
far far
as as
to to
say say
that that
skeletal skeletal
muscle muscle
tissue tissue
is be
resistant resistant
to to
cancer cancer
, ,
and and
furthermore furthermore
, ,
not not
only only
to to
cancer cancer
, ,
but but
of of
metastases metastasis
going go
to to
skeletal skeletal
muscle muscle
. .
And and
what what
metastases metastasis
are be
is be
when when
the the
tumor tumor
— -
when when
a a
piece piece
— -
breaks break
off off
and and
travels travel
through through
the the
blood blood
stream stream
and and
goes go
to to
a a
different different
organ organ
. .
That that
' '
s s
what what
a a
metastasis metastasis
is be
. .
It it
' '
s s
the the
part part
of of
cancer cancer
that that
is be
the the
most most
dangerous dangerous
. .
If if
cancer cancer
was be
localized localize
, ,
we we
could could
likely likely
remove remove
it it
, ,
or or
somehow somehow
— -
you you
know know
, ,
it it
' '
s s
contained contain
. .
It it
' '
s s
very very
contained contain
. .
But but
once once
it it
starts start
moving move
throughout throughout
the the
body body
, ,
that that
' '
s s
when when
it it
becomes become
deadly deadly
. .
So so
the the
fact fact
that that
not not
only only
did do
cancer cancer
not not
seem seem
to to
originate originate
in in
skeletal skeletal
muscles muscle
, ,
but but
cancer cancer
didn didn
' '
t t
seem seem
to to
go go
to to
skeletal skeletal
muscle muscle
— -
there there
seemed seem
to to
be be
something something
here here
. .
So so
these these
articles article
were be
saying say
, ,
you you
know know
, ,
" "
Skeletal skeletal
— -
metastasis metastasis
to to
skeletal skeletal
muscle muscle
— -
is be
very very
rare rare
. .
" "
But but
it it
was be
left leave
at at
that that
. .
No no
one one
seemed seem
to to
be be
asking ask
why why
. .
So so
I i
decided decide
to to
ask ask
why why
. .
At at
first first
— -
the the
first first
thing thing
I i
did do
was be
I i
emailed email
some some
professors professor
who who
specialized specialize
in in
skeletal skeletal
muscle muscle
physiology physiology
, ,
and and
pretty pretty
much much
said say
, ,
" "
Hey hey
, ,
it it
seems seem
like like
cancer cancer
doesn doesn
' '
t t
really really
go go
to to
skeletal skeletal
muscle muscle
. .
Is be
there there
a a
reason reason
for for
this this
? ?
" "
And and
a a
lot lot
of of
the the
replies reply
I i
got get
were be
that that
muscle muscle
is be
terminally terminally
differentiated differentiate
tissue tissue
. .
Meaning mean
that that
you you
have have
muscle muscle
cells cell
, ,
but but
they they
' '
re re
not not
dividing divide
, ,
so so
it it
doesn doesn
' '
t t
seem seem
like like
a a
good good
target target
for for
cancer cancer
to to
hijack hijack
. .
But but
then then
again again
, ,
this this
fact fact
that that
the the
metastases metastasis
didn didn
' '
t t
go go
to to
skeletal skeletal
muscle muscle
made make
that that
seem seem
unlikely unlikely
. .
And and
furthermore furthermore
, ,
that that
nervous nervous
tissue tissue
— -
brain brain
— -
gets get
cancer cancer
, ,
and and
brain brain
cells cell
are be
also also
terminally terminally
differentiated differentiate
. .
So so
I i
decided decide
to to
ask ask
why why
. .
And and
here here
' '
s s
some some
of of
, ,
I i
guess guess
, ,
my my
hypotheses hypothesis
that that
I i
' '
ll ll
be be
starting start
to to
investigate investigate
this this
May may
at at
the the
Sylvester sylvester
Cancer cancer
Institute institute
in in
Miami miami
. .
And and
I i
guess guess
I i
' '
ll ll
keep keep
investigating investigate
until until
I i
get get
the the
answers answer
. .
But but
I i
know know
that that
in in
science science
, ,
once once
you you
get get
the the
answers answer
, ,
inevitably inevitably
you you
' '
re re
going go
to to
have have
more more
questions question
. .
So so
I i
guess guess
you you
could could
say say
that that
I i
' '
ll ll
probably probably
be be
doing do
this this
for for
the the
rest rest
of of
my my
life life
. .
Some some
of of
my my
hypotheses hypothesis
are be
that that
when when
you you
first first
think think
about about
skeletal skeletal
muscle muscle
, ,
there there
' '
s s
a a
lot lot
of of
blood blood
vessels vessel
going go
to to
skeletal skeletal
muscle muscle
. .
And and
the the
first first
thing thing
that that
makes make
me me
think think
is be
that that
blood blood
vessels vessel
are be
like like
highways highway
for for
the the
tumor tumor
cells cell
. .
Tumor tumor
cells cell
can can
travel travel
through through
the the
blood blood
vessels vessel
. .
And and
you you
think think
, ,
the the
more more
highways highway
there there
are be
in in
a a
tissue tissue
, ,
the the
more more
likely likely
it it
is be
to to
get get
cancer cancer
or or
to to
get get
metastases metastasis
. .
So so
first first
of of
all all
I i
thought think
, ,
you you
know know
, ,
" "
Wouldn wouldn
' '
t t
it it
be be
favorable favorable
to to
cancer cancer
getting get
to to
skeletal skeletal
muscle muscle
? ?
" "
And and
as as
well well
, ,
cancer cancer
tumors tumor
require require
a a
process process
called call
angiogenesis angiogenesis
, ,
which which
is be
really really
, ,
the the
tumor tumor
recruits recruit
the the
blood blood
vessels vessel
to to
itself itself
to to
supply supply
itself itself
with with
nutrients nutrient
so so
it it
can can
grow grow
. .
Without without
angiogenesis angiogenesis
, ,
the the
tumor tumor
remains remain
the the
size size
of of
a a
pinpoint pinpoint
and and
it it
' '
s s
not not
harmful harmful
. .
So so
angiogenesis angiogenesis
is be
really really
a a
central central
process process
to to
the the
pathogenesis pathogenesis
of of
cancer cancer
. .
And and
one one
article article
that that
really really
stood stand
out out
to to
me me
when when
I i
was be
just just
reading read
about about
this this
, ,
trying try
to to
figure figure
out out
why why
cancer cancer
doesn doesn
' '
t t
go go
to to
skeletal skeletal
muscle muscle
, ,
was be
that that
it it
had have
reported report
16 @card@
percent percent
of of
micro-metastases micro-metastasis
to to
skeletal skeletal
muscle muscle
upon upon
autopsy autopsy
. .
16 @card@
percent percent
! !
Meaning mean
that that
there there
were be
these these
pinpoint pinpoint
tumors tumor
in in
skeletal skeletal
muscle muscle
, ,
but but
only only
. .
16 @card@
percent percent
of of
actual actual
metastases metastasis
— -
suggesting suggest
that that
maybe maybe
skeletal skeletal
muscle muscle
is be
able able
to to
control control
the the
angiogenesis angiogenesis
, ,
is be
able able
to to
control control
the the
tumors tumor
recruiting recruit
these these
blood blood
vessels vessel
. .
We we
use use
skeletal skeletal
muscles muscle
so so
much much
. .
It it
' '
s s
the the
one one
portion portion
of of
our our
body body
— -
our our
heart heart
' '
s s
always always
beating beat
. .
We we
' '
re re
always always
moving move
our our
muscles muscle
. .
Is be
it it
possible possible
that that
muscle muscle
somehow somehow
intuitively intuitively
knows know
that that
it it
needs need
this this
blood blood
supply supply
? ?
It it
needs need
to to
be be
constantly constantly
contracting contract
, ,
so so
therefore therefore
it it
' '
s s
almost almost
selfish selfish
. .
It it
' '
s s
grabbing grab
its its
blood blood
vessels vessel
for for
itself itself
. .
Therefore therefore
, ,
when when
a a
tumor tumor
comes come
into into
skeletal skeletal
muscle muscle
tissue tissue
, ,
it it
can can
' '
t t
get get
a a
blood blood
supply supply
, ,
and and
can can
' '
t t
grow grow
. .
So so
this this
suggests suggest
that that
maybe maybe
if if
there there
is be
an an
anti-angiogenic anti-angiogenic
factor factor
in in
skeletal skeletal
muscle muscle
— -
or or
perhaps perhaps
even even
more more
, ,
an an
angiogenic angiogenic
routing routing
factor factor
, ,
so so
it it
can can
actually actually
direct direct
where where
the the
blood blood
vessels vessel
grow grow
— -
this this
could could
be be
a a
potential potential
future future
therapy therapy
for for
cancer cancer
. .
And and
another another
thing thing
that that
' '
s s
really really
interesting interesting
is be
that that
there there
' '
s s
this this
whole whole
— -
the the
way way
tumors tumor
move move
throughout throughout
the the
body body
, ,
it it
' '
s s
a a
very very
complex complex
system system
— -
and and
there there
' '
s s
something something
called call
the the
chemokine chemokine
network network
. .
And and
chemokines chemokine
are be
essentially essentially
chemical chemical
attractants attractant
, ,
and and
they they
' '
re re
the the
stop stop
and and
go go
signals signal
for for
cancer cancer
. .
So so
a a
tumor tumor
expresses express
chemokine chemokine
receptors receptor
, ,
and and
another another
organ organ
— -
a a
distant distant
organ organ
somewhere somewhere
in in
the the
body body
— -
will will
have have
the the
corresponding corresponding
chemokines chemokine
, ,
and and
the the
tumor tumor
will will
see see
these these
chemokines chemokine
and and
migrate migrate
towards towards
it it
. .
Is be
it it
possible possible
that that
skeletal skeletal
muscle muscle
doesn doesn
' '
t t
express express
this this
type type
of of
molecules molecule
? ?
And and
the the
other other
really really
interesting interesting
thing thing
is be
that that
when when
skeletal skeletal
muscle muscle
— -
there there
' '
s s
been be
several several
reports report
that that
when when
skeletal skeletal
muscle muscle
is be
injured injure
, ,
that that
' '
s s
what what
correlates correlate
with with
metastases metastasis
going go
to to
skeletal skeletal
muscle muscle
. .
And and
, ,
furthermore furthermore
, ,
when when
skeletal skeletal
muscle muscle
is be
injured injure
, ,
that that
' '
s s
what what
causes cause
chemokines chemokine
— -
these these
signals signal
saying say
, ,
" "
Cancer cancer
, ,
you you
can can
come come
to to
me me
, ,
" "
the the
" "
go go
signs sign
" "
for for
the the
tumors tumor
— -
it it
causes cause
them them
to to
highly highly
express express
these these
chemokines chemokine
. .
So so
, ,
there there
' '
s s
so so
much much
interplay interplay
here here
. .
I i
mean mean
, ,
there there
are be
so so
many many
possibilities possibility
for for
why why
tumors tumor
don don
' '
t t
go go
to to
skeletal skeletal
muscle muscle
. .
But but
it it
seems seem
like like
by by
investigating investigate
, ,
by by
attacking attack
cancer cancer
, ,
by by
searching search
where where
cancer cancer
is be
not not
, ,
there there
has have
got get
to to
be be
something something
— -
there there
' '
s s
got get
to to
be be
something something
— -
that that
' '
s s
making make
this this
tissue tissue
resistant resistant
to to
tumors tumor
. .
And and
can can
we we
utilize utilize
— -
can can
we we
take take
this this
property property
, ,
this this
compound compound
, ,
this this
receptor receptor
, ,
whatever whatever
it it
is be
that that
' '
s s
controlling control
these these
anti-tumor anti-tumor
properties property
and and
apply apply
it it
to to
cancer cancer
therapy therapy
in in
general general
? ?
Now now
, ,
one one
thing thing
that that
kind kind
of of
ties tie
the the
resistance resistance
of of
skeletal skeletal
muscle muscle
to to
cancer cancer
— -
to to
the the
cancer cancer
as as
a a
repair repair
response response
gone go
out out
of of
control control
in in
the the
body body
— -
is be
that that
skeletal skeletal
muscle muscle
has have
a a
factor factor
in in
it it
called call
" "
MyoD myod
. .
" "
And and
what what
MyoD myod
essentially essentially
does do
is be
, ,
it it
causes cause
cells cell
to to
differentiate differentiate
into into
muscle muscle
cells cell
. .
So so
this this
compound compound
, ,
MyoD myod
, ,
has have
been be
tested test
on on
a a
lot lot
of of
different different
cell cell
types type
and and
been be
shown show
to to
actually actually
convert convert
this this
variety variety
of of
cell cell
types type
into into
skeletal skeletal
muscle muscle
cells cell
. .
So so
, ,
is be
it it
possible possible
that that
the the
tumor tumor
cells cell
are be
going go
to to
the the
skeletal skeletal
muscle muscle
tissue tissue
, ,
but but
once once
in in
contact contact
inside inside
the the
skeletal skeletal
muscle muscle
tissue tissue
, ,
MyoD myod
acts act
upon upon
these these
tumor tumor
cells cell
and and
causes cause
them them
to to
become become
skeletal skeletal
muscle muscle
cells cell
? ?
Maybe maybe
tumor tumor
cells cell
are be
being be
disguised disguise
as as
skeletal skeletal
muscle muscle
cells cell
, ,
and and
this this
is be
why why
it it
seems seem
as as
if if
it it
is be
so so
rare rare
. .
It it
' '
s s
not not
harmful harmful
; ;
it it
has have
just just
repaired repair
the the
muscle muscle
. .
Muscle muscle
is be
constantly constantly
being be
used use
— -
constantly constantly
being be
damaged damage
. .
If if
every every
time time
we we
tore tear
a a
muscle muscle
or or
every every
time time
we we
stretched stretch
a a
muscle muscle
or or
moved move
in in
a a
wrong wrong
way way
, ,
cancer cancer
occurred occur
— -
I i
mean mean
, ,
everybody everybody
would would
have have
cancer cancer
almost almost
. .
And and
I i
hate hate
to to
say say
that that
. .
But but
it it
seems seem
as as
though though
muscle muscle
cell cell
, ,
possibly possibly
because because
of of
all all
its its
use use
, ,
has have
adapted adapt
faster fast
than than
other other
body body
tissues tissue
to to
respond respond
to to
injury injury
, ,
to to
fine-tune fine-tune
this this
repair repair
response response
and and
actually actually
be be
able able
to to
finish finish
the the
process process
which which
the the
body body
wants want
to to
finish finish
. .
I i
really really
believe believe
that that
the the
human human
body body
is be
very very
, ,
very very
smart smart
, ,
and and
we we
can can
' '
t t
counteract counteract
something something
the the
body body
is be
saying say
to to
do do
. .
It it
' '
s s
different different
when when
a a
bacteria bacterium
comes come
into into
the the
body body
— -
that that
' '
s s
a a
foreign foreign
object object
— -
we we
want want
that that
out out
. .
But but
when when
the the
body body
is be
actually actually
initiating initiate
a a
process process
and and
we we
' '
re re
calling call
it it
a a
disease disease
, ,
it it
doesn doesn
' '
t t
seem seem
as as
though though
elimination elimination
is be
the the
right right
solution solution
. .
So so
even even
to to
go go
from from
there there
, ,
it it
' '
s s
possible possible
, ,
although although
far-fetched far-fetched
, ,
that that
in in
the the
future future
we we
could could
almost almost
think think
of of
cancer cancer
being be
used use
as as
a a
therapy therapy
. .
If if
those those
diseases disease
where where
tissues tissue
are be
deteriorating deteriorate
— -
for for
example example
Alzheimer alzheimer
' '
s s
, ,
where where
the the
brain brain
, ,
the the
brain brain
cells cell
, ,
die die
and and
we we
need need
to to
restore restore
new new
brain brain
cells cell
, ,
new new
functional functional
brain brain
cells cell
— -
what what
if if
we we
could could
, ,
in in
the the
future future
, ,
use use
cancer cancer
? ?
A a
tumor tumor
— -
put put
it it
in in
the the
brain brain
and and
cause cause
it it
to to
differentiate differentiate
into into
brain brain
cells cell
? ?
That that
' '
s s
a a
very very
far-fetched far-fetched
idea idea
, ,
but but
I i
really really
believe believe
that that
it it
may may
be be
possible possible
. .
These these
cells cell
are be
so so
versatile versatile
, ,
these these
cancer cancer
cells cell
are be
so so
versatile versatile
— -
we we
just just
have have
to to
manipulate manipulate
them them
in in
the the
right right
way way
. .
And and
again again
, ,
some some
of of
these these
may may
be be
far- far-
fetched fetch
, ,
but but
I i
figured figure
if if
there there
' '
s s
anywhere anywhere
to to
present present
far-fetched far-fetched
ideas idea
, ,
it it
' '
s s
here here
at at
TED ted
, ,
so so
thank thank
you you
very very
much much
. .
