Think think
and and
I i
was be
laid lay
off off
from from
that that
full full
time time
job job
48 @card@
hours hour
later later
. .
The the
setback setback
expert expert
finishes finish
her her
work work
and and
is be
hit hit
with with
one one
of of
the the
most most
common common
career career
setbacks setback
. .
Oh oh
, ,
I i
loved love
that that
job job
. .
I i
loved love
the the
camaraderie camaraderie
, ,
the the
stability stability
, ,
the the
fact fact
that that
I i
was be
able able
to to
look look
toward toward
my my
family family
' '
s s
future future
. .
We we
had have
just just
bought buy
a a
house house
. .
We we
were be
finally finally
feeling feel
comfortable comfortable
, ,
and and
then then
bam bam
! !
The the
reversal reversal
in in
progress progress
. .
But but
through through
my my
disappointment disappointment
, ,
I i
began begin
to to
see see
, ,
like like
many many
of of
the the
people people
I i
had have
interviewed interview
, ,
my my
setback setback
was be
a a
green green
light light
. .
You you
see see
, ,
this this
wasn wasn
' '
t t
my my
first first
professional professional
setback setback
. .
Five five
years year
earlier earlier
, ,
I i
gave give
birth birth
to to
my my
daughter daughter
, ,
and and
when when
I i
returned return
from from
my my
very very
brief brief
12-week 12-week
maternity maternity
leave leave
, ,
I i
expected expect
everything everything
to to
be be
just just
as as
I i
' '
d d
left leave
it it
. .
To to
go go
right right
back back
into into
the the
role role
I i
had have
always always
taken take
so so
much much
pride pride
in in
, ,
with with
nothing nothing
disrupted disrupt
at at
all all
. .
Every every
working work
parent parent
will will
tell tell
you you
that that
' '
s s
a a
very very
unrealistic unrealistic
expectation expectation
. .
When when
I i
returned return
, ,
I i
was be
told tell
the the
people people
who who
replaced replace
me me
had have
done do
such such
a a
good good
job job
. .
Didn didn
' '
t t
they they
deserve deserve
these these
opportunities opportunity
now now
? ?
Shouldn shouldn
' '
t t
they they
continue continue
doing do
that that
work work
? ?
Not not
temporarily temporarily
, ,
but but
indefinitely indefinitely
? ?
I i
agreed agree
, ,
they they
had have
done do
a a
great great
job job
, ,
and and
I i
had have
all all
the the
respect respect
in in
the the
world world
for for
them them
, ,
and and
I i
wanted want
them them
to to
have have
every every
opportunity opportunity
to to
succeed succeed
. .
But but
where where
did do
that that
leave leave
me me
? ?
Wasn wasn
' '
t t
I i
still still
deserving deserving
of of
opportunities opportunity
in in
the the
workplace workplace
? ?
There there
was be
no no
discussion discussion
of of
what what
else else
I i
might might
work work
on on
now now
that that
I i
had have
some some
availability availability
. .
Setbacks setback
set set
the the
stage stage
for for
reinvention reinvention
. .
Your your
setback setback
might might
look look
different different
than than
mine mine
, ,
but but
the the
cycle cycle
is be
the the
same same
. .
Because because
what what
happens happen
when when
you you
sideline sideline
an an
ambitious ambitious
person person
, ,
an an
ambitious ambitious
woman woman
, ,
a a
mother mother
? ?
She she
turns turn
her her
energy energy
and and
ambition ambition
elsewhere elsewhere
. .
It it
is be
not not
a a
coincidence coincidence
that that
my my
journalism journalism
career career
skyrocketed skyrocket
the the
same same
year year
I i
had have
my my
daughter daughter
. .
More more
writing writing
led lead
to to
more more
visibility visibility
, ,
more more
opportunities opportunity
to to
speak speak
on on
stages stage
and and
being be
invited invite
into into
more more
rooms room
where where
people people
started start
asking ask
me me
, ,
" "
Hey hey
, ,
would would
you you
ever ever
consider consider
doing do
marketing marketing
consulting consulting
on on
the the
side side
? ?
" "
By by
the the
time time
I i
was be
laid lay
off off
, ,
I i
had have
already already
formed form
my my
LLC llc
. .
I i
had have
a a
whole whole
invoicing invoice
system system
, ,
I i
had have
at at
least least
one one
client client
on on
retainer retainer
, ,
and and
I i
was be
getting get
ready ready
for for
the the
biggest big
professional professional
milestone milestone
of of
my my
career career
, ,
the the
launch launch
of of
my my
book book
about about
how how
leaders leader
successfully successfully
work work
through through
their their
biggest big
setbacks setback
. .
Setbacks setback
set set
the the
stage stage
for for
reinvention reinvention
. .
But but
why why
? ?
Why why
does do
this this
happen happen
? ?
Neuroscientist neuroscientist
Chantel chantel
Prat prat
told tell
me me
that that
people people
who who
have have
gone go
through through
more more
setbacks setback
are be
better well
at at
problem-solving problem-solve
, ,
reasoning reasoning
, ,
logic logic
. .
They they
' '
re re
able able
to to
recognize recognize
the the
signs sign
more more
quickly quickly
, ,
and and
they they
can can
course course
correct correct
more more
easily easily
. .
When when
we we
experience experience
a a
setback setback
, ,
our our
brains brain
undergo undergo
a a
dopamine dopamine
dip dip
. .
We we
think think
of of
a a
dopamine dopamine
dip dip
as as
a a
negative negative
thing thing
. .
But but
dopamine dopamine
is be
a a
plasticity plasticity
inducer inducer
, ,
which which
means mean
it it
contributes contribute
to to
our our
mental mental
flexibility flexibility
and and
our our
resilience resilience
. .
It it
' '
s s
kind kind
of of
like like
exercising exercise
a a
muscle muscle
. .
You you
have have
to to
break break
down down
the the
muscle muscle
mass mass
before before
it it
rebuilds rebuild
its its
strength strength
. .
You you
' '
re re
sore sore
, ,
and and
then then
you you
' '
re re
strong strong
. .
It it
makes make
sense sense
. .
When when
things thing
are be
going go
well well
, ,
we we
' '
re re
not not
necessarily necessarily
considering consider
how how
we we
might might
improve improve
, ,
how how
we we
could could
do do
things thing
better well
. .
But but
the the
aftermath aftermath
of of
a a
setback setback
is be
when when
we we
come come
up up
with with
our our
best good
ideas idea
. .
There there
are be
four four
phases phase
of of
the the
Setback setback
Cycle cycle
. .
The the
first first
phase phase
is be
establish establish
. .
Establishing establish
you you
' '
re re
in in
a a
setback setback
, ,
not not
as as
intuitive intuitive
as as
one one
may may
think think
. .
Sure sure
, ,
some some
setbacks setback
bonk bonk
you you
over over
the the
head head
. .
You you
fail fail
a a
class class
, ,
you you
' '
re re
kicked kick
out out
of of
school school
, ,
a a
business business
investor investor
pulls pull
out out
, ,
a a
relationship relationship
ends end
, ,
you you
' '
re re
fired fire
from from
a a
job job
. .
Those those
are be
clear clear
. .
But but
some some
of of
us us
float float
unconsciously unconsciously
into into
our our
own own
setbacks setback
without without
even even
realizing realize
it it
or or
because because
we we
choose choose
to to
ignore ignore
it it
. .
How how
many many
people people
do do
you you
know know
who who
stayed stay
in in
a a
relationship relationship
for for
too too
long long
or or
stayed stay
in in
a a
job job
too too
long long
? ?
Was be
that that
you you
? ?
Is be
that that
maybe maybe
you you
right right
now now
? ?
I i
have have
something something
called call
the the
Alarm alarm
Clock clock
Checklist checklist
, ,
intended intend
to to
wake wake
you you
up up
if if
you you
think think
you you
might might
be be
floating floating
, ,
drifting drift
into into
your your
own own
setback setback
. .
In in
this this
exercise exercise
, ,
I i
encourage encourage
you you
to to
ask ask
yourself yourself
two two
questions question
. .
Number number
one one
, ,
what what
are be
you you
energized energize
by by
? ?
Number number
two two
, ,
what what
are be
you you
disengaged disengage
with with
? ?
Write write
down down
your your
answers answer
every every
day day
, ,
every every
few few
days day
, ,
over over
the the
course course
of of
a a
month month
. .
And and
at at
the the
end end
of of
that that
month month
, ,
look look
back back
at at
your your
answers answer
. .
See see
what what
patterns pattern
you you
can can
come come
up up
with with
. .
See see
what what
activities activity
you you
had have
on on
certain certain
days day
when when
you you
felt feel
more more
energized energize
or or
more more
disengaged disengage
. .
Some some
people people
do do
this this
exercise exercise
and and
find find
, ,
yeah yeah
, ,
I i
' '
m m
going go
to to
step step
back back
. .
But but
others other
do do
it it
and and
realize realize
it it
' '
s s
just just
the the
thing thing
they they
needed need
to to
remind remind
themselves themselves
of of
how how
engaged engaged
they they
still still
are be
in in
their their
work work
. .
It it
shows show
them them
they they
' '
re re
exactly exactly
where where
they they
' '
re re
meant mean
to to
be be
. .
Phase phase
two two
of of
the the
Setback setback
Cycle cycle
is be
embrace embrace
. .
This this
is be
the the
hardest hard
phase phase
because because
this this
piece piece
requires require
us us
to to
get get
uncomfortable uncomfortable
. .
And and
as as
a a
society society
, ,
we we
have have
been be
conditioned condition
to to
avoid avoid
discomfort discomfort
. .
But but
remember remember
, ,
it it
' '
s s
in in
those those
dopamine dopamine
dips dip
where where
the the
transformation transformation
happens happen
. .
So so
we we
have have
to to
reframe reframe
our our
relationship relationship
with with
discomfort discomfort
. .
I i
have have
a a
self-consciousness self-consciousness
around around
intelligence intelligence
. .
My my
intelligence intelligence
has have
been be
questioned question
at at
times time
throughout throughout
my my
life life
. .
Let let
me me
assure assure
you you
, ,
though though
, ,
I i
am be
very very
smart smart
. .
I i
can can
say say
that that
confidently confidently
now now
. .
Critics critic
have have
responded respond
favorably favorably
to to
work work
I i
' '
ve ve
put put
out out
into into
the the
world world
. .
I i
' '
ve ve
won win
several several
industry industry
awards award
. .
My my
book book
stayed stay
on on
the the
" "
USA usa
Today today
" "
bestseller bestseller
list list
for for
several several
weeks week
in in
a a
row row
. .
But but
none none
of of
those those
accolades accolade
matter matter
when when
I i
feel feel
my my
intelligence intelligence
or or
my my
credibility credibility
comes come
into into
question question
. .
This this
happens happen
because because
I i
' '
m m
a a
woman woman
, ,
and and
I i
' '
m m
bubbly bubbly
, ,
and and
I i
smile smile
a a
lot lot
, ,
and and
I i
chat chat
a a
lot lot
, ,
and and
I i
' '
m m
talkative talkative
. .
And and
some some
people people
equate equate
those those
characteristics characteristic
with with
a a
lack lack
of of
intelligence intelligence
. .
Anyone anyone
else else
feel feel
that that
? ?
So so
when when
I i
was be
sidelined sideline
in in
my my
leadership leadership
role role
after after
maternity maternity
leave leave
, ,
that that
moment moment
brought bring
up up
all all
that that
self-consciousness self-consciousness
that that
I i
always always
carry carry
. .
I i
felt feel
I i
had have
to to
prove prove
my my
value value
again again
. .
That that
I i
needed need
to to
show show
everyone everyone
that that
I i
was be
still still
worthy worthy
of of
existing exist
in in
the the
workforce workforce
. .
That that
any any
respect respect
I i
had have
earned earn
leading lead
up up
to to
this this
moment moment
was be
diminished diminish
, ,
and and
I i
had have
to to
totally totally
climb climb
the the
mountain mountain
again again
. .
So so
many many
people people
leave leave
the the
workforce workforce
for for
caregiving caregiving
reasons reason
. .
To to
care care
for for
a a
new new
child child
, ,
to to
care care
for for
an an
elderly elderly
relative relative
, ,
to to
care care
for for
themselves themselves
. .
And and
my my
experience experience
validated validate
all all
the the
fear fear
that that
caregivers caregiver
have have
, ,
thinking think
that that
the the
job job
won win
' '
t t
be be
there there
when when
they they
get get
back back
, ,
or or
it it
' '
ll ll
change change
, ,
or or
they they
' '
ll ll
be be
penalized penalize
for for
prioritizing prioritizing
that that
care care
. .
Not not
only only
that that
, ,
this this
moment moment
wasn wasn
' '
t t
just just
a a
hit hit
to to
my my
career career
. .
It it
was be
a a
deep deep
cut cut
to to
my my
self-worth self-worth
. .
See see
, ,
the the
embrace embrace
phase phase
is be
tough tough
. .
If if
you you
create create
a a
narrative narrative
based base
on on
your your
biggest big
moments moment
of of
self-doubt self-doubt
, ,
you you
will will
find find
the the
proof proof
to to
support support
it it
. .
But but
if if
you you
try try
, ,
you you
can can
create create
a a
counterargument counterargument
. .
How how
do do
you you
find find
the the
facts fact
to to
support support
that that
counterargument counterargument
, ,
though though
? ?
You you
turn turn
to to
your your
community community
. .
Phase phase
three three
of of
the the
Setback setback
Cycle cycle
is be
explore explore
. .
The the
best good
thing thing
you you
can can
do do
in in
the the
explore explore
phase phase
is be
cultivate cultivate
your your
community community
. .
And and
if if
you you
think think
your your
community community
isn isn
' '
t t
that that
big big
, ,
think think
again again
. .
Author author
and and
activist activist
Susan susan
McPherson mcpherson
wrote write
a a
book book
called call
" "
The the
Lost lost
Art art
of of
Connecting connect
. .
" "
In in
it it
, ,
she she
says say
, ,
we we
are be
much much
more more
interconnected interconnect
than than
we we
realize realize
, ,
and and
she she
equates equate
our our
communities community
to to
constellations constellation
. .
And and
she she
says say
all all
it it
takes take
is be
one one
link link
to to
another another
star star
to to
unlock unlock
so so
many many
possibilities possibility
you you
may may
never never
have have
realized realize
. .
You you
can can
start start
making make
those those
links link
by by
making make
connecting connect
a a
habit habit
. .
Every every
evening evening
, ,
when when
you you
sit sit
down down
on on
your your
couch couch
, ,
take take
out out
your your
phone phone
. .
Before before
you you
start start
scrolling scroll
, ,
send send
a a
text text
message message
. .
Send send
a a
DM dm
to to
someone someone
you you
otherwise otherwise
may may
not not
have have
reached reach
out out
to to
. .
If if
you you
' '
re re
feeling feeling
really really
ambitious ambitious
, ,
after after
this this
talk talk
, ,
go go
outside outside
and and
make make
a a
phone phone
call call
. .
I i
know know
, ,
you you
' '
re re
not not
a a
phone phone
person person
, ,
but but
I i
promise promise
you you
this this
is be
going go
to to
be be
so so
much much
less less
awkward awkward
than than
you you
think think
it it
will will
be be
, ,
and and
the the
benefits benefit
are be
immeasurable immeasurable
. .
How how
do do
you you
think think
I i
spent spend
those those
first first
few few
weeks week
after after
getting get
laid lay
off off
? ?
I i
' '
m m
not not
a a
phone phone
person person
either either
, ,
but but
I i
was be
on on
the the
phone phone
with with
everyone everyone
I i
knew know
: :
friends friend
, ,
old old
clients client
, ,
former former
colleagues colleague
, ,
every every
boss boss
I i
ever ever
had have
, ,
saying say
, ,
" "
Hey hey
, ,
I i
' '
m m
a a
little little
more more
available available
than than
I i
thought think
I i
' '
d d
be be
to to
do do
some some
marketing marketing
consulting consulting
. .
" "
They they
were be
more more
than than
happy happy
to to
make make
connections connection
to to
everyone everyone
in in
their their
constellation constellation
. .
One one
person person
even even
congratulated congratulate
me me
for for
being be
laid lay
off off
. .
Sometimes sometimes
it it
is be
your your
community community
who who
sees see
how how
amazing amazing
you you
are be
before before
even even
you you
do do
. .
Who who
see see
and and
know know
that that
your your
next next
chapter chapter
will will
be be
glorious glorious
. .
If if
you you
look look
over over
here here
, ,
you you
will will
find find
the the
proof proof
to to
support support
your your
self-doubt self-doubt
narrative narrative
. .
There there
will will
always always
be be
people people
who who
see see
you you
as as
the the
talkative talkative
, ,
bubbly bubbly
, ,
smiley smiley
person person
and and
make make
assumptions assumption
about about
your your
intelligence intelligence
because because
of of
that that
. .
But but
if if
you you
look look
over over
here here
, ,
you you
see see
an an
entire entire
universe universe
, ,
galaxies galaxy
upon upon
galaxies galaxy
of of
people people
who who
have have
all all
the the
confidence confidence
in in
your your
capabilities capability
. .
They they
see see
how how
bright bright
you you
shine shine
. .
My my
community community
and and
the the
connections connection
they they
made make
for for
me me
in in
the the
aftermath aftermath
of of
my my
layoff layoff
is be
how how
I i
won win
my my
first first
few few
big big
contracts contract
. .
It it
' '
s s
how how
I i
was be
able able
to to
take take
that that
little little
side side
hustle hustle
and and
turn turn
it it
into into
a a
thriving thriving
business business
, ,
one one
that that
enabled enable
me me
to to
start start
contributing contribute
to to
my my
family family
' '
s s
expenses expense
once once
again again
. .
Better well
yet yet
, ,
I i
was be
starting start
to to
reframe reframe
the the
narrative narrative
that that
I i
had have
any any
sort sort
of of
lack lack
of of
credibility credibility
or or
intelligence intelligence
. .
There there
will will
always always
be be
people people
who who
make make
you you
feel feel
like like
you you
need need
to to
prove prove
your your
value value
. .
But but
if if
you you
listen listen
to to
your your
community community
, ,
if if
you you
listen listen
to to
the the
good good
things thing
people people
say say
about about
you you
, ,
you you
will will
gain gain
the the
confidence confidence
you you
need need
to to
move move
to to
the the
final final
phase phase
of of
the the
Setback setback
Cycle cycle
. .
Phase phase
four four
: :
emerge emerge
. .
Emerging emerge
from from
your your
setback setback
is be
exhilarating exhilarate
. .
You you
have have
the the
tools tool
. .
Now now
you you
need need
to to
decide decide
what what
to to
build build
. .
But but
going go
from from
knowing know
to to
doing doing
can can
be be
surprisingly surprisingly
complicated complicate
. .
Sometimes sometimes
after after
all all
the the
introspection introspection
and and
the the
dopamine dopamine
dips dip
, ,
and and
the the
strategizing strategizing
, ,
and and
the the
exploration exploration
, ,
and and
the the
phone phone
calls call
, ,
you you
' '
re re
a a
little little
exhausted exhaust
. .
Sometimes sometimes
you you
just just
need need
to to
rest rest
. .
So so
take take
the the
rest rest
. .
Give give
yourself yourself
the the
space space
you you
need need
before before
you you
propel propel
yourself yourself
forward forward
. .
Recognize recognize
any any
barriers barrier
you you
might might
still still
be be
facing face
and and
give give
yourself yourself
the the
grace grace
to to
step step
around around
them them
. .
And and
when when
you you
' '
re re
ready ready
, ,
move move
forward forward
. .
Shed shed
your your
cocoon cocoon
. .
Spread spread
your your
beautiful beautiful
new new
wings wing
. .
Your your
metamorphosis metamorphosis
is be
complete complete
. .
I i
am be
rebelliously rebelliously
optimistic optimistic
that that
after after
today today
, ,
you you
will will
see see
setbacks setback
so so
much much
more more
clearly clearly
, ,
and and
you you
will will
emerge emerge
from from
them them
with with
a a
sense sense
of of
all all
you you
can can
achieve achieve
. .
Remember remember
that that
setback setback
I i
asked ask
you you
to to
think think
of of
at at
the the
beginning beginning
of of
this this
talk talk
? ?
Visualize visualize
it it
again again
. .
Now now
ask ask
yourself yourself
, ,
how how
did do
that that
setback setback
set set
the the
stage stage
for for
your your
reinvention reinvention
? ?
Thank thank
you you
. .
