Imagine imagine
, ,
where where
I i
needed need
to to
be be
, ,
and and
I i
threw throw
myself myself
with with
gusto gusto
in in
these these
communities community
. .
I i
went go
to to
zoning zone
board board
meetings meeting
, ,
I i
went go
to to
Democratic democratic
clubs club
and and
Republican republican
clubs club
. .
I i
went go
to to
poker poker
nights night
. .
In in
St st
. .
George george
, ,
I i
rented rent
a a
home home
at at
the the
Entrada entrada
, ,
one one
of of
the the
town town
' '
s s
premier premier
gated gate
communities community
. .
There there
were be
no no
Motel motel
6 @card@
' '
s s
or or
Howard howard
Johnsons johnsons
for for
me me
. .
I i
lived live
in in
Whitopia whitopia
as as
a a
resident resident
, ,
and and
not not
like like
a a
visitor visitor
. .
I i
rented rent
myself myself
this this
home home
by by
phone phone
. .
Golf golf
is be
the the
perfect perfect
seductive seductive
symbol symbol
of of
Whitopia whitopia
. .
When when
I i
went go
on on
my my
journey journey
, ,
I i
had have
barely barely
ever ever
held hold
a a
golf golf
club club
. .
By by
the the
time time
I i
left leave
, ,
I i
was be
golfing golf
at at
least least
three three
times time
a a
week week
. .
Golf golf
helps help
people people
bond bond
. .
Some some
of of
the the
best good
interviews interview
I i
ever ever
scored score
during during
my my
trip trip
were be
on on
the the
golf golf
courses course
. .
One one
venture venture
capitalist capitalist
, ,
for for
example example
, ,
invited invite
me me
to to
golf golf
in in
his his
private private
club club
that that
had have
no no
minority minority
members member
. .
I i
also also
went go
fishing fishing
. .
Because because
I i
had have
never never
fished fish
, ,
this this
fellow fellow
had have
to to
teach teach
me me
how how
to to
cast cast
my my
line line
and and
what what
bait bait
to to
use use
. .
I i
also also
played play
poker poker
every every
weekend weekend
. .
It it
was be
Texas texas
Hold hold
' '
em em
with with
a a
$10 $@card@
buy-in buy-in
. .
My my
poker poker
mates mate
may may
have have
been be
bluffing bluff
about about
the the
hands hand
that that
they they
drew draw
, ,
but but
they they
weren weren
' '
t t
bluffing bluff
about about
their their
social social
beliefs belief
. .
Some some
of of
the the
most most
raw raw
, ,
salty salty
conversations conversation
I i
ever ever
had have
during during
my my
journey journey
were be
at at
the the
poker poker
table table
. .
I i
' '
m m
a a
gung gung
ho ho
entertainer entertainer
. .
I i
love love
to to
cook cook
, ,
I i
hosted host
many many
dinner dinner
parties party
, ,
and and
in in
return return
, ,
people people
invited invite
me me
to to
their their
dinner dinner
parties party
, ,
and and
to to
their their
barbecues barbecue
, ,
and and
to to
their their
pool pool
parties party
, ,
and and
to to
their their
birthday birthday
parties party
. .
But but
it it
wasn wasn
' '
t t
all all
fun fun
. .
Immigration immigration
turned turn
out out
to to
be be
a a
big big
issue issue
in in
this this
Whitopia whitopia
. .
The the
St st
. .
George george
' '
s s
Citizens citizens
Council council
on on
Illegal illegal
Immigration immigration
held hold
regular regular
and and
active active
protests protest
against against
immigration immigration
, ,
and and
so so
what what
I i
gleaned glean
from from
this this
Whitopia whitopia
is be
what what
a a
hot hot
debate debate
this this
would would
become become
. .
It it
was be
a a
real-time real-time
preview preview
, ,
and and
so so
it it
has have
become become
. .
Next next
stop stop
: :
Almost almost
Heaven heaven
, ,
a a
cabin cabin
I i
rented rent
for for
myself myself
in in
Coeur coeur
d d
' '
Alene alene
, ,
in in
the the
beautiful beautiful
North north
Idaho idaho
panhandle panhandle
. .
I i
rented rent
this this
place place
for for
myself myself
, ,
also also
by by
phone phone
. .
The the
book book
" "
A a
Thousand thousand
Places place
To to
See see
Before before
You you
Die die
" "
lists list
Coeur coeur
d d
' '
Alene alene
— -
it it
' '
s s
a a
gorgeous gorgeous
paradise paradise
for for
huntsmen huntsman
, ,
boatmen boatman
and and
fishermen fisherman
. .
My my
growing grow
golf golf
skills skill
came come
in in
handy handy
in in
Coeur coeur
d d
' '
Alene alene
. .
I i
golfed golf
with with
retired retire
LAPD lapd
cops cop
. .
In in
1993 @card@
, ,
around around
11 @card@
, ,
000 @card@
families family
and and
cops cop
fled flee
Los los
Angeles angeles
after after
the the
L l
. .
A a
. .
racial racial
unrest unrest
, ,
for for
North north
Idaho idaho
, ,
and and
they they
' '
ve ve
built build
an an
expatriated expatriate
community community
. .
Given give
the the
conservatism conservatism
of of
these these
cops cop
, ,
there there
' '
s s
no no
surprise surprise
that that
North north
Idaho idaho
has have
a a
strong strong
gun gun
culture culture
. .
In in
fact fact
, ,
it it
is be
said say
, ,
North north
Idaho idaho
has have
more more
gun gun
dealers dealer
than than
gas gas
stations station
. .
So so
what what
' '
s s
a a
resident resident
to to
do do
to to
fit fit
in in
? ?
I i
hit hit
the the
gun gun
club club
. .
When when
I i
rented rent
a a
gun gun
, ,
the the
gentleman gentleman
behind behind
the the
counter counter
was be
perfectly perfectly
pleasant pleasant
and and
kind kind
, ,
until until
I i
showed show
him him
my my
New new
York york
City city
driver driver
' '
s s
license license
. .
That that
' '
s s
when when
he he
got get
nervous nervous
. .
I i
' '
m m
not not
as as
bad bad
a a
shot shot
as as
I i
thought think
I i
might might
have have
been be
. .
What what
I i
learned learn
from from
North north
Idaho idaho
is be
the the
peculiar peculiar
brand brand
of of
paranoia paranoia
that that
can can
permeate permeate
a a
community community
when when
so so
many many
cops cop
and and
guns gun
are be
around around
. .
In in
North north
Idaho idaho
, ,
in in
my my
red red
pickup pickup
truck truck
, ,
I i
kept keep
a a
notepad notepad
. .
And and
in in
that that
notepad notepad
I i
counted count
more more
Confederate confederate
flags flag
than than
black black
people people
. .
In in
North north
Idaho idaho
, ,
I i
found find
Confederate confederate
flags flag
on on
key key
chains chain
, ,
on on
cellphone cellphone
paraphernalia paraphernalia
, ,
and and
on on
cars car
. .
About about
a a
seven-minute seven-minute
drive drive
from from
my my
hidden hidden
lake lake
cabin cabin
was be
the the
compound compound
of of
Aryan aryan
Nations nations
, ,
the the
white white
supremacist supremacist
group group
. .
America america
' '
s s
Promise promise
Ministries ministry
, ,
the the
religious religious
arm arm
of of
Aryan aryan
Nations nations
, ,
happened happen
to to
have have
a a
three-day three-day
retreat retreat
during during
my my
visit visit
. .
So so
I i
decided decide
to to
crash crash
it it
. .
I i
' '
m m
the the
only only
non-Aryan non-aryan
journalist journalist
I i
' '
m m
aware aware
of of
ever ever
to to
have have
done do
so so
. .
Among among
the the
many many
memorable memorable
episodes episode
of of
that that
retreat retreat
. .
. .
. .
. .
. .
. .
is be
when when
Abe abe
, ,
an an
Aryan aryan
, ,
sidled sidle
up up
next next
to to
me me
. .
He he
slapped slap
my my
knee knee
, ,
and and
he he
said say
, ,
" "
Hey hey
Rich rich
, ,
I i
just just
want want
you you
to to
know know
one one
thing thing
. .
We we
are be
not not
white white
supremacists supremacist
. .
We we
are be
white white
separatists separatist
. .
We we
don don
' '
t t
think think
we we
' '
re re
better good
than than
you you
, ,
we we
just just
want want
to to
be be
away away
from from
you you
. .
" "
Indeed indeed
, ,
most most
white white
people people
in in
Whitopia whitopia
are be
neither neither
white white
supremacists supremacist
or or
white white
separatists separatist
; ;
in in
fact fact
, ,
they they
' '
re re
not not
there there
for for
explicitly explicitly
racial racial
reasons reason
at at
all all
. .
Rather rather
, ,
they they
emigrate emigrate
there there
for for
friendliness friendliness
, ,
comfort comfort
, ,
security security
, ,
safety safety
— -
reasons reason
that that
they they
implicitly implicitly
associate associate
to to
whiteness whiteness
in in
itself itself
. .
Next next
stop stop
was be
Georgia georgia
. .
In in
Georgia georgia
, ,
I i
stayed stay
in in
an an
exurb exurb
north north
of of
Atlanta atlanta
. .
In in
Utah utah
, ,
I i
found find
poker poker
; ;
in in
Idaho idaho
, ,
I i
found find
guns gun
; ;
in in
Georgia georgia
, ,
I i
found find
God god
. .
The the
way way
that that
I i
immersed immerse
myself myself
in in
this this
Whitopia whitopia
was be
to to
become become
active active
at at
First first
Redeemer redeemer
Church church
, ,
a a
megachurch megachurch
that that
' '
s s
so so
huge huge
that that
it it
has have
golf golf
carts cart
to to
escort escort
the the
congregants congregant
around around
its its
many many
parking parking
lots lot
on on
campus campus
. .
I i
was be
active active
in in
the the
youth youth
ministry ministry
. .
And and
for for
me me
, ,
personally personally
, ,
I i
was be
more more
comfortable comfortable
in in
this this
Whitopia whitopia
than than
say say
, ,
in in
a a
Colorado colorado
, ,
or or
an an
Idaho idaho
, ,
or or
even even
a a
suburban suburban
Boston boston
. .
That that
is be
because because
[ [
there there
] ]
, ,
in in
Georgia georgia
, ,
white white
people people
and and
black black
people people
are be
more more
historically historically
familiar familiar
to to
one one
another another
. .
I i
was be
less less
exotic exotic
in in
this this
Whitopia whitopia
. .
But but
what what
does do
it it
all all
mean mean
? ?
Whitopian whitopian
dreaming dream
, ,
Whitopia whitopia
migration migration
, ,
is be
a a
push- push-
pull pull
phenomenon phenomenon
, ,
full full
of of
alarming alarming
pushes push
and and
alluring alluring
pulls pull
, ,
and and
Whitopia whitopia
operates operate
at at
the the
level level
of of
conscious conscious
and and
unconscious unconscious
bias bias
. .
It it
' '
s s
possible possible
for for
people people
to to
be be
in in
Whitopia whitopia
not not
for for
racist racist
reasons reason
, ,
though though
it it
has have
racist racist
outcomes outcome
. .
Many many
Whitopians whitopians
feel feel
pushed push
by by
illegals illegal
, ,
social social
welfare welfare
abuse abuse
, ,
minorities minority
, ,
density density
, ,
crowded crowded
schools school
. .
Many many
Whitopians whitopians
feel feel
pulled pull
by by
merit merit
, ,
freedom freedom
, ,
the the
allure allure
of of
privatism privatism
— -
privatized privatize
places place
, ,
privatized privatized
people people
, ,
privatized privatized
things thing
. .
And and
I i
learned learn
in in
Whitopia whitopia
how how
a a
country country
can can
have have
racism racism
without without
racists racist
. .
Many many
of of
my my
smug smug
urban urban
liberal liberal
friends friend
couldn couldn
' '
t t
believe believe
I i
would would
go go
on on
such such
a a
venture venture
. .
The the
reality reality
is be
that that
many many
white white
Americans americans
are be
affable affable
and and
kind kind
. .
Interpersonal interpersonal
race race
relations relation
— -
how how
we we
treat treat
each each
other other
as as
human human
beings being
— -
are be
vastly vastly
better good
than than
in in
my my
parents parent
' '
generation generation
. .
Can can
you you
imagine imagine
me me
going go
to to
Whitopia whitopia
40 @card@
years year
ago ago
? ?
What what
a a
journey journey
that that
would would
have have
been be
. .
And and
yet yet
, ,
some some
things thing
haven haven
' '
t t
changed change
. .
America america
is be
as as
residentially residentially
and and
educationally educationally
segregated segregated
today today
as as
it it
was be
in in
1970 @card@
. .
As as
Americans americans
, ,
we we
often often
find find
ways way
to to
cook cook
for for
each each
other other
, ,
to to
dance dance
with with
each each
other other
, ,
to to
host host
with with
each each
other other
, ,
but but
why why
can can
' '
t t
that that
translate translate
into into
how how
we we
treat treat
each each
other other
as as
communities community
? ?
It it
' '
s s
a a
devastating devastating
irony irony
, ,
how how
we we
have have
gone go
forward forward
as as
individuals individual
, ,
and and
backwards backwards
as as
communities community
. .
One one
of of
the the
Whitopian whitopian
outlooks outlook
that that
really really
hit hit
me me
was be
a a
proverbial proverbial
saying saying
: :
" "
One one
black black
man man
is be
a a
delightful delightful
dinner dinner
guest guest
; ;
50 @card@
black black
men man
is be
a a
ghetto ghetto
. .
" "
One one
of of
the the
big big
contexts context
animating animate
my my
Whitopian whitopian
journey journey
was be
the the
year year
2042 @card@
. .
By by
2042 @card@
, ,
white white
people people
will will
no no
longer longer
be be
the the
American american
majority majority
. .
As as
such such
, ,
will will
there there
be be
more more
Whitopias whitopias
? ?
In in
looking look
at at
this this
, ,
the the
danger danger
of of
Whitopia whitopia
is be
that that
the the
more more
segregation segregation
we we
have have
, ,
the the
less less
we we
can can
look look
at at
and and
confront confront
conscious conscious
and and
unconscious unconscious
bias bias
. .
I i
ventured venture
on on
my my
two-year two-year
, ,
27 @card@
, ,
000 @card@
mile mile
journey journey
to to
learn learn
where where
, ,
why why
, ,
and and
how how
white white
people people
are be
fleeing flee
, ,
but but
I i
didn didn
' '
t t
expect expect
to to
have have
so so
much much
fun fun
on on
my my
journey journey
. .
I i
didn didn
' '
t t
expect expect
to to
learn learn
so so
much much
about about
myself myself
. .
I i
don don
' '
t t
expect expect
I i
' '
ll ll
be be
living live
in in
a a
Whitopia whitopia
— -
or or
a a
Blacktopia blacktopia
, ,
for for
that that
matter matter
. .
I i
do do
plan plan
to to
continue continue
golfing golf
every every
chance chance
I i
get get
. .
And and
I i
' '
ll ll
just just
have have
to to
leave leave
the the
guns gun
and and
megachurches megachurch
back back
in in
Whitopia whitopia
. .
Thank thank
you you
. .
