Cartoons cartoon
and and
fur fur
. .
But but
when when
you you
got get
to to
the the
ocean ocean
, ,
my my
imagination imagination
was be
no no
competition competition
for for
nature nature
. .
Every every
time time
I i
' '
d d
come come
up up
with with
a a
crazy crazy
cartoon cartoon
character character
on on
the the
drawing drawing
board board
, ,
I i
' '
d d
find find
a a
critter critter
in in
the the
ocean ocean
that that
was be
even even
crazier crazy
. .
And and
the the
differences difference
in in
scale scale
between between
this this
tiny tiny
sea sea
dragon dragon
and and
this this
enormous enormous
humpback humpback
whale whale
was be
like like
something something
out out
of of
a a
science-fiction science-fiction
movie movie
. .
Whenever whenever
I i
talk talk
to to
kids kid
, ,
I i
always always
like like
to to
tell tell
them them
, ,
the the
biggest big
animal animal
that that
ever ever
lived live
is be
still still
alive alive
. .
It it
' '
s s
not not
a a
dinosaur dinosaur
; ;
it it
' '
s s
a a
whale whale
, ,
animals animal
as as
big big
as as
office office
buildings building
still still
swimming swim
around around
out out
there there
in in
our our
ocean ocean
. .
Speaking speak
of of
dinosaurs dinosaur
, ,
sharks shark
are be
basically basically
the the
same same
fish fish
they they
were be
300 @card@
million million
years year
ago ago
. .
So so
if if
you you
ever ever
fantasize fantasize
about about
going go
back back
in in
time time
and and
seeing see
what what
a a
dinosaur dinosaur
looked look
like like
, ,
that that
' '
s s
what what
a a
dinosaur dinosaur
looks look
like like
. .
So so
you you
have have
living living
dinosaurs dinosaur
and and
space space
aliens alien
, ,
animals animal
that that
evolved evolve
in in
zero zero
gravity gravity
in in
harsh harsh
conditions condition
. .
It it
' '
s s
just just
incredible incredible
; ;
no no
Hollywood hollywood
designer designer
could could
come come
up up
with with
something something
more more
interesting interesting
than than
that that
. .
Or or
this this
fangtooth fangtooth
. .
The the
particles particle
in in
the the
water water
make make
it it
look look
like like
it it
' '
s s
floating float
in in
outer outer
space space
. .
Could could
you you
image image
if if
we we
looked look
through through
the the
Hubble hubble
Telescope telescope
and and
we we
saw see
that that
? ?
It it
would would
start start
a a
whole whole
new new
space space
race race
. .
But but
instead instead
, ,
we we
stick stick
a a
camera camera
in in
the the
deep deep
ocean ocean
, ,
and and
we we
see see
a a
fish fish
, ,
and and
it it
doesn doesn
' '
t t
capture capture
our our
imagination imagination
as as
a a
society society
. .
We we
say say
to to
ourselves ourselves
, ,
" "
Maybe maybe
we we
can can
make make
fish fish
sticks stick
with with
it it
or or
something something
. .
" "
So so
, ,
what what
I i
' '
d d
like like
to to
do do
now now
is be
try try
a a
little little
drawing drawing
. .
So so
, ,
I i
' '
m m
going go
to to
try try
to to
draw draw
this this
fangtooth fangtooth
here here
. .
I i
love love
to to
draw draw
the the
deep deep
sea sea
fish fish
, ,
because because
they they
are be
so so
ugly ugly
, ,
but but
beautiful beautiful
in in
their their
own own
way way
. .
Maybe maybe
we we
can can
give give
him him
a a
little little
bioluminescence bioluminescence
here here
— -
give give
him him
a a
headlight headlight
, ,
maybe maybe
a a
brake brake
light light
, ,
turn turn
signals signal
. .
But but
it it
' '
s s
easy easy
to to
see see
why why
these these
animals animal
make make
such such
great great
cartoon cartoon
characters character
, ,
their their
shapes shape
and and
sizes size
. .
So so
some some
of of
them them
actually actually
seem seem
to to
have have
powers power
like like
superheroes superhero
in in
a a
comic comic
book book
. .
For for
instance instance
, ,
take take
these these
sea sea
turtles turtle
. .
They they
kind kind
of of
have have
a a
sixth sixth
sense sense
like like
Superman superman
' '
s s
x-ray x-ray
vision vision
. .
They they
can can
sense sense
the the
magnetic magnetic
fields field
of of
the the
earth earth
. .
And and
they they
can can
use use
that that
sense sense
to to
navigate navigate
hundreds hundred
of of
miles mile
of of
open open
ocean ocean
. .
I i
kind kind
of of
give give
my my
turtle turtle
hands hand
just just
to to
make make
them them
an an
easier easy
cartoon cartoon
character character
to to
work work
with with
. .
Or or
take take
this this
sea sea
cucumber cucumber
. .
It it
' '
s s
not not
an an
animal animal
we we
draw draw
cartoons cartoon
of of
or or
draw draw
at at
all all
. .
He he
' '
s s
like like
an an
underwater underwater
Spiderman spiderman
. .
He he
shoots shoot
out out
these these
sticky sticky
webs web
to to
entangle entangle
his his
enemy enemy
. .
Of of
course course
, ,
sea sea
cucumbers cucumber
shoot shoot
them them
out out
their their
rears rear
, ,
which which
, ,
in in
my my
opinion opinion
, ,
makes make
them them
much much
more more
interesting interesting
a a
superhero superhero
. .
He he
can can
' '
t t
spin spin
a a
web web
anytime anytime
; ;
he he
' '
s s
got get
to to
pull pull
his his
pants pant
down down
first first
. .
Or or
the the
blowfish blowfish
. .
The the
blowfish blowfish
is be
like like
the the
Incredible incredible
Hulk hulk
. .
It it
can can
change change
its its
body body
into into
a a
big big
, ,
intimidating intimidating
fish fish
in in
a a
matter matter
of of
seconds second
. .
I i
' '
m m
going go
to to
draw draw
this this
blowfish blowfish
uninflated uninflated
. .
And and
then then
I i
' '
m m
going go
to to
attempt attempt
onscreen onscreen
animation animation
here here
. .
Let let
' '
s s
see see
. .
Try try
and and
inflate inflate
it it
. .
" "
You you
talkin talkin
' '
to to
me me
? ?
" "
See see
, ,
he he
can can
inflate inflate
himself himself
when when
he he
wants want
to to
be be
intimidating intimidating
. .
Or or
take take
this this
swordfish swordfish
. .
Could could
you you
imagine imagine
being be
born bear
with with
a a
tool tool
for for
a a
nose nose
? ?
Do do
you you
think think
he he
wakes wake
up up
in in
the the
morning morning
, ,
looks look
in in
the the
mirror mirror
and and
says say
, ,
" "
Somebody somebody
' '
s s
getting get
stabbed stab
today today
. .
" "
Or or
this this
lionfish lionfish
for for
instance instance
. .
Imagine imagine
trying try
to to
make make
friends friend
covered cover
with with
razor-sharp razor-sharp
poisonous poisonous
barbs barb
. .
It it
' '
s s
not not
something something
you you
want want
to to
put put
on on
your your
Facebook facebook
page page
, ,
right right
? ?
My my
characters character
are be
— -
my my
lead lead
character character
' '
s s
a a
shark shark
named name
Sherman sherman
. .
He he
' '
s s
a a
great great
white white
shark shark
. .
And and
I i
kind kind
of of
broke broke
the the
mold mold
with with
Sherman sherman
. .
I i
didn didn
' '
t t
want want
to to
go go
with with
this this
ruthless ruthless
predator predator
image image
. .
He he
' '
s s
kind kind
of of
just just
out out
there there
making make
a a
living living
. .
He he
' '
s s
sort sort
of of
a a
Homer homer
Simpson simpson
with with
fins fin
. .
And and
then then
his his
sidekick sidekick
is be
a a
sea sea
turtle turtle
, ,
as as
I i
mentioned mention
before before
, ,
named name
Filmore filmore
. .
He he
uses use
his his
wonderful wonderful
skills skill
at at
navigation navigation
to to
wander wander
the the
oceans ocean
, ,
looking look
for for
a a
mate mate
. .
And and
he he
does do
manage manage
to to
find find
them them
, ,
but but
great great
navigation navigation
skills skill
, ,
lousy lousy
pick-up pick-up
lines line
. .
He he
never never
seems seem
to to
settle settle
on on
any any
particular particular
girl girl
. .
I i
have have
a a
hermit hermit
crab crab
named name
Hawthorne hawthorne
, ,
who who
doesn doesn
' '
t t
get get
a a
lot lot
of of
respect respect
as as
a a
hermit hermit
crab crab
, ,
so so
he he
kind kind
of of
wishes wish
he he
were be
a a
great great
white white
shark shark
. .
And and
then then
I i
' '
ll ll
introduce introduce
you you
to to
one one
more more
character character
, ,
this this
guy guy
, ,
Ernest ernest
, ,
who who
is be
basically basically
a a
juvenile juvenile
delinquent delinquent
in in
a a
fish fish
body body
. .
So so
with with
characters character
, ,
you you
can can
make make
stories story
. .
Sometimes sometimes
making make
a a
story story
is be
as as
easy easy
as as
putting put
two two
characters character
in in
a a
room room
and and
seeing seeing
what what
happens happen
. .
So so
, ,
imagine imagine
a a
great great
white white
shark shark
and and
a a
giant giant
squid squid
in in
the the
same same
bathroom bathroom
. .
Or or
, ,
sometimes sometimes
I i
take take
them them
to to
places place
that that
people people
have have
never never
heard hear
of of
because because
they they
' '
re re
underwater underwater
. .
For for
instance instance
, ,
I i
took take
them them
skiing ski
in in
the the
Mid-Atlantic mid-atlantic
Range range
, ,
which which
is be
this this
range range
of of
mountains mountain
in in
the the
middle middle
of of
the the
Atlantic atlantic
. .
I i
' '
ve ve
taken take
them them
to to
the the
Sea sea
of of
Japan japan
, ,
where where
they they
met meet
giant giant
jellyfish jellyfish
. .
I i
' '
ve ve
taken take
them them
camping camping
in in
the the
kelp kelp
forests forest
of of
California california
. .
This this
next next
one one
here here
, ,
I i
did do
a a
story story
on on
the the
census census
of of
marine marine
life life
. .
And and
that that
was be
a a
lot lot
of of
fun fun
because because
, ,
as as
most most
of of
you you
know know
, ,
it it
' '
s s
a a
real real
project project
we we
' '
ve ve
heard hear
about about
. .
But but
it it
was be
a a
chance chance
for for
me me
to to
introduce introduce
readers reader
to to
a a
lot lot
of of
crazy crazy
undersea undersea
characters character
. .
So so
we we
start start
off off
the the
story story
with with
Ernest ernest
, ,
who who
volunteers volunteer
as as
a a
census census
taker taker
. .
He he
goes go
down down
and and
he he
meets meet
this this
famous famous
anglerfish anglerfish
. .
Then then
he he
meets meet
the the
yeti yeti
crab crab
, ,
the the
famous famous
vampire vampire
squid squid
— -
elusive elusive
, ,
hard hard
to to
find find
— -
and and
the the
Dumbo dumbo
octopus octopus
, ,
which which
looks look
so so
much much
like like
a a
cartoon cartoon
in in
real real
life life
that that
really really
didn didn
' '
t t
have have
to to
change change
a a
thing thing
when when
I i
drew draw
it it
. .
I i
did do
another another
story story
on on
marine marine
debris debris
. .
I i
was be
speaking speak
to to
a a
lot lot
of of
my my
friends friend
in in
the the
conservation conservation
business business
, ,
and and
they they
— -
I i
asked ask
them them
, ,
" "
So so
what what
' '
s s
one one
issue issue
you you
would would
like like
everyone everyone
to to
know know
more more
about about
? ?
" "
And and
they they
said say
— -
this this
one one
friend friend
of of
mine mine
said say
, ,
" "
I i
' '
ve ve
got get
one one
word word
for for
you you
: :
plastic plastic
. .
" "
And and
I i
told tell
him him
, ,
" "
Well well
, ,
I i
need need
something something
a a
little little
sexier sexy
than than
that that
. .
Plastic plastic
just just
is be
not not
going go
to to
do do
it it
. .
" "
We we
sort sort
of of
worked work
things thing
out out
. .
He he
wanted want
me me
to to
use use
words word
like like
polyvinyl polyvinyl
chloride chloride
, ,
which which
doesn doesn
' '
t t
really really
work work
in in
voice voice
balloons balloon
very very
well well
. .
I i
couldn couldn
' '
t t
fit fit
them them
in in
. .
So so
what what
I i
did do
was be
I i
made make
an an
adventure adventure
strip strip
. .
Basically basically
, ,
this this
bottle bottle
travels travel
a a
long long
way way
. .
What what
I i
' '
m m
trying try
to to
tell tell
readers reader
is be
that that
plastic plastic
doesn doesn
' '
t t
really really
go go
away away
; ;
it it
just just
continues continue
to to
wash wash
downstream downstream
. .
And and
a a
lot lot
of of
it it
ends end
up up
washing washing
into into
the the
ocean ocean
, ,
which which
is be
a a
great great
story story
if if
you you
attach attach
a a
couple couple
characters character
to to
it it
, ,
especially especially
if if
they they
can can
' '
t t
stand stand
each each
other other
, ,
like like
these these
two two
. .
So so
, ,
I i
sent send
them them
to to
Boise boise
, ,
Idaho idaho
, ,
where where
they they
dropped drop
a a
plastic plastic
bottle bottle
into into
the the
Boise boise
sewer sewer
system system
. .
And and
it it
ended end
up up
in in
the the
Boise boise
River river
and and
then then
on on
to to
the the
Columbia columbia
River river
and and
then then
to to
the the
mouth mouth
of of
the the
Columbia columbia
and and
to to
the the
Pacific pacific
Ocean ocean
and and
then then
on on
to to
this this
place place
called call
the the
Great great
Pacific pacific
Garbage garbage
Patch patch
— -
which which
is be
this this
giant giant
Pacific pacific
gyre gyre
in in
the the
North north
Pacific pacific
, ,
where where
a a
lot lot
of of
this this
plastic plastic
ends end
up up
floating float
around around
— -
and and
then then
back back
onto onto
the the
lagoon lagoon
. .
So so
that that
was be
basically basically
a a
buddy buddy
story story
with with
a a
plastic plastic
bottle bottle
following follow
along along
. .
So so
a a
lot lot
of of
people people
remember remember
the the
plastic plastic
bottle bottle
anyway anyway
, ,
but but
we we
really really
talked talk
about about
marine marine
debris debris
and and
plastic plastic
in in
the the
course course
of of
that that
one one
. .
The the
third third
storyline storyline
I i
did do
about about
a a
year year
and and
a a
half half
ago ago
was be
probably probably
my my
most most
difficult difficult
. .
It it
was be
on on
shark shark
finning fin
, ,
and and
I i
felt feel
really really
strongly strongly
about about
this this
issue issue
. .
And and
I i
felt feel
like like
, ,
since since
my my
main main
character character
was be
a a
shark shark
, ,
the the
comic comic
strip strip
was be
a a
perfect perfect
vehicle vehicle
for for
telling tell
the the
public public
about about
this this
. .
Now now
, ,
finning fin
is be
the the
act act
of of
taking take
a a
shark shark
, ,
cutting cut
the the
valuable valuable
fins fin
off off
and and
throwing throw
the the
live live
animal animal
back back
in in
the the
water water
. .
It it
' '
s s
cruel cruel
, ,
it it
' '
s s
wasteful wasteful
. .
There there
' '
s s
nothing nothing
funny funny
or or
entertaining entertaining
about about
it it
, ,
but but
I i
really really
wanted want
to to
take take
this this
issue issue
on on
. .
I i
had have
to to
kill kill
my my
main main
character character
, ,
who who
is be
a a
shark shark
. .
We we
start start
with with
Sherman sherman
in in
a a
Chinese chinese
restaurant restaurant
, ,
who who
gets get
a a
fortune fortune
that that
he he
' '
s s
about about
to to
get get
caught catch
by by
a a
trawler trawler
, ,
which which
he he
does do
. .
And and
then then
he he
dies die
. .
He he
gets get
finned fin
, ,
and and
then then
he he
gets get
thrown throw
overboard overboard
. .
Ostensibly ostensibly
, ,
he he
' '
s s
dead dead
now now
. .
And and
so so
I i
killed kill
a a
character character
that that
' '
s s
been be
in in
the the
newspaper newspaper
for for
15 @card@
years year
. .
So so
I i
got get
a a
lot lot
of of
reader reader
feedback feedback
on on
that that
one one
. .
Meanwhile meanwhile
, ,
the the
other other
characters character
are be
talking talk
about about
shark shark
fin fin
soup soup
. .
I i
do do
three three
or or
four four
strips strip
after after
that that
where where
we we
explore explore
the the
finning fin
issue issue
and and
the the
shark shark
fin fin
soup soup
issue issue
. .
Sherman sherman
' '
s s
up up
in in
shark shark
heaven heaven
. .
This this
is be
what what
I i
love love
about about
comic comic
strips strip
, ,
you you
know know
. .
You you
really really
don don
' '
t t
have have
to to
worry worry
about about
the the
audience audience
suspending suspend
its its
sense sense
of of
disbelief disbelief
because because
, ,
if if
you you
start start
with with
a a
talking talk
shark shark
, ,
readers reader
pretty pretty
much much
check check
their their
disbelief disbelief
at at
the the
door door
. .
You you
can can
kind kind
of of
do do
anything anything
. .
It it
becomes become
a a
near-death near-death
experience experience
for for
Sherman sherman
. .
Meanwhile meanwhile
, ,
Ernest ernest
finds find
his his
fins fin
on on
the the
internet internet
. .
There there
was be
a a
real real
website website
based base
in in
China china
that that
actually actually
sold sell
shark shark
fins fin
, ,
so so
I @card@
kind kind
of of
exposed expose
that that
. .
And and
he he
clicks click
the the
" "
buy buy
now now
" "
button button
. .
And and
voila voila
, ,
next-day next-day
air air
, ,
they they
show show
up up
, ,
and and
they they
surgically surgically
reattach reattach
them them
. .
I i
ended end
that that
series series
with with
a a
kind kind
of of
a a
mail-in mail-in
petition petition
that that
encouraged encourage
our our
National national
Marine marine
Fishery fishery
Service service
, ,
to to
force force
other other
countries country
to to
have have
a a
stronger strong
stance stance
with with
shark shark
management management
. .
Thanks thanks
. .
I i
' '
d d
like like
to to
end end
with with
a a
little little
metaphor metaphor
here here
. .
I i
' '
ve ve
been be
trying try
to to
think think
of of
a a
metaphor metaphor
to to
represent represent
Mission mission
Blue blue
, ,
and and
this this
is be
what what
I i
came come
up up
with with
. .
Imagine imagine
you you
' '
re re
in in
an an
enormous enormous
room room
, ,
and and
it it
' '
s s
as as
dark dark
as as
a a
cave cave
. .
And and
you you
can can
have have
anything anything
in in
that that
room room
, ,
anything anything
you you
want want
, ,
but but
you you
can can
' '
t t
see see
anything anything
. .
You you
' '
ve ve
been be
given give
one one
tool tool
, ,
a a
hammer hammer
. .
So so
you you
wander wander
around around
in in
the the
darkness darkness
, ,
and and
you you
bump bump
into into
something something
, ,
and and
it it
feels feel
like like
it it
' '
s s
made make
of of
stone stone
. .
It it
' '
s s
big big
, ,
it it
' '
s s
heavy heavy
. .
You you
can can
' '
t t
carry carry
it it
away away
, ,
so so
you you
bang bang
it it
with with
your your
hammer hammer
, ,
and and
you you
break break
off off
a a
piece piece
. .
And and
you you
take take
the the
piece piece
out out
into into
the the
daylight daylight
. .
And and
you you
see see
you you
have have
a a
beautiful beautiful
piece piece
of of
white white
alabaster alabaster
. .
So so
you you
say say
to to
yourself yourself
, ,
" "
Well well
, ,
that that
' '
s s
worth worth
something something
. .
" "
So so
you you
go go
back back
into into
the the
room room
, ,
and and
you you
break break
this this
thing thing
to to
pieces piece
, ,
and and
you you
haul haul
it it
away away
. .
And and
you you
find find
other other
things thing
, ,
and and
you you
break break
that that
up up
, ,
and and
you you
haul haul
those those
away away
. .
And and
you you
' '
re re
getting get
all all
kinds kind
of of
cool cool
stuff stuff
. .
And and
you you
hear hear
other other
people people
doing do
the the
same same
thing thing
. .
So so
you you
get get
this this
sense sense
of of
urgency urgency
, ,
like like
you you
need need
to to
find find
as as
much much
stuff stuff
as as
possible possible
as as
soon soon
as as
possible possible
. .
And and
then then
some some
yells yell
, ,
" "
Stop stop
! !
" "
And and
they they
turn turn
up up
the the
lights light
. .
And and
you you
realize realize
where where
you you
are be
; ;
you you
' '
re re
in in
the the
Louvre louvre
. .
And and
you you
' '
ve ve
taken take
all all
this this
complexity complexity
and and
beauty beauty
, ,
and and
you you
' '
ve ve
turned turn
it it
into into
a a
cheap cheap
commodity commodity
. .
And and
that that
' '
s s
what what
we we
' '
re re
doing do
with with
the the
ocean ocean
. .
And and
part part
of of
what what
Mission mission
Blue blue
is be
about about
is be
yelling yell
, ,
" "
Stop stop
! !
" "
so so
that that
each each
of of
us us
— -
explorer explorer
, ,
scientist scientist
, ,
cartoonist cartoonist
, ,
singer singer
, ,
chef chef
— -
can can
turn turn
up up
the the
lights light
in in
their their
own own
way way
. .
And and
that that
' '
s s
what what
I i
hope hope
my my
comic comic
strip strip
does do
in in
a a
small small
way way
. .
That that
' '
s s
why why
I i
like like
what what
I i
do do
. .
Thanks thanks
for for
listening listen
. .
