Let let
have have
caps cap
on on
them them
. .
Bottles bottle
made make
of of
polyethylene polyethylene
terephthalate terephthalate
, ,
PET pet
, ,
will will
sink sink
in in
seawater seawater
and and
not not
make make
it it
this this
far far
from from
civilization civilization
. .
Also also
, ,
the the
caps cap
are be
produced produce
in in
separate separate
factories factory
from from
a a
different different
plastic plastic
, ,
polypropylene polypropylene
. .
They they
will will
float float
in in
seawater seawater
, ,
but but
unfortunately unfortunately
do do
not not
get get
recycled recycle
under under
the the
bottle bottle
bills bill
. .
Let let
' '
s s
trace trace
the the
journey journey
of of
the the
millions million
of of
caps cap
that that
make make
it it
to to
sea sea
solo solo
. .
After after
a a
year year
the the
ones one
from from
Japan japan
are be
heading head
straight straight
across across
the the
Pacific pacific
, ,
while while
ours ours
get get
caught catch
in in
the the
California california
current current
and and
first first
head head
down down
to to
the the
latitude latitude
of of
Cabo cabo
San san
Lucas lucas
. .
After after
ten ten
years year
, ,
a a
lot lot
of of
the the
Japanese japanese
caps cap
are be
in in
what what
we we
call call
the the
Eastern eastern
Garbage garbage
Patch patch
, ,
while while
ours ours
litter litter
the the
Philippines philippine
. .
After after
20 @card@
years year
, ,
we we
see see
emerging emerge
the the
debris debris
accumulation accumulation
zone zone
of of
the the
North north
Pacific pacific
Gyre gyre
. .
It it
so so
happens happen
that that
millions million
of of
albatross albatross
nesting nest
on on
Kure kure
and and
Midway midway
atolls atoll
in in
the the
Northwest northwest
Hawaiian hawaiian
Islands islands
National national
Monument monument
forage forage
here here
and and
scavenge scavenge
whatever whatever
they they
can can
find find
for for
regurgitation regurgitation
to to
their their
chicks chick
. .
A a
four-month four-month
old old
Laysan laysan
Albatross albatross
chick chick
died die
with with
this this
in in
its its
stomach stomach
. .
Hundreds hundred
of of
thousands thousand
of of
the the
goose-sized goose-sized
chicks chick
are be
dying die
with with
stomachs stomach
full full
of of
bottle bottle
caps cap
and and
other other
rubbish rubbish
, ,
like like
cigarette cigarette
lighters lighter
. .
. .
. .
but but
, ,
mostly mostly
bottle bottle
caps cap
. .
Sadly sadly
, ,
their their
parents parent
mistake mistake
bottle bottle
caps cap
for for
food food
tossing toss
about about
in in
the the
ocean ocean
surface surface
. .
The the
retainer retainer
rings ring
for for
the the
caps cap
also also
have have
consequences consequence
for for
aquatic aquatic
animals animal
. .
This this
is be
Mae mae
West west
, ,
still still
alive alive
at at
a a
zookeeper zookeeper
' '
s s
home home
in in
New new
Orleans orleans
. .
I i
wanted want
to to
see see
what what
my my
home home
town town
of of
Long long
Beach beach
was be
contributing contribute
to to
the the
problem problem
, ,
so so
on on
Coastal coastal
Clean-Up clean-up
Day day
in in
2005 @card@
I i
went go
to to
the the
Long long
Beach beach
Peninsula peninsula
, ,
at at
the the
east east
end end
of of
our our
long long
beach beach
. .
We we
cleaned clean
up up
the the
swaths swath
of of
beach beach
shown show
. .
I i
offered offer
five five
cents cent
each each
for for
bottle bottle
caps cap
. .
I i
got get
plenty plenty
of of
takers taker
. .
Here here
are be
the the
1 @card@
, ,
100 @card@
bottle bottle
caps cap
they they
collected collect
. .
I i
thought think
I i
would would
spend spend
20 @card@
bucks buck
. .
That that
day day
I i
ended end
up up
spending spend
nearly nearly
60 @card@
. .
I i
separated separate
them them
by by
color color
and and
put put
them them
on on
display display
the the
next next
Earth earth
Day day
at at
Cabrillo cabrillo
Marine marine
Aquarium aquarium
in in
San san
Pedro pedro
. .
Governor governor
Schwarzenegger schwarzenegger
and and
his his
wife wife
Maria maria
stopped stop
by by
to to
discuss discuss
the the
display display
. .
In in
spite spite
of of
my my
" "
girly girly
man man
" "
hat hat
, ,
crocheted crochet
from from
plastic plastic
shopping shopping
bags bag
, ,
they they
shook shake
my my
hand hand
. .
I i
showed show
him him
and and
Maria maria
a a
zooplankton zooplankton
trawl trawl
from from
the the
gyre gyre
north north
of of
Hawaii hawaii
with with
more more
plastic plastic
than than
plankton plankton
. .
Here here
' '
s s
what what
our our
trawl trawl
samples sample
from from
the the
plastic plastic
soup soup
our our
ocean ocean
has have
become become
look look
like like
. .
Trawling trawl
a a
zooplankton zooplankton
net net
on on
the the
surface surface
for for
a a
mile mile
produces produce
samples sample
like like
this this
. .
And and
this this
. .
Now now
, ,
when when
the the
debris debris
washes wash
up up
on on
the the
beaches beach
of of
Hawaii hawaii
it it
looks look
like like
this this
. .
And and
this this
particular particular
beach beach
is be
Kailua kailua
Beach beach
, ,
the the
beach beach
where where
our our
president president
and and
his his
family family
vacationed vacation
before before
moving move
to to
Washington washington
. .
Now now
, ,
how how
do do
we we
analyze analyze
samples sample
like like
this this
one one
that that
contain contain
more more
plastic plastic
than than
plankton plankton
? ?
We we
sort sort
the the
plastic plastic
fragments fragment
into into
different different
size size
classes class
, ,
from from
five five
millimeters millimeter
to to
one-third one-third
of of
a a
millimeter millimeter
. .
Small small
bits bit
of of
plastic plastic
concentrate concentrate
persistent persistent
organic organic
pollutants pollutant
up up
to to
a a
million million
times time
their their
levels level
in in
the the
surrounding surrounding
seawater seawater
. .
We we
wanted want
to to
see see
if if
the the
most most
common common
fish fish
in in
the the
deep deep
ocean ocean
, ,
at at
the the
base base
of of
the the
food food
chain chain
, ,
was be
ingesting ingest
these these
poison poison
pills pill
. .
We we
did do
hundreds hundred
of of
necropsies necropsy
, ,
and and
over over
a a
third third
had have
polluted pollute
plastic plastic
fragments fragment
in in
their their
stomachs stomach
. .
The the
record- record-
holder holder
, ,
only only
two-and-a-half two-and-a-half
inches inch
long long
, ,
had have
84 @card@
pieces piece
in in
its its
tiny tiny
stomach stomach
. .
Now now
, ,
you you
can can
buy buy
certified certified
organic organic
produce produce
. .
But but
no no
fishmonger fishmonger
on on
Earth earth
can can
sell sell
you you
a a
certified certified
organic organic
wild-caught wild-caught
fish fish
. .
This this
is be
the the
legacy legacy
we we
are be
leaving leave
to to
future future
generations generation
. .
The the
throwaway throwaway
society society
cannot can
be be
contained contain
— -
it it
has have
gone go
global global
. .
We we
simply simply
cannot can
store store
and and
maintain maintain
or or
recycle recycle
all all
our our
stuff stuff
. .
We we
have have
to to
throw throw
it it
away away
. .
Now now
, ,
the the
market market
can can
do do
a a
lot lot
for for
us us
, ,
but but
it it
can can
' '
t t
fix fix
the the
natural natural
system system
in in
the the
ocean ocean
we we
' '
ve ve
broken break
. .
All all
the the
king king
' '
s s
horses horse
and and
all all
the the
king king
' '
s s
men man
. .
. .
. .
will will
never never
gather gather
up up
all all
the the
plastic plastic
and and
put put
the the
ocean ocean
back back
together together
again again
. .
Narrator narrator
: :
The the
levels level
are be
increasing increase
, ,
the the
amount amount
of of
packaging packaging
is be
increasing increase
, ,
the the
" "
throwaway throwaway
" "
concept concept
of of
living living
is be
proliferating proliferate
, ,
and and
it it
' '
s s
showing show
up up
in in
the the
ocean ocean
. .
Anchor anchor
: :
He he
offers offer
no no
hope hope
of of
cleaning clean
it it
up up
. .
Straining strain
the the
ocean ocean
for for
plastic plastic
would would
be be
beyond beyond
the the
budget budget
of of
any any
country country
and and
it it
might might
kill kill
untold untold
amounts amount
of of
sea sea
life life
in in
the the
process process
. .
The the
solution solution
, ,
Moore moore
says say
, ,
is be
to to
stop stop
the the
plastic plastic
at at
its its
source source
: :
stop stop
it it
on on
land land
before before
it it
falls fall
in in
the the
ocean ocean
. .
And and
in in
a a
plastic- plastic-
wrapped wrap
and and
packaged package
world world
, ,
he he
doesn doesn
' '
t t
hold hold
out out
much much
hope hope
for for
that that
, ,
either either
. .
This this
is be
Brian brian
Rooney rooney
for for
Nightline nightline
, ,
in in
Long long
Beach beach
, ,
California california
. .
Charles charles
Moore moore
: :
Thank thank
you you
. .
