15 @card@
, ,
have have
invented invent
the the
legal legal
definitions definition
of of
races race
. .
And and
it it
' '
s s
not not
just just
the the
view view
of of
social social
scientists scientist
. .
You you
remember remember
when when
the the
map map
of of
the the
human human
genome genome
was be
unveiled unveil
at at
a a
White white
House house
ceremony ceremony
in in
June june
2000 @card@
? ?
President president
Bill bill
Clinton clinton
famously famously
declared declare
, ,
" "
I i
believe believe
one one
of of
the the
great great
truths truth
to to
emerge emerge
from from
this this
triumphant triumphant
expedition expedition
inside inside
the the
human human
genome genome
is be
that that
in in
genetic genetic
terms term
, ,
human human
beings being
, ,
regardless regardless
of of
race race
, ,
are be
more more
than than
99 @card@
. .
9 @card@
percent percent
the the
same same
. .
" "
And and
he he
might might
have have
added add
that that
that that
less less
than than
one one
percent percent
of of
genetic genetic
difference difference
doesn doesn
' '
t t
fall fall
into into
racial racial
boxes box
. .
Francis francis
Collins collins
, ,
who who
led lead
the the
Human human
Genome genome
Project project
and and
now now
heads head
NIH nih
, ,
echoed echo
President president
Clinton clinton
. .
" "
I i
am be
happy happy
that that
today today
, ,
the the
only only
race race
we we
' '
re re
talking talk
about about
is be
the the
human human
race race
. .
" "
Doctors doctor
are be
supposed suppose
to to
practice practice
evidence-based evidence-based
medicine medicine
, ,
and and
they they
' '
re re
increasingly increasingly
called call
to to
join join
the the
genomic genomic
revolution revolution
. .
But but
their their
habit habit
of of
treating treat
patients patient
by by
race race
lags lag
far far
behind behind
. .
Take take
the the
estimate estimate
of of
glomerular glomerular
filtration filtration
rate rate
, ,
or or
GFR gfr
. .
Doctors doctor
routinely routinely
interpret interpret
GFR gfr
, ,
this this
important important
indicator indicator
of of
kidney kidney
function function
, ,
by by
race race
. .
As as
you you
can can
see see
in in
this this
lab lab
test test
, ,
the the
exact exact
same same
creatinine creatinine
level level
, ,
the the
concentration concentration
in in
the the
blood blood
of of
the the
patient patient
, ,
automatically automatically
produces produce
a a
different different
GFR gfr
estimate estimate
depending depend
on on
whether whether
or or
not not
the the
patient patient
is be
African-American african-american
. .
Why why
? ?
I i
' '
ve ve
been be
told tell
it it
' '
s s
based base
on on
an an
assumption assumption
that that
African-Americans african-americans
have have
more more
muscle muscle
mass mass
than than
people people
of of
other other
races race
. .
But but
what what
sense sense
does do
it it
make make
for for
a a
doctor doctor
to to
automatically automatically
assume assume
I i
have have
more more
muscle muscle
mass mass
than than
that that
female female
bodybuilder bodybuilder
? ?
Wouldn wouldn
' '
t t
it it
be be
far far
more more
accurate accurate
and and
evidence-based evidence-based
to to
determine determine
the the
muscle muscle
mass mass
of of
individual individual
patients patient
just just
by by
looking look
at at
them them
? ?
Well well
, ,
doctors doctor
tell tell
me me
they they
' '
re re
using use
race race
as as
a a
shortcut shortcut
. .
It it
' '
s s
a a
crude crude
but but
convenient convenient
proxy proxy
for for
more more
important important
factors factor
, ,
like like
muscle muscle
mass mass
, ,
enzyme enzyme
level level
, ,
genetic genetic
traits trait
they they
just just
don don
' '
t t
have have
time time
to to
look look
for for
. .
But but
race race
is be
a a
bad bad
proxy proxy
. .
In in
many many
cases case
, ,
race race
adds add
no no
relevant relevant
information information
at at
all all
. .
It it
' '
s s
just just
a a
distraction distraction
. .
But but
race race
also also
tends tend
to to
overwhelm overwhelm
the the
clinical clinical
measures measure
. .
It it
blinds blind
doctors doctor
to to
patients patient
' '
symptoms symptom
, ,
family family
illnesses illness
, ,
their their
history history
, ,
their their
own own
illnesses illness
they they
might might
have have
— -
all all
more more
evidence-based evidence-based
than than
the the
patient patient
' '
s s
race race
. .
Race race
can can
' '
t t
substitute substitute
for for
these these
important important
clinical clinical
measures measure
without without
sacrificing sacrifice
patient patient
well-being well-being
. .
Doctors doctor
also also
tell tell
me me
race race
is be
just just
one one
of of
many many
factors factor
they they
take take
into into
account account
, ,
but but
there there
are be
numerous numerous
medical medical
tests test
, ,
like like
the the
GFR gfr
, ,
that that
use use
race race
categorically categorically
to to
treat treat
black black
, ,
white white
, ,
Asian asian
patients patient
differently differently
just just
because because
of of
their their
race race
. .
Race race
medicine medicine
also also
leaves leave
patients patient
of of
color color
especially especially
vulnerable vulnerable
to to
harmful harmful
biases bias
and and
stereotypes stereotype
. .
Black black
and and
Latino latino
patients patient
are be
twice twice
as as
likely likely
to to
receive receive
no no
pain pain
medication medication
as as
whites white
for for
the the
same same
painful painful
long long
bone bone
fractures fracture
because because
of of
stereotypes stereotype
that that
black black
and and
brown brown
people people
feel feel
less less
pain pain
, ,
exaggerate exaggerate
their their
pain pain
, ,
and and
are be
predisposed predispose
to to
drug drug
addiction addiction
. .
The the
Food food
and and
Drug drug
Administration administration
has have
even even
approved approve
a a
race-specific race-specific
medicine medicine
. .
It it
' '
s s
a a
pill pill
called call
BiDil bidil
to to
treat treat
heart heart
failure failure
in in
self-identified self-identified
African- african-
American american
patients patient
. .
A a
cardiologist cardiologist
developed develop
this this
drug drug
without without
regard regard
to to
race race
or or
genetics genetics
, ,
but but
it it
became become
convenient convenient
for for
commercial commercial
reasons reason
to to
market market
the the
drug drug
to to
black black
patients patient
. .
The the
FDA fda
then then
allowed allow
the the
company company
, ,
the the
drug drug
company company
, ,
to to
test test
the the
efficacy efficacy
in in
a a
clinical clinical
trial trial
that that
only only
included include
African-American african-american
subjects subject
. .
It it
speculated speculate
that that
race race
stood stand
in in
as as
a a
proxy proxy
for for
some some
unknown unknown
genetic genetic
factor factor
that that
affects affect
heart heart
disease disease
or or
response response
to to
drugs drug
. .
But but
think think
about about
the the
dangerous dangerous
message message
it it
sent send
, ,
that that
black black
people people
' '
s s
bodies body
are be
so so
substandard substandard
, ,
a a
drug drug
tested test
in in
them them
is be
not not
guaranteed guarantee
to to
work work
in in
other other
patients patient
. .
In in
the the
end end
, ,
the the
drug drug
company company
' '
s s
marketing marketing
scheme scheme
failed fail
. .
For for
one one
thing thing
, ,
black black
patients patient
were be
understandably understandably
wary wary
of of
using use
a a
drug drug
just just
for for
black black
people people
. .
One one
elderly elderly
black black
woman woman
stood stand
up up
in in
a a
community community
meeting meeting
and and
shouted shout
, ,
" "
Give give
me me
what what
the the
white white
people people
are be
taking take
! !
" "
And and
if if
you you
find find
race-specific race-specific
medicine medicine
surprising surprising
, ,
wait wait
until until
you you
learn learn
that that
many many
doctors doctor
in in
the the
United united
States states
still still
use use
an an
updated update
version version
of of
a a
diagnostic diagnostic
tool tool
that that
was be
developed develop
by by
a a
physician physician
during during
the the
slavery slavery
era era
, ,
a a
diagnostic diagnostic
tool tool
that that
is be
tightly tightly
linked link
to to
justifications justification
for for
slavery slavery
. .
Dr dr
. .
Samuel samuel
Cartwright cartwright
graduated graduate
from from
the the
University university
of of
Pennsylvania pennsylvania
Medical medical
School school
. .
He he
practiced practice
in in
the the
Deep deep
South south
before before
the the
Civil civil
War war
, ,
and and
he he
was be
a a
well- well-
known known
expert expert
on on
what what
was be
then then
called call
" "
Negro negro
medicine medicine
. .
" "
He he
promoted promote
the the
racial racial
concept concept
of of
disease disease
, ,
that that
people people
of of
different different
races race
suffer suffer
from from
different different
diseases disease
and and
experience experience
common common
diseases disease
differently differently
. .
Cartwright cartwright
argued argue
in in
the the
1850s 1850s
that that
slavery slavery
was be
beneficial beneficial
for for
black black
people people
for for
medical medical
reasons reason
. .
He he
claimed claim
that that
because because
black black
people people
have have
lower low
lung lung
capacity capacity
than than
whites white
, ,
forced force
labor labor
was be
good good
for for
them them
. .
He he
wrote write
in in
a a
medical medical
journal journal
, ,
" "
It it
is be
the the
red red
vital vital
blood blood
sent send
to to
the the
brain brain
that that
liberates liberate
their their
minds mind
when when
under under
the the
white white
man man
' '
s s
control control
, ,
and and
it it
is be
the the
want want
of of
sufficiency sufficiency
of of
red red
vital vital
blood blood
that that
chains chain
their their
minds mind
to to
ignorance ignorance
and and
barbarism barbarism
when when
in in
freedom freedom
. .
" "
To to
support support
this this
theory theory
, ,
Cartwright cartwright
helped help
to to
perfect perfect
a a
medical medical
device device
for for
measuring measure
breathing breathing
called call
the the
spirometer spirometer
to to
show show
the the
presumed presumed
deficiency deficiency
in in
black black
people people
' '
s s
lungs lung
. .
Today today
, ,
doctors doctor
still still
uphold uphold
Cartwright cartwright
' '
s s
claim claim
the the
black black
people people
as as
a a
race race
have have
lower low
lung lung
capacity capacity
than than
white white
people people
. .
Some some
even even
use use
a a
modern modern
day day
spirometer spirometer
that that
actually actually
has have
a a
button button
labeled label
" "
race race
" "
so so
the the
machine machine
adjusts adjust
the the
measurement measurement
for for
each each
patient patient
according accord
to to
his his
or or
her her
race race
. .
It it
' '
s s
a a
well-known well-known
function function
called call
" "
correcting correct
for for
race race
. .
" "
The the
problem problem
with with
race race
medicine medicine
extends extend
far far
beyond beyond
misdiagnosing misdiagnose
patients patient
. .
Its its
focus focus
on on
innate innate
racial racial
differences difference
in in
disease disease
diverts divert
attention attention
and and
resources resource
from from
the the
social social
determinants determinant
that that
cause cause
appalling appalling
racial racial
gaps gap
in in
health health
: :
lack lack
of of
access access
to to
high-quality high-quality
medical medical
care care
; ;
food food
deserts desert
in in
poor poor
neighborhoods neighborhood
; ;
exposure exposure
to to
environmental environmental
toxins toxin
; ;
high high
rates rate
of of
incarceration incarceration
; ;
and and
experiencing experience
the the
stress stress
of of
racial racial
discrimination discrimination
. .
You you
see see
, ,
race race
is be
not not
a a
biological biological
category category
that that
naturally naturally
produces produce
these these
health health
disparities disparity
because because
of of
genetic genetic
difference difference
. .
Race race
is be
a a
social social
category category
that that
has have
staggering staggering
biological biological
consequences consequence
, ,
but but
because because
of of
the the
impact impact
of of
social social
inequality inequality
on on
people people
' '
s s
health health
. .
Yet yet
race race
medicine medicine
pretends pretend
the the
answer answer
to to
these these
gaps gap
in in
health health
can can
be be
found find
in in
a a
race-specific race-specific
pill pill
. .
It it
' '
s s
much much
easier easy
and and
more more
lucrative lucrative
to to
market market
a a
technological technological
fix fix
for for
these these
gaps gap
in in
health health
than than
to to
deal deal
with with
the the
structural structural
inequities inequity
that that
produce produce
them them
. .
The the
reason reason
I i
' '
m m
so so
passionate passionate
about about
ending end
race race
medicine medicine
isn isn
' '
t t
just just
because because
it it
' '
s s
bad bad
medicine medicine
. .
I i
' '
m m
also also
on on
this this
mission mission
because because
the the
way way
doctors doctor
practice practice
medicine medicine
continues continue
to to
promote promote
a a
false false
and and
toxic toxic
view view
of of
humanity humanity
. .
Despite despite
the the
many many
visionary visionary
breakthroughs breakthrough
in in
medicine medicine
we we
' '
ve ve
been be
learning learn
about about
, ,
there there
' '
s s
a a
failure failure
of of
imagination imagination
when when
it it
comes come
to to
race race
. .
Would would
you you
imagine imagine
with with
me me
, ,
just just
a a
moment moment
: :
What what
would would
happen happen
if if
doctors doctor
stopped stop
treating treat
patients patient
by by
race race
? ?
Suppose suppose
they they
rejected reject
an an
18th-century 18th-century
classification classification
system system
and and
incorporated incorporate
instead instead
the the
most most
advanced advanced
knowledge knowledge
of of
human human
genetic genetic
diversity diversity
and and
unity unity
, ,
that that
human human
beings being
cannot can
be be
categorized categorize
into into
biological biological
races race
? ?
What what
if if
, ,
instead instead
of of
using use
race race
as as
a a
crude crude
proxy proxy
for for
some some
more more
important important
factor factor
, ,
doctors doctor
actually actually
investigated investigate
and and
addressed address
that that
more more
important important
factor factor
? ?
What what
if if
doctors doctor
joined join
the the
forefront forefront
of of
a a
movement movement
to to
end end
the the
structural structural
inequities inequity
caused cause
by by
racism racism
, ,
not not
by by
genetic genetic
difference difference
? ?
Race race
medicine medicine
is be
bad bad
medicine medicine
, ,
it it
' '
s s
poor poor
science science
and and
it it
' '
s s
a a
false false
interpretation interpretation
of of
humanity humanity
. .
It it
is be
more more
urgent urgent
than than
ever ever
to to
finally finally
abandon abandon
this this
backward backward
legacy legacy
and and
to to
affirm affirm
our our
common common
humanity humanity
by by
ending end
the the
social social
inequalities inequality
that that
truly truly
divide divide
us us
. .
Thank thank
you you
. .
Thank thank
you you
. .
Thanks thanks
. .
Thank thank
you you
. .
