When when
nothing nothing
to to
change change
our our
current current
path path
, ,
we we
could could
lose lose
most most
of of
the the
world world
' '
s s
polar polar
bears bear
by by
the the
end end
of of
the the
century century
due due
to to
habitat habitat
loss loss
. .
Populations population
are be
experiencing experience
changes change
at at
different different
rates rate
depending depend
on on
where where
they they
are be
, ,
but but
ultimately ultimately
all all
will will
be be
impacted impact
unless unless
we we
collectively collectively
switch switch
to to
cleaner clean
energies energy
. .
So so
we we
' '
re re
racing racing
time time
to to
tackle tackle
climate climate
change change
in in
the the
long long
term term
and and
in in
the the
short short
term term
, ,
trying try
to to
keep keep
as as
many many
polar polar
bears bear
in in
the the
wild wild
as as
possible possible
. .
But but
in in
the the
short short
term term
, ,
one one
of of
the the
biggest big
hurdles hurdle
these these
charismatic charismatic
megafauna megafauna
face face
is be
us us
. .
Polar polar
bears bear
use use
the the
frozen frozen
ocean ocean
for for
traveling travel
, ,
mating mate
and and
hunting hunt
their their
main main
prey prey
: :
seals seal
. .
Specifically specifically
, ,
high-calorie high-calorie
seal seal
blubber blubber
. .
Polar polar
bears bear
can can
' '
t t
outswim outswim
seals seal
, ,
so so
they they
use use
the the
sea sea
ice ice
to to
sneak sneak
up up
on on
unsuspecting unsuspecting
prey prey
. .
Polar polar
bears bear
need need
sea sea
ice ice
for for
sustenance sustenance
and and
survival survival
, ,
period period
. .
So so
what what
happens happen
when when
ice ice
bears bear
start start
losing lose
their their
ice ice
? ?
They they
get get
stuck stick
on on
land land
and and
they they
get get
hungry hungry
. .
Polar polar
bears bear
want want
and and
need need
blubber blubber
, ,
but but
they they
' '
re re
still still
bears bear
, ,
so so
they they
will will
follow follow
their their
noses nose
to to
fill fill
their their
tummies tummy
, ,
whatever whatever
that that
takes take
. .
But but
it it
takes take
a a
lot lot
. .
Just just
one one
polar polar
bear bear
needs need
a a
lot lot
of of
seals seal
, ,
and and
just just
one one
seal seal
is be
equal equal
to to
about about
74 @card@
snow snow
geese goose
or or
216 @card@
snow snow
goose goose
eggs egg
-- --
it it
' '
s s
a a
big big
omelet omelet
-- --
or or
three three
million million
crowberries crowberry
. .
This this
amount amount
of of
food food
doesn doesn
' '
t t
exist exist
on on
the the
tundra tundra
in in
quantities quantity
great great
enough enough
to to
sustain sustain
a a
population population
of of
blubber-hunting blubber-hunt
ice ice
bears bear
. .
So so
when when
polar polar
bears bear
can can
' '
t t
find find
good good
food food
to to
eat eat
, ,
just just
like like
people people
, ,
they they
' '
ll ll
fill fill
up up
on on
junk junk
food food
. .
And and
for for
polar polar
bears bear
, ,
junk junk
food food
is be
human human
food food
. .
And and
for for
a a
hungry hungry
bear bear
, ,
the the
best well
late-night late-night
fast fast
food food
takeout takeout
can can
be be
their their
northern northern
neighborhood neighborhood
' '
s s
trash trash
. .
But but
we we
have have
a a
saying saying
in in
conservation conservation
: :
a a
fed feed
bear bear
is be
a a
dead dead
bear bear
, ,
and and
this this
has have
major major
implications implication
for for
coexistence coexistence
. .
Many many
people people
work work
and and
live live
across across
the the
north north
, ,
and and
some some
Indigenous indigenous
cultures culture
have have
centuries-old centuries-old
, ,
deep deep
knowledge knowledge
of of
polar polar
bears bear
. .
But but
as as
the the
world world
is be
warming warm
and and
bears bear
are be
spending spend
more more
time time
on on
land land
, ,
more more
people people
are be
moving move
north north
and and
also also
spending spend
more more
time time
on on
the the
land land
and and
bringing bring
with with
them them
more more
food food
and and
more more
garbage garbage
. .
And and
they they
might might
not not
be be
so so
bear bear
aware aware
. .
This this
is be
a a
rising rise
safety safety
concern concern
for for
humans human
who who
are be
always always
the the
number-one number-one
priority priority
. .
It it
' '
s s
also also
a a
concern concern
for for
the the
bears bear
because because
when when
a a
polar polar
bear bear
has have
a a
negative negative
encounter encounter
with with
a a
human human
, ,
it it
risks risk
being be
taken take
out out
of of
the the
population population
in in
a a
defense defense
kill kill
, ,
which which
is be
the the
legal legal
killing killing
of of
an an
animal animal
to to
defend defend
life life
or or
property property
. .
Now now
here here
, ,
I i
should should
also also
mention mention
that that
in in
parts part
of of
the the
range range
, ,
polar polar
bears bear
are be
harvested harvest
under under
a a
quota quota
system system
informed inform
by by
science science
and and
Indigenous indigenous
knowledge knowledge
. .
If if
I i
don don
' '
t t
mention mention
it it
, ,
people people
can can
think think
I i
' '
m m
hiding hide
it it
, ,
and and
when when
I i
do do
, ,
they they
can can
be be
surprised surprise
that that
I i
' '
m m
not not
opposed oppose
. .
It it
is be
incredibly incredibly
important important
that that
we we
protect protect
the the
rights right
of of
Indigenous indigenous
peoples people
to to
practice practice
their their
traditions tradition
. .
And and
right right
now now
that that
practice practice
is be
not not
a a
significant significant
threat threat
to to
the the
species species
. .
Where where
we we
could could
see see
population-level population-level
impacts impact
is be
through through
climate climate
change change
, ,
or or
if if
defense defense
kills kill
, ,
which which
count count
toward toward
quotas quota
, ,
defense defense
kills kill
start start
rising rise
above above
the the
relatively relatively
low low
quotas quota
. .
That that
' '
s s
when when
I i
worry worry
. .
But but
people people
can can
' '
t t
worry worry
about about
conservation conservation
when when
their their
lives life
are be
at at
risk risk
. .
So so
we we
need need
to to
help help
limit limit
negative negative
polar polar
bear bear
encounters encounter
and and
support support
people people
in in
protecting protect
themselves themselves
with with
whatever whatever
tools tool
work work
best good
for for
them them
. .
And and
to to
help help
with with
that that
, ,
we we
can can
provide provide
tools tool
that that
are be
non-lethal non-lethal
. .
Luckily luckily
, ,
non-lethal non-lethal
tools tool
are be
available available
and and
more more
are be
being be
developed develop
, ,
particularly particularly
in in
Canada canada
, ,
which which
is be
home home
to to
two two
thirds third
of of
the the
world world
' '
s s
polar polar
bears bear
. .
And and
one one
of of
the the
best good
testing testing
grounds ground
for for
tools tool
is be
in in
the the
self-proclaimed self-proclaimed
polar polar
bear bear
capital capital
of of
the the
world world
, ,
Churchill churchill
, ,
Manitoba manitoba
. .
Churchill churchill
is be
home home
to to
the the
western western
Hudson hudson
Bay bay
population population
, ,
some some
of of
the the
best-studied best-studied
and and
most-southern most-southern
polar polar
bears bear
in in
the the
world world
. .
In in
this this
region region
, ,
the the
ice-free ice-free
season season
is be
lengthening lengthen
, ,
meaning mean
these these
bears bear
are be
on on
land land
longer long
and and
have have
less less
access access
to to
calories calorie
compared compare
to to
their their
grandparents grandparent
. .
This this
does do
not not
mean mean
all all
the the
bears bear
are be
starving starve
to to
death death
. .
It it
means mean
the the
females female
are be
having have
a a
harder hard
time time
having have
cubs cub
, ,
the the
cubs cub
are be
having have
a a
harder hard
time time
becoming become
adults adult
and and
some some
bears bear
have have
just just
moved move
elsewhere elsewhere
in in
search search
of of
better good
conditions condition
. .
As as
a a
result result
, ,
this this
population population
has have
declined decline
from from
about about
1 @card@
, ,
200 @card@
bears bear
in in
the the
1980s 1980s
, ,
to to
just just
over over
600 @card@
today today
, ,
almost almost
50 @card@
percent percent
. .
Churchill churchill
is be
also also
home home
to to
about about
900 @card@
people people
, ,
but but
grows grow
by by
thousands thousand
during during
tourist tourist
season season
. .
And and
visitors visitor
do do
sometimes sometimes
ask ask
me me
, ,
" "
Do do
polar polar
bears bear
really really
come come
into into
town town
or or
is be
this this
some some
tourism tourism
ploy ploy
? ?
" "
Oh oh
yeah yeah
, ,
they they
come come
into into
town town
. .
So so
this this
is be
from from
last last
fall fall
, ,
which which
is be
in in
bear bear
season season
, ,
October october
, ,
November november
in in
Churchill churchill
, ,
and and
the the
local local
woman woman
had have
gone go
out out
through through
a a
living live
room room
about about
4 @card@
am be
and and
watched watch
this this
through through
her her
window window
. .
And and
no no
doubt doubt
she she
called call
the the
Polar polar
Bear bear
Alert alert
hotline hotline
right right
after after
, ,
which which
is be
a a
real real
thing thing
. .
But but
you you
can can
tell tell
how how
big big
they they
are be
, ,
curious curious
and and
pretty pretty
rude rude
. .
So so
polar polar
bears bear
are be
an an
economic economic
keystone keystone
in in
Churchill churchill
, ,
driving drive
tourism tourism
and and
creating create
jobs job
. .
It it
' '
s s
important important
Churchill churchill
protects protect
them them
and and
their their
people people
, ,
which which
they they
do do
through through
a a
wide wide
variety variety
of of
efforts effort
. .
But but
one one
of of
the the
most most
interesting interesting
and and
effective effective
is be
their their
waste waste
management management
. .
Unsurprisingly unsurprisingly
, ,
Churchill churchill
' '
s s
garbage garbage
dump dump
used use
to to
be be
outdoors outdoors
, ,
which which
was be
fine fine
until until
it it
became become
a a
popular popular
polar polar
bear bear
buffet buffet
. .
So so
this this
is be
a a
problem problem
for for
the the
bear bear
' '
s s
health health
, ,
but but
also also
because because
when when
they they
' '
re re
on on
their their
way way
to to
the the
snack snack
bar bar
, ,
they they
risk risk
bumping bump
into into
people people
. .
Polar polar
bears bear
are be
no no
more more
likely likely
to to
actively actively
hunt hunt
and and
kill kill
people people
than than
black black
bears bear
, ,
But but
they they
are be
more more
likely likely
to to
attack attack
near near
towns town
, ,
especially especially
when when
food food
is be
nearby nearby
. .
So so
Churchill churchill
did do
the the
smart smart
thing thing
, ,
and and
they they
' '
ve ve
just just
moved move
their their
garbage garbage
dump dump
indoors indoors
. .
Now now
the the
bears bear
can can
' '
t t
even even
get get
to to
it it
. .
They they
also also
installed install
residential residential
bear bear
resistant resistant
bins bin
, ,
so so
no no
polar polar
bear bear
with with
late late
night night
munchies munchies
in in
this this
town town
gets get
any any
rotten rotten
food food
rewards reward
. .
Churchill churchill
continues continue
to to
evolve evolve
their their
waste waste
management management
because because
it it
' '
s s
key key
in in
coexistence coexistence
. .
But but
not not
everywhere everywhere
can can
do do
what what
Churchill churchill
' '
s s
done do
. .
So so
we we
need need
more more
options option
. .
Polar polar
Bears bears
International international
is be
working work
on on
innovative innovative
technologies technology
that that
could could
help help
provide provide
longer longer
lead lead
times time
between between
when when
polar polar
bears bear
and and
people people
meet meet
or or
prevent prevent
them them
from from
meeting meeting
altogether altogether
. .
Just just
one one
example example
, ,
GPS gps
tracking tracking
. .
It it
can can
tell tell
us us
where where
, ,
when when
and and
why why
polar polar
bears bear
move move
. .
It it
' '
s s
critical critical
data datum
, ,
but but
we we
' '
ve ve
only only
successfully successfully
collared collar
adult adult
females female
. .
Adult adult
males male
have have
these these
like like
pylon pylon
heads head
with with
necks neck
thicker thick
than than
their their
skulls skull
, ,
and and
they they
just just
pull pull
collars collar
right right
off off
. .
And and
then then
the the
subadults subadult
are be
still still
growing grow
. .
And and
this this
is be
really really
too too
bad bad
because because
the the
subadults subadult
, ,
or or
the the
teenagers teenager
, ,
often often
cause cause
the the
most most
trouble trouble
, ,
big big
surprise surprise
. .
So so
we we
' '
ve ve
started start
working work
with with
3M 3m
, ,
the the
sticky sticky
stuff stuff
company company
that that
makes make
Post-it post-it
notes note
, ,
and and
they they
' '
re re
helping help
us us
figure figure
out out
how how
to to
stick stick
a a
tracker tracker
to to
any any
bear bear
' '
s s
fur fur
. .
These these
" "
burr burr
on on
fur fur
" "
tags tag
could could
be be
a a
conservation conservation
game game
changer changer
, ,
letting let
us us
temporarily temporarily
tag tag
any any
bear bear
that that
comes come
too too
close close
to to
a a
community community
. .
And and
upon upon
relocation relocation
, ,
we we
can can
track track
that that
bear bear
and and
intercept intercept
it it
before before
it it
gets get
too too
close close
. .
This this
could could
help help
reduce reduce
dumpster dumpster
diving diving
and and
reduce reduce
negative negative
human-bear human-bear
encounters encounter
, ,
keeping keep
both both
species species
safer safe
. .
We we
also also
hope hope
the the
tags tag
could could
be be
used use
on on
other other
species specie
that that
maybe maybe
need need
some some
support support
staying stay
away away
from from
us us
humans human
. .
So so
there there
' '
s s
different different
coexistence coexistence
tools tool
being be
worked work
on on
for for
different different
needs need
across across
the the
north north
, ,
but but
we we
can can
' '
t t
talk talk
about about
conservation conservation
without without
mentioning mention
one one
of of
the the
most most
important important
tools tool
of of
all all
-- --
education education
. .
If if
you you
are be
going go
into into
bear bear
country country
, ,
polar polar
or or
otherwise otherwise
, ,
please please
get get
bear bear
aware aware
. .
Stay stay
together together
, ,
secure secure
your your
snacks snack
and and
carry carry
a a
deterrent deterrent
like like
flares flare
or or
bangers banger
or or
bear bear
spray spray
. .
Bear bear
spray spray
works work
even even
in in
the the
cold cold
and and
the the
wind wind
. .
But but
finally finally
, ,
the the
number number
one one
most most
important important
coexistence coexistence
tool tool
we we
have have
is be
our our
willingness willingness
to to
cut cut
carbon carbon
emissions emission
and and
stop stop
trapping trap
so so
much much
heat heat
in in
our our
atmosphere atmosphere
. .
But but
on on
that that
note note
, ,
I i
have have
some some
optimism optimism
. .
Sea sea
ice ice
. .
It it
' '
s s
very very
responsive responsive
to to
atmospheric atmospheric
temperatures temperature
. .
We we
can can
keep keep
this this
habitat habitat
in in
the the
Arctic arctic
, ,
but but
it it
will will
mean mean
drastically drastically
reducing reduce
our our
emissions emission
and and
eventually eventually
getting get
them them
to to
zero zero
. .
Polar polar
bears bear
are be
fat fat
, ,
white white
, ,
hairy hairy
canaries canary
in in
the the
coal coal
mine mine
, ,
warning warn
us us
to to
act act
now now
. .
The the
faster faster
we we
switch switch
to to
cleaner clean
energies energy
, ,
the the
better well
we we
can can
protect protect
future future
generations generation
of of
polar polar
bears bear
and and
people people
. .
I i
' '
d d
be be
lying lie
if if
I i
said say
I i
wasn wasn
' '
t t
worried worry
, ,
but but
action action
is be
the the
best good
antidote antidote
to to
anxiety anxiety
. .
And and
I i
' '
m m
working work
to to
ensure ensure
climate climate
change change
doesn doesn
' '
t t
separate separate
our our
species specie
for for
good good
. .
But but
until until
then then
, ,
it it
' '
s s
bringing bring
us us
too too
close close
together together
. .
Coexistence coexistence
is be
the the
only only
option option
. .
Let let
' '
s s
make make
it it
safe safe
for for
all all
. .
Thank thank
you you
. .
