Today today
oppressed oppress
victims victim
and and
of of
course course
to to
establish establish
an an
Islamic islamic
state state
, ,
a a
caliphate caliphate
for for
God god
' '
s s
rule rule
. .
And and
I i
did do
this this
openly openly
. .
I i
didn didn
' '
t t
break break
any any
laws law
. .
I i
was be
proud proud
and and
grateful grateful
to to
be be
British british
— -
I i
still still
am be
. .
And and
I i
bore bear
no no
hostility hostility
against against
this this
, ,
my my
country country
, ,
nor nor
enmity enmity
towards towards
the the
non-Muslim non-muslim
citizens citizen
, ,
and and
I i
still still
don don
' '
t t
. .
During during
one one
battle battle
in in
Afghanistan afghanistan
, ,
some some
British british
men man
and and
I i
formed form
a a
special special
bond bond
with with
a a
15-year-old 15-year-old
Afghani afghani
boy boy
, ,
Abdullah abdullah
, ,
an an
innocent innocent
, ,
loving loving
and and
lovable lovable
kid kid
who who
was be
always always
eager eager
to to
please please
. .
He he
was be
poor poor
. .
And and
boys boy
like like
him him
did do
menial menial
tasks task
in in
the the
camp camp
. .
And and
he he
seemed seem
happy happy
enough enough
, ,
but but
I i
couldn couldn
' '
t t
help help
wonder wonder
— -
his his
parents parent
must must
have have
missed miss
him him
dearly dearly
. .
And and
they they
must must
have have
dreamt dream
about about
a a
better well
future future
for for
him him
. .
A a
victim victim
of of
circumstance circumstance
caught catch
up up
in in
a a
war war
, ,
cruelly cruelly
thrust thrust
upon upon
him him
by by
the the
cruel cruel
circumstances circumstance
of of
the the
time time
. .
One one
day day
I i
picked pick
up up
this this
unexploded unexploded
mortar mortar
shell shell
in in
a a
trench trench
, ,
and and
I i
had have
it it
deposited deposit
in in
a a
makeshift makeshift
mud mud
hut hut
lab lab
. .
And and
I i
went go
out out
on on
a a
short short
, ,
pointless pointless
skirmish skirmish
— -
always always
pointless pointless
, ,
And and
I i
came come
back back
a a
few few
hours hour
later later
to to
discover discover
he he
was be
dead dead
. .
He he
had have
tried try
to to
recover recover
explosives explosive
from from
that that
shell shell
. .
It it
exploded explode
, ,
and and
he he
died die
a a
violent violent
death death
, ,
blown blow
to to
bits bit
by by
the the
very very
same same
device device
that that
had have
proved prove
harmless harmless
to to
me me
. .
So so
I i
started start
to to
question question
. .
How how
did do
his his
death death
serve serve
any any
purpose purpose
? ?
Why why
did do
he he
die die
and and
I i
lived live
? ?
I i
carried carry
on on
. .
I i
fought fight
in in
Kashmir kashmir
. .
I i
also also
recruited recruit
for for
the the
Philippines philippine
, ,
Bosnia bosnia
and and
Chechnya chechnya
. .
And and
the the
questions question
grew grow
. .
Later later
in in
Burma burma
, ,
I i
came come
across across
Rohingya rohingya
fighters fighter
, ,
who who
were be
barely barely
teenagers teenager
, ,
born bear
and and
brought bring
up up
in in
the the
jungle jungle
, ,
carrying carry
machine machine
guns gun
and and
grenade grenade
launchers launcher
. .
I i
met meet
two two
13-year-olds 13-year-olds
with with
soft soft
manners manner
and and
gentle gentle
voices voice
. .
Looking look
at at
me me
, ,
they they
begged beg
me me
to to
take take
them them
away away
to to
England england
. .
They they
simply simply
wanted want
to to
go go
to to
school school
— -
that that
was be
their their
dream dream
. .
My my
family family
— -
my my
children child
of of
the the
same same
age age
— -
were be
living live
at at
home home
in in
the the
UK uk
, ,
going go
to to
school school
, ,
living live
a a
safe safe
life life
. .
And and
I i
couldn couldn
' '
t t
help help
wonder wonder
how how
much much
these these
young young
boys boy
must must
have have
spoken speak
to to
one one
another another
about about
their their
dreams dream
for for
such such
a a
life life
. .
Victims victim
of of
circumstances circumstance
: :
these these
two two
young young
boys boy
, ,
sleeping sleep
rough rough
on on
the the
ground ground
, ,
looking look
up up
at at
the the
stars star
, ,
cynically cynically
exploited exploit
by by
their their
leaders leader
for for
their their
personal personal
lust lust
for for
glory glory
and and
power power
. .
I i
soon soon
witnessed witness
boys boy
like like
them them
killing kill
one one
another another
in in
conflicts conflict
between between
rival rival
groups group
. .
And and
it it
was be
the the
same same
everywhere everywhere
. .
. .
. .
Afghanistan afghanistan
, ,
Kashmir kashmir
, ,
Burma burma
, ,
Philippines philippine
, ,
Chechnya chechnya
; ;
petty petty
warlords warlord
got get
the the
young young
and and
vulnerable vulnerable
to to
kill kill
one one
another another
in in
the the
name name
of of
jihad jihad
. .
Muslims muslims
against against
Muslims muslims
. .
Not not
protecting protect
anyone anyone
against against
invaders invader
or or
occupiers occupier
; ;
not not
bringing bring
relief relief
to to
the the
oppressed oppress
. .
Children child
being be
used use
, ,
cynically cynically
exploited exploit
; ;
people people
dying die
in in
conflicts conflict
which which
I i
was be
supporting support
in in
the the
name name
of of
jihad jihad
. .
And and
it it
still still
carries carry
on on
today today
. .
Realizing realize
that that
the the
violent violent
jihad jihad
I i
had have
engaged engage
in in
abroad abroad
was be
so so
different different
— -
such such
a a
chasm chasm
between between
what what
I i
had have
experienced experience
and and
what what
I i
thought think
was be
sacred sacred
duty duty
— -
I i
had have
to to
reflect reflect
on on
my my
activities activity
here here
in in
the the
UK uk
. .
I i
had have
to to
consider consider
my my
preaching preaching
, ,
recruiting recruiting
, ,
fund-raising fund-raising
, ,
training training
, ,
but but
most most
importantly importantly
, ,
radicalizing radicalizing
— -
sending send
young young
people people
to to
fight fight
and and
die die
as as
I i
was be
doing do
— -
all all
totally totally
wrong wrong
. .
So so
I i
got get
involved involve
in in
violent violent
jihad jihad
in in
the the
mid mid
' '
80s 80s
, ,
starting start
with with
Afghanistan afghanistan
. .
And and
by by
the the
time time
I i
finished finish
it it
was be
in in
the the
year year
2000 @card@
. .
I i
was be
completely completely
immersed immerse
in in
it it
. .
All all
around around
me me
people people
supported support
, ,
applauded applaud
, ,
even even
celebrated celebrate
what what
we we
were be
doing do
in in
their their
name name
. .
But but
by by
the the
time time
I i
learned learn
to to
get get
out out
, ,
completely completely
disillusioned disillusion
in in
the the
year year
2000 @card@
, ,
15 @card@
years year
had have
passed pass
. .
So so
what what
goes go
wrong wrong
? ?
We we
were be
so so
busy busy
talking talk
about about
virtue virtue
, ,
and and
we we
were be
blinded blind
by by
a a
cause cause
. .
And and
we we
did do
not not
give give
ourselves ourselves
a a
chance chance
to to
develop develop
a a
virtuous virtuous
character character
. .
We we
told tell
ourselves ourselves
we we
were be
fighting fight
for for
the the
oppressed oppress
, ,
but but
these these
were be
unwinnable unwinnable
wars war
. .
We we
became become
the the
very very
instrument instrument
through through
which which
more more
deaths death
occurred occur
, ,
complicit complicit
in in
causing cause
further further
misery misery
for for
the the
selfish selfish
benefit benefit
of of
the the
cruel cruel
few few
. .
So so
over over
time time
, ,
a a
very very
long long
time time
, ,
I i
opened open
my my
eyes eye
. .
I i
began begin
to to
dare dare
to to
face face
the the
truth truth
, ,
to to
think think
, ,
to to
face face
the the
hard hard
questions question
. .
I i
got get
in in
touch touch
with with
my my
soul soul
. .
What what
have have
I i
learned learn
? ?
That that
people people
who who
engage engage
in in
violent violent
jihadism jihadism
, ,
that that
people people
who who
are be
drawn draw
to to
these these
types type
of of
extremisms extremism
, ,
are be
not not
that that
different different
to to
everyone everyone
else else
. .
But but
I i
believe believe
such such
people people
can can
change change
. .
They they
can can
regain regain
their their
hearts heart
and and
restore restore
them them
by by
filling fill
them them
with with
human human
values value
that that
heal heal
. .
When when
we we
ignore ignore
the the
realities reality
, ,
we we
discover discover
that that
we we
accept accept
what what
we we
are be
told tell
without without
critical critical
reflection reflection
. .
And and
we we
ignore ignore
the the
gifts gift
and and
advantages advantage
that that
many many
of of
us us
would would
cherish cherish
even even
for for
a a
single single
moment moment
in in
their their
lives life
. .
I i
engaged engage
in in
actions action
I i
thought think
were be
correct correct
. .
But but
now now
I i
began begin
to to
question question
how how
I i
knew know
what what
I i
knew know
. .
I i
endlessly endlessly
told tell
others other
to to
accept accept
the the
truth truth
, ,
but but
I i
failed fail
to to
give give
doubt doubt
its its
rightful rightful
place place
. .
This this
conviction conviction
that that
people people
can can
change change
is be
rooted root
in in
my my
experience experience
, ,
my my
own own
journey journey
. .
Through through
wide wide
reading reading
, ,
reflecting reflect
, ,
contemplation contemplation
, ,
self-knowledge self-knowledge
, ,
I i
discovered discover
, ,
I i
realized realize
that that
Islamists islamist
' '
world world
of of
us us
and and
them them
is be
false false
and and
unjust unjust
. .
Through through
considering consider
the the
uncertainties uncertainty
in in
all all
that that
we we
had have
asserted assert
, ,
to to
the the
inviolable inviolable
truths truth
, ,
incontestable incontestable
truths truth
, ,
I i
developed develop
a a
more more
nuanced nuanced
understanding understanding
. .
I i
realized realize
that that
in in
a a
world world
crowded crowd
with with
variation variation
and and
contradiction contradiction
, ,
foolish foolish
preachers preacher
, ,
only only
foolish foolish
preachers preacher
like like
I i
used use
to to
be be
, ,
see see
no no
paradox paradox
in in
the the
myths myth
and and
fictions fiction
they they
use use
to to
assert assert
authenticity authenticity
. .
So so
I i
understood understand
the the
vital vital
importance importance
of of
self-knowledge self-knowledge
, ,
political political
awareness awareness
and and
the the
necessity necessity
for for
a a
deep deep
and and
wide wide
understanding understanding
of of
our our
commitments commitment
and and
our our
actions action
, ,
how how
they they
affect affect
others other
. .
So so
my my
plea plea
today today
to to
everyone everyone
, ,
especially especially
those those
who who
sincerely sincerely
believe believe
in in
Islamist islamist
jihadism jihadism
. .
. .
. .
refuse refuse
dogmatic dogmatic
authority authority
; ;
let let
go go
of of
anger anger
, ,
hatred hatred
and and
violence violence
; ;
learn learn
to to
right right
wrongs wrong
without without
even even
attempting attempt
to to
justify justify
cruel cruel
, ,
unjust unjust
and and
futile futile
behavior behavior
. .
Instead instead
create create
a a
few few
beautiful beautiful
and and
useful useful
things thing
that that
outlive outlive
us us
. .
Approach approach
the the
world world
, ,
life life
, ,
with with
love love
. .
Learn learn
to to
develop develop
or or
cultivate cultivate
your your
hearts heart
to to
see see
goodness goodness
, ,
beauty beauty
and and
truth truth
in in
others other
and and
in in
the the
world world
. .
That that
way way
we we
do do
matter matter
more more
to to
ourselves ourselves
. .
. .
. .
to to
each each
other other
, ,
to to
our our
communities community
and and
, ,
for for
me me
, ,
to to
God god
. .
This this
is be
jihad jihad
— -
my my
true true
jihad jihad
. .
Thank thank
you you
. .
