I i
about about
a a
mile mile
across across
, ,
600 @card@
feet foot
deep deep
. .
The the
object object
that that
formed form
this this
was be
probably probably
about about
30 @card@
to to
50 @card@
yards yard
across across
, ,
so so
roughly roughly
the the
size size
of of
Macky macky
Auditorium auditorium
here here
. .
It it
came come
in in
at at
speeds speed
that that
were be
tremendous tremendous
, ,
slammed slam
into into
the the
ground ground
, ,
blew blow
up up
, ,
and and
exploded explode
with with
the the
energy energy
of of
roughly roughly
a a
20-megaton 20-megaton
nuclear nuclear
bomb bomb
â â
a a
very very
hefty hefty
bomb bomb
. .
This this
was be
50 @card@
, ,
000 @card@
years year
ago ago
, ,
so so
it it
may may
have have
wiped wipe
out out
a a
few few
buffalo buffalo
or or
antelope antelope
, ,
or or
something something
like like
that that
out out
in in
the the
desert desert
, ,
but but
it it
probably probably
would would
not not
have have
caused cause
global global
devastation devastation
. .
It it
turns turn
out out
that that
these these
things thing
don don
' '
t t
have have
to to
hit hit
the the
ground ground
to to
do do
a a
lot lot
of of
damage damage
. .
Now now
, ,
in in
1908 @card@
, ,
over over
Siberia siberia
, ,
near near
the the
Tunguska tunguska
region region
â â
for for
those those
of of
you you
who who
are be
Dan dan
Aykroyd aykroyd
fans fan
and and
saw see
" "
Ghostbusters ghostbusters
, ,
" "
when when
he he
talked talk
about about
the the
greatest great
cross-dimensional cross-dimensional
rift rift
since since
the the
Siberia siberia
blast blast
of of
1909 @card@
, ,
where where
he he
got get
the the
date date
wrong wrong
, ,
but but
that that
' '
s s
OK ok
. .
It it
was be
1908 @card@
. .
That that
' '
s s
fine fine
. .
I i
can can
live live
with with
that that
. .
Another another
rock rock
came come
into into
the the
Earth earth
' '
s s
atmosphere atmosphere
and and
this this
one one
blew blow
up up
above above
the the
ground ground
, ,
several several
miles mile
up up
above above
the the
surface surface
of of
the the
Earth earth
. .
The the
heat heat
from from
the the
explosion explosion
set set
fire fire
to to
the the
forest forest
below below
it it
, ,
and and
then then
the the
shock shock
wave wave
came come
down down
and and
knocked knock
down down
trees tree
for for
hundreds hundred
of of
square square
miles mile
. .
This this
did do
a a
huge huge
amount amount
of of
damage damage
. .
And and
again again
, ,
this this
was be
a a
rock rock
probably probably
roughly roughly
the the
size size
of of
this this
auditorium auditorium
that that
we we
' '
re re
sitting sit
in in
. .
In in
Meteor meteor
Crater crater
, ,
it it
was be
made make
of of
metal metal
, ,
and and
metal metal
is be
much much
tougher tough
, ,
so so
it it
made make
it it
to to
the the
ground ground
. .
The the
one one
over over
Tunguska tunguska
was be
probably probably
made make
of of
rock rock
, ,
and and
that that
' '
s s
much much
more more
crumbly crumbly
, ,
so so
it it
blew blow
up up
in in
the the
air air
. .
Either either
way way
, ,
these these
are be
tremendous tremendous
explosions explosion
â â
20 @card@
megatons megaton
. .
Now now
, ,
when when
these these
things thing
blow blow
up up
, ,
they they
' '
re re
not not
going go
to to
do do
global global
ecological ecological
damage damage
. .
They they
' '
re re
not not
going go
to to
do do
something something
like like
the the
dinosaur dinosaur
killer killer
did do
. .
They they
' '
re re
just just
not not
big big
enough enough
. .
But but
they they
will will
do do
global global
economic economic
damage damage
, ,
because because
they they
don don
' '
t t
have have
to to
hit hit
, ,
necessarily necessarily
, ,
to to
do do
this this
kind kind
of of
damage damage
. .
They they
don don
' '
t t
have have
to to
do do
global global
devastation devastation
. .
If if
one one
of of
these these
things thing
were be
to to
hit hit
pretty pretty
much much
anywhere anywhere
, ,
it it
would would
cause cause
a a
panic panic
. .
But but
if if
it it
came come
over over
a a
city city
, ,
an an
important important
city city
â â
not not
that that
any any
city city
is be
more more
important important
than than
others other
, ,
but but
some some
of of
them them
we we
depend depend
on on
more more
on on
the the
global global
economic economic
basis basis
â â
that that
could could
do do
a a
huge huge
amount amount
of of
damage damage
to to
us us
as as
a a
civilization civilization
. .
So so
, ,
now now
that that
I i
' '
ve ve
scared scare
the the
crap crap
out out
of of
you you
â â
what what
can can
we we
do do
about about
this this
? ?
This this
is be
a a
potential potential
threat threat
. .
Let let
me me
note note
that that
we we
have have
not not
had have
a a
giant giant
impact impact
like like
the the
dinosaur dinosaur
killer killer
for for
65 @card@
million million
years year
. .
They they
' '
re re
very very
rare rare
. .
The the
smaller small
ones one
happen happen
more more
often often
, ,
but but
probably probably
on on
the the
order order
of of
a a
millennium millennium
, ,
every every
few few
centuries century
or or
every every
few few
thousand thousand
years year
. .
But but
it it
' '
s s
still still
something something
to to
be be
aware aware
of of
. .
Well well
, ,
what what
do do
we we
do do
about about
them them
? ?
The the
first first
thing thing
we we
have have
to to
do do
is be
find find
them them
. .
This this
is be
an an
image image
of of
an an
asteroid asteroid
that that
passed pass
us us
in in
2009 @card@
. .
It it
' '
s s
right right
here here
. .
But but
you you
can can
see see
that that
it it
' '
s s
extremely extremely
faint faint
. .
I i
don don
' '
t t
know know
if if
you you
can can
see see
that that
in in
the the
back back
row row
. .
These these
are be
just just
stars star
. .
This this
is be
a a
rock rock
that that
was be
about about
30 @card@
yards yard
across across
, ,
so so
roughly roughly
the the
size size
of of
the the
ones one
that that
blew blow
up up
over over
Tunguska tunguska
and and
hit hit
Arizona arizona
50 @card@
, ,
000 @card@
years year
ago ago
. .
These these
things thing
are be
faint faint
. .
They they
' '
re re
hard hard
to to
see see
, ,
and and
the the
sky sky
is be
really really
big big
. .
We we
have have
to to
find find
these these
things thing
first first
. .
Well well
, ,
the the
good good
news news
is be
, ,
we we
' '
re re
looking look
for for
them them
. .
NASA nasa
has have
devoted devote
money money
to to
this this
; ;
the the
National national
Science science
Foundation foundation
and and
other other
countries country
are be
interested interested
in in
doing do
this this
. .
We we
' '
re re
building building
telescopes telescope
that that
are be
looking look
for for
the the
threat threat
. .
That that
' '
s s
a a
great great
first first
step step
. .
But but
what what
' '
s s
the the
second second
step step
? ?
The the
second second
step step
is be
if if
we we
see see
one one
heading head
toward toward
us us
, ,
we we
have have
to to
stop stop
it it
. .
What what
do do
we we
do do
? ?
You you
' '
ve ve
probably probably
heard hear
about about
the the
asteroid asteroid
Apophis apophis
. .
If if
you you
haven haven
' '
t t
yet yet
, ,
you you
will will
. .
If if
you you
' '
ve ve
heard hear
about about
the the
Mayan mayan
2012 @card@
apocalypse apocalypse
, ,
you you
' '
re re
going go
to to
hear hear
about about
Apophis apophis
, ,
because because
you you
' '
re re
keyed key
in in
to to
all all
the the
doomsday doomsday
networks network
, ,
anyway anyway
. .
Apophis apophis
is be
an an
asteroid asteroid
that that
was be
discovered discover
in in
2004 @card@
. .
It it
' '
s s
roughly roughly
250 @card@
[ [
meters meter
] ]
across across
, ,
so so
it it
' '
s s
pretty pretty
big big
â â
bigger big
than than
a a
football football
stadium stadium
. .
And and
it it
' '
s s
going go
to to
pass pass
by by
the the
Earth earth
in in
April april
of of
2029 @card@
. .
And and
it it
' '
s s
going go
to to
pass pass
us us
so so
close close
that that
it it
' '
s s
actually actually
going go
to to
come come
underneath underneath
our our
weather weather
satellites satellite
. .
The the
Earth earth
' '
s s
gravity gravity
is be
going go
to to
bend bend
the the
orbit orbit
of of
this this
thing thing
so so
much much
that that
if if
it it
' '
s s
just just
right right
, ,
if if
it it
passes pass
through through
this this
region region
of of
space space
, ,
this this
kidney-bean-shaped kidney-bean-shaped
region region
called call
the the
keyhole keyhole
, ,
the the
Earth earth
' '
s s
gravity gravity
will will
bend bend
it it
just just
enough enough
that that
seven seven
years year
later later
, ,
on on
April april
13 @card@
â â
which which
is be
a a
Friday friday
, ,
I i
' '
ll ll
note note
â â
in in
the the
year year
2036 @card@
â â
you you
can can
' '
t t
plan plan
that that
kind kind
of of
stuff stuff
â â
Apophis apophis
is be
going go
to to
hit hit
us us
. .
And and
it it
' '
s s
250 @card@
meters meter
across across
, ,
so so
it it
would would
do do
unbelievable unbelievable
damage damage
. .
The the
good good
news news
is be
that that
the the
odds odd
of of
it it
actually actually
passing pass
through through
this this
keyhole keyhole
and and
hitting hit
us us
next next
go-around go-around
are be
one one
in in
a a
million million
, ,
roughly roughly
â â
very very
, ,
very very
low low
odds odd
. .
So so
I i
personally personally
am be
not not
lying lie
awake awake
at at
night night
worrying worry
about about
this this
at at
all all
. .
I i
don don
' '
t t
think think
Apophis apophis
is be
a a
problem problem
. .
In in
fact fact
, ,
Apophis apophis
is be
a a
blessing blessing
in in
disguise disguise
, ,
because because
it it
woke wake
us us
up up
to to
the the
dangers danger
of of
these these
things thing
. .
This this
thing thing
was be
discovered discover
just just
a a
few few
years year
ago ago
and and
could could
hit hit
us us
a a
few few
years year
from from
now now
. .
It it
won win
' '
t t
, ,
but but
it it
gives give
us us
a a
chance chance
to to
study study
these these
kinds kind
of of
asteroids asteroid
. .
We we
didn didn
' '
t t
really really
necessarily necessarily
understand understand
these these
keyholes keyhole
, ,
and and
now now
we we
do do
, ,
and and
it it
turns turn
out out
that that
' '
s s
really really
important important
, ,
because because
how how
do do
you you
stop stop
an an
asteroid asteroid
like like
this this
? ?
Well well
, ,
let let
me me
ask ask
you you
: :
What what
happens happen
if if
you you
' '
re re
standing standing
in in
the the
road road
and and
a a
car car
' '
s s
headed head
for for
you you
? ?
What what
do do
you you
do do
? ?
You you
do do
this this
. .
Right right
? ?
Move move
, ,
and and
the the
car car
goes go
past past
you you
. .
But but
we we
can can
' '
t t
move move
the the
Earth earth
, ,
at at
least least
not not
easily easily
, ,
but but
we we
can can
move move
a a
small small
asteroid asteroid
. .
And and
it it
turns turn
out out
, ,
we we
' '
ve ve
even even
done do
it it
. .
In in
the the
year year
2005 @card@
, ,
NASA nasa
launched launch
a a
probe probe
called call
Deep deep
Impact impact
, ,
which which
slammed slam
a a
piece piece
of of
itself itself
into into
the the
nucleus nucleus
of of
a a
comet comet
. .
Comets comet
are be
very very
much much
like like
asteroids asteroid
. .
The the
purpose purpose
wasn wasn
' '
t t
to to
push push
it it
out out
of of
the the
way way
; ;
the the
purpose purpose
was be
to to
make make
a a
crater crater
to to
excavate excavate
the the
material material
and and
see see
what what
was be
underneath underneath
the the
surface surface
of of
this this
comet comet
, ,
which which
we we
learned learn
quite quite
a a
bit bit
about about
. .
We we
did do
move move
the the
comet comet
a a
little little
tiny tiny
bit bit
â â
not not
very very
much much
, ,
but but
that that
wasn wasn
' '
t t
the the
point point
. .
However however
, ,
think think
about about
this this
: :
This this
thing thing
is be
orbiting orbit
the the
Sun sun
at at
10 @card@
, ,
20 @card@
miles mile
per per
second second
. .
We we
shot shoot
a a
space space
probe probe
at at
it it
and and
hit hit
it it
, ,
OK ok
? ?
Imagine imagine
how how
hard hard
that that
must must
be be
, ,
and and
we we
did do
it it
. .
That that
means mean
we we
can can
do do
it it
again again
. .
If if
we we
see see
an an
asteroid asteroid
that that
' '
s s
coming come
toward toward
us us
, ,
headed head
right right
for for
us us
, ,
and and
we we
have have
two two
years year
to to
go go
? ?
Boom boom
! !
We we
hit hit
it it
. .
You you
know know
, ,
if if
you you
watch watch
the the
movies movie
â â
you you
might might
think think
: :
Why why
don don
' '
t t
we we
use use
a a
nuclear nuclear
weapon weapon
? ?
Well well
, ,
you you
can can
try try
that that
, ,
but but
the the
problem problem
is be
timing time
. .
Shoot shoot
a a
nuclear nuclear
weapon weapon
at at
this this
thing thing
, ,
you you
have have
to to
blow blow
it it
up up
within within
a a
few few
milliseconds millisecond
of of
tolerance tolerance
, ,
or or
else else
you you
' '
ll ll
miss miss
it it
. .
And and
there there
are be
a a
lot lot
of of
other other
problems problem
with with
that that
; ;
it it
' '
s s
very very
hard hard
to to
do do
. .
But but
just just
hitting hit
something something
? ?
That that
' '
s s
pretty pretty
easy easy
. .
I i
think think
even even
NASA nasa
can can
do do
that that
, ,
and and
proved prove
that that
they they
can can
. .
The the
problem problem
is be
, ,
if if
you you
hit hit
this this
asteroid asteroid
, ,
you you
' '
ve ve
changed change
the the
orbit orbit
, ,
you you
measure measure
the the
orbit orbit
, ,
then then
you you
find find
out out
, ,
oh oh
yeah yeah
, ,
we we
just just
pushed push
it it
into into
a a
keyhole keyhole
, ,
and and
now now
it it
' '
s s
going go
to to
hit hit
us us
in in
three three
years year
. .
Well well
, ,
my my
opinion opinion
is be
: :
fine fine
! !
It it
' '
s s
not not
hitting hit
us us
in in
six six
months month
â â
that that
' '
s s
good good
. .
Now now
we we
have have
three three
years year
to to
do do
something something
else else
. .
And and
you you
can can
hit hit
it it
again again
. .
That that
' '
s s
kind kind
of of
ham-fisted ham-fisted
; ;
you you
might might
just just
push push
it it
into into
a a
third third
keyhole keyhole
or or
whatever whatever
, ,
so so
you you
don don
' '
t t
do do
that that
. .
And and
this this
is be
the the
part part
â â
it it
' '
s s
the the
part part
I i
just just
love love
. .
After after
the the
big big
macho macho
" "
Grr grr
. .
. .
. .
bam bam
! !
We we
' '
re re
gonna gonna
hit hit
this this
thing thing
in in
the the
face face
, ,
" "
then then
we we
bring bring
in in
the the
velvet velvet
gloves glove
. .
There there
' '
s s
a a
group group
of of
scientists scientist
and and
engineers engineer
and and
astronauts astronaut
, ,
and and
they they
call call
themselves themselves
The the
B612 b612
Foundation foundation
. .
For for
those those
of of
you you
who who
' '
ve ve
read read
" "
The the
Little little
Prince prince
, ,
" "
you you
understand understand
that that
reference reference
, ,
I i
hope hope
â â
the the
little little
prince prince
lived live
on on
an an
asteroid asteroid
called call
B612 b612
. .
These these
are be
smart smart
guys guy
â â
men man
and and
women woman
â â
astronauts astronaut
, ,
like like
I i
said say
, ,
engineers engineer
. .
Rusty rusty
Schweickart schweickart
, ,
who who
was be
an an
Apollo apollo
9 @card@
astronaut astronaut
, ,
is be
on on
this this
. .
Dan dan
Durda durda
, ,
my my
friend friend
who who
made make
this this
image image
, ,
works work
here here
at at
Southwest southwest
Research research
Institute institute
in in
Boulder boulder
, ,
on on
Walnut walnut
Street street
. .
He he
created create
this this
image image
for for
this this
. .
He he
' '
s s
actually actually
one one
of of
the the
astronomers astronomer
who who
works work
for for
them them
. .
If if
we we
see see
an an
asteroid asteroid
that that
' '
s s
going go
to to
hit hit
the the
Earth earth
and and
we we
have have
enough enough
time time
, ,
we we
can can
hit hit
it it
to to
move move
it it
into into
a a
better good
orbit orbit
. .
But but
then then
what what
we we
do do
is be
launch launch
a a
probe probe
that that
has have
to to
weigh weigh
a a
ton ton
or or
two two
. .
It it
doesn doesn
' '
t t
have have
to to
be be
huge huge
â â
a a
couple couple
of of
tons ton
, ,
not not
that that
big big
â â
and and
you you
park park
it it
near near
the the
asteroid asteroid
. .
You you
don don
' '
t t
land land
on on
it it
, ,
because because
these these
things thing
are be
tumbling tumble
end end
over over
end end
. .
It it
' '
s s
very very
hard hard
to to
land land
on on
them them
. .
Instead instead
you you
get get
near near
it it
. .
The the
gravity gravity
of of
the the
asteroid asteroid
pulls pull
on on
the the
probe probe
, ,
and and
the the
probe probe
has have
a a
couple couple
of of
tons ton
of of
mass mass
. .
It it
has have
a a
little little
tiny tiny
bit bit
of of
gravity gravity
, ,
but but
it it
' '
s s
enough enough
that that
it it
can can
pull pull
the the
asteroid asteroid
, ,
and and
you you
have have
your your
rocket rocket
set set
up up
â â
you you
can can
barely barely
see see
it it
here here
, ,
but but
there there
' '
s s
rocket rocket
plumes plume
â â
and and
these these
guys guy
are be
connected connect
by by
their their
own own
gravity gravity
, ,
and and
if if
you you
move move
the the
probe probe
very very
slowly slowly
â â
very very
, ,
very very
gently gently
, ,
you you
can can
very very
easily easily
finesse finesse
that that
rock rock
into into
a a
safe safe
orbit orbit
. .
You you
can can
even even
put put
in in
orbit orbit
around around
the the
Earth earth
where where
we we
could could
mine mine
it it
, ,
although although
that that
' '
s s
a a
whole whole
other other
thing thing
; ;
I i
won win
' '
t t
go go
into into
that that
. .
But but
we we
' '
d d
be be
rich rich
! !
So so
think think
about about
this this
, ,
right right
? ?
There there
are be
these these
giant giant
rocks rock
flying fly
out out
there there
, ,
and and
they they
' '
re re
hitting hit
us us
, ,
and and
they they
' '
re re
doing do
damage damage
to to
us us
. .
But but
we we
' '
ve ve
figured figure
out out
how how
to to
do do
this this
, ,
and and
all all
the the
pieces piece
are be
in in
place place
to to
do do
this this
. .
We we
have have
astronomers astronomer
with with
telescopes telescope
, ,
looking look
for for
them them
. .
We we
have have
very very
, ,
very very
smart smart
people people
, ,
who who
are be
concerned concern
about about
this this
and and
figuring figure
out out
how how
to to
fix fix
the the
problem problem
, ,
and and
we we
have have
the the
technology technology
to to
do do
this this
. .
This this
probe probe
actually actually
can can
' '
t t
use use
chemical chemical
rockets rocket
. .
Chemical chemical
rockets rocket
provide provide
too too
much much
thrust thrust
, ,
too too
much much
push push
. .
The the
probe probe
would would
just just
shoot shoot
away away
. .
We we
invented invent
something something
called call
an an
ion ion
drive drive
, ,
which which
is be
a a
very very
, ,
very very
, ,
very very
low- low-
thrust thrust
engine engine
. .
It it
generates generate
the the
force force
a a
piece piece
of of
paper paper
would would
have have
on on
your your
hand hand
â â
incredibly incredibly
light light
, ,
but but
it it
can can
run run
for for
months month
and and
years year
, ,
providing provide
that that
very very
gentle gentle
push push
. .
If if
anybody anybody
here here
is be
a a
fan fan
of of
the the
original original
" "
Star star
Trek trek
, ,
" "
they they
ran run
across across
an an
alien alien
ship ship
that that
had have
an an
ion ion
drive drive
, ,
and and
Spock spock
said say
, ,
" "
They they
' '
re re
very very
technically technically
sophisticated sophisticated
. .
They they
' '
re re
a a
hundred hundred
years year
ahead ahead
of of
us us
with with
this this
drive drive
. .
" "
Yeah yeah
, ,
we we
have have
an an
ion ion
drive drive
now now
. .
We we
don don
' '
t t
have have
the the
Enterprise enterprise
, ,
but but
we we
' '
ve ve
got get
an an
ion ion
drive drive
now now
. .
Spock spock
. .
So so
. .
. .
. .
That that
' '
s s
the the
difference difference
â â
that that
' '
s s
the the
difference difference
between between
us us
and and
the the
dinosaurs dinosaur
. .
This this
happened happen
to to
them them
. .
It it
doesn doesn
' '
t t
have have
to to
happen happen
to to
us us
. .
The the
difference difference
between between
the the
dinosaurs dinosaur
and and
us us
is be
that that
we we
have have
a a
space space
program program
and and
we we
can can
vote vote
, ,
and and
so so
we we
can can
change change
our our
future future
. .
We we
have have
the the
ability ability
to to
change change
our our
future future
. .
Sixty-five sixty-five
million million
years year
from from
now now
, ,
we we
don don
' '
t t
have have
to to
have have
our our
bones bone
collecting collect
dust dust
in in
a a
museum museum
. .
Thank thank
you you
very very
much much
. .
