There there
recently recently
, ,
when when
one one
had have
identified identify
a a
protein protein
of of
interest interest
, ,
they they
tested test
whether whether
it it
might might
be be
important important
for for
a a
vaccine vaccine
by by
conducting conduct
a a
cohort cohort
study study
. .
This this
typically typically
involved involve
about about
300 @card@
participants participant
in in
a a
village village
in in
Africa africa
, ,
whose whose
samples sample
were be
analyzed analyze
to to
see see
whether whether
antibodies antibody
to to
the the
protein protein
would would
predict predict
who who
got get
malaria malaria
and and
who who
did do
not not
. .
In in
the the
past past
30 @card@
years year
, ,
these these
studies study
have have
tested test
a a
small small
number number
of of
proteins protein
in in
relatively relatively
few few
samples sample
and and
usually usually
in in
single single
locations location
. .
The the
results result
have have
not not
been be
consistent consistent
. .
My my
team team
essentially essentially
collapsed collapse
30 @card@
years year
of of
this this
type type
of of
research research
into into
one one
exciting exciting
experiment experiment
, ,
conducted conduct
over over
just just
three three
months month
. .
Innovatively innovatively
, ,
we we
assembled assemble
10 @card@
, ,
000 @card@
samples sample
from from
15 @card@
locations location
in in
seven seven
African african
countries country
, ,
spanning span
time time
, ,
age age
and and
the the
variable variable
intensity intensity
of of
malaria malaria
experienced experience
in in
Africa africa
. .
We we
used use
omics omics
intelligence intelligence
to to
prioritize prioritize
our our
parasite parasite
proteins protein
, ,
synthesize synthesize
them them
in in
the the
lab lab
and and
in in
short short
, ,
recreated recreate
the the
malaria malaria
parasite parasite
on on
a a
chip chip
. .
We we
did do
this this
in in
Africa africa
, ,
and and
we we
' '
re re
very very
proud proud
of of
that that
. .
The the
chip chip
is be
a a
small small
glass glass
slide slide
, ,
but but
it it
gives give
us us
incredible incredible
power power
. .
We we
simultaneously simultaneously
gathered gather
data datum
on on
over over
100 @card@
antibody antibody
responses response
. .
What what
are be
we we
looking look
for for
? ?
The the
recipe recipe
behind behind
a a
successful successful
antibody antibody
response response
, ,
so so
that that
we we
can can
predict predict
what what
might might
make make
a a
good good
malaria malaria
vaccine vaccine
. .
We we
' '
re re
also also
trying try
to to
figure figure
out out
exactly exactly
what what
antibodies antibody
do do
to to
the the
parasite parasite
. .
How how
do do
they they
kill kill
it it
? ?
Do do
they they
attack attack
from from
multiple multiple
angles angle
? ?
Is be
there there
synergy synergy
? ?
How how
much much
antibody antibody
do do
you you
need need
? ?
Our our
studies study
suggest suggest
that that
having have
a a
bit bit
of of
one one
antibody antibody
won won
' '
t t
be be
enough enough
. .
It it
might might
take take
high high
concentrations concentration
of of
antibodies antibody
against against
multiple multiple
parasite parasite
proteins protein
. .
We we
' '
re re
also also
learning learn
that that
antibodies antibody
kill kill
the the
parasite parasite
in in
multiple multiple
ways way
, ,
and and
studying study
any any
one one
of of
these these
in in
isolation isolation
may may
not not
adequately adequately
reflect reflect
reality reality
. .
Just just
like like
we we
can can
now now
see see
the the
parasite parasite
in in
greater great
definition definition
, ,
my my
team team
and and
I i
are be
focused focus
on on
understanding understand
how how
our our
bodies body
overcome overcome
this this
complexity complexity
. .
We we
believe believe
that that
this this
could could
provide provide
the the
breakthroughs breakthrough
that that
we we
need need
to to
make make
malaria malaria
history history
through through
vaccination vaccination
. .
Thank thank
you you
. .
Shoham shoham
Arad arad
: :
OK ok
, ,
how how
close close
are be
we we
actually actually
to to
a a
malaria malaria
vaccine vaccine
? ?
Faith faith
Osier osier
: :
We we
' '
re re
just just
at at
the the
beginning beginning
of of
a a
process process
to to
try try
and and
understand understand
what what
we we
need need
to to
put put
in in
the the
vaccine vaccine
before before
we we
actually actually
start start
making make
it it
. .
So so
, ,
we we
' '
re re
not not
really really
close close
to to
the the
vaccine vaccine
, ,
but but
we we
' '
re re
getting get
there there
. .
SA sa
: :
And and
we we
' '
re re
hopeful hopeful
. .
FO fo
: :
And and
we we
' '
re re
very very
hopeful hopeful
. .
SA sa
: :
Tell tell
me me
about about
SMART smart
, ,
tell tell
me me
what what
does do
it it
stand stand
for for
and and
why why
is be
it it
important important
to to
you you
? ?
FO fo
: :
So so
SMART smart
stands stand
for for
South-South south-south
Malaria malaria
Antigen antigen
Research research
Partnership partnership
. .
The the
South-South south-south
is be
referring refer
to to
us us
in in
Africa africa
, ,
looking look
sideways sideways
to to
each each
other other
in in
collaboration collaboration
, ,
in in
contrast contrast
to to
always always
looking look
to to
America america
and and
looking look
to to
Europe europe
, ,
when when
there there
is be
quite quite
some some
strength strength
within within
Africa africa
. .
So so
in in
SMART smart
, ,
apart apart
from from
the the
goal goal
that that
we we
have have
, ,
to to
develop develop
a a
malaria malaria
vaccine vaccine
, ,
we we
are be
also also
training train
African african
scientists scientist
, ,
because because
the the
burden burden
of of
disease disease
in in
Africa africa
is be
high high
, ,
and and
you you
need need
people people
who who
will will
continue continue
to to
push push
the the
boundaries boundary
in in
science science
, ,
in in
Africa africa
. .
SA sa
: :
Yes yes
, ,
yes yes
, ,
correct correct
. .
OK ok
, ,
one one
last last
question question
. .
Tell tell
me me
, ,
I i
know know
you you
mentioned mention
this this
a a
little little
bit bit
, ,
but but
how how
would would
things thing
actually actually
change change
if if
there there
were be
a a
malaria malaria
vaccine vaccine
? ?
FO fo
: :
We we
would would
save save
half half
a a
million million
lives life
every every
year year
. .
Two two
hundred hundred
million million
cases case
. .
It it
' '
s s
estimated estimate
that that
malaria malaria
costs cost
Africa africa
12 @card@
billion billion
US us
dollars dollar
a a
year year
. .
So so
this this
is be
economics economics
. .
Africa africa
would would
simply simply
thrive thrive
. .
SA sa
: :
OK ok
. .
Thank thank
you you
, ,
Faith faith
. .
Thank thank
you you
so so
much much
. .
