Thank thank
for for
protection protection
â â
so so
comparable comparable
to to
technical technical
fibers fiber
like like
Kevlar kevlar
. .
And and
so so
in in
the the
reverse reverse
engineering engineering
process process
that that
we we
know know
about about
, ,
and and
that that
we we
' '
re re
familiar familiar
with with
, ,
for for
the the
textile textile
industry industry
, ,
the the
textile textile
industry industry
goes go
and and
unwinds unwind
the the
cocoon cocoon
and and
then then
weaves weave
glamorous glamorous
things thing
. .
We we
want want
to to
know know
how how
you you
go go
from from
water water
and and
protein protein
to to
this this
liquid liquid
Kevlar kevlar
, ,
to to
this this
natural natural
Kevlar kevlar
. .
So so
the the
insight insight
is be
how how
do do
you you
actually actually
reverse reverse
engineer engineer
this this
and and
go go
from from
cocoon cocoon
to to
gland gland
and and
get get
water water
and and
protein protein
that that
is be
your your
starting start
material material
. .
And and
this this
is be
an an
insight insight
that that
came come
, ,
about about
two two
decades decade
ago ago
, ,
from from
a a
person person
that that
I i
' '
m m
very very
fortunate fortunate
to to
work work
with with
, ,
David david
Kaplan kaplan
. .
And and
so so
we we
get get
this this
starting start
material material
. .
And and
so so
this this
starting start
material material
is be
back back
to to
the the
basic basic
building building
block block
. .
And and
then then
we we
use use
this this
to to
do do
a a
variety variety
of of
things thing
â â
like like
, ,
for for
example example
, ,
this this
film film
. .
And and
we we
take take
advantage advantage
of of
something something
that that
is be
very very
simple simple
. .
The the
recipe recipe
to to
make make
those those
films film
is be
to to
take take
advantage advantage
of of
the the
fact fact
that that
proteins protein
are be
extremely extremely
smart smart
at at
what what
they they
do do
. .
They they
find find
their their
way way
to to
self-assemble self-assemble
. .
So so
the the
recipe recipe
is be
simple simple
: :
you you
take take
the the
silk silk
solution solution
, ,
you you
pour pour
it it
, ,
and and
you you
wait wait
for for
the the
protein protein
to to
self-assemble self-assemble
. .
And and
then then
you you
detach detach
the the
protein protein
and and
you you
get get
this this
film film
, ,
as as
the the
proteins protein
find find
each each
other other
as as
the the
water water
evaporates evaporate
. .
But but
I i
mentioned mention
that that
the the
film film
is be
also also
technological technological
. .
And and
so so
what what
does do
that that
mean mean
? ?
It it
means mean
that that
you you
can can
interface interface
it it
with with
some some
of of
the the
things thing
that that
are be
typical typical
of of
technology technology
, ,
like like
microelectronics microelectronics
and and
nanoscale nanoscale
technology technology
. .
And and
the the
image image
of of
the the
DVD dvd
here here
is be
just just
to to
illustrate illustrate
a a
point point
that that
silk silk
follows follow
very very
subtle subtle
topographies topography
of of
the the
surface surface
, ,
which which
means mean
that that
it it
can can
replicate replicate
features feature
on on
the the
nanoscale nanoscale
. .
So so
it it
would would
be be
able able
to to
replicate replicate
the the
information information
that that
is be
on on
the the
DVD dvd
. .
And and
we we
can can
store store
information information
that that
' '
s s
film film
with with
water water
and and
protein protein
. .
So so
we we
tried try
something something
out out
, ,
and and
we we
wrote write
a a
message message
in in
a a
piece piece
of of
silk silk
, ,
which which
is be
right right
here here
, ,
and and
the the
message message
is be
over over
there there
. .
And and
much much
like like
in in
the the
DVD dvd
, ,
you you
can can
read read
it it
out out
optically optically
. .
And and
this this
requires require
a a
stable stable
hand hand
, ,
so so
this this
is be
why why
I i
decided decide
to to
do do
it it
onstage onstage
in in
front front
of of
a a
thousand thousand
people people
. .
So so
let let
me me
see see
. .
So so
as as
you you
see see
the the
film film
go go
in in
transparently transparently
through through
there there
, ,
and and
then then
. .
. .
. .
And and
the the
most most
remarkable remarkable
feat feat
is be
that that
my my
hand hand
actually actually
stayed stay
still still
long long
enough enough
to to
do do
that that
. .
So so
once once
you you
have have
these these
attributes attribute
of of
this this
material material
, ,
then then
you you
can can
do do
a a
lot lot
of of
things thing
. .
It it
' '
s s
actually actually
not not
limited limit
to to
films film
. .
And and
so so
the the
material material
can can
assume assume
a a
lot lot
of of
formats format
. .
And and
then then
you you
go go
a a
little little
crazy crazy
, ,
and and
so so
you you
do do
various various
optical optical
components component
or or
you you
do do
microprism microprism
arrays array
, ,
like like
the the
reflective reflective
tape tape
that that
you you
have have
on on
your your
running run
shoes shoe
. .
Or or
you you
can can
do do
beautiful beautiful
things thing
that that
, ,
if if
the the
camera camera
can can
capture capture
, ,
you you
can can
make make
. .
You you
can can
add add
a a
third third
dimensionality dimensionality
to to
the the
film film
. .
And and
if if
the the
angle angle
is be
right right
, ,
you you
can can
actually actually
see see
a a
hologram hologram
appear appear
in in
this this
film film
of of
silk silk
. .
But but
you you
can can
do do
other other
things thing
. .
You you
can can
imagine imagine
that that
then then
maybe maybe
you you
can can
use use
a a
pure pure
protein protein
to to
guide guide
light light
, ,
and and
so so
we we
' '
ve ve
made make
optical optical
fibers fiber
. .
But but
silk silk
is be
versatile versatile
and and
it it
goes go
beyond beyond
optics optic
. .
And and
you you
can can
think think
of of
different different
formats format
. .
So so
for for
instance instance
, ,
if if
you you
' '
re re
afraid afraid
of of
going go
to to
the the
doctor doctor
and and
getting get
stuck stick
with with
a a
needle needle
, ,
we we
do do
microneedle microneedle
arrays array
. .
What what
you you
see see
there there
on on
the the
screen screen
is be
a a
human human
hair hair
superimposed superimpose
on on
the the
needle needle
that that
' '
s s
made make
of of
silk silk
â â
just just
to to
give give
you you
a a
sense sense
of of
size size
. .
You you
can can
do do
bigger big
things thing
. .
You you
can can
do do
gears gear
and and
nuts nut
and and
bolts bolt
â â
that that
you you
can can
buy buy
at at
Whole whole
Foods foods
. .
And and
the the
gears gear
work work
in in
water water
as as
well well
. .
So so
you you
think think
of of
alternative alternative
mechanical mechanical
parts part
. .
And and
maybe maybe
you you
can can
use use
that that
liquid liquid
Kevlar kevlar
if if
you you
need need
something something
strong strong
to to
replace replace
peripheral peripheral
veins vein
, ,
for for
example example
, ,
or or
maybe maybe
an an
entire entire
bone bone
. .
And and
so so
you you
have have
here here
a a
little little
example example
of of
a a
small small
skull skull
â â
what what
we we
call call
mini mini
Yorick yorick
. .
But but
you you
can can
do do
things thing
like like
cups cup
, ,
for for
example example
, ,
and and
so so
, ,
if if
you you
add add
a a
little little
bit bit
of of
gold gold
, ,
if if
you you
add add
a a
little little
bit bit
of of
semiconductors semiconductor
you you
could could
do do
sensors sensor
that that
stick stick
on on
the the
surfaces surface
of of
foods food
. .
You you
can can
do do
electronic electronic
pieces piece
that that
fold fold
and and
wrap wrap
. .
Or or
if if
you you
' '
re re
fashion fashion
forward forward
, ,
some some
silk silk
LED lead
tattoos tattoo
. .
So so
there there
' '
s s
versatility versatility
, ,
as as
you you
see see
, ,
in in
the the
material material
formats format
, ,
that that
you you
can can
do do
with with
silk silk
. .
But but
there there
are be
still still
some some
unique unique
traits trait
. .
I i
mean mean
, ,
why why
would would
you you
want want
to to
do do
all all
these these
things thing
for for
real real
? ?
I i
mentioned mention
it it
briefly briefly
at at
the the
beginning beginning
; ;
the the
protein protein
is be
biodegradable biodegradable
and and
biocompatible biocompatible
. .
And and
you you
see see
here here
a a
picture picture
of of
a a
tissue tissue
section section
. .
And and
so so
what what
does do
that that
mean mean
, ,
that that
it it
' '
s s
biodegradable biodegradable
and and
biocompatible biocompatible
? ?
You you
can can
implant implant
it it
in in
the the
body body
without without
needing need
to to
retrieve retrieve
what what
is be
implanted implant
. .
Which which
means mean
that that
all all
the the
devices device
that that
you you
' '
ve ve
seen see
before before
and and
all all
the the
formats format
, ,
in in
principle principle
, ,
can can
be be
implanted implant
and and
disappear disappear
. .
And and
what what
you you
see see
there there
in in
that that
tissue tissue
section section
, ,
in in
fact fact
, ,
is be
you you
see see
that that
reflector reflector
tape tape
. .
So so
, ,
much much
like like
you you
' '
re re
seen see
at at
night night
by by
a a
car car
, ,
then then
the the
idea idea
is be
that that
you you
can can
see see
, ,
if if
you you
illuminate illuminate
tissue tissue
, ,
you you
can can
see see
deeper deep
parts part
of of
tissue tissue
because because
there there
is be
that that
reflective reflective
tape tape
there there
that that
is be
made make
out out
of of
silk silk
. .
And and
you you
see see
there there
, ,
it it
gets get
reintegrated reintegrate
in in
tissue tissue
. .
And and
reintegration reintegration
in in
the the
human human
body body
is be
not not
the the
only only
thing thing
, ,
but but
reintegration reintegration
in in
the the
environment environment
is be
important important
. .
So so
you you
have have
a a
clock clock
, ,
you you
have have
protein protein
, ,
and and
now now
a a
silk silk
cup cup
like like
this this
can can
be be
thrown throw
away away
without without
guilt guilt
â â
unlike unlike
the the
polystyrene polystyrene
cups cup
that that
unfortunately unfortunately
fill fill
our our
landfills landfill
everyday everyday
. .
It it
' '
s s
edible edible
, ,
so so
you you
can can
do do
smart smart
packaging packaging
around around
food food
that that
you you
can can
cook cook
with with
the the
food food
. .
It it
doesn doesn
' '
t t
taste taste
good good
, ,
so so
I i
' '
m m
going go
to to
need need
some some
help help
with with
that that
. .
But but
probably probably
the the
most most
remarkable remarkable
thing thing
is be
that that
it it
comes come
full full
circle circle
. .
Silk silk
, ,
during during
its its
self-assembly self-assembly
process process
, ,
acts act
like like
a a
cocoon cocoon
for for
biological biological
matter matter
. .
And and
so so
if if
you you
change change
the the
recipe recipe
, ,
and and
you you
add add
things thing
when when
you you
pour pour
â â
so so
you you
add add
things thing
to to
your your
liquid liquid
silk silk
solution solution
â â
where where
these these
things thing
are be
enzymes enzyme
or or
antibodies antibody
or or
vaccines vaccine
, ,
the the
self-assembly self-assembly
process process
preserves preserve
the the
biological biological
function function
of of
these these
dopants dopant
. .
So so
it it
makes make
the the
materials material
environmentally environmentally
active active
and and
interactive interactive
. .
So so
that that
screw screw
that that
you you
thought think
about about
beforehand beforehand
can can
actually actually
be be
used use
to to
screw screw
a a
bone bone
together together
â â
a a
fractured fractured
bone bone
together together
â â
and and
deliver deliver
drugs drug
at at
the the
same same
, ,
while while
your your
bone bone
is be
healing heal
, ,
for for
example example
. .
Or or
you you
could could
put put
drugs drug
in in
your your
wallet wallet
and and
not not
in in
your your
fridge fridge
. .
So so
we we
' '
ve ve
made make
a a
silk silk
card card
with with
penicillin penicillin
in in
it it
. .
And and
we we
stored store
penicillin penicillin
at at
60 @card@
degrees degree
C c
, ,
so so
140 @card@
degrees degree
Fahrenheit fahrenheit
, ,
for for
two two
months month
without without
loss loss
of of
efficacy efficacy
of of
the the
penicillin penicillin
. .
And and
so so
that that
could could
be be
â- â-
that that
could could
be be
potentially potentially
a a
good good
alternative alternative
to to
solar solar
powered power
refrigerated refrigerate
camels camel
. .
And and
of of
course course
, ,
there there
' '
s s
no no
use use
in in
storage storage
if if
you you
can can
' '
t t
use use
[ [
it it
] ]
. .
And and
so so
there there
is be
this this
other other
unique unique
material material
trait trait
that that
these these
materials material
have have
, ,
that that
they they
' '
re re
programmably programmably
degradable degradable
. .
And and
so so
what what
you you
see see
there there
is be
the the
difference difference
. .
In in
the the
top top
, ,
you you
have have
a a
film film
that that
has have
been be
programmed programme
not not
to to
degrade degrade
, ,
and and
in in
the the
bottom bottom
, ,
a a
film film
that that
has have
been be
programmed programme
to to
degrade degrade
in in
water water
. .
And and
what what
you you
see see
is be
that that
the the
film film
on on
the the
bottom bottom
releases release
what what
is be
inside inside
it it
. .
So so
it it
allows allow
for for
the the
recovery recovery
of of
what what
we we
' '
ve ve
stored store
before before
. .
And and
so so
this this
allows allow
for for
a a
controlled control
delivery delivery
of of
drugs drug
and and
for for
reintegration reintegration
in in
the the
environment environment
in in
all all
of of
these these
formats format
that that
you you
' '
ve ve
seen see
. .
So so
the the
thread thread
of of
discovery discovery
that that
we we
have have
really really
is be
a a
thread thread
. .
We we
' '
re re
impassioned impassion
with with
this this
idea idea
that that
whatever whatever
you you
want want
to to
do do
, ,
whether whether
you you
want want
to to
replace replace
a a
vein vein
or or
a a
bone bone
, ,
or or
maybe maybe
be be
more more
sustainable sustainable
in in
microelectronics microelectronics
, ,
perhaps perhaps
drink drink
a a
coffee coffee
in in
a a
cup cup
and and
throw throw
it it
away away
without without
guilt guilt
, ,
maybe maybe
carry carry
your your
drugs drug
in in
your your
pocket pocket
, ,
deliver deliver
them them
inside inside
your your
body body
or or
deliver deliver
them them
across across
the the
desert desert
, ,
the the
answer answer
may may
be be
in in
a a
thread thread
of of
silk silk
. .
Thank thank
you you
. .
