What what
surround surround
our our
cells cell
, ,
the the
cells cell
are be
willing willing
to to
bring bring
the the
nanoparticle nanoparticle
inside inside
, ,
and and
that that
' '
s s
when when
the the
mRNA mrna
is be
released release
into into
the the
cell cell
. .
So so
what what
, ,
exactly exactly
, ,
are be
the the
lipids lipid
in in
these these
nanoparticles nanoparticle
? ?
There there
are be
four four
ingredients ingredient
in in
addition addition
to to
the the
mRNA mrna
, ,
and and
I i
' '
ll ll
tell tell
you you
about about
each each
one one
. .
First first
, ,
there there
' '
s s
a a
lipid lipid
called call
a a
phospholipid phospholipid
. .
This this
is be
the the
primary primary
ingredient ingredient
in in
our our
cell cell
membranes membrane
, ,
which which
are be
the the
walls wall
of of
fat fat
that that
separate separate
the the
insides inside
of of
our our
cells cell
from from
everything everything
that that
surrounds surround
them them
. .
Phospholipids phospholipid
have have
a a
head head
that that
likes like
water water
and and
a a
tail tail
that that
likes like
other other
fatty fatty
things thing
. .
So so
when when
you you
throw throw
a a
bunch bunch
of of
phospholipids phospholipid
together together
in in
water water
, ,
they they
form form
this this
beautiful beautiful
structure structure
called call
a a
lipid lipid
bilayer bilayer
. .
Here here
, ,
the the
heads head
face face
the the
inside inside
and and
the the
outside outside
of of
the the
cell cell
, ,
which which
is be
water water
, ,
and and
the the
fat-loving fat-loving
parts part
of of
the the
molecule molecule
hang hang
out out
together together
in in
the the
middle middle
. .
In in
lipid lipid
nanoparticles nanoparticle
, ,
phospholipids phospholipid
have have
a a
similar similar
role role
of of
keeping keep
all all
of of
the the
other other
ingredients ingredient
organized organize
. .
Second second
, ,
there there
' '
s s
a a
lipid lipid
called call
cholesterol cholesterol
. .
Why why
, ,
if if
cholesterol cholesterol
has have
a a
bad bad
reputation reputation
, ,
would would
we we
want want
to to
use use
it it
in in
a a
therapeutic therapeutic
nanoparticle nanoparticle
? ?
It it
turns turn
out out
that that
while while
cholesterol cholesterol
can can
be be
bad bad
when when
it it
' '
s s
in in
our our
bloodstream bloodstream
, ,
it it
' '
s s
actually actually
a a
really really
good good
thing thing
for for
our our
cell cell
membranes membrane
. .
And and
that that
' '
s s
because because
those those
phospholipids phospholipid
I i
just just
told tell
you you
about about
, ,
they they
are be
entirely entirely
too too
free free
with with
themselves themselves
, ,
and and
they they
are be
prone prone
to to
falling fall
apart apart
. .
Cholesterol cholesterol
is be
a a
stiff stiff
molecule molecule
that that
wedges wedge
itself itself
in in
between between
the the
other other
lipids lipid
to to
fill fill
in in
the the
gaps gap
and and
hold hold
them them
all all
together together
. .
It it
plays play
a a
similar similar
role role
in in
our our
lipid lipid
nanoparticles nanoparticle
. .
It it
provides provide
structural structural
support support
so so
the the
nanoparticles nanoparticle
don don
' '
t t
fall fall
apart apart
in in
between between
the the
injection injection
and and
when when
they they
get get
into into
our our
cells cell
. .
Third third
, ,
there there
' '
s s
a a
lipid lipid
called call
an an
ionizable ionizable
lipid lipid
. .
Here here
, ,
" "
ionizable ionizable
" "
means mean
that that
when when
these these
particles particle
are be
in in
the the
bloodstream bloodstream
, ,
they they
' '
re re
neutrally neutrally
charged charge
, ,
which which
helps help
with with
their their
safety safety
. .
Then then
they they
switch switch
to to
a a
positive positive
charge charge
inside inside
of of
our our
cells cell
, ,
which which
helps help
them them
release release
the the
mRNA mrna
. .
Ionizable ionizable
lipids lipid
are be
special special
because because
they they
have have
to to
be be
made make
in in
the the
lab lab
, ,
and and
scientists scientist
around around
the the
world world
have have
tested test
tens ten
of of
thousands thousand
of of
these these
materials material
to to
find find
ones one
that that
are be
good good
at at
delivering deliver
mRNA mrna
safely safely
. .
And and
because because
they they
' '
re re
made make
in in
the the
lab lab
, ,
they they
tend tend
to to
be be
proprietary proprietary
to to
the the
company company
that that
invented invent
them them
. .
So so
, ,
for for
example example
, ,
Moderna moderna
and and
BioNTech biontech
, ,
the the
company company
that that
partnered partner
with with
Pfizer pfizer
, ,
they they
discovered discover
different different
ionizable ionizable
lipids lipid
, ,
and and
that that
is be
the the
only only
important important
ingredient ingredient
in in
their their
COVID-19 covid-19
vaccines vaccine
that that
differ differ
. .
And and
even even
then then
, ,
their their
ionizable ionizable
lipids lipid
aren aren
' '
t t
even even
that that
different different
, ,
which which
is be
reassuring reassure
, ,
because because
when when
independent independent
groups group
of of
scientists scientist
converge converge
on on
similar similar
solutions solution
, ,
it it
' '
s s
easier easier
to to
trust trust
the the
result result
. .
Finally finally
, ,
one one
more more
ingredient ingredient
. .
This this
one one
is be
a a
polymer polymer
called call
polyethylene polyethylene
glycol glycol
. .
So so
let let
' '
s s
call call
it it
PEG peg
. .
That that
' '
s s
much much
easier easy
. .
PEG peg
is be
a a
water-loving water-loving
molecule molecule
. .
So so
it it
surrounds surround
the the
lipid lipid
nanoparticle nanoparticle
and and
it it
holds hold
it it
all all
together together
. .
You you
can can
think think
of of
the the
other other
three three
lipids lipid
as as
the the
box box
and and
the the
bubble bubble
wrap wrap
for for
the the
mRNA mrna
, ,
and and
the the
PEG peg
as as
the the
packing packing
tape tape
. .
You you
may may
have have
heard hear
in in
the the
news news
about about
a a
tiny tiny
fraction fraction
of of
people people
that that
have have
allergic allergic
responses response
to to
the the
vaccine vaccine
. .
There there
is be
some some
evidence evidence
that that
PEG peg
could could
be be
contributing contribute
to to
these these
allergic allergic
reactions reaction
. .
And and
that that
' '
s s
because because
people people
are be
routinely routinely
exposed expose
to to
PEG peg
in in
cosmetic cosmetic
and and
household household
products product
, ,
and and
some some
people people
have have
already already
developed develop
antibodies antibody
against against
PEG peg
. .
But but
why why
would would
this this
happen happen
to to
some some
people people
and and
not not
to to
others other
? ?
It it
turns turn
out out
that that
every every
person person
' '
s s
immune immune
system system
is be
different different
, ,
and and
just just
the the
same same
way way
that that
some some
people people
are be
allergic allergic
to to
latex latex
, ,
other other
people people
are be
allergic allergic
to to
PEG peg
. .
It it
' '
s s
important important
to to
keep keep
in in
mind mind
, ,
however however
, ,
that that
PEG peg
has have
had have
a a
long long
history history
of of
safe safe
use use
as as
part part
of of
FDA-approved fda-approved
drug drug
formulations formulation
, ,
and and
these these
vaccine vaccine
allergies allergy
could could
be be
caused cause
by by
things thing
other other
than than
PEG peg
. .
More more
research research
is be
needed need
to to
get get
to to
the the
bottom bottom
of of
these these
side side
effects effect
. .
All all
right right
, ,
so so
let let
' '
s s
take take
a a
step step
back back
and and
look look
at at
our our
whole whole
nanoparticle nanoparticle
. .
Beautiful beautiful
, ,
right right
? ?
When when
these these
ingredients ingredient
all all
fit fit
together together
nicely nicely
, ,
the the
result result
is be
a a
deliverywoman deliverywoman
' '
s s
dream dream
. .
In in
the the
case case
of of
the the
vaccines vaccine
, ,
after after
these these
nanoparticles nanoparticle
get get
injected inject
into into
our our
muscle muscle
, ,
they they
take take
the the
mRNA mrna
into into
our our
cells cell
. .
There there
, ,
the the
mRNA mrna
acts act
like like
an an
instruction instruction
manual manual
that that
tells tell
our our
cells cell
to to
make make
a a
foreign foreign
protein protein
, ,
in in
this this
case case
, ,
the the
coronavirus coronavirus
spike spike
protein protein
. .
When when
our our
immune immune
cells cell
see see
the the
spike spike
protein protein
, ,
they they
rush rush
to to
protect protect
us us
from from
it it
, ,
and and
they they
teach teach
themselves themselves
to to
remember remember
it it
, ,
so so
that that
they they
can can
kill kill
it it
if if
it it
ever ever
returns return
. .
As as
we we
speak speak
, ,
the the
mRNA mrna
vaccines vaccine
are be
out out
there there
saving save
lives life
from from
the the
coronavirus coronavirus
. .
They they
were be
our our
first first
and and
best well
tool tool
to to
combat combat
this this
nightmare nightmare
, ,
and and
they they
are be
our our
best good
hope hope
of of
responding respond
swiftly swiftly
to to
viral viral
variance variance
because because
we we
can can
keep keep
our our
lipid lipid
nanoparticle nanoparticle
packaging package
the the
same same
, ,
and and
all all
we we
have have
to to
do do
is be
swap swap
out out
the the
mRNA mrna
that that
' '
s s
inside inside
. .
But but
here here
' '
s s
the the
best good
part part
: :
for for
mRNA mrna
therapeutics therapeutics
, ,
these these
vaccines vaccine
are be
only only
the the
beginning beginning
. .
mRNA mrna
can can
be be
used use
to to
treat treat
or or
cure cure
many many
diseases disease
. .
So so
in in
the the
future future
, ,
we we
will will
likely likely
have have
treatments treatment
for for
many many
terrible terrible
diseases disease
, ,
including include
cystic cystic
fibrosis fibrosis
, ,
muscular muscular
dystrophy dystrophy
and and
sickle sickle
cell cell
anemia anemia
. .
These these
diseases disease
are be
caused cause
by by
mutated mutate
proteins protein
, ,
and and
we we
can can
use use
mRNA mrna
to to
ask ask
our our
cells cell
to to
make make
the the
correct correct
version version
of of
these these
proteins protein
. .
We we
' '
ll ll
have have
treatments treatment
for for
cancer cancer
-- --
breast breast
, ,
blood blood
, ,
lungs lung
-- --
you you
name name
it it
. .
Here here
, ,
we we
' '
ll ll
use use
mRNA mrna
to to
teach teach
our our
immune immune
cells cell
how how
to to
find find
and and
kill kill
cancer cancer
cells cell
. .
And and
then then
, ,
if if
we we
' '
re re
lucky lucky
, ,
we we
' '
ll ll
have have
vaccines vaccine
against against
some some
of of
the the
most most
deadly deadly
and and
feared feared
pathogens pathogen
across across
the the
globe globe
, ,
including include
malaria malaria
, ,
Ebola ebola
and and
HIV hiv
. .
Some some
of of
these these
products product
are be
already already
in in
clinical clinical
trials trial
, ,
and and
the the
success success
of of
the the
COVID-19 covid-19
vaccines vaccine
will will
pave pave
the the
way way
for for
future future
generations generation
of of
these these
therapies therapy
. .
This this
is be
how how
the the
pandemic pandemic
will will
save save
the the
lives life
of of
millions million
. .
It it
catalyzed catalyze
the the
most most
rapid rapid
vaccine vaccine
development development
in in
history history
and and
brought bring
to to
life life
a a
niche niche
, ,
previously previously
unapproved unapproved
form form
of of
technology technology
. .
And and
in in
our our
desperation desperation
, ,
we we
gave give
that that
technology technology
a a
chance chance
. .
Now now
we we
' '
re re
collecting collect
long-term long-term
safety safety
and and
efficacy efficacy
data datum
from from
hundreds hundred
of of
millions million
of of
people people
. .
And and
with with
these these
data datum
, ,
interest interest
in in
the the
technology technology
, ,
funding fund
for for
the the
technology technology
and and
trust trust
in in
the the
technology technology
will will
continue continue
to to
grow grow
. .
Looking look
ahead ahead
, ,
the the
packaging packaging
and and
delivery delivery
of of
mRNA mrna
to to
the the
right right
organs organ
and and
tissues tissue
will will
continue continue
to to
be be
one one
of of
the the
most most
significant significant
challenges challenge
to to
implementing implement
this this
technology technology
. .
And and
so so
my my
colleagues colleague
and and
I i
are be
going go
to to
be be
busy busy
for for
a a
very very
long long
time time
. .
Ultimately ultimately
, ,
I i
' '
m m
here here
with with
a a
message message
of of
hope hope
. .
We we
are be
on on
the the
cusp cusp
of of
a a
revolution revolution
. .
mRNA mrna
is be
about about
to to
change change
the the
world world
forever forever
, ,
and and
it it
' '
s s
all all
thanks thanks
to to
these these
fatty fatty
little little
balls ball
that that
take take
this this
miracle miracle
medicine medicine
to to
exactly exactly
where where
it it
' '
s s
needed need
. .
Thank thank
you you
. .
