If if
and and
the the
whole whole
thing thing
gets get
wonky wonky
really really
fast fast
. .
It it
doesn doesn
' '
t t
have have
to to
be be
this this
way way
. .
I i
and and
my my
team team
have have
spent spend
many many
years year
going go
into into
different different
companies company
and and
asking asking
who who
here here
is be
a a
great great
feedback feedback
giver giver
. .
Anybody anybody
who who
' '
s s
named name
again again
and and
again again
, ,
we we
actually actually
bring bring
into into
our our
labs lab
to to
see see
what what
they they
' '
re re
doing do
differently differently
. .
And and
what what
we we
find find
is be
that that
there there
' '
s s
a a
four-part four-part
formula formula
that that
you you
can can
use use
to to
say say
any any
difficult difficult
message message
well well
. .
OK ok
, ,
are be
you you
ready ready
for for
it it
? ?
Here here
we we
go go
. .
The the
first first
part part
of of
the the
formula formula
is be
what what
we we
call call
the the
micro-yes micro-yes
. .
Great great
feedback feedback
givers giver
begin begin
their their
feedback feedback
by by
asking ask
a a
question question
that that
is be
short short
but but
important important
. .
It it
lets let
the the
brain brain
know know
that that
feedback feedback
is be
actually actually
coming come
. .
It it
would would
be be
something something
, ,
for for
example example
, ,
like like
, ,
" "
Do do
you you
have have
five five
minutes minute
to to
talk talk
about about
how how
that that
last last
conversation conversation
went go
" "
or or
" "
I i
have have
some some
ideas idea
for for
how how
we we
can can
improve improve
things thing
. .
Can can
I i
share share
them them
with with
you you
? ?
" "
This this
micro-yes micro-yes
question question
does do
two two
things thing
for for
you you
. .
First first
of of
all all
, ,
it it
' '
s s
going go
to to
be be
a a
pacing pace
tool tool
. .
It it
lets let
the the
other other
person person
know know
that that
feedback feedback
is be
about about
to to
be be
given give
. .
And and
the the
second second
thing thing
it it
does do
is be
it it
creates create
a a
moment moment
of of
buy-in buy-in
. .
I i
can can
say say
yes yes
or or
no no
to to
that that
yes yes
or or
no no
question question
. .
And and
with with
that that
, ,
I i
get get
a a
feeling feeling
of of
autonomy autonomy
. .
The the
second second
part part
of of
the the
feedback feedback
formula formula
is be
going go
to to
be be
giving give
your your
data data
point point
. .
Here here
, ,
you you
should should
name name
specifically specifically
what what
you you
saw see
or or
heard hear
, ,
and and
cut cut
out out
any any
words word
that that
aren aren
' '
t t
objective objective
. .
There there
' '
s s
a a
concept concept
we we
call call
blur blur
words word
. .
A a
blur blur
word word
is be
something something
that that
can can
mean mean
different different
things thing
to to
different different
people people
. .
Blur blur
words word
are be
not not
specific specific
. .
So so
for for
example example
, ,
if if
I i
say say
" "
You you
shouldn shouldn
' '
t t
be be
so so
defensive defensive
" "
or or
" "
You you
could could
be be
more more
proactive proactive
. .
" "
What what
we we
see see
great great
feedback feedback
givers giver
doing do
differently differently
is be
they they
' '
ll ll
convert convert
their their
blur blur
words word
into into
actual actual
data datum
points point
. .
So so
for for
example example
, ,
instead instead
of of
saying say
, ,
" "
You you
aren aren
' '
t t
reliable reliable
, ,
" "
we we
would would
say say
, ,
" "
You you
said say
you you
' '
d d
get get
that that
email email
to to
me me
by by
11 @card@
, ,
and and
I i
still still
don don
' '
t t
have have
it it
yet yet
. .
" "
Specificity specificity
is be
also also
important important
when when
it it
comes come
to to
positive positive
feedback feedback
, ,
and and
the the
reason reason
for for
that that
is be
that that
we we
want want
to to
be be
able able
to to
specify specify
exactly exactly
what what
we we
want want
the the
other other
person person
to to
increase increase
or or
diminish diminish
. .
And and
if if
we we
stick stick
with with
blur blur
words word
, ,
they they
actually actually
won win
' '
t t
have have
any any
clue clue
particularly particularly
what what
to to
do do
going go
forward forward
to to
keep keep
repeating repeat
that that
behavior behavior
. .
The the
third third
part part
of of
the the
feedback feedback
formula formula
is be
the the
impact impact
statement statement
. .
Here here
, ,
you you
name name
exactly exactly
how how
that that
data datum
point point
impacted impact
you you
. .
So so
, ,
for for
example example
, ,
I i
might might
say say
, ,
" "
Because because
I i
didn didn
' '
t t
get get
the the
message message
, ,
I i
was be
blocked block
on on
my my
work work
and and
couldn couldn
' '
t t
move move
forward forward
" "
or or
" "
I i
really really
liked like
how how
you you
added add
those those
stories story
, ,
because because
it it
helped help
me me
grasp grasp
the the
concepts concept
faster faster
. .
" "
It it
gives give
you you
a a
sense sense
of of
purpose purpose
and and
meaning meaning
and and
logic logic
between between
the the
points point
, ,
which which
is be
something something
the the
brain brain
really really
craves crave
. .
The the
fourth fourth
part part
of of
the the
feedback feedback
formula formula
is be
a a
question question
. .
Great great
feedback feedback
givers giver
wrap wrap
their their
feedback feedback
message message
with with
a a
question question
. .
They they
' '
ll ll
ask ask
something something
like like
, ,
" "
Well well
, ,
how how
do do
you you
see see
it it
? ?
" "
Or or
" "
This this
is be
what what
I i
' '
m m
thinking think
we we
should should
do do
, ,
but but
what what
are be
your your
thoughts thought
on on
it it
? ?
" "
What what
it it
does do
is be
it it
creates create
commitment commitment
rather rather
than than
just just
compliance compliance
. .
It it
makes make
the the
conversation conversation
no no
longer longer
be be
a a
monologue monologue
, ,
but but
rather rather
becomes become
a a
joint joint
problem-solving problem-solve
situation situation
. .
But but
there there
' '
s s
one one
last last
thing thing
. .
Great great
feedback feedback
givers giver
not not
only only
can can
say say
messages message
well well
, ,
but but
also also
, ,
they they
ask ask
for for
feedback feedback
regularly regularly
. .
In in
fact fact
, ,
our our
research research
on on
perceived perceive
leadership leadership
shows show
that that
you you
shouldn shouldn
' '
t t
wait wait
for for
feedback feedback
to to
be be
given give
to to
you you
-- --
what what
we we
call call
push push
feedback feedback
-- --
but but
rather rather
, ,
you you
should should
actively actively
ask ask
for for
feedback feedback
, ,
what what
we we
call call
pulling pull
feedback feedback
. .
Pulling pull
feedback feedback
establishes establish
you you
as as
a a
continual continual
learner learner
and and
puts put
the the
power power
in in
your your
hands hand
. .
The the
most most
challenging challenging
situations situation
are be
actually actually
the the
ones one
that that
call call
for for
the the
most most
skillful skillful
feedback feedback
. .
But but
it it
doesn doesn
' '
t t
have have
to to
be be
hard hard
. .
Now now
that that
you you
know know
this this
four-part four-part
formula formula
, ,
you you
can can
mix mix
and and
match match
it it
to to
make make
it it
work work
for for
any any
difficult difficult
conversation conversation
. .
