Nina nina
to to
our our
two two
myths myth
: :
virgins virgin
bleed bleed
, ,
hymens hymen
are be
lost lose
forever forever
. .
But but
the the
hymen hymen
doesn doesn
' '
t t
have have
to to
break break
at at
all all
. .
The the
hymen hymen
is be
like like
a a
scrunchie scrunchie
in in
function function
as as
well well
as as
in in
looks look
. .
And and
you you
can can
stretch stretch
a a
scrunchie scrunchie
, ,
right right
? ?
You you
can can
stretch stretch
a a
hymen hymen
, ,
too too
. .
In in
fact fact
, ,
it it
' '
s s
very very
elastic elastic
. .
And and
for for
a a
lot lot
of of
women woman
, ,
the the
hymen hymen
will will
be be
elastic elastic
enough enough
to to
handle handle
a a
vaginal vaginal
intercourse intercourse
without without
sustaining sustain
any any
damage damage
. .
For for
other other
women woman
, ,
the the
hymen hymen
may may
tear tear
a a
bit bit
to to
make make
room room
for for
the the
penis penis
, ,
but but
that that
won win
' '
t t
make make
it it
disappear disappear
. .
But but
it it
may may
look look
a a
bit bit
different different
from from
before before
. .
It it
naturally naturally
follows follow
that that
you you
can can
' '
t t
examine examine
the the
hymen hymen
to to
check check
for for
virginity virginity
status status
. .
This this
was be
noted note
over over
100 @card@
years year
ago ago
in in
1906 @card@
by by
the the
Norwegian norwegian
doctor doctor
Marie marie
Jeancet jeancet
. .
She she
examined examine
a a
middle-aged middle-aged
sex sex
worker worker
and and
concluded conclude
that that
her her
genitalia genitalia
were be
reminiscent reminiscent
of of
a a
teenage teenage
virgin virgin
. .
But but
that that
makes make
sense sense
, ,
right right
? ?
Because because
if if
her her
hymen hymen
was be
never never
damaged damage
during during
sex sex
, ,
then then
what what
were be
we we
expecting expecting
to to
see see
? ?
ESD esd
: :
Since since
hymens hymen
come come
in in
every every
shape shape
and and
form form
, ,
it it
is be
difficult difficult
to to
know know
if if
a a
dent dent
or or
a a
fold fold
in in
it it
is be
there there
because because
of of
previous previous
damage damage
or or
if if
it it
' '
s s
just just
a a
normal normal
anatomical anatomical
variant variant
. .
The the
absurdity absurdity
of of
virgin virgin
testing testing
is be
illustrated illustrate
in in
a a
study study
done do
on on
36 @card@
pregnant pregnant
teenagers teenager
. .
When when
doctors doctor
examined examine
their their
hymens hymen
, ,
they they
could could
only only
find find
clear clear
signs sign
of of
penetration penetration
in in
two two
out out
of of
the the
36 @card@
girls girl
. .
So so
unless unless
you you
believe believe
in in
34 @card@
cases case
of of
virgin virgin
births birth
â â
we we
must must
all all
agree agree
that that
also also
our our
second second
myth myth
has have
taken take
a a
vital vital
blow blow
. .
You you
simply simply
cannot can
look look
a a
woman woman
between between
her her
legs leg
and and
read read
her her
sexual sexual
story story
. .
NDB ndb
: :
Like like
most most
myths myth
, ,
the the
myths myth
about about
the the
hymen hymen
are be
untrue untrue
. .
There there
is be
no no
virgin virgin
seal seal
that that
magically magically
disappears disappear
after after
sex sex
, ,
and and
half half
of of
virgins virgin
can can
easily easily
have have
sex sex
without without
bleeding bleeding
. .
We we
wish wish
we we
could could
say say
that that
by by
removing remove
these these
myths myth
, ,
everything everything
would would
be be
OK ok
, ,
that that
shame shame
, ,
harm harm
and and
honor honor
killings killing
would would
all all
just just
disappear disappear
. .
But but
of of
course course
, ,
it it
' '
s s
not not
that that
simple simple
. .
Sexual sexual
oppression oppression
of of
women woman
comes come
from from
something something
much much
deeper deep
than than
a a
simple simple
anatomical anatomical
misunderstanding misunderstanding
about about
the the
properties property
of of
the the
hymen hymen
. .
It it
' '
s s
a a
question question
of of
cultural cultural
and and
religious religious
control control
of of
women woman
' '
s s
sexuality sexuality
. .
And and
that that
is be
much much
harder hard
to to
change change
. .
But but
we we
must must
try try
. .
ESD esd
: :
As as
medical medical
professionals professional
, ,
this this
is be
our our
contribution contribution
. .
We we
want want
every every
girl girl
, ,
parent parent
and and
[ [
future future
] ]
husband husband
to to
know know
what what
the the
hymen hymen
is be
and and
how how
it it
works work
. .
We we
want want
them them
to to
know know
that that
the the
hymen hymen
can can
' '
t t
be be
used use
as as
a a
proof proof
of of
virginity virginity
. .
And and
that that
way way
, ,
we we
can can
remove remove
one one
of of
the the
most most
powerful powerful
tools tool
used use
to to
control control
young young
women woman
today today
. .
After after
telling tell
you you
this this
, ,
you you
may may
wonder wonder
what what
the the
alternative alternative
is be
, ,
for for
if if
we we
cannot can
use use
the the
hymen hymen
as as
a a
proof proof
of of
virginity virginity
for for
women woman
, ,
then then
what what
should should
we we
use use
? ?
We we
opt opt
for for
using use
nothing nothing
. .
If if
you you
â â
If if
you you
really really
want want
to to
know know
if if
a a
woman woman
is be
a a
virgin virgin
or or
not not
, ,
ask ask
her her
. .
But but
how how
she she
answers answer
that that
question question
is be
her her
choice choice
. .
Thank thank
you you
. .
