At at
. .
I i
began begin
to to
use use
music music
as as
a a
tool tool
to to
study study
emotion emotion
and and
memory memory
in in
the the
brain brain
. .
My my
first first
scientific scientific
study study
was be
focused focus
on on
music-evoked music-evoked
nostalgia nostalgia
. .
Nostalgia nostalgia
' '
s s
a a
rich rich
and and
bittersweet bittersweet
emotion emotion
that that
is be
intimately intimately
tied tie
up up
with with
our our
autobiographical autobiographical
memories memory
. .
We we
can can
often often
encounter encounter
nostalgia nostalgia
in in
unexpected unexpected
places place
. .
You you
may may
have have
had have
the the
experience experience
of of
driving drive
down down
the the
highway highway
, ,
turning turn
on on
the the
radio radio
or or
firing fire
up up
your your
favorite favorite
music music
recommendation recommendation
service service
, ,
and and
you you
hear hear
a a
song song
you you
haven haven
' '
t t
heard hear
in in
ages age
, ,
and and
you you
get get
immediately immediately
transported transport
back back
in in
time time
and and
dumped dump
into into
this this
immersive immersive
memory memory
-- --
something something
you you
haven haven
' '
t t
thought think
about about
in in
ages age
but but
was be
very very
meaningful meaningful
to to
you you
-- --
maybe maybe
wedding wed
day day
or or
senior senior
prom prom
or or
the the
birth birth
of of
your your
first first
child child
or or
the the
death death
of of
a a
loved love
one one
. .
Music music
can can
serve serve
as as
a a
powerful powerful
context context
cue cue
for for
deeply deeply
meaningful meaningful
and and
intensely intensely
vivid vivid
nostalgic nostalgic
memories memory
such such
as as
these these
. .
Nostalgia nostalgia
, ,
in in
a a
sense sense
, ,
is be
deeply deeply
woven weave
into into
our our
sense sense
of of
self self
. .
Who who
are be
we we
at at
our our
most most
authentic authentic
selves self
? ?
By by
connecting connect
us us
with with
our our
emotional emotional
histories history
, ,
nostalgia nostalgia
can can
help help
us us
to to
stave stave
off off
sadness sadness
, ,
loneliness loneliness
, ,
existential existential
threat threat
and and
even even
the the
imminence imminence
of of
death death
and and
the the
approaching approach
horizon horizon
of of
our our
lives life
as as
we we
age age
. .
To to
try try
to to
get get
a a
better good
understanding understanding
of of
how how
music music
may may
tap tap
into into
nostalgia nostalgia
and and
what what
that that
may may
be be
doing do
in in
the the
brain brain
, ,
I i
began begin
to to
work work
with with
computational computational
models model
of of
music music
cognition cognition
. .
I i
applied apply
these these
models model
to to
interrogate interrogate
brain brain
activity activity
that that
was be
recorded record
while while
people people
were be
listening listen
to to
nostalgia-evoking nostalgia-evoking
and and
nonnostalgia-evoking nonnostalgia-evoking
music music
. .
And and
importantly importantly
, ,
at at
least least
to to
a a
brain brain
geek geek
like like
me me
, ,
I i
found find
that that
nostalgia nostalgia
was be
able able
to to
recruit recruit
a a
wide wide
network network
of of
brain brain
regions region
involved involve
in in
multiple multiple
levels level
of of
different different
cognitive cognitive
processes process
. .
Whereas whereas
nonnostalgic nonnostalgic
music music
could could
recruit recruit
brain brain
regions region
such such
as as
Heschl heschl
' '
s s
gyrus gyrus
, ,
involved involve
in in
basic basic
auditory auditory
processing processing
, ,
or or
Broca broca
' '
s s
area area
, ,
which which
is be
involved involve
in in
processing process
grammar grammar
and and
syntax syntax
not not
only only
in in
language language
but but
also also
in in
music music
, ,
nostalgia nostalgia
was be
able able
to to
recruit recruit
these these
brain brain
regions region
and and
more more
. .
Brain brain
regions region
such such
as as
the the
substantia substantia
nigra nigra
involved involve
in in
reward reward
processing processing
or or
the the
anterior anterior
insula insula
involved involve
in in
the the
visceral visceral
experience experience
of of
emotion emotion
or or
brain brain
regions region
in in
the the
inferior inferior
frontal frontal
gyrus gyrus
that that
are be
involved involve
in in
autobiographical autobiographical
memories memory
. .
Nostalgia nostalgia
was be
also also
able able
to to
recruit recruit
a a
wide wide
network network
of of
brain brain
regions region
in in
prefrontal prefrontal
, ,
frontal frontal
, ,
cingulate cingulate
, ,
insular insular
, ,
parietal parietal
, ,
occipital occipital
and and
subcortical subcortical
brain brain
regions region
that that
span span
nearly nearly
all all
of of
our our
cognitive cognitive
faculties faculty
. .
This this
may may
explain explain
why why
nostalgia nostalgia
can can
have have
such such
an an
outsized outsized
impact impact
on on
us us
. .
But but
as as
powerful powerful
as as
it it
is be
in in
the the
moment moment
, ,
the the
salve salve
of of
music-evoked music-evoked
nostalgia nostalgia
eventually eventually
fades fade
. .
Nostalgia nostalgia
may may
be be
more more
of of
a a
Band-Aid band-aid
, ,
less less
of of
an an
antibiotic antibiotic
and and
typically typically
far far
from from
a a
surgical surgical
intervention intervention
for for
our our
emotional emotional
health health
. .
Music music
can can
draw draw
out out
nostalgia nostalgia
and and
music music
and and
nostalgia nostalgia
can can
move move
our our
feelings feeling
, ,
but but
how how
do do
we we
make make
these these
feelings feeling
stick stick
? ?
After after
studying study
the the
nostalgic nostalgic
brain brain
, ,
I i
joined join
a a
team team
at at
Johns johns
Hopkins hopkins
University university
that that
was be
studying study
the the
effects effect
of of
psychedelic psychedelic
drugs drug
, ,
and and
I i
quickly quickly
began begin
to to
learn learn
how how
deeply deeply
a a
piece piece
of of
music music
could could
impact impact
a a
person person
during during
a a
psychedelic psychedelic
experience experience
. .
I i
was be
previously previously
vexed vex
by by
the the
difficulty difficulty
in in
predicting predict
precisely precisely
what what
musical musical
stimulus stimulus
would would
evoke evoke
precisely precisely
what what
response response
within within
a a
given give
individual individual
. .
A a
song song
that that
evokes evoke
nostalgia nostalgia
in in
one one
person person
could could
just just
as as
easily easily
evoke evoke
disinterest disinterest
or or
disgust disgust
in in
another another
person person
. .
I i
began begin
to to
learn learn
how how
deeply deeply
most most
music music
seemed seem
to to
impact impact
most most
people people
during during
psychedelic psychedelic
experiences experience
. .
Since since
at at
least least
the the
late late
' '
50s 50s
, ,
the the
value value
of of
using use
music music
to to
help help
people people
to to
navigate navigate
psychedelic psychedelic
experiences experience
was be
clear clear
. .
We we
continue continue
this this
tradition tradition
in in
our our
modern modern
research research
, ,
asking ask
volunteers volunteer
to to
listen listen
to to
music music
during during
the the
course course
of of
a a
psychedelic psychedelic
therapy therapy
session session
, ,
and and
despite despite
most most
people people
being be
mostly mostly
naive naive
to to
the the
music music
that that
we we
play play
before before
they they
get get
into into
the the
sessions session
, ,
after after
these these
sessions session
, ,
our our
volunteers volunteer
practically practically
beg beg
us us
for for
the the
playlists playlist
. .
And and
some some
of of
them them
report report
returning return
to to
the the
songs song
that that
were be
most most
impactful impactful
to to
them them
during during
their their
psychedelic psychedelic
experience experience
weeks week
, ,
months month
and and
even even
many many
years year
after after
the the
experience experience
. .
Somehow somehow
, ,
these these
songs song
can can
turn turn
into into
touchstones touchstone
that that
can can
rekindle rekindle
the the
most most
powerful powerful
and and
impactful impactful
and and
insightful insightful
experiences experience
that that
people people
encountered encounter
during during
their their
psychedelic psychedelic
sessions session
. .
Of of
course course
, ,
I i
had have
to to
know know
what what
was be
going go
on on
here here
. .
I i
began begin
to to
deploy deploy
my my
batteries battery
of of
questionnaires questionnaire
and and
my my
carefully carefully
crafted craft
experiments experiment
and and
my my
big big
, ,
fancy fancy
MRI mri
machines machine
to to
try try
to to
determine determine
just just
what what
could could
be be
happening happen
during during
these these
experiences experience
that that
could could
explain explain
the the
depth depth
of of
impact impact
that that
people people
were be
encountering encounter
. .
At at
a a
basic basic
psychological psychological
level level
, ,
my my
colleagues colleague
and and
I i
determined determine
that that
, ,
for for
instance instance
, ,
LSD lsd
can can
increase increase
positive positive
emotions emotion
that that
are be
uniquely uniquely
encountered encounter
during during
music music
listening listening
. .
This this
may may
have have
relevance relevance
just just
by by
itself itself
for for
healthy healthy
individuals individual
as as
well well
as as
people people
suffering suffer
from from
mood mood
and and
substance-use substance-use
disorders disorder
. .
But but
what what
was be
happening happen
in in
the the
brain brain
? ?
Earlier earlier
we we
learned learn
that that
the the
entire entire
brain brain
listens listen
to to
nostalgic nostalgic
music music
. .
When when
applying apply
computational computational
models model
of of
music music
cognition cognition
to to
interrogate interrogate
brain brain
activity activity
that that
was be
recorded record
during during
music music
listening listen
under under
the the
effects effect
of of
LSD lsd
, ,
we we
found find
that that
the the
entire entire
brain brain
was be
listening listen
to to
music music
and and
psychedelics psychedelics
were be
turning turn
up up
the the
gain gain
. .
Where where
nostalgia nostalgia
could could
recruit recruit
brain brain
regions region
involved involve
in in
language language
, ,
memory memory
and and
emotion emotion
, ,
psychedelics psychedelics
were be
recruiting recruit
these these
brain brain
regions region
at at
least least
twice twice
as as
strongly strongly
. .
Brain brain
regions region
such such
as as
the the
thalamus thalamus
, ,
that that
' '
s s
involved involve
in in
basic basic
sensory sensory
processing processing
or or
the the
medial medial
prefrontal prefrontal
cortex cortex
and and
the the
posterior posterior
singular singular
cortex cortex
, ,
which which
can can
be be
involved involve
in in
memory memory
and and
emotion emotion
and and
mental mental
imagery imagery
. .
These these
brain brain
regions region
were be
recruited recruit
up up
to to
four four
times time
as as
strongly strongly
during during
the the
effects effect
of of
LSD lsd
than than
without without
LSD lsd
. .
Psychedelics psychedelics
turn turn
the the
knob knob
up up
to to
11 @card@
. .
Sensory sensory
information information
is be
more more
richly richly
experienced experience
in in
the the
brain brain
; ;
emotions emotion
, ,
memories memory
and and
mental mental
imagery imagery
are be
supercharged supercharge
, ,
and and
it it
may may
be be
the the
wholesale wholesale
and and
strong strong
recruitment recruitment
of of
a a
wide wide
range range
of of
brain brain
regions region
during during
these these
experiences experience
that that
is be
the the
necessary necessary
key key
to to
unlocking unlock
change change
that that
sets set
these these
drugs drug
and and
these these
experiences experience
apart apart
from from
others other
. .
And and
the the
effects effect
can can
be be
long-lasting long-lasting
. .
In in
a a
study study
of of
healthy healthy
individuals individual
, ,
I i
demonstrated demonstrate
that that
a a
single single
high high
dose dose
of of
psilocybin psilocybin
could could
reduce reduce
negative negative
affect affect
in in
volunteers volunteer
for for
at at
least least
a a
week week
after after
psilocybin psilocybin
, ,
and and
increase increase
positive positive
affect affect
for for
at at
least least
a a
month month
after after
a a
single single
high high
dose dose
of of
psilocybin psilocybin
. .
The the
reduction reduction
in in
negative negative
affect affect
that that
we we
observed observe
after after
psilocybin psilocybin
administration administration
was be
accompanied accompany
by by
a a
reduction reduction
, ,
one one
week week
after after
psilocybin psilocybin
, ,
in in
the the
response response
of of
a a
primitive primitive
brain brain
region region
called call
the the
amygdala amygdala
to to
emotional emotional
stimuli stimulus
. .
In in
a a
separate separate
study study
in in
patients patient
with with
major major
depressive depressive
disorder disorder
, ,
not not
only only
did do
we we
observe observe
a a
substantial substantial
decrease decrease
in in
depression depression
severity severity
in in
most most
of of
our our
patients patient
after after
two two
doses dose
of of
psilocybin psilocybin
, ,
but but
we we
also also
observed observe
a a
reduction reduction
in in
the the
amygdala amygdala
response response
to to
negative negative
affective affective
stimuli stimulus
, ,
specifically specifically
, ,
one one
week week
after after
psilocybin psilocybin
. .
This this
reduction reduction
in in
amygdala amygdala
response response
was be
associated associate
with with
an an
enduring enduring
reduction reduction
in in
depression depression
severity severity
for for
at at
least least
three three
months month
after after
psilocybin psilocybin
administration administration
, ,
but but
frankly frankly
, ,
we we
' '
re re
still still
counting count
. .
So so
what what
does do
this this
all all
mean mean
? ?
It it
means mean
that that
music music
and and
psychedelics psychedelics
may may
be be
able able
to to
alter alter
the the
entire entire
brain brain
for for
a a
period period
of of
time time
, ,
and and
that that
may may
lead lead
to to
a a
change change
in in
neural neural
circuitry circuitry
that that
may may
be be
stuck stick
in in
patterns pattern
of of
negative negative
emotional emotional
bias bias
. .
This this
may may
be be
able able
to to
give give
people people
a a
period period
of of
relief relief
from from
the the
grip grip
and and
the the
claws claw
of of
negative negative
emotion emotion
. .
And and
that that
may may
be be
just just
enough enough
to to
give give
someone someone
access access
to to
new new
perspectives perspective
on on
their their
selves self
and and
their their
lives life
and and
begin begin
on on
the the
road road
to to
healing healing
from from
years year
of of
depression depression
. .
These these
drugs drug
are be
early early
in in
stages stage
of of
research research
, ,
but but
they they
' '
re re
now now
being be
researched research
for for
a a
wide wide
range range
of of
medical medical
indications indication
. .
There there
' '
s s
evidence evidence
growing grow
that that
psychedelics psychedelics
may may
be be
effective effective
in in
helping help
to to
treat treat
mood mood
disorders disorder
such such
as as
major major
depressive depressive
disorder disorder
, ,
treatment-resistant treatment-resistant
depression depression
and and
the the
depression depression
and and
anxiety anxiety
that that
accompany accompany
a a
late-stage late-stage
cancer cancer
diagnosis diagnosis
. .
There there
' '
s s
also also
evidence evidence
accumulating accumulate
that that
psychedelics psychedelics
may may
be be
effective effective
in in
helping help
to to
treat treat
a a
wide wide
range range
of of
substance-use substance-use
disorders disorder
, ,
including include
smoking smoking
, ,
drinking drinking
and and
cocaine cocaine
use use
. .
Additional additional
studies study
are be
either either
being be
planned plan
or or
are be
already already
underway underway
to to
determine determine
whether whether
psychedelics psychedelics
may may
be be
effective effective
in in
treating treat
an an
even even
wider wide
range range
of of
intractable intractable
disorders disorder
such such
as as
OCD ocd
, ,
PTSD ptsd
, ,
opioid-use opioid-use
disorder disorder
and and
anorexia anorexia
. .
At at
this this
point point
it it
might might
be be
reasonable reasonable
to to
take take
a a
step step
back back
and and
say say
, ,
" "
Are be
psychedelics psychedelics
being be
sold sell
as as
a a
panacea panacea
? ?
" "
And and
if if
so so
, ,
we we
should should
be be
rightfully rightfully
skeptical skeptical
. .
Why why
should should
we we
expect expect
such such
a a
small small
family family
of of
compounds compound
to to
be be
so so
effective effective
in in
treating treat
such such
a a
wide wide
range range
of of
disparate disparate
disorders disorder
? ?
Here here
' '
s s
a a
perspective perspective
we we
might might
consider consider
. .
Some some
of of
these these
disorders disorder
share share
a a
common common
thread thread
. .
At at
some some
level level
, ,
mood mood
disorders disorder
and and
substance-use substance-use
disorders disorder
involve involve
negative negative
affect affect
and and
a a
disconnection disconnection
from from
our our
most most
authentic authentic
selves self
. .
Psychedelics psychedelics
may may
break break
that that
mold mold
. .
Psychedelics psychedelics
and and
music music
may may
represent represent
a a
one-two one-two
punch punch
that that
can can
operate operate
on on
psychological psychological
neural neural
processes process
such such
as as
negative negative
affect affect
that that
cut cut
across across
and and
contribute contribute
to to
multiple multiple
disorders disorder
. .
It it
may may
be be
that that
targeting target
such such
transdiagnostic transdiagnostic
processes process
is be
what what
' '
s s
necessary necessary
to to
really really
help help
people people
to to
develop develop
the the
resources resource
that that
they they
need need
to to
begin begin
to to
recover recover
from from
years year
of of
depression depression
and and
substance substance
use use
. .
They they
say say
you you
never never
get get
a a
second second
chance chance
to to
make make
a a
first first
impression impression
, ,
and and
that that
may may
be be
true true
for for
psychedelic psychedelic
drugs drug
. .
After after
all all
, ,
no no
matter matter
how how
much much
data datum
come come
out out
for for
the the
potential potential
of of
therapeutic therapeutic
effects effect
of of
these these
drugs drug
, ,
there there
are be
still still
some some
who who
are be
stuck stick
on on
the the
stigma stigma
from from
the the
' '
60s 60s
and and
' '
70s 70s
: :
myths myth
of of
the the
wildly wildly
addictive addictive
properties property
of of
these these
drugs drug
or or
myths myth
of of
genetic genetic
abnormalities abnormality
or or
birth birth
defects defect
after after
being be
exposed expose
to to
these these
drugs drug
, ,
or or
fears fear
that that
people people
are be
going go
to to
lose lose
their their
minds mind
and and
go go
insane insane
-- --
or or
maybe maybe
even even
most most
pervasive pervasive
is be
the the
sense sense
that that
these these
effects effect
are be
necessarily necessarily
real real
and and
that that
they they
' '
re re
a a
necessary necessary
outcome outcome
of of
having have
been be
exposed expose
to to
these these
compounds compound
. .
It it
may may
be be
time time
to to
change change
our our
thinking thinking
on on
that that
point point
. .
No no
one one
should should
expect expect
psychedelic psychedelic
drugs drug
to to
work work
for for
everyone everyone
. .
No no
one one
should should
expect expect
psychedelic psychedelic
drugs drug
to to
work work
for for
everything everything
. .
They they
' '
re re
powerful powerful
compounds compound
that that
need need
to to
be be
administered administer
under under
carefully carefully
controlled control
circumstances circumstance
. .
And and
there there
are be
almost almost
certainly certainly
people people
in in
this this
world world
for for
whom whom
psychedelics psychedelics
are be
incredibly incredibly
dangerous dangerous
. .
But but
. .
. .
. .
antibiotics antibiotic
administered administer
to to
the the
wrong wrong
person person
under under
the the
wrong wrong
conditions condition
can can
be be
incredibly incredibly
dangerous dangerous
, ,
if if
not not
worse bad
. .
But but
administered administer
to to
the the
right right
person person
under under
the the
right right
conditions condition
, ,
antibiotics antibiotic
save save
lives life
. .
Administered administer
to to
the the
right right
people people
under under
the the
right right
conditions condition
, ,
psychedelic psychedelic
drugs drug
may may
save save
lives life
. .
It it
can can
often often
feel feel
like like
it it
' '
s s
impossible impossible
to to
heal heal
our our
hearts heart
and and
our our
minds mind
and and
to to
grow grow
, ,
but but
I i
truly truly
believe believe
that that
we we
all all
have have
the the
resources resource
within within
ourselves ourselves
to to
do do
just just
that that
. .
The the
challenge challenge
is be
often often
identifying identify
and and
connecting connect
with with
those those
resources resource
, ,
and and
it it
may may
be be
that that
psychedelics psychedelics
and and
music music
can can
help help
people people
to to
do do
just just
that that
. .
Together together
, ,
psychedelics psychedelics
and and
music music
may may
be be
able able
to to
open open
our our
minds mind
to to
change change
and and
direct direct
that that
change change
, ,
reconnect reconnect
us us
with with
our our
most most
authentic authentic
selves self
and and
allow allow
us us
access access
to to
the the
things thing
that that
really really
allow allow
us us
to to
make make
meaning meaning
in in
this this
world world
and and
reconnect reconnect
with with
our our
most most
authentic authentic
selves self
. .
Thank thank
you you
. .
