Imagine imagine
speaking speaking
. .
We we
call call
this this
effect effect
" "
neural neural
entrainment entrainment
. .
" "
And and
to to
explain explain
to to
you you
what what
is be
neural neural
entrainment entrainment
, ,
let let
me me
first first
explain explain
what what
is be
physical physical
entrainment entrainment
. .
So so
, ,
we we
' '
ll ll
look look
and and
see see
five five
metronomes metronome
. .
Think think
of of
these these
five five
metronomes metronome
as as
five five
brains brain
. .
And and
similar similar
to to
the the
listeners listener
before before
the the
story story
starts start
, ,
these these
metronomes metronome
are be
going go
to to
click click
, ,
but but
they they
' '
re re
going go
to to
click click
out out
of of
phase phase
. .
Now now
see see
what what
will will
happen happen
when when
I i
connect connect
them them
together together
by by
placing place
them them
on on
these these
two two
cylinders cylinder
. .
Now now
these these
two two
cylinders cylinder
start start
to to
rotate rotate
. .
This this
rotation rotation
vibration vibration
is be
going go
through through
the the
wood wood
and and
is be
going go
to to
couple couple
all all
the the
metronomes metronome
together together
. .
And and
now now
listen listen
to to
the the
click click
. .
This this
is be
what what
you you
call call
physical physical
entrainment entrainment
. .
Now now
let let
' '
s s
go go
back back
to to
the the
brain brain
and and
ask ask
: :
What what
' '
s s
driving drive
this this
neural neural
entrainment entrainment
? ?
Is be
it it
simply simply
the the
sounds sound
that that
the the
speaker speaker
is be
producing produce
? ?
Or or
maybe maybe
it it
' '
s s
the the
words word
. .
Or or
maybe maybe
it it
' '
s s
the the
meaning meaning
that that
the the
speaker speaker
is be
trying try
to to
convey convey
. .
So so
to to
test test
it it
, ,
we we
did do
the the
following follow
experiment experiment
. .
First first
, ,
we we
took take
the the
story story
and and
played play
it it
backwards backwards
. .
And and
that that
preserved preserve
many many
of of
the the
original original
auditory auditory
features feature
, ,
but but
removed remove
the the
meaning meaning
. .
And and
it it
sounds sound
something something
like like
that that
. .
JO jo
: :
And and
we we
flashed flash
colors color
in in
the the
two two
brains brain
to to
indicate indicate
brain brain
areas area
that that
respond respond
very very
similarly similarly
across across
people people
. .
And and
as as
you you
can can
see see
, ,
this this
incoming incoming
sound sound
induced induce
entrainment entrainment
or or
alignment alignment
in in
all all
of of
the the
brains brain
in in
auditory auditory
cortices cortex
that that
process process
the the
sounds sound
, ,
but but
it it
didn didn
' '
t t
spread spread
deeper deep
into into
the the
brain brain
. .
Now now
we we
can can
take take
these these
sounds sound
and and
build build
words word
out out
of of
it it
. .
So so
if if
we we
take take
Jim jim
O o
' '
Grady grady
and and
scramble scramble
the the
words word
, ,
we we
' '
ll ll
get get
a a
list list
of of
words word
. .
JO jo
: :
. .
. .
. .
an an
animal animal
. .
. .
. .
assorted assorted
facts fact
. .
. .
. .
and and
right right
on on
. .
. .
. .
pie pie
man man
. .
. .
. .
potentially potentially
. .
. .
. .
my my
stories story
UH uh
: :
And and
you you
can can
see see
that that
these these
words word
start start
to to
induce induce
alignment alignment
in in
early early
language language
areas area
, ,
but but
not not
more more
than than
that that
. .
Now now
we we
can can
take take
the the
words word
and and
start start
to to
build build
sentences sentence
out out
of of
them them
. .
JO jo
: :
And and
they they
recommend recommend
against against
crossing cross
that that
line line
. .
He he
says say
: :
" "
Dear dear
Jim jim
, ,
Good good
story story
. .
Nice nice
details detail
. .
Didn didn
' '
t t
she she
only only
know know
about about
him him
through through
me me
? ?
" "
UH uh
: :
Now now
you you
can can
see see
that that
the the
responses response
in in
all all
the the
language language
areas area
that that
process process
the the
incoming incoming
language language
become become
aligned align
or or
similar similar
across across
all all
listeners listener
. .
However however
, ,
only only
when when
we we
use use
the the
full full
, ,
engaging engaging
, ,
coherent coherent
story story
do do
the the
responses response
spread spread
deeper deep
into into
the the
brain brain
into into
higher-order higher-order
areas area
, ,
which which
include include
the the
frontal frontal
cortex cortex
and and
the the
parietal parietal
cortex cortex
, ,
and and
make make
all all
of of
them them
respond respond
very very
similarly similarly
. .
And and
we we
believe believe
that that
these these
responses response
in in
higher-order higher-order
areas area
are be
induced induce
or or
become become
similar similar
across across
listeners listener
because because
of of
the the
meaning meaning
conveyed convey
by by
the the
speaker speaker
, ,
and and
not not
by by
words word
or or
sound sound
. .
And and
if if
we we
are be
right right
, ,
there there
' '
s s
a a
strong strong
prediction prediction
over over
here here
if if
I i
tell tell
you you
the the
exact exact
same same
ideas idea
using use
two two
very very
different different
sets set
of of
words word
, ,
your your
brain brain
responses response
will will
still still
be be
similar similar
. .
And and
to to
test test
it it
, ,
we we
did do
the the
following follow
experiment experiment
in in
my my
lab lab
. .
We we
took take
the the
English english
story story
and and
translated translate
it it
to to
Russian russian
. .
Now now
you you
have have
two two
different different
sounds sound
and and
linguistic linguistic
systems system
that that
convey convey
the the
exact exact
same same
meaning meaning
. .
And and
you you
play play
the the
English english
story story
to to
the the
English english
listeners listener
and and
the the
Russian russian
story story
to to
the the
Russian russian
listeners listener
, ,
and and
we we
can can
compare compare
their their
responses response
across across
the the
groups group
. .
And and
when when
we we
did do
that that
, ,
we we
didn didn
' '
t t
see see
responses response
that that
are be
similar similar
in in
auditory auditory
cortices cortex
in in
language language
, ,
because because
the the
language language
and and
sound sound
are be
very very
different different
. .
However however
, ,
you you
can can
see see
that that
the the
responses response
in in
high-order high-order
areas area
were be
still still
similar similar
across across
these these
two two
groups group
. .
We we
believe believe
this this
is be
because because
they they
understood understand
the the
story story
in in
a a
very very
similar similar
way way
, ,
as as
we we
confirmed confirm
, ,
using use
a a
test test
after after
the the
story story
ended end
. .
And and
we we
think think
that that
this this
alignment alignment
is be
necessary necessary
for for
communication communication
. .
For for
example example
, ,
as as
you you
can can
tell tell
, ,
I i
am be
not not
a a
native native
English english
speaker speaker
. .
I i
grew grow
up up
with with
another another
language language
, ,
and and
the the
same same
might might
be be
for for
many many
of of
you you
in in
the the
audience audience
. .
And and
still still
, ,
we we
can can
communicate communicate
. .
How how
come come
? ?
We we
think think
we we
can can
communicate communicate
because because
we we
have have
this this
common common
code code
that that
presents present
meaning meaning
. .
So so
far far
, ,
I i
' '
ve ve
only only
talked talk
about about
what what
' '
s s
happening happen
in in
the the
listener listener
' '
s s
brain brain
, ,
in in
your your
brain brain
, ,
when when
you you
' '
re re
listening listen
to to
talks talk
. .
But but
what what
' '
s s
happening happen
in in
the the
speaker speaker
' '
s s
brain brain
, ,
in in
my my
brain brain
, ,
when when
I i
' '
m m
speaking speak
to to
you you
? ?
To to
look look
in in
the the
speaker speaker
' '
s s
brain brain
, ,
we we
asked ask
the the
speaker speaker
to to
go go
into into
the the
scanner scanner
, ,
we we
scan scan
his his
brain brain
and and
then then
compare compare
his his
brain brain
responses response
to to
the the
brain brain
responses response
of of
the the
listeners listener
listening listen
to to
the the
story story
. .
You you
have have
to to
remember remember
that that
producing produce
speech speech
and and
comprehending comprehend
speech speech
are be
very very
different different
processes process
. .
Here here
we we
' '
re re
asking asking
: :
How how
similar similar
are be
they they
? ?
To to
our our
surprise surprise
, ,
we we
saw see
that that
all all
these these
complex complex
patterns pattern
within within
the the
listeners listener
actually actually
came come
from from
the the
speaker speaker
brain brain
. .
So so
production production
and and
comprehension comprehension
rely rely
on on
very very
similar similar
processes process
. .
And and
we we
also also
found find
the the
stronger strong
the the
similarity similarity
between between
the the
listener listener
' '
s s
brain brain
and and
the the
speaker speaker
' '
s s
brain brain
, ,
the the
better good
the the
communication communication
. .
So so
I i
know know
that that
if if
you you
are be
completely completely
confused confuse
now now
, ,
and and
I i
do do
hope hope
that that
this this
is be
not not
the the
case case
, ,
your your
brain brain
responses response
are be
very very
different different
than than
mine mine
. .
But but
I i
also also
know know
that that
if if
you you
really really
understand understand
me me
now now
, ,
then then
your your
brain brain
. .
. .
. .
and and
your your
brain brain
. .
. .
. .
and and
your your
brain brain
are be
really really
similar similar
to to
mine mine
. .
Now now
, ,
let let
' '
s s
take take
all all
this this
information information
together together
and and
ask ask
: :
How how
can can
we we
use use
it it
to to
transmit transmit
a a
memory memory
that that
I i
have have
from from
my my
brain brain
to to
your your
brains brain
? ?
So so
we we
did do
the the
following follow
experiment experiment
. .
We we
let let
people people
watch watch
, ,
for for
the the
first first
time time
in in
their their
life life
, ,
a a
TV tv
episode episode
from from
the the
BBC bbc
series series
" "
Sherlock sherlock
, ,
" "
while while
we we
scanned scan
their their
brains brain
. .
And and
then then
we we
asked ask
them them
to to
go go
back back
to to
the the
scanner scanner
and and
tell tell
the the
story story
to to
another another
person person
that that
never never
watched watch
the the
movie movie
. .
So so
let let
' '
s s
be be
specific specific
. .
Think think
about about
this this
exact exact
scene scene
, ,
when when
Sherlock sherlock
is be
entering enter
the the
cab cab
in in
London london
driven drive
by by
the the
murderer murderer
he he
is be
looking look
for for
. .
With with
me me
, ,
as as
a a
viewer viewer
, ,
there there
is be
a a
specific specific
brain brain
pattern pattern
in in
my my
brain brain
when when
I i
watch watch
it it
. .
Now now
, ,
the the
exact exact
same same
pattern pattern
, ,
I i
can can
reactivate reactivate
in in
my my
brain brain
again again
by by
telling tell
the the
word word
: :
Sherlock sherlock
, ,
London london
, ,
murderer murderer
. .
And and
when when
I i
' '
m m
transmitting transmit
these these
words word
to to
your your
brains brain
now now
, ,
you you
have have
to to
reconstruct reconstruct
it it
in in
your your
mind mind
. .
In in
fact fact
, ,
we we
see see
that that
pattern pattern
emerging emerge
now now
in in
your your
brains brain
. .
And and
we we
were be
really really
surprised surprise
to to
see see
that that
the the
pattern pattern
you you
have have
now now
in in
your your
brains brain
when when
I i
' '
m m
describing describe
to to
you you
these these
scenes scene
would would
be be
very very
similar similar
to to
the the
pattern pattern
I i
had have
when when
I i
watched watch
this this
movie movie
a a
few few
months month
ago ago
in in
the the
scanner scanner
. .
This this
starts start
to to
tell tell
you you
about about
the the
mechanism mechanism
by by
which which
we we
can can
tell tell
stories story
and and
transmit transmit
information information
. .
Because because
, ,
for for
example example
, ,
now now
you you
' '
re re
listening listen
really really
hard hard
and and
trying try
to to
understand understand
what what
I i
' '
m m
saying saying
. .
And and
I i
know know
that that
it it
' '
s s
not not
easy easy
. .
But but
I i
hope hope
that that
at at
one one
point point
in in
the the
talk talk
we we
clicked click
, ,
and and
you you
got get
me me
. .
And and
I i
think think
that that
in in
a a
few few
hours hour
, ,
a a
few few
days day
, ,
a a
few few
months month
, ,
you you
' '
re re
going go
to to
meet meet
someone someone
at at
a a
party party
, ,
and and
you you
' '
re re
going go
to to
tell tell
him him
about about
this this
lecture lecture
, ,
and and
suddenly suddenly
it it
will will
be be
as as
if if
he he
is be
standing stand
now now
here here
with with
us us
. .
Now now
you you
can can
see see
how how
we we
can can
take take
this this
mechanism mechanism
and and
try try
to to
transmit transmit
memories memory
and and
knowledge knowledge
across across
people people
, ,
which which
is be
wonderful wonderful
, ,
right right
? ?
But but
our our
ability ability
to to
communicate communicate
relies rely
on on
our our
ability ability
to to
have have
common common
ground ground
. .
Because because
, ,
for for
example example
, ,
if if
I i
' '
m m
going go
to to
use use
the the
British british
synonym synonym
" "
hackney hackney
carriage carriage
" "
instead instead
of of
" "
cab cab
, ,
" "
I i
know know
that that
I i
' '
m m
going go
to to
be be
misaligned misaligned
with with
most most
of of
you you
in in
the the
audience audience
. .
This this
alignment alignment
depends depend
not not
only only
on on
our our
ability ability
to to
understand understand
the the
basic basic
concept concept
; ;
it it
also also
depends depend
on on
our our
ability ability
to to
develop develop
common common
ground ground
and and
understanding understanding
and and
shared share
belief belief
systems system
. .
Because because
we we
know know
that that
in in
many many
cases case
, ,
people people
understand understand
the the
exact exact
same same
story story
in in
very very
different different
ways way
. .
So so
to to
test test
it it
in in
the the
lab lab
, ,
we we
did do
the the
following follow
experiment experiment
. .
We we
took take
a a
story story
by by
J j
. .
D d
. .
Salinger salinger
, ,
in in
which which
a a
husband husband
lost lose
track track
of of
his his
wife wife
in in
the the
middle middle
of of
a a
party party
, ,
and and
he he
' '
s s
calling call
his his
best good
friend friend
, ,
asking ask
, ,
" "
Did do
you you
see see
my my
wife wife
? ?
" "
For for
half half
of of
the the
subjects subject
, ,
we we
said say
that that
the the
wife wife
was be
having have
an an
affair affair
with with
the the
best good
friend friend
. .
For for
the the
other other
half half
, ,
we we
said say
that that
the the
wife wife
is be
loyal loyal
and and
the the
husband husband
is be
very very
jealous jealous
. .
This this
one one
sentence sentence
before before
the the
story story
started start
was be
enough enough
to to
make make
the the
brain brain
responses response
of of
all all
the the
people people
that that
believed believe
the the
wife wife
was be
having have
an an
affair affair
be be
very very
similar similar
in in
these these
high-order high-order
areas area
and and
different different
than than
the the
other other
group group
. .
And and
if if
one one
sentence sentence
is be
enough enough
to to
make make
your your
brain brain
similar similar
to to
people people
that that
think think
like like
you you
and and
very very
different different
than than
people people
that that
think think
differently differently
than than
you you
, ,
think think
how how
this this
effect effect
is be
going go
to to
be be
amplified amplify
in in
real real
life life
, ,
when when
we we
are be
all all
listening listen
to to
the the
exact exact
same same
news news
item item
after after
being be
exposed expose
day day
after after
day day
after after
day day
to to
different different
media medium
channels channel
, ,
like like
Fox fox
News news
or or
The the
New new
York york
Times times
, ,
that that
give give
us us
very very
different different
perspectives perspective
on on
reality reality
. .
So so
let let
me me
summarize summarize
. .
If if
everything everything
worked work
as as
planned planned
tonight tonight
, ,
I i
used use
my my
ability ability
to to
vocalize vocalize
sound sound
to to
be be
coupled couple
to to
your your
brains brain
. .
And and
I i
used use
this this
coupling coupling
to to
transmit transmit
my my
brain brain
patterns pattern
associated associate
with with
my my
memories memory
and and
ideas idea
into into
your your
brains brain
. .
In in
this this
, ,
I i
start start
to to
reveal reveal
the the
hidden hidden
neural neural
mechanism mechanism
by by
which which
we we
communicate communicate
. .
And and
we we
know know
that that
in in
the the
future future
it it
will will
enable enable
us us
to to
improve improve
and and
facilitate facilitate
communication communication
. .
But but
these these
studies study
also also
reveal reveal
that that
communication communication
relies rely
on on
a a
common common
ground ground
. .
And and
we we
have have
to to
be be
really really
worried worry
as as
a a
society society
if if
we we
lose lose
this this
common common
ground ground
and and
our our
ability ability
to to
speak speak
with with
people people
that that
are be
slightly slightly
different different
than than
us us
because because
we we
let let
a a
few few
very very
strong strong
media medium
channels channel
take take
control control
of of
the the
mic mic
, ,
and and
manipulate manipulate
and and
control control
the the
way way
we we
all all
think think
. .
And and
I i
' '
m m
not not
sure sure
how how
to to
fix fix
it it
because because
I i
' '
m m
only only
a a
scientist scientist
. .
But but
maybe maybe
one one
way way
to to
do do
it it
is be
to to
go go
back back
to to
the the
more more
natural natural
way way
of of
communication communication
, ,
which which
is be
a a
dialogue dialogue
, ,
in in
which which
it it
' '
s s
not not
only only
me me
speaking speak
to to
you you
now now
, ,
but but
a a
more more
natural natural
way way
of of
talking talk
, ,
in in
which which
I i
am be
speaking speak
and and
I i
am be
listening listen
, ,
and and
together together
we we
are be
trying try
to to
come come
to to
a a
common common
ground ground
and and
new new
ideas idea
. .
Because because
after after
all all
, ,
the the
people people
we we
are be
coupled couple
to to
define define
who who
we we
are be
. .
And and
our our
desire desire
to to
be be
coupled couple
to to
another another
brain brain
is be
something something
very very
basic basic
that that
starts start
at at
a a
very very
early early
age age
. .
So so
let let
me me
finish finish
with with
an an
example example
from from
my my
own own
private private
life life
that that
I i
think think
is be
a a
good good
example example
of of
how how
coupling coupling
to to
other other
people people
is be
really really
going go
to to
define define
who who
we we
are be
. .
This this
my my
son son
Jonathan jonathan
at at
a a
very very
early early
age age
. .
See see
how how
he he
developed develop
a a
vocal vocal
game game
together together
with with
my my
wife wife
, ,
only only
from from
the the
desire desire
and and
pure pure
joy joy
of of
being be
coupled couple
to to
another another
human human
being be
. .
Now now
, ,
think think
how how
the the
ability ability
of of
my my
son son
to to
be be
coupled couple
to to
us us
and and
other other
people people
in in
his his
life life
is be
going go
to to
shape shape
the the
man man
he he
is be
going go
to to
become become
. .
And and
think think
how how
you you
change change
on on
a a
daily daily
basis basis
from from
the the
interaction interaction
and and
coupling coupling
to to
other other
people people
in in
your your
life life
. .
So so
keep keep
being be
coupled couple
to to
other other
people people
. .
Keep keep
spreading spread
your your
ideas idea
, ,
because because
the the
sum sum
of of
all all
of of
us us
together together
, ,
coupled couple
, ,
is be
greater great
than than
our our
parts part
. .
Thank thank
you you
. .
