One one
to to
make make
money money
. .
Anyway anyway
, ,
this this
project project
, ,
or or
this this
experience experience
, ,
make make
me me
start start
a a
new new
project project
on on
the the
design design
of of
medicine medicine
. .
You you
have have
to to
know know
that that
today today
, ,
roughly roughly
one one
or or
two two
every every
drug drug
pills pill
is be
not not
taken take
correctly correctly
. .
So so
even even
if if
the the
active active
constituents constituent
in in
pharmaceuticals pharmaceuticals
made make
constant constant
progress progress
in in
terms term
of of
chemistry chemistry
, ,
target target
of of
stability stability
, ,
the the
behavior behavior
of of
the the
patients patient
goes go
more more
and and
more more
unstable unstable
. .
So so
we we
took take
too too
many many
of of
them them
. .
We we
took take
irregular irregular
dosage dosage
. .
We we
do do
not not
follow follow
instructions instruction
. .
And and
so so
on on
. .
So so
I i
wanted want
to to
create create
a a
new new
kind kind
of of
medicine medicine
, ,
in in
order order
to to
create create
a a
new new
kind kind
of of
relationship relationship
between between
the the
patient patient
and and
the the
treatment treatment
. .
So so
I i
turned turn
traditional traditional
pills pill
into into
this this
. .
I i
' '
m m
going go
to to
give give
you you
some some
example example
. .
This this
one one
is be
an an
antibiotic antibiotic
. .
And and
its its
purpose purpose
is be
to to
help help
patient patient
to to
go go
to to
the the
end end
of of
the the
treatment treatment
. .
And and
the the
concept concept
is be
to to
create create
a a
kind kind
of of
onion onion
, ,
a a
kind kind
of of
structure structure
in in
layers layer
. .
So so
, ,
you you
start start
with with
the the
darkest dark
one one
. .
And and
you you
are be
helped help
to to
visualize visualize
the the
duration duration
of of
the the
treatment treatment
. .
And and
you you
are be
helped help
to to
visualize visualize
the the
decrease decrease
of of
the the
infection infection
. .
So so
the the
first first
day day
, ,
this this
is be
the the
big big
one one
. .
And and
you you
have have
to to
peel peel
and and
eat eat
one one
layer layer
a a
day day
. .
And and
your your
antibiotic antibiotic
goes go
smaller small
and and
clearer clear
. .
And and
you you
' '
re re
waiting wait
for for
recovery recovery
as as
you you
were be
waiting wait
for for
the the
Christmas christmas
day day
. .
And and
you you
follow follow
the the
treatment treatment
like like
that that
, ,
to to
the the
end end
of of
the the
treatment treatment
. .
And and
here here
you you
can can
get get
the the
white white
core core
. .
And and
it it
means mean
, ,
right right
, ,
you you
are be
in in
the the
recovery recovery
. .
Thank thank
you you
. .
This this
one one
is be
a a
" "
third third
lung lung
, ,
" "
a a
pharmaceutical pharmaceutical
device device
for for
long-term long-term
asthma asthma
treatment treatment
. .
I i
designed design
it it
to to
help help
kids kid
to to
follow follow
the the
treatment treatment
. .
So so
the the
idea idea
of of
this this
one one
is be
to to
create create
a a
relationship relationship
between between
the the
patient patient
of of
the the
treatment treatment
but but
a a
relationship relationship
of of
dependency dependency
. .
But but
in in
this this
case case
it it
is be
not not
the the
medication medication
that that
is be
dependent dependent
on on
the the
patient patient
. .
This this
is be
, ,
the the
kids kid
will will
feel feel
the the
therapeutic therapeutic
object object
needs need
him him
. .
So so
the the
idea idea
is be
, ,
all all
night night
long long
the the
elastic elastic
skin skin
of of
the the
third third
lung lung
will will
slowly slowly
inflate inflate
itself itself
, ,
including include
air air
and and
molecules molecule
, ,
for for
sure sure
. .
And and
when when
the the
kids kid
wake wake
up up
, ,
he he
can can
see see
the the
object object
needs need
him him
. .
And and
he he
take take
him him
to to
his his
mouth mouth
, ,
and and
breathe breathe
the the
air air
it it
contains contain
. .
So so
by by
this this
way way
, ,
the the
kid kid
, ,
to to
take take
care care
of of
himself himself
, ,
is be
to to
take take
care care
of of
this this
living live
object object
. .
And and
he he
does do
not not
feel feel
anymore anymore
it it
' '
s s
relies rely
on on
asthma asthma
treatment treatment
, ,
as as
the the
asthma asthma
treatment treatment
needs need
him him
. .
In in
this this
guise guise
of of
living live
object object
approach approach
, ,
I i
like like
the the
idea idea
of of
a a
kind kind
of of
invisible invisible
design design
, ,
as as
if if
the the
function function
of of
the the
object object
exists exist
in in
a a
kind kind
of of
invisible invisible
field field
just just
around around
the the
objects object
themselves themselves
. .
We we
could could
talk talk
about about
a a
kind kind
of of
soul soul
, ,
of of
a a
ghost ghost
accompanying accompany
them them
. .
And and
almost almost
a a
kind kind
of of
poltergeist poltergeist
effect effect
. .
So so
when when
a a
passive passive
object object
like like
this this
one one
seems seem
to to
be be
alive alive
, ,
because because
it it
is be
— -
woosh woosh
— -
starting start
to to
move move
. .
And and
I i
remember remember
an an
exhibition exhibition
design design
I i
made make
for for
John john
Maeda maeda
, ,
and and
for for
the the
Fondation fondation
Cartier cartier
in in
Paris paris
. .
And and
John john
Maeda maeda
was be
supposed suppose
to to
show show
several several
graphic graphic
animations animation
in in
this this
exhibition exhibition
. .
And and
my my
idea idea
for for
this this
exhibition exhibition
design design
was be
to to
create create
a a
real real
pong pong
game game
, ,
like like
this this
one one
. .
And and
the the
idea idea
was be
to to
create create
some some
self- self-
moving move
benches bench
in in
the the
main main
exhibition exhibition
room room
. .
So so
the the
living living
benches bench
would would
be be
exactly exactly
like like
the the
ball ball
. .
And and
John john
was be
so so
excited excite
by by
this this
idea idea
. .
He he
said say
to to
me me
, ,
" "
Okay okay
let let
' '
s s
go go
. .
" "
I i
remember remember
the the
day day
of of
the the
opening opening
. .
I i
was be
a a
little little
bit bit
late late
. .
When when
I i
bring bring
the the
10 @card@
living living
and and
self-moving self-moving
benches bench
in in
the the
exhibition exhibition
room room
, ,
John john
was be
just just
beside beside
me me
, ,
and and
was be
like like
, ,
" "
Hmm hmm
. .
Hmm hmm
. .
" "
And and
he he
told tell
me me
, ,
after after
a a
long long
silence silence
, ,
" "
I i
wonder wonder
, ,
Mathieu mathieu
, ,
if if
people people
won win
' '
t t
be be
more more
fascinated fascinate
by by
your your
benches bench
than than
by by
my my
videos video
. .
" "
It it
would would
be be
a a
great great
honor honor
, ,
a a
great great
compliment compliment
for for
me me
, ,
if if
he he
hadn hadn
' '
t t
decided decide
to to
take take
all all
them them
off off
two two
hours hour
before before
the the
opening opening
. .
So so
, ,
huge huge
tragedy tragedy
. .
I i
guess guess
you you
won win
' '
t t
be be
surprised surprise
if if
I i
tell tell
you you
that that
Pinocchio pinocchio
is be
one one
of of
my my
great great
influences influence
. .
Pinocchio pinocchio
is be
probably probably
one one
of of
my my
best good
design design
products product
, ,
my my
favorite favorite
one one
. .
Because because
it it
is be
a a
kind kind
of of
object object
with with
a a
conscience conscience
, ,
able able
to to
be be
modified modify
by by
its its
surroundings surroundings
, ,
and and
able able
to to
modify modify
it it
as as
well well
. .
The the
other other
great great
influence influence
is be
the the
mine mine
' '
s s
canary canary
. .
In in
coal coal
mines mine
, ,
this this
canary canary
was be
supposed suppose
to to
be be
close close
to to
the the
miners miner
. .
And and
it it
was be
singing sing
all all
day day
long long
. .
And and
when when
it it
stops stop
it it
means mean
that that
it it
just just
died die
. .
So so
this this
canary canary
was be
a a
living live
alarm alarm
, ,
and and
a a
very very
efficient efficient
one one
. .
A a
very very
natural natural
technology technology
, ,
in in
order order
to to
say say
to to
the the
miners miner
, ,
" "
The the
air air
is be
too too
bad bad
. .
You you
have have
to to
go go
. .
It it
' '
s s
an an
emergency emergency
. .
" "
So so
it it
' '
s s
, ,
for for
me me
, ,
a a
great great
product product
. .
And and
I i
tried try
to to
design design
a a
kind kind
of of
canary canary
. .
Andrea andrea
is be
one one
. .
Andrea andrea
is be
a a
living live
air air
filter filter
that that
absorbs absorb
toxic toxic
gasses gas
from from
air air
, ,
contaminated contaminated
indoor indoor
air air
. .
So so
it it
uses use
some some
plants plant
to to
do do
this this
job job
, ,
selected select
for for
their their
gas-filtering gas-filtering
ability ability
. .
You you
have have
to to
know know
, ,
or or
you you
probably probably
already already
know know
, ,
that that
indoor indoor
air air
pollution pollution
is be
more more
toxic toxic
than than
outdoor outdoor
one one
. .
So so
while while
I i
' '
m m
talking talk
to to
you you
, ,
the the
seats seat
you you
are be
sitting sit
on on
are be
currently currently
emitting emit
some some
invisible invisible
and and
odorless odorless
toxic toxic
gas gas
. .
Sorry sorry
for for
that that
. .
So so
you you
are be
currently currently
breathing breathe
formaldehyde formaldehyde
. .
It it
' '
s s
the the
same same
for for
me me
with with
the the
carpet carpet
. .
And and
this this
is be
exactly exactly
the the
same same
at at
home home
. .
Because because
all all
the the
product product
we we
get get
constantly constantly
give give
away away
the the
volatile volatile
component component
of of
which which
they they
' '
re re
made make
of of
. .
So so
let let
' '
s s
have have
a a
look look
at at
your your
home home
. .
So so
your your
sofa sofa
, ,
your your
plastic plastic
chair chair
, ,
your your
kid kid
' '
s s
toys toy
give give
their their
own own
invisible invisible
reality reality
. .
And and
this this
one one
is be
very very
toxic toxic
. .
This this
is be
the the
reason reason
why why
I i
created create
, ,
with with
David david
Edward edward
, ,
a a
scientist scientist
of of
Harvard harvard
University university
, ,
an an
object object
able able
to to
absorb absorb
the the
toxic toxic
elements element
using use
those those
kind kind
of of
plants plant
. .
But but
the the
idea idea
is be
to to
force force
the the
air air
to to
go go
in in
the the
effective effective
part part
of of
the the
plants plant
. .
Because because
the the
roots root
of of
the the
plant plant
are be
not not
very very
effective effective
. .
Bill bill
Wolverton wolverton
from from
NASA nasa
analyzed analyze
it it
cleverly cleverly
in in
the the
' '
70s 70s
. .
So so
the the
idea idea
is be
to to
create create
an an
object object
able able
to to
force force
the the
air air
, ,
and and
to to
be be
in in
contact contact
at at
the the
right right
speed speed
at at
the the
right right
place place
, ,
in in
all all
the the
effective effective
parts part
of of
the the
plant plant
. .
So so
this this
is be
the the
final final
object object
. .
It it
will will
be be
launched launch
next next
September september
. .
This this
one one
is be
kind kind
of of
the the
same same
approach approach
because because
I i
include include
, ,
in in
a a
product product
like like
Andrea andrea
, ,
some some
plants plant
. .
And and
in in
this this
one one
, ,
plants plant
are be
used use
for for
the the
water water
filtration filtration
ability ability
. .
And and
it it
includes include
some some
fishes fish
as as
well well
. .
But but
here here
, ,
unlike unlike
Andrea andrea
, ,
here here
are be
supposed suppose
to to
be be
eaten eat
. .
Indeed indeed
, ,
this this
object object
is be
a a
domestic domestic
farm farm
, ,
for for
fishes fish
and and
green green
. .
So so
the the
idea idea
of of
this this
object object
is be
to to
be be
able able
to to
get get
at at
home home
very very
local local
food food
. .
The the
locavores locavores
used use
to to
get get
food food
taken take
in in
a a
radius radius
of of
100 @card@
miles mile
. .
Local local
River river
is be
able able
to to
provide provide
you you
food food
directly directly
in in
your your
living living
room room
. .
So so
the the
principle principle
of of
this this
object object
is be
to to
create create
an an
ecosystem ecosystem
called call
aquaponics aquaponics
. .
And and
the the
aquaponics aquaponics
is be
the the
dirty dirty
water water
of of
the the
fish fish
, ,
by by
a a
water water
pump pump
, ,
feeds feed
the the
plants plant
above above
. .
And and
the the
plants plant
will will
filter filter
, ,
by by
the the
roots root
, ,
the the
dirty dirty
water water
of of
the the
fish fish
. .
After after
, ,
it it
goes go
back back
into into
the the
fish fish
tank tank
. .
After after
that that
you you
have have
two two
options option
. .
Or or
you you
sit sit
down down
in in
front front
of of
it it
like like
you you
would would
do do
in in
front front
your your
TV tv
set set
. .
Amazing amazing
channel channel
. .
Or or
you you
start start
fishing fishing
. .
And and
you you
make make
some some
sushis sushi
with with
a a
fish fish
and and
the the
aromatic aromatic
plants plant
above above
. .
Because because
you you
can can
grow grow
some some
potatoes potato
. .
No no
, ,
not not
potatoes potato
, ,
but but
tomatoes tomato
, ,
aromatic aromatic
plants plant
and and
so so
on on
. .
So so
now now
we we
can can
breathe breathe
safely safely
. .
Now now
we we
can can
eat eat
local local
food food
. .
Now now
we we
can can
be be
treated treat
by by
smart smart
medicine medicine
. .
Now now
we we
can can
be be
well-balanced well-balanced
in in
our our
biorhythm biorhythm
with with
daylight daylight
. .
But but
it it
was be
important important
to to
create create
a a
perfect perfect
place place
, ,
so so
I i
tried try
to to
, ,
in in
order order
to to
work work
and and
create create
. .
So so
I i
designed design
, ,
for for
an an
American american
scientist scientist
based base
in in
Paris paris
, ,
a a
very very
stimulative stimulative
, ,
brain-stimulative brain-stimulative
office office
. .
I i
wanted want
to to
create create
a a
perfect perfect
place place
where where
you you
can can
work work
and and
play play
, ,
and and
where where
your your
body body
and and
your your
brain brain
can can
work work
together together
. .
So so
, ,
in in
this this
office office
, ,
you you
do do
not not
work work
anymore anymore
at at
your your
desk desk
, ,
like like
a a
politician politician
. .
Your your
seat seat
, ,
your your
sleep sleep
and and
your your
play play
on on
a a
big big
geodesic geodesic
island island
made make
of of
leather leather
. .
See see
, ,
like like
this this
one one
? ?
In in
this this
office office
you you
do do
not not
work work
and and
write write
and and
draw draw
on on
a a
sheet sheet
of of
paper paper
, ,
but but
you you
draw draw
directly directly
on on
a a
kind kind
of of
huge huge
whiteboard whiteboard
cave cave
, ,
like like
a a
prehistoric prehistoric
scientist scientist
. .
So so
you you
, ,
like like
that that
, ,
can can
make make
some some
sport sport
during during
your your
work work
. .
In in
this this
office office
you you
do do
not not
need need
to to
go go
out out
in in
order order
to to
be be
in in
contact contact
with with
nature nature
. .
You you
include include
, ,
directly directly
, ,
the the
nature nature
in in
the the
floor floor
of of
the the
office office
. .
You you
can can
see see
it it
there there
. .
This this
is be
an an
inspiration inspiration
image image
to to
lead lead
this this
project project
of of
the the
office office
. .
It it
really really
helped help
me me
to to
design design
it it
. .
I i
never never
show show
it it
to to
my my
client client
. .
He he
would would
be be
so so
afraid afraid
. .
Just just
for for
my my
workshop workshop
. .
I i
guess guess
it it
may may
be be
the the
revenge revenge
of of
the the
guinea guinea
pig pig
I i
was be
. .
But but
it it
' '
s s
maybe maybe
the the
conviction conviction
as as
monkey monkey
and and
homunculus homunculus
we we
are be
. .
All all
of of
us us
need need
to to
be be
considered consider
according accord
to to
our our
real real
nature nature
. .
Thank thank
you you
very very
much much
. .
