There there
, ,
Hisham hisham
Almiraat almiraat
, ,
has have
been be
charged charge
with with
threatening threaten
state state
security security
, ,
along along
with with
six six
other other
activists activist
in in
Morocco morocco
. .
The the
Saudi saudi
blogger blogger
Raif raif
Badawi badawi
has have
been be
jailed jail
and and
flogged flog
for for
insulting insulting
Islam islam
and and
criticizing criticize
the the
Saudi saudi
regime regime
on on
his his
blog blog
. .
More more
recently recently
, ,
the the
Turkish turkish
representative representative
for for
Reporters reporter
Without without
Borders borders
, ,
Erol erol
��nderoglu ��nderoglu
, ,
has have
been be
detained detain
and and
charged charge
with with
spreading spread
terrorist terrorist
propaganda propaganda
, ,
because because
he he
and and
some some
other other
activists activist
have have
been be
supporting support
Kurdish kurdish
media medium
. .
Anti-terror anti-terror
measures measure
quickly quickly
turn turn
into into
state state
repression repression
without without
strong strong
protection protection
for for
minority minority
communities community
and and
for for
peaceful peaceful
debate debate
; ;
this this
needs need
to to
be be
supported support
by by
a a
robust robust
, ,
independent independent
local local
media medium
. .
But but
while while
that that
' '
s s
not not
really really
happening happen
, ,
Washington washington
is be
teaming team
up up
with with
Silicon silicon
Valley valley
and and
with with
Hollywood hollywood
to to
pour pour
millions million
— -
hundreds hundred
of of
millions million
of of
dollars dollar
— -
into into
what what
' '
s s
called call
" "
counter-messaging counter-message
, ,
" "
a a
fancy fancy
word word
for for
propaganda propaganda
. .
To to
counter counter
the the
terrorist terrorist
propaganda propaganda
spreading spread
all all
over over
the the
internet internet
, ,
in in
Europe europe
, ,
Internet internet
Referral referral
Units unit
are be
being be
set set
up up
, ,
so so
that that
people people
can can
report report
on on
extremist extremist
content content
that that
they they
find find
and and
get get
it it
censored censor
. .
The the
problem problem
is be
, ,
that that
all all
of of
this this
propaganda propaganda
, ,
monitoring monitoring
and and
censorship censorship
completely completely
fails fail
to to
make make
up up
for for
the the
fact fact
that that
the the
people people
who who
are be
the the
most most
credible credible
voices voice
, ,
who who
can can
present present
credible credible
ideas idea
and and
alternative alternative
solutions solution
to to
real real
economic economic
, ,
social social
and and
political political
problems problem
in in
their their
community community
that that
are be
causing cause
people people
to to
turn turn
to to
extremism extremism
in in
the the
first first
place place
, ,
are be
being be
silenced silence
by by
their their
own own
governments government
. .
This this
is be
all all
adding add
up up
to to
a a
decrease decrease
in in
freedom freedom
across across
the the
world world
. .
Freedom freedom
House house
, ,
the the
human human
rights right
organization organization
, ,
reports report
that that
2015 @card@
marks mark
the the
10th 10th
straight straight
year year
in in
a a
row row
of of
decline decline
in in
freedom freedom
worldwide worldwide
. .
And and
this this
is be
not not
just just
because because
of of
the the
actions action
of of
authoritarian authoritarian
governments government
. .
It it
' '
s s
also also
because because
democratic democratic
governments government
are be
increasingly increasingly
cracking crack
down down
on on
dissenters dissenter
, ,
whistle-blowers whistle-blower
and and
investigative investigative
journalists journalist
. .
UN un
Secretary secretary
General general
Ban ban
Ki-Moon ki-moon
has have
warned warn
that that
" "
preventing prevent
extremism extremism
and and
promoting promote
human human
rights right
go go
hand-in-hand hand-in-hand
. .
" "
It it
' '
s s
not not
to to
say say
that that
governments government
shouldn shouldn
' '
t t
keep keep
us us
safe safe
— -
of of
course course
they they
should should
— -
but but
we we
need need
public public
oversight oversight
, ,
transparency transparency
and and
accountability accountability
to to
the the
rule rule
of of
law law
. .
Meanwhile meanwhile
, ,
extremists extremist
are be
literally literally
killing kill
off off
civil civil
society society
in in
some some
countries country
. .
Since since
2013 @card@
in in
Bangladesh bangladesh
, ,
over over
a a
dozen dozen
secular secular
bloggers blogger
and and
community community
activists activist
have have
been be
literally literally
slaughtered slaughter
by by
extremists extremist
while while
the the
government government
has have
done do
very very
little little
. .
From from
the the
city city
of of
Raqqa raqqa
in in
Syria syria
, ,
people people
like like
Ruqia ruqia
Hassan hassan
and and
Naji naji
Jerf jerf
have have
been be
assassinated assassinate
for for
their their
reporting reporting
out out
of of
ISIS-controlled isis-controlled
territory territory
. .
The the
citizen citizen
media medium
group group
called call
Raqqa raqqa
is be
Being be
Slaughtered slaughter
Silently silently
relies rely
on on
strong strong
encryption encryption
to to
send send
out out
their their
reports report
and and
shield shield
themselves themselves
from from
interception interception
and and
surveillance surveillance
. .
Yet yet
authorities authority
in in
countries country
like like
the the
United united
States states
, ,
the the
United united
Kingdom kingdom
and and
many many
other other
democracies democracy
are be
seeking seek
to to
use use
the the
law law
to to
either either
weaken weaken
or or
outright outright
ban ban
strong strong
encryption encryption
, ,
because because
the the
bad bad
guys guy
are be
using use
it it
, ,
too too
. .
We we
have have
got get
to to
fight fight
for for
the the
right right
of of
citizens citizen
to to
use use
strong strong
encryption encryption
. .
Otherwise otherwise
, ,
dissent dissent
and and
investigative investigative
journalism journalism
are be
going go
to to
become become
even even
more more
difficult difficult
in in
even even
more more
places place
. .
And and
the the
bad bad
guys guy
— -
the the
criminals criminal
and and
terrorists terrorist
— -
are be
still still
going go
to to
find find
ways way
to to
communicate communicate
. .
Kudos kudos
to to
the the
companies company
that that
are be
standing stand
up up
for for
their their
users user
' '
right right
to to
use use
encryption encryption
. .
But but
when when
it it
comes come
to to
censorship censorship
, ,
the the
picture picture
is be
much much
more more
troubling troubling
. .
Yes yes
, ,
there there
' '
s s
a a
real real
problem problem
of of
extremist extremist
content content
spreading spread
all all
over over
the the
internet internet
. .
And and
Facebook facebook
, ,
YouTube youtube
and and
Twitter twitter
are be
among among
the the
many many
companies company
who who
report report
having have
taken take
down down
hundreds hundred
of of
thousands thousand
of of
pieces piece
of of
content content
and and
deactivating deactivate
accounts account
that that
are be
connected connect
to to
the the
extremist extremist
' '
s s
speech speech
. .
The the
problem problem
is be
their their
enforcement enforcement
mechanisms mechanism
are be
a a
complete complete
black black
box box
, ,
and and
there there
is be
collateral collateral
damage damage
. .
Take take
, ,
for for
example example
, ,
Iyad iyad
el-Baghdadi el-baghdadi
, ,
an an
activist activist
who who
makes make
fun fun
of of
ISIS isis
on on
Twitter twitter
. .
He he
had have
his his
account account
deactivated deactivate
, ,
because because
he he
shares share
a a
surname surname
with with
a a
prominent prominent
ISIS isis
leader leader
. .
Last last
December december
, ,
a a
number number
of of
women woman
named name
Isis isis
, ,
which which
also also
happens happen
to to
be be
the the
name name
of of
an an
Egyptian egyptian
goddess goddess
, ,
had have
their their
accounts account
deactivated deactivate
. .
And and
this this
woman woman
, ,
who who
lives live
in in
the the
United united
States states
and and
is be
a a
computer computer
programmer programmer
, ,
reported report
on on
Twitter twitter
about about
her her
deactivation deactivation
on on
Facebook facebook
, ,
managed manage
to to
get get
enough enough
media medium
attention attention
to to
have have
her her
account account
reinstated reinstate
. .
But but
that that
' '
s s
the the
thing thing
— -
she she
had have
to to
get get
media medium
attention attention
. .
And and
journalists journalist
aren aren
' '
t t
immune immune
. .
David david
Thomson thomson
, ,
an an
expert expert
on on
terrorism terrorism
and and
reporter reporter
for for
Radio radio
France france
International international
, ,
had have
reports report
deleted delete
from from
his his
Facebook facebook
account account
and and
had have
his his
account account
deactivated deactivate
for for
several several
days day
, ,
because because
they they
contained contain
pictures picture
of of
ISIS isis
flags flag
, ,
even even
though though
he he
was be
just just
reporting report
on on
ISIS isis
, ,
not not
promoting promote
it it
. .
And and
then then
we we
have have
stories story
from from
people people
like like
this this
Egyptian egyptian
man man
, ,
Ahmed ahmed
Abdellahy abdellahy
, ,
who who
reported report
recently recently
in in
an an
event event
in in
Washington washington
DC dc
that that
some some
of of
his his
arguments argument
with with
extremists extremist
— -
he he
now now
spends spend
his his
time time
on on
social social
media medium
arguing argue
with with
ISIS isis
followers follower
, ,
trying try
to to
get get
them them
to to
turn turn
away away
— -
some some
of of
his his
arguments argument
with with
these these
extremists extremist
get get
deleted delete
, ,
which which
he he
believes believe
has have
the the
effect effect
of of
shielding shield
them them
from from
alternative alternative
points point
of of
view view
. .
It it
' '
s s
unclear unclear
whether whether
Facebook facebook
even even
knows know
the the
extent extent
of of
the the
collateral collateral
damage damage
, ,
or or
the the
other other
companies company
as as
well well
. .
But but
we we
do do
know know
that that
journalism journalism
, ,
activism activism
and and
public public
debate debate
are be
being be
silenced silence
in in
the the
effort effort
to to
stamp stamp
out out
extremist extremist
speech speech
. .
So so
with with
these these
companies company
having have
so so
much much
power power
over over
the the
public public
discourse discourse
, ,
they they
need need
to to
be be
held hold
accountable accountable
. .
They they
need need
to to
carry carry
out out
impact impact
assessment assessment
to to
identify identify
and and
fix fix
the the
problems problem
that that
we we
' '
re re
clearly clearly
seeing see
. .
They they
need need
to to
be be
more more
transparent transparent
about about
their their
enforcement enforcement
mechanisms mechanism
, ,
and and
they they
need need
to to
have have
clear clear
appeal appeal
and and
grievance grievance
mechanisms mechanism
, ,
so so
people people
can can
get get
their their
content content
reinstated reinstate
. .
Now now
, ,
I i
' '
ve ve
been be
talking talk
for for
the the
last last
10 @card@
minutes minute
about about
how how
governments government
and and
companies company
are be
making make
it it
more more
difficult difficult
for for
people people
like like
these these
. .
This this
is be
a a
picture picture
of of
members member
of of
the the
citizen citizen
media medium
network network
, ,
Global global
Voices voice
, ,
that that
I i
helped help
to to
cofound cofound
over over
10 @card@
years year
ago ago
with with
my my
friend friend
, ,
Ethan ethan
Zuckerman zuckerman
. .
Interestingly interestingly
, ,
about about
5 @card@
years year
ago ago
, ,
right right
after after
the the
Arab arab
Spring spring
, ,
the the
data data
scientist scientist
Gilad gilad
Lotan lotan
created create
a a
network network
map map
of of
the the
people people
in in
Global global
Voices voice
who who
were be
heavy heavy
users user
of of
Twitter twitter
during during
the the
Arab arab
Spring spring
. .
And and
he he
found find
that that
many many
of of
these these
people people
served serve
as as
key key
information information
nodes node
between between
activists activist
and and
journalists journalist
throughout throughout
the the
Tunisian tunisian
and and
Egyptian egyptian
revolution revolution
. .
We we
' '
ve ve
got get
to to
make make
sure sure
that that
these these
people people
not not
only only
survive survive
, ,
but but
are be
able able
to to
continue continue
to to
thrive thrive
. .
Many many
of of
them them
are be
still still
active active
, ,
other other
than than
the the
ones one
who who
have have
gone go
to to
jail jail
or or
have have
been be
driven drive
into into
hiding hiding
or or
exile exile
. .
All all
around around
the the
world world
, ,
people people
who who
are be
sick sick
and and
tired tired
of of
fear fear
and and
oppression oppression
are be
linking link
up up
in in
their their
communities community
and and
across across
borders border
. .
We we
' '
ve ve
got get
to to
do do
everything everything
we we
can can
to to
push push
our our
governments government
and and
companies company
to to
do do
a a
better good
job job
of of
protecting protect
their their
rights right
. .
We we
' '
ve ve
also also
got get
to to
be be
more more
mindful mindful
about about
how how
our our
own own
personal personal
, ,
political political
, ,
consumer consumer
and and
business business
choices choice
affect affect
people people
like like
these these
around around
the the
world world
. .
Also also
, ,
if if
you you
follow follow
the the
news news
, ,
it it
' '
s s
pretty pretty
clear clear
that that
that that
alone alone
isn isn
' '
t t
going go
to to
be be
enough enough
. .
We we
' '
ve ve
got get
to to
take take
personal personal
responsibility responsibility
by by
joining join
— -
or or
at at
very very
least least
, ,
actively actively
supporting support
— -
the the
growing grow
ecosystem ecosystem
of of
individuals individual
and and
groups group
who who
are be
fighting fight
for for
social social
justice justice
, ,
environmental environmental
sustainability sustainability
, ,
government government
accountability accountability
, ,
human human
rights right
, ,
freedom freedom
of of
the the
press press
and and
a a
free free
and and
open open
internet internet
, ,
all all
around around
the the
world world
. .
I i
believe believe
that that
, ,
ultimately ultimately
, ,
we we
can can
overcome overcome
the the
digitally digitally
empowered empower
networks network
of of
extremism extremism
, ,
demagoguery demagoguery
and and
hate hate
. .
But but
. .
. .
. .
we we
' '
ve ve
got get
to to
do do
this this
by by
really really
beefing beef
up up
the the
global global
networks network
of of
citizens citizen
around around
the the
world world
, ,
powered power
by by
people people
who who
are be
working work
hard hard
every every
day day
, ,
and and
taking take
personal personal
risk risk
for for
a a
future future
world world
that that
is be
more more
peaceful peaceful
, ,
just just
, ,
open open
and and
free free
. .
Thanks thanks
very very
much much
for for
listening listen
. .
