Let let
, ,
and and
, ,
at at
the the
end end
of of
their their
life life
: :
When when
can can
they they
be be
used use
again again
? ?
It it
' '
s s
the the
idea idea
of of
completely completely
changing change
the the
way way
we we
think think
about about
waste waste
, ,
so so
waste waste
is be
no no
longer long
a a
dirty dirty
word word
— -
we we
almost almost
remove remove
the the
word word
" "
waste waste
" "
completely completely
. .
All all
we we
' '
re re
looking look
to to
is be
resources resource
. .
Resource resource
goes go
into into
a a
product product
and and
then then
can can
basically basically
go go
into into
another another
product product
. .
We we
used use
to to
be be
good good
at at
thrifting thrifting
. .
My my
grandmother grandmother
, ,
again again
, ,
used use
to to
use use
old old
seed seed
packets packet
to to
paper paper
the the
bathroom bathroom
walls wall
. .
I i
think think
, ,
though though
, ,
there there
are be
companies company
out out
there there
who who
understand understand
this this
value value
and and
are be
promoting promote
it it
. .
And and
a a
lot lot
of of
the the
technologies technology
that that
have have
been be
developed develop
for for
the the
smart smart
age age
can can
also also
be be
adapted adapt
to to
reduce reduce
, ,
reuse reuse
and and
also also
thrift thrift
more more
proficiently proficiently
. .
And and
as as
a a
materials material
scientist scientist
, ,
what what
I i
' '
ve ve
been be
tracking track
over over
the the
last last
couple couple
of of
decades decade
is be
how how
companies company
are be
getting get
smart smart
at at
thrifting thrifting
, ,
how how
they they
' '
re re
able able
to to
understand understand
this this
concept concept
and and
profit profit
from from
it it
. .
I i
' '
m m
going go
to to
give give
you you
two two
examples example
. .
The the
first first
one one
, ,
a a
good good
one one
; ;
the the
second second
one one
, ,
not not
so so
good good
. .
The the
first first
is be
the the
automotive automotive
industry industry
. .
Not not
always always
known know
as as
the the
most most
innovative innovative
or or
creative creative
of of
industries industry
, ,
but but
it it
turns turn
out out
, ,
they they
' '
re re
really really
, ,
really really
good good
at at
recycling recycle
their their
products product
. .
Ninety-five ninety-five
percent percent
of of
every every
single single
car car
that that
goes go
on on
the the
road road
gets get
recycled recycle
here here
. .
And and
of of
that that
car car
, ,
about about
75 @card@
percent percent
of of
the the
entire entire
car car
actually actually
gets get
used use
again again
. .
That that
includes include
, ,
of of
course course
, ,
the the
old old
steel steel
and and
aluminum aluminum
but but
then then
also also
the the
plastics plastic
from from
the the
fender fender
and and
the the
interiors interior
, ,
glass glass
from from
the the
windows window
and and
the the
windshield windshield
and and
also also
the the
tires tire
. .
There there
' '
s s
a a
mature mature
and and
successful successful
industry industry
that that
deals deal
with with
these these
old old
cars car
and and
basically basically
recycles recycle
them them
and and
puts put
them them
back back
into into
use use
as as
new new
cars car
or or
other other
new new
products product
. .
Even even
as as
we we
move move
towards towards
battery-powered battery-powered
cars car
, ,
there there
are be
companies company
that that
claim claim
they they
can can
recycle recycle
up up
to to
90 @card@
percent percent
of of
the the
11 @card@
million million
tons ton
of of
batteries battery
that that
are be
going go
to to
be be
with with
us us
in in
2020 @card@
. .
That that
, ,
I i
think think
, ,
is be
not not
perfect perfect
, ,
but but
it it
' '
s s
certainly certainly
good good
, ,
and and
it it
' '
s s
getting get
better good
. .
The the
industry industry
that that
' '
s s
not not
doing do
so so
well well
is be
the the
architecture architecture
industry industry
. .
One one
of of
the the
challenges challenge
with with
architecture architecture
has have
always always
been be
when when
we we
build build
up up
, ,
we we
don don
' '
t t
think think
about about
taking take
down down
. .
We we
don don
' '
t t
dismantle dismantle
, ,
we we
don don
' '
t t
disassemble disassemble
, ,
we we
demolish demolish
. .
That that
' '
s s
a a
challenge challenge
, ,
because because
it it
ends end
up up
that that
about about
a a
third third
of of
all all
landfill landfill
waste waste
in in
the the
US us
is be
architecture architecture
. .
We we
need need
to to
think think
differently differently
about about
this this
. .
There there
are be
programs program
that that
can can
actually actually
reduce reduce
some some
of of
this this
material material
. .
A a
good good
example example
is be
this this
. .
These these
are be
actually actually
bricks brick
that that
are be
made make
from from
old old
demolition demolition
waste waste
, ,
which which
includes include
the the
glass glass
, ,
the the
rubble rubble
, ,
the the
concrete concrete
. .
You you
put put
up up
a a
grinder grinder
, ,
put put
it it
all all
together together
, ,
heat heat
it it
up up
and and
make make
these these
bricks brick
we we
can can
basically basically
build build
more more
buildings building
from from
. .
But but
it it
' '
s s
only only
a a
fraction fraction
of of
what what
we we
need need
. .
My my
hope hope
is be
that that
with with
big big
data datum
and and
geotagging geotagging
, ,
we we
can can
actually actually
change change
that that
, ,
and and
be be
more more
thrifty thrifty
when when
it it
comes come
to to
buildings building
. .
If if
there there
' '
s s
a a
building building
down down
the the
block block
which which
is be
being be
demolished demolish
, ,
are be
there there
materials material
there there
that that
the the
new new
building building
being be
built build
here here
can can
use use
? ?
Can can
we we
use use
that that
, ,
the the
ability ability
to to
understand understand
that that
all all
the the
materials material
available available
in in
that that
building building
are be
still still
usable usable
? ?
Can can
we we
then then
basically basically
put put
them them
into into
a a
new new
building building
, ,
without without
actually actually
losing lose
any any
value value
in in
the the
process process
? ?
So so
now now
let let
' '
s s
think think
about about
other other
industries industry
. .
What what
are be
other other
industries industry
doing do
to to
create create
thrift thrift
? ?
Well well
, ,
it it
turns turn
out out
that that
there there
are be
plenty plenty
of of
industries industry
that that
are be
also also
thinking think
about about
their their
own own
waste waste
and and
what what
we we
can can
do do
with with
it it
. .
A a
simple simple
example example
is be
the the
waste waste
that that
they they
basically basically
belch belch
out out
as as
part part
of of
industrial industrial
processes process
. .
Most most
metal metal
smelters smelter
give give
off off
an an
awful awful
lot lot
of of
carbon carbon
dioxide dioxide
. .
Turns turn
out out
, ,
there there
' '
s s
a a
company company
called call
Land land
Detector detector
that that
' '
s s
actually actually
working work
in in
China china
and and
also also
soon soon
in in
South south
Africa africa
, ,
that that
' '
s s
able able
to to
take take
that that
waste waste
gas gas
— -
about about
700 @card@
, ,
000 @card@
tons ton
per per
smelter smelter
— -
and and
then then
turn turn
it it
into into
about about
400 @card@
, ,
000 @card@
tons ton
of of
ethanol ethanol
, ,
which which
is be
equivalent equivalent
to to
basically basically
powering power
250 @card@
, ,
000 @card@
, ,
or or
quarter quarter
of of
a a
million million
, ,
cars car
for for
a a
year year
. .
That that
' '
s s
a a
very very
effective effective
use use
of of
waste waste
. .
How how
about about
products product
more more
close close
to to
home home
? ?
This this
is be
a a
simple simple
solution solution
. .
And and
it it
, ,
again again
, ,
takes take
the the
idea idea
of of
reducing reduce
, ,
reusing reuse
, ,
but but
then then
also also
with with
economic economic
advantage advantage
. .
So so
it it
' '
s s
a a
simple simple
process process
of of
changing change
from from
a a
cut cut
and and
sew sew
, ,
where where
typically typically
between between
20 @card@
and and
30 @card@
materials material
are be
used use
which which
are be
cut cut
from from
a a
large large
cloth cloth
and and
then then
sewn sew
together together
or or
even even
sometimes sometimes
glued glue
, ,
they they
changed change
it it
and and
said say
that that
they they
just just
knitted knit
the the
shoe shoe
. .
The the
advantage advantage
with with
this this
is be
not not
just just
a a
simplification simplification
of of
the the
process process
, ,
it it
' '
s s
also also
, ,
" "
I i
' '
ve ve
got get
one one
material material
. .
I i
have have
zero zero
waste waste
, ,
" "
and and
then then
also also
, ,
" "
I i
' '
m m
able able
to to
potentially potentially
recycle recycle
that that
at at
the the
end end
of of
its its
life life
. .
" "
Digital digital
manufacturing manufacturing
is be
also also
allowing allow
us us
to to
do do
this this
more more
effectively effectively
. .
In in
this this
case case
, ,
it it
' '
s s
actually actually
creating create
the the
theoretical theoretical
limit limit
of of
strength strength
for for
a a
material material
: :
you you
cannot can
get get
any any
stronger strong
for for
the the
amount amount
of of
material material
than than
this this
shape shape
. .
So so
it it
' '
s s
a a
basic basic
simple simple
block block
, ,
but but
the the
idea idea
is be
, ,
I i
can can
extrapolate extrapolate
this this
, ,
I i
can can
make make
it it
into into
large large
formats format
, ,
I i
can can
make make
it it
into into
buildings building
, ,
bridges bridge
, ,
but but
also also
airplane airplane
wings wing
and and
shoes shoe
. .
The the
idea idea
here here
is be
, ,
I i
' '
m m
minimizing minimize
the the
amount amount
of of
material material
. .
Here here
' '
s s
a a
good good
example example
from from
architecture architecture
. .
Typically typically
, ,
these these
sorts sort
of of
metal metal
nodes node
are be
used use
to to
hold hold
up up
large large
tent tent
structures structure
. .
In in
this this
case case
, ,
it it
in in
was be
in in
the the
Hague hague
, ,
along along
a a
shopping shopping
center center
. .
They they
used use
1600 @card@
of of
the the
materials material
on on
the the
left left
. .
The the
difference difference
is be
, ,
by by
using use
the the
solution solution
on on
the the
right right
, ,
they they
cut cut
down down
the the
number number
of of
steps step
from from
seven seven
to to
one one
, ,
because because
the the
one one
on on
the the
left left
is be
currently currently
welded weld
, ,
the the
one one
on on
the the
right right
is be
simply simply
just just
printed print
. .
And and
it it
was be
able able
to to
reduce reduce
waste waste
to to
zero zero
, ,
cost cost
less less
money money
and and
also also
, ,
because because
it it
' '
s s
made make
out out
of of
steel steel
, ,
can can
be be
eventually eventually
recycled recycle
at at
the the
end end
of of
its its
life life
. .
Nature nature
also also
is be
very very
effective effective
at at
thrift thrift
. .
Think think
about about
it it
: :
nature nature
has have
zero zero
waste waste
. .
Everything everything
is be
useful useful
for for
another another
process process
. .
So so
, ,
in in
this this
case case
, ,
nanocellulose nanocellulose
, ,
which which
is be
basically basically
one one
of of
the the
very very
fine fine
building building
blocks block
of of
cellulose cellulose
, ,
which which
is be
one one
of of
the the
materials material
that that
makes make
trees tree
strong strong
, ,
you you
can can
isolate isolate
it it
, ,
and and
it it
works work
very very
much much
like like
carbon carbon
fiber fiber
. .
So so
, ,
take take
that that
from from
a a
tree tree
, ,
form form
it it
into into
fibers fiber
, ,
and and
then then
those those
fibers fiber
can can
strengthen strengthen
things thing
, ,
such such
as as
airplanes airplane
, ,
buildings building
, ,
cars car
. .
The the
advantage advantage
of of
this this
, ,
though though
, ,
is be
it it
' '
s s
not not
just just
bioderived bioderived
, ,
comes come
from from
a a
renewable renewable
resource resource
, ,
but but
also also
that that
it it
is be
transparent transparent
, ,
so so
it it
can can
be be
used use
in in
consumer consumer
electronics electronics
, ,
as as
well well
as as
food food
packaging packaging
. .
Not not
bad bad
for for
something something
that that
basically basically
comes come
from from
the the
backyard backyard
. .
Another another
one one
from from
the the
biosource biosource
is be
synthetic synthetic
spider spider
silk silk
. .
Now now
, ,
it it
' '
s s
very very
hard hard
to to
actually actually
create create
spider spider
silk silk
naturally naturally
. .
You you
can can
basically basically
get get
it it
from from
spiders spider
, ,
but but
in in
large large
numbers number
, ,
they they
tend tend
to to
kill kill
each each
other other
, ,
eat eat
each each
other other
, ,
so so
you you
' '
ve ve
got get
a a
problem problem
with with
creating create
it it
, ,
in in
the the
same same
way way
you you
do do
with with
regular regular
silk silk
. .
So so
what what
you you
can can
do do
is be
instead instead
take take
the the
DNA dna
from from
the the
spider spider
, ,
and and
put put
it it
into into
various various
different different
things thing
. .
You you
can can
put put
it it
into into
bacteria bacterium
, ,
you you
can can
put put
it it
into into
yeast yeast
, ,
you you
can can
put put
it it
into into
milk milk
. .
And and
what what
you you
can can
do do
then then
is be
, ,
the the
milk milk
or or
the the
bacteria bacterium
produce produce
in in
much much
larger large
volumes volume
and and
then then
from from
that that
, ,
spin spin
a a
yarn yarn
and and
then then
create create
a a
fabric fabric
or or
a a
rope rope
. .
Again again
, ,
bioderived bioderived
, ,
has have
incredible incredible
strength strength
— -
about about
the the
same same
as as
Kevlar kevlar
— -
so so
they they
' '
re re
using use
it it
in in
things thing
like like
bulletproof bulletproof
vests vest
and and
helmets helmet
and and
outdoor outdoor
jackets jacket
. .
It it
has have
a a
great great
performance performance
. .
But but
again again
, ,
it it
' '
s s
bioderived bioderived
, ,
and and
at at
the the
end end
of of
its its
life life
, ,
it it
potentially potentially
can can
go go
back back
into into
the the
soil soil
and and
get get
composted compost
to to
again again
be be
potentially potentially
used use
as as
a a
new new
material material
. .
I i
' '
d d
like like
to to
leave leave
you you
with with
one one
last last
form form
which which
is be
biobased biobased
, ,
but but
this this
, ,
I i
think think
, ,
is be
like like
the the
ultimate ultimate
thrift thrift
. .
Think think
about about
the the
poster poster
child child
for for
conspicuous conspicuous
consumption consumption
. .
It it
' '
s s
the the
water water
bottle bottle
. .
We we
have have
too too
many many
of of
them them
, ,
they they
' '
re re
basically basically
going go
everywhere everywhere
, ,
they they
' '
re re
a a
problem problem
in in
the the
ocean ocean
. .
What what
do do
we we
do do
with with
them them
? ?
This this
process process
is be
able able
not not
just just
to to
recycle recycle
them them
, ,
but but
to to
recycle recycle
them them
infinitely infinitely
. .
Why why
is be
that that
interesting interesting
? ?
Because because
when when
we we
think think
about about
reusing reuse
and and
recycling recycle
, ,
metals metal
, ,
glass glass
, ,
things thing
like like
that that
, ,
can can
be be
recycled recycle
as as
many many
times time
as as
you you
like like
. .
There there
' '
s s
metal metal
in in
your your
car car
that that
may may
well well
have have
come come
from from
a a
1950s 1950s
Oldsmobile oldsmobile
, ,
because because
you you
can can
recycle recycle
it it
infinitely infinitely
with with
no no
loss loss
of of
performance performance
. .
Plastics plastic
offer offer
about about
once once
or or
twice twice
of of
recycling recycling
, ,
whether whether
it it
' '
s s
a a
bottle bottle
, ,
whether whether
it it
' '
s s
a a
chair chair
— -
whatever whatever
it it
is be
, ,
if if
it it
' '
s s
carpet carpet
— -
after after
two two
times time
of of
recycling recycling
, ,
whether whether
it it
goes go
back back
into into
another another
chair chair
, ,
etc etc
, ,
it it
tends tend
to to
lose lose
strength strength
, ,
it it
' '
s s
no no
longer longer
of of
any any
use use
. .
This this
, ,
though though
, ,
just just
using use
a a
few few
enzymes enzyme
, ,
is be
able able
to to
recycle recycle
it it
infinitely infinitely
. .
I i
take take
a a
bottle bottle
or or
a a
chair chair
or or
some some
other other
plastic plastic
product product
, ,
I i
basically basically
put put
it it
in in
with with
a a
few few
enzymes enzyme
, ,
they they
break break
it it
apart apart
, ,
they they
basically basically
put put
it it
back back
into into
its its
original original
molecules molecule
. .
And and
then then
from from
those those
molecules molecule
, ,
you you
can can
build build
another another
chair chair
or or
carpet carpet
or or
bottle bottle
. .
So so
, ,
the the
cycle cycle
is be
infinite infinite
. .
The the
advantage advantage
with with
that that
, ,
of of
course course
, ,
is be
that that
you you
have have
potentially potentially
zero zero
loss loss
of of
material material
resources resource
. .
Again again
, ,
the the
perfect perfect
idea idea
of of
thrift thrift
. .
So so
in in
conclusion conclusion
, ,
I i
just just
want want
to to
have have
you you
think think
about about
— -
if if
you you
make make
anything anything
, ,
if if
you you
' '
re re
any any
part part
of of
a a
design design
firm firm
, ,
if if
you you
basically basically
are be
refurbishing refurbish
your your
house house
— -
any any
aspect aspect
where where
you you
make make
something something
, ,
think think
about about
how how
that that
product product
could could
potentially potentially
be be
used use
as as
a a
second second
life life
, ,
or or
third third
life life
or or
fourth fourth
life life
. .
Design design
in in
the the
ability ability
for for
it it
to to
be be
taken take
apart apart
. .
That that
, ,
to to
me me
, ,
is be
the the
ultimate ultimate
thrift thrift
, ,
and and
I i
think think
that that
' '
s s
basically basically
what what
my my
grandmother grandmother
would would
love love
. .
