Most most
. .
Even even
the the
threat threat
of of
discrimination discrimination
, ,
like like
worrying worry
you you
might might
be be
stopped stop
by by
police police
while while
driving drive
your your
car car
, ,
can can
have have
a a
negative negative
impact impact
on on
your your
health health
. .
Harvard harvard
Professor professor
Dr dr
. .
David david
Williams williams
, ,
the the
person person
who who
pioneered pioneer
the the
tools tool
that that
have have
proven prove
these these
linkages linkage
, ,
says say
that that
the the
more more
marginalized marginalize
groups group
in in
our our
society society
experience experience
more more
discrimination discrimination
and and
more more
impacts impact
on on
their their
health health
. .
I i
' '
ve ve
been be
interested interested
in in
these these
issues issue
for for
over over
a a
decade decade
. .
I i
became become
interested interested
in in
maternal maternal
health health
when when
a a
failed failed
premed premed
trajectory trajectory
instead instead
sent send
me me
down down
a a
path path
looking look
for for
other other
ways way
to to
help help
pregnant pregnant
people people
. .
I i
became become
a a
doula doula
, ,
a a
lay lay
person person
trained train
to to
provide provide
support support
to to
people people
during during
pregnancy pregnancy
and and
childbirth childbirth
. .
And and
because because
I i
' '
m m
Latina latina
and and
a a
Spanish spanish
speaker speaker
, ,
in in
my my
first first
volunteer volunteer
doula doula
gig gig
at at
a a
public public
hospital hospital
in in
North north
Carolina carolina
, ,
I i
saw see
clearly clearly
how how
race race
and and
class class
impacted impact
the the
experiences experience
of of
the the
women woman
that that
I i
supported support
. .
If if
we we
take take
a a
look look
at at
the the
statistics statistic
about about
the the
rates rate
of of
illness illness
during during
pregnancy pregnancy
and and
childbirth childbirth
, ,
we we
see see
clearly clearly
the the
pattern pattern
outlined outline
by by
Dr dr
. .
Williams williams
. .
African- african-
American american
women woman
in in
particular particular
have have
an an
entirely entirely
different different
experience experience
than than
white white
women woman
when when
it it
comes come
to to
whether whether
their their
babies baby
are be
born bear
healthy healthy
. .
In in
certain certain
parts part
of of
the the
country country
, ,
particularly particularly
the the
Deep deep
South south
, ,
the the
rates rate
of of
mother mother
and and
infant infant
death death
for for
black black
women woman
actually actually
approximate approximate
those those
rates rate
in in
Sub-Saharan sub-saharan
African african
. .
In in
those those
same same
communities community
, ,
the the
rates rate
for for
white white
women woman
are be
near near
zero zero
. .
Even even
nationally nationally
, ,
black black
women woman
are be
four four
times time
more more
likely likely
to to
die die
during during
pregnancy pregnancy
and and
childbirth childbirth
than than
white white
women woman
. .
Four four
times time
more more
likely likely
to to
die die
. .
They they
' '
re re
also also
twice twice
as as
likely likely
for for
their their
infants infant
to to
die die
before before
the the
first first
year year
of of
life life
than than
white white
infants infant
, ,
and and
two two
to to
three three
times time
more more
likely likely
to to
give give
birth birth
too too
early early
or or
too too
skinny skinny
— -
a a
sign sign
of of
insufficient insufficient
development development
. .
Native native
women woman
are be
also also
more more
likely likely
to to
have have
higher high
rates rate
of of
these these
problems problem
than than
white white
women woman
, ,
as as
are be
some some
groups group
of of
Latinas latinas
. .
For for
the the
last last
decade decade
as as
a a
doula doula
turned turn
journalist journalist
and and
blogger blogger
, ,
I i
' '
ve ve
been be
trying try
to to
raise raise
the the
alarm alarm
about about
just just
how how
different different
the the
experiences experience
of of
women woman
of of
color color
, ,
but but
particularly particularly
black black
women woman
, ,
are be
when when
it it
comes come
to to
pregnancy pregnancy
and and
birth birth
in in
the the
US us
. .
But but
when when
I i
tell tell
people people
about about
these these
appalling appalling
statistics statistic
, ,
I i
' '
m m
usually usually
met meet
with with
an an
assumption assumption
that that
it it
' '
s s
about about
either either
poverty poverty
or or
lack lack
of of
access access
to to
care care
. .
But but
it it
turns turn
out out
, ,
neither neither
of of
these these
things thing
tell tell
the the
whole whole
story story
. .
Even even
middle-class middle-class
black black
women woman
still still
have have
much much
worse bad
outcomes outcome
than than
their their
middle-class middle-class
white white
counterparts counterpart
. .
The the
gap gap
actually actually
widens widen
among among
this this
group group
. .
And and
while while
access access
to to
care care
is be
definitely definitely
still still
a a
problem problem
, ,
even even
women woman
of of
color color
who who
receive receive
the the
recommended recommended
prenatal prenatal
care care
still still
suffer suffer
from from
these these
high high
rates rate
. .
And and
so so
we we
come come
back back
to to
the the
path path
from from
discrimination discrimination
to to
stress stress
to to
poor poor
health health
, ,
and and
it it
begins begin
to to
paint paint
a a
picture picture
that that
many many
people people
of of
color color
know know
to to
be be
true true
: :
racism racism
is be
actually actually
making make
us us
sick sick
. .
Still still
sound sound
like like
a a
stretch stretch
? ?
Consider consider
this this
: :
immigrants immigrant
, ,
particularly particularly
black black
and and
Latina latina
immigrants immigrant
, ,
actually actually
have have
better good
health health
when when
they they
first first
arrive arrive
in in
the the
United united
States states
. .
But but
the the
longer longer
they they
stay stay
in in
this this
country country
, ,
the the
worse bad
their their
health health
becomes become
. .
People people
like like
me me
, ,
born bear
in in
the the
United united
States states
to to
Cuban cuban
immigrant immigrant
parents parent
, ,
are be
actually actually
more more
likely likely
to to
have have
worse bad
health health
than than
my my
grandparents grandparent
did do
. .
It it
' '
s s
what what
researchers researcher
call call
" "
the the
immigrant immigrant
paradox paradox
, ,
" "
and and
it it
further further
illustrates illustrate
that that
there there
' '
s s
something something
in in
the the
US us
environment environment
that that
is be
making make
us us
sick sick
. .
But but
here here
' '
s s
the the
thing thing
: :
this this
problem problem
, ,
that that
racism racism
is be
making make
people people
of of
color color
, ,
but but
especially especially
black black
women woman
and and
babies baby
, ,
sick sick
, ,
is be
vast vast
. .
I i
could could
spend spend
all all
of of
my my
time time
with with
you you
talking talk
about about
it it
, ,
but but
I i
won win
' '
t t
, ,
because because
I i
want want
to to
make make
sure sure
to to
tell tell
you you
about about
one one
solution solution
. .
And and
the the
good good
news news
is be
, ,
it it
' '
s s
a a
solution solution
that that
isn isn
' '
t t
particularly particularly
expensive expensive
, ,
and and
doesn doesn
' '
t t
require require
any any
fancy fancy
drug drug
treatments treatment
or or
new new
technologies technology
. .
The the
solution solution
is be
called call
, ,
" "
The the
JJ jj
Way way
. .
" "
Meet meet
Jennie jennie
Joseph joseph
. .
She she
' '
s s
a a
midwife midwife
in in
the the
Orlando orlando
, ,
Florida florida
area area
who who
has have
been be
serving serve
pregnant pregnant
women woman
for for
over over
a a
decade decade
. .
In in
what what
she she
calls call
her her
easy-access easy-access
clinics clinic
, ,
Jennie jennie
and and
her her
team team
provide provide
prenatal prenatal
care care
to to
over over
600 @card@
women woman
per per
year year
. .
Her her
clients client
, ,
most most
of of
whom whom
are be
black black
, ,
Haitian haitian
and and
Latina latina
, ,
deliver deliver
at at
the the
local local
hospital hospital
. .
But but
by by
providing provide
accessible accessible
and and
respectful respectful
prenatal prenatal
care care
, ,
Jennie jennie
has have
achieved achieve
something something
remarkable remarkable
: :
almost almost
all all
of of
her her
clients client
give give
birth birth
to to
healthy healthy
, ,
full-term full-term
babies baby
. .
Her her
method method
is be
deceptively deceptively
simple simple
. .
Jennie jennie
says say
that that
all all
of of
her her
appointments appointment
start start
at at
the the
front front
desk desk
. .
Every every
member member
of of
her her
team team
, ,
and and
every every
moment moment
a a
women woman
is be
at at
her her
clinic clinic
, ,
is be
as as
supportive supportive
as as
possible possible
. .
No no
one one
is be
turned turn
away away
due due
to to
lack lack
of of
funds fund
. .
The the
JJ jj
Way way
is be
to to
make make
the the
finances finance
work work
no no
matter matter
what what
the the
hurdles hurdle
. .
No no
one one
is be
chastised chastise
for for
showing show
up up
late late
to to
their their
appointments appointment
. .
No no
one one
is be
talked talk
down down
to to
or or
belittled belittle
. .
Jennie jennie
' '
s s
waiting wait
room room
feels feel
more more
like like
your your
aunt aunt
' '
s s
living living
room room
than than
a a
clinic clinic
. .
She she
calls call
this this
space space
" "
a a
classroom classroom
in in
disguise disguise
. .
" "
With with
the the
plush plush
chairs chair
arranged arrange
in in
a a
circle circle
, ,
women woman
wait wait
for for
their their
appointments appointment
in in
one-on- one-on-
one one
chats chat
with with
a a
staff staff
educator educator
, ,
or or
in in
group group
prenatal prenatal
classes class
. .
When when
you you
finally finally
are be
called call
back back
to to
your your
appointment appointment
, ,
you you
are be
greeted greet
by by
Alexis alexis
or or
Trina trina
, ,
two two
of of
Jennie jennie
' '
s s
medical medical
assistants assistant
. .
Both both
are be
young young
, ,
African-American african-american
and and
moms mom
themselves themselves
. .
Their their
approach approach
is be
casual casual
and and
friendly friendly
. .
During during
one one
visit visit
I i
observed observe
, ,
Trina trina
chatted chat
with with
a a
young young
soon-to-be soon-to-be
mom mom
while while
she she
took take
her her
blood blood
pressure pressure
. .
This this
Latina latina
mom mom
was be
having have
trouble trouble
keeping keep
food food
down down
due due
to to
nausea nausea
. .
As as
Trina trina
deflated deflate
the the
blood blood
pressure pressure
cuff cuff
, ,
she she
said say
, ,
" "
We we
' '
ll ll
see see
about about
changing change
your your
prescription prescription
, ,
OK ok
? ?
We we
can can
' '
t t
have have
you you
not not
eating eating
. .
" "
That that
" "
we we
" "
is be
actually actually
a a
really really
crucial crucial
aspect aspect
of of
Jennie jennie
' '
s s
model model
. .
She she
sees see
her her
staff staff
as as
part part
of of
a a
team team
that that
, ,
alongside alongside
the the
woman woman
and and
her her
family family
, ,
has have
one one
goal goal
: :
get get
mom mom
to to
term term
with with
a a
healthy healthy
baby baby
. .
Jennie jennie
says say
that that
Trina trina
and and
Alexis alexis
are be
actually actually
the the
center center
of of
her her
care care
model model
, ,
and and
that that
her her
role role
as as
a a
provider provider
is be
just just
to to
support support
their their
work work
. .
Trina trina
spends spend
a a
lot lot
of of
her her
day day
on on
her her
cell cell
phone phone
, ,
texting texting
with with
clients client
about about
all all
sorts sort
of of
things thing
. .
One one
woman woman
texted texted
to to
ask ask
if if
a a
medication medication
she she
was be
prescribed prescribe
at at
the the
hospital hospital
was be
OK ok
to to
take take
while while
pregnant pregnant
. .
The the
answer answer
was be
no no
. .
Another another
woman woman
texted texted
with with
pictures picture
of of
an an
infant infant
born bear
under under
Jennie jennie
' '
s s
care care
. .
Lastly lastly
, ,
when when
you you
finally finally
are be
called call
back back
to to
see see
the the
provider provider
, ,
you you
' '
ve ve
already already
taken take
your your
own own
weight weight
in in
the the
waiting wait
room room
, ,
and and
done do
your your
own own
pee pee
test test
in in
the the
bathroom bathroom
. .
This this
is be
a a
big big
departure departure
from from
the the
traditional traditional
medical medical
model model
, ,
because because
it it
places place
responsibility responsibility
and and
information information
back back
in in
the the
woman woman
' '
s s
hands hand
. .
So so
rather rather
than than
a a
medical medical
setting setting
where where
you you
might might
be be
chastised chastise
for for
not not
keeping keep
up up
with with
provider provider
recommendations recommendation
— -
the the
kind kind
of of
settings setting
often often
available available
to to
low-income low-income
women woman
— -
Jennie jennie
' '
s s
model model
is be
to to
be be
as as
supportive supportive
as as
possible possible
. .
And and
that that
support support
provides provide
a a
crucial crucial
buffer buffer
to to
the the
stress stress
of of
racism racism
and and
discrimination discrimination
facing face
these these
women woman
every every
day day
. .
But but
here here
' '
s s
the the
best good
thing thing
about about
Jennie jennie
' '
s s
model model
: :
it it
' '
s s
been be
incredibly incredibly
successful successful
. .
Remember remember
those those
statistics statistic
I i
told tell
you you
, ,
that that
black black
women woman
are be
more more
likely likely
to to
give give
birth birth
too too
early early
, ,
to to
give give
birth birth
to to
low low
birth birth
weight weight
babies baby
, ,
to to
even even
die die
due due
to to
complications complication
of of
pregnancy pregnancy
and and
childbirth childbirth
? ?
Well well
, ,
The the
JJ jj
Way way
has have
almost almost
entirely entirely
eliminated eliminate
those those
problems problem
, ,
starting start
with with
what what
Jennie jennie
calls call
" "
skinny skinny
babies baby
. .
" "
She she
' '
s s
been be
able able
to to
get get
almost almost
all all
her her
clients client
to to
term term
with with
healthy healthy
, ,
chunky chunky
babies baby
like like
this this
one one
. .
Audience audience
: :
Aw aw
! !
Miriam miriam
Zoila zoila
P��rez p��rez
: :
This this
is be
a a
baby baby
girl girl
born bear
to to
a a
client client
of of
Jennie jennie
' '
s s
this this
past past
June june
. .
A a
similar similar
demographic demographic
of of
women woman
in in
Jennie jennie
' '
s s
area area
who who
gave give
birth birth
at at
the the
same same
hospital hospital
her her
clients client
did do
were be
three three
times time
more more
likely likely
to to
give give
birth birth
to to
a a
baby baby
below below
a a
healthy healthy
weight weight
. .
Jennie jennie
is be
making make
headway headway
into into
what what
has have
been be
seen see
for for
decades decade
as as
an an
almost almost
intractable intractable
problem problem
. .
Some some
of of
you you
might might
be be
thinking think
, ,
all all
this this
one-on-one one-on-one
attention attention
that that
The the
JJ jj
Way way
requires require
must must
be be
too too
expensive expensive
to to
scale scale
. .
Well well
, ,
you you
' '
d d
be be
wrong wrong
. .
The the
visit visit
with with
the the
provider provider
is be
not not
the the
center center
of of
Jennie jennie
' '
s s
model model
, ,
and and
for for
good good
reason reason
. .
Those those
visits visit
are be
expensive expensive
, ,
and and
in in
order order
to to
maintain maintain
her her
model model
, ,
she she
' '
s s
got get
to to
see see
a a
lot lot
of of
clients client
to to
cover cover
costs cost
. .
But but
Jennie jennie
doesn doesn
' '
t t
have have
to to
spend spend
a a
ton ton
of of
time time
with with
each each
woman woman
, ,
if if
all all
of of
the the
members member
of of
her her
team team
can can
provide provide
the the
support support
, ,
information information
and and
care care
that that
her her
clients client
need need
. .
The the
beauty beauty
of of
Jennie jennie
' '
s s
model model
is be
that that
she she
actually actually
believes believe
it it
can can
be be
implemented implement
in in
pretty pretty
much much
any any
health health
care care
setting setting
. .
It it
' '
s s
a a
revolution revolution
in in
care care
just just
waiting wait
to to
happen happen
. .
These these
problems problem
I i
' '
ve ve
been be
sharing share
with with
you you
are be
big big
. .
They they
come come
from from
long long
histories history
of of
racism racism
, ,
classism classism
, ,
a a
society society
based base
on on
race race
and and
class class
stratification stratification
. .
They they
involve involve
elaborate elaborate
physiological physiological
mechanisms mechanism
meant mean
to to
protect protect
us us
, ,
that that
, ,
when when
overstimulated overstimulated
, ,
actually actually
make make
us us
sick sick
. .
But but
if if
there there
' '
s s
one one
thing thing
I i
' '
ve ve
learned learn
from from
my my
work work
as as
a a
doula doula
, ,
it it
' '
s s
that that
a a
little little
bit bit
of of
unconditional unconditional
support support
can can
go go
a a
really really
long long
way way
. .
History history
has have
shown show
that that
people people
are be
incredibly incredibly
resilient resilient
, ,
and and
while while
we we
can can
' '
t t
eradicate eradicate
racism racism
or or
the the
stress stress
that that
results result
from from
it it
overnight overnight
, ,
we we
might might
just just
be be
able able
to to
create create
environments environment
that that
provide provide
a a
buffer buffer
to to
what what
people people
of of
color color
experience experience
on on
a a
daily daily
basis basis
. .
And and
during during
pregnancy pregnancy
, ,
that that
buffer buffer
can can
be be
an an
incredible incredible
tool tool
towards towards
shifting shift
the the
impact impact
of of
racism racism
for for
generations generation
to to
come come
. .
Thank thank
you you
. .
