Tiq tiq
queer queer
and and
trans trans
people people
, ,
we we
' '
re re
so so
often often
excluded exclude
from from
institutions institution
and and
traditions tradition
. .
We we
create create
spaces space
outside outside
of of
convention convention
, ,
including include
the the
conventions convention
of of
time time
. .
And and
in in
those those
3 @card@
, ,
000 @card@
messages message
between between
us us
, ,
we we
collapsed collapse
time time
; ;
we we
queered queer
it it
; ;
we we
laid lay
it it
all all
on on
the the
table table
. .
With with
no no
pretense pretense
at at
all all
. .
And and
this this
meant mean
that that
we we
were be
able able
to to
commit commit
to to
each each
other other
in in
a a
profoundly profoundly
different different
way way
. .
So so
often often
what what
we we
' '
re re
told tell
is be
this this
idea idea
of of
the the
" "
Golden golden
Rule rule
, ,
" "
that that
we we
should should
treat treat
other other
people people
the the
way way
we we
want want
to to
be be
treated treat
. .
But but
the the
problem problem
with with
that that
is be
that that
it it
assumes assume
that that
we we
are be
the the
standard standard
for for
other other
people people
, ,
and and
we we
' '
re re
not not
. .
We we
need need
to to
treat treat
other other
people people
the the
way way
they they
want want
to to
be be
treated treat
, ,
which which
means mean
we we
had have
to to
ask ask
. .
I i
couldn couldn
' '
t t
assume assume
that that
the the
kind kind
of of
love love
that that
Tiq tiq
needed need
was be
the the
same same
kind kind
of of
love love
that that
I i
needed need
. .
So so
I i
asked ask
him him
everything everything
— -
about about
his his
fears fear
, ,
his his
insecurities insecurity
— -
and and
we we
started start
from from
there there
. .
TM tm
: :
I i
didn didn
' '
t t
know know
what what
kind kind
of of
love love
I i
needed need
. .
I i
had have
just just
come come
out out
of of
a a
year- year-
long long
fog fog
of of
being be
rejected reject
and and
utterly utterly
depleted deplete
. .
I i
had have
someone someone
look look
me me
in in
my my
eyes eye
and and
tell tell
me me
that that
I i
was be
unworthy unworthy
of of
their their
love love
because because
I i
was be
trans trans
. .
And and
there there
' '
s s
a a
culture culture
of of
lovelessness lovelessness
that that
we we
' '
ve ve
created create
around around
transgender transgender
people people
. .
It it
' '
s s
reasoned reason
, ,
justified justified
and and
often often
signed sign
into into
law law
. .
And and
I i
was be
a a
heartbeat heartbeat
away away
from from
internalizing internalize
that that
message message
, ,
that that
I i
wasn wasn
' '
t t
worthy worthy
. .
But but
Kim kim
said say
that that
I i
was be
her her
ideal ideal
— -
the the
heartbroken heartbroken
mess mess
that that
I i
was be
. .
KKM kkm
: :
He he
totally totally
was be
my my
ideal ideal
. .
In in
more more
ways way
than than
one one
. .
Both both
poets poet
, ,
writers writer
, ,
creatives creatives
with with
a a
long long
history history
of of
community community
work work
behind behind
us us
, ,
and and
big big
, ,
huge huge
dreams dream
of of
a a
family family
in in
front front
of of
us us
, ,
we we
shared share
a a
lot lot
of of
things thing
in in
common common
, ,
but but
we we
were be
also also
incredibly incredibly
different different
. .
I i
' '
ve ve
been be
a a
lifelong lifelong
traveler traveler
and and
a a
bit bit
of of
an an
orphan orphan
, ,
whereas whereas
he he
comes come
from from
a a
huge huge
family family
, ,
and and
definitely definitely
stays stay
grounded ground
. .
I i
often often
kind kind
of of
sum sum
up up
the the
differences difference
in in
our our
strengths strength
by by
saying say
, ,
" "
Keep keep
me me
safe safe
, ,
and and
I i
' '
ll ll
keep keep
you you
wild wild
. .
" "
TM tm
: :
We we
have have
marginalized marginalize
identities identity
but but
we we
don don
' '
t t
live live
marginalized marginalize
lives life
. .
Being be
queer queer
and and
trans trans
is be
about about
creating create
new new
ways way
of of
existing exist
. .
It it
' '
s s
about about
loving loving
people people
as as
they they
are be
, ,
not not
as as
they they
' '
re re
supposed suppose
to to
be be
. .
Kim kim
is be
unapologetically unapologetically
feminine feminine
in in
a a
world world
that that
is be
often often
cruel cruel
and and
violent violent
to to
women woman
who who
are be
too too
proud proud
and and
too too
freeing free
. .
And and
I i
didn didn
' '
t t
enter enter
into into
this this
union union
under under
the the
auspices auspice
that that
she she
was be
going go
to to
be be
my my
helper helper
or or
my my
rib rib
, ,
but but
a a
fully fully
complex complex
— -
KKM kkm
: :
Right right
? ?
That that
' '
s s
not not
right right
. .
TM tm
: :
But but
a a
fully fully
complex complex
human human
being being
whose whose
femininity femininity
wasn wasn
' '
t t
for for
me me
to to
rein rein
in in
, ,
control control
or or
critique critique
. .
It it
' '
s s
her her
brilliance brilliance
, ,
the the
way way
she she
leads lead
with with
compassion compassion
, ,
and and
how how
she she
never never
loses lose
sight sight
of of
her her
empathy empathy
. .
She she
has have
been be
my my
hero hero
since since
day day
one one
. .
KKM kkm
: :
Our our
relationship relationship
has have
always always
been be
about about
setting set
each each
other other
free free
. .
One one
of of
the the
first first
questions question
I i
asked ask
him him
was be
what what
dreams dream
he he
had have
left leave
to to
accomplish accomplish
, ,
and and
how how
would would
I i
help help
him him
get get
there there
. .
His his
dreams dream
to to
live live
as as
a a
poet poet
, ,
to to
adopt adopt
and and
raise raise
a a
family family
together together
, ,
to to
live live
a a
life life
that that
he he
was be
proud proud
of of
, ,
and and
one one
that that
would would
live live
up up
to to
his his
mother mother
' '
s s
incredible incredible
legacy legacy
. .
And and
I i
really really
appreciated appreciate
that that
we we
were be
able able
to to
start start
from from
that that
place place
, ,
and and
not not
from from
a a
place place
that that
was be
around around
figuring figure
out out
how how
to to
make make
each each
other other
work work
together together
. .
And and
I i
think think
this this
really really
allowed allow
us us
to to
grow grow
into into
the the
people people
that that
we we
were be
in in
a a
way way
that that
was be
incredibly incredibly
different different
. .
I i
love love
him him
whole whole
; ;
pre-transition pre-transition
, ,
now now
and and
in in
the the
future future
. .
And and
it it
' '
s s
this this
love love
that that
had have
us us
committed commit
to to
each each
other other
before before
we we
' '
d d
even even
seen see
each each
other other
' '
s s
faces face
. .
TM tm
: :
My my
mother mother
' '
s s
biggest big
concern concern
when when
I i
transitioned transitioned
was be
who who
was be
going go
to to
love love
me me
as as
I i
am be
. .
Had have
being being
transgender transgender
somehow somehow
precluded preclude
me me
from from
love love
and and
monogamy monogamy
because because
I i
was be
supposedly supposedly
born bear
in in
the the
wrong wrong
body body
? ?
But but
it it
' '
s s
this this
type type
of of
structuring structuring
that that
has have
to to
be be
reframed reframe
in in
order order
to to
let let
love love
in in
. .
My my
body body
never never
betrayed betray
me me
, ,
and and
my my
body body
was be
never never
wrong wrong
. .
It it
' '
s s
this this
restrictive restrictive
, ,
binary binary
thinking thinking
on on
gender gender
that that
said say
that that
I i
didn didn
' '
t t
exist exist
. .
But but
when when
we we
met meet
, ,
she she
loved love
me me
for for
exactly exactly
how how
I i
showed show
up up
. .
She she
would would
trace trace
her her
fingers finger
along along
the the
numb numb
keloid keloid
scars scar
left leave
by by
my my
top top
surgery surgery
. .
Scars scar
that that
run run
from from
the the
middle middle
of of
my my
chest chest
all all
the the
way way
out out
to to
my my
outer outer
torso torso
. .
She she
said say
that that
these these
were be
reminders reminder
of of
my my
strength strength
and and
everything everything
that that
I i
went go
through through
and and
nothing nothing
for for
me me
to to
be be
ashamed ashamed
of of
. .
So so
sprinting sprint
towards towards
her her
hand hand
in in
marriage marriage
was be
the the
queerest queer
thing thing
that that
I i
could could
do do
. .
It it
flew fly
in in
the the
face face
of of
more more
conventional conventional
trajectories trajectory
of of
love love
and and
relationships relationship
, ,
because because
God god
was be
never never
supposed suppose
to to
bless bless
a a
union union
for for
folks folk
like like
us us
, ,
and and
the the
law law
was be
never never
supposed suppose
to to
recognize recognize
it it
. .
KKM kkm
: :
So so
on on
May may
5 @card@
, ,
2014 @card@
, ,
just just
about about
three three
months month
after after
meeting meet
online online
, ,
we we
were be
married marry
on on
the the
steps step
of of
City city
Hall hall
in in
Manhattan manhattan
, ,
and and
it it
was be
beautiful beautiful
in in
every every
conceivable conceivable
way way
. .
It it
' '
s s
safe safe
to to
say say
that that
we we
reimagined reimagine
some some
traditions tradition
, ,
but but
we we
also also
kept keep
some some
old old
ones one
that that
we we
worked work
in in
, ,
and and
we we
created create
something something
that that
worked work
for for
us us
. .
My my
bouquet bouquet
and and
corsage corsage
was be
actually actually
filled fill
with with
wildflowers wildflower
from from
Brooklyn brooklyn
— -
also also
added add
in in
a a
little little
bit bit
of of
lavender lavender
and and
sage sage
to to
keep keep
us us
grounded ground
because because
we we
were be
so so
nervous nervous
. .
And and
it it
was be
put put
together together
by by
a a
sweet sweet
sister sister
healer healer
friend friend
of of
ours ours
. .
I i
never never
wanted want
a a
diamond diamond
ring ring
, ,
because because
conflict conflict
and and
convention convention
are be
not not
my my
thing thing
, ,
so so
my my
ring ring
is be
the the
deepest deep
purple purple
, ,
like like
the the
color color
of of
my my
crown crown
chakra chakra
, ,
and and
set set
in in
place place
with with
my my
birthstones birthstone
. .
The the
gift gift
of of
queerness queerness
is be
options option
. .
I i
never never
had have
to to
choose choose
his his
last last
name name
, ,
it it
was be
never never
an an
exception exception
, ,
but but
I i
did do
because because
I i
am be
my my
father father
' '
s s
bastard bastard
child child
, ,
someone someone
who who
has have
always always
been be
an an
apology apology
, ,
a a
secret secret
, ,
an an
imposition imposition
. .
And and
it it
was be
incredibly incredibly
freeing free
to to
choose choose
the the
name name
of of
a a
man man
who who
chose choose
me me
first first
. .
TM tm
: :
So so
we we
told tell
some some
family family
and and
some some
close close
friends friend
, ,
many many
of of
whom whom
were be
still still
in in
disbelief disbelief
as as
we we
took take
our our
vows vow
. .
Fittingly fittingly
, ,
we we
posted post
all all
of of
our our
wedding wedding
photos photo
on on
Facebook facebook
, ,
where where
we we
met meet
— -
and and
Instagram instagram
, ,
of of
course course
. .
And and
we we
quickly quickly
realized realize
that that
our our
coming come
together together
was be
more more
than than
just just
a a
union union
of of
two two
people people
, ,
but but
was be
a a
model model
of of
possibility possibility
for for
the the
millions million
of of
LGBTQ lgbtq
folks folk
who who
have have
been be
sold sell
this this
lie lie
that that
family family
and and
matrimony matrimony
is be
antithetical antithetical
to to
who who
they they
are be
— -
for for
those those
of of
us us
who who
rarely rarely
get get
to to
see see
ourselves ourselves
reflected reflect
in in
love love
and and
happiness happiness
. .
KKM kkm
: :
And and
the the
thing thing
is be
, ,
absolutely absolutely
we we
are be
marginalized marginalize
because because
of of
our our
identities identity
, ,
but but
it it
also also
emboldens embolden
us us
to to
be be
the the
people people
that that
we we
are be
. .
Queerness queerness
is be
our our
major major
key key
; ;
blackness blackness
is be
our our
magic magic
. .
It it
' '
s s
because because
of of
these these
things thing
that that
we we
are be
able able
to to
be be
hopeful hopeful
, ,
open open
, ,
receptive receptive
and and
shape-shifting shape-shifting
. .
These these
are be
the the
things thing
that that
give give
us us
, ,
and and
are be
such such
an an
incredible incredible
source source
of of
, ,
our our
strength strength
. .
Our our
queerness queerness
is be
a a
source source
of of
that that
strength strength
. .
I i
think think
of of
the the
words word
of of
Ottawa-based ottawa-based
poet poet
Brandon brandon
Wint wint
: :
" "
Not not
queer queer
like like
gay gay
; ;
queer queer
like like
escaping escape
definition definition
. .
Queer queer
like like
some some
sort sort
of of
fluidity fluidity
and and
limitlessness limitlessness
all all
at at
once once
. .
Queer queer
like like
a a
freedom freedom
too too
strange strange
to to
be be
conquered conquer
. .
Queer queer
like like
the the
fearlessness fearlessness
to to
imagine imagine
what what
love love
can can
look look
like like
, ,
and and
to to
pursue pursue
it it
. .
" "
TM tm
: :
We we
are be
part part
of of
a a
community community
of of
folks folk
— -
Yeah yeah
, ,
that that
' '
s s
good good
right right
? ?
We we
are be
part part
of of
a a
community community
of of
folks folk
who who
are be
living live
their their
authentic authentic
selves self
all all
along along
the the
gender gender
spectrum spectrum
, ,
despite despite
the the
ubiquitous ubiquitous
threat threat
of of
violence violence
, ,
despite despite
the the
undercurrent undercurrent
of of
anxiety anxiety
that that
always always
is be
present present
for for
people people
who who
live live
on on
their their
own own
terms term
. .
Globally globally
, ,
a a
transgender transgender
person person
is be
murdered murder
every every
21 @card@
hours hour
. .
And and
the the
United united
States states
has have
had have
more more
trans trans
murders murder
on on
record record
this this
year year
than than
any any
year year
to to
date date
. .
However however
, ,
our our
stories story
are be
much much
more more
than than
this this
rigid rigid
dichotomy dichotomy
of of
strength strength
and and
resilience resilience
. .
We we
are be
expanding expand
the the
human human
complexity complexity
on on
these these
margins margin
, ,
and and
we we
are be
creating create
freedom freedom
on on
these these
margins margin
. .
KKM kkm
: :
And and
we we
don don
' '
t t
have have
any any
blueprints blueprint
. .
We we
' '
re re
creating create
a a
world world
that that
we we
have have
literally literally
never never
seen see
before before
; ;
organizing organize
families family
based base
on on
love love
and and
not not
by by
blood blood
, ,
guiding guide
by by
a a
compassion compassion
that that
so so
few few
of of
us us
have have
been be
shown show
ourselves ourselves
. .
So so
many many
of of
us us
have have
not not
received receive
love love
from from
our our
families family
— -
have have
been be
betrayed betray
by by
the the
people people
that that
we we
trust trust
most most
. .
So so
what what
we we
do do
here here
is be
we we
create create
entirely entirely
new new
languages language
of of
love love
. .
Ones one
that that
are be
about about
creating create
the the
space space
for for
us us
to to
be be
our our
authentic authentic
selves self
and and
not not
imposing impose
this this
standard standard
of of
what what
masculinity masculinity
or or
femininity femininity
is be
supposed suppose
to to
be be
. .
TM tm
: :
We we
are be
interested interested
in in
love love
and and
inclusion inclusion
as as
a a
tool tool
of of
revolutionary revolutionary
change change
, ,
right right
? ?
And and
the the
idea idea
is be
simply simply
, ,
if if
we we
drop drop
all all
our our
preconceived preconceive
notions notion
about about
how how
somebody somebody
is be
supposed suppose
to to
be be
— -
in in
their their
body body
, ,
in in
their their
gender gender
, ,
in in
their their
skin skin
— -
if if
we we
take take
the the
intentional intentional
steps step
to to
unlearn unlearn
these these
deep-seated deep-seated
biases bias
and and
create create
space space
for for
people people
to to
be be
self-determined self-determined
, ,
and and
embrace embrace
who who
they they
are be
, ,
then then
we we
will will
definitely definitely
create create
a a
better good
world world
than than
the the
one one
we we
were be
born bear
into into
. .
KKM kkm
: :
We we
want want
to to
mark mark
this this
time time
in in
history history
by by
leaving leave
evidence evidence
of of
the the
fact fact
that that
we we
were be
here here
. .
We we
open open
up up
little little
windows window
into into
our our
relationship relationship
for for
our our
community community
to to
bear bear
witness witness
, ,
and and
we we
do do
this this
because because
we we
want want
to to
make make
maps map
to to
the the
future future
and and
not not
monuments monument
to to
ourselves ourselves
. .
Our our
experience experience
does do
not not
invalidate invalidate
other other
peoples people
' '
experience experience
, ,
but but
it it
should should
and and
necessarily necessarily
does do
complicate complicate
this this
idea idea
of of
what what
love love
and and
marriage marriage
are be
supposed suppose
to to
be be
. .
TM tm
: :
OK ok
, ,
now now
for for
all all
the the
talking talking
, ,
and and
inspiring inspiring
, ,
and and
possibility-modeling possibility-model
we we
' '
ve ve
done do
, ,
we we
' '
ve ve
been be
nowhere nowhere
near near
perfect perfect
. .
And and
we we
' '
ve ve
had have
to to
hold hold
a a
mirror mirror
up up
to to
ourselves ourselves
. .
And and
I i
saw see
that that
I i
wasn wasn
' '
t t
always always
the the
best good
listener listener
, ,
and and
that that
my my
ego ego
got get
in in
the the
way way
of of
our our
progress progress
as as
a a
couple couple
. .
And and
I i
' '
ve ve
had have
to to
really really
assess assess
these these
deep-seated deep-seated
, ,
sexist sexist
ideas idea
that that
I i
' '
ve ve
had have
about about
the the
value value
of of
a a
woman woman
' '
s s
experience experience
in in
the the
world world
. .
I i
' '
ve ve
had have
to to
reevaluate reevaluate
what what
it it
means mean
to to
be be
in in
allyship allyship
with with
my my
wife wife
. .
KKM kkm
: :
And and
I i
had have
to to
remind remind
myself myself
of of
a a
lot lot
of of
things thing
, ,
too too
. .
What what
it it
means mean
to to
be be
hard hard
on on
the the
issues issue
, ,
but but
soft soft
on on
the the
person person
. .
While while
we we
were be
writing write
this this
, ,
we we
got get
into into
a a
massive massive
fight fight
. .
For for
so so
many many
different different
reasons reason
, ,
but but
based base
on on
the the
content content
about about
our our
values value
and and
our our
lived live
experiences experience
— -
and and
we we
were be
really really
hurt hurt
, ,
you you
know know
? ?
Because because
what what
we we
do do
and and
how how
we we
love love
puts put
ourselves ourselves
entirely entirely
on on
the the
line line
. .
But but
even even
though though
the the
fight fight
lasted last
over over
the the
course course
of of
two two
days day
— -
We we
were be
able able
to to
come come
back back
together together
to to
each each
other other
, ,
and and
recommit recommit
to to
ourselves ourselves
, ,
to to
each each
other other
and and
to to
our our
marriage marriage
. .
And and
that that
really really
yielded yield
some some
of of
the the
most most
passionate passionate
parts part
of of
what what
we we
share share
with with
you you
here here
today today
. .
TM tm
: :
I i
have have
had have
to to
interrogate interrogate
masculinity masculinity
, ,
which which
I i
think think
doesn doesn
' '
t t
happen happen
enough enough
. .
I i
' '
ve ve
had have
to to
interrogate interrogate
masculinity masculinity
; ;
the the
toxic toxic
privileges privilege
that that
come come
with with
being be
a a
man man
don don
' '
t t
define define
me me
, ,
but but
I i
have have
to to
be be
accountable accountable
for for
how how
it it
shows show
up up
in in
my my
life life
every every
day day
. .
I i
have have
allowed allow
my my
wife wife
to to
do do
all all
of of
the the
emotional emotional
labor labor
of of
prying pry
open open
the the
lines line
of of
communication communication
when when
I i
' '
d d
rather rather
clam clam
up up
and and
run run
away away
. .
I i
' '
ve ve
stripped strip
away away
emotional emotional
support support
instead instead
of of
facing face
my my
own own
vulnerabilities vulnerability
, ,
particularly particularly
around around
the the
heartbreaking heartbreaking
miscarriage miscarriage
we we
suffered suffer
last last
year year
, ,
and and
I i
' '
m m
sorry sorry
for for
that that
. .
Sometimes sometimes
as as
men man
, ,
we we
get get
to to
take take
the the
easy easy
way way
out out
. .
And and
so so
my my
journey journey
as as
a a
trans trans
person person
is be
about about
reimagining reimagine
masculinity masculinity
. .
About about
creating create
a a
manhood manhood
that that
isn isn
' '
t t
measured measure
by by
the the
power power
it it
wields wield
, ,
by by
the the
entitlements entitlement
afforded afford
to to
it it
, ,
or or
any any
simulacrum simulacrum
of of
control control
that that
it it
can can
muster muster
, ,
but but
works work
in in
tandem tandem
with with
femininity femininity
, ,
and and
is be
guided guide
by by
my my
spirit spirit
. .
KKM kkm
: :
Y y
' '
all all
. .
. .
. .
And and
this this
has have
created create
the the
space space
for for
my my
femininity femininity
to to
flourish flourish
in in
a a
way way
I i
had have
never never
experienced experience
before before
. .
He he
never never
is be
threatened threaten
by by
my my
sexuality sexuality
, ,
he he
never never
polices police
what what
I i
wear wear
or or
how how
I i
act act
. .
I i
cook cook
but but
he he
does do
way way
more more
of of
the the
cleaning cleaning
than than
I i
do do
. .
And and
when when
we we
' '
re re
rushing rush
to to
get get
out out
of of
the the
house house
and and
we we
have have
so so
much much
to to
handle handle
, ,
he he
handles handle
everything everything
, ,
so so
I i
have have
time time
to to
do do
my my
hair hair
and and
makeup makeup
. .
He he
understands understand
that that
this this
is be
my my
armor armor
, ,
and and
he he
never never
treats treat
femininity femininity
as as
though though
it it
is be
frivolous frivolous
or or
superficial superficial
, ,
and and
this this
, ,
and and
him him
— -
he he
grows grow
my my
experience experience
of of
gender gender
every every
single single
day day
. .
TM tm
: :
I i
love love
to to
watch watch
her her
get get
dressed dress
in in
the the
morning morning
. .
Watching watch
her her
in in
the the
closet closet
, ,
looking look
for for
something something
comfortable comfortable
and and
colorful colorful
, ,
and and
tight tight
, ,
and and
safe safe
— -
But but
it it
' '
s s
challenging challenge
to to
watch watch
her her
negotiate negotiate
her her
decisions decision
looking look
for for
something something
that that
' '
s s
going go
to to
get get
the the
least least
amount amount
of of
attention attention
, ,
but but
at at
the the
same same
time time
be be
an an
expression expression
of of
the the
vibrant vibrant
and and
sexy sexy
woman woman
she she
is be
. .
And and
all all
I i
want want
to to
do do
is be
celebrate celebrate
her her
for for
her her
beauty beauty
, ,
and and
the the
things thing
that that
make make
her her
beautiful beautiful
and and
special special
and and
free free
, ,
from from
her her
long long
acrylic acrylic
nails nail
, ,
to to
her her
uncompromising uncompromising
black black
feminism feminism
. .
KKM kkm
: :
I i
love love
you you
. .
TM tm
: :
I i
love love
you you
. .
KKM kkm
: :
There there
are be
so so
many many
queer queer
and and
trans trans
people people
who who
have have
come come
before before
us us
, ,
whose whose
stories story
we we
will will
never never
get get
to to
hear hear
. .
We we
constantly constantly
experience experience
this this
retelling retell
of of
history history
where where
we we
are be
conspicuously conspicuously
left leave
out out
. .
And and
it it
' '
s s
really really
hard hard
to to
not not
see see
ourselves ourselves
there there
. .
And and
so so
living live
out out
loud loud
for for
us us
is be
about about
that that
representation representation
. .
It it
' '
s s
about about
having have
possibility possibility
models model
, ,
and and
having have
hope hope
that that
love love
is be
part part
of of
our our
inheritance inheritance
in in
this this
world world
, ,
too too
. .
TM tm
: :
The the
possibility possibility
that that
we we
are be
practicing practice
is be
about about
reinventing reinvent
time time
, ,
love love
and and
institutions institution
. .
We we
are be
creating create
a a
future future
of of
multiplicity multiplicity
. .
We we
are be
expanding expand
the the
spectrum spectrum
of of
gender gender
and and
sexuality sexuality
, ,
imagining imagine
ourselves ourselves
into into
existence existence
, ,
imagining imagine
a a
world world
where where
gender gender
is be
self-determined self-determined
and and
not not
imposed impose
, ,
and and
where where
who who
we we
are be
is be
a a
kaleidoscope kaleidoscope
of of
possibility possibility
without without
the the
narrow-minded narrow-minded
limitations limitation
masquerading masquerade
as as
science science
or or
justice justice
. .
KKM kkm
: :
And and
I i
can can
' '
t t
lie lie
: :
it it
is be
really really
, ,
really really
hard hard
. .
It it
is be
hard hard
to to
stand stand
in in
the the
face face
of of
bigotry bigotry
with with
an an
open open
heart heart
and and
a a
smile smile
on on
my my
face face
. .
It it
is be
really really
hard hard
to to
face face
the the
injustice injustice
that that
exists exist
in in
the the
world world
, ,
while while
still still
believing believe
in in
the the
ability ability
of of
people people
to to
really really
change change
. .
That that
takes take
an an
enormous enormous
amount amount
of of
faith faith
and and
dedication dedication
. .
And and
beyond beyond
that that
, ,
marriage marriage
is be
hard hard
work work
. .
Piles pile
of of
dirty dirty
socks sock
on on
the the
floor floor
, ,
more more
boring boring
sports sport
shows show
than than
I i
ever ever
thought think
possible possible
— -
And and
fights fight
that that
bring bring
me me
to to
tears tear
when when
it it
feels feel
like like
we we
' '
re re
not not
speaking speak
the the
same same
language language
. .
But but
there there
is be
not not
a a
day day
that that
goes go
by by
where where
I i
am be
not not
so so
grateful grateful
to to
be be
married marry
to to
this this
man man
; ;
where where
I i
' '
m m
not not
so so
grateful grateful
for for
the the
possibility possibility
of of
changing change
minds mind
, ,
and and
rewarding rewarding
conversations conversation
, ,
and and
creating create
a a
world world
where where
love love
belongs belong
to to
us us
all all
. .
I i
think think
about about
our our
acronym acronym
: :
LGBTQ2SIA lgbtq2sia
. .
A a
seemingly seemingly
endless endless
evolution evolution
of of
self self
and and
a a
community community
, ,
but but
also also
this this
really really
deep deep
desire desire
not not
to to
leave leave
anyone anyone
behind behind
. .
We we
' '
ve ve
learned learn
how how
to to
love love
each each
other other
, ,
and and
we we
' '
ve ve
committed commit
to to
loving love
each each
other other
throughout throughout
changes change
to to
gender gender
and and
changes change
in in
spirit spirit
. .
And and
we we
learned learn
this this
love love
in in
our our
chat chat
rooms room
, ,
in in
our our
clubs club
, ,
in in
our our
bars bar
and and
in in
our our
community community
centers center
. .
We we
' '
ve ve
learned learn
how how
to to
love love
each each
other other
for for
the the
long long
haul haul
. .
TM tm
& &
KKM kkm
: :
Thank thank
you you
. .
