Interestingly interestingly
protecting protect
our our
skin skin
. .
What what
they they
haven haven
' '
t t
been be
so so
good good
about about
instructing instruct
people people
is be
the the
problem problem
of of
darkly darkly
pigmented pigmented
people people
living live
in in
high high
latitude latitude
areas area
, ,
or or
working work
inside inside
all all
the the
time time
. .
Because because
the the
problem problem
there there
is be
just just
as as
severe severe
, ,
but but
it it
is be
more more
sinister sinister
, ,
because because
vitamin vitamin
D d
deficiency deficiency
, ,
from from
a a
lack lack
of of
ultraviolet ultraviolet
B b
radiation radiation
, ,
is be
a a
major major
problem problem
. .
Vitamin vitamin
D d
deficiency deficiency
creeps creep
up up
on on
people people
, ,
and and
causes cause
all all
sorts sort
of of
health health
problems problem
to to
their their
bones bone
, ,
to to
their their
gradual gradual
decay decay
of of
their their
immune immune
systems system
, ,
or or
loss loss
of of
immune immune
function function
, ,
and and
probably probably
some some
problems problem
with with
their their
mood mood
and and
health health
, ,
their their
mental mental
health health
. .
So so
we we
have have
, ,
in in
skin skin
pigmentation pigmentation
, ,
one one
of of
these these
wonderful wonderful
products product
of of
evolution evolution
that that
still still
has have
consequences consequence
for for
us us
today today
. .
And and
the the
social social
consequences consequence
, ,
as as
we we
know know
, ,
are be
incredibly incredibly
profound profound
. .
We we
live live
in in
a a
world world
where where
we we
have have
lightly lightly
and and
darkly darkly
pigmented pigmented
people people
living live
next next
to to
one one
another another
, ,
but but
often often
brought bring
into into
proximity proximity
initially initially
as as
a a
result result
of of
very very
invidious invidious
social social
interactions interaction
. .
So so
how how
can can
we we
overcome overcome
this this
? ?
How how
can can
we we
begin begin
to to
understand understand
it it
? ?
Evolution evolution
helps help
us us
. .
200 @card@
years year
after after
Darwin darwin
' '
s s
birthday birthday
, ,
we we
have have
the the
first first
moderately moderately
pigmented pigmented
President president
of of
the the
United united
States states
. .
How how
wonderful wonderful
is be
that that
? ?
This this
man man
is be
significant significant
for for
a a
whole whole
host host
of of
reasons reason
. .
But but
we we
need need
to to
think think
about about
how how
he he
compares compare
, ,
in in
terms term
of of
his his
pigmentation pigmentation
, ,
to to
other other
people people
on on
Earth earth
. .
He he
, ,
as as
one one
of of
many many
urban urban
admixed admix
populations population
, ,
is be
very very
emblematic emblematic
of of
a a
mixed mixed
parentage parentage
, ,
of of
a a
mixed mixed
pigmentation pigmentation
. .
And and
he he
resembles resemble
, ,
very very
closely closely
, ,
people people
with with
moderate moderate
levels level
of of
pigmentation pigmentation
who who
live live
in in
southern southern
Africa africa
, ,
or or
Southeast southeast
Asia asia
. .
These these
people people
have have
a a
tremendous tremendous
potential potential
to to
tan tan
, ,
to to
develop develop
more more
pigment pigment
in in
their their
skin skin
, ,
as as
a a
result result
of of
exposure exposure
to to
sun sun
. .
They they
also also
run run
the the
risk risk
of of
vitamin vitamin
D d
deficiency deficiency
, ,
if if
they they
have have
desk desk
jobs job
, ,
like like
that that
guy guy
. .
So so
lets let
all all
wish wish
for for
his his
great great
health health
, ,
and and
his his
awareness awareness
of of
his his
own own
skin skin
pigmentation pigmentation
. .
Now now
what what
is be
wonderful wonderful
about about
the the
evolution evolution
of of
human human
skin skin
pigmentation pigmentation
, ,
and and
the the
phenomenon phenomenon
of of
pigmentation pigmentation
, ,
is be
that that
it it
is be
the the
demonstration demonstration
, ,
the the
evidence evidence
, ,
of of
evolution evolution
by by
natural natural
selection selection
, ,
right right
on on
your your
body body
. .
When when
people people
ask ask
you you
, ,
" "
What what
is be
the the
evidence evidence
for for
evolution evolution
? ?
" "
You you
don don
' '
t t
have have
to to
think think
about about
some some
exotic exotic
examples example
, ,
or or
fossils fossil
. .
You you
just just
have have
to to
look look
at at
your your
skin skin
. .
Darwin darwin
, ,
I i
think think
, ,
would would
have have
appreciated appreciate
this this
, ,
even even
though though
he he
eschewed eschew
the the
importance importance
of of
climate climate
on on
the the
evolution evolution
of of
pigmentation pigmentation
during during
his his
own own
life life
. .
I i
think think
, ,
were be
he he
able able
to to
look look
at at
the the
evidence evidence
we we
have have
today today
, ,
he he
would would
understand understand
it it
. .
He he
would would
appreciate appreciate
it it
. .
And and
most most
of of
all all
, ,
he he
would would
teach teach
it it
. .
You you
, ,
you you
can can
teach teach
it it
. .
You you
can can
touch touch
it it
. .
You you
can can
understand understand
it it
. .
Take take
it it
out out
of of
this this
room room
. .
Take take
your your
skin skin
color color
, ,
and and
celebrate celebrate
it it
. .
Spread spread
the the
word word
. .
You you
have have
the the
evolution evolution
of of
the the
history history
of of
our our
species specie
, ,
part part
of of
it it
, ,
written write
in in
your your
skin skin
. .
Understand understand
it it
. .
Appreciate appreciate
it it
. .
Celebrate celebrate
it it
. .
Go go
out out
. .
Isn isn
' '
t t
it it
beautiful beautiful
? ?
Isn isn
' '
t t
it it
wonderful wonderful
? ?
You you
are be
the the
products product
of of
evolution evolution
. .
Thank thank
you you
. .
