Hey hey
harder hard
work work
and and
it it
surely surely
was be
sometimes sometimes
I i
got get
exhausted exhaust
, ,
but but
in in
between between
there there
was be
, ,
you you
know know
, ,
making make
a a
really really
, ,
really really
good good
friends friend
and and
relaxing relax
with with
them them
and and
laughing laugh
and and
telling tell
stories story
and and
then then
giving give
lectures lecture
to to
rooms room
filled fill
with with
up up
to to
15000 @card@
people people
. .
You you
get get
a a
buzz buzz
from from
it it
. .
So so
even even
if if
you you
start start
off off
feeling feel
totally totally
exhausted exhaust
, ,
some some
energy energy
that that
comes come
. .
And and
whereas whereas
now now
I i
' '
m m
having have
to to
give give
talks talk
, ,
gazing gaze
at at
a a
little little
tiny tiny
green green
light light
on on
the the
top top
of of
my my
laptop laptop
. .
It it
' '
s s
it it
' '
s s
a a
big big
effort effort
to to
do do
it it
well well
, ,
but but
I i
won win
' '
t t
do do
it it
unless unless
I i
do do
do do
it it
well well
, ,
so so
. .
Well well
, ,
you you
do do
it it
beautifully beautifully
. .
And and
Jane jane
, ,
I i
can can
very very
much much
relate relate
to to
that that
experience experience
. .
I i
' '
ve ve
done do
more more
virtual virtual
talks talk
the the
last last
four four
months month
than than
I i
think think
in in
the the
rest rest
of of
my my
life life
combined combine
. .
I i
want want
to to
ask ask
you you
more more
questions question
about about
your your
remote remote
work work
life life
, ,
but but
I i
also also
want want
to to
make make
sure sure
we we
get get
a a
bunch bunch
of of
commentary commentary
and and
an an
insight insight
on on
on on
primates primate
. .
So so
I i
' '
ve ve
been be
interested interested
in in
what what
primates primate
can can
teach teach
us us
about about
leadership leadership
and and
how how
we we
all all
work work
together together
. .
And and
so so
I i
guess guess
the the
place place
I i
' '
d d
love love
to to
start start
on on
that that
is be
if if
you you
could could
just just
describe describe
some some
of of
your your
key key
insights insight
and and
observations observation
around around
when when
you you
see see
primates primate
collaborate collaborate
. .
What what
does do
that that
teach teach
you you
about about
how how
humans human
work work
? ?
Well well
, ,
you you
know know
, ,
the the
reason reason
Dr dr
. .
Leakey leakey
sent send
me me
off off
to to
study study
chimpanzees chimpanzee
in in
the the
first first
place place
is be
because because
he he
spent spend
his his
life life
searching search
for for
the the
fossilized fossilize
remains remains
of of
Stone stone
Age age
humans human
. .
And and
you you
can can
tell tell
an an
awful awful
lot lot
from from
a a
fossil fossil
, ,
but but
behavior behavior
doesn doesn
' '
t t
fossilize fossilize
. .
So so
Leakey leakey
was be
actually actually
ahead ahead
of of
his his
time time
in in
thinking think
that that
way way
back back
when when
there there
was be
a a
common common
ancestor ancestor
, ,
ape ape
like like
, ,
human human
like like
. .
And and
maybe maybe
that that
behavior behavior
has have
been be
brought bring
with with
us us
through through
our our
separate separate
evolutionary evolutionary
pathways pathway
. .
So so
it it
gave give
him him
a a
better good
feeling feeling
for for
how how
early early
humans human
might might
have have
behaved behave
. .
That that
' '
s s
why why
he he
sent send
me me
anyhow anyhow
. .
Eventually eventually
I i
began begin
to to
realize realize
how how
, ,
like like
us us
, ,
they they
are be
in in
so so
many many
ways way
their their
non-verbal non-verbal
communication communication
, ,
kissing kissing
, ,
embracing embrace
, ,
holding hold
hands hand
, ,
patting pat
one one
another another
on on
the the
back back
. .
We we
find find
that that
the the
males male
and and
this this
was be
obvious obvious
pretty pretty
early early
on on
to to
me me
, ,
they they
have have
this this
very very
rigid rigid
dominance dominance
hierarchy hierarchy
, ,
but but
it it
' '
s s
always always
changing change
as as
young young
ones one
start start
moving move
up up
a a
hierarchy hierarchy
starting start
at at
the the
bottom bottom
when when
they they
' '
re re
in in
late late
adolescence adolescence
. .
And and
the the
interesting interesting
thing thing
is be
they they
have have
different different
methods method
of of
climbing climb
the the
ladder ladder
. .
And and
when when
you you
consider consider
those those
who who
' '
ve ve
made make
it it
to to
the the
top top
, ,
the the
alpha alpha
males male
, ,
you you
know know
, ,
there there
are be
some some
who who
just just
use use
physical physical
strength strength
, ,
aggressive aggressive
and and
slightly slightly
brutal brutal
and and
do do
a a
lot lot
of of
attacking attack
. .
They they
don don
' '
t t
last last
as as
long long
as as
those those
that that
use use
their their
intelligence intelligence
and and
they they
use use
that that
intelligence intelligence
in in
different different
ways way
. .
So so
one one
was be
Mike mike
, ,
and and
he he
was be
very very
low low
ranking ranking
in in
a a
in in
a a
group group
of of
11 @card@
adult adult
males male
, ,
was be
right right
down down
near near
the the
bottom bottom
. .
But but
he he
just just
had have
this this
motivation motivation
to to
climb climb
the the
ladder ladder
. .
And and
some some
some some
males male
do do
and and
some some
males male
don don
' '
t t
. .
A a
big big
difference difference
there there
anyhow anyhow
. .
At at
that that
time time
, ,
you you
know know
, ,
it it
was be
feeding feed
the the
bananas banana
. .
It it
was be
the the
very very
early early
days day
, ,
nineteen nineteen
sixty sixty
four four
. .
And and
we we
lit light
the the
camp camp
at at
night night
with with
a a
little little
paraffin paraffin
lamps lamp
, ,
kerosene kerosene
lamps lamp
and and
call call
them them
, ,
I i
think think
Will will
Mike mike
took take
this this
chance chance
experience experience
with with
a a
can can
and and
he he
developed develop
it it
. .
So so
in in
the the
end end
he he
learned learn
to to
keep keep
three three
counts count
ahead ahead
of of
him him
and and
would would
charge charge
towards towards
males male
who who
were be
his his
superiors superior
at at
the the
time time
. .
And and
it it
was be
a a
scary scary
thing thing
to to
have have
three three
cans can
hurtling hurtle
towards towards
you you
making make
this this
noise noise
. .
So so
they they
got get
out out
of of
the the
way way
and and
then then
, ,
you you
know know
, ,
he he
would would
sit sit
exhausted exhaust
and and
still still
with with
his his
hair hair
bristling bristle
and and
they they
' '
d d
come come
and and
grab grab
him him
. .
And and
as as
far far
as as
we we
know know
, ,
there there
wasn wasn
' '
t t
one one
single single
serious serious
fight fight
, ,
because because
when when
they they
fight fight
, ,
they they
tend tend
to to
pull pull
each each
other other
' '
s s
hair hair
out out
and and
there there
are be
wounds wound
. .
But but
Mike mike
had have
neither neither
patches patch
of of
hair hair
nor nor
wounds wound
, ,
and and
he he
reigned reign
six six
years year
. .
And and
then then
you you
ask ask
about about
leadership leadership
. .
Well well
, ,
Mike mike
became become
alpha alpha
male male
, ,
but but
being be
an an
alpha alpha
doesn doesn
' '
t t
make make
you you
a a
leader leader
. .
It it
makes make
you you
the the
boss boss
. .
And and
others other
will will
be be
submissive submissive
to to
you you
and and
greet greet
you you
with with
submissive submissive
gestures gesture
, ,
but but
then then
other other
males male
are be
leaders leader
and and
leaders leader
because because
they they
' '
re re
much much
more more
gentle gentle
and and
other other
chimps chimp
like like
to to
follow follow
them them
and and
choose choose
to to
follow follow
them them
. .
Oh oh
, ,
this this
is be
so so
fascinating fascinating
. .
I i
have have
so so
many many
questions question
for for
you you
. .
I i
' '
m m
not not
even even
sure sure
where where
to to
start start
, ,
I i
guess guess
. .
So so
I i
' '
ll ll
start start
at at
the the
question question
of of
who who
becomes become
a a
leader leader
versus versus
who who
' '
s s
an an
effective effective
leader leader
. .
So so
one one
of of
the the
things thing
we we
find find
over over
and and
over over
again again
in in
my my
world world
of of
organizational organizational
psychology psychology
is be
that that
the the
individuals individual
that that
we we
elevate elevate
to to
leadership leadership
roles role
are be
often often
the the
most most
narcissistic narcissistic
, ,
selfish selfish
takers taker
because because
they they
show show
dominance dominance
and and
strength strength
. .
But but
that that
ultimately ultimately
, ,
when when
we we
look look
at at
who who
leads lead
well well
and and
and and
both both
inspires inspire
people people
and and
guides guide
a a
group group
toward toward
achieving achieve
a a
common common
goal goal
most most
productively productively
, ,
it it
tends tend
much much
more more
to to
be be
the the
humble humble
, ,
other other
oriented oriented
, ,
generous generous
givers giver
who who
are be
willing willing
to to
put put
the the
team team
or or
the the
organization organization
above above
themselves themselves
. .
And and
it it
seems seem
like like
you you
see see
a a
similar similar
dynamic dynamic
with with
chimps chimp
. .
Yes yes
, ,
and and
of of
course course
, ,
chimps chimp
don don
' '
t t
have have
leadership leadership
in in
quite quite
the the
way way
of of
what what
you you
will will
study study
in in
humans human
because because
I i
guess guess
that that
are be
studying study
leaders leader
in in
politics politics
or or
business business
or or
both both
. .
Exactly exactly
. .
Yes yes
. .
And and
for for
chimpanzees chimpanzee
, ,
you you
know know
, ,
it it
' '
s s
the the
strive strive
for for
some some
of of
the the
males male
is be
the the
alpha alpha
position position
. .
They they
want want
to to
dominate dominate
the the
others other
. .
And and
of of
course course
, ,
that that
' '
s s
what what
we we
see see
in in
some some
politicians politician
. .
Right right
. .
We we
effect effect
when when
I i
see see
two two
chimpanzee chimpanzee
males male
bristling bristle
, ,
swaggering swagger
, ,
upright upright
, ,
furious furious
scowl scowl
on on
their their
face face
using use
intimidation intimidation
tactics tactic
because because
it it
' '
s s
a a
waste waste
of of
time time
to to
fight fight
, ,
you you
might might
get get
hurt hurt
. .
So so
mostly mostly
it it
' '
s s
intimidation intimidation
. .
And and
it it
reminds remind
me me
just just
exactly exactly
of of
some some
human human
male male
politicians politician
. .
They they
do do
the the
same same
. .
It it
' '
s s
so so
true true
. .
Why why
do do
you you
say say
human human
male male
politicians politician
? ?
Well well
, ,
I i
don don
' '
t t
think think
human human
female female
politicians politician
used use
the the
same same
tactics tactic
, ,
at at
least least
I @card@
haven haven
' '
t t
seen see
them them
. .
I i
mean mean
, ,
I i
' '
m m
thinking thinking
of of
the the
last last
election election
and and
I i
' '
m m
thinking thinking
of of
when when
Hillary hillary
Clinton clinton
was be
talking talk
and and
Donald donald
Trump trump
was be
kind kind
of of
looming loom
, ,
you you
know know
, ,
how how
he he
used use
to to
loom loom
behind behind
her her
. .
Yes yes
. .
Threatening threatening
, ,
swaggering swagger
way way
of of
that that
was be
so so
chimpanzee chimpanzee
like like
. .
It it
' '
s s
so so
interesting interesting
to to
think think
about about
this this
, ,
I i
guess guess
, ,
you you
know know
, ,
one one
of of
the the
things thing
that that
I i
' '
ve ve
long long
been be
curious curious
about about
when when
we we
see see
those those
kinds kind
of of
differences difference
, ,
how how
much much
are be
they they
driven drive
by by
social social
roles role
versus versus
, ,
you you
know know
, ,
more more
evolutionary evolutionary
and and
biologically biologically
rooted root
forces force
? ?
Where where
do do
you you
come come
down down
on on
that that
? ?
Well well
, ,
I i
think think
it it
' '
s s
mostly mostly
I i
don don
' '
t t
know know
. .
I i
mean mean
, ,
we we
do do
know know
now now
this this
chimpanzee chimpanzee
culture culture
, ,
a a
different different
chimpanzee chimpanzee
communities community
have have
slightly slightly
different different
ways way
of of
doing do
things thing
. .
But but
that that
' '
s s
mostly mostly
we we
see see
it it
in in
things thing
like like
tool tool
using use
and and
sometimes sometimes
using use
a a
gesture gesture
that that
' '
s s
common common
to to
both both
. .
But but
in in
a a
slightly slightly
different different
context context
. .
How how
it it
compares compare
precisely precisely
with with
what what
you you
' '
re re
talking talk
about about
is be
it it
doesn doesn
' '
t t
really really
it it
doesn doesn
' '
t t
quite quite
gel gel
somehow somehow
. .
What what
do do
you you
what what
do do
you you
think think
? ?
I i
mean mean
, ,
OK ok
, ,
a a
male male
and and
he he
' '
s s
motivated motivate
to to
climb climb
the the
social social
ladder ladder
. .
Why why
? ?
He he
wants want
to to
get get
to to
the the
top top
. .
He he
wants want
sometimes sometimes
you you
feel feel
honestly honestly
, ,
it it
' '
s s
because because
he he
really really
enjoys enjoy
the the
submissive submissive
behavior behavior
of of
others other
and and
that that
I i
think think
we we
can can
compare compare
with with
some some
human human
leadership leadership
. .
Would would
you you
agree agree
with with
that that
? ?
Oh oh
, ,
it it
' '
s s
hard hard
to to
disagree disagree
with with
that that
one one
. .
Yes yes
, ,
I i
would would
agree agree
, ,
especially especially
when when
we we
start start
to to
see see
those those
differences difference
vary vary
from from
one one
culture culture
to to
another another
. .
I i
start start
to to
believe believe
that that
there there
' '
s s
there there
' '
s s
a a
lot lot
to to
be be
learned learn
from from
studying study
the the
way way
that that
cultures culture
are be
created create
, ,
which which
which which
I i
' '
d d
be be
very very
curious curious
to to
hear hear
your your
take take
on on
, ,
because because
you you
mentioned mention
that that
chimpanzees chimpanzee
have have
cultures culture
. .
They they
lack lack
a a
lot lot
of of
the the
tools tool
we we
normally normally
use use
to to
build build
cultures culture
. .
Right right
. .
They they
can can
' '
t t
they they
can can
' '
t t
tell tell
stories story
the the
same same
way way
that that
humans human
do do
. .
Certainly certainly
language language
capabilities capability
are be
more more
limited limited
. .
How how
do do
chimpanzees chimpanzee
build build
cultures culture
through through
observation observation
, ,
imitation imitation
and and
practice practice
? ?
And and
that that
is be
one one
definition definition
of of
human human
culture culture
. .
Behavior behavior
passed pass
from from
one one
generation generation
to to
the the
next next
through through
observation observation
and and
that that
it it
' '
s s
demonstrated demonstrate
so so
clearly clearly
. .
You you
watch watch
the the
development development
of of
an an
infant infant
, ,
for for
example example
, ,
you you
see see
the the
young young
ones one
watching watch
and and
at at
first first
they they
don don
' '
t t
even even
try try
. .
Then then
they they
use use
an an
inappropriate inappropriate
tool tool
. .
Then then
they they
use use
I i
mean mean
, ,
one one
one one
little little
infant infant
quite quite
determined determine
that that
she she
was be
going go
to to
really really
try try
and and
do do
what what
her her
mom mom
was be
doing do
, ,
having have
watched watch
her her
mom mom
. .
And and
she she
she she
got get
this this
thick thick
little little
stick stick
, ,
which which
was be
much much
too too
thick thick
, ,
but but
she she
pushed push
and and
pushed push
and and
it it
went go
down down
into into
the the
hole hole
or or
she she
couldn couldn
' '
t t
get get
it it
out out
. .
And and
it it
was be
just just
so so
funny funny
. .
But but
gradually gradually
, ,
by by
the the
time time
they they
' '
re re
about about
four four
, ,
especially especially
the the
females female
, ,
they they
' '
ve ve
got get
it it
down down
to to
up up
to to
a a
fine fine
art art
. .
The the
males male
, ,
they they
have have
a a
different different
role role
in in
that that
society society
. .
They they
' '
re re
the the
ones one
who who
control control
the the
territory territory
. .
They they
' '
re re
the the
ones one
who who
got get
to to
be be
alert alert
for for
individuals individual
from from
another another
community community
invading invade
their their
territory territory
. .
So so
there there
' '
s s
quite quite
a a
big big
difference difference
in in
male male
and and
female female
characteristics characteristic
. .
And and
that that
' '
s s
the the
same same
with with
humans human
. .
And and
this this
is be
what what
bothers bother
me me
as as
we we
move move
into into
the the
era era
of of
feminism feminism
, ,
is be
that that
the the
females female
who who
first first
succeeded succeed
in in
breaking break
into into
male male
business business
and and
politics politics
, ,
for for
example example
, ,
did do
so so
by by
trying try
to to
become become
more more
male male
than than
the the
males male
used use
the the
same same
tactics tactic
. .
Whereas whereas
what what
we we
need need
in in
our our
society society
is be
the the
two two
different different
, ,
the the
male male
and and
the the
female female
who who
who who
do do
have have
different different
ways way
of of
doing do
things thing
. .
We we
need need
both both
. .
Yeah yeah
, ,
I i
think think
so so
too too
. .
And and
you you
know know
, ,
some some
of of
the the
research research
on on
Queen queen
Bees bees
has have
suggested suggest
that that
that that
' '
s s
much much
more more
of of
a a
response response
to to
inequality inequality
than than
a a
cause cause
of of
inequality inequality
. .
So so
that that
, ,
you you
know know
, ,
it it
' '
s s
not not
that that
that that
women woman
leaders leader
necessarily necessarily
want want
to to
operate operate
this this
way way
, ,
but but
they they
feel feel
like like
they they
have have
to to
do do
it it
in in
order order
to to
get get
and and
then then
maintain maintain
their their
position position
. .
I i
wondered wonder
if if
there there
' '
s s
a a
there there
is be
a a
parallel parallel
in in
chimp chimp
society society
there there
as as
well well
. .
I i
don don
' '
t t
think think
so so
, ,
I i
mean mean
, ,
they they
you you
know know
, ,
they they
don don
' '
t t
so so
far far
as as
I i
can can
understand understand
, ,
they they
don don
' '
t t
think think
things thing
through through
like like
that that
. .
They they
just just
do do
what what
their their
nature nature
tells tell
them them
to to
do do
. .
And and
a a
female female
behaves behave
like like
a a
bite bite
, ,
like like
a a
female female
. .
We we
had have
one one
female female
who who
was be
sterile sterile
. .
She she
never never
produced produce
an an
infant infant
, ,
and and
she she
behaved behave
much much
more more
like like
a a
male male
. .
And and
yet yet
at at
the the
same same
time time
, ,
she she
had have
female female
characteristics characteristic
and and
she she
adopted adopt
a a
whole whole
lot lot
of of
motherless motherless
orphans orphan
. .
So so
they they
they they
seem seem
to to
behave behave
more more
in in
tune tune
with with
when when
, ,
like like
you you
say say
, ,
they they
can can
' '
t t
talk talk
, ,
they they
don don
' '
t t
speak speak
, ,
they they
don don
' '
t t
discuss discuss
. .
So so
they they
just just
behave behave
the the
way way
they they
feel feel
. .
Which which
is be
why why
I i
always always
say say
, ,
you you
know know
, ,
only only
humans human
can can
be be
really really
evil evil
, ,
chimps chimp
can can
be be
brutal brutal
and and
aggressive aggressive
and and
kill kill
and and
have have
a a
kind kind
of of
war war
, ,
but but
they they
are be
not not
capable capable
of of
sitting sit
down down
in in
cold cold
blood blood
and and
planning plan
to to
torture torture
an an
individual individual
who who
' '
s s
not not
even even
present present
. .
Wow wow
, ,
that that
' '
s s
what what
I i
consider consider
evil evil
. .
That that
' '
s s
such such
a a
powerful powerful
statement statement
. .
This this
touches touch
on on
a a
theme theme
that that
you you
mentioned mention
earlier earlier
, ,
and and
it it
' '
s s
another another
thread thread
that that
I i
wanted want
to to
pull pull
, ,
which which
is be
about about
this this
distinction distinction
between between
dominance dominance
and and
respect respect
or or
prestige prestige
. .
So so
you you
mention mention
that that
a a
lot lot
of of
chimps chimp
are be
able able
to to
gain gain
alpha alpha
status status
and and
essentially essentially
elicit elicit
submissiveness submissiveness
, ,
but but
they they
' '
re re
not not
necessarily necessarily
admired admire
or or
willingly willingly
followed follow
. .
Does do
that that
mean mean
that that
the the
dominant dominant
alpha alpha
males male
actually actually
lose lose
their their
status status
faster faster
, ,
whereas whereas
the the
the the
ones one
that that
either either
use use
their their
intelligence intelligence
or or
other other
strategies strategy
are be
more more
likely likely
to to
sustain sustain
the the
respective respective
of of
a a
group group
? ?
They they
are be
aggressive aggressive
. .
One one
last last
that that
long long
usually usually
. .
I i
won win
' '
t t
say say
always always
, ,
but but
but but
I i
mean mean
, ,
the the
most most
aggressive aggressive
one one
we we
' '
ve ve
ever ever
had have
, ,
Humphrey humphrey
. .
He he
only only
lasted last
one one
and and
a a
half half
years year
. .
I i
' '
m m
really really
interested interested
in in
hearing hear
your your
take take
on on
the the
mechanisms mechanism
behind behind
this this
pattern pattern
. .
So so
if if
they they
' '
re re
if if
they they
' '
re re
really really
aggressive aggressive
, ,
chimps chimp
don don
' '
t t
last last
as as
long long
. .
How how
do do
you you
explain explain
that that
? ?
What what
do do
you you
think think
is be
driving drive
it it
? ?
I i
don don
' '
t t
know know
. .
I i
mean mean
, ,
it it
' '
s s
just just
that that
they they
all all
have have
different different
personalities personality
. .
And and
I i
suppose suppose
the the
aggressive aggressive
ones one
don don
' '
t t
necessarily necessarily
use use
their their
brains brain
. .
And and
maybe maybe
if if
you you
use use
your your
intelligence intelligence
to to
get get
to to
the the
top top
, ,
you you
can can
use use
your your
intelligence intelligence
to to
stay stay
up up
there there
. .
That that
tracks track
is be
one one
of of
the the
mechanisms mechanism
that that
I i
was be
thinking think
about about
, ,
which which
is be
that that
, ,
you you
know know
, ,
when when
studying study
humans human
, ,
I i
' '
ve ve
seen see
pretty pretty
consistently consistently
that that
the the
dominance dominance
path path
to to
the the
top top
, ,
as as
is be
often often
the the
shortest short
, ,
but but
also also
the the
shortest short
lived live
because because
if if
that that
' '
s s
the the
strategy strategy
that that
' '
s s
that that
' '
s s
going go
to to
get get
people people
there there
, ,
then then
you you
only only
last last
until until
there there
' '
s s
another another
more more
dominant dominant
individual individual
who who
' '
s s
going go
to to
overpower overpower
you you
. .
Yes yes
. .
And and
clever clever
, ,
clever clever
coalition coalition
. .
I i
mean mean
, ,
coalitions coalition
play play
a a
very very
major major
part part
in in
chimp chimp
society society
. .
Really really
important important
part part
. .
Well well
, ,
I i
think think
that that
' '
s s
another another
piece piece
of of
the the
puzzle puzzle
that that
I i
was be
wondering wonder
about about
, ,
is be
it it
seems seem
that that
if if
if if
dominance dominance
is be
the the
strategy strategy
to to
gain gain
power power
or or
status status
, ,
then then
you you
' '
re re
essentially essentially
creating create
a a
culture culture
in in
which which
everybody everybody
' '
s s
position position
is be
is be
determined determine
by by
strength strength
. .
And and
so so
the the
moment moment
that that
a a
few few
individuals individual
would would
get get
together together
and and
outsmart outsmart
the the
strongest strong
one one
, ,
they they
have have
a a
coalition coalition
that that
' '
s s
that that
' '
s s
able able
to to
overpower overpower
. .
How how
does do
that that
happen happen
? ?
How how
did do
how how
did do
chimps chimp
coordinate coordinate
that that
kind kind
of of
coalition coalition
building build
the the
kind kind
of of
coalition coalition
that that
' '
s s
one one
that that
might might
be be
between between
, ,
interestingly interestingly
, ,
either either
between between
brothers brother
and and
they they
can can
be be
supporting support
each each
other other
for for
a a
very very
long long
time time
or or
between between
a a
male male
who who
was be
dominant dominant
and and
the the
one one
who who
' '
s s
taken take
over over
his his
dominance dominance
. .
And and
that that
' '
s s
what what
I i
found find
absolutely absolutely
fascinating fascinating
. .
So so
, ,
OK ok
, ,
one one
male male
takes take
over over
the the
dominant dominant
role role
through through
aggression aggression
. .
He he
fights fight
and and
having have
taken take
over over
and and
it it
' '
s s
very very
clear clear
he he
' '
s s
now now
the the
top top
and and
the the
previous previous
Alpha alpha
is be
very very
submissive submissive
. .
Every every
time time
he he
sees see
him him
, ,
he he
gives give
a a
submissive submissive
and and
grunt grunt
and and
reaches reach
out out
to to
touch touch
. .
But but
the the
new new
alpha alpha
continues continue
to to
beat beat
him him
up up
and and
he he
beats beat
him him
up up
really really
savagely savagely
, ,
even even
though though
the the
other other
one one
is be
giving give
all all
the the
submissive submissive
responses response
. .
And and
when when
he he
' '
s s
behave behave
that that
way way
for for
about about
, ,
let let
' '
s s
say say
, ,
a a
month month
or or
so so
, ,
then then
suddenly suddenly
there there
' '
s s
, ,
of of
course course
, ,
that that
the the
previous previous
alpha alpha
is be
now now
very very
, ,
very very
, ,
very very
nervous nervous
and and
submissive submissive
. .
And and
then then
the the
alpha alpha
changes change
completely completely
. .
He he
' '
s s
always always
grooming groom
him him
. .
It it
' '
s s
really really
nice nice
to to
him him
. .
He he
never never
attacks attack
him him
. .
He he
rushes rush
them them
to to
protect protect
him him
. .
Another another
male male
challenges challenge
him him
. .
And and
because because
of of
that that
, ,
these these
two two
then then
become become
so so
strong strong
an an
alliance alliance
that that
nothing nothing
breaks break
it it
. .
And and
I i
think think
just just
absolutely absolutely
fascinating fascinating
. .
Wow wow
. .
Yeah yeah
, ,
and and
then then
the the
other other
kind kind
of of
alliance alliance
is be
a a
temporary temporary
one one
, ,
so so
two two
males male
are be
wanting want
perhaps perhaps
, ,
I i
don don
' '
t t
know know
, ,
to to
take take
bananas banana
from from
a a
high high
ranking ranking
one one
and and
neither neither
of of
them them
on on
their their
own own
could could
do do
it it
. .
And and
so so
they they
gang gang
up up
. .
And and
that that
' '
s s
a a
temporary temporary
alliance alliance
. .
And and
I i
guess guess
I i
' '
m m
trying try
to to
visualize visualize
how how
this this
happens happen
. .
You you
know know
, ,
when when
chimps chimp
get get
together together
and and
form form
an an
alliance alliance
, ,
whether whether
it it
' '
s s
temporary temporary
or or
more more
lasting lasting
, ,
is be
there there
a a
this this
is be
going go
to to
be be
a a
strange strange
question question
, ,
but but
I i
' '
ll ll
give give
you you
a a
sense sense
of of
how how
I i
think think
is be
there there
is be
there there
a a
workplace workplace
analog analog
so so
, ,
you you
know know
, ,
to to
chimps chimp
coordinate coordinate
like like
they they
' '
