Bruno bruno
sandwiches sandwich
to to
the the
demonstrators demonstrator
, ,
to to
the the
fighters fighter
. .
They they
couldn couldn
' '
t t
throw throw
stones stone
and and
they they
couldn couldn
' '
t t
do do
anything anything
else else
, ,
so so
they they
prepared prepare
sandwiches sandwich
and and
brought bring
this this
huge huge
tray tray
full full
of of
sandwiches sandwich
to to
the the
demonstrators demonstrator
. .
And and
this this
, ,
yes yes
, ,
this this
is be
the the
kind kind
of of
spirit spirit
that that
inspires inspire
not not
just just
the the
Ukrainians ukrainians
but but
everybody everybody
who who
is be
now now
watching watch
what what
is be
happening happen
there there
. .
BG bg
: :
Help help
me me
understand understand
the the
actual actual
nature nature
of of
the the
threat threat
here here
in in
terms term
of of
Russia russia
moving move
into into
Ukraine ukraine
. .
So so
in in
your your
last last
book book
, ,
when when
you you
write write
about about
Russia russia
, ,
you you
describe describe
the the
Russian russian
model model
as as
: :
" "
not not
a a
coherent coherent
political political
ideology ideology
, ,
but but
rather rather
a a
sort sort
of of
practice practice
of of
monopolizing monopolize
power power
and and
wealth wealth
by by
a a
small small
group group
at at
the the
top top
. .
" "
But but
then then
, ,
in in
his his
actions action
against against
Ukraine ukraine
, ,
Putin putin
in in
the the
last last
few few
weeks week
seems seem
to to
move move
very very
much much
by by
an an
ideology ideology
, ,
an an
ideology ideology
of of
empire empire
, ,
of of
denial denial
of of
Ukraine ukraine
' '
s s
right right
to to
exist exist
, ,
as as
you you
mention mention
. .
What what
has have
changed change
in in
the the
four four
years year
since since
you you
wrote write
that that
book book
? ?
YNH ynh
: :
The the
imperial imperial
dream dream
was be
always always
there there
, ,
but but
you you
know know
, ,
empires empire
are be
often often
the the
creation creation
of of
a a
very very
small small
gang gang
of of
people people
at at
the the
top top
. .
I i
don don
' '
t t
think think
the the
Russian russian
people people
[ [
are be
] ]
interested interested
in in
this this
war war
. .
I i
don don
' '
t t
think think
that that
the the
Russian russian
people people
want want
to to
conquer conquer
Ukraine ukraine
or or
to to
slaughter slaughter
the the
citizens citizen
of of
Kyiv kyiv
. .
It it
' '
s s
all all
coming come
from from
the the
top top
. .
So so
there there
is be
no no
change change
there there
. .
I i
mean mean
, ,
when when
you you
look look
at at
the the
Soviet soviet
Union union
, ,
you you
can can
say say
that that
there there
was be
this this
mass mass
ideology ideology
, ,
which which
was be
shared share
by by
a a
large large
proportion proportion
, ,
or or
some some
proportion proportion
, ,
of of
the the
population population
. .
You you
don don
' '
t t
see see
this this
now now
. .
You you
know know
, ,
Russia russia
is be
a a
very very
rich rich
country country
, ,
rich rich
in in
resources resource
, ,
but but
most most
people people
are be
very very
poor poor
. .
Their their
standard standard
of of
living living
is be
very very
, ,
very very
low low
because because
all all
the the
wealth wealth
and and
power power
is be
kind kind
of of
sucked suck
by by
the the
people people
at at
the the
top top
, ,
and and
very very
little little
is be
left leave
for for
everybody everybody
else else
. .
So so
I i
don don
' '
t t
think think
it it
' '
s s
a a
society society
where where
the the
masses mass
are be
part part
of of
this this
kind kind
of of
ideological ideological
project project
. .
They they
' '
re re
being be
ruled rule
from from
the the
top top
. .
And and
you you
have have
this this
classic classic
imperial imperial
situation situation
, ,
when when
the the
emperor emperor
, ,
which which
controls control
the the
largest large
country country
in in
the the
world world
, ,
feels feel
that that
, ,
" "
Hey hey
, ,
this this
is be
not not
enough enough
. .
I i
need need
more more
. .
" "
And and
sends send
his his
army army
to to
capture capture
, ,
to to
extend extend
the the
empire empire
. .
BG bg
: :
I i
said say
at at
the the
beginning beginning
that that
it it
' '
s s
difficult difficult
, ,
of of
course course
, ,
to to
make make
predictions prediction
. .
But but
yesterday yesterday
, ,
you you
published publish
an an
article article
in in
" "
The the
Guardian guardian
" "
titled title
: :
" "
Why why
Putin putin
has have
already already
lost lose
this this
war war
. .
" "
Please please
explain explain
. .
YNH ynh
: :
Well well
, ,
one one
thing thing
should should
be be
very very
clear clear
. .
I i
don don
' '
t t
mean mean
to to
say say
that that
he he
' '
s s
going go
to to
suffer suffer
an an
immediate immediate
military military
defeat defeat
. .
He he
definitely definitely
has have
the the
military military
power power
to to
conquer conquer
Kyiv kyiv
and and
perhaps perhaps
the the
whole whole
of of
Ukraine ukraine
. .
Unfortunately unfortunately
, ,
we we
might might
see see
this this
. .
But but
his his
long-term long-term
goal goal
, ,
the the
whole whole
rationale rationale
of of
the the
war war
, ,
is be
to to
deny deny
the the
existence existence
of of
the the
Ukrainian ukrainian
nation nation
and and
to to
absorb absorb
it it
into into
Russia russia
. .
And and
to to
do do
that that
, ,
it it
' '
s s
not not
enough enough
to to
conquer conquer
Ukraine ukraine
. .
You you
also also
need need
to to
hold hold
it it
. .
And and
it it
' '
s s
all all
based base
on on
this this
fantasy fantasy
, ,
on on
this this
gamble gamble
, ,
that that
most most
of of
the the
population population
in in
Ukraine ukraine
would would
agree agree
to to
this this
, ,
would would
even even
welcome welcome
this this
. .
And and
we we
already already
know know
that that
it it
' '
s s
not not
true true
. .
That that
the the
Ukrainians ukrainians
are be
a a
very very
real real
nation nation
; ;
they they
are be
fiercely fiercely
independent independent
; ;
they they
don don
' '
t t
want want
to to
be be
part part
of of
Russia russia
; ;
they they
will will
fight fight
like like
hell hell
. .
And and
in in
the the
long-run long-run
, ,
again again
, ,
you you
can can
conquer conquer
a a
country country
, ,
But but
as as
the the
Russians russians
learned learn
in in
Afghanistan afghanistan
, ,
as as
the the
Americans americans
learned learn
also also
in in
Afghanistan afghanistan
, ,
also also
in in
Iraq iraq
, ,
it it
' '
s s
much much
harder harder
to to
hold hold
a a
country country
. .
And and
again again
, ,
the the
big big
question question
mark mark
before before
the the
war war
was be
always always
this this
. .
Before before
the the
war war
started start
, ,
many many
things thing
were be
already already
known know
. .
Everybody everybody
knew know
that that
the the
Russian russian
army army
is be
much much
stronger strong
than than
the the
Ukrainian ukrainian
Army army
. .
Everybody everybody
knew know
that that
NATO nato
will will
not not
send send
armed armed
forces force
into into
Ukraine ukraine
, ,
troops troop
into into
Ukraine ukraine
. .
Everybody everybody
knew know
that that
the the
West west
, ,
the the
Europeans europeans
, ,
would would
be be
hesitant hesitant
about about
imposing impose
too too
strict strict
a a
sanction sanction
regime regime
for for
fear fear
of of
being be
hurt hurt
by by
it it
themselves themselves
. .
And and
this this
was be
the the
basis basis
for for
Putin putin
' '
s s
war war
plan plan
. .
But but
there there
was be
one one
big big
unknown unknown
. .
Nobody nobody
could could
say say
for for
sure sure
how how
the the
Ukrainian ukrainian
people people
would would
react react
. .
And and
there there
was be
always always
the the
option option
that that
maybe maybe
Putin putin
' '
s s
fantasy fantasy
would would
come come
true true
. .
Maybe maybe
the the
Russians russians
will will
march march
in in
, ,
Zelenskyy zelenskyy
would would
flee flee
, ,
maybe maybe
the the
Ukrainian ukrainian
army army
will will
just just
capitulate capitulate
and and
the the
population population
would would
not not
do do
much much
. .
This this
was be
always always
an an
option option
. .
And and
now now
we we
know know
this this
was be
just just
fantasy fantasy
. .
Now now
we we
know know
that that
the the
Ukrainians ukrainians
are be
fighting fight
, ,
they they
will will
fight fight
. .
And and
this this
derails derail
the the
whole whole
rationale rationale
of of
Putin putin
' '
s s
war war
. .
Because because
you you
can can
conquer conquer
the the
country country
, ,
maybe maybe
, ,
but but
you you
won win
' '
t t
be be
able able
to to
absorb absorb
Ukraine ukraine
back back
into into
Russia russia
. .
The the
only only
thing thing
he he
' '
s s
accomplishing accomplish
, ,
he he
is be
planting plant
seeds seed
of of
hatred hatred
in in
the the
hearts heart
of of
every every
Ukrainian ukrainian
. .
Every every
Ukrainian ukrainian
being be
killed kill
, ,
every every
day day
this this
war war
continues continue
is be
more more
seeds seed
of of
hatred hatred
that that
may may
last last
for for
generations generation
. .
Ukrainians ukrainians
and and
Russians russians
didn didn
' '
t t
hate hate
each each
other other
before before
Putin putin
. .
They they
' '
re re
siblings sibling
. .
Now now
he he
' '
s s
making make
them them
enemies enemy
. .
And and
if if
he he
continues continue
, ,
this this
will will
be be
his his
legacy legacy
. .
BG bg
: :
We we
' '
re re
going go
to to
talk talk
a a
bit bit
about about
that that
again again
later later
but but
, ,
you you
know know
, ,
at at
the the
same same
time time
, ,
Putin putin
needs need
a a
victory victory
, ,
right right
? ?
The the
cost cost
, ,
the the
human human
, ,
economic economic
, ,
political political
cost cost
of of
this this
war war
, ,
not not
even even
a a
week week
in in
, ,
is be
already already
astronomical astronomical
. .
So so
to to
justify justify
it it
and and
also also
to to
remain remain
, ,
by by
the the
way way
, ,
a a
viable viable
leader leader
at at
the the
head head
of of
Russia russia
, ,
Putin putin
needs need
to to
win win
, ,
and and
even even
win win
convincingly convincingly
. .
So so
how how
do do
we we
square square
these these
things thing
? ?
YNH ynh
: :
I i
don don
' '
t t
know know
. .
I i
mean mean
, ,
the the
fact fact
that that
you you
need need
to to
win win
doesn doesn
' '
t t
mean mean
that that
you you
can can
win win
. .
Lots lot
of of
political political
leaders leader
need need
to to
win win
, ,
and and
sometimes sometimes
they they
lose lose
. .
He he
could could
stop stop
the the
war war
, ,
declare declare
that that
he he
won win
, ,
and and
say say
that that
recognizing recognize
Luhansk luhansk
and and
Donetsk donetsk
by by
the the
Russians russians
is be
what what
he he
really really
wanted want
all all
along along
, ,
and and
he he
achieved achieve
this this
. .
Maybe maybe
they they
cobble cobble
this this
agreement agreement
, ,
or or
I i
don don
' '
t t
know know
. .
This this
is be
the the
job job
of of
politicians politician
, ,
I i
' '
m m
not not
a a
politician politician
. .
But but
I i
can can
tell tell
you you
that that
I i
hope hope
, ,
for for
the the
sake sake
of of
everybody everybody
-- --
Ukrainians ukrainians
, ,
Russians russians
and and
the the
whole whole
of of
humanity humanity
-- --
that that
this this
war war
stops stop
immediately immediately
. .
Because because
if if
it it
doesn doesn
' '
t t
, ,
it it
' '
s s
not not
only only
the the
Ukrainians ukrainians
and and
the the
Russians russian
that that
will will
suffer suffer
terribly terribly
. .
Everybody everybody
will will
suffer suffer
terribly terribly
if if
this this
war war
continues continue
. .
BG bg
: :
Explain explain
why why
. .
YNH ynh
: :
Because because
of of
the the
shock shock
waves wave
destabilizing destabilize
the the
whole whole
world world
. .
Let let
' '
s s
start start
with with
the the
bottom bottom
line line
: :
budgets budget
. .
We we
have have
been be
living live
in in
an an
amazing amazing
era era
of of
peace peace
in in
the the
last last
few few
decades decade
. .
And and
it it
wasn wasn
' '
t t
some some
kind kind
of of
hippie hippie
fantasy fantasy
. .
You you
saw see
it it
in in
the the
bottom bottom
line line
. .
You you
saw see
it it
in in
the the
budgets budget
. .
In in
Europe europe
, ,
in in
the the
European european
Union union
, ,
the the
average average
defense defense
budget budget
of of
EU eu
members member
was be
around around
three three
percent percent
of of
government government
budget budget
. .
And and
that that
' '
s s
a a
historical historical
miracle miracle
, ,
almost almost
. .
For for
most most
of of
history history
, ,
the the
budget budget
of of
kings king
and and
emperors emperor
and and
sultans sultan
, ,
like like
50 @card@
percent percent
, ,
80 @card@
percent percent
goes go
to to
war war
, ,
goes go
to to
the the
army army
. .
In in
Europe europe
, ,
it it
' '
s s
just just
three three
percent percent
. .
In in
the the
whole whole
world world
, ,
the the
average average
is be
about about
six six
percent percent
, ,
I i
think think
, ,
fact-check fact-check
me me
on on
this this
, ,
but but
this this
is be
the the
figure figure
that that
I i
know know
, ,
six six
percent percent
. .
What what
we we
saw see
already already
within within
a a
few few
days day
, ,
Germany germany
doubles double
its its
military military
budget budget
in in
a a
day day
. .
And and
I i
' '
m m
not not
against against
it it
. .
Given give
what what
they they
are be
facing face
, ,
it it
' '
s s
reasonable reasonable
. .
For for
the the
Germans germans
, ,
for for
the the
Poles poles
, ,
for for
all all
of of
Europe europe
to to
double double
their their
budgets budget
. .
And and
you you
see see
other other
countries country
around around
the the
world world
doing do
the the
same same
thing thing
. .
But but
this this
is be
, ,
you you
know know
, ,
a a
race race
to to
the the
bottom bottom
. .
When when
they they
double double
their their
budgets budget
, ,
other other
countries country
look look
and and
feel feel
insecure insecure
and and
double double
their their
budgets budget
, ,
so so
they they
have have
to to
double double
them them
again again
and and
triple triple
them them
. .
And and
the the
money money
that that
should should
go go
to to
health health
care care
, ,
that that
should should
go go
to to
education education
, ,
that that
should should
go go
to to
fight fight
climate climate
change change
, ,
this this
money money
will will
now now
go go
to to
tanks tank
, ,
to to
missiles missile
, ,
to to
fighting fighting
wars war
. .
So so
there there
is be
less less
health health
care care
for for
everybody everybody
, ,
and and
there there
is be
maybe maybe
no no
solution solution
to to
climate climate
change change
because because
the the
money money
goes go
to to
tanks tank
. .
And and
in in
this this
way way
, ,
even even
if if
you you
live live
in in
Australia australia
, ,
even even
if if
you you
live live
in in
Brazil brazil
, ,
you you
will will
feel feel
the the
repercussions repercussion
of of
this this
war war
in in
less less
health health
care care
, ,
in in
a a
deteriorating deteriorating
ecological ecological
crisis crisis
, ,
in in
many many
other other
things thing
. .
Again again
, ,
another another
very very
central central
question question
is be
technology technology
. .
We we
are be
on on
the the
verge verge
, ,
we we
are be
already already
in in
the the
middle middle
, ,
actually actually
, ,
of of
new new
technological technological
arms arm
races race
in in
fields field
like like
artificial artificial
intelligence intelligence
. .
And and
we we
need need
global global
agreement agreement
about about
how how
to to
regulate regulate
AI ai
and and
to to
prevent prevent
the the
worst bad
scenarios scenario
. .
How how
can can
we we
get get
a a
global global
agreement agreement
on on
AI ai
when when
you you
have have
a a
new new
cold cold
war war
, ,
a a
new new
hot hot
war war
? ?
So so
in in
this this
field field
, ,
to to
all all
hopes hope
of of
stopping stop
the the
AI ai
arms arm
race race
will will
go go
up up
in in
smoke smoke
if if
this this
war war
continues continue
. .
So so
again again
, ,
everybody everybody
around around
the the
world world
will will
feel feel
the the
consequences consequence
in in
many many
ways way
. .
This this
is be
much much
, ,
much much
bigger big
than than
just just
another another
regional regional
conflict conflict
. .
BG bg
: :
If if
one one
of of
Putin putin
' '
s s
goals goal
here here
is be
to to
divide divide
Europe europe
, ,
to to
weaken weaken
the the
transatlantic transatlantic
alliance alliance
and and
the the
global global
liberal liberal
order order
, ,
he he
seems seem
to to
kind kind
of of
accidentally accidentally
have have
revitalized revitalize
all all
of of
them them
in in
a a
way way
. .
US-EU us-eu
relations relation
have have
never never
been be
so so
close close
in in
many many
years year
. .
And and
so so
how how
do do
you you
read read
that that
? ?
YNH ynh
: :
Well well
, ,
again again
, ,
in in
this this
sense sense
, ,
he he
also also
lost lose
the the
war war
. .
If if
his his
aim aim
was be
to to
divide divide
Europe europe
, ,
to to
divide divide
NATO nato
, ,
he he
' '
s s
achieved achieve
exactly exactly
the the
opposite opposite
. .
I i
mean mean
, ,
I i
was be
amazed amaze
by by
how how
quick quick
, ,
how how
strong strong
and and
how how
unanimous unanimous
the the
European european
reaction reaction
was be
. .
I i
think think
the the
Europeans europeans
surprised surprise
themselves themselves
. .
You you
even even
see see
countries country
like like
Finland finland
and and
Sweden sweden
sending send
arms arm
to to
Ukraine ukraine
and and
closing close
their their
airspace airspace
. .
They they
didn didn
' '
t t
even even
do do
it it
in in
the the
Cold cold
War war
. .
It it
' '
s s
really really
amazing amazing
to to
see see
it it
. .
I i
think think
another another
very very
important important
thing thing
is be
what what
has have
been be
dividing divide
the the
West west
over over
the the
several several
years year
now now
, ,
it it
' '
s s
what what
people people
term term
the the
" "
culture culture
war war
" "
. .
The the
culture culture
war war
between between
left left
and and
right right
, ,
between between
conservatives conservative
and and
liberals liberal
. .
And and
I i
think think
this this
war war
can can
be be
an an
opportunity opportunity
to to
end end
the the
culture culture
war war
within within
the the
West west
, ,
to to
make make
peace peace
in in
the the
culture culture
war war
. .
First first
of of
all all
, ,
because because
you you
suddenly suddenly
realize realize
we we
are be
all all
in in
this this
together together
. .
There there
are be
much much
bigger big
things thing
in in
the the
world world
than than
these these
arguments argument
between between
left left
and and
right right
within within
the the
Western western
democracies democracy
. .
And and
it it
' '
s s
a a
reminder reminder
that that
we we
need need
to to
stand stand
united unite
to to
protect protect
Western western
liberal liberal
democracies democracy
. .
But but
it it
' '
s s
deeper deeper
than than
that that
. .
Much much
of of
the the
argument argument
between between
left left
and and
right right
seemed seem
to to
be be
in in
terms term
of of
a a
contradiction contradiction
between between
liberalism liberalism
and and
nationalism nationalism
. .
Like like
, ,
you you
need need
to to
choose choose
. .
And and
the the
right right
goes go
with with
nationalism nationalism
, ,
and and
the the
left left
goes go
more more
liberalism liberalism
. .
And and
Ukraine ukraine
is be
a a
reminder reminder
that that
no no
, ,
the the
two two
actually actually
go go
together together
. .
Historically historically
, ,
nationalism nationalism
and and
liberalism liberalism
are be
not not
opposites opposite
. .
They they
are be
not not
enemies enemy
. .
They they
are be
friends friend
, ,
they they
go go
together together
. .
They they
meet meet
around around
the the
central central
value value
of of
freedom freedom
, ,
of of
liberty liberty
. .
And and
to to
see see
a a
nation nation
fighting fight
for for
its its
survival survival
, ,
fighting fight
for for
its its
freedom freedom
, ,
you you
see see
it it
on on
Fox fox
News news
or or
you you
see see
it it
in in
CNN cnn
. .
And and
yes yes
, ,
they they
tell tell
the the
story story
a a
little little
differently differently
, ,
but but
they they
suddenly suddenly
see see
the the
same same
reality reality
. .
And and
they they
find find
common common
ground ground
. .
And and
the the
common common
ground ground
is be
to to
understand understand
that that
nationalism nationalism
is be
not not
about about
hating hate
minorities minority
or or
hating hate
foreigners foreigner
, ,
it it
' '
s s
about about
loving love
your your
compatriots compatriot
, ,
and and
reaching reach
a a
peaceful peaceful
agreement agreement
about about
how how
we we
want want
to to
run run
our our
country country
together together
. .
And and
I i
hope hope
that that
seeing see
what what
is be
happening happen
would would
help help
to to
end end
the the
culture culture
war war
in in
the the
West west
. .
And and
if if
this this
happens happen
, ,
we we
don don
' '
t t
need need
to to
worry worry
about about
anything anything
. .
You you
know know
, ,
when when
you you
look look
at at
the the
real real
power power
balance balance
, ,
if if
the the
Europeans europeans
stick stick
together together
, ,
if if
the the
Americans americans
and and
the the
Europeans europeans
stick stick
together together
and and
stop stop
this this
culture culture
war war
and and
stop stop
tearing tear
themselves themselves
apart apart
, ,
they they
have have
absolutely absolutely
nothing nothing
to to
fear fear
-- --
the the
Russians russians
or or
anybody anybody
else else
. .
BG bg
: :
I i
' '
m m
going go
to to
ask ask
you you
a a
question question
later later
about about
the the
stories story
the the
West west
tells tell
itself itself
, ,
but but
let let
me me
zoom zoom
out out
for for
a a
second second
and and
get get
a a
larger large
perspective perspective
. .
You you
wrote write
another another
essay essay
last last
week week
in in
" "
The the
Economist economist
" "
, ,
and and
you you
argue argue
that that
what what
' '
s s
at at
stake stake
in in
Ukraine ukraine
is be
, ,
and and
I i
quote quote
you you
, ,
" "
the the
direction direction
of of
human human
history history
" "
because because
it it
puts put
at at
risk risk
what what
you you
call call
the the
greatest great
political political
and and
moral moral
achievement achievement
of of
modern modern
civilization civilization
, ,
which which
is be
the the
decline decline
of of
war war
. .
So so
now now
we we
are be
back back
in in
a a
war war
and and
potentially potentially
afterwards afterwards
into into
a a
new new
form form
of of
cold cold
war war
or or
hot hot
war war
, ,
but but
hopefully hopefully
not not
. .
Elaborate elaborate
about about
that that
essay essay
you you
wrote write
. .
YNH ynh
: :
Yeah yeah
, ,
I i
mean mean
, ,
some some
people people
think think
that that
all all
this this
talk talk
about about
the the
decline decline
of of
war war
was be
always always
just just
a a
fantasy fantasy
. .
But but
. .
. .
. .
Again again
, ,
you you
look look
at at
the the
statistics statistic
. .
Since since
1945 @card@
, ,
there there
has have
not not
been be
a a
single single
clash clash
between between
superpowers superpower
, ,
whereas whereas
previously previously
in in
history history
, ,
this this
was be
, ,
you you
know know
, ,
the the
basic basic
stuff stuff
of of
history history
. .
Since since
1945 @card@
, ,
not not
a a
single single
internationally internationally
recognized recognize
country country
was be
wiped wipe
off off
the the
map map
by by
external external
invasion invasion
. .
This this
was be
the the
common common
thing thing
in in
history history
. .
Until until
then then
and and
then then
it it
stopped stop
. .
This this
is be
an an
amazing amazing
achievement achievement
, ,
which which
is be
the the
basis basis
for for
everything everything
we we
have have
, ,
for for
our our
medical medical
services service
, ,
for for
education education
system system
, ,
and and
this this
is be
all all
now now
in in
jeopardy jeopardy
. .
Because because
this this
era era
of of
peace peace
, ,
it it
wasn wasn
' '
t t
the the
result result
of of
some some
miracle miracle
. .
It it
wasn wasn
' '
t t
the the
result result
of of
a a
change change
in in
the the
laws law
of of
nature nature
. .
It it
was be
humans human
making make
better good
decisions decision
and and
building build
better good
institutions institution
, ,
which which
means mean
also also
that that
there there
is be
no no
guarantee guarantee
for for
the the
future future
. .
If if
humans human
, ,
some some
humans human
, ,
start start
making make
bad bad
decisions decision
and and
start start
destroying destroy
the the
institutions institution
that that
kept keep
the the
peace peace
, ,
then then
we we
will will
be be
back back
in in
the the
era era
of of
war war
with with
budgets budget
, ,
military military
budgets budget
going go
to to
20 @card@
, ,
30 @card@
, ,
40 @card@
percent percent
. .
It it
can can
happen happen
. .
It it
' '
s s
in in
our our
hands hand
. .
And and
I i
' '
ll ll
just just
say say
one one
more more
thing thing
, ,
When when
, ,
not not
just just
me me
, ,
but but
other other
scholars scholar
like like
Steven steven
Pinker pink
and and
others other
, ,
talked talk
about about
the the
era era
of of
peace peace
, ,
some some
people people
understood understand
it it
as as
kind kind
of of
encouraging encouraging
complacency complacency
. .
That that
, ,
oh oh
, ,
we we
don don
' '
t t
need need
to to
worry worry
about about
anything anything
. .
No no
, ,
I i
mean mean
, ,
the the
message message
was be
really really
the the
opposite opposite
. .
It it
was be
a a
message message
of of
responsibility responsibility
. .
If if
you you
think think
that that
there there
is be
no no
era era
of of
peace peace
in in
history history
, ,
it it
' '
s s
