So	IN	so
70	CD	@card@
hours	NNS	hour
of	IN	of
TV	NN	TV
—	:	-
Three	CD	three
shows	NNS	show
in	IN	in
production	NN	production
at	IN	at
a	DT	a
time	NN	time
,	,	,
sometimes	RB	sometimes
four	CD	four
.	SENT	.
Each	DT	each
show	NN	show
creates	VBZ	create
hundreds	NNS	hundred
of	IN	of
jobs	NNS	job
that	IN	that
didn	NP	<unknown>
'	POS	'
t	NN	t
exist	VBP	exist
before	RB	before
.	SENT	.
The	DT	the
budget	NN	budget
for	IN	for
one	CD	one
episode	NN	episode
of	IN	of
network	NN	network
television	NN	television
can	MD	can
be	VB	be
anywhere	RB	anywhere
from	IN	from
three	CD	three
to	TO	to
six	CD	six
million	CD	million
dollars	NNS	dollar
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
just	RB	just
say	VBP	say
five	CD	five
.	SENT	.
A	DT	a
new	JJ	new
episode	NN	episode
made	VBD	make
every	DT	every
nine	CD	nine
days	NNS	day
times	CC	times
four	CD	four
shows	NNS	show
,	,	,
so	RB	so
every	DT	every
nine	CD	nine
days	NNS	day
that	WDT	that
'	POS	'
s	NN	S
20	CD	@card@
million	CD	million
dollars	NNS	dollar
worth	JJ	worth
of	IN	of
television	NN	television
,	,	,
four	CD	four
television	NN	television
programs	NNS	program
,	,	,
70	CD	@card@
hours	NNS	hour
of	IN	of
TV	NP	TV
,	,	,
three	CD	three
shows	NNS	show
in	IN	in
production	NN	production
at	IN	at
a	DT	a
time	NN	time
,	,	,
sometimes	RB	sometimes
four	CD	four
,	,	,
16	CD	@card@
episodes	NNS	episode
going	VBG	go
on	IN	on
at	IN	at
all	DT	all
times	NNS	time
:	:	:
24	CD	@card@
episodes	NNS	episode
of	IN	of
"	``	"
Grey	NP	Grey
'	POS	'
s	NN	S
,	,	,
"	''	"
21	CD	@card@
episodes	NNS	episode
of	IN	of
"	``	"
Scandal	NN	scandal
,	,	,
"	''	"
15	CD	@card@
episodes	NNS	episode
of	IN	of
"	``	"
How	WRB	how
To	TO	to
Get	VB	get
Away	RB	away
With	IN	with
Murder	NN	murder
,	,	,
"	''	"
10	CD	@card@
episodes	NNS	episode
of	IN	of
"	``	"
The	DT	the
Catch	NN	catch
,	,	,
"	''	"
that	WDT	that
'	POS	'
s	NN	S
70	CD	@card@
hours	NNS	hour
of	IN	of
TV	NN	TV
,	,	,
that	WDT	that
'	POS	'
s	NN	S
350	CD	@card@
million	CD	million
dollars	NNS	dollar
for	IN	for
a	DT	a
season	NN	season
.	SENT	.
In	IN	in
America	NP	America
,	,	,
my	PP$	my
television	NN	television
shows	NNS	show
are	VBP	be
back	RB	back
to	TO	to
back	VB	back
to	TO	to
back	VB	back
on	IN	on
Thursday	NP	Thursday
night	NN	night
.	SENT	.
Around	IN	around
the	DT	the
world	NN	world
,	,	,
my	PP$	my
shows	NNS	show
air	NN	air
in	IN	in
256	CD	@card@
territories	NNS	territory
in	IN	in
67	CD	@card@
languages	NNS	language
for	IN	for
an	DT	an
audience	NN	audience
of	IN	of
30	CD	@card@
million	CD	million
people	NNS	people
.	SENT	.
My	PP$	my
brain	NN	brain
is	VBZ	be
global	JJ	global
,	,	,
and	CC	and
45	CD	@card@
hours	NNS	hour
of	IN	of
that	DT	that
70	CD	@card@
hours	NNS	hour
of	IN	of
TV	NN	TV
are	VBP	be
shows	NNS	show
I	PP	I
personally	RB	personally
created	VBD	create
and	CC	and
not	RB	not
just	RB	just
produced	VBN	produce
,	,	,
so	RB	so
on	IN	on
top	NN	top
of	IN	of
everything	NN	everything
else	RB	else
,	,	,
I	PP	I
need	VBP	need
to	TO	to
find	VB	find
time	NN	time
,	,	,
real	JJ	real
quiet	JJ	quiet
,	,	,
creative	JJ	creative
time	NN	time
,	,	,
to	TO	to
gather	VB	gather
my	PP$	my
fans	NNS	fan
around	IN	around
the	DT	the
campfire	NN	campfire
and	CC	and
tell	VB	tell
my	PP$	my
stories	NNS	story
.	SENT	.
Four	CD	four
television	NN	television
programs	NNS	program
,	,	,
70	CD	@card@
hours	NNS	hour
of	IN	of
TV	NP	TV
,	,	,
three	CD	three
shows	NNS	show
in	IN	in
production	NN	production
at	IN	at
a	DT	a
time	NN	time
,	,	,
sometimes	RB	sometimes
four	CD	four
,	,	,
350	CD	@card@
million	CD	million
dollars	NNS	dollar
,	,	,
campfires	NNS	campfire
burning	VBG	burn
all	DT	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
You	PP	you
know	VBP	know
who	WP	who
else	RB	else
is	VBZ	be
doing	VBG	do
that	DT	that
?	SENT	?
Nobody	NN	nobody
,	,	,
so	RB	so
like	IN	like
I	PP	I
said	VBD	say
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
titan	NN	titan
.	SENT	.
Dream	NN	dream
job	NN	job
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
tell	VB	tell
you	PP	you
this	DT	this
to	TO	to
impress	VB	impress
you	PP	you
.	SENT	.
I	PP	I
tell	VBP	tell
you	PP	you
this	DT	this
because	IN	because
I	PP	I
know	VBP	know
what	WP	what
you	PP	you
think	VBP	think
of	IN	of
when	WRB	when
you	PP	you
hear	VBP	hear
the	DT	the
word	NN	word
"	``	"
writer	NN	writer
.	SENT	.
"	``	"
I	PP	I
tell	VBP	tell
you	PP	you
this	DT	this
so	IN	so
that	WDT	that
all	DT	all
of	IN	of
you	PP	you
out	IN	out
there	EX	there
who	WP	who
work	VBP	work
so	RB	so
hard	RB	hard
,	,	,
whether	IN	whether
you	PP	you
run	VBP	run
a	DT	a
company	NN	company
or	CC	or
a	DT	a
country	NN	country
or	CC	or
a	DT	a
classroom	NN	classroom
or	CC	or
a	DT	a
store	NN	store
or	CC	or
a	DT	a
home	NN	home
,	,	,
take	VB	take
me	PP	me
seriously	RB	seriously
when	WRB	when
I	PP	I
talk	VBP	talk
about	RB	about
working	VBG	work
,	,	,
so	IN	so
you	PP	you
'	POS	'
ll	NNS	<unknown>
get	VBP	get
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
peck	NN	peck
at	IN	at
a	DT	a
computer	NN	computer
and	CC	and
imagine	VB	imagine
all	DT	all
day	NN	day
,	,	,
so	IN	so
you	PP	you
'	POS	'
ll	NNS	<unknown>
hear	VBP	hear
me	PP	me
when	WRB	when
I	PP	I
say	VBP	say
that	IN	that
I	PP	I
understand	VBP	understand
that	IN	that
a	DT	a
dream	NN	dream
job	NN	job
is	VBZ	be
not	RB	not
about	RB	about
dreaming	VBG	dream
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
all	DT	all
job	NN	job
,	,	,
all	DT	all
work	NN	work
,	,	,
all	DT	all
reality	NN	reality
,	,	,
all	DT	all
blood	NN	blood
,	,	,
all	DT	all
sweat	NN	sweat
,	,	,
no	DT	no
tears	NNS	tear
.	SENT	.
I	PP	I
work	VBP	work
a	DT	a
lot	NN	lot
,	,	,
very	RB	very
hard	JJ	hard
,	,	,
and	CC	and
I	PP	I
love	VBP	love
it	PP	it
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
hard	RB	hard
at	IN	at
work	NN	work
,	,	,
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
deep	JJ	deep
in	IN	in
it	PP	it
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
other	JJ	other
feeling	NN	feeling
.	SENT	.
For	IN	for
me	PP	me
,	,	,
my	PP$	my
work	NN	work
is	VBZ	be
at	IN	at
all	DT	all
times	NNS	time
building	VBG	build
a	DT	a
nation	NN	nation
out	RP	out
of	IN	of
thin	JJ	thin
air	NN	air
.	SENT	.
It	PP	it
is	VBZ	be
manning	VBG	man
the	DT	the
troops	NNS	troop
.	SENT	.
It	PP	it
is	VBZ	be
painting	VBG	paint
a	DT	a
canvas	NN	canvas
.	SENT	.
It	PP	it
is	VBZ	be
hitting	VBG	hit
every	DT	every
high	JJ	high
note	NN	note
.	SENT	.
It	PP	it
is	VBZ	be
running	VBG	run
a	DT	a
marathon	NN	marathon
.	SENT	.
It	PP	it
is	VBZ	be
being	VBG	be
Beyonc��	NP	<unknown>
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
all	RB	all
of	IN	of
those	DT	those
things	NNS	thing
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
I	PP	I
love	VBP	love
working	VBG	work
.	SENT	.
It	PP	it
is	VBZ	be
creative	JJ	creative
and	CC	and
mechanical	JJ	mechanical
and	CC	and
exhausting	VBG	exhaust
and	CC	and
exhilarating	VBG	exhilarate
and	CC	and
hilarious	JJ	hilarious
and	CC	and
disturbing	JJ	disturbing
and	CC	and
clinical	JJ	clinical
and	CC	and
maternal	JJ	maternal
and	CC	and
cruel	JJ	cruel
and	CC	and
judicious	JJ	judicious
,	,	,
and	CC	and
what	WP	what
makes	VBZ	make
it	PP	it
all	DT	all
so	RB	so
good	JJ	good
is	VBZ	be
the	DT	the
hum	NN	hum
.	SENT	.
There	EX	there
is	VBZ	be
some	DT	some
kind	NN	kind
of	IN	of
shift	NN	shift
inside	IN	inside
me	PP	me
when	WRB	when
the	DT	the
work	NN	work
gets	VBZ	get
good	JJ	good
.	SENT	.
A	DT	a
hum	NN	hum
begins	VBZ	begin
in	IN	in
my	PP$	my
brain	NN	brain
,	,	,
and	CC	and
it	PP	it
grows	VBZ	grow
and	CC	and
it	PP	it
grows	VBZ	grow
and	CC	and
that	WDT	that
hum	NN	hum
sounds	VBZ	sound
like	IN	like
the	DT	the
open	JJ	open
road	NN	road
,	,	,
and	CC	and
I	PP	I
could	MD	could
drive	VB	drive
it	PP	it
forever	RB	forever
.	SENT	.
And	CC	and
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
when	WRB	when
I	PP	I
try	VBP	try
to	TO	to
explain	VB	explain
the	DT	the
hum	NN	hum
,	,	,
they	PP	they
assume	VBP	assume
that	IN	that
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
the	DT	the
writing	NN	writing
,	,	,
that	IN	that
my	PP$	my
writing	NN	writing
brings	VBZ	bring
me	PP	me
joy	NN	joy
.	SENT	.
And	CC	and
don	NN	don
'	POS	'
t	NN	t
get	VB	get
me	PP	me
wrong	JJ	wrong
,	,	,
it	PP	it
does	VBZ	do
.	SENT	.
But	CC	but
the	DT	the
hum	NN	hum
—	:	-
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
until	IN	until
I	PP	I
started	VBD	start
making	VBG	make
television	NN	television
that	IN	that
I	PP	I
started	VBD	start
working	VBG	work
,	,	,
working	VBG	work
and	CC	and
making	VBG	make
and	CC	and
building	VBG	build
and	CC	and
creating	VBG	create
and	CC	and
collaborating	VBG	collaborate
,	,	,
that	IN	that
I	PP	I
discovered	VBD	discover
this	DT	this
thing	NN	thing
,	,	,
this	DT	this
buzz	NN	buzz
,	,	,
this	DT	this
rush	NN	rush
,	,	,
this	DT	this
hum	NN	hum
.	SENT	.
The	DT	the
hum	NN	hum
is	VBZ	be
more	JJR	more
than	IN	than
writing	NN	writing
.	SENT	.
The	DT	the
hum	NN	hum
is	VBZ	be
action	NN	action
and	CC	and
activity	NN	activity
.	SENT	.
The	DT	the
hum	NN	hum
is	VBZ	be
a	DT	a
drug	NN	drug
.	SENT	.
The	DT	the
hum	NN	hum
is	VBZ	be
music	NN	music
.	SENT	.
The	DT	the
hum	NN	hum
is	VBZ	be
light	JJ	light
and	CC	and
air	NN	air
.	SENT	.
The	DT	the
hum	NN	hum
is	VBZ	be
God	NP	God
'	POS	'
s	JJ	<unknown>
whisper	NN	whisper
right	NN	right
in	IN	in
my	PP$	my
ear	NN	ear
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
have	VBP	have
a	DT	a
hum	NN	hum
like	IN	like
that	DT	that
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
help	VB	help
but	CC	but
strive	VB	strive
for	IN	for
greatness	NN	greatness
.	SENT	.
That	DT	that
feeling	NN	feeling
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
help	VB	help
but	CC	but
strive	VB	strive
for	IN	for
greatness	NN	greatness
at	IN	at
any	DT	any
cost	NN	cost
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
hum	NN	hum
.	SENT	.
Or	CC	or
,	,	,
maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
being	VBG	be
a	DT	a
workaholic	NN	workaholic
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
genius	NN	genius
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
ego	NN	ego
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
fear	VBP	fear
of	IN	of
failure	NN	failure
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
I	PP	I
just	RB	just
know	VBP	know
that	IN	that
I	NP	I
'	POS	'
m	NN	m
not	RB	not
built	VBN	build
for	IN	for
failure	NN	failure
,	,	,
and	CC	and
I	PP	I
just	RB	just
know	VBP	know
that	IN	that
I	PP	I
love	VBP	love
the	DT	the
hum	NN	hum
.	SENT	.
I	PP	I
just	RB	just
know	VBP	know
that	IN	that
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
I	NP	I
'	POS	'
m	NN	m
a	DT	a
titan	NN	titan
,	,	,
and	CC	and
I	PP	I
know	VBP	know
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
question	VB	question
it	PP	it
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
the	DT	the
more	RBR	more
successful	JJ	successful
I	PP	I
become	VBP	become
,	,	,
the	DT	the
more	JJR	more
shows	NNS	show
,	,	,
the	DT	the
more	JJR	more
episodes	NNS	episode
,	,	,
the	DT	the
more	JJR	more
barriers	NNS	barrier
broken	VBN	break
,	,	,
the	DT	the
more	JJR	more
work	NN	work
there	EX	there
is	VBZ	be
to	TO	to
do	VB	do
,	,	,
the	DT	the
more	JJR	more
balls	NNS	ball
in	IN	in
the	DT	the
air	NN	air
,	,	,
the	DT	the
more	JJR	more
eyes	NNS	eye
on	IN	on
me	PP	me
,	,	,
the	DT	the
more	JJR	more
history	NN	history
stares	NNS	stare
,	,	,
the	DT	the
more	JJR	more
expectations	NNS	expectation
there	RB	there
are	VBP	be
.	SENT	.
The	DT	the
more	JJR	more
I	PP	I
work	VBP	work
to	TO	to
be	VB	be
successful	JJ	successful
,	,	,
the	DT	the
more	RBR	more
I	PP	I
need	VBP	need
to	TO	to
work	VB	work
.	SENT	.
And	CC	and
what	WP	what
did	VBD	do
I	PP	I
say	VBP	say
about	RB	about
work	VB	work
?	SENT	?
I	PP	I
love	VBP	love
working	VBG	work
,	,	,
right	RB	right
?	SENT	?
The	DT	the
nation	NN	nation
I	PP	I
'	POS	'
m	NN	m
building	NN	building
,	,	,
the	DT	the
marathon	NN	marathon
I	PP	I
'	POS	'
m	NN	m
running	NN	running
,	,	,
the	DT	the
troops	NNS	troop
,	,	,
the	DT	the
canvas	NN	canvas
,	,	,
the	DT	the
high	JJ	high
note	NN	note
,	,	,
the	DT	the
hum	NN	hum
,	,	,
the	DT	the
hum	NN	hum
,	,	,
the	DT	the
hum	NN	hum
.	SENT	.
I	PP	I
like	VBP	like
that	DT	that
hum	NN	hum
.	SENT	.
I	PP	I
love	VBP	love
that	DT	that
hum	NN	hum
.	SENT	.
I	PP	I
need	VBP	need
that	DT	that
hum	NN	hum
.	SENT	.
I	PP	I
am	VBP	be
that	DT	that
hum	NN	hum
.	SENT	.
Am	VBP	be
I	PP	I
nothing	NN	nothing
but	CC	but
that	DT	that
hum	NN	hum
?	SENT	?
And	CC	and
then	RB	then
the	DT	the
hum	NN	hum
stopped	VBD	stop
.	SENT	.
Overworked	VBN	overwork
,	,	,
overused	VBN	overuse
,	,	,
overdone	VBN	overdo
,	,	,
burned	VBN	burn
out	RP	out
.	SENT	.
The	DT	the
hum	NN	hum
stopped	VBD	stop
.	SENT	.
Now	RB	now
,	,	,
my	PP$	my
three	CD	three
daughters	NNS	daughter
are	VBP	be
used	VBN	use
to	TO	to
the	DT	the
truth	NN	truth
that	IN	that
their	PP$	their
mother	NN	mother
is	VBZ	be
a	DT	a
single	JJ	single
working	NN	working
titan	NN	titan
.	SENT	.
Harper	NP	Harper
tells	VBZ	tell
people	NNS	people
,	,	,
"	''	"
My	PP$	my
mom	NN	mom
won	VBD	win
'	''	'
t	NN	t
be	VB	be
there	RB	there
,	,	,
but	CC	but
you	PP	you
can	MD	can
text	NN	text
my	PP$	my
nanny	NN	nanny
.	SENT	.
"	''	"
And	CC	and
Emerson	NP	Emerson
says	VBZ	say
,	,	,
"	``	"
Honey	NP	Honey
,	,	,
I	NP	I
'	POS	'
m	NN	m
wanting	VBG	want
to	TO	to
go	VB	go
to	TO	to
ShondaLand	NP	<unknown>
.	SENT	.
"	``	"
They	PP	they
'	POS	'
re	NN	re
children	NNS	child
of	IN	of
a	DT	a
titan	NN	titan
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
baby	NN	baby
titans	NNS	titan
.	SENT	.
They	PP	they
were	VBD	be
12	CD	@card@
,	,	,
3	CD	@card@
,	,	,
and	CC	and
1	CD	@card@
when	WRB	when
the	DT	the
hum	NN	hum
stopped	VBD	stop
.	SENT	.
The	DT	the
hum	NN	hum
of	IN	of
the	DT	the
engine	NN	engine
died	VBD	die
.	SENT	.
I	PP	I
stopped	VBD	stop
loving	JJ	loving
work	NN	work
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
restart	VB	restart
the	DT	the
engine	NN	engine
.	SENT	.
The	DT	the
hum	NN	hum
would	MD	would
not	RB	not
come	VB	come
back	RB	back
.	SENT	.
My	PP$	my
hum	NN	hum
was	VBD	be
broken	VBN	break
.	SENT	.
I	PP	I
was	VBD	be
doing	VBG	do
the	DT	the
same	JJ	same
things	NNS	thing
I	PP	I
always	RB	always
did	VBD	do
,	,	,
all	RB	all
the	DT	the
same	JJ	same
titan	NN	titan
work	NN	work
,	,	,
15-hour	JJ	<unknown>
days	NNS	day
,	,	,
working	VBG	work
straight	RB	straight
through	IN	through
the	DT	the
weekends	NNS	weekend
,	,	,
no	DT	no
regrets	NNS	regret
,	,	,
never	RB	never
surrender	NN	surrender
,	,	,
a	DT	a
titan	NN	titan
never	RB	never
sleeps	VBZ	sleep
,	,	,
a	DT	a
titan	NN	titan
never	RB	never
quits	VBZ	quit
,	,	,
full	JJ	full
hearts	NNS	heart
,	,	,
clear	JJ	clear
eyes	NNS	eye
,	,	,
yada	NP	<unknown>
,	,	,
whatever	WDT	whatever
.	SENT	.
But	CC	but
there	EX	there
was	VBD	be
no	DT	no
hum	NN	hum
.	SENT	.
Inside	IN	inside
me	PP	me
was	VBD	be
silence	NN	silence
.	SENT	.
Four	CD	four
television	NN	television
programs	NNS	program
,	,	,
70	CD	@card@
hours	NNS	hour
of	IN	of
TV	NP	TV
,	,	,
three	CD	three
shows	NNS	show
in	IN	in
production	NN	production
at	IN	at
a	DT	a
time	NN	time
,	,	,
sometimes	RB	sometimes
four	CD	four
.	SENT	.
Four	CD	four
television	NN	television
programs	NNS	program
,	,	,
70	CD	@card@
hours	NNS	hour
of	IN	of
TV	NP	TV
,	,	,
three	CD	three
shows	NNS	show
in	IN	in
production	NN	production
at	IN	at
a	DT	a
time	NN	time
.	SENT	.
.	SENT	.
.	SENT	.
I	PP	I
was	VBD	be
the	DT	the
perfect	JJ	perfect
titan	NN	titan
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
titan	NN	titan
you	PP	you
could	MD	could
take	VB	take
home	NN	home
to	TO	to
your	PP$	your
mother	NN	mother
.	SENT	.
All	PDT	all
the	DT	the
