So	RB	so
Most	RBS	most
often	RB	often
,	,	,
when	WRB	when
it	PP	it
'	POS	'
s	NN	S
visited	VBD	visit
,	,	,
it	PP	it
'	POS	'
s	NN	S
by	IN	by
astronauts	NNS	astronaut
who	WP	who
are	VBP	be
blazing	VBG	blaze
up	RP	up
at	IN	at
it	PP	it
at	IN	at
probably	RB	probably
several	JJ	several
times	NNS	time
the	DT	the
speed	NN	speed
of	IN	of
sound	NN	sound
,	,	,
and	CC	and
they	PP	they
get	VBP	get
a	DT	a
few	JJ	few
seconds	NNS	second
on	IN	on
the	DT	the
way	NN	way
up	RB	up
,	,	,
and	CC	and
then	RB	then
they	PP	they
get	VBP	get
this	DT	this
blazing	VBG	blaze
ball	NN	ball
of	IN	of
fire	NN	fire
coming	VBG	come
back	RB	back
in	IN	in
,	,	,
on	IN	on
the	DT	the
way	NN	way
back	RB	back
in	IN	in
.	SENT	.
But	CC	but
the	DT	the
question	NN	question
I	PP	I
asked	VBD	ask
is	VBZ	be
,	,	,
is	VBZ	be
it	PP	it
possible	JJ	possible
to	TO	to
linger	VB	linger
in	IN	in
the	DT	the
stratosphere	NN	stratosphere
?	SENT	?
Is	VBZ	be
it	PP	it
possible	JJ	possible
to	TO	to
experience	VB	experience
the	DT	the
stratosphere	NN	stratosphere
?	SENT	?
Is	VBZ	be
it	PP	it
possible	JJ	possible
to	TO	to
explore	VB	explore
the	DT	the
stratosphere	NN	stratosphere
?	SENT	?
I	PP	I
studied	VBD	study
this	DT	this
using	VBG	use
my	PP$	my
favorite	JJ	favorite
search	NN	search
engine	NN	engine
for	IN	for
quite	PDT	quite
a	DT	a
while	NN	while
,	,	,
about	IN	about
a	DT	a
year	NN	year
,	,	,
and	CC	and
then	RB	then
I	PP	I
made	VBD	make
a	DT	a
scary	JJ	scary
phone	NN	phone
call	NN	call
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
reference	NN	reference
from	IN	from
a	DT	a
friend	NN	friend
of	IN	of
mine	NN	mine
to	TO	to
call	VB	call
Taber	NP	Taber
MacCallum	NP	MacCallum
from	IN	from
Paragon	NN	paragon
Space	NP	Space
Development	NP	Development
Corporation	NP	Corporation
,	,	,
and	CC	and
I	PP	I
asked	VBD	ask
him	PP	him
the	DT	the
question	NN	question
:	:	:
is	VBZ	be
it	PP	it
possible	JJ	possible
to	TO	to
build	VB	build
a	DT	a
system	NN	system
to	TO	to
go	VB	go
into	IN	into
the	DT	the
stratosphere	NN	stratosphere
?	SENT	?
And	CC	and
he	PP	he
said	VBD	say
it	PP	it
was	VBD	be
.	SENT	.
And	CC	and
after	IN	after
a	DT	a
period	NN	period
of	IN	of
about	RB	about
three	CD	three
years	NNS	year
,	,	,
we	PP	we
proceeded	VBD	proceed
to	TO	to
do	VB	do
just	RB	just
that	RB	that
.	SENT	.
And	CC	and
on	IN	on
October	NP	October
24	CD	@card@
of	IN	of
last	JJ	last
year	NN	year
,	,	,
in	IN	in
this	DT	this
suit	NN	suit
,	,	,
I	PP	I
started	VBD	start
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
I	PP	I
went	VBD	go
up	RP	up
in	IN	in
a	DT	a
balloon	NN	balloon
to	TO	to
135	CD	@card@
,	,	,
890	CD	@card@
feet	NNS	foot
—	:	-
but	CC	but
who	WP	who
'	POS	'
s	NN	S
counting	NN	counting
?	SENT	?
Came	VBD	come
back	RB	back
to	TO	to
Earth	NN	earth
at	IN	at
speeds	NNS	speed
of	IN	of
up	IN	up
to	TO	to
822	CD	@card@
miles	NNS	mile
an	DT	an
hour	NN	hour
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
four-minute	JJ	four-minute
and	CC	and
27-second	JJ	27-second
descent	NN	descent
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
got	VBD	get
to	TO	to
10	CD	@card@
,	,	,
000	CD	@card@
feet	NNS	foot
,	,	,
I	PP	I
opened	VBD	open
a	DT	a
parachute	NN	parachute
and	CC	and
I	PP	I
landed	VBD	land
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
really	RB	really
a	DT	a
science	NN	science
talk	NN	talk
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
really	RB	really
an	DT	an
engineering	NN	engineering
talk	NN	talk
,	,	,
and	CC	and
what	WP	what
was	VBD	be
amazing	JJ	amazing
to	TO	to
me	PP	me
about	IN	about
that	DT	that
experience	NN	experience
is	VBZ	be
that	IN	that
Taber	NP	Taber
said	VBD	say
,	,	,
yes	UH	yes
,	,	,
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
build	VB	build
a	DT	a
stratospheric	JJ	stratospheric
suit	NN	suit
,	,	,
and	CC	and
more	JJR	more
than	IN	than
that	DT	that
,	,	,
come	VB	come
down	RP	down
tomorrow	NN	tomorrow
and	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
talk	VBP	talk
to	TO	to
the	DT	the
team	NN	team
that	WDT	that
formed	VBD	form
the	DT	the
core	NN	core
of	IN	of
the	DT	the
group	NN	group
that	WDT	that
actually	RB	actually
built	VBD	build
it	PP	it
.	SENT	.
And	CC	and
they	PP	they
did	VBD	do
something	NN	something
which	WDT	which
I	PP	I
think	VBP	think
is	VBZ	be
important	JJ	important
,	,	,
which	WDT	which
is	VBZ	be
they	PP	they
took	VBD	take
the	DT	the
analogy	NN	analogy
of	IN	of
scuba	NN	scuba
diving	NN	diving
.	SENT	.
So	RB	so
in	IN	in
scuba	NN	scuba
diving	NN	diving
,	,	,
you	PP	you
have	VBP	have
a	DT	a
self-contained	JJ	self-contained
system	NN	system
.	SENT	.
You	PP	you
have	VBP	have
everything	NN	everything
that	IN	that
you	PP	you
could	MD	could
ever	RB	ever
need	VB	need
.	SENT	.
You	PP	you
have	VBP	have
a	DT	a
scuba	NN	scuba
tank	NN	tank
.	SENT	.
You	PP	you
have	VBP	have
a	DT	a
wetsuit	NN	<unknown>
.	SENT	.
You	PP	you
have	VBP	have
visibility	NN	visibility
.	SENT	.
And	CC	and
that	DT	that
scuba	NN	scuba
is	VBZ	be
exactly	RB	exactly
this	DT	this
system	NN	system
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
launch	VB	launch
it	PP	it
into	IN	into
the	DT	the
stratosphere	NN	stratosphere
.	SENT	.
Three	CD	three
years	NNS	year
later	RBR	later
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
have	VBP	have
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
an	DT	an
amazing	JJ	amazing
suit	NN	suit
that	WDT	that
was	VBD	be
made	VBN	make
by	IN	by
ILC	NP	ILC
Dover	NP	Dover
.	SENT	.
ILC	NP	ILC
Dover	NP	Dover
was	VBD	be
the	DT	the
company	NN	company
that	WDT	that
made	VBD	make
all	RB	all
of	IN	of
the	DT	the
Apollo	NP	Apollo
suits	NNS	suit
and	CC	and
all	DT	all
of	IN	of
the	DT	the
extravehicular	JJ	extravehicular
activity	NN	activity
suits	NNS	suit
.	SENT	.
They	PP	they
had	VBD	have
never	RB	never
sold	VBN	sell
a	DT	a
suit	NN	suit
commercially	RB	commercially
,	,	,
only	RB	only
to	TO	to
the	DT	the
government	NN	government
,	,	,
but	CC	but
they	PP	they
sold	VBD	sell
one	PP	one
to	TO	to
me	PP	me
,	,	,
which	WDT	which
I	PP	I
am	VBP	be
very	RB	very
grateful	JJ	grateful
for	IN	for
.	SENT	.
Up	RB	up
here	RB	here
we	PP	we
have	VBP	have
a	DT	a
parachute	NN	parachute
.	SENT	.
This	DT	this
was	VBD	be
all	RB	all
about	IN	about
safety	NN	safety
.	SENT	.
Everyone	NN	everyone
on	IN	on
the	DT	the
team	NN	team
knew	VBD	know
that	IN	that
I	PP	I
have	VBP	have
a	DT	a
wife	NN	wife
and	CC	and
two	CD	two
small	JJ	small
children	NNS	child
—	:	-
10	CD	@card@
and	CC	and
15	CD	@card@
—	:	-
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
come	VB	come
back	RB	back
safely	RB	safely
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
main	JJ	main
parachute	NN	parachute
and	CC	and
a	DT	a
reserve	NN	reserve
parachute	NN	parachute
,	,	,
and	CC	and
if	IN	if
I	PP	I
do	VBP	do
nothing	NN	nothing
,	,	,
the	DT	the
reserve	NN	reserve
parachute	NN	parachute
is	VBZ	be
going	VBG	go
to	TO	to
open	VB	open
because	IN	because
of	IN	of
an	DT	an
automatic	JJ	automatic
opening	NN	opening
device	NN	device
.	SENT	.
The	DT	the
suit	NN	suit
itself	PP	itself
can	MD	can
protect	VB	protect
me	PP	me
from	IN	from
the	DT	the
cold	NN	cold
.	SENT	.
This	DT	this
area	NN	area
in	IN	in
the	DT	the
front	NN	front
here	RB	here
has	VBZ	have
thermal	JJ	thermal
protection	NN	protection
.	SENT	.
It	PP	it
will	MD	will
actually	RB	actually
heat	VB	heat
water	NN	water
that	WDT	that
will	MD	will
wrap	VB	wrap
around	RP	around
my	PP$	my
body	NN	body
.	SENT	.
It	PP	it
has	VBZ	have
two	CD	two
redundant	JJ	redundant
oxygen	NN	oxygen
tanks	NNS	tank
.	SENT	.
Even	RB	even
if	IN	if
I	PP	I
was	VBD	be
to	TO	to
get	VB	get
a	DT	a
quarter-inch	JJ	quarter-inch
hole	NN	hole
in	IN	in
this	DT	this
suit	NN	suit
,	,	,
which	WDT	which
is	VBZ	be
extremely	RB	extremely
unlikely	JJ	unlikely
,	,	,
this	DT	this
system	NN	system
would	MD	would
still	RB	still
protect	VB	protect
me	PP	me
from	IN	from
the	DT	the
low	JJ	low
pressure	NN	pressure
of	IN	of
space	NN	space
.	SENT	.
The	DT	the
main	JJ	main
advantage	NN	advantage
of	IN	of
this	DT	this
system	NN	system
is	VBZ	be
weight	NN	weight
and	CC	and
complexity	NN	complexity
.	SENT	.
So	IN	so
the	DT	the
system	NN	system
weighs	VBZ	weigh
about	RB	about
500	CD	@card@
pounds	NNS	pound
,	,	,
and	CC	and
if	IN	if
you	PP	you
compare	VBP	compare
it	PP	it
to	TO	to
the	DT	the
other	JJ	other
attempt	NN	attempt
recently	RB	recently
to	TO	to
go	VB	go
up	RP	up
in	IN	in
the	DT	the
stratosphere	NN	stratosphere
,	,	,
they	PP	they
used	VBD	use
a	DT	a
capsule	NN	capsule
.	SENT	.
And	CC	and
to	TO	to
do	VB	do
a	DT	a
capsule	NN	capsule
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
amazing	JJ	amazing
amount	NN	amount
of	IN	of
complexity	NN	complexity
that	WDT	that
goes	VBZ	go
into	IN	into
it	PP	it
,	,	,
and	CC	and
it	PP	it
weighed	VBD	weigh
about	IN	about
3	CD	@card@
,	,	,
000	CD	@card@
pounds	NNS	pound
,	,	,
and	CC	and
to	TO	to
raise	VB	raise
3	CD	@card@
,	,	,
000	CD	@card@
pounds	NNS	pound
to	TO	to
an	DT	an
altitude	NN	altitude
of	IN	of
135	CD	@card@
,	,	,
000	CD	@card@
feet	NNS	foot
,	,	,
which	WDT	which
was	VBD	be
my	PP$	my
target	NN	target
altitude	NN	altitude
,	,	,
it	PP	it
would	MD	would
have	VB	have
taken	VBN	take
a	DT	a
balloon	NN	balloon
that	WDT	that
was	VBD	be
45	CD	@card@
to	TO	to
50	CD	@card@
million	CD	million
cubic	JJ	cubic
feet	NNS	foot
.	SENT	.
Because	IN	because
I	PP	I
only	RB	only
weighed	VBD	weigh
500	CD	@card@
pounds	NNS	pound
in	IN	in
this	DT	this
system	NN	system
,	,	,
we	PP	we
could	MD	could
do	VB	do
it	PP	it
with	IN	with
a	DT	a
balloon	NN	balloon
that	WDT	that
was	VBD	be
five	CD	five
times	NNS	time
smaller	JJR	small
than	IN	than
that	DT	that
,	,	,
and	CC	and
that	IN	that
allowed	VBN	allow
us	PP	us
to	TO	to
use	VB	use
a	DT	a
launch	NN	launch
system	NN	system
that	WDT	that
was	VBD	be
dramatically	RB	dramatically
simpler	JJR	simple
than	IN	than
what	WP	what
needs	VBZ	need
to	TO	to
be	VB	be
done	VBN	do
for	IN	for
a	DT	a
much	RB	much
larger	JJR	large
balloon	NN	balloon
.	SENT	.
So	RB	so
with	IN	with
that	DT	that
,	,	,
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
you	PP	you
to	TO	to
Roswell	NP	Roswell
,	,	,
New	NP	New
Mexico	NP	Mexico
,	,	,
on	IN	on
October	NP	October
24	CD	@card@
.	SENT	.
We	PP	we
had	VBD	have
an	DT	an
amazing	JJ	amazing
team	NN	team
that	WDT	that
got	VBD	get
up	RP	up
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
night	NN	night
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
suit	NN	suit
.	SENT	.
Again	RB	again
,	,	,
this	DT	this
is	VBZ	be
using	VBG	use
the	DT	the
front	JJ	front
loader	NN	loader
that	IN	that
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
in	IN	in
a	DT	a
second	JJ	second
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
play	VB	play
you	PP	you
a	DT	a
video	NN	video
of	IN	of
the	DT	the
actual	JJ	actual
launch	NN	launch
.	SENT	.
Roswell	NP	Roswell
'	POS	'
s	NN	S
a	DT	a
great	JJ	great
place	NN	place
to	TO	to
launch	VB	launch
balloons	NNS	balloon
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
a	DT	a
fantastic	JJ	fantastic
place	NN	place
to	TO	to
land	VB	land
under	IN	under
a	DT	a
parachute	NN	parachute
,	,	,
especially	RB	especially
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
land	VB	land
70	CD	@card@
miles	NNS	mile
away	RB	away
from	IN	from
the	DT	the
place	NN	place
you	PP	you
started	VBD	start
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
helium	NN	helium
truck	NN	truck
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
darkness	NN	darkness
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
already	RB	already
spent	VBD	spend
about	IN	about
an	DT	an
hour	NN	hour
and	CC	and
a	DT	a
half	JJ	half
pre-breathing	NN	pre-breathing
.	SENT	.
And	CC	and
then	RB	then
here	RB	here
you	PP	you
see	VBP	see
the	DT	the
suit	NN	suit
going	VBG	go
on	IN	on
.	SENT	.
It	PP	it
takes	VBZ	take
about	IN	about
an	DT	an
hour	NN	hour
to	TO	to
get	VB	get
the	DT	the
suit	NN	suit
on	RB	on
.	SENT	.
Astronauts	NNS	astronaut
get	VBP	get
this	DT	this
really	RB	really
nice	JJ	nice
air-conditioned	JJ	air-conditioned
van	NN	van
to	TO	to
go	VB	go
to	TO	to
the	DT	the
launch	NN	launch
pad	NN	pad
,	,	,
but	CC	but
I	PP	I
got	VBD	get
a	DT	a
front	JJ	front
loader	NN	loader
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
the	DT	the
top	NN	top
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
the	DT	the
balloon	NN	balloon
up	RB	up
there	RB	there
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
helium	NN	helium
is	VBZ	be
.	SENT	.
This	DT	this
is	VBZ	be
Dave	JJ	Dave
clearing	VBG	clear
the	DT	the
airspace	NN	airspace
with	IN	with
the	DT	the
FAA	NP	FAA
for	IN	for
15	CD	@card@
miles	NNS	mile
.	SENT	.
And	CC	and
there	EX	there
we	PP	we
go	VBP	go
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
me	PP	me
waving	VBG	wave
with	IN	with
my	PP$	my
left	JJ	left
hand	NN	hand
.	SENT	.
The	DT	the
reason	NN	reason
I	PP	I
'	POS	'
m	NN	m
waving	VBG	wave
with	IN	with
my	PP$	my
left	JJ	left
hand	NN	hand
is	VBZ	be
because	IN	because
on	IN	on
the	DT	the
right	JJ	right
hand	NN	hand
is	VBZ	be
the	DT	the
emergency	NN	emergency
cutaway	NN	cutaway
.	SENT	.
My	PP$	my
team	NN	team
forbade	VBD	forbid
me	PP	me
from	IN	from
using	VBG	use
my	PP$	my
right	JJ	right
hand	NN	hand
.	SENT	.
So	IN	so
the	DT	the
trip	NN	trip
up	RB	up
is	VBZ	be
beautiful	JJ	beautiful
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
like	IN	like
Google	NP	<unknown>
Earth	NP	Earth
in	IN	in
reverse	NN	reverse
.	SENT	.
It	PP	it
took	VBD	take
two	CD	two
hours	NNS	hour
and	CC	and
seven	CD	seven
minutes	NNS	minute
to	TO	to
go	VB	go
up	RP	up
,	,	,
and	CC	and
it	PP	it
was	VBD	be
the	DT	the
most	RBS	most
peaceful	JJ	peaceful
two	CD	two
hours	NNS	hour
and	CC	and
seven	CD	seven
minutes	NNS	minute
.	SENT	.
I	PP	I
was	VBD	be
mostly	RB	mostly
trying	VBG	try
to	TO	to
relax	VB	relax
.	SENT	.
My	PP$	my
heart	NN	heart
rate	NN	rate
was	VBD	be
very	RB	very
low	JJ	low
and	CC	and
I	PP	I
was	VBD	be
trying	VBG	try
not	RB	not
to	TO	to
use	VB	use
very	RB	very
much	JJ	much
oxygen	NN	oxygen
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
how	WRB	how
the	DT	the
fields	NNS	field
in	IN	in
the	DT	the
background	NN	background
are	VBP	be
relatively	RB	relatively
big	JJ	big
at	IN	at
this	DT	this
point	NN	point
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
me	PP	me
going	VBG	go
up	RP	up
and	CC	and
up	RP	up
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
here	RB	here
,	,	,
because	IN	because
if	IN	if
you	PP	you
look	VBP	look
,	,	,
I	PP	I
'	POS	'
m	NN	m
right	NN	right
over	IN	over
the	DT	the
airport	NN	airport
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
probably	RB	probably
at	IN	at
50	CD	@card@
,	,	,
000	CD	@card@
feet	NNS	foot
,	,	,
but	CC	but
immediately	RB	immediately
I	NP	I
'	POS	'
m	NN	m
about	RB	about
to	TO	to
go	VB	go
into	IN	into
a	DT	a
stratospheric	JJ	stratospheric
wind	NN	wind
of	IN	of
over	RB	over
120	CD	@card@
miles	NNS	mile
an	DT	an
hour	NN	hour
.	SENT	.
This	DT	this
is	VBZ	be
my	PP$	my
flight	NN	flight
director	NN	director
telling	VBG	tell
me	PP	me
that	IN	that
I	PP	I
had	VBD	have
just	RB	just
gone	VBN	go
higher	JJR	high
than	IN	than
anybody	NN	anybody
else	RB	else
had	VBD	have
ever	RB	ever
gone	VBN	go
in	IN	in
a	DT	a
balloon	NN	balloon
,	,	,
and	CC	and
I	PP	I
was	VBD	be
about	RB	about
4	CD	@card@
,	,	,
000	CD	@card@
feet	NNS	foot
from	IN	from
release	NN	release
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
it	PP	it
looks	VBZ	look
like	IN	like
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
the	DT	the
darkness	NN	darkness
of	IN	of
space	NN	space
,	,	,
the	DT	the
curvature	NN	curvature
of	IN	of
the	DT	the
Earth	NP	Earth
,	,	,
the	DT	the
fragile	JJ	fragile
planet	NN	planet
below	RB	below
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
practicing	VBG	practice
my	PP$	my
emergency	NN	emergency
procedures	NNS	procedure
mentally	RB	mentally
right	RB	right
now	RB	now
.	SENT	.
If	IN	if
anything	NN	anything
goes	VBZ	go
wrong	JJ	wrong
,	,	,
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
ready	JJ	ready
.	SENT	.
And	CC	and
the	DT	the
main	JJ	main
thing	NN	thing
that	IN	that
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
here	RB	here
is	VBZ	be
to	TO	to
have	VB	have
a	DT	a
release	NN	release
and	CC	and
fall	VB	fall
and	CC	and
stay	VB	stay
completely	RB	completely
stable	JJ	stable
.	SENT	.
Ground	NN	ground
control	NN	control
.	SENT	.
Everyone	NN	everyone
ready	JJ	ready
?	SENT	?
Five	CD	five
.	SENT	.
Four	CD	four
.	SENT	.
Three	CD	three
.	SENT	.
Two	CD	two
.	SENT	.
One	CD	one
.	SENT	.
Alan	NP	Alan
Eustace	NP	Eustace
:	:	:
There	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
balloon	NN	balloon
going	VBG	go
by	IN	by
,	,	,
fully	RB	fully
inflated	VBN	inflate
at	IN	at
this	DT	this
point	NN	point
.	SENT	.
And	CC	and
there	EX	there
you	PP	you
can	MD	can
see	VB	see
a	DT	a
drogue	NN	drogue
parachute	NN	parachute
,	,	,
which	WDT	which
I	PP	I
'	POS	'
ll	NNS	<unknown>
demonstrate	VBP	demonstrate
in	IN	in
just	RB	just
a	DT	a
second	JJ	second
,	,	,
because	IN	because
that	WDT	that
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
balloon	NN	balloon
going	VBG	go
by	IN	by
a	DT	a
second	JJ	second
time	NN	time
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
about	RB	about
at	IN	at
the	DT	the
speed	NN	speed
of	IN	of
sound	NN	sound
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
nothing	NN	nothing
for	IN	for
me	PP	me
to	TO	to
tell	VB	tell
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
speed	NN	speed
of	IN	of
sound	NN	sound
,	,	,
and	CC	and
very	RB	very
soon	RB	soon
I	PP	I
will	MD	will
actually	RB	actually
be	VB	be
as	RB	as
fast	JJ	fast
as	IN	as
I	PP	I
ever	RB	ever
get	VBP	get
,	,	,
822	CD	@card@
miles	NNS	mile
an	DT	an
hour	NN	hour
.	SENT	.
Ground	NN	ground
control	NN	control
:	:	:
We	PP	we
lost	VBD	lose
the	DT	the
data	NNS	datum
.	SENT	.
AE	NP	AE
:	:	:
So	RB	so
now	RB	now
I	NP	I
'	POS	'
m	NN	m
down	RB	down
low	JJ	low
right	NN	right
now	RB	now
and	CC	and
you	PP	you
can	MD	can
basically	RB	basically
see	VB	see
the	DT	the
parachute	NN	parachute
come	VBN	come
out	RP	out
right	RB	right
there	RB	there
.	SENT	.
At	IN	at
this	DT	this
point	NN	point
,	,	,
I	PP	I
'	POS	'
m	NN	m
very	RB	very
happy	JJ	happy
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
parachute	NN	parachute
out	RP	out
.	SENT	.
I	PP	I
thought	VBD	think
I	PP	I
was	VBD	be
the	DT	the
only	JJ	only
one	CD	one
happy	JJ	happy
,	,	,
but	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
mission	NN	mission
control	NN	control
was	VBD	be
really	RB	really
happy	JJ	happy
as	IN	as
well	RB	well
.	SENT	.
The	DT	the
really	RB	really
nice	JJ	nice
thing	NN	thing
about	IN	about
this	DT	this
is	VBZ	be
the	DT	the
moment	NN	moment
I	PP	I
opened	VBD	open
—	:	-
I	PP	I
had	VBD	have
a	DT	a
close	NN	close
of	IN	of
friend	NN	friend
of	IN	of
mine	NN	mine
,	,	,
Blikkies	NP	<unknown>
,	,	,
my	PP$	my
parachute	NN	parachute
guy	NN	guy
.	SENT	.
He	PP	he
flew	VBD	fly
in	IN	in
another	DT	another
airplane	NN	airplane
,	,	,
and	CC	and
he	PP	he
actually	RB	actually
jumped	VBD	jump
out	RP	out
and	CC	and
landed	VBD	land
right	RB	right
next	JJ	next
to	TO	to
me	PP	me
.	SENT	.
He	PP	he
was	VBD	be
my	PP$	my
wingman	NN	<unknown>
on	IN	on
the	DT	the
descent	NN	descent
.	SENT	.
This	DT	this
is	VBZ	be
