Have	VBP	have
sea	NN	sea
,	,	,
and	CC	and
here	RB	here
we	PP	we
are	VBP	be
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
still	RB	still
true	JJ	true
that	IN	that
a	DT	a
neuron	NN	neuron
,	,	,
a	DT	a
nerve	NN	nerve
cell	NN	cell
,	,	,
looks	VBZ	look
the	DT	the
same	JJ	same
in	IN	in
a	DT	a
crayfish	NN	crayfish
,	,	,
a	DT	a
bird	NN	bird
or	CC	or
you	PP	you
.	SENT	.
What	WP	what
does	VBZ	do
that	WDT	that
say	VBP	say
about	IN	about
the	DT	the
minds	NNS	mind
of	IN	of
crayfish	NN	crayfish
?	SENT	?
Can	MD	can
we	PP	we
tell	VB	tell
anything	NN	anything
about	IN	about
that	DT	that
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
if	IN	if
you	PP	you
give	VBP	give
a	DT	a
crayfish	NN	crayfish
a	DT	a
lot	NN	lot
of	IN	of
little	JJ	little
tiny	JJ	tiny
electric	JJ	electric
shocks	NNS	shock
every	DT	every
time	NN	time
it	PP	it
tries	VBZ	try
to	TO	to
come	VB	come
out	RP	out
of	IN	of
its	PP$	its
burrow	NN	burrow
,	,	,
it	PP	it
will	MD	will
develop	VB	develop
anxiety	NN	anxiety
.	SENT	.
If	IN	if
you	PP	you
give	VBP	give
the	DT	the
crayfish	NN	crayfish
the	DT	the
same	JJ	same
drug	NN	drug
used	VBN	use
to	TO	to
treat	VB	treat
anxiety	NN	anxiety
disorder	NN	disorder
in	IN	in
humans	NNS	human
,	,	,
it	PP	it
relaxes	VBZ	relax
and	CC	and
comes	VBZ	come
out	RB	out
and	CC	and
explores	VBZ	explore
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
show	VBP	show
how	WRB	how
much	JJ	much
we	PP	we
care	VBP	care
about	IN	about
crayfish	NN	crayfish
anxiety	NN	anxiety
?	SENT	?
Mostly	RB	mostly
,	,	,
we	PP	we
boil	VBP	boil
them	PP	them
.	SENT	.
Octopuses	NNS	octopus
use	VBP	use
tools	NNS	tool
,	,	,
as	RB	as
well	RB	well
as	RB	as
do	VBP	do
most	JJS	most
apes	NNS	ape
and	CC	and
they	PP	they
recognize	VBP	recognize
human	JJ	human
faces	NNS	face
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
celebrate	VB	celebrate
the	DT	the
ape-like	JJ	<unknown>
intelligence	NN	intelligence
of	IN	of
this	DT	this
invertebrate	NN	invertebrate
?	SENT	?
Mostly	RB	mostly
boiled	VBN	boil
.	SENT	.
If	IN	if
a	DT	a
grouper	NN	grouper
chases	VBZ	chase
a	DT	a
fish	NN	fish
into	IN	into
a	DT	a
crevice	NN	crevice
in	IN	in
the	DT	the
coral	NN	coral
,	,	,
it	PP	it
will	MD	will
sometimes	RB	sometimes
go	VB	go
to	TO	to
where	WRB	where
it	PP	it
knows	VBZ	know
a	DT	a
moray	NN	moray
eel	NN	eel
is	VBZ	be
sleeping	VBG	sleep
and	CC	and
it	PP	it
will	MD	will
signal	VB	signal
to	TO	to
the	DT	the
moray	NN	moray
,	,	,
"	``	"
Follow	VB	follow
me	PP	me
,	,	,
"	''	"
and	CC	and
the	DT	the
moray	NN	moray
will	MD	will
understand	VB	understand
that	DT	that
signal	NN	signal
.	SENT	.
The	DT	the
moray	NN	moray
may	MD	may
go	VB	go
into	IN	into
the	DT	the
crevice	NN	crevice
and	CC	and
get	VB	get
the	DT	the
fish	NN	fish
,	,	,
but	CC	but
the	DT	the
fish	NN	fish
may	MD	may
bolt	VB	bolt
and	CC	and
the	DT	the
grouper	NN	grouper
may	MD	may
get	VB	get
it	PP	it
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
ancient	JJ	ancient
partnership	NN	partnership
that	IN	that
we	PP	we
have	VBP	have
just	RB	just
recently	RB	recently
found	VBN	find
out	RP	out
about	RB	about
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
celebrate	VBP	celebrate
that	IN	that
ancient	JJ	ancient
partnership	NN	partnership
?	SENT	?
Mostly	RB	mostly
fried	VBN	fry
.	SENT	.
A	DT	a
pattern	NN	pattern
is	VBZ	be
emerging	VBG	emerge
and	CC	and
it	PP	it
says	VBZ	say
a	DT	a
lot	NN	lot
more	RBR	more
about	IN	about
us	PP	us
than	IN	than
it	PP	it
does	VBZ	do
about	IN	about
them	PP	them
.	SENT	.
Sea	NP	Sea
otters	NNS	otter
use	VBP	use
tools	NNS	tool
and	CC	and
they	PP	they
take	VBP	take
time	NN	time
away	RB	away
from	IN	from
what	WP	what
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
to	TO	to
show	VB	show
their	PP$	their
babies	NNS	baby
what	WP	what
to	TO	to
do	VB	do
,	,	,
which	WDT	which
is	VBZ	be
called	VBN	call
teaching	NN	teaching
.	SENT	.
Chimpanzees	NNS	chimpanzee
don	NN	don
'	POS	'
t	NN	t
teach	VB	teach
.	SENT	.
Killer	NN	killer
whales	NNS	whale
teach	VBP	teach
and	CC	and
killer	NN	killer
whales	NNS	whale
share	NN	share
food	NN	food
.	SENT	.
When	WRB	when
evolution	NN	evolution
makes	VBZ	make
something	NN	something
new	JJ	new
,	,	,
it	PP	it
uses	VBZ	use
the	DT	the
parts	NNS	part
it	PP	it
has	VBZ	have
in	IN	in
stock	NN	stock
,	,	,
off	IN	off
the	DT	the
shelf	NN	shelf
,	,	,
before	IN	before
it	PP	it
fabricates	VBZ	fabricate
a	DT	a
new	JJ	new
twist	NN	twist
.	SENT	.
And	CC	and
our	PP$	our
brain	NN	brain
has	VBZ	have
come	VBN	come
to	TO	to
us	PP	us
through	IN	through
the	DT	the
enormity	NN	enormity
of	IN	of
the	DT	the
deep	JJ	deep
sweep	NN	sweep
of	IN	of
time	NN	time
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
human	JJ	human
brain	NN	brain
compared	VBN	compare
to	TO	to
a	DT	a
chimpanzee	NN	chimpanzee
brain	NN	brain
,	,	,
what	WP	what
you	PP	you
see	VBP	see
is	VBZ	be
we	PP	we
have	VBP	have
basically	RB	basically
a	DT	a
very	RB	very
big	JJ	big
chimpanzee	NN	chimpanzee
brain	NN	brain
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
thing	NN	thing
ours	PP	ours
is	VBZ	be
bigger	JJR	big
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
also	RB	also
really	RB	really
insecure	JJ	insecure
.	SENT	.
But	CC	but
,	,	,
uh	UH	uh
oh	UH	oh
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
dolphin	NN	dolphin
,	,	,
a	DT	a
bigger	JJR	big
brain	NN	brain
with	IN	with
more	JJR	more
convolutions	NNS	convolution
.	SENT	.
OK	UH	OK
,	,	,
maybe	RB	maybe
you	PP	you
'	POS	'
re	NN	re
saying	NN	saying
,	,	,
all	DT	all
right	NN	right
,	,	,
well	RB	well
,	,	,
we	PP	we
see	VBP	see
brains	NNS	brain
,	,	,
but	CC	but
what	WP	what
does	VBZ	do
that	RB	that
have	VB	have
to	TO	to
say	VB	say
about	IN	about
minds	NNS	mind
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
can	MD	can
see	VB	see
the	DT	the
working	NN	working
of	IN	of
the	DT	the
mind	NN	mind
in	IN	in
the	DT	the
logic	NN	logic
of	IN	of
behaviors	NNS	behavior
.	SENT	.
So	IN	so
these	DT	these
elephants	NNS	elephant
,	,	,
you	PP	you
can	MD	can
see	VB	see
,	,	,
obviously	RB	obviously
,	,	,
they	PP	they
are	VBP	be
resting	VBG	rest
.	SENT	.
They	PP	they
have	VBP	have
found	VBN	find
a	DT	a
patch	NN	patch
of	IN	of
shade	NN	shade
under	IN	under
the	DT	the
palm	NN	palm
trees	NNS	tree
under	IN	under
which	WDT	which
to	TO	to
let	VB	let
their	PP$	their
babies	NNS	baby
sleep	VBP	sleep
,	,	,
while	IN	while
they	PP	they
doze	VBP	doze
but	CC	but
remain	VBP	remain
vigilant	JJ	vigilant
.	SENT	.
We	PP	we
make	VBP	make
perfect	JJ	perfect
sense	NN	sense
of	IN	of
that	DT	that
image	NN	image
just	RB	just
as	IN	as
they	PP	they
make	VBP	make
perfect	JJ	perfect
sense	NN	sense
of	IN	of
what	WP	what
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
because	IN	because
under	IN	under
the	DT	the
arc	NN	arc
of	IN	of
the	DT	the
same	JJ	same
sun	NN	sun
on	IN	on
the	DT	the
same	JJ	same
plains	NNS	plain
,	,	,
listening	VBG	listen
to	TO	to
the	DT	the
howls	NNS	howl
of	IN	of
the	DT	the
same	JJ	same
dangers	NNS	danger
,	,	,
they	PP	they
became	VBD	become
who	WP	who
they	PP	they
are	VBP	be
and	CC	and
we	PP	we
became	VBD	become
who	WP	who
we	PP	we
are	VBP	be
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
neighbors	NNS	neighbor
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
.	SENT	.
No	DT	no
one	CD	one
would	MD	would
mistake	VB	mistake
these	DT	these
elephants	NNS	elephant
as	IN	as
being	VBG	be
relaxed	VBN	relax
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
obviously	RB	obviously
very	RB	very
concerned	VBN	concern
about	IN	about
something	NN	something
.	SENT	.
What	WP	what
are	VBP	be
they	PP	they
concerned	VBN	concern
about	RB	about
?	SENT	?
It	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
if	IN	if
you	PP	you
record	VB	record
the	DT	the
voices	NNS	voice
of	IN	of
tourists	NNS	tourist
and	CC	and
you	PP	you
play	VBP	play
that	IN	that
recording	VBG	record
from	IN	from
a	DT	a
speaker	NN	speaker
hidden	VBN	hide
in	IN	in
bushes	NNS	bush
,	,	,
elephants	NNS	elephant
will	MD	will
ignore	VB	ignore
it	PP	it
,	,	,
because	IN	because
tourists	NNS	tourist
never	RB	never
bother	VBP	bother
elephants	NNS	elephant
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
record	VB	record
the	DT	the
voices	NNS	voice
of	IN	of
herders	NNS	herder
who	WP	who
carry	VBP	carry
spears	NNS	spear
and	CC	and
often	RB	often
hurt	VBN	hurt
elephants	NNS	elephant
in	IN	in
confrontations	NNS	confrontation
at	IN	at
water	NN	water
holes	NNS	hole
,	,	,
the	DT	the
elephants	NNS	elephant
will	MD	will
bunch	VB	bunch
up	RP	up
and	CC	and
run	VB	run
away	RP	away
from	IN	from
the	DT	the
hidden	JJ	hidden
speaker	NN	speaker
.	SENT	.
Not	RB	not
only	RB	only
do	VBP	do
elephants	NNS	elephant
know	VBP	know
that	IN	that
there	EX	there
are	VBP	be
humans	NNS	human
,	,	,
they	PP	they
know	VBP	know
that	IN	that
there	EX	there
are	VBP	be
different	JJ	different
kinds	NNS	kind
of	IN	of
humans	NNS	human
,	,	,
and	CC	and
that	IN	that
some	DT	some
are	VBP	be
OK	JJ	OK
and	CC	and
some	DT	some
are	VBP	be
dangerous	JJ	dangerous
.	SENT	.
They	PP	they
have	VBP	have
been	VBN	be
watching	VBG	watch
us	PP	us
for	IN	for
much	RB	much
longer	JJR	long
than	IN	than
we	PP	we
have	VBP	have
been	VBN	be
watching	VBG	watch
them	PP	them
.	SENT	.
They	PP	they
know	VBP	know
us	PP	us
better	JJR	good
than	IN	than
we	PP	we
know	VBP	know
them	PP	them
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
same	JJ	same
imperatives	NNS	imperative
:	:	:
take	VB	take
care	NN	care
of	IN	of
our	PP$	our
babies	NNS	baby
,	,	,
find	VB	find
food	NN	food
,	,	,
try	VBP	try
to	TO	to
stay	VB	stay
alive	JJ	alive
.	SENT	.
Whether	IN	whether
we	PP	we
'	POS	'
re	NN	re
outfitted	VBD	outfit
for	IN	for
hiking	VBG	hike
in	IN	in
the	DT	the
hills	NNS	hill
of	IN	of
Africa	NP	Africa
or	CC	or
outfitted	VBN	outfit
for	IN	for
diving	VBG	dive
under	IN	under
the	DT	the
sea	NN	sea
,	,	,
we	PP	we
are	VBP	be
basically	RB	basically
the	DT	the
same	JJ	same
.	SENT	.
We	PP	we
are	VBP	be
kin	JJ	kin
under	IN	under
the	DT	the
skin	NN	skin
.	SENT	.
The	DT	the
elephant	NN	elephant
has	VBZ	have
the	DT	the
same	JJ	same
skeleton	NN	skeleton
,	,	,
the	DT	the
killer	NN	killer
whale	NN	whale
has	VBZ	have
the	DT	the
same	JJ	same
skeleton	NN	skeleton
,	,	,
as	RB	as
do	VBP	do
we	PP	we
.	SENT	.
We	PP	we
see	VBP	see
helping	VBG	help
where	WRB	where
help	NN	help
is	VBZ	be
needed	VBN	need
.	SENT	.
We	PP	we
see	VBP	see
curiosity	NN	curiosity
in	IN	in
the	DT	the
young	JJ	young
.	SENT	.
We	PP	we
see	VBP	see
the	DT	the
bonds	NNS	bond
of	IN	of
family	NN	family
connections	NNS	connection
.	SENT	.
We	PP	we
recognize	VBP	recognize
affection	NN	affection
.	SENT	.
Courtship	NN	courtship
is	VBZ	be
courtship	NN	courtship
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
ask	VBP	ask
,	,	,
"	``	"
Are	VBP	be
they	PP	they
conscious	JJ	conscious
?	SENT	?
"	``	"
When	WRB	when
you	PP	you
get	VBP	get
general	JJ	general
anesthesia	NN	anesthesia
,	,	,
it	PP	it
makes	VBZ	make
you	PP	you
unconscious	NN	unconscious
,	,	,
which	WDT	which
means	VBZ	mean
you	PP	you
have	VB	have
no	DT	no
sensation	NN	sensation
of	IN	of
anything	NN	anything
.	SENT	.
Consciousness	NN	consciousness
is	VBZ	be
simply	RB	simply
the	DT	the
thing	NN	thing
that	WDT	that
feels	VBZ	feel
like	IN	like
something	NN	something
.	SENT	.
If	IN	if
you	PP	you
see	VBP	see
,	,	,
if	IN	if
you	PP	you
hear	VBP	hear
,	,	,
if	IN	if
you	PP	you
feel	VBP	feel
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
aware	JJ	aware
of	IN	of
anything	NN	anything
,	,	,
you	PP	you
are	VBP	be
conscious	JJ	conscious
,	,	,
and	CC	and
they	PP	they
are	VBP	be
conscious	JJ	conscious
.	SENT	.
Some	DT	some
people	NNS	people
say	VBP	say
well	RB	well
,	,	,
there	EX	there
are	VBP	be
certain	JJ	certain
things	NNS	thing
that	WDT	that
make	VBP	make
humans	NNS	human
humans	NNS	human
,	,	,
and	CC	and
one	CD	one
of	IN	of
those	DT	those
things	NNS	thing
is	VBZ	be
empathy	NN	empathy
.	SENT	.
Empathy	NN	empathy
is	VBZ	be
the	DT	the
mind	NN	mind
'	POS	'
s	JJ	<unknown>
ability	NN	ability
to	TO	to
match	VB	match
moods	NNS	mood
with	IN	with
your	PP$	your
companions	NNS	companion
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
useful	JJ	useful
thing	NN	thing
.	SENT	.
If	IN	if
your	PP$	your
companions	NNS	companion
start	VBP	start
to	TO	to
move	VB	move
quickly	RB	quickly
,	,	,
you	PP	you
have	VBP	have
to	TO	to
feel	VB	feel
like	IN	like
you	PP	you
need	VBP	need
to	TO	to
hurry	VB	hurry
up	RP	up
.	SENT	.
We	PP	we
'	''	'
re	IN	re
all	DT	all
in	IN	in
a	DT	a
hurry	NN	hurry
now	RB	now
.	SENT	.
The	DT	the
oldest	JJS	old
form	NN	form
of	IN	of
empathy	NN	empathy
is	VBZ	be
contagious	JJ	contagious
fear	NN	fear
.	SENT	.
If	IN	if
your	PP$	your
companions	NNS	companion
suddenly	RB	suddenly
startle	VBP	startle
and	CC	and
fly	VBP	fly
away	RB	away
,	,	,
it	PP	it
does	VBZ	do
not	RB	not
work	VB	work
very	RB	very
well	RB	well
for	IN	for
you	PP	you
to	TO	to
say	VB	say
,	,	,
"	''	"
Jeez	NP	Jeez
,	,	,
I	PP	I
wonder	VBP	wonder
why	WRB	why
everybody	NN	everybody
just	RB	just
left	VBN	leave
.	SENT	.
"	``	"
Empathy	NN	empathy
is	VBZ	be
old	JJ	old
,	,	,
but	CC	but
empathy	NN	empathy
,	,	,
like	IN	like
everything	NN	everything
else	RB	else
in	IN	in
life	NN	life
,	,	,
comes	VBZ	come
on	IN	on
a	DT	a
sliding	VBG	slide
scale	NN	scale
and	CC	and
has	VBZ	have
its	PP$	its
elaboration	NN	elaboration
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	NNS	<unknown>
basic	JJ	basic
empathy	NN	empathy
:	:	:
you	PP	you
feel	VBP	feel
sad	JJ	sad
,	,	,
it	PP	it
makes	VBZ	make
me	PP	me
sad	JJ	sad
.	SENT	.
I	PP	I
see	VBP	see
you	PP	you
happy	JJ	happy
,	,	,
it	PP	it
makes	VBZ	make
me	PP	me
happy	JJ	happy
.	SENT	.
Then	RB	then
there	EX	there
'	''	'
s	NN	S
something	NN	something
that	IN	that
I	PP	I
call	VBP	call
sympathy	NN	sympathy
,	,	,
a	DT	a
little	RB	little
more	RBR	more
removed	VBN	remove
:	:	:
"	``	"
I	NP	I
'	POS	'
m	NN	m
sorry	JJ	sorry
to	TO	to
hear	VB	hear
that	IN	that
your	PP$	your
grandmother	NN	grandmother
has	VBZ	have
just	RB	just
passed	VBN	pass
away	RB	away
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
feel	VBP	feel
that	IN	that
same	JJ	same
grief	NN	grief
,	,	,
but	CC	but
I	PP	I
get	VBP	get
it	PP	it
;	:	;
I	PP	I
know	VBP	know
what	WP	what
you	PP	you
feel	VBP	feel
and	CC	and
it	PP	it
concerns	VBZ	concern
me	PP	me
.	SENT	.
"	''	"
And	CC	and
then	RB	then
if	IN	if
we	PP	we
'	POS	'
re	NN	re
motivated	VBN	motivate
to	TO	to
act	VB	act
on	IN	on
sympathy	NN	sympathy
,	,	,
I	PP	I
call	VBP	call
that	DT	that
compassion	NN	compassion
.	SENT	.
Far	RB	far
from	IN	from
being	VBG	be
the	DT	the
thing	NN	thing
that	WDT	that
makes	VBZ	make
us	PP	us
human	JJ	human
,	,	,
human	JJ	human
empathy	NN	empathy
is	VBZ	be
far	RB	far
from	IN	from
perfect	JJ	perfect
.	SENT	.
We	PP	we
round	VBP	round
up	RP	up
empathic	JJ	empathic
creatures	NNS	creature
,	,	,
we	PP	we
kill	VBP	kill
them	PP	them
and	CC	and
we	PP	we
eat	VBP	eat
them	PP	them
.	SENT	.
Now	RB	now
,	,	,
maybe	RB	maybe
you	PP	you
say	VB	say
OK	UH	OK
,	,	,
well	UH	well
,	,	,
those	DT	those
are	VBP	be
different	JJ	different
species	NNS	specie
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
just	JJ	just
predation	NN	predation
,	,	,
and	CC	and
humans	NNS	human
are	VBP	be
predators	NNS	predator
.	SENT	.
But	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
treat	VB	treat
our	PP$	our
own	JJ	own
kind	NN	kind
too	RB	too
well	RB	well
either	RB	either
.	SENT	.
People	NNS	people
who	WP	who
seem	VBP	seem
to	TO	to
know	VB	know
only	RB	only
one	CD	one
thing	NN	thing
about	IN	about
animal	NN	animal
behavior	NN	behavior
know	VBP	know
that	IN	that
you	PP	you
must	MD	must
never	RB	never
attribute	VB	attribute
human	JJ	human
thoughts	NNS	thought
and	CC	and
emotions	NNS	emotion
to	TO	to
other	JJ	other
species	NNS	specie
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
silly	NN	silly
,	,	,
because	IN	because
attributing	VBG	attribute
human	JJ	human
thoughts	NNS	thought
and	CC	and
emotions	NNS	emotion
to	TO	to
other	JJ	other
species	NNS	specie
is	VBZ	be
the	DT	the
best	RBS	well
first	JJ	first
guess	NN	guess
about	IN	about
what	WP	what
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
and	CC	and
how	WRB	how
they	PP	they
'	POS	'
re	NN	re
feeling	NN	feeling
,	,	,
because	IN	because
their	PP$	their
brains	NNS	brain
are	VBP	be
basically	RB	basically
the	DT	the
same	JJ	same
as	IN	as
ours	PP	ours
.	SENT	.
They	PP	they
have	VBP	have
the	DT	the
same	JJ	same
structures	NNS	structure
.	SENT	.
The	DT	the
same	JJ	same
hormones	NNS	hormone
that	WDT	that
create	VBP	create
mood	NN	mood
and	CC	and
motivation	NN	motivation
in	IN	in
us	PP	us
are	VBP	be
in	IN	in
those	DT	those
brains	NNS	brain
as	RB	as
well	RB	well
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
scientific	JJ	scientific
to	TO	to
say	VB	say
that	IN	that
they	PP	they
are	VBP	be
hungry	JJ	hungry
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
hunting	NN	hunting
and	CC	and
they	PP	they
'	POS	'
re	NN	re
tired	VBD	tire
when	WRB	when
their	PP$	their
tongues	NNS	tongue
are	VBP	be
hanging	VBG	hang
out	RP	out
,	,	,
and	CC	and
then	RB	then
say	VBP	say
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
playing	NN	playing
with	IN	with
their	PP$	their
children	NNS	child
and	CC	and
acting	VBG	act
joyful	JJ	joyful
and	CC	and
happy	JJ	happy
,	,	,
we	PP	we
have	VBP	have
no	DT	no
idea	NN	idea
if	IN	if
they	PP	they
can	MD	can
possibly	RB	possibly
be	VB	be
experiencing	VBG	experience
anything	NN	anything
.	SENT	.
That	DT	that
is	VBZ	be
not	RB	not
scientific	JJ	scientific
.	SENT	.
So	RB	so
OK	JJ	OK
,	,	,
so	RB	so
a	DT	a
reporter	NN	reporter
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	''	"
Maybe	RB	maybe
,	,	,
but	CC	but
how	WRB	how
do	VBP	do
you	PP	you
really	RB	really
know	VBP	know
that	IN	that
other	JJ	other
animals	NNS	animal
can	MD	can
think	VB	think
and	CC	and
feel	VB	feel
?	SENT	?
"	``	"
And	CC	and
I	PP	I
started	VBD	start
to	TO	to
rifle	VB	rifle
through	IN	through
all	PDT	all
the	DT	the
hundreds	NNS	hundred
of	IN	of
scientific	JJ	scientific
references	NNS	reference
that	IN	that
I	PP	I
put	VBD	put
in	IN	in
my	PP$	my
book	NN	book
and	CC	and
I	PP	I
realized	VBD	realize
that	IN	that
the	DT	the
answer	NN	answer
was	VBD	be
right	JJ	right
in	IN	in
the	DT	the
room	NN	room
with	IN	with
me	PP	me
.	SENT	.
When	WRB	when
my	PP$	my
dog	NN	dog
gets	VBZ	get
off	RP	off
the	DT	the
rug	NN	rug
and	CC	and
comes	VBZ	come
over	RP	over
to	TO	to
me	PP	me
—	:	-
not	RB	not
to	TO	to
the	DT	the
couch	NN	couch
,	,	,
to	TO	to
me	PP	me
—	:	-
and	CC	and
she	PP	she
rolls	VBZ	roll
over	RP	over
on	IN	on
her	PP$	her
back	NN	back
and	CC	and
exposes	VBZ	expose
her	PP$	her
belly	NN	belly
,	,	,
she	PP	she
has	VBZ	have
had	VBN	have
the	DT	the
thought	NN	thought
,	,	,
"	''	"
I	PP	I
would	MD	would
like	VB	like
my	PP$	my
belly	NN	belly
rubbed	VBD	rub
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
I	PP	I
can	MD	can
go	VB	go
over	RP	over
to	TO	to
Carl	NP	Carl
,	,	,
he	PP	he
will	MD	will
understand	VB	understand
what	WP	what
I	PP	I
'	POS	'
m	NN	m
asking	NN	asking
.	SENT	.
I	PP	I
know	VBP	know
I	PP	I
can	MD	can
trust	VB	trust
him	PP	him
because	IN	because
we	PP	we
'	POS	'
re	NN	re
family	NN	family
.	SENT	.
He	PP	he
'	POS	'
ll	NNS	<unknown>
get	VBP	get
the	DT	the
job	NN	job
done	VBN	do
,	,	,
and	CC	and
it	PP	it
