Now	RB	now
was	VBD	be
full	JJ	full
of	IN	of
blood	NN	blood
and	CC	and
tears	NNS	tear
were	VBD	be
running	VBG	run
down	RP	down
my	PP$	my
face	NN	face
.	SENT	.
And	CC	and
everybody	NN	everybody
escaped	VBD	escape
,	,	,
they	PP	they
just	RB	just
ran	VBD	run
away	RP	away
.	SENT	.
They	PP	they
could	MD	could
not	RB	not
confront	VB	confront
myself	PP	myself
,	,	,
with	IN	with
myself	PP	myself
as	IN	as
a	DT	a
normal	JJ	normal
human	NN	human
being	VBG	be
.	SENT	.
And	CC	and
then	RB	then
—	:	-
what	WP	what
happened	VBD	happen
is	VBZ	be
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
hotel	NN	hotel
,	,	,
it	PP	it
was	VBD	be
at	IN	at
two	CD	two
in	IN	in
the	DT	the
morning	NN	morning
.	SENT	.
And	CC	and
I	PP	I
looked	VBD	look
at	IN	at
myself	PP	myself
in	IN	in
the	DT	the
mirror	NN	mirror
,	,	,
and	CC	and
I	PP	I
had	VBD	have
a	DT	a
piece	NN	piece
of	IN	of
gray	JJ	gray
hair	NN	hair
.	SENT	.
Alright	RB	alright
—	:	-
please	UH	please
take	VB	take
off	RP	off
your	PP$	your
blindfolds	NNS	blindfold
.	SENT	.
Welcome	JJ	welcome
to	TO	to
the	DT	the
performance	NN	performance
world	NN	world
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
explain	VBP	explain
what	WP	what
the	DT	the
performance	NN	performance
is	VBZ	be
.	SENT	.
So	IN	so
many	JJ	many
artists	NNS	artist
,	,	,
so	RB	so
many	JJ	many
different	JJ	different
explanations	NNS	explanation
,	,	,
but	CC	but
my	PP$	my
explanation	NN	explanation
for	IN	for
performance	NN	performance
is	VBZ	be
very	RB	very
simple	JJ	simple
.	SENT	.
Performance	NN	performance
is	VBZ	be
a	DT	a
mental	JJ	mental
and	CC	and
physical	JJ	physical
construction	NN	construction
that	IN	that
the	DT	the
performer	NN	performer
makes	VBZ	make
in	IN	in
a	DT	a
specific	JJ	specific
time	NN	time
in	IN	in
a	DT	a
space	NN	space
in	IN	in
front	NN	front
of	IN	of
an	DT	an
audience	NN	audience
and	CC	and
then	RB	then
energy	NN	energy
dialogue	NN	dialogue
happens	VBZ	happen
.	SENT	.
The	DT	the
audience	NN	audience
and	CC	and
the	DT	the
performer	NN	performer
make	VB	make
the	DT	the
piece	NN	piece
together	RB	together
.	SENT	.
And	CC	and
the	DT	the
difference	NN	difference
between	IN	between
performance	NN	performance
and	CC	and
theater	NN	theater
is	VBZ	be
huge	JJ	huge
.	SENT	.
In	IN	in
the	DT	the
theater	NN	theater
,	,	,
the	DT	the
knife	NN	knife
is	VBZ	be
not	RB	not
a	DT	a
knife	NN	knife
and	CC	and
the	DT	the
blood	NN	blood
is	VBZ	be
just	RB	just
ketchup	NN	ketchup
.	SENT	.
In	IN	in
the	DT	the
performance	NN	performance
,	,	,
the	DT	the
blood	NN	blood
is	VBZ	be
the	DT	the
material	NN	material
,	,	,
and	CC	and
the	DT	the
razor	NN	razor
blade	NN	blade
or	CC	or
knife	NN	knife
is	VBZ	be
the	DT	the
tool	NN	tool
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	RB	all
about	IN	about
being	VBG	be
there	RB	there
in	IN	in
the	DT	the
real	JJ	real
time	NN	time
,	,	,
and	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
rehearse	VBP	rehearse
performance	NN	performance
,	,	,
because	IN	because
you	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
many	JJ	many
of	IN	of
these	DT	these
types	NNS	type
of	IN	of
things	NNS	thing
twice	RB	twice
—	:	-
ever	RB	ever
.	SENT	.
Which	WDT	which
is	VBZ	be
very	RB	very
important	JJ	important
,	,	,
the	DT	the
performance	NN	performance
is	VBZ	be
—	:	-
you	PP	you
know	VBP	know
,	,	,
all	DT	all
human	JJ	human
beings	NNS	being
are	VBP	be
always	RB	always
afraid	JJ	afraid
of	IN	of
very	RB	very
simple	JJ	simple
things	NNS	thing
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
afraid	JJ	afraid
of	IN	of
suffering	NN	suffering
,	,	,
we	PP	we
'	POS	'
re	NN	re
afraid	JJ	afraid
of	IN	of
pain	NN	pain
,	,	,
we	PP	we
'	POS	'
re	NN	re
afraid	JJ	afraid
of	IN	of
mortality	NN	mortality
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
—	:	-
I	PP	I
'	POS	'
m	NN	m
staging	VBG	stage
these	DT	these
kinds	NNS	kind
of	IN	of
fears	NNS	fear
in	IN	in
front	NN	front
of	IN	of
the	DT	the
audience	NN	audience
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
using	VBG	use
your	PP$	your
energy	NN	energy
,	,	,
and	CC	and
with	IN	with
this	DT	this
energy	NN	energy
I	PP	I
can	MD	can
go	VB	go
and	CC	and
push	VB	push
my	PP$	my
body	NN	body
as	RB	as
far	RB	far
as	IN	as
I	PP	I
can	MD	can
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
liberate	VBP	liberate
myself	PP	myself
from	IN	from
these	DT	these
fears	NNS	fear
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
your	PP$	your
mirror	NN	mirror
.	SENT	.
If	IN	if
I	PP	I
can	MD	can
do	VB	do
this	DT	this
for	IN	for
myself	PP	myself
,	,	,
you	PP	you
can	MD	can
do	VB	do
it	PP	it
for	IN	for
you	PP	you
.	SENT	.
After	IN	after
Belgrade	NP	Belgrade
,	,	,
where	WRB	where
I	PP	I
was	VBD	be
born	VBN	bear
,	,	,
I	PP	I
went	VBD	go
to	TO	to
Amsterdam	NP	Amsterdam
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
performances	NNS	performance
since	IN	since
the	DT	the
last	JJ	last
40	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
here	RB	here
I	PP	I
met	VBD	meet
Ulay	NP	<unknown>
,	,	,
and	CC	and
he	PP	he
was	VBD	be
the	DT	the
person	NN	person
I	PP	I
actually	RB	actually
fell	VBD	fall
in	IN	in
love	NN	love
with	IN	with
.	SENT	.
And	CC	and
we	PP	we
made	VBD	make
,	,	,
for	IN	for
12	CD	@card@
years	NNS	year
,	,	,
performances	NNS	performance
together	RB	together
.	SENT	.
You	PP	you
know	VBP	know
the	DT	the
knife	NN	knife
and	CC	and
the	DT	the
pistols	NNS	pistol
and	CC	and
the	DT	the
bullets	NNS	bullet
,	,	,
I	PP	I
exchange	VBP	exchange
into	IN	into
love	NN	love
and	CC	and
trust	NN	trust
.	SENT	.
So	RB	so
to	TO	to
do	VB	do
this	DT	this
kind	NN	kind
work	NN	work
you	PP	you
have	VBP	have
to	TO	to
trust	VB	trust
the	DT	the
person	NN	person
completely	RB	completely
because	IN	because
this	DT	this
arrow	NN	arrow
is	VBZ	be
pointing	VBG	point
to	TO	to
my	PP$	my
heart	NN	heart
.	SENT	.
So	RB	so
,	,	,
heart	NN	heart
beating	NN	beating
and	CC	and
adrenaline	NN	adrenaline
is	VBZ	be
rushing	VBG	rush
and	CC	and
so	RB	so
on	RB	on
,	,	,
is	VBZ	be
about	RB	about
trust	NN	trust
,	,	,
is	VBZ	be
about	RB	about
total	JJ	total
trust	NN	trust
to	TO	to
another	DT	another
human	NN	human
being	VBG	be
.	SENT	.
Our	PP$	our
relationship	NN	relationship
was	VBD	be
12	CD	@card@
years	NNS	year
,	,	,
and	CC	and
we	PP	we
worked	VBD	work
on	IN	on
so	RB	so
many	JJ	many
subjects	NNS	subject
,	,	,
both	CC	both
male	JJ	male
and	CC	and
female	JJ	female
energy	NN	energy
.	SENT	.
And	CC	and
as	IN	as
every	DT	every
relationship	NN	relationship
comes	VBZ	come
to	TO	to
an	DT	an
end	NN	end
,	,	,
ours	PP	ours
went	VBD	go
too	RB	too
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
make	VB	make
phone	NN	phone
calls	NNS	call
like	IN	like
normal	JJ	normal
human	JJ	human
beings	NNS	being
do	VBP	do
and	CC	and
say	VBP	say
,	,	,
you	PP	you
know	VBP	know
,	,	,
"	``	"
This	DT	this
is	VBZ	be
over	RB	over
.	SENT	.
"	''	"
We	PP	we
walked	VBD	walk
the	DT	the
Great	NP	Great
Wall	NP	Wall
of	IN	of
China	NP	China
to	TO	to
say	VB	say
goodbye	NN	goodbye
.	SENT	.
I	PP	I
started	VBD	start
at	IN	at
the	DT	the
Yellow	NP	Yellow
Sea	NP	Sea
,	,	,
and	CC	and
he	PP	he
started	VBD	start
from	IN	from
the	DT	the
Gobi	NP	Gobi
Desert	NP	Desert
.	SENT	.
We	PP	we
walked	VBD	walk
,	,	,
each	DT	each
of	IN	of
us	PP	us
,	,	,
three	CD	three
months	NNS	month
,	,	,
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
thousand	CD	thousand
kilometers	NNS	kilometer
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
mountains	NNS	mountain
,	,	,
it	PP	it
was	VBD	be
difficult	JJ	difficult
.	SENT	.
It	PP	it
was	VBD	be
climbing	VBG	climb
,	,	,
it	PP	it
was	VBD	be
ruins	NNS	ruin
.	SENT	.
It	PP	it
was	VBD	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
going	VBG	go
through	IN	through
the	DT	the
12	CD	@card@
Chinese	JJ	Chinese
provinces	NNS	province
,	,	,
this	DT	this
was	VBD	be
before	IN	before
China	NP	China
was	VBD	be
open	JJ	open
in	IN	in
'	''	'
87	CD	@card@
.	SENT	.
And	CC	and
we	PP	we
succeeded	VBD	succeed
to	TO	to
meet	VB	meet
in	IN	in
the	DT	the
middle	NN	middle
to	TO	to
say	VB	say
goodbye	NN	goodbye
.	SENT	.
And	CC	and
then	RB	then
our	PP$	our
relationship	NN	relationship
stopped	VBD	stop
.	SENT	.
And	CC	and
now	RB	now
,	,	,
it	PP	it
completely	RB	completely
changed	VBD	change
how	WRB	how
I	PP	I
see	VBP	see
the	DT	the
public	NN	public
.	SENT	.
And	CC	and
one	PP	one
very	RB	very
important	JJ	important
piece	NN	piece
I	PP	I
made	VBD	make
in	IN	in
those	DT	those
days	NNS	day
was	VBD	be
"	``	"
Balkan	JJ	Balkan
Baroque	NN	baroque
.	SENT	.
"	''	"
And	CC	and
this	DT	this
was	VBD	be
the	DT	the
time	NN	time
of	IN	of
the	DT	the
Balkan	NP	Balkan
Wars	NPS	Wars
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
create	VB	create
some	DT	some
very	RB	very
strong	JJ	strong
,	,	,
charismatic	JJ	charismatic
image	NN	image
,	,	,
something	NN	something
that	WDT	that
could	MD	could
serve	VB	serve
for	IN	for
any	DT	any
war	NN	war
at	IN	at
any	DT	any
time	NN	time
,	,	,
because	IN	because
the	DT	the
Balkan	JJ	Balkan
Wars	NNS	war
are	VBP	be
now	RB	now
finished	VBN	finish
,	,	,
but	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
always	RB	always
some	DT	some
war	NN	war
,	,	,
somewhere	RB	somewhere
.	SENT	.
So	RB	so
here	RB	here
I	PP	I
am	VBP	be
washing	VBG	wash
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
thousand	CD	thousand
dead	JJ	dead
,	,	,
big	JJ	big
,	,	,
bloody	JJ	bloody
cow	NN	cow
bones	NNS	bone
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
wash	VBP	wash
the	DT	the
blood	NN	blood
,	,	,
you	PP	you
never	RB	never
can	MD	can
wash	VB	wash
shame	NN	shame
off	IN	off
the	DT	the
wars	NNS	war
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
washing	VBG	wash
this	DT	this
six	CD	six
hours	NNS	hour
,	,	,
six	CD	six
days	NNS	day
,	,	,
and	CC	and
wars	NNS	war
are	VBP	be
coming	VBG	come
off	RP	off
these	DT	these
bones	NNS	bone
,	,	,
and	CC	and
becoming	VBG	become
possible	JJ	possible
—	:	-
an	DT	an
unbearable	JJ	unbearable
smell	NN	smell
.	SENT	.
But	CC	but
then	RB	then
something	NN	something
stays	NNS	stays
in	IN	in
the	DT	the
memory	NN	memory
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
the	DT	the
one	CD	one
who	WP	who
really	RB	really
changed	VBD	change
my	PP$	my
life	NN	life
,	,	,
and	CC	and
this	DT	this
was	VBD	be
the	DT	the
performance	NN	performance
in	IN	in
MoMa	NP	Moma
,	,	,
which	WDT	which
I	PP	I
just	RB	just
recently	RB	recently
made	VBN	make
.	SENT	.
This	DT	this
performance	NN	performance
—	:	-
when	WRB	when
I	PP	I
said	VBD	say
to	TO	to
the	DT	the
curator	NN	curator
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
just	RB	just
going	VBG	go
to	TO	to
sit	VB	sit
at	IN	at
the	DT	the
chair	NN	chair
,	,	,
and	CC	and
there	EX	there
will	MD	will
be	VB	be
an	DT	an
empty	JJ	empty
chair	NN	chair
at	IN	at
the	DT	the
front	NN	front
,	,	,
and	CC	and
anybody	NN	anybody
from	IN	from
the	DT	the
public	NN	public
can	MD	can
come	VB	come
and	CC	and
sit	VB	sit
as	RB	as
long	RB	long
as	IN	as
they	PP	they
want	VBP	want
.	SENT	.
"	''	"
The	DT	the
curator	NN	curator
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	''	"
That	DT	that
'	''	'
s	NNS	<unknown>
ridiculous	JJ	ridiculous
,	,	,
you	PP	you
know	VBP	know
,	,	,
this	DT	this
is	VBZ	be
New	NP	New
York	NP	York
,	,	,
this	DT	this
chair	NN	chair
will	MD	will
be	VB	be
empty	JJ	empty
,	,	,
nobody	NN	nobody
has	VBZ	have
time	NN	time
to	TO	to
sit	VB	sit
in	IN	in
front	NN	front
of	IN	of
you	PP	you
.	SENT	.
"	``	"
But	CC	but
I	PP	I
sit	VBP	sit
for	IN	for
three	CD	three
months	NNS	month
.	SENT	.
And	CC	and
I	PP	I
sit	VBP	sit
everyday	JJ	everyday
,	,	,
eight	CD	eight
hours	NNS	hour
—	:	-
the	DT	the
opening	NN	opening
of	IN	of
the	DT	the
museum	NN	museum
—	:	-
and	CC	and
10	CD	@card@
hours	NNS	hour
on	IN	on
Friday	NP	Friday
when	WRB	when
the	DT	the
museum	NN	museum
is	VBZ	be
open	JJ	open
10	CD	@card@
hours	NNS	hour
,	,	,
and	CC	and
I	PP	I
never	RB	never
move	VBP	move
.	SENT	.
And	CC	and
I	PP	I
removed	VBD	remove
the	DT	the
table	NN	table
and	CC	and
I	PP	I
'	POS	'
m	NN	m
still	RB	still
sitting	VBG	sit
,	,	,
and	CC	and
this	DT	this
changed	JJ	changed
everything	NN	everything
.	SENT	.
This	DT	this
performance	NN	performance
,	,	,
maybe	RB	maybe
10	CD	@card@
or	CC	or
15	CD	@card@
years	NNS	year
ago	RB	ago
—	:	-
nothing	NN	nothing
would	MD	would
have	VB	have
happened	VBN	happen
.	SENT	.
But	CC	but
the	DT	the
need	NN	need
of	IN	of
people	NNS	people
to	TO	to
actually	RB	actually
experience	VB	experience
something	NN	something
different	JJ	different
,	,	,
the	DT	the
public	NN	public
was	VBD	be
not	RB	not
anymore	RB	anymore
the	DT	the
group	NN	group
—	:	-
relation	NN	relation
was	VBD	be
one	CD	one
to	TO	to
one	CD	one
.	SENT	.
I	PP	I
was	VBD	be
watching	VBG	watch
these	DT	these
people	NNS	people
,	,	,
they	PP	they
would	MD	would
come	VB	come
and	CC	and
sit	VB	sit
in	IN	in
front	NN	front
of	IN	of
me	PP	me
,	,	,
but	CC	but
they	PP	they
would	MD	would
have	VB	have
to	TO	to
wait	VB	wait
for	IN	for
hours	NNS	hour
and	CC	and
hours	NNS	hour
and	CC	and
hours	NNS	hour
to	TO	to
get	VB	get
to	TO	to
this	DT	this
position	NN	position
,	,	,
and	CC	and
finally	RB	finally
,	,	,
they	PP	they
sit	VBP	sit
.	SENT	.
And	CC	and
what	WP	what
happened	VBD	happen
?	SENT	?
They	PP	they
are	VBP	be
observed	VBN	observe
by	IN	by
the	DT	the
other	JJ	other
people	NNS	people
,	,	,
they	PP	they
'	POS	'
re	NN	re
photographed	VBD	photograph
,	,	,
they	PP	they
'	POS	'
re	NN	re
filmed	VBD	film
by	IN	by
the	DT	the
camera	NN	camera
,	,	,
they	PP	they
'	POS	'
re	NN	re
observed	VBD	observe
by	IN	by
me	PP	me
and	CC	and
they	PP	they
have	VBP	have
nowhere	RB	nowhere
to	TO	to
escape	VB	escape
except	IN	except
in	IN	in
themselves	PP	themselves
.	SENT	.
And	CC	and
that	DT	that
makes	VBZ	make
a	DT	a
difference	NN	difference
.	SENT	.
There	EX	there
was	VBD	be
so	RB	so
much	JJ	much
pain	NN	pain
and	CC	and
loneliness	NN	loneliness
,	,	,
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
incredible	JJ	incredible
things	NNS	thing
when	WRB	when
you	PP	you
look	VBP	look
in	IN	in
somebody	NN	somebody
else	RB	else
'	POS	'
s	NN	S
eyes	NNS	eye
,	,	,
because	IN	because
in	IN	in
the	DT	the
gaze	NN	gaze
with	IN	with
that	DT	that
total	JJ	total
stranger	NN	stranger
,	,	,
that	WDT	that
you	PP	you
never	RB	never
even	RB	even
say	VBP	say
one	CD	one
word	NN	word
—	:	-
everything	NN	everything
happened	VBD	happen
.	SENT	.
And	CC	and
I	PP	I
understood	VBD	understand
when	WRB	when
I	PP	I
stood	VBD	stand
up	RP	up
from	IN	from
that	DT	that
chair	NN	chair
after	IN	after
three	CD	three
months	NNS	month
,	,	,
I	PP	I
am	VBP	be
not	RB	not
the	DT	the
same	JJ	same
anymore	RB	anymore
.	SENT	.
And	CC	and
I	PP	I
understood	VBD	understand
that	IN	that
I	PP	I
have	VBP	have
a	DT	a
very	RB	very
strong	JJ	strong
mission	NN	mission
,	,	,
that	WDT	that
I	PP	I
have	VBP	have
to	TO	to
communicate	VB	communicate
this	DT	this
experience	NN	experience
to	TO	to
everybody	NN	everybody
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
,	,	,
for	IN	for
me	PP	me
,	,	,
was	VBD	be
born	VBN	bear
the	DT	the
idea	NN	idea
to	TO	to
have	VB	have
an	DT	an
institute	NN	institute
of	IN	of
immaterial	JJ	immaterial
performing	VBG	perform
arts	NNS	art
.	SENT	.
Because	IN	because
thinking	VBG	think
about	IN	about
immateriality	NN	immateriality
,	,	,
performance	NN	performance
is	VBZ	be
time-	JJ	time-
based	VBN	base
art	NN	art
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
like	IN	like
a	DT	a
painting	NN	painting
.	SENT	.
You	PP	you
have	VBP	have
the	DT	the
painting	NN	painting
on	IN	on
the	DT	the
wall	NN	wall
,	,	,
the	DT	the
next	JJ	next
day	NN	day
it	PP	it
'	POS	'
s	NN	S
there	RB	there
.	SENT	.
Performance	NN	performance
,	,	,
if	IN	if
you	PP	you
are	VBP	be
missing	VBG	miss
it	PP	it
,	,	,
you	PP	you
only	RB	only
have	VBP	have
the	DT	the
memory	NN	memory
,	,	,
or	CC	or
the	DT	the
story	NN	story
of	IN	of
somebody	NN	somebody
else	RB	else
telling	VBG	tell
you	PP	you
,	,	,
but	CC	but
you	PP	you
actually	RB	actually
missed	VBD	miss
the	DT	the
whole	JJ	whole
thing	NN	thing
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
there	RB	there
.	SENT	.
And	CC	and
in	IN	in
my	PP$	my
point	NN	point
,	,	,
if	IN	if
you	PP	you
talk	VBP	talk
about	RB	about
immaterial	JJ	immaterial
art	NN	art
,	,	,
music	NN	music
is	VBZ	be
the	DT	the
highest	JJS	high
—	:	-
absolutely	RB	absolutely
highest	JJS	high
art	NN	art
of	IN	of
all	DT	all
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
immaterial	JJ	immaterial
.	SENT	.
And	CC	and
then	RB	then
after	IN	after
this	DT	this
is	VBZ	be
performance	NN	performance
,	,	,
and	CC	and
then	RB	then
everything	NN	everything
else	RB	else
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
subjective	JJ	subjective
way	NN	way
.	SENT	.
This	DT	this
institute	NN	institute
is	VBZ	be
going	VBG	go
to	TO	to
happen	VB	happen
in	IN	in
Hudson	NP	Hudson
,	,	,
upstate	JJ	upstate
New	NP	New
York	NP	York
,	,	,
and	CC	and
we	PP	we
are	VBP	be
trying	VBG	try
to	TO	to
build	VB	build
with	IN	with
Rem	NP	Rem
Koolhaas	NP	<unknown>
,	,	,
an	DT	an
idea	NN	idea
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
simple	JJ	simple
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
get	VB	get
experience	NN	experience
,	,	,
you	PP	you
have	VBP	have
to	TO	to
give	VB	give
me	PP	me
your	PP$	your
time	NN	time
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
sign	VB	sign
the	DT	the
contract	NN	contract
before	IN	before
you	PP	you
enter	VBP	enter
the	DT	the
building	NN	building
,	,	,
that	WDT	that
you	PP	you
will	MD	will
spend	VB	spend
there	RB	there
a	DT	a
full	JJ	full
six	CD	six
hours	NNS	hour
,	,	,
you	PP	you
have	VBP	have
to	TO	to
give	VB	give
me	PP	me
your	PP$	your
word	NN	word
of	IN	of
honor	NN	honor
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
something	NN	something
so	RB	so
old-fashioned	JJ	old-fashioned
,	,	,
but	CC	but
if	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
respect	VB	respect
your	PP$	your
own	JJ	own
word	NN	word
of	IN	of
honor	NN	honor
and	CC	and
you	PP	you
leave	VBP	leave
before	RB	before
—	:	-
that	WDT	that
'	POS	'
s	NNS	<unknown>
not	RB	not
my	PP$	my
problem	NN	problem
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
six	CD	six
hours	NNS	hour
,	,	,
the	DT	the
experience	NN	experience
.	SENT	.
And	CC	and
then	RB	then
after	IN	after
you	PP	you
finish	VBP	finish
,	,	,
you	PP	you
