Yogi	NP	Yogi
plant	NN	plant
food	NN	food
.	SENT	.
And	CC	and
this	DT	this
should	MD	should
be	VB	be
good	JJ	good
news	NN	news
,	,	,
of	IN	of
rising	VBG	rise
carbon	NN	carbon
dioxide	NN	dioxide
concentrations	NNS	concentration
,	,	,
for	IN	for
food	NN	food
security	NN	security
around	IN	around
the	DT	the
world	NN	world
,	,	,
making	VBG	make
sure	JJ	sure
that	IN	that
people	NNS	people
get	VBP	get
enough	RB	enough
to	TO	to
eat	VB	eat
every	DT	every
day	NN	day
.	SENT	.
About	IN	about
820	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
don	NN	don
'	POS	'
t	NN	t
get	VB	get
enough	RB	enough
to	TO	to
eat	VB	eat
every	DT	every
day	NN	day
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
fair	JJ	fair
amount	NN	amount
written	VBN	write
about	IN	about
how	WRB	how
higher	JJR	high
CO2	NN	<unknown>
is	VBZ	be
going	VBG	go
to	TO	to
help	VB	help
with	IN	with
our	PP$	our
food	NN	food
security	NN	security
problem	NN	problem
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
accelerate	VB	accelerate
our	PP$	our
progress	NN	progress
in	IN	in
agricultural	JJ	agricultural
productivity	NN	productivity
to	TO	to
feed	VB	feed
the	DT	the
nine	CD	nine
to	TO	to
10	CD	@card@
billion	NN	billion
people	NNS	people
who	WP	who
will	MD	will
be	VB	be
alive	JJ	alive
in	IN	in
2050	CD	@card@
and	CC	and
to	TO	to
achieve	VB	achieve
the	DT	the
Sustainable	JJ	sustainable
Development	NP	Development
Goals	NNS	goal
,	,	,
particularly	RB	particularly
the	DT	the
Goal	NN	goal
Number	NP	Number
2	CD	@card@
,	,	,
that	WDT	that
is	VBZ	be
on	IN	on
reducing	VBG	reduce
food	NN	food
insecurity	NN	insecurity
,	,	,
increasing	VBG	increase
nutrition	NN	nutrition
,	,	,
increasing	VBG	increase
access	NN	access
to	TO	to
the	DT	the
foods	NNS	food
that	WDT	that
we	PP	we
need	VBP	need
for	IN	for
everyone	NN	everyone
.	SENT	.
We	PP	we
know	VBP	know
that	IN	that
climate	NN	climate
change	NN	change
is	VBZ	be
affecting	VBG	affect
agricultural	JJ	agricultural
productivity	NN	productivity
.	SENT	.
The	DT	the
earth	NN	earth
has	VBZ	have
warmed	VBN	warm
about	RB	about
one	CD	one
degree	NN	degree
centigrade	JJ	centigrade
since	IN	since
preindustrial	JJ	preindustrial
times	NNS	time
.	SENT	.
That	DT	that
is	VBZ	be
changing	VBG	change
local	JJ	local
temperature	NN	temperature
and	CC	and
precipitation	NN	precipitation
patterns	NNS	pattern
,	,	,
and	CC	and
that	WDT	that
has	VBZ	have
consequences	NNS	consequence
for	IN	for
the	DT	the
agricultural	JJ	agricultural
productivity	NN	productivity
in	IN	in
many	JJ	many
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
local	JJ	local
changes	NNS	change
in	IN	in
temperature	NN	temperature
and	CC	and
precipitation	NN	precipitation
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
extremes	NNS	extreme
.	SENT	.
Extremes	NNS	extreme
in	IN	in
terms	NNS	term
of	IN	of
heat	NN	heat
waves	NNS	wave
,	,	,
floods	NNS	flood
and	CC	and
droughts	NNS	drought
are	VBP	be
significantly	RB	significantly
affecting	VBG	affect
productivity	NN	productivity
.	SENT	.
And	CC	and
that	DT	that
carbon	NN	carbon
dioxide	NN	dioxide
,	,	,
besides	IN	besides
making	VBG	make
plants	NNS	plant
grow	VBP	grow
,	,	,
has	VBZ	have
other	JJ	other
consequences	NNS	consequence
as	IN	as
well	RB	well
,	,	,
that	DT	that
plants	NNS	plant
,	,	,
when	WRB	when
they	PP	they
have	VBP	have
higher	JJR	high
carbon	NN	carbon
dioxide	NN	dioxide
,	,	,
increase	VB	increase
the	DT	the
synthesis	NN	synthesis
of	IN	of
carbohydrates	NNS	carbohydrate
,	,	,
sugars	NNS	sugar
and	CC	and
starches	NNS	starch
,	,	,
and	CC	and
they	PP	they
decrease	VBP	decrease
the	DT	the
concentrations	NNS	concentration
of	IN	of
protein	NN	protein
and	CC	and
critical	JJ	critical
nutrients	NNS	nutrient
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
very	RB	very
important	JJ	important
for	IN	for
how	WRB	how
we	PP	we
think	VBP	think
about	IN	about
food	NN	food
security	NN	security
going	VBG	go
forward	RB	forward
.	SENT	.
A	DT	a
couple	NN	couple
of	IN	of
nights	NNS	night
ago	RB	ago
in	IN	in
the	DT	the
table	NN	table
talks	NNS	talk
on	IN	on
climate	NN	climate
change	NN	change
,	,	,
someone	NN	someone
said	VBD	say
that	IN	that
they	PP	they
'	''	'
re	IN	re
a	DT	a
five-sevenths	NNS	five-seventh
optimist	NN	optimist
:	:	:
that	IN	that
they	PP	they
'	''	'
re	IN	re
an	DT	an
optimist	NN	optimist
five	CD	five
days	NNS	day
of	IN	of
the	DT	the
week	NN	week
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
topic	NN	topic
for	IN	for
the	DT	the
other	JJ	other
two	CD	two
days	NNS	day
.	SENT	.
When	WRB	when
we	PP	we
think	VBP	think
about	IN	about
micronutrients	NNS	micronutrient
,	,	,
almost	RB	almost
all	RB	all
of	IN	of
them	PP	them
are	VBP	be
affected	VBN	affect
by	IN	by
higher	JJR	high
CO2	NP	<unknown>
concentrations	NNS	concentration
.	SENT	.
Two	CD	two
in	IN	in
particular	JJ	particular
are	VBP	be
iron	NN	iron
and	CC	and
zinc	NN	zinc
.	SENT	.
When	WRB	when
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
enough	JJ	enough
iron	NN	iron
,	,	,
you	PP	you
can	MD	can
develop	VB	develop
iron	NN	iron
deficiency	NN	deficiency
anemia	NN	anemia
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
associated	VBN	associate
with	IN	with
fatigue	NN	fatigue
,	,	,
shortness	NN	shortness
of	IN	of
breath	NN	breath
and	CC	and
some	DT	some
fairly	RB	fairly
serious	JJ	serious
consequences	NNS	consequence
as	IN	as
well	RB	well
.	SENT	.
When	WRB	when
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
enough	JJ	enough
zinc	NN	zinc
,	,	,
you	PP	you
can	MD	can
have	VB	have
a	DT	a
loss	NN	loss
of	IN	of
appetite	NN	appetite
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
significant	JJ	significant
problem	NN	problem
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
about	IN	about
one	CD	one
billion	NN	billion
people	NNS	people
who	WP	who
are	VBP	be
zinc	NN	zinc
deficient	JJ	deficient
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
important	JJ	important
for	IN	for
maternal	JJ	maternal
and	CC	and
child	NN	child
health	NN	health
.	SENT	.
It	PP	it
affects	VBZ	affect
development	NN	development
.	SENT	.
The	DT	the
B	NP	B
vitamins	NNS	vitamin
are	VBP	be
critical	JJ	critical
for	IN	for
a	DT	a
whole	JJ	whole
range	NN	range
of	IN	of
reasons	NNS	reason
.	SENT	.
They	PP	they
help	VBP	help
convert	VB	convert
our	PP$	our
food	NN	food
into	IN	into
energy	NN	energy
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
important	JJ	important
for	IN	for
the	DT	the
functions	NNS	function
of	IN	of
many	JJ	many
of	IN	of
the	DT	the
physiologic	JJ	<unknown>
activities	NNS	activity
in	IN	in
our	PP$	our
bodies	NNS	body
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
have	VBP	have
higher	JJR	high
carbon	NN	carbon
in	IN	in
a	DT	a
plant	NN	plant
,	,	,
you	PP	you
have	VBP	have
less	JJR	less
nitrogen	NN	nitrogen
,	,	,
and	CC	and
you	PP	you
have	VBP	have
less	JJR	less
B	NN	B
vitamins	NNS	vitamin
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
us	PP	us
.	SENT	.
Cattle	NNS	Cattle
are	VBP	be
already	RB	already
being	VBG	be
affected	VBN	affect
because	IN	because
the	DT	the
quality	NN	quality
of	IN	of
their	PP$	their
forage	NN	forage
is	VBZ	be
declining	VBG	decline
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
this	DT	this
affects	VBZ	affect
every	DT	every
consumer	NN	consumer
of	IN	of
plants	NNS	plant
.	SENT	.
And	CC	and
give	VB	give
a	DT	a
thought	VBN	think
to	TO	to
,	,	,
for	IN	for
example	NN	example
,	,	,
our	PP$	our
pet	JJ	pet
cats	NNS	cat
and	CC	and
dogs	NNS	dog
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
on	IN	on
the	DT	the
label	NN	label
of	IN	of
most	JJS	most
of	IN	of
the	DT	the
pet	NN	pet
and	CC	and
dog	NN	dog
food	NN	food
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
significant	JJ	significant
amount	NN	amount
of	IN	of
grain	NN	grain
in	IN	in
those	DT	those
foods	NNS	food
.	SENT	.
So	IN	so
this	DT	this
affects	NNS	affect
everyone	NN	everyone
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
know	VBP	know
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
problem	NN	problem
?	SENT	?
We	PP	we
know	VBP	know
from	IN	from
field	NN	field
studies	NNS	study
and	CC	and
we	PP	we
know	VBP	know
from	IN	from
experimental	JJ	experimental
studies	NNS	study
in	IN	in
laboratories	NNS	laboratory
.	SENT	.
In	IN	in
the	DT	the
field	NN	field
studies	NNS	study
—	:	-
and	CC	and
I	PP	I
'	POS	'
ll	NN	ll
focus	NN	focus
primarily	RB	primarily
on	IN	on
wheat	NN	wheat
and	CC	and
on	IN	on
rice	NN	rice
—	:	-
there	EX	there
'	''	'
s	NN	S
fields	NNS	field
,	,	,
for	IN	for
example	NN	example
,	,	,
of	IN	of
rice	NN	rice
that	WDT	that
are	VBP	be
divided	VBN	divide
into	IN	into
different	JJ	different
plots	NNS	plot
.	SENT	.
And	CC	and
the	DT	the
plots	NNS	plot
are	VBP	be
all	PDT	all
the	DT	the
same	JJ	same
:	:	:
the	DT	the
soil	NN	soil
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
,	,	,
the	DT	the
precipitation	NN	precipitation
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
—	:	-
everything	NN	everything
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
.	SENT	.
Except	IN	except
carbon	NN	carbon
dioxide	NN	dioxide
is	VBZ	be
blown	VBN	blow
over	IN	over
some	DT	some
of	IN	of
the	DT	the
plots	NNS	plot
.	SENT	.
And	CC	and
so	RB	so
you	PP	you
can	MD	can
compare	VB	compare
what	WP	what
it	PP	it
looks	VBZ	look
like	IN	like
under	IN	under
today	NN	today
'	POS	'
s	NN	S
conditions	NNS	condition
and	CC	and
under	IN	under
carbon	NN	carbon
dioxide	NN	dioxide
conditions	NNS	condition
later	RBR	later
in	IN	in
the	DT	the
century	NN	century
.	SENT	.
I	PP	I
was	VBD	be
part	NN	part
of	IN	of
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
studies	NNS	study
that	WDT	that
have	VBP	have
done	VBN	do
this	DT	this
.	SENT	.
We	PP	we
looked	VBD	look
at	IN	at
18	CD	@card@
rice	NN	rice
lines	NNS	line
in	IN	in
China	NP	China
and	CC	and
in	IN	in
Japan	NP	Japan
and	CC	and
grew	VBD	grow
them	PP	them
under	IN	under
conditions	NNS	condition
that	IN	that
you	PP	you
would	MD	would
expect	VB	expect
later	RBR	later
in	IN	in
the	DT	the
century	NN	century
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
results	NNS	result
,	,	,
the	DT	the
white	JJ	white
bar	NN	bar
is	VBZ	be
today	NN	today
'	POS	'
s	NN	S
conditions	NNS	condition
,	,	,
the	DT	the
red	JJ	red
bar	NN	bar
is	VBZ	be
conditions	NNS	condition
later	RBR	later
in	IN	in
the	DT	the
century	NN	century
.	SENT	.
So	IN	so
protein	NN	protein
declines	NNS	decline
about	IN	about
10	CD	@card@
percent	NN	percent
,	,	,
iron	NN	iron
about	IN	about
eight	CD	eight
percent	NN	percent
,	,	,
zinc	NN	zinc
about	IN	about
five	CD	five
percent	NN	percent
.	SENT	.
These	DT	these
don	NN	don
'	POS	'
t	NN	t
sound	NN	sound
like	IN	like
really	RB	really
big	JJ	big
changes	NNS	change
,	,	,
but	CC	but
when	WRB	when
you	PP	you
start	VBP	start
thinking	VBG	think
about	IN	about
the	DT	the
poor	JJ	poor
in	IN	in
every	DT	every
country	NN	country
who	WP	who
primarily	RB	primarily
eat	VBP	eat
starch	NN	starch
,	,	,
that	IN	that
this	DT	this
will	MD	will
put	VB	put
people	NNS	people
who	WP	who
are	VBP	be
on	IN	on
the	DT	the
edge	NN	edge
over	IN	over
the	DT	the
edge	NN	edge
into	IN	into
frank	JJ	frank
deficiencies	NNS	deficiency
,	,	,
creating	VBG	create
all	DT	all
kinds	NNS	kind
of	IN	of
health	NN	health
problems	NNS	problem
.	SENT	.
The	DT	the
situation	NN	situation
is	VBZ	be
more	RBR	more
significant	JJ	significant
for	IN	for
the	DT	the
B	NP	B
vitamins	NNS	vitamin
.	SENT	.
When	WRB	when
you	PP	you
look	VBP	look
at	IN	at
vitamin	NN	vitamin
B1	NN	<unknown>
and	CC	and
vitamin	NN	vitamin
B2	NN	B2
,	,	,
there	EX	there
'	''	'
s	NN	S
about	IN	about
a	DT	a
17	CD	@card@
percent	NN	percent
decline	NN	decline
.	SENT	.
Pantothenic	JJ	<unknown>
acid	NN	acid
,	,	,
vitamin	NN	vitamin
B5	NP	<unknown>
,	,	,
is	VBZ	be
about	RB	about
a	DT	a
13	CD	@card@
percent	NN	percent
decline	NN	decline
.	SENT	.
Folate	NP	<unknown>
is	VBZ	be
about	RB	about
a	DT	a
30	CD	@card@
percent	NN	percent
decline	NN	decline
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
averages	NNS	average
over	IN	over
the	DT	the
various	JJ	various
experiments	NNS	experiment
that	WDT	that
were	VBD	be
done	VBN	do
.	SENT	.
Folate	NP	<unknown>
is	VBZ	be
critical	JJ	critical
for	IN	for
child	NN	child
development	NN	development
.	SENT	.
Pregnant	JJ	pregnant
women	NNS	woman
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
get	VB	get
enough	JJ	enough
folate	NN	<unknown>
are	VBP	be
at	IN	at
much	RB	much
higher	JJR	high
risk	NN	risk
of	IN	of
having	VBG	have
babies	NNS	baby
with	IN	with
birth	NN	birth
defects	NNS	defect
.	SENT	.
So	RB	so
these	DT	these
are	VBP	be
very	RB	very
serious	JJ	serious
potential	JJ	potential
consequences	NNS	consequence
for	IN	for
our	PP$	our
health	NN	health
as	IN	as
CO2	NP	<unknown>
continues	VBZ	continue
to	TO	to
rise	VB	rise
.	SENT	.
In	IN	in
another	DT	another
example	NN	example
,	,	,
this	DT	this
is	VBZ	be
modeling	VBG	model
work	NN	work
that	WDT	that
was	VBD	be
done	VBN	do
by	IN	by
Chris	NP	Chris
Weyant	NP	Weyant
and	CC	and
his	PP$	his
colleagues	NNS	colleague
,	,	,
taking	VBG	take
a	DT	a
look	NN	look
at	IN	at
this	DT	this
chain	NN	chain
from	IN	from
higher	JJR	high
CO2	NN	<unknown>
to	TO	to
lower	JJR	low
iron	NN	iron
and	CC	and
zinc	NN	zinc
—	:	-
and	CC	and
they	PP	they
only	RB	only
looked	VBD	look
at	IN	at
iron	NN	iron
and	CC	and
zinc	NN	zinc
—	:	-
to	TO	to
various	JJ	various
health	NN	health
outcomes	NNS	outcome
.	SENT	.
They	PP	they
looked	VBD	look
at	IN	at
malaria	NN	malaria
,	,	,
diarrheal	JJ	<unknown>
disease	NN	disease
,	,	,
pneumonia	NN	pneumonia
,	,	,
iron	NN	iron
deficiency	NN	deficiency
anemia	NN	anemia
,	,	,
and	CC	and
looked	VBD	look
at	IN	at
what	WP	what
the	DT	the
consequences	NNS	consequence
could	MD	could
be	VB	be
in	IN	in
2050	CD	@card@
.	SENT	.
And	CC	and
the	DT	the
darker	JJR	dark
the	DT	the
color	NN	color
in	IN	in
this	DT	this
,	,	,
the	DT	the
larger	JJR	large
the	DT	the
consequences	NNS	consequence
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
see	VB	see
the	DT	the
major	JJ	major
impacts	NNS	impact
in	IN	in
Asia	NP	Asia
and	CC	and
in	IN	in
Africa	NP	Africa
,	,	,
but	CC	but
also	RB	also
note	VBP	note
that	IN	that
in	IN	in
countries	NNS	country
such	JJ	such
as	IN	as
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
countries	NNS	country
in	IN	in
Europe	NP	Europe
,	,	,
the	DT	the
populations	NNS	population
also	RB	also
could	MD	could
be	VB	be
affected	VBN	affect
.	SENT	.
They	PP	they
estimated	VBD	estimate
about	RB	about
125	CD	@card@
million	CD	million
people	NNS	people
could	MD	could
be	VB	be
affected	VBN	affect
.	SENT	.
They	PP	they
also	RB	also
modeled	VBD	model
what	WP	what
would	MD	would
be	VB	be
the	DT	the
most	RBS	most
effective	JJ	effective
interventions	NNS	intervention
,	,	,
and	CC	and
their	PP$	their
conclusion	NN	conclusion
was	VBD	be
reducing	VBG	reduce
our	PP$	our
greenhouse	NN	greenhouse
gases	NNS	gas
:	:	:
getting	VBG	get
our	PP$	our
greenhouse	NN	greenhouse
gas	NN	gas
emissions	NNS	emission
down	RB	down
by	IN	by
mid-century	NN	mid-century
so	IN	so
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
worry	VB	worry
so	RB	so
much	RB	much
about	IN	about
these	DT	these
consequences	NNS	consequence
later	RBR	later
in	IN	in
the	DT	the
century	NN	century
.	SENT	.
These	DT	these
experiments	NNS	experiment
,	,	,
these	DT	these
modeling	NN	modeling
studies	NNS	study
did	VBD	do
not	RB	not
take	VB	take
climate	NN	climate
change	VB	change
itself	PP	itself
into	IN	into
account	NN	account
.	SENT	.
They	PP	they
just	RB	just
focused	VBD	focus
on	IN	on
the	DT	the
carbon	NN	carbon
dioxide	NN	dioxide
component	NN	component
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
put	VBD	put
the	DT	the
two	CD	two
together	RB	together
,	,	,
it	PP	it
'	POS	'
s	NN	S
expected	VBD	expect
the	DT	the
impact	NN	impact
is	VBZ	be
much	RB	much
larger	JJR	large
than	IN	than
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
told	VBD	tell
you	PP	you
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
love	VBP	love
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
tell	VB	tell
you	PP	you
right	RB	right
now	RB	now
how	WRB	how
much	JJ	much
the	DT	the
food	NN	food
you	PP	you
had	VBD	have
for	IN	for
breakfast	NN	breakfast
,	,	,
the	DT	the
food	NN	food
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
for	IN	for
lunch	NN	lunch
,	,	,
has	VBZ	have
shifted	VBN	shift
from	IN	from
what	WP	what
your	PP$	your
grandparents	NNS	grandparent
ate	VBD	eat
in	IN	in
terms	NNS	term
of	IN	of
its	PP$	its
nutritional	JJ	nutritional
quality	NN	quality
.	SENT	.
But	CC	but
I	PP	I
can	MD	can
'	''	'
t	NN	t
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
research	NN	research
on	IN	on
that	DT	that
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
love	NN	love
to	TO	to
tell	VB	tell
you	PP	you
how	WRB	how
much	JJ	much
current	JJ	current
food	NN	food
insecurity	NN	insecurity
is	VBZ	be
affected	VBN	affect
by	IN	by
these	DT	these
changes	NNS	change
.	SENT	.
But	CC	but
I	PP	I
can	MD	can
'	''	'
t	NN	t
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
research	NN	research
on	IN	on
that	DT	that
,	,	,
either	RB	either
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
that	WDT	that
needs	VBZ	need
to	TO	to
be	VB	be
known	VBN	know
in	IN	in
this	DT	this
area	NN	area
,	,	,
including	VBG	include
what	WP	what
the	DT	the
possible	JJ	possible
solutions	NNS	solution
could	MD	could
be	VB	be
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
exactly	RB	exactly
what	WP	what
those	DT	those
solutions	NNS	solution
are	VBP	be
,	,	,
but	CC	but
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
range	NN	range
of	IN	of
options	NNS	option
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
advancements	NNS	advancement
in	IN	in
technologies	NNS	technology
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
plant	NN	plant
breeding	NN	breeding
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
biofortification	NN	biofortification
.	SENT	.
Soils	NNS	soil
could	MD	could
make	VB	make
a	DT	a
difference	NN	difference
.	SENT	.
And	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
it	PP	it
will	MD	will
be	VB	be
very	RB	very
helpful	JJ	helpful
to	TO	to
know	VB	know
how	WRB	how
these	DT	these
changes	NNS	change
could	MD	could
affect	VB	affect
our	PP$	our
future	JJ	future
health	NN	health
and	CC	and
the	DT	the
health	NN	health
of	IN	of
our	PP$	our
children	NNS	child
and	CC	and
the	DT	the
health	NN	health
of	IN	of
our	PP$	our
grandchildren	NNS	grandchild
.	SENT	.
And	CC	and
these	DT	these
investments	NNS	investment
take	VBP	take
time	NN	time
.	SENT	.
It	PP	it
will	MD	will
take	VB	take
time	NN	time
to	TO	to
sort	VB	sort
all	DT	all
of	IN	of
these	DT	these
issues	NNS	issue
out	RP	out
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
national	JJ	national
entity	NN	entity
or	CC	or
business	NN	business
group	NN	group
that	WDT	that
is	VBZ	be
funding	VBG	fund
this	DT	this
research	NN	research
.	SENT	.
We	PP	we
need	VBP	need
these	DT	these
investments	NNS	investment
critically	RB	critically
so	RB	so
that	IN	that
we	PP	we
do	VBP	do
know	VB	know
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
.	SENT	.
In	IN	in
the	DT	the
meantime	NN	meantime
,	,	,
