Nobody	NN	nobody
with	IN	with
a	DT	a
separate	JJ	separate
disk	NN	disk
around	IN	around
it	PP	it
.	SENT	.
Calculating	VBG	calculate
what	WP	what
was	VBD	be
in	IN	in
the	DT	the
disk	NN	disk
as	IN	as
how	WRB	how
we	PP	we
tested	VBD	test
whether	IN	whether
an	DT	an
impact	NN	impact
could	MD	could
make	VB	make
the	DT	the
Moon	NN	moon
.	SENT	.
But	CC	but
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
look	VBP	look
that	DT	that
simple	NN	simple
anymore	RB	anymore
.	SENT	.
We	PP	we
were	VBD	be
making	VBG	make
the	DT	the
mistake	NN	mistake
of	IN	of
thinking	VBG	think
that	IN	that
a	DT	a
planet	NN	planet
was	VBD	be
always	RB	always
going	VBG	go
to	TO	to
look	VB	look
like	IN	like
a	DT	a
planet	NN	planet
.	SENT	.
On	IN	on
that	DT	that
day	NN	day
,	,	,
I	PP	I
knew	VBD	know
that	IN	that
a	DT	a
giant	JJ	giant
impact	NN	impact
was	VBD	be
making	VBG	make
something	NN	something
completely	RB	completely
new	JJ	new
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
had	VBD	have
eureka	NN	<unknown>
moments	NNS	moment
.	SENT	.
This	DT	this
was	VBD	be
not	RB	not
one	CD	one
of	IN	of
them	PP	them
.	SENT	.
I	PP	I
really	RB	really
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
.	SENT	.
I	PP	I
had	VBD	have
this	DT	this
strange	JJ	strange
,	,	,
new	JJ	new
object	NN	object
in	IN	in
front	NN	front
of	IN	of
me	PP	me
and	CC	and
the	DT	the
challenge	NN	challenge
to	TO	to
try	VB	try
and	CC	and
figure	VB	figure
it	PP	it
out	RP	out
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
do	VBP	do
when	WRB	when
faced	VBN	face
with	IN	with
the	DT	the
unknown	NN	unknown
?	SENT	?
How	WRB	how
do	VBP	do
you	PP	you
even	RB	even
start	VBP	start
?	SENT	?
We	PP	we
questioned	VBD	question
everything	NN	everything
:	:	:
What	WP	what
is	VBZ	be
a	DT	a
planet	NN	planet
?	SENT	?
When	WRB	when
is	VBZ	be
a	DT	a
planet	NN	planet
no	RB	no
longer	RBR	longer
a	DT	a
planet	NN	planet
anymore	RB	anymore
?	SENT	?
We	PP	we
played	VBD	play
with	IN	with
new	JJ	new
ideas	NNS	idea
.	SENT	.
We	PP	we
had	VBD	have
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
our	PP$	our
old	JJ	old
way	NN	way
of	IN	of
thinking	NN	thinking
,	,	,
and	CC	and
by	IN	by
playing	NN	playing
,	,	,
I	PP	I
could	MD	could
throw	VB	throw
away	RB	away
all	RB	all
of	IN	of
the	DT	the
data	NNS	datum
,	,	,
all	RB	all
of	IN	of
the	DT	the
rules	NNS	rule
of	IN	of
the	DT	the
real	JJ	real
world	NN	world
,	,	,
and	CC	and
free	VB	free
my	PP$	my
mind	NN	mind
to	TO	to
explore	VB	explore
.	SENT	.
And	CC	and
by	IN	by
making	VBG	make
a	DT	a
mental	JJ	mental
space	NN	space
where	WRB	where
I	PP	I
could	MD	could
try	VB	try
out	RP	out
outrageous	JJ	outrageous
ideas	NNS	idea
and	CC	and
then	RB	then
bring	VB	bring
them	PP	them
back	RB	back
into	IN	into
the	DT	the
real	JJ	real
world	NN	world
to	TO	to
test	VB	test
them	PP	them
,	,	,
I	PP	I
could	MD	could
learn	VB	learn
.	SENT	.
And	CC	and
by	IN	by
playing	NN	playing
,	,	,
we	PP	we
learned	VBD	learn
so	RB	so
much	RB	much
.	SENT	.
I	PP	I
combined	VBD	combine
my	PP$	my
lab	NN	lab
experiments	NNS	experiment
with	IN	with
computer	NN	computer
models	NNS	model
and	CC	and
discovered	VBD	discover
that	IN	that
after	IN	after
most	JJS	most
giant	JJ	giant
impacts	NNS	impact
,	,	,
the	DT	the
Earth	NN	earth
is	VBZ	be
so	RB	so
hot	JJ	hot
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
surface	NN	surface
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
just	RB	just
a	DT	a
deep	JJ	deep
layer	NN	layer
of	IN	of
gas	NN	gas
that	WDT	that
gets	VBZ	get
denser	JJR	dense
and	CC	and
denser	JJR	dense
with	IN	with
depth	NN	depth
.	SENT	.
The	DT	the
Earth	NP	Earth
would	MD	would
have	VB	have
been	VBN	be
like	IN	like
Jupiter	NP	Jupiter
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
nothing	NN	nothing
to	TO	to
stand	VB	stand
on	RP	on
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
just	RB	just
part	NN	part
of	IN	of
the	DT	the
problem	NN	problem
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
understand	VB	understand
the	DT	the
whole	JJ	whole
problem	NN	problem
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
let	VBD	let
go	VB	go
of	IN	of
the	DT	the
challenge	NN	challenge
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
was	VBD	be
really	RB	really
going	VBG	go
on	IN	on
in	IN	in
giant	JJ	giant
impacts	NNS	impact
.	SENT	.
It	PP	it
took	VBD	take
almost	RB	almost
two	CD	two
years	NNS	year
of	IN	of
throwing	VBG	throw
away	RP	away
old	JJ	old
ideas	NNS	idea
and	CC	and
building	VBG	build
new	JJ	new
ones	NNS	one
that	IN	that
we	PP	we
understood	VBD	understand
the	DT	the
data	NNS	datum
and	CC	and
knew	VBD	know
what	WP	what
it	PP	it
meant	VBD	mean
for	IN	for
the	DT	the
Moon	NP	Moon
.	SENT	.
I	PP	I
discovered	VBD	discover
a	DT	a
new	JJ	new
type	NN	type
of	IN	of
astronomical	JJ	astronomical
object	NN	object
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
planet	NN	planet
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
made	VBD	make
from	IN	from
planets	NNS	planet
.	SENT	.
A	DT	a
planet	NN	planet
is	VBZ	be
a	DT	a
body	NN	body
whose	WP$	whose
self-gravity	NN	self-gravity
is	VBZ	be
strong	JJ	strong
enough	RB	enough
to	TO	to
give	VB	give
it	PP	it
its	PP$	its
rounded	JJ	rounded
shape	NN	shape
.	SENT	.
It	PP	it
spins	VBZ	spin
around	RP	around
all	RB	all
together	RB	together
.	SENT	.
Make	VB	make
it	PP	it
hotter	JJR	hot
and	CC	and
spin	VB	spin
it	PP	it
faster	RBR	faster
,	,	,
the	DT	the
equator	NN	equator
gets	VBZ	get
bigger	JJR	big
and	CC	and
bigger	JJR	big
until	IN	until
it	PP	it
reaches	VBZ	reach
a	DT	a
tipping	VBG	tip
point	NN	point
.	SENT	.
Push	VB	push
past	IN	past
the	DT	the
tipping	VBG	tip
point	NN	point
,	,	,
and	CC	and
the	DT	the
material	NN	material
at	IN	at
the	DT	the
equator	NN	equator
spreads	VBZ	spread
into	IN	into
a	DT	a
disk	NN	disk
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
now	RB	now
broken	VBN	break
all	PDT	all
the	DT	the
rules	NNS	rule
of	IN	of
being	VBG	be
a	DT	a
planet	NN	planet
.	SENT	.
It	PP	it
can	MD	can
'	''	'
t	NN	t
spin	VB	spin
around	RP	around
together	RB	together
anymore	RB	anymore
,	,	,
its	PP$	its
shape	NN	shape
keeps	VBZ	keep
changing	VBG	change
as	IN	as
it	PP	it
gets	VBZ	get
bigger	JJR	big
and	CC	and
bigger	JJR	big
;	:	;
the	DT	the
planet	NN	planet
has	VBZ	have
become	VBN	become
something	NN	something
new	JJ	new
.	SENT	.
We	PP	we
gave	VBD	give
our	PP$	our
discovery	NN	discovery
its	PP$	its
name	NN	name
:	:	:
synestia	NN	<unknown>
.	SENT	.
We	PP	we
named	VBD	name
it	PP	it
after	IN	after
the	DT	the
goddess	NN	goddess
Hestia	NP	Hestia
,	,	,
the	DT	the
Greek	JJ	Greek
goddess	NN	goddess
of	IN	of
the	DT	the
hearth	NN	hearth
and	CC	and
home	NN	home
,	,	,
because	IN	because
we	PP	we
think	VBP	think
the	DT	the
Earth	NN	earth
became	VBD	become
one	CD	one
.	SENT	.
The	DT	the
prefix	NN	prefix
means	VBZ	mean
"	``	"
all	RB	all
together	RB	together
,	,	,
"	''	"
to	TO	to
emphasize	VB	emphasize
the	DT	the
connection	NN	connection
between	IN	between
all	DT	all
of	IN	of
the	DT	the
material	NN	material
.	SENT	.
A	DT	a
synestia	NN	<unknown>
is	VBZ	be
what	WP	what
a	DT	a
planet	NN	planet
becomes	VBZ	become
when	WRB	when
heat	NN	heat
and	CC	and
spin	VB	spin
push	VB	push
it	PP	it
over	IN	over
the	DT	the
limit	NN	limit
of	IN	of
a	DT	a
spheroidal	JJ	spheroidal
shape	NN	shape
.	SENT	.
Would	MD	would
you	PP	you
like	VB	like
to	TO	to
see	VB	see
a	DT	a
synestia	NN	<unknown>
?	SENT	?
In	IN	in
this	DT	this
visualization	NN	visualization
of	IN	of
one	CD	one
of	IN	of
my	PP$	my
simulations	NNS	simulation
,	,	,
the	DT	the
young	JJ	young
Earth	NN	earth
is	VBZ	be
already	RB	already
spinning	VBG	spin
quickly	RB	quickly
from	IN	from
a	DT	a
previous	JJ	previous
giant	JJ	giant
impact	NN	impact
.	SENT	.
Its	PP$	its
shape	NN	shape
is	VBZ	be
deformed	VBN	deform
,	,	,
but	CC	but
our	PP$	our
planet	NN	planet
would	MD	would
be	VB	be
recognizable	JJ	recognizable
by	IN	by
the	DT	the
water	NN	water
on	IN	on
its	PP$	its
surface	NN	surface
.	SENT	.
The	DT	the
energy	NN	energy
from	IN	from
the	DT	the
impact	NN	impact
vaporizes	VBZ	vaporize
the	DT	the
surface	NN	surface
,	,	,
the	DT	the
water	NN	water
,	,	,
the	DT	the
atmosphere	NN	atmosphere
,	,	,
and	CC	and
mixes	VBZ	mix
all	DT	all
of	IN	of
the	DT	the
gases	NNS	gas
together	RB	together
in	IN	in
just	RB	just
a	DT	a
few	JJ	few
hours	NNS	hour
.	SENT	.
We	PP	we
discovered	VBD	discover
that	IN	that
many	JJ	many
giant	JJ	giant
impacts	NNS	impact
make	VBP	make
synestias	NNS	<unknown>
,	,	,
but	CC	but
these	DT	these
burning	NN	burning
,	,	,
bright	JJ	bright
objects	NNS	object
don	NN	don
'	POS	'
t	NN	t
live	VBP	live
very	RB	very
long	RB	long
.	SENT	.
They	PP	they
cool	VBP	cool
down	RP	down
,	,	,
shrink	VB	shrink
and	CC	and
turn	VB	turn
back	RB	back
into	IN	into
planets	NNS	planet
.	SENT	.
While	IN	while
rocky	JJ	rocky
planets	NNS	planet
like	IN	like
Earth	NP	Earth
were	VBD	be
growing	VBG	grow
,	,	,
they	PP	they
probably	RB	probably
turned	VBD	turn
into	IN	into
synestias	NNS	<unknown>
one	CD	one
or	CC	or
more	JJR	more
times	NNS	time
.	SENT	.
A	DT	a
synestia	NN	<unknown>
gives	VBZ	give
us	PP	us
a	DT	a
new	JJ	new
way	NN	way
to	TO	to
solve	VB	solve
the	DT	the
problem	NN	problem
of	IN	of
the	DT	the
origin	NN	origin
of	IN	of
the	DT	the
Moon	NP	Moon
.	SENT	.
We	PP	we
propose	VBP	propose
that	IN	that
the	DT	the
Moon	NN	moon
formed	VBN	form
inside	IN	inside
a	DT	a
huge	JJ	huge
,	,	,
vaporous	JJ	vaporous
synestia	NN	<unknown>
.	SENT	.
The	DT	the
Moon	NP	Moon
grew	VBD	grow
from	IN	from
magma	NN	magma
rain	NN	rain
that	WDT	that
condensed	VBD	condense
out	RP	out
of	IN	of
the	DT	the
rock	NN	rock
vapor	NN	vapor
.	SENT	.
The	DT	the
Moon	NP	Moon
'	POS	'
s	JJ	<unknown>
special	JJ	special
connection	NN	connection
to	TO	to
Earth	NP	Earth
is	VBZ	be
because	IN	because
the	DT	the
Moon	NN	moon
formed	VBN	form
inside	IN	inside
the	DT	the
Earth	NN	earth
when	WRB	when
Earth	NP	Earth
was	VBD	be
a	DT	a
synestia	NN	<unknown>
.	SENT	.
The	DT	the
Moon	NP	Moon
could	MD	could
have	VB	have
orbited	VBN	orbit
inside	IN	inside
the	DT	the
synestia	NN	<unknown>
for	IN	for
years	NNS	year
,	,	,
hidden	VBN	hide
from	IN	from
view	NN	view
.	SENT	.
The	DT	the
Moon	NP	Moon
is	VBZ	be
revealed	VBN	reveal
by	IN	by
the	DT	the
synestia	NN	<unknown>
cooling	VBG	cool
and	CC	and
shrinking	VBG	shrink
inside	RB	inside
of	IN	of
its	PP$	its
orbit	NN	orbit
.	SENT	.
The	DT	the
synestia	NN	<unknown>
turns	VBZ	turn
into	IN	into
planet	NN	planet
Earth	NN	earth
only	RB	only
after	IN	after
cooling	VBG	cool
for	IN	for
hundreds	NNS	hundred
of	IN	of
years	NNS	year
longer	RBR	longer
.	SENT	.
In	IN	in
our	PP$	our
new	JJ	new
theory	NN	theory
,	,	,
the	DT	the
giant	JJ	giant
impact	NN	impact
makes	VBZ	make
a	DT	a
synestia	NN	<unknown>
,	,	,
and	CC	and
the	DT	the
synestia	NN	<unknown>
divides	VBZ	divide
into	IN	into
two	CD	two
new	JJ	new
bodies	NNS	body
,	,	,
creating	VBG	create
our	PP$	our
isotopically	RB	isotopically
identical	JJ	identical
Earth	NP	Earth
and	CC	and
Moon	NP	Moon
.	SENT	.
Synestias	NNS	<unknown>
have	VBP	have
been	VBN	be
created	VBN	create
throughout	IN	throughout
the	DT	the
universe	NN	universe
.	SENT	.
And	CC	and
we	PP	we
only	RB	only
just	RB	just
realized	VBD	realize
that	IN	that
by	IN	by
finding	VBG	find
them	PP	them
in	IN	in
our	PP$	our
imagination	NN	imagination
:	:	:
What	WP	what
else	RB	else
am	VBP	be
I	PP	I
missing	VBG	miss
in	IN	in
the	DT	the
world	NN	world
around	IN	around
me	PP	me
?	SENT	?
What	WP	what
is	VBZ	be
hidden	VBN	hide
from	IN	from
my	PP$	my
view	NN	view
by	IN	by
my	PP$	my
own	JJ	own
assumptions	NNS	assumption
?	SENT	?
The	DT	the
next	JJ	next
time	NN	time
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
Moon	NP	Moon
,	,	,
remember	VBP	remember
:	:	:
the	DT	the
things	NNS	thing
you	PP	you
think	VBP	think
you	PP	you
know	VBP	know
may	MD	may
be	VB	be
the	DT	the
opportunity	NN	opportunity
to	TO	to
discover	VB	discover
something	NN	something
truly	RB	truly
amazing	JJ	amazing
.	SENT	.
