They they
I i
saw see
dreams dream
of of
becoming become
future future
doctors doctor
, ,
teachers teacher
, ,
firefighters firefighter
, ,
ballet ballet
dancers dancer
, ,
astronauts astronaut
. .
Not not
me me
. .
I i
brought bring
my my
five five
foot foot
long long
pet pet
black black
snake snake
to to
school school
and and
talked talk
about about
how how
I i
wanted want
to to
become become
a a
herpetologist herpetologist
. .
Needless needless
to to
say say
, ,
my my
teachers teacher
who who
were be
Irish irish
Catholic catholic
nuns nun
, ,
were be
not not
too too
thrilled thrill
with with
my my
presentation presentation
. .
You you
know know
, ,
but but
my my
time time
in in
the the
woods wood
observing observe
our our
natural natural
world world
, ,
it it
gave give
me me
an an
empathy empathy
for for
wildlife wildlife
. .
I i
got get
to to
see see
them them
through through
a a
new new
lens lens
. .
I i
appreciated appreciate
their their
uniqueness uniqueness
, ,
their their
beauty beauty
, ,
their their
role role
in in
our our
environment environment
versus versus
listening listen
to to
what what
society society
told tell
me me
to to
feel feel
about about
them them
. .
I i
' '
ve ve
kept keep
this this
love love
of of
the the
misunderstood misunderstand
my my
entire entire
life life
. .
As as
I i
grew grow
, ,
the the
wolf wolf
stood stand
out out
to to
me me
more more
and and
more more
as as
a a
quintessentially quintessentially
misunderstood misunderstand
animal animal
. .
And and
now now
, ,
and and
my my
almost almost
20 @card@
year year
career career
of of
working work
with with
wolves wolf
, ,
I i
have have
seen see
first first
hand hand
, ,
sadly sadly
, ,
how how
this this
pushed push
to to
view view
the the
wolf wolf
and and
their their
wildness wildness
as as
a a
symbol symbol
of of
villainy villainy
in in
our our
culture culture
has have
led lead
to to
species specie
once once
found find
throughout throughout
the the
United united
States states
becoming become
persecuted persecute
and and
endangered endanger
and and
becoming become
endangered endangered
for for
this this
animal animal
is be
a a
big big
deal deal
because because
wolves wolf
are be
a a
keystone keystone
species species
. .
A a
keystone keystone
species species
means mean
that that
they they
' '
re re
vital vital
to to
keeping keep
our our
ecosystems ecosystem
balanced balanced
and and
healthy healthy
, ,
and and
a a
healthy healthy
environment environment
keeps keep
us us
healthy healthy
. .
But but
for for
me me
, ,
while while
what what
they they
do do
to to
keep keep
us us
healthy healthy
is be
fascinating fascinating
and and
it it
' '
s s
obviously obviously
important important
. .
It it
was be
their their
behavior behavior
that that
hooked hook
me me
. .
I i
got get
to to
see see
that that
wolves wolf
are be
the the
opposite opposite
of of
what what
you you
see see
on on
TV tv
or or
read read
about about
in in
fairy fairy
tales tale
. .
My my
favorite favorite
thing thing
about about
wolves wolf
actually actually
is be
observing observe
their their
families family
together together
. .
That that
' '
s s
so so
much much
fun fun
. .
Wolves wolf
have have
a a
family family
structure structure
just just
like like
us us
. .
Two two
parents parent
you you
might might
have have
heard hear
them them
referred refer
to to
as as
the the
alphas alpha
, ,
but but
really really
they they
' '
re re
the the
benevolent benevolent
leaders leader
of of
their their
family family
caring caring
for for
their their
young young
. .
They they
work work
to to
teach teach
them them
skills skill
like like
how how
to to
protect protect
themselves themselves
, ,
how how
to to
find find
food food
, ,
how how
to to
raise raise
young young
, ,
how how
to to
keep keep
a a
home home
. .
We we
don don
' '
t t
often often
see see
the the
side side
of of
wolves wolf
. .
Think think
about about
it it
. .
On on
extreme extreme
animal animal
shows show
, ,
we we
' '
re re
mostly mostly
shown show
images image
of of
wolves wolf
eating eat
right right
, ,
covered cover
in in
blood blood
, ,
teeth tooth
bared bare
, ,
snarling snarl
, ,
snapping snap
at at
each each
other other
with with
the the
idea idea
that that
alphas alpha
eat eat
first first
and and
eat eat
best well
. .
In in
the the
back back
of of
our our
brains brain
from from
all all
those those
cultural cultural
misconceptions misconception
. .
But but
this this
exaggerated exaggerated
image image
of of
the the
wolf wolf
to to
gain gain
clicks click
and and
views view
is be
just just
another another
example example
of of
how how
our our
culture culture
perpetuates perpetuate
the the
image image
of of
a a
scary scary
being being
. .
Wolves wolf
eating eat
around around
an an
elk elk
that that
they they
hunted hunt
together together
is be
no no
different different
than than
us us
sitting sit
around around
a a
dinner dinner
table table
for for
a a
family family
meal meal
. .
But but
just just
like like
us us
, ,
when when
your your
siblings sibling
misbehave misbehave
, ,
like like
, ,
I i
don don
' '
t t
know know
, ,
they they
throw throw
spaghetti spaghetti
at at
you you
or or
try try
and and
steal steal
your your
food food
. .
Totally totally
speaking speak
from from
experience experience
, ,
your your
parents parent
in in
their their
own own
way way
snarl snarl
and and
snap snap
disciplining discipline
in in
that that
moment moment
. .
Right right
? ?
It it
' '
s s
the the
same same
here here
for for
wolves wolf
. .
They they
have have
to to
teach teach
her her
young young
manners manner
, ,
like like
how how
to to
protect protect
themselves themselves
, ,
how how
to to
work work
together together
. .
The the
reason reason
for for
this this
, ,
I i
believe believe
Rudyard rudyard
Kipling kipling
said say
it it
best well
. .
The the
strength strength
of of
the the
pack pack
is be
the the
wolf wolf
. .
But but
the the
strength strength
of of
the the
wolf wolf
is be
the the
pack pack
. .
Wolves wolf
are be
stronger strong
together together
just just
like like
us us
. .
What what
wolves wolf
are be
really really
like like
. .
Their their
true true
behavior behavior
lies lie
on on
one one
of of
the the
most most
innovative innovative
conservation conservation
tools tool
ever ever
created create
to to
help help
save save
an an
endangered endangered
species species
. .
I i
want want
to to
share share
this this
story story
with with
you you
so so
you you
have have
a a
chance chance
to to
hear hear
a a
real real
story story
, ,
a a
true true
story story
about about
wolves wolf
, ,
The the
American american
Red red
Wolf wolf
Conservation conservation
Program program
working work
to to
save save
the the
most most
endangered endangered
wolf wolf
and and
the the
entire entire
world world
needed need
to to
develop develop
a a
tool tool
to to
help help
save save
this this
unique unique
species species
. .
And and
time time
was be
running run
out out
, ,
so so
they they
needed need
something something
that that
would would
work work
. .
Scientists scientist
realizing realize
that that
wolves wolf
are be
actually actually
very very
caring care
and and
nurturing nurture
. .
Seeing see
the the
similarity similarity
to to
our our
own own
strong strong
urge urge
to to
care care
for for
our our
young young
realized realize
that that
we we
might might
be be
able able
to to
take take
wolf wolf
pups pup
born bear
at at
zoos zoo
and and
sneak sneak
them them
into into
wild wild
. .
Litters litter
. .
With with
the the
goal goal
to to
help help
increase increase
the the
genetic genetic
health health
and and
diversity diversity
, ,
as as
well well
as as
the the
size size
of of
this this
critically critically
endangered endanger
population population
. .
Think think
about about
that that
for for
a a
second second
. .
This this
is be
why why
I i
love love
science science
. .
It it
is be
such such
a a
creative creative
field field
because because
you you
imagine imagine
being be
that that
first first
biologist biologist
based base
solely solely
on on
your your
observations observation
. .
He he
was be
like like
, ,
You you
know know
what what
we we
should should
do do
? ?
We we
should should
take take
teeny teeny
, ,
tiny tiny
, ,
helpless helpless
puppies puppy
from from
one one
litter litter
and and
sneak sneak
them them
into into
a a
wild wild
wolf wolf
den den
and and
hope hope
mom mom
adopts adopt
him him
. .
It it
probably probably
seemed seem
bananas banana
and and
wow wow
, ,
did do
it it
take take
a a
lot lot
of of
courage courage
? ?
But but
it it
worked work
. .
It it
worked work
because because
just just
like like
us us
, ,
when when
we we
have have
a a
baby baby
, ,
Wolf wolf
, ,
mothers mother
have have
strong strong
maternal maternal
hormones hormone
flowing flow
through through
them them
that that
help help
them them
bond bond
with with
their their
young young
. .
That that
urge urge
is be
so so
strong strong
, ,
so so
focused focus
on on
caring care
for for
babies baby
. .
She she
accepted accept
the the
newborn newborn
pups pup
as as
her her
own own
, ,
feeding feed
them them
, ,
cleaning clean
them them
, ,
caring care
for for
them them
was be
amazing amazing
. .
So so
we we
' '
ve ve
now now
been be
able able
to to
take take
this this
innovative innovative
, ,
creative creative
conservation conservation
tool tool
and and
apply apply
it it
to to
other other
endangered endangered
animals animal
like like
the the
Mexican mexican
wolf wolf
that that
was be
native native
to to
the the
southwestern southwestern
United united
States states
. .
I i
' '
m m
part part
of of
the the
team team
that that
helped help
found find
the the
Mexican mexican
Wolf wolf
PUP pup
Foster foster
program program
. .
And and
let let
me me
tell tell
you you
, ,
it it
has have
been be
nerve nerve
wracking wrack
, ,
challenging challenge
, ,
but but
also also
incredibly incredibly
rewarding rewarding
. .
And and
just just
a a
few few
years year
ago ago
, ,
I i
was be
lucky lucky
enough enough
to to
see see
the the
successes success
of of
our our
foster foster
efforts effort
firsthand firsthand
. .
I i
and and
my my
team team
had have
a a
litter litter
of of
Mexican mexican
wolf wolf
pups pup
born bear
at at
our our
Saint saint
Louis louis
institution institution
, ,
whose whose
timing timing
matched match
perfectly perfectly
with with
when when
a a
wild wild
litter litter
of of
Mexican mexican
wolf wolf
pups pup
was be
born bear
. .
So so
they they
' '
d d
be be
about about
the the
same same
age age
and and
the the
same same
size size
. .
We we
went go
in in
to to
retrieve retrieve
a a
few few
of of
the the
pups pup
, ,
leaving leave
several several
for for
mom mom
and and
choosing choose
just just
a a
few few
for for
a a
chance chance
at at
a a
life life
in in
the the
wild wild
. .
One one
of of
the the
little little
ones one
that that
was be
chosen choose
for for
this this
journey journey
we we
named name
Max max
. .
I i
don don
' '
t t
know know
if if
it it
gets get
cuter cut
than than
that that
, ,
right right
? ?
Max max
and and
his his
brothers brother
and and
sisters sister
were be
only only
about about
two two
weeks week
old old
at at
the the
time time
of of
the the
foster foster
efforts effort
. .
Eyes eye
closed close
, ,
ears ear
closed close
, ,
tiny tiny
and and
helpless helpless
. .
We we
cared care
for for
the the
pups pup
, ,
feeding feed
them them
and and
keeping keep
them them
warm warm
during during
the the
entire entire
journey journey
from from
Saint saint
Louis louis
to to
the the
recovery recovery
area area
that that
straddles straddle
the the
border border
of of
Arizona arizona
and and
New new
Mexico mexico
. .
Once once
we we
arrived arrive
, ,
we we
had have
to to
travel travel
a a
bit bit
further further
into into
the the
recovery recovery
area area
, ,
and and
then then
we we
hiked hike
to to
the the
den den
along along
with with
our our
field field
partners partner
. .
The the
pups pup
safe safe
and and
secure secure
with with
us us
and and
specialized specialized
backpacks backpack
the the
whole whole
way way
. .
We we
could could
find find
the the
den den
because because
the the
GPS gps
collar collar
that that
the the
mother mother
was be
wearing wear
led lead
us us
to to
it it
. .
As as
we we
approached approach
, ,
she she
took take
off off
. .
I i
just just
want want
to to
pause pause
for for
a a
second second
. .
That that
is be
a a
great great
example example
of of
real real
wolf wolf
behavior behavior
. .
Wolves wolf
are be
shy shy
. .
They they
want want
nothing nothing
to to
do do
with with
people people
. .
They they
run run
away away
from from
us us
. .
So so
because because
of of
that that
, ,
we we
needed need
to to
work work
quickly quickly
. .
Once once
we we
got get
to to
the the
den den
, ,
we we
gave give
each each
of of
the the
pups pup
a a
health health
exam exam
. .
We we
gave give
each each
of of
them them
a a
small small
microchip microchip
like like
your your
dog dog
or or
cat cat
would would
get get
to to
help help
us us
keep keep
track track
of of
them them
throughout throughout
their their
lives life
. .
Then then
we we
took take
. .
Each each
puppy puppy
and and
made make
them them
smell smell
like like
each each
other other
by by
taking take
dirt dirt
from from
the the
den den
and and
urine urine
from from
the the
pups pup
and and
rubbing rub
it it
on on
all all
of of
them them
to to
hide hide
any any
scent scent
that that
might might
make make
them them
seem seem
a a
little little
different different
. .
Then then
we we
gently gently
placed place
Max max
and and
the the
rest rest
of of
the the
pups pup
into into
the the
wild wild
den den
so so
Mom mom
could could
come come
home home
and and
care care
for for
them them
. .
About about
a a
year year
later later
, ,
after after
placing place
Max max
into into
that that
wild wild
den den
, ,
I i
was be
assisting assist
field field
biologist biologist
with with
the the
annual annual
Mexican mexican
Wolf wolf
Population population
Survey survey
. .
With with
a a
population population
that that
' '
s s
critically critically
endangered endanger
, ,
it it
only only
takes take
a a
few few
weeks week
to to
get get
a a
count count
because because
there there
' '
s s
only only
a a
few few
hundred hundred
Mexican mexican
wolves wolf
left leave
in in
the the
wild wild
. .
I i
wanna wanna
put put
that that
in in
perspective perspective
for for
a a
second second
. .
There there
are be
three three
times time
as as
many many
of of
you you
in in
this this
audience audience
today today
. .
And and
there there
are be
Mexican mexican
wolves wolf
left leave
in in
the the
wild wild
. .
So so
this this
count count
is be
important important
. .
It it
helps help
us us
to to
make make
sure sure
that that
the the
population population
is be
stable stable
, ,
healthy healthy
, ,
hopefully hopefully
growing grow
, ,
so so
that that
we we
know know
if if
our our
conservation conservation
efforts effort
are be
working work
. .
Yep yep
. .
Sometimes sometimes
during during
this this
count count
, ,
we we
' '
re re
putting put
collars collar
on on
the the
wolves wolf
. .
The the
wolf wolf
just just
worked work
to to
dart dart
a a
wolf wolf
from from
each each
pack pack
, ,
let let
them them
fall fall
asleep asleep
, ,
and and
then then
place place
those those
radio radio
collars collar
on on
them them
. .
The the
collars collar
are be
important important
. .
They they
help help
us us
to to
keep keep
track track
of of
the the
wolves wolf
, ,
to to
learn learn
more more
about about
them them
, ,
and and
to to
help help
aid aid
conservation conservation
like like
the the
fostering foster
efforts effort
. .
Sometimes sometimes
we we
' '
re re
replacing replace
collars collar
that that
are be
old old
and and
the the
battery battery
is be
about about
to to
die die
and and
sometimes sometimes
, ,
which which
I i
think think
is be
super super
exciting exciting
. .
We we
' '
re re
placing place
a a
collar collar
on on
a a
new new
wolf wolf
for for
the the
very very
first first
time time
. .
One one
of of
the the
wolves wolf
that that
came come
in in
didn didn
' '
t t
have have
a a
collar collar
. .
I i
was be
super super
excited excited
and and
I i
knew know
it it
was be
a a
long long
shot shot
, ,
but but
I i
checked check
for for
a a
microchip microchip
just just
in in
case case
it it
happened happen
to to
be be
one one
of of
the the
pups pup
from from
from from
the the
litters litter
that that
we we
' '
d d
fostered foster
over over
the the
years year
. .
It it
' '
s s
the the
only only
pups pup
from from
those those
litters litter
have have
the the
microchips microchip
. .
We we
all all
held hold
our our
breath breath
as as
I i
scanned scan
. .
Then then
the the
reader reader
beeped beep
. .
It it
had have
found find
a a
microchip microchip
. .
We we
checked check
the the
number number
. .
And and
it it
was be
Max max
. .
Here here
. .
Lying lie
in in
front front
of of
me me
was be
a a
full full
grown grown
, ,
healthy healthy
and and
handsome handsome
wolf wolf
. .
The the
last last
time time
I i
had have
seen see
Max max
, ,
he he
was be
the the
size size
of of
a a
large large
potato potato
. .
Not not
only only
did do
he he
survive survive
, ,
but but
he he
was be
thriving thrive
. .
An an
exceptionally exceptionally
young young
age age
. .
He he
had have
already already
found find
a a
female female
appear appear
. .
The the
little little
Casanova casanova
. .
He he
was be
hunting hunt
elk elk
. .
He he
was be
staying stay
away away
from from
people people
. .
It it
was be
all all
of of
the the
right right
things thing
. .
His his
adopted adopt
parents parent
had have
done do
it it
. .
They they
had have
successfully successfully
shared share
their their
knowledge knowledge
of of
how how
to to
survive survive
in in
the the
wild wild
so so
that that
someday someday
he he
could could
have have
his his
own own
family family
. .
It it
was be
one one
of of
the the
most most
moving moving
moments moment
in in
my my
career career
. .
So so
many many
people people
had have
come come
together together
, ,
working work
together together
to to
save save
an an
endangered endangered
species species
. .
They they
were be
making make
a a
difference difference
using use
what what
nature nature
taught teach
us us
, ,
not not
what what
our our
culture culture
showed show
us us
. .
We we
saw see
that that
wolves wolf
are be
caring care
and and
family family
oriented orient
, ,
working work
hard hard
to to
make make
sure sure
that that
their their
children child
grow grow
up up
to to
be be
safe safe
, ,
successful successful
, ,
secure secure
, ,
just just
like like
we we
do do
for for
our our
own own
kids kid
. .
I i
want want
so so
badly badly
. .
Turn turn
the the
story story
here here
to to
leave leave
you you
with with
the the
image image
of of
Max max
running run
free free
in in
the the
wilderness wilderness
with with
his his
family family
. .
But but
sadly sadly
, ,
a a
few few
months month
after after
seeing see
Max max
, ,
I i
received receive
the the
news news
that that
he he
had have
been be
shot shoot
and and
killed kill
. .
Someone someone
saw see
Max max
as as
something something
to to
be be
feared fear
. .
Imagine imagine
what what
we we
could could
save save
if if
we we
could could
see see
wildlife wildlife
differently differently
. .
Every every
single single
pup pup
we we
foster foster
is be
vital vital
. .
And and
the the
Biology biology
works work
. .
So so
I i
have have
hope hope
. .
I i
have have
hope hope
because because
other other
pups pup
that that
we we
have have
fostered foster
to to
the the
wild wild
have have
made make
it it
. .
As as
of of
today today
, ,
we we
have have
fostered foster
close close
to to
a a
hundred hundred
wolf wolf
pups pup
into into
the the
wild wild
. .
And and
we we
have have
fostered foster
from from
over over
ten ten
different different
zoos zoo
across across
the the
country country
, ,
again again
, ,
working work
together together
. .
And and
the the
coolest cool
part part
is be
that that
about about
20 @card@
% %
of of
Mexican mexican
wolf wolf
packs pack
in in
the the
wild wild
are be
now now
led lead
by by
a a
foster foster
or or
their their
offspring offspring
who who
have have
survived survive
grown grow
up up
and and
become become
their their
own own
leaders leader
. .
The the
biology biology
works work
, ,
but but
this this
goes go
beyond beyond
the the
biology biology
. .
Now now
it it
' '
s s
up up
to to
us us
to to
change change
the the
story story
so so
that that
this this
fairy fairy
tale tale
has have
a a
happy happy
ending ending
. .
Max max
is be
reminder reminder
to to
us us
of of
what what
our our
cultural cultural
stereotypes stereotype
can can
do do
. .
They they
might might
seem seem
harmless harmless
, ,
but but
the the
fear fear
that that
these these
stereotypes stereotype
instills instill
may may
cause cause
damage damage
. .
We we
need need
to to
take take
a a
step step
back back
. .
No no
matter matter
what what
living living
creature creature
we we
' '
re re
talking talk
about about
. .
We we
need need
to to
put put
ourselves ourselves
in in
their their
shoes shoe
. .
And and
think think
that that
maybe maybe
what what
we we
think think
we we
know know
about about
them them
might might
not not
be be
right right
. .
So so
we we
are be
each each
tasked task
with with
becoming become
stewards steward
for for
wildlife wildlife
. .
First first
seeing see
them them
through through
a a
new new
lens lens
with with
understanding understand
that that
living living
with with
wildlife wildlife
benefits benefit
us us
, ,
with with
being be
a a
voice voice
for for
them them
. .
Be be
a a
voice voice
for for
the the
bees bee
, ,
for for
the the
fish fish
, ,
for for
the the
owls owl
, ,
for for
bison bison
, ,
for for
all all
wildlife wildlife
, ,
including include
wolves wolf
. .
Just just
like like
Max max
. .
