Many many
appear appear
to to
be be
important important
for for
therapeutic therapeutic
changes change
. .
Patients patient
report report
a a
sense sense
of of
connection connection
, ,
or or
the the
interconnectedness interconnectedness
of of
all all
things thing
; ;
a a
sense sense
of of
preciousness preciousness
or or
sacredness sacredness
to to
the the
experience experience
; ;
and and
a a
deep deep
sense sense
that that
this this
reveals reveal
something something
true true
or or
fundamental fundamental
about about
the the
nature nature
of of
reality reality
. .
The the
second second
quality quality
is be
the the
combination combination
of of
a a
drug drug
administration administration
with with
a a
therapeutic therapeutic
protocol protocol
. .
This this
is be
not not
simply simply
about about
taking take
a a
pill pill
and and
expecting expect
a a
result result
. .
This this
is be
a a
form form
of of
assisted assist
psychotherapy psychotherapy
with with
specific specific
preparation preparation
, ,
support support
through through
the the
session session
itself itself
and and
integration integration
following following
. .
One one
' '
s s
intentions intention
matter matter
. .
A a
patient patient
' '
s s
mental mental
preparation preparation
going go
into into
a a
session session
can can
profoundly profoundly
shape shape
the the
impact impact
of of
the the
experience experience
. .
How how
these these
tools tool
are be
employed employ
is be
central central
to to
their their
effect effect
. .
One one
current current
model model
for for
understanding understand
brain brain
changes change
with with
psychedelic psychedelic
drugs drug
examines examine
changes change
in in
connectivity connectivity
between between
different different
brain brain
regions region
. .
With with
administration administration
of of
psilocybin psilocybin
, ,
the the
brain brain
temporarily temporarily
enters enter
a a
state state
of of
global global
increase increase
in in
integration integration
and and
interconnection interconnection
across across
different different
neural neural
networks network
that that
are be
normally normally
compartmentalized compartmentalize
. .
Simply simply
put put
, ,
brain brain
regions region
that that
normally normally
don don
' '
t t
talk talk
to to
each each
other other
are be
now now
conversing converse
. .
Of of
course course
, ,
this this
doesn doesn
' '
t t
last last
, ,
but but
as as
the the
brain brain
cools cool
from from
this this
experience experience
, ,
previously previously
rigid rigid
patterns pattern
of of
neural neural
connectivity connectivity
related relate
to to
the the
beliefs belief
characteristic characteristic
of of
, ,
say say
, ,
depression depression
, ,
are be
softened soften
, ,
given give
some some
wiggle wiggle
room room
, ,
some some
flexibility flexibility
is be
introduced introduce
into into
the the
system system
. .
Current current
models model
of of
psilocybin-assisted psilocybin-assisted
therapy therapy
in in
clinical clinical
trials trial
involve involve
two two
therapists therapist
per per
person person
through through
a a
process process
that that
is be
generally generally
20 @card@
or or
more more
hours hour
. .
Our our
research research
group group
at at
the the
University university
of of
Utah utah
has have
naturally naturally
asked ask
the the
question question
, ,
can can
we we
do do
this this
in in
groups group
to to
expand expand
the the
scale scale
on on
which which
these these
promising promising
treatments treatment
can can
be be
delivered deliver
? ?
Now now
, ,
in in
a a
way way
, ,
this this
is be
nothing nothing
new new
. .
Psychedelics psychedelics
have have
been be
used use
in in
group group
context context
for for
millennia millennium
by by
Indigenous indigenous
groups group
. .
This this
includes include
ceremonial ceremonial
use use
of of
psilocybe psilocybe
mushrooms mushroom
, ,
San san
Pedro pedro
cactus cactus
and and
ayahuasca ayahuasca
, ,
the the
dimethyltryptamine dimethyltryptamine
containing contain
South south
and and
Central central
American american
brew brew
. .
But but
when when
we we
look look
at at
modern modern
studies study
, ,
these these
have have
focused focus
on on
individuals individual
and and
individual individual
sessions session
. .
But but
going go
deeper deeper
, ,
group group
process process
is be
about about
connection connection
and and
shared shared
experience experience
. .
If if
these these
forms form
of of
suffering suffer
we we
' '
re re
looking look
at at
in in
our our
studies study
, ,
depression depression
associated associate
with with
cancer cancer
, ,
health health
care care
provider provider
burnout burnout
, ,
are be
characterized characterize
in in
part part
by by
a a
loss loss
of of
connection connection
, ,
exploring explore
these these
tools tool
in in
supported support
shared shared
experiences experience
makes make
sense sense
, ,
potentially potentially
enhancing enhance
therapeutic therapeutic
aspects aspect
of of
group group
process process
that that
are be
already already
there there
. .
Last last
year year
, ,
our our
research research
group group
completed complete
the the
HOPE hope
trial trial
. .
This this
was be
a a
pilot pilot
study study
of of
group group
psilocybin-assisted psilocybin-assisted
therapy therapy
for for
12 @card@
patients patient
dealing deal
with with
symptoms symptom
of of
depression depression
associated associate
with with
a a
cancer cancer
diagnosis diagnosis
. .
We we
ran run
groups group
of of
four four
participants participant
at at
a a
time time
. .
Patients patient
with with
cancer cancer
are be
a a
well-studied well-studied
population population
with with
psilocybin psilocybin
in in
individual individual
formats format
. .
These these
previous previous
studies study
have have
shown show
significant significant
and and
enduring enduring
therapeutic therapeutic
effects effect
that that
have have
been be
sustained sustain
for for
years year
following follow
even even
a a
single single
dosing dose
session session
. .
Our our
study study
is be
the the
first first
modern modern
trial trial
to to
employ employ
a a
full full
group group
format format
. .
All all
three three
of of
our our
preparatory preparatory
sessions session
, ,
our our
single single
eight-hour eight-hour
dosing dose
session session
and and
our our
three three
integration integration
sessions session
were be
run run
as as
groups group
. .
This this
was be
a a
small small
study study
designed design
to to
look look
at at
safety safety
and and
feasibility feasibility
, ,
but but
we we
found find
a a
clear clear
signal signal
that that
the the
group group
format format
may may
amplify amplify
the the
sense sense
of of
connection connection
that that
we we
know know
is be
important important
in in
treating treat
depressive depressive
symptoms symptom
. .
The the
group group
format format
requires require
thoughtful thoughtful
preparation preparation
. .
The the
neighbor neighbor
on on
your your
right right
may may
be be
giggling giggle
uncontrollably uncontrollably
while while
the the
neighbor neighbor
on on
your your
left left
is be
sobbing sob
. .
One one
mantra mantra
we we
use use
through through
this this
process process
is be
, ,
all all
is be
welcome welcome
. .
All all
is be
welcome welcome
. .
We we
learned learn
this this
mantra mantra
from from
Mary mary
Cosimano cosimano
, ,
a a
mentor mentor
of of
ours ours
at at
Johns johns
Hopkins hopkins
. .
This this
mantra mantra
is be
about about
saying say
, ,
" "
Yes yes
! !
" "
It it
is be
about about
opening open
up up
to to
whatever whatever
is be
coming come
up up
for for
you you
personally personally
, ,
but but
also also
what what
is be
coming come
up up
in in
the the
whole whole
room room
. .
All all
is be
welcome welcome
. .
The the
processes process
of of
others other
around around
you you
are be
not not
a a
distraction distraction
. .
They they
are be
there there
for for
you you
, ,
and and
you you
for for
them them
. .
In in
this this
spirit spirit
, ,
our our
study study
used use
a a
communal communal
music music
playlist playlist
played play
over over
speakers speaker
rather rather
than than
individual individual
headphones headphones
, ,
to to
emphasize emphasize
and and
add add
to to
this this
collective collective
experience experience
. .
I i
wonder wonder
what what
this this
would would
be be
like like
for for
all all
of of
you you
right right
now now
to to
fully fully
welcome welcome
everything everything
coming come
up up
in in
this this
space space
. .
Excitement excitement
for for
this this
event event
, ,
social social
dynamics dynamics
of of
a a
large large
crowd crowd
, ,
your your
private private
joys joy
and and
sorrows sorrow
, ,
your your
connection connection
with with
a a
person person
on on
this this
stage stage
. .
Maybe maybe
even even
your your
anxiety anxiety
, ,
" "
They they
might might
screw screw
it it
up up
. .
" "
All all
is be
welcome welcome
. .
Our our
study study
showed show
that that
this this
treatment treatment
can can
be be
safely safely
and and
effectively effectively
administered administer
in in
a a
group group
format format
. .
Our our
participants participant
demonstrated demonstrate
significant significant
improvement improvement
in in
depressive depressive
symptoms symptom
that that
was be
sustained sustain
to to
our our
final final
endpoint endpoint
at at
six six
months month
. .
Furthermore furthermore
, ,
participants participant
felt feel
strongly strongly
that that
the the
group group
format format
was be
a a
critical critical
component component
of of
their their
process process
. .
We we
are be
still still
in in
the the
early early
stages stage
of of
understanding understand
how how
to to
use use
psilocybin-assisted psilocybin-assisted
therapy therapy
as as
a a
tool tool
in in
mental mental
health health
care care
. .
The the
HOPE hope
trial trial
is be
a a
small small
step step
in in
the the
ongoing ongoing
development development
of of
this this
field field
towards towards
understanding understand
how how
to to
harness harness
and and
sustain sustain
the the
kinds kind
of of
connectedness connectedness
that that
patients patient
experience experience
, ,
and and
towards towards
expanding expand
access access
for for
people people
suffering suffer
with with
difficult-to-treat difficult-to-treat
conditions condition
. .
What what
if if
, ,
instead instead
of of
trying try
to to
fit fit
psychedelic-assisted psychedelic-assisted
therapy therapy
into into
psychiatry psychiatry
, ,
we we
asked ask
, ,
how how
can can
we we
make make
psychiatry psychiatry
more more
psychedelic psychedelic
? ?
Thank thank
you you
very very
much much
. .
