Hello hello
could could
hold hold
in in
your your
hand hand
or or
eat eat
off off
of of
like like
plates plate
. .
I i
also also
intentionally intentionally
avoided avoid
any any
kind kind
of of
sexual sexual
imagery imagery
, ,
any any
kind kind
of of
graphic graphic
, ,
close-up close-up
, ,
literal literal
depictions depiction
. .
I i
think think
that that
everywhere everywhere
we we
see see
the the
exposed exposed
female female
body body
, ,
and and
yet yet
we we
don don
' '
t t
know know
the the
actual actual
female female
sexual sexual
organ organ
, ,
the the
clitoris clitoris
. .
So so
showing show
it it
is be
not not
the the
point point
, ,
right right
? ?
Understanding understand
it it
is be
the the
point point
. .
Literacy literacy
of of
it it
, ,
knowledge knowledge
of of
it it
is be
the the
point point
. .
[ [
The the
hole hole
is be
not not
the the
whole whole
] ]
The the
hole hole
is be
not not
the the
whole whole
. .
With with
Cliteracy cliteracy
I i
had have
a a
lot lot
of of
fun fun
with with
word-play word-play
. .
There there
was be
just just
so so
much much
material material
to to
work work
with with
and and
so so
much much
to to
talk talk
about about
. .
I i
also also
am be
making make
the the
radical radical
claim claim
with with
Cliteracy cliteracy
that that
we we
can can
' '
t t
truly truly
be be
free free
if if
our our
bodies body
are be
assailed assail
. .
We we
can can
' '
t t
truly truly
be be
fully fully
enjoying enjoy
our our
democracy democracy
when when
half half
of of
the the
population population
can can
' '
t t
speak speak
about about
their their
own own
body body
, ,
is be
censored censor
when when
they they
say say
the the
words word
because because
these these
words word
are be
taboo taboo
, ,
or or
are be
regularly regularly
having have
sex sex
without without
orgasms orgasm
. .
And and
we we
don don
' '
t t
talk talk
about about
this this
. .
I i
' '
m m
making make
the the
radical radical
claim claim
that that
freedom freedom
in in
society society
can can
also also
be be
measured measure
by by
the the
distribution distribution
of of
orgasms orgasm
. .
This this
could could
be be
one one
indicator indicator
that that
we we
use use
when when
we we
look look
at at
education education
, ,
access access
to to
health health
care care
, ,
economics economics
. .
We we
could could
also also
say say
: :
How how
are be
orgasms orgasm
being be
distributed distribute
? ?
That that
tells tell
us us
something something
about about
a a
society society
. .
There there
is be
no no
lack lack
. .
Truly truly
. .
Freud freud
invented invent
the the
paradigm paradigm
of of
the the
phallus phallus
versus versus
the the
lack lack
. .
He he
said say
that that
men man
have have
the the
phallus phallus
, ,
they they
have have
the the
penis penis
, ,
they they
have have
agency agency
; ;
women woman
have have
a a
lack lack
, ,
they they
have have
a a
vagina vagina
, ,
they they
have have
a a
void void
. .
In in
fact fact
, ,
Freud freud
was be
wrong wrong
, ,
the the
vagina vagina
is be
not not
the the
female female
sexual sexual
organ organ
, ,
it it
is be
the the
clitoris clitoris
. .
There there
is be
no no
lack lack
, ,
none none
of of
us us
have have
lack lack
, ,
none none
of of
us us
are be
lacking lack
, ,
we we
' '
re re
all all
whole whole
. .
And and
none none
of of
us us
need need
to to
be be
depicted depict
in in
terms term
solely solely
of of
a a
void void
. .
[ [
Girls girl
are be
taught teach
it it
' '
s s
normal normal
for for
sex sex
to to
hurt hurt
. .
Phallusy phallusy
. .
] ]
In in
many many
ways way
, ,
all all
of of
us us
have have
had have
a a
psychological psychological
clitoridectomy clitoridectomy
because because
the the
clitoris clitoris
is be
never never
taught teach
. .
In in
sex sex
education education
it it
is be
taught teach
that that
boys boy
are be
both both
sexual sexual
and and
reproductive reproductive
, ,
boys boy
have have
erections erection
, ,
boys boy
have have
wet wet
dreams dream
, ,
boys boy
ejaculate ejaculate
, ,
and and
then then
the the
semen semen
fertilizes fertilize
the the
egg egg
. .
Girls girl
, ,
we we
' '
re re
taught teach
, ,
have have
reproductive reproductive
organs organ
, ,
they they
menstruate menstruate
, ,
menstruation menstruation
is be
painful painful
. .
Girls girl
should should
not not
get get
pregnant pregnant
if if
they they
don don
' '
t t
mean mean
to to
. .
Girls girl
should should
not not
get get
sexually sexually
transmitted transmitted
diseases disease
. .
We we
never never
learn learn
about about
the the
clitoris clitoris
. .
We we
never never
learn learn
that that
girls girl
have have
desire desire
, ,
that that
this this
is be
natural natural
, ,
that that
girls girl
have have
sexual sexual
dreams dream
, ,
that that
girls girl
have have
fantasies fantasy
. .
So so
already already
, ,
as as
a a
culture culture
, ,
I i
would would
say say
we we
all all
have have
clitoridectomies clitoridectomies
. .
' '
Clitoris clitoris
, ,
say say
my my
name name
, ,
say say
my my
name name
. .
' '
I i
really really
enjoyed enjoy
using use
word-play word-play
and and
putting put
the the
clitoris clitoris
into into
popular popular
culture culture
and and
song song
lyrics lyric
. .
So so
much much
of of
popular popular
culture culture
, ,
music music
- -
the the
female female
genitals genitals
are be
kind kind
of of
riffed riff
on on
but but
almost almost
always always
in in
a a
negative negative
way way
. .
If if
you you
want want
to to
humiliate humiliate
a a
man man
, ,
call call
him him
a a
word word
for for
female female
genitals genitals
, ,
right right
? ?
But but
this this
is be
also also
an an
opportunity opportunity
, ,
you you
can can
just just
pop pop
in in
the the
clit clit
, ,
and and
suddenly suddenly
the the
whole whole
song song
changes change
; ;
it it
' '
s s
very very
powerful powerful
. .
So so
, ,
this this
is be
a a
Destiny destiny
' '
s s
Child child
song song
, ,
there there
' '
re re
many many
more more
in in
the the
Laws laws
of of
Cliteracy cliteracy
like like
' '
Ain ain
' '
t t
no no
half-stepping half-step
to to
the the
clit clit
, ,
' '
' '
Sleeping sleeping
on on
the the
clit clit
? ?
That that
shit shit
cray cray
' '
, ,
which which
it it
is be
. .
Here here
' '
s s
an an
example example
from from
looking look
below below
at at
the the
100 @card@
Laws laws
of of
Cliteracy cliteracy
. .
So so
this this
work work
spans span
13 @card@
feet foot
long long
by by
10 @card@
feet foot
tall tall
. .
It it
dwarfs dwarf
anyone anyone
' '
s s
body body
. .
When when
I i
first first
showed show
this this
work work
, ,
I i
had have
no no
idea idea
what what
the the
response response
would would
be be
. .
Of of
course course
, ,
I i
was be
hoping hope
it it
would would
be be
positive positive
, ,
but but
I i
didn didn
' '
t t
know know
. .
And and
I i
have have
to to
say say
, ,
I i
was be
overwhelmed overwhelm
with with
the the
way way
audiences audience
responded respond
. .
They they
really really
wanted want
to to
have have
this this
conversation conversation
. .
They they
would would
stay stay
with with
the the
work work
for for
15 @card@
minutes minute
. .
I i
would would
come come
back back
, ,
they they
would would
still still
be be
there there
, ,
they they
would would
have have
friends friend
with with
them them
. .
And and
I i
felt feel
like like
this this
work work
was be
needed need
. .
I i
was be
invited invite
to to
speak speak
about about
it it
a a
lot lot
, ,
and and
I i
was be
also also
contacted contact
privately privately
. .
People people
shared share
secrets secret
with with
me me
, ,
people people
told tell
me me
for for
the the
first first
time time
they they
didn didn
' '
t t
feel feel
ashamed ashamed
about about
their their
body body
, ,
or or
they they
went go
home home
with with
this this
knowledge knowledge
and and
are be
having have
a a
great great
time time
with with
their their
girlfriend girlfriend
, ,
and and
wanted want
to to
thank thank
me me
for for
that that
. .
So so
this this
was be
extremely extremely
gratifying gratifying
. .
I i
think think
for for
me me
, ,
what what
made make
me me
feel feel
like like
I i
was be
onto onto
something something
was be
that that
such such
a a
diverse diverse
group group
of of
people people
supported support
this this
project project
: :
men man
and and
women woman
, ,
young young
and and
old old
, ,
religious religious
and and
secular secular
, ,
queer queer
and and
straight straight
. .
So so
many many
people people
came come
together together
to to
support support
this this
project project
. .
And and
I i
was be
contacted contact
by by
people people
from from
as as
far far
as as
New new
Zealand zealand
, ,
Egypt egypt
, ,
Brazil brazil
, ,
saying say
: :
' '
How how
can can
we we
help help
you you
with with
this this
project project
? ?
Can can
you you
translate translate
this this
project project
into into
Arabic arabic
or or
into into
Portuguese portuguese
, ,
like like
, ,
we we
need need
this this
here here
in in
our our
country country
. .
' '
I i
wanted want
Cliteracy cliteracy
to to
go go
everywhere everywhere
, ,
but but
I i
didn didn
' '
t t
know know
how how
to to
do do
that that
yet yet
, ,
and and
I i
' '
m m
still still
figuring figure
that that
out out
. .
But but
I i
know know
that that
it it
' '
s s
needed need
. .
And and
I i
know know
that that
it it
can can
' '
t t
just just
stay stay
within within
the the
walls wall
of of
the the
art art
world world
. .
I i
don don
' '
t t
consider consider
myself myself
a a
street street
artist artist
, ,
but but
I i
began begin
making make
work work
on on
the the
street street
for for
the the
same same
reason reason
that that
I i
think think
a a
lot lot
of of
artist artist
do do
- -
I i
wanted want
to to
communicate communicate
more more
broadly broadly
. .
This this
is be
an an
example example
from from
a a
documentary documentary
of of
just just
me me
putting put
up up
some some
pieces piece
. .
These these
are be
prints print
that that
I i
made make
on on
a a
news news
print print
, ,
then then
I i
' '
m m
putting put
them them
up up
with with
wheat wheat
paste paste
just just
like like
old old
posters poster
were be
put put
up up
. .
I i
' '
m m
just just
doing do
this this
in in
Brooklyn brooklyn
. .
Some some
people people
like like
to to
do do
street street
art art
at at
the the
night night
time time
, ,
I i
do do
it it
in in
the the
day day
because because
I i
feel feel
like like
it it
' '
s s
a a
little little
safer safe
, ,
the the
anonymity anonymity
of of
the the
crowd crowd
in in
New new
York york
. .
So so
far far
so so
good good
. .
And and
one one
of of
the the
cool cool
things thing
about about
doing do
street street
art art
is be
that that
people people
will will
comment comment
on on
your your
work work
. .
Sometimes sometimes
they they
cross cross
it it
out out
or or
destroy destroy
it it
, ,
but but
other other
times time
they they
put put
their their
art art
on on
top top
of of
it it
. .
And and
in in
this this
case case
that that
happened happen
. .
Again again
, ,
like like
when when
I i
showed show
the the
work work
in in
the the
gallery gallery
, ,
on on
the the
street street
there there
was be
a a
big big
response response
, ,
people people
would would
photograph photograph
it it
, ,
they they
would would
post post
it it
on on
Twitter twitter
and and
Instagram instagram
. .
And and
it it
felt feel
like like
I i
was be
talking talk
about about
something something
that that
needed need
to to
be be
talked talk
about about
, ,
that that
the the
project project
was be
needed need
and and
people people
were be
grateful grateful
to to
find find
it it
and and
to to
keep keep
pushing push
it it
out out
there there
more more
. .
Doing do
the the
street street
work work
emboldened embolden
me me
to to
take take
on on
even even
crazier crazy
ideas idea
that that
I i
never never
thought think
I i
would would
find find
myself myself
doing do
. .
And and
I i
actually actually
, ,
together together
with with
an an
artist artist
named name
Clit clit
Eastwood eastwood
, ,
or or
Ken ken
Thomas thomas
, ,
held hold
the the
world world
' '
s s
first-ever first-ever
clit clit
rodeo rodeo
last last
summer summer
. .
We we
created create
a a
rideable rideable
golden golden
clit clit
. .
And and
we we
held hold
the the
first first
clit clit
rodeo rodeo
. .
And and
, ,
you you
know know
, ,
there there
were be
two two
rules rule
to to
the the
rodeo rodeo
. .
Basically basically
, ,
one one
: :
respect respect
the the
clit clit
. .
Respect respect
it it
. .
Two two
: :
have have
fun fun
. .
Those those
were be
the the
rules rule
. .
We we
had have
so so
many many
riders rider
who who
wanted want
to to
ride ride
, ,
more more
than than
we we
could could
host host
for for
our our
event event
. .
But but
the the
riders rider
were be
judged judge
on on
three three
categories category
: :
dexterity dexterity
, ,
style style
and and
generosity generosity
. .
And and
they they
were be
really really
good good
riders rider
, ,
I i
have have
to to
say say
. .
I i
was be
worried worry
that that
it it
might might
get get
a a
little little
boring boring
because because
as as
you you
saw see
on on
the the
previous previous
slide slide
, ,
it it
was be
just just
a a
spring spring
. .
But but
people people
were be
reading read
erotica erotica
to to
the the
clit clit
, ,
someone someone
did do
a a
striptease striptease
for for
the the
clit clit
, ,
someone someone
surfed surf
the the
clit clit
, ,
someone someone
offered offer
a a
cigarette cigarette
to to
the the
clit clit
, ,
and and
then then
, ,
like like
- -
There there
was be
a a
couple couple
where where
the the
woman woman
was be
nine-months-pregnant nine-months-pregnant
; ;
she she
was be
riding ride
, ,
and and
her her
husband husband
was be
in in
the the
background background
as as
her her
backup backup
dancer dancer
, ,
dancing dance
around around
. .
. .
. .
So so
, ,
it it
was be
way way
better good
than than
I i
ever ever
expected expect
. .
I i
just just
was be
thrilled thrill
because because
the the
clit clit
was be
the the
star star
of of
the the
show show
. .
Finally finally
! !
I i
' '
ve ve
always always
wanted want
Cliteracy cliteracy
to to
be be
in in
the the
public public
space space
, ,
to to
be be
at at
large large
scale scale
, ,
to to
be be
seen see
over over
time time
, ,
not not
to to
have have
to to
be be
hidden hide
away away
or or
be be
a a
secret secret
. .
And and
I i
had have
the the
opportunity opportunity
last last
fall fall
. .
Together together
with with
Center center
and and
Santa santa
Fe fe
we we
put put
up up
a a
35 @card@
feet foot
billboard billboard
of of
Cliteracy cliteracy
, ,
or or
11 @card@
metre metre
billboard billboard
. .
The the
text text
says say
: :
' '
Democracy democracy
without without
cliteracy cliteracy
- -
phallusy phallusy
' '
. .
And and
I i
was be
thrilled thrill
to to
do do
this this
, ,
especially especially
because because
where where
it it
was be
on on
this this
highway highway
is be
travelled travel
by by
such such
a a
broad broad
range range
of of
people people
, ,
from from
long-haul long-haul
truck truck
drivers driver
to to
art art
collectors collector
and and
everyone everyone
in in
between between
. .
The the
billboard billboard
company company
was be
a a
little little
bit bit
less less
psyched psych
about about
how how
much much
feedback feedback
they they
got get
about about
the the
billboard billboard
, ,
but but
I i
thought think
this this
was be
great great
. .
A a
lot lot
of of
people people
were be
like like
: :
' '
What what
are be
you you
selling sell
? ?
I i
don don
' '
t t
understand understand
. .
' '
I i
actually actually
got get
a a
call call
that that
I i
' '
ll ll
never never
forget forget
from from
a a
mom mom
, ,
saying say
: :
' '
I i
have have
to to
drive drive
this this
route route
with with
my my
son son
every every
day day
, ,
and and
I i
don don
' '
t t
know know
what what
to to
tell tell
him him
. .
' '
But but
I i
was be
thrilled thrill
because because
she she
' '
s s
going go
to to
talk talk
to to
him him
about about
cliteracy cliteracy
, ,
and and
this this
is be
something something
that that
he he
needs need
to to
know know
about about
. .
Cliteracy cliteracy
needs need
more more
than than
text text
though though
, ,
and and
I i
always always
knew know
that that
I i
wanted want
to to
explore explore
the the
form form
as as
well well
. .
None none
of of
us us
know know
this this
form form
, ,
right right
? ?
I i
didn didn
' '
t t
know know
this this
form form
. .
So so
I i
set set
about about
making make
the the
world world
' '
s s
first first
anatomically anatomically
correct correct
sculpture sculpture
of of
the the
clitoris clitoris
. .
And and
this this
was be
something something
that that
was be
actually actually
quite quite
hard hard
to to
do do
because because
there there
are be
so so
few few
accurate accurate
representations representation
of of
the the
anatomy anatomy
. .
And and
when when
you you
find find
these these
very very
few few
drawings drawing
or or
scans scan
, ,
they they
contradict contradict
each each
other other
, ,
they they
don don
' '
t t
make make
sense sense
. .
So so
, ,
it it
was be
actually actually
not not
that that
easy easy
to to
do do
, ,
but but
I i
set set
about about
making make
this this
form form
. .
With with
the the
form form
I i
wanted want
to to
not not
only only
explore explore
the the
anatomy anatomy
and and
get get
it it
accurate accurate
, ,
but but
I i
also also
wanted want
to to
show show
the the
gesture gesture
of of
beauty beauty
of of
this this
organ organ
and and
the the
gracefulness gracefulness
of of
it it
. .
Here here
is be
the the
first first
sculpture sculpture
that that
I i
know know
of of
of of
the the
anatomically anatomically
correct correct
clitoris clitoris
. .
It it
' '
s s
six six
feet foot
tall tall
and and
five five
feet foot
wide wide
. .
And and
I i
wanted want
to to
create create
an an
iconic iconic
form form
of of
this this
unseen unseen
organ organ
half half
of of
us us
have have
, ,
all all
of of
us us
were be
born bear
through through
the the
body body
of of
someone someone
that that
has have
a a
clitoris clitoris
. .
Everyone everyone
in in
this this
room room
was be
born bear
through through
the the
body body
of of
someone someone
that that
has have
a a
clitoris clitoris
. .
So so
all all
of of
us us
have have
been be
touched touch
by by
the the
clitoris clitoris
. .
This this
is be
universal universal
and and
yet yet
we we
don don
' '
t t
know know
about about
it it
. .
So so
I i
wanted want
to to
create create
an an
iconic iconic
form form
that that
' '
s s
memorable memorable
, ,
that that
puts put
this this
into into
our our
consciousness consciousness
. .
And and
I i
hope hope
that that
finally finally
this this
form form
would would
be be
treated treat
with with
honour honour
and and
respect respect
and and
not not
be be
treated treat
as as
obscene obscene
. .
I i
think think
it it
' '
s s
a a
beautiful beautiful
form form
, ,
and and
I i
didn didn
' '
t t
know know
it it
, ,
but but
once once
I i
saw see
it it
, ,
it it
started start
to to
feel feel
familiar familiar
in in
this this
way way
. .
And and
I i
started start
to to
see see
it it
around around
in in
the the
natural natural
world world
, ,
in in
plants plant
. .
I i
also also
saw see
it it
in in
engravings engraving
, ,
on on
architectural architectural
sites site
. .
I i
saw see
it it
in in
weavings weaving
of of
oriental oriental
tapestries tapestry
. .
I i
started start
to to
see see
it it
around around
. .
And and
that that
was be
very very
exciting exciting
. .
And and
the the
form form
is be
interesting interesting
not not
strictly strictly
as as
a a
sculpture sculpture
, ,
but but
in in
patterns pattern
. .
There there
' '
s s
something something
very very
exciting exciting
about about
looking look
into into
the the
power power
of of
the the
small small
, ,
the the
power power
of of
multiplicity multiplicity
. .
Instead instead
of of
creating create
just just
this this
singular singular
superior superior
object object
, ,
what what
about about
putting put
all all
these these
tiny tiny
beautiful beautiful
forms form
that that
together together
form form
a a
baby-clit baby-clit
army army
. .
The the
one one
on on
the the
right right
, ,
I i
call call
it it
' '
Fleur-de-clits fleur-de-clits
' '
, ,
and and
the the
one one
on on
the the
left left
was be
later later
used use
in in
the the
intervention intervention
at at
the the
Whitney whitney
Museum museum
. .
So so
here here
' '
s s
a a
sort sort
of of
subversive subversive
clit clit
army army
coming come
together together
to to
make make
the the
' '
Fleur-de-clit fleur-de-clit
' '
, ,
which which
is be
this this
beautiful beautiful
pattern pattern
. .
But but
unfortunately unfortunately
, ,
if if
some some
people people
knew know
what what
it it
was be
, ,
it it
wouldn wouldn
' '
t t
be be
allowed allow
to to
be be
. .
And and
that that
' '
s s
sort sort
of of
the the
rub rub
of of
it it
. .
Here here
is be
an an
example example
of of
more more
clit clit
forms form
and and
patterns pattern
that that
I i
created create
. .
This this
is be
a a
clit clit
damask damask
pattern pattern
with with
clit clit
forms form
burnished burnish
onto onto
wood wood
. .
On on
the the
left left
is be
a a
new new
sculpture sculpture
. .
So so
, ,
this this
is be
the the
first first
sketch sketch
of of
an an
invisible invisible
clit clit
sculpture sculpture
. .
It it
' '
s s
the the
same same
digital digital
form form
that that
I i
used use
to to
make make
the the
gold gold
sculpture sculpture
I i
just just
showed show
to to
you you
. .
But but
this this
exists exist
in in
the the
negative negative
space space
. .
So so
I i
used use
the the
laser laser
to to
actually actually
cut cut
out out
the the
form form
from from
clear clear
plexiglass plexiglass
. .
And and
so so
this this
invisible invisible
sculpture sculpture
addresses address
the the
fact fact
that that
this this
is be
omnipresent omnipresent
, ,
and and
yet yet
it it
' '
s s
negated negate
, ,
it it
' '
s s
invisible invisible
, ,
it it
' '
s s
not not
allowed allow
to to
be be
spoken speak
of of
. .
I i
also also
continued continue
with with
this this
idea idea
of of
negation negation
and and
