Let let
us us
a a
hypothesis hypothesis
to to
test test
, ,
in in
biology biology
, ,
that that
we we
wouldn wouldn
' '
t t
have have
thought think
of of
. .
So so
of of
course course
, ,
in in
reality reality
, ,
we we
were be
then then
panicked panic
, ,
being be
the the
biologists biologist
, ,
and and
we we
should should
know know
this this
already already
. .
We we
said say
, ,
" "
Well well
, ,
what what
do do
tails tail
do do
? ?
" "
Well well
we we
know know
that that
tails tail
store store
fat fat
, ,
for for
example example
. .
We we
know know
that that
you you
can can
grab grab
onto onto
things thing
with with
them them
. .
And and
perhaps perhaps
it it
is be
most most
well well
known know
that that
they they
provide provide
static static
balance balance
. .
It it
can can
also also
act act
as as
a a
counterbalance counterbalance
. .
So so
watch watch
this this
kangaroo kangaroo
. .
See see
that that
tail tail
? ?
That that
' '
s s
incredible incredible
! !
Marc marc
Raibert raibert
built build
a a
Uniroo uniroo
hopping hopping
robot robot
. .
And and
it it
was be
unstable unstable
without without
its its
tail tail
. .
Now now
mostly mostly
tails tail
limit limit
maneuverability maneuverability
, ,
like like
this this
human human
inside inside
this this
dinosaur dinosaur
suit suit
. .
My my
colleagues colleague
actually actually
went go
on on
to to
test test
this this
limitation limitation
, ,
by by
increasing increase
the the
moment moment
of of
inertia inertia
of of
a a
student student
, ,
so so
they they
had have
a a
tail tail
, ,
and and
running run
them them
through through
and and
obstacle obstacle
course course
, ,
and and
found find
a a
decrement decrement
in in
performance performance
, ,
like like
you you
' '
d d
predict predict
. .
But but
of of
course course
, ,
this this
is be
a a
passive passive
tail tail
. .
And and
you you
can can
also also
have have
active active
tails tail
. .
And and
when when
I i
went go
back back
to to
research research
this this
, ,
I i
realized realize
that that
one one
of of
the the
great great
TED ted
moments moment
in in
the the
past past
, ,
from from
Nathan nathan
, ,
we we
' '
ve ve
talked talk
about about
an an
active active
tail tail
. .
Video video
: :
Myhrvold myhrvold
thinks think
tail-cracking tail-cracking
dinosaurs dinosaur
were be
interested interested
in in
love love
, ,
not not
war war
. .
Robert robert
Full full
: :
He he
talked talk
about about
the the
tail tail
being be
a a
whip whip
for for
communication communication
. .
It it
can can
also also
be be
used use
in in
defense defense
. .
Pretty pretty
powerful powerful
. .
So so
we we
then then
went go
back back
and and
looked look
at at
the the
animal animal
. .
And and
we we
ran run
it it
up up
a a
surface surface
. .
But but
this this
time time
what what
we we
did do
is be
we we
put put
a a
slippery slippery
patch patch
that that
you you
see see
in in
yellow yellow
there there
. .
And and
watch watch
on on
the the
right right
what what
the the
animal animal
is be
doing do
with with
its its
tail tail
when when
it it
slips slip
. .
This this
is be
slowed slow
down down
10 @card@
times time
. .
So so
here here
is be
normal normal
speed speed
. .
And and
watch watch
it it
now now
slip slip
, ,
and and
see see
what what
it it
does do
with with
its its
tail tail
. .
It it
has have
an an
active active
tail tail
that that
functions function
as as
a a
fifth fifth
leg leg
, ,
and and
it it
contributes contribute
to to
stability stability
. .
If if
you you
make make
it it
slip slip
a a
huge huge
amount amount
, ,
this this
is be
what what
we we
discovered discover
. .
This this
is be
incredible incredible
. .
The the
engineers engineer
had have
a a
really really
good good
idea idea
. .
And and
then then
of of
course course
we we
wondered wonder
, ,
okay okay
, ,
they they
have have
an an
active active
tail tail
, ,
but but
let let
' '
s s
picture picture
them them
. .
They they
' '
re re
climbing climb
up up
a a
wall wall
, ,
or or
a a
tree tree
. .
And and
they they
get get
to to
the the
top top
and and
let let
' '
s s
say say
there there
' '
s s
some some
leaves leaf
there there
. .
And and
what what
would would
happen happen
if if
they they
climbed climb
on on
the the
underside underside
of of
that that
leaf leaf
, ,
and and
there there
was be
some some
wind wind
, ,
or or
we we
shook shake
it it
? ?
And and
we we
did do
that that
experiment experiment
, ,
that that
you you
see see
here here
. .
And and
this this
is be
what what
we we
discovered discover
. .
Now now
that that
' '
s s
real real
time time
. .
You you
can can
' '
t t
see see
anything anything
. .
But but
there there
it it
is be
slowed slow
down down
. .
What what
we we
discovered discover
was be
the the
world world
' '
s s
fastest fast
air-righting air-righting
response response
. .
For for
those those
of of
you you
who who
remember remember
your your
physics physic
, ,
that that
' '
s s
a a
zero-angular-momentum zero-angular-momentum
righting right
response response
. .
But but
it it
' '
s s
like like
a a
cat cat
. .
You you
know know
, ,
cats cat
falling fall
. .
Cats cat
do do
this this
. .
They they
twist twist
their their
bodies body
. .
But but
geckos gecko
do do
it it
better good
. .
And and
they they
do do
it it
with with
their their
tail tail
. .
So so
they they
do do
it it
with with
this this
active active
tail tail
as as
they they
swing swing
around around
. .
And and
then then
they they
always always
land land
in in
the the
sort sort
of of
superman superman
skydiving skydiving
posture posture
. .
Okay okay
, ,
now now
we we
wondered wonder
, ,
if if
we we
were be
right right
, ,
we we
should should
be be
able able
to to
test test
this this
in in
a a
physical physical
model model
, ,
in in
a a
robot robot
. .
So so
for for
TED ted
we we
actually actually
built build
a a
robot robot
, ,
over over
there there
, ,
a a
prototype prototype
, ,
with with
the the
tail tail
. .
And and
we we
' '
re re
going go
to to
attempt attempt
the the
first first
air-righting air-righting
response response
in in
a a
tail tail
, ,
with with
a a
robot robot
. .
If if
we we
could could
have have
the the
lights light
on on
it it
. .
Okay okay
, ,
there there
it it
goes go
. .
And and
show show
the the
video video
. .
There there
it it
is be
. .
And and
it it
works work
just just
like like
it it
does do
in in
the the
animal animal
. .
So so
all all
you you
need need
is be
a a
swing swing
of of
the the
tail tail
to to
right right
yourself yourself
. .
Now now
, ,
of of
course course
, ,
we we
were be
normally normally
frightened frighten
because because
the the
animal animal
has have
no no
gliding glide
adaptations adaptation
, ,
so so
we we
thought think
, ,
" "
Oh oh
that that
' '
s s
okay okay
. .
We we
' '
ll ll
put put
it it
in in
a a
vertical vertical
wind wind
tunnel tunnel
. .
We we
' '
ll ll
blow blow
the the
air air
up up
, ,
we we
' '
ll ll
give give
it it
a a
landing landing
target target
, ,
a a
tree tree
trunk trunk
, ,
just just
outside outside
the the
plexi-glass plexi-glass
enclosure enclosure
, ,
and and
see see
what what
it it
does do
. .
So so
we we
did do
. .
And and
here here
is be
what what
it it
does do
. .
So so
the the
wind wind
is be
coming come
from from
the the
bottom bottom
. .
This this
is be
slowed slow
down down
10 @card@
times time
. .
It it
does do
an an
equilibrium equilibrium
glide glide
. .
Highly highly
controlled control
. .
This this
is be
sort sort
of of
incredible incredible
. .
But but
actually actually
it it
' '
s s
quite quite
beautiful beautiful
, ,
when when
you you
take take
a a
picture picture
of of
it it
. .
And and
it it
' '
s s
better well
than than
that that
, ,
it it
â â
just just
in in
the the
slide slide
â â
maneuvers maneuver
in in
mid-air mid-air
. .
And and
the the
way way
it it
does do
it it
, ,
is be
it it
takes take
its its
tail tail
and and
it it
swings swing
it it
one one
way way
to to
yaw yaw
left leave
, ,
and and
it it
swings swing
its its
other other
way way
to to
yaw yaw
right right
. .
So so
we we
can can
maneuver maneuver
this this
way way
. .
And and
then then
â â
we we
had have
to to
film film
this this
several several
times time
to to
believe believe
this this
â â
it it
also also
does do
this this
. .
Watch watch
this this
. .
It it
oscillates oscillate
its its
tail tail
up up
and and
down down
like like
a a
dolphin dolphin
. .
It it
can can
actually actually
swim swim
through through
the the
air air
. .
But but
watch watch
its its
front front
legs leg
. .
Can can
you you
see see
what what
they they
are be
doing do
? ?
What what
does do
that that
mean mean
for for
the the
origin origin
of of
flapping flap
flight flight
? ?
Maybe maybe
it it
' '
s s
evolved evolve
from from
coming come
down down
from from
trees tree
, ,
and and
trying try
to to
control control
a a
glide glide
. .
Stay stay
tuned tune
for for
that that
. .
So so
then then
we we
wondered wonder
, ,
" "
Can can
they they
actually actually
maneuver maneuver
with with
this this
? ?
" "
So so
there there
is be
the the
landing landing
target target
. .
Could could
they they
steer steer
towards towards
it it
with with
these these
capabilities capability
? ?
Here here
it it
is be
in in
the the
wind wind
tunnel tunnel
. .
And and
it it
certainly certainly
looks look
like like
it it
. .
You you
can can
see see
it it
even even
better well
from from
down down
on on
top top
. .
Watch watch
the the
animal animal
. .
Definitely definitely
moving move
towards towards
the the
landing landing
target target
. .
Watch watch
the the
whip whip
of of
its its
tail tail
as as
it it
does do
it it
. .
Look look
at at
that that
. .
It it
' '
s s
unbelievable unbelievable
. .
So so
now now
we we
were be
really really
confused confuse
, ,
because because
there there
are be
no no
reports report
of of
it it
gliding glide
. .
So so
we we
went go
, ,
" "
Oh oh
my my
god god
, ,
we we
have have
to to
go go
to to
the the
field field
, ,
and and
see see
if if
it it
actually actually
does do
this this
. .
" "
Completely completely
opposite opposite
of of
the the
way way
you you
' '
d d
see see
it it
on on
a a
nature nature
film film
, ,
of of
course course
. .
We we
wondered wonder
, ,
" "
Do do
they they
actually actually
glide glide
in in
nature nature
? ?
" "
Well well
we we
went go
to to
the the
forests forest
of of
Singapore singapore
and and
Southeast southeast
Asia asia
. .
And and
the the
next next
video video
you you
see see
is be
the the
first first
time time
we we
' '
ve ve
showed show
this this
. .
This this
is be
the the
actual actual
video video
â â
not not
staged stage
, ,
a a
real real
research research
video video
â â
of of
animal animal
gliding glide
down down
. .
There there
is be
a a
red red
trajectory trajectory
line line
. .
Look look
at at
the the
end end
to to
see see
the the
animal animal
. .
But but
then then
as as
it it
gets get
closer closer
to to
the the
tree tree
, ,
look look
at at
the the
close-up close-up
. .
And and
see see
if if
you you
can can
see see
it it
land land
. .
So so
there there
it it
comes come
down down
. .
There there
is be
a a
gecko gecko
at at
the the
end end
of of
that that
trajectory trajectory
line line
. .
You you
see see
it it
there there
? ?
There there
? ?
Watch watch
it it
come come
down down
. .
Now now
watch watch
up up
there there
and and
you you
can can
see see
the the
landing landing
. .
Did do
you you
see see
it it
hit hit
? ?
It it
actually actually
uses use
its its
tail tail
too too
, ,
just just
like like
we we
saw see
in in
the the
lab lab
. .
So so
now now
we we
can can
continue continue
this this
mutualism mutualism
by by
suggesting suggest
that that
they they
can can
make make
an an
active active
tail tail
. .
And and
here here
is be
the the
first first
active active
tail tail
, ,
in in
the the
robot robot
, ,
made make
by by
Boston boston
Dynamics dynamics
. .
So so
to to
conclude conclude
, ,
I i
think think
we we
need need
to to
build build
biomutualisms biomutualism
, ,
like like
I i
showed show
, ,
that that
will will
increase increase
the the
pace pace
of of
basic basic
discovery discovery
in in
their their
application application
. .
To to
do do
this this
though though
, ,
we we
need need
to to
redesign redesign
education education
in in
a a
major major
way way
, ,
to to
balance balance
depth depth
with with
interdisciplinary interdisciplinary
communication communication
, ,
and and
explicitly explicitly
train train
people people
how how
to to
contribute contribute
to to
, ,
and and
benefit benefit
from from
other other
disciplines discipline
. .
And and
of of
course course
you you
need need
the the
organisms organism
and and
the the
environment environment
to to
do do
it it
. .
That that
is be
, ,
whether whether
you you
care care
about about
security security
, ,
search search
and and
rescue rescue
or or
health health
, ,
we we
must must
preserve preserve
nature nature
' '
s s
designs design
, ,
otherwise otherwise
these these
secrets secret
will will
be be
lost lose
forever forever
. .
And and
from from
what what
I i
heard hear
from from
our our
new new
president president
, ,
I i
' '
m m
very very
optimistic optimistic
. .
Thank thank
you you
. .
