When when
moon moon
in in
the the
solar solar
system system
that that
has have
oceans ocean
and and
lakes lake
and and
rain rain
and and
rivers river
and and
an an
atmosphere atmosphere
on on
the the
surface surface
. .
It it
is be
so so
cold cold
, ,
though though
, ,
that that
its its
liquid liquid
hydrocarbons hydrocarbon
, ,
methane methane
and and
ethane ethane
, ,
that that
you you
would would
use use
for for
fuel fuel
here here
on on
Earth earth
. .
So so
we we
' '
ll ll
be be
examining examine
this this
with with
the the
Webb webb
telescope telescope
and and
we we
' '
ll ll
be be
sending send
a a
probe probe
out out
there there
to to
land land
with with
even even
a a
helicopter helicopter
to to
go go
exploring explore
. .
So so
is be
this this
a a
place place
that that
' '
s s
interesting interesting
for for
life life
? ?
Possibly possibly
. .
People people
ask ask
me me
all all
the the
time time
, ,
are be
we we
sure sure
that that
the the
kind kind
we we
have have
here here
is be
the the
only only
kind kind
? ?
Well well
, ,
maybe maybe
not not
. .
And and
if if
not not
, ,
this this
is be
a a
good good
place place
to to
look look
because because
it it
' '
s s
different different
, ,
but but
it it
still still
has have
solids solid
, ,
liquids liquid
and and
gases gas
, ,
and and
it it
has have
a a
liquid liquid
hydrocarbon hydrocarbon
, ,
which which
might might
be be
a a
possible possible
solvent solvent
. .
We we
' '
ll ll
see see
. .
Next next
thing thing
we we
want want
to to
look look
at at
is be
, ,
are be
there there
planets planet
around around
other other
stars star
that that
might might
have have
life life
? ?
So so
we we
will will
be be
looking look
in in
this this
way way
at at
small small
stars star
that that
have have
Earth-sized earth-sized
planets planet
. .
When when
a a
planet planet
goes go
in in
front front
of of
the the
star star
, ,
it it
can can
block block
some some
starlight starlight
, ,
some some
of of
the the
starlight starlight
goes go
through through
the the
atmosphere atmosphere
of of
the the
planet planet
, ,
if if
it it
has have
one one
, ,
and and
on on
its its
way way
to to
our our
telescope telescope
, ,
and and
we we
can can
analyze analyze
that that
and and
look look
for for
the the
chemistry chemistry
of of
such such
an an
atmosphere atmosphere
. .
So so
, ,
number number
one one
, ,
does do
a a
little little
Earth-like earth-like
planet planet
out out
there there
have have
an an
atmosphere atmosphere
? ?
Number number
two two
, ,
does do
it it
have have
any any
molecules molecule
in in
the the
atmosphere atmosphere
? ?
And and
number number
three three
, ,
could could
they they
be be
water water
? ?
Is be
there there
enough enough
water water
out out
there there
so so
that that
there there
could could
be be
a a
liquid liquid
ocean ocean
? ?
Well well
, ,
maybe maybe
. .
We we
will will
find find
out out
and and
we we
' '
ll ll
tell tell
you you
. .
So so
are be
we we
alone alone
? ?
Well well
, ,
I i
don don
' '
t t
know know
. .
But but
we we
' '
ll ll
be be
going go
on on
after after
this this
project project
to to
even even
more more
powerful powerful
telescopes telescope
that that
can can
examine examine
little little
Earths earth
around around
stars star
like like
the the
Sun sun
. .
And and
then then
we we
' '
ll ll
be be
able able
to to
say say
, ,
" "
Really really
, ,
really really
, ,
are be
they they
like like
home home
? ?
" "
And and
maybe maybe
yes yes
. .
We we
will will
be be
telling tell
you you
all all
about about
what what
we we
find find
out out
, ,
beginning begin
with with
our our
first first
scientific scientific
observations observation
this this
summer summer
. .
So so
please please
stay stay
tuned tune
. .
Astronomers astronomer
travel travel
with with
the the
speed speed
of of
light light
and and
the the
speed speed
of of
imagination imagination
. .
