It it
that that
come come
naturally naturally
in in
typical typical
babies baby
, ,
couldn couldn
' '
t t
be be
seen see
in in
our our
son son
. .
Lubuto lubuto
was be
visibly visibly
unaware unaware
of of
his his
own own
body body
. .
And and
some some
specialists specialist
started start
preparing prepare
us us
for for
the the
worst bad
by by
telling tell
us us
that that
we we
were be
going go
to to
be be
very very
lucky lucky
if if
he he
ever ever
sat sit
upright upright
and and
unsupported unsupported
. .
Before before
us us
was be
a a
gigantic gigantic
, ,
seemingly seemingly
immovable immovable
mountain mountain
. .
What what
do do
we we
do do
? ?
For for
the the
past past
15 @card@
years year
, ,
I i
have have
worked work
as as
a a
computer computer
programmer programmer
, ,
and and
now now
I i
' '
m m
a a
certified certified
project project
management management
professional professional
. .
After after
the the
denial denial
, ,
crying crying
and and
partial partial
depression depression
was be
over over
, ,
I i
began begin
to to
wonder wonder
if if
we we
could could
put put
my my
programming programming
and and
project project
management management
skills skill
together together
to to
try try
and and
help help
the the
situation situation
. .
Acceptance acceptance
kicked kick
in in
, ,
and and
I i
searched search
from from
deep deep
within within
for for
strength strength
and and
any any
available available
knowledge knowledge
to to
help help
with with
the the
challenge challenge
before before
us us
. .
I i
ordered order
two two
books book
online online
and and
spent spend
countless countless
sleepless sleepless
nights night
researching research
neuroplasticity neuroplasticity
in in
a a
child child
' '
s s
brain brain
. .
My my
extensive extensive
research research
indicated indicate
that that
people people
who who
have have
strokes stroke
are be
able able
to to
recover recover
through through
assiduous assiduous
rehabilitation rehabilitation
programs program
that that
activates activate
new new
parts part
in in
the the
better good
part part
of of
their their
brains brain
. .
This this
left leave
me me
with with
one one
big big
question question
: :
If if
this this
works work
for for
grown grown
people people
, ,
why why
should should
it it
not not
work work
for for
a a
baby baby
? ?
I i
also also
learned learn
that that
human human
beings being
pick pick
up up
fundamental fundamental
patterns pattern
mainly mainly
between between
ages age
zero zero
to to
five five
, ,
and and
after after
that that
, ,
consolidation consolidation
of of
habits habit
happens happen
. .
It it
was be
scary scary
to to
realize realize
that that
we we
may may
just just
have have
five five
years year
to to
figure figure
out out
the the
immobility immobility
of of
Lubuto lubuto
. .
On on
such such
a a
tight tight
timeline timeline
, ,
we we
needed need
to to
build build
a a
support support
system system
around around
him him
, ,
leveraging leverage
the the
limited limited
resources resource
available available
to to
us us
. .
This this
was be
a a
clear clear
project project
before before
us us
which which
needed need
to to
be be
carefully carefully
executed execute
, ,
and and
we we
needed need
a a
capable capable
, ,
self-driven self-driven
team team
, ,
an an
agile agile
team team
. .
" "
Agile agile
" "
is be
a a
methodology methodology
that that
we we
use use
to to
execute execute
projects project
with with
changing change
requirements requirement
to to
achieve achieve
progressive progressive
results result
in in
increments increment
. .
We we
needed need
to to
deliver deliver
quick quick
results result
, ,
and and
in in
pieces piece
, ,
considering consider
our our
work work
was be
largely largely
dependent dependent
on on
Lubuto lubuto
' '
s s
responsiveness responsiveness
and and
capability capability
. .
The the
first first
team team
member member
I i
acquired acquire
was be
my my
beautiful beautiful
wife wife
Abigail abigail
, ,
who who
is be
luckily luckily
a a
project project
manager manager
, ,
too too
. .
You you
know know
how how
rough rough
that that
can can
be be
, ,
right right
? ?
Two two
project project
managers manager
under under
one one
roof roof
. .
We we
searched search
around around
Zambia zambia
for for
a a
neonatal neonatal
physiotherapist physiotherapist
, ,
an an
occupational occupational
therapist therapist
and and
a a
speech speech
therapist therapist
. .
It it
felt feel
like like
mission mission
impossible impossible
. .
We we
set set
road road
maps map
of of
one one
to to
three three
months month
, ,
just just
enough enough
planning planning
and and
just just
in in
time time
. .
We we
then then
identified identify
features feature
like like
, ,
" "
We we
want want
him him
to to
stand stand
and and
walk walk
independently independently
, ,
" "
under under
different different
themes theme
like like
gross gross
motor motor
, ,
fine fine
motor motor
, ,
adaptive adaptive
skills skill
, ,
communication communication
, ,
asymmetric asymmetric
movement movement
and and
balance balance
. .
Next next
, ,
we we
created create
sprints sprint
to to
work work
on on
the the
stimulation stimulation
of of
different different
parts part
of of
Lubuto lubuto
' '
s s
body body
. .
When when
you you
' '
re re
working work
on on
an an
agile agile
project project
, ,
you you
do do
a a
series series
of of
lead-to lead-to
tasks task
, ,
collectively collectively
called call
" "
sprints sprint
, ,
" "
which which
the the
team team
reviews review
after after
execution execution
. .
We we
, ,
for for
example example
, ,
set set
a a
goal goal
to to
stimulate stimulate
his his
left left
arm arm
. .
Say say
occupational occupational
therapists therapist
use use
different different
textures texture
to to
rub rub
on on
his his
arm arm
. .
Physiotherapists physiotherapist
make make
deliberate deliberate
movements movement
in in
his his
arm arm
to to
build build
the the
muscles muscle
. .
And and
self-proclaimed self-proclaimed
general general
therapists therapist
, ,
who who
was be
usually usually
myself myself
, ,
engage engage
in in
logical logical
stimulations stimulation
like like
slowly slowly
moving move
his his
favorite favorite
toy toy
from from
his his
right right
hand hand
across across
and and
by by
in in
front front
of of
him him
to to
his his
left leave
side side
to to
prompt prompt
movement movement
in in
his his
left left
arm arm
. .
And and
at at
the the
end end
of of
each each
week week
, ,
we we
would would
review review
our our
results result
as as
a a
team team
: :
How how
did do
OT ot
go go
? ?
How how
did do
physio physio
go go
? ?
How how
did do
stimulation stimulation
go go
? ?
Did do
we we
meet meet
our our
goal goal
? ?
Because because
frequent frequent
communication communication
is be
very very
important important
on on
an an
agile agile
project project
, ,
we we
created create
a a
WhatsApp whatsapp
group group
for for
quicker quick
updates update
. .
Failing fail
early early
and and
picking pick
up up
is be
a a
special special
characteristic characteristic
of of
agility agility
, ,
and and
we we
leveraged leveraged
that that
because because
our our
work work
is be
largely largely
dependent dependent
on on
his his
response response
. .
Luckily luckily
, ,
Lubuto lubuto
is be
a a
fighter fighter
, ,
and and
his his
determination determination
is be
out out
of of
this this
world world
. .
After after
we we
achieved achieve
the the
goal goal
of of
activating activate
his his
arm arm
, ,
we we
then then
moved move
to to
his his
leg leg
. .
The the
activities activity
were be
totally totally
different different
, ,
but but
followed follow
the the
similar similar
iterative iterative
process process
. .
I i
would would
come come
to to
learn learn
in in
brain brain
plasticity plasticity
that that
Lubuto lubuto
was be
better good
off off
learning learn
certain certain
skills skill
when when
he he
was be
ready ready
, ,
even even
if if
it it
meant mean
delaying delay
him him
, ,
because because
he he
had have
to to
learn learn
it it
right right
. .
While while
working work
and and
managing manage
Lubuto lubuto
as as
an an
agile agile
project project
, ,
a a
new new
team team
member member
popped pop
up up
. .
Oh oh
! !
It it
' '
s s
Lubuto lubuto
' '
s s
sister sister
, ,
Yawila yawila
. .
We we
had have
no no
idea idea
how how
we we
were be
going go
to to
manage manage
the the
process process
without without
disturbing disturb
him him
while while
not not
making make
the the
sister sister
feel feel
neglected neglect
because because
we we
were be
giving give
the the
brother brother
a a
lot lot
of of
attention attention
. .
Our our
daily daily
iterations iteration
continued continue
, ,
and and
now now
Lubuto lubuto
was be
able able
to to
walk walk
on on
his his
stiff stiff
legs leg
. .
With with
me me
cheerleading cheerleade
from from
the the
front front
as as
I i
walked walk
backwards backwards
, ,
because because
I i
needed need
to to
keep keep
eye eye
contact contact
with with
him him
, ,
I i
sang sing
his his
favorite favorite
songs song
, ,
as as
we we
oscillated oscillate
between between
our our
bedroom bedroom
and and
the the
kitchen kitchen
. .
We we
then then
traveled travel
to to
South south
Africa africa
and and
introduced introduce
a a
neuromovement neuromovement
therapist therapist
to to
the the
team team
, ,
coupled couple
with with
hyperbaric hyperbaric
oxygen oxygen
therapy therapy
. .
These these
sprints sprint
were be
much much
shorter short
and and
focused focus
on on
his his
brain brain
, ,
teaching teach
him him
about about
his his
own own
body body
through through
small small
body body
movements movement
. .
Terry terry
did do
a a
miraculous miraculous
job job
. .
Lubuto lubuto
started start
opening open
his his
knees knee
in in
unison unison
with with
his his
hips hip
. .
And and
in in
our our
second second
week week
, ,
he he
was be
able able
to to
run run
with with
better good
balance balance
. .
He he
started start
making make
intentional intentional
sounds sound
to to
communicate communicate
with with
us us
as as
a a
result result
of of
the the
new new
neuropaths neuropath
firing firing
. .
We we
returned return
to to
Zambia zambia
with with
amazing amazing
results result
. .
And and
guess guess
who who
effectively effectively
picked pick
up up
the the
therapy therapy
? ?
The the
new new
team team
member member
. .
Lubuto lubuto
started start
mimicking mimick
the the
sister sister
, ,
and and
soon soon
he he
was be
learning learn
more more
things thing
good good
and and
bad bad
from from
the the
sister sister
than than
he he
was be
learning learn
from from
his his
team team
of of
therapists therapist
. .
To to
make make
sure sure
that that
he he
stays stay
on on
track track
, ,
we we
built build
a a
unique unique
curriculum curriculum
that that
incorporates incorporate
all all
the the
therapies therapy
with with
teacher teacher
Goodson goodson
. .
We we
' '
ve ve
been be
blessed bless
to to
have have
the the
knowledge knowledge
before before
us us
and and
be be
able able
to to
practically practically
apply apply
it it
. .
Not not
all all
families family
with with
special special
needs need
children child
are be
as as
fortunate fortunate
as as
we we
are be
. .
We we
still still
have have
backlog backlog
stories story
, ,
which which
is be
a a
fancy fancy
agile agile
term term
for for
pushing push
failure failure
to to
a a
later late
date date
, ,
in in
Lubuto lubuto
' '
s s
case case
, ,
drooling drool
and and
potty potty
training training
. .
But but
in in
iterative iterative
, ,
little little
daily daily
activities activity
, ,
we we
managed manage
to to
improve improve
the the
entire entire
left left
part part
of of
Lubuto lubuto
' '
s s
body body
-- --
from from
the the
arm arm
, ,
to to
one one
finger finger
to to
the the
other other
, ,
from from
the the
leg leg
to to
the the
toes toe
. .
Lubuto lubuto
began begin
to to
roll roll
over over
. .
He he
began begin
to to
independently independently
sit sit
. .
He he
was be
able able
to to
crawl crawl
, ,
stand stand
, ,
walk walk
, ,
run run
, ,
and and
now now
he he
plays play
soccer soccer
with with
me me
in in
a a
more more
coordinated coordinate
manner manner
. .
This this
has have
left leave
my my
wife wife
' '
s s
heart heart
and and
mine mine
melting melting
, ,
and and
we we
' '
ve ve
been be
blown blow
away away
by by
the the
unbelievable unbelievable
results result
we we
' '
ve ve
witnessed witness
as as
a a
result result
of of
this this
experimental experimental
methodology methodology
. .
And and
now now
, ,
we we
proudly proudly
call call
ourselves ourselves
" "
agile agile
parents parent
. .
" "
You you
may may
be be
a a
parent parent
with with
a a
special special
needs need
child child
like like
me me
, ,
or or
you you
could could
be be
facing face
different different
types type
of of
limitation limitation
in in
your your
life life
: :
professionally professionally
, ,
financially financially
, ,
academically academically
or or
even even
physically physically
. .
I i
want want
to to
remind remind
you you
that that
, ,
in in
striving strive
for for
bigger big
goals goal
, ,
dare dare
to to
take take
small small
sprints sprint
. .
These these
sprints sprint
are be
usually usually
far far
from from
excellent excellent
themselves themselves
, ,
but but
they they
add add
up up
to to
magnificent magnificent
results result
. .
Thank thank
you you
. .
