Welcome welcome
nature nature
is be
a a
pivotal pivotal
moment moment
in in
any any
child child
' '
s s
personal personal
history history
. .
Whether whether
we we
remember remember
it it
or or
not not
, ,
it it
' '
s s
the the
first first
time time
we we
really really
get get
control control
of of
one one
of of
these these
mysterious mysterious
things thing
. .
These these
mysteries mystery
are be
only only
revealed reveal
to to
those those
who who
get get
the the
opportunity opportunity
to to
play play
with with
it it
. .
So so
, ,
playing play
with with
fire fire
. .
This this
is be
like like
one one
of of
the the
great great
things thing
we we
ever ever
discovered discover
, ,
fire fire
. .
From from
playing play
with with
it it
, ,
they they
learn learn
some some
basic basic
principles principle
about about
fire fire
, ,
about about
intake intake
, ,
combustion combustion
, ,
exhaust exhaust
. .
These these
are be
the the
three three
working work
elements element
of of
fire fire
that that
you you
have have
to to
have have
for for
a a
good good
, ,
controlled controlled
fire fire
. .
And and
you you
can can
think think
of of
the the
open-pit open-pit
fire fire
as as
a a
laboratory laboratory
. .
You you
don don
' '
t t
know know
what what
they they
' '
re re
going go
to to
learn learn
from from
playing play
with with
it it
. .
Let let
them them
fool fool
around around
with with
it it
on on
their their
own own
terms term
and and
trust trust
me me
, ,
they they
' '
re re
going go
to to
learn learn
things thing
that that
you you
can can
' '
t t
get get
out out
of of
playing play
with with
Dora dora
the the
Explorer explorer
toys toy
. .
Number number
two two
: :
Own own
a a
pocketknife pocketknife
. .
Pocketknives pocketknife
are be
kind kind
of of
drifting drift
out out
of of
our our
cultural cultural
consciousness consciousness
, ,
which which
I i
think think
is be
a a
terrible terrible
thing thing
. .
Your your
first first
pocketknife pocketknife
is be
like like
the the
first first
universal universal
tool tool
that that
you you
' '
re re
given give
. .
You you
know know
, ,
it it
' '
s s
a a
spatula spatula
, ,
it it
' '
s s
a a
pry pry
bar bar
, ,
it it
' '
s s
a a
screwdriver screwdriver
and and
it it
' '
s s
a a
blade blade
, ,
yeah yeah
. .
And and
it it
' '
s s
a a
powerful powerful
and and
empowering empower
tool tool
. .
And and
in in
a a
lot lot
of of
cultures culture
they they
give give
knives knife
â â
like like
, ,
as as
soon soon
as as
they they
' '
re re
toddlers toddler
, ,
they they
have have
knives knife
. .
These these
are be
Inuit inuit
children child
cutting cut
whale whale
blubber blubber
. .
I i
first first
saw see
this this
in in
a a
Canadian canadian
Film film
Board board
film film
when when
I i
was be
10 @card@
, ,
and and
it it
left leave
a a
lasting lasting
impression impression
, ,
to to
see see
babies baby
playing play
with with
knives knife
. .
And and
it it
shows show
that that
kids kid
can can
develop develop
an an
extended extended
sense sense
of of
self self
through through
a a
tool tool
at at
a a
very very
young young
age age
. .
You you
lay lie
down down
a a
couple couple
of of
very very
simple simple
rules rule
â â
always always
cut cut
away away
from from
your your
body body
, ,
keep keep
the the
blade blade
sharp sharp
, ,
never never
force force
it it
â â
and and
these these
are be
things thing
kids kid
can can
understand understand
and and
practice practice
with with
. .
And and
yeah yeah
, ,
they they
' '
re re
going go
to to
cut cut
themselves themselves
. .
I i
have have
some some
terrible terrible
scars scar
on on
my my
legs leg
from from
where where
I i
stabbed stab
myself myself
. .
But but
you you
know know
, ,
they they
' '
re re
young young
. .
They they
heal heal
fast fast
. .
Number number
three three
: :
Throw throw
a a
spear spear
. .
It it
turns turn
out out
that that
our our
brains brain
are be
actually actually
wired wire
for for
throwing throw
things thing
, ,
and and
like like
muscles muscle
, ,
if if
you you
don don
' '
t t
use use
parts part
of of
your your
brain brain
, ,
they they
tend tend
to to
atrophy atrophy
over over
time time
. .
But but
when when
you you
exercise exercise
them them
, ,
any any
given give
muscle muscle
adds add
strength strength
to to
the the
whole whole
system system
, ,
and and
that that
applies apply
to to
your your
brain brain
, ,
too too
. .
So so
practicing practice
throwing throw
things thing
has have
been be
shown show
to to
stimulate stimulate
the the
frontal frontal
and and
parietal parietal
lobes lobe
, ,
which which
have have
to to
do do
with with
visual visual
acuity acuity
, ,
3D 3d
understanding understanding
, ,
and and
structural structural
problem problem
solving solve
, ,
so so
it it
helps help
develop develop
their their
visualization visualization
skills skill
and and
their their
predictive predictive
ability ability
. .
And and
throwing throwing
is be
a a
combination combination
of of
analytical analytical
and and
physical physical
skill skill
, ,
so so
it it
' '
s s
very very
good good
for for
that that
kind kind
of of
whole-body whole-body
training training
. .
These these
kinds kind
of of
target-based target-based
practices practice
also also
help help
kids kid
develop develop
attention attention
and and
concentration concentration
skills skill
, ,
so so
those those
are be
great great
. .
Number number
[ [
four four
] ]
: :
Deconstruct deconstruct
appliances appliance
. .
There there
is be
a a
world world
of of
interesting interesting
things thing
inside inside
your your
dishwasher dishwasher
. .
Next next
time time
you you
' '
re re
about about
to to
throw throw
out out
an an
appliance appliance
, ,
don don
' '
t t
throw throw
it it
out out
. .
Take take
it it
apart apart
with with
your your
kid kid
, ,
or or
send send
him him
to to
my my
school school
, ,
and and
we we
' '
ll ll
take take
it it
apart apart
with with
them them
. .
Even even
if if
you you
don don
' '
t t
know know
what what
the the
parts part
are be
, ,
puzzling puzzle
out out
what what
they they
might might
be be
for for
is be
a a
really really
good good
practice practice
for for
the the
kids kid
to to
get get
sort sort
of of
the the
sense sense
that that
they they
can can
take take
things thing
apart apart
, ,
and and
no no
matter matter
how how
complex complex
they they
are be
, ,
they they
can can
understand understand
parts part
of of
them them
. .
And and
that that
means mean
that that
eventually eventually
, ,
they they
can can
understand understand
all all
of of
them them
. .
It it
' '
s s
a a
sense sense
of of
knowability knowability
, ,
that that
something something
is be
knowable knowable
. .
So so
these these
black black
boxes box
that that
we we
live live
with with
and and
take take
for for
granted granted
are be
actually actually
complex complex
things thing
made make
by by
other other
people people
, ,
and and
you you
can can
understand understand
them them
. .
Number number
five five
: :
Two-parter two-parter
. .
Break break
the the
Digital digital
Millennium millennium
Copyright copyright
Act act
. .
There there
are be
laws law
beyond beyond
safety safety
regulations regulation
that that
attempt attempt
to to
limit limit
how how
we we
can can
interact interact
with with
the the
things thing
that that
we we
own own
â â
in in
this this
case case
, ,
digital digital
media medium
. .
It it
' '
s s
a a
very very
simple simple
exercise exercise
: :
Buy buy
a a
song song
on on
iTunes itunes
, ,
write write
it it
to to
a a
CD cd
, ,
then then
rip rip
the the
CD cd
to to
an an
MP3 mp3
, ,
and and
play play
it it
on on
your your
very very
same same
computer computer
. .
You you
' '
ve ve
just just
broken break
a a
law law
. .
Technically technically
, ,
the the
RIAA riaa
could could
come come
and and
prosecute prosecute
you you
. .
It it
' '
s s
an an
important important
lesson lesson
for for
kids kid
to to
understand understand
, ,
that that
some some
of of
these these
laws law
get get
broken break
by by
accident accident
, ,
and and
that that
laws law
have have
to to
be be
interpreted interpret
. .
That that
' '
s s
something something
we we
often often
talk talk
about about
with with
the the
kids kid
when when
we we
' '
re re
fooling fool
around around
with with
things thing
and and
breaking break
them them
open open
, ,
and and
taking take
them them
apart apart
and and
using use
them them
for for
other other
things thing
. .
And and
also also
when when
we we
go go
out out
and and
drive drive
a a
car car
. .
Driving drive
a a
car car
is be
a a
really really
empowering empower
act act
for for
a a
young young
child child
, ,
so so
this this
is be
the the
alternate alternate
â â
For for
those those
of of
you you
who who
aren aren
' '
t t
comfortable comfortable
actually actually
breaking break
the the
law law
, ,
you you
can can
drive drive
a a
car car
with with
your your
child child
. .
This this
is be
a a
great great
stage stage
for for
a a
kid kid
. .
This this
happens happen
about about
the the
same same
time time
that that
they they
get get
latched latch
onto onto
things thing
like like
dinosaurs dinosaur
, ,
these these
big big
things thing
in in
the the
outside outside
world world
, ,
that that
they they
' '
re re
trying try
to to
get get
a a
grip grip
on on
. .
A a
car car
is be
a a
similar similar
object object
, ,
and and
they they
can can
get get
in in
a a
car car
and and
drive drive
it it
. .
And and
that that
really really
gives give
them them
a a
handle handle
on on
a a
world world
in in
a a
way way
that that
they they
don don
' '
t t
often often
have have
access access
to to
. .
And and
it it
' '
s s
perfectly perfectly
legal legal
. .
Find find
a a
big big
empty empty
lot lot
, ,
make make
sure sure
there there
' '
s s
nothing nothing
in in
it it
, ,
and and
that that
it it
' '
s s
on on
private private
property property
, ,
and and
let let
them them
drive drive
your your
car car
. .
It it
' '
s s
very very
safe safe
actually actually
. .
And and
it it
' '
s s
fun fun
for for
the the
whole whole
family family
. .
Let let
' '
s s
see see
, ,
I i
think think
that that
' '
s s
it it
. .
That that
' '
s s
number number
five five
and and
a a
half half
. .
OK ok
. .
