Thank thank
clear clear
. .
Why why
should should
it it
work work
, ,
and and
is be
this this
something something
to to
do do
with with
human human
beings being
? ?
I i
' '
ll ll
let let
you you
in in
on on
the the
answer answer
to to
the the
last last
one one
that that
I i
offer offer
, ,
and and
that that
is be
, ,
it it
has have
nothing nothing
to to
do do
with with
human human
beings being
. .
Somewhere somewhere
in in
some some
other other
planet planet
, ,
orbiting orbit
some some
very very
distant distant
star star
, ,
maybe maybe
in in
a a
another another
galaxy galaxy
, ,
there there
could could
well well
be be
entities entity
that that
are be
at at
least least
as as
intelligent intelligent
as as
we we
are be
, ,
and and
are be
interested interested
in in
science science
. .
It it
' '
s s
not not
impossible impossible
; ;
I i
think think
there there
probably probably
are be
lots lot
. .
Very very
likely likely
, ,
none none
is be
close close
enough enough
to to
interact interact
with with
us us
. .
But but
they they
could could
be be
out out
there there
, ,
very very
easily easily
. .
And and
suppose suppose
they they
have have
, ,
you you
know know
, ,
very very
different different
sensory sensory
apparatus apparatus
, ,
and and
so so
on on
. .
They they
have have
seven seven
tentacles tentacle
, ,
and and
they they
have have
14 @card@
little little
funny- funny-
looking look
compound compound
eyes eye
, ,
and and
a a
brain brain
shaped shape
like like
a a
pretzel pretzel
. .
Would would
they they
really really
have have
different different
laws law
? ?
There there
are be
lots lot
of of
people people
who who
believe believe
that that
, ,
and and
I i
think think
it it
is be
utter utter
baloney baloney
. .
I i
think think
there there
are be
laws law
out out
there there
, ,
and and
we we
of of
course course
don don
' '
t t
understand understand
them them
at at
any any
given give
time time
very very
well well
— -
but but
we we
try try
. .
And and
we we
try try
to to
get get
closer close
and and
closer close
. .
And and
someday someday
, ,
we we
may may
actually actually
figure figure
out out
the the
fundamental fundamental
unified unified
theory theory
of of
the the
particles particle
and and
forces force
, ,
what what
I i
call call
the the
" "
fundamental fundamental
law law
. .
" "
We we
may may
not not
even even
be be
terribly terribly
far far
from from
it it
. .
But but
even even
if if
we we
don don
' '
t t
run run
across across
it it
in in
our our
lifetimes lifetime
, ,
we we
can can
still still
think think
there there
is be
one one
out out
there there
, ,
and and
we we
' '
re re
just just
trying try
to to
get get
closer close
and and
closer close
to to
it it
. .
I i
think think
that that
' '
s s
the the
main main
point point
to to
be be
made make
. .
We we
express express
these these
things thing
mathematically mathematically
. .
And and
when when
the the
mathematics mathematics
is be
very very
simple simple
— -
when when
in in
terms term
of of
some some
mathematical mathematical
notation notation
, ,
you you
can can
write write
the the
theory theory
in in
a a
very very
brief brief
space space
, ,
without without
a a
lot lot
of of
complication complication
— -
that that
' '
s s
essentially essentially
what what
we we
mean mean
by by
beauty beauty
or or
elegance elegance
. .
Here here
' '
s s
what what
I i
was be
saying say
about about
the the
laws law
. .
They they
' '
re re
really really
there there
. .
Newton newton
certainly certainly
believed believe
that that
. .
And and
he he
said say
, ,
here here
, ,
" "
It it
is be
the the
business business
of of
natural natural
philosophy philosophy
to to
find find
out out
those those
laws law
. .
" "
The the
basic basic
law law
, ,
let let
' '
s s
say say
— -
here here
' '
s s
an an
assumption assumption
. .
The the
assumption assumption
is be
that that
the the
basic basic
law law
really really
takes take
the the
form form
of of
a a
unified unified
theory theory
of of
all all
the the
particles particle
. .
Now now
, ,
some some
people people
call call
that that
a a
theory theory
of of
everything everything
. .
That that
' '
s s
wrong wrong
because because
the the
theory theory
is be
quantum quantum
mechanical mechanical
. .
And and
I i
won win
' '
t t
go go
into into
a a
lot lot
of of
stuff stuff
about about
quantum quantum
mechanics mechanic
and and
what what
it it
' '
s s
like like
, ,
and and
so so
on on
. .
You you
' '
ve ve
heard hear
a a
lot lot
of of
wrong wrong
things thing
about about
it it
anyway anyway
. .
There there
are be
even even
movies movie
about about
it it
with with
a a
lot lot
of of
wrong wrong
stuff stuff
. .
But but
the the
main main
thing thing
here here
is be
that that
it it
predicts predict
probabilities probability
. .
Now now
, ,
sometimes sometimes
those those
probabilities probability
are be
near near
certainties certainty
. .
And and
in in
a a
lot lot
of of
familiar familiar
cases case
, ,
they they
of of
course course
are be
. .
But but
other other
times time
they they
' '
re re
not not
, ,
and and
you you
have have
only only
probabilities probability
for for
different different
outcomes outcome
. .
So so
what what
that that
means means
is be
that that
the the
history history
of of
the the
universe universe
is be
not not
determined determine
just just
by by
the the
fundamental fundamental
law law
. .
It it
' '
s s
the the
fundamental fundamental
law law
and and
this this
incredibly incredibly
long long
series series
of of
accidents accident
, ,
or or
chance chance
outcomes outcome
, ,
that that
are be
there there
in in
addition addition
. .
And and
the the
fundamental fundamental
theory theory
doesn doesn
' '
t t
include include
those those
chance chance
outcomes outcome
; ;
they they
are be
in in
addition addition
. .
So so
it it
' '
s s
not not
a a
theory theory
of of
everything everything
. .
And and
in in
fact fact
, ,
a a
huge huge
amount amount
of of
the the
information information
in in
the the
universe universe
around around
us us
comes come
from from
those those
accidents accident
, ,
and and
not not
just just
from from
the the
fundamental fundamental
laws law
. .
Now now
, ,
it it
' '
s s
often often
said say
that that
getting get
closer closer
and and
closer closer
to to
the the
fundamental fundamental
laws law
by by
examining examine
phenomena phenomenon
at at
low low
energies energy
, ,
and and
then then
higher high
energies energy
, ,
and and
then then
higher high
energies energy
, ,
or or
short short
distances distance
, ,
and and
then then
shorter short
distances distance
, ,
and and
then then
still still
shorter short
distances distance
, ,
and and
so so
on on
, ,
is be
like like
peeling peel
the the
skin skin
of of
an an
onion onion
. .
And and
we we
keep keep
doing do
that that
, ,
and and
build build
more more
powerful powerful
machines machine
, ,
accelerators accelerator
for for
particles particle
. .
We we
look look
deeper deep
and and
deeper deep
into into
the the
structure structure
of of
particles particle
, ,
and and
in in
that that
way way
we we
get get
probably probably
closer close
and and
closer close
to to
this this
fundamental fundamental
law law
. .
Now now
, ,
what what
happens happen
is be
that that
as as
we we
do do
that that
, ,
as as
we we
peel peel
these these
skins skin
of of
the the
onion onion
, ,
and and
we we
get get
closer close
and and
closer close
to to
the the
underlying underlie
law law
, ,
we we
see see
that that
each each
skin skin
has have
something something
in in
common common
with with
the the
previous previous
one one
, ,
and and
with with
the the
next next
one one
. .
We we
write write
them them
out out
mathematically mathematically
, ,
and and
we we
see see
they they
use use
very very
similar similar
mathematics mathematics
. .
They they
require require
very very
similar similar
mathematics mathematics
. .
That that
is be
absolutely absolutely
remarkable remarkable
, ,
and and
that that
is be
a a
central central
feature feature
of of
what what
I i
' '
m m
trying try
to to
say say
today today
. .
Newton newton
called call
it it
— -
that that
' '
s s
Newton newton
, ,
by by
the the
way way
— -
that that
one one
. .
This this
one one
is be
Albert albert
Einstein einstein
. .
Hi hi
, ,
Al al
! !
And and
anyway anyway
, ,
he he
said say
, ,
" "
nature nature
conformable conformable
to to
herself herself
" "
— -
personifying personify
nature nature
as as
a a
female female
. .
And and
so so
what what
happens happen
is be
that that
the the
new new
phenomena phenomenon
, ,
the the
new new
skins skin
, ,
the the
inner inner
skins skin
of of
the the
slightly slightly
smaller small
skins skin
of of
the the
onion onion
that that
we we
get get
to to
, ,
resemble resemble
the the
slightly slightly
larger large
ones one
. .
And and
the the
kind kind
of of
mathematics mathematics
that that
we we
had have
for for
the the
previous previous
skin skin
is be
almost almost
the the
same same
as as
what what
we we
need need
for for
the the
next next
skin skin
. .
And and
that that
' '
s s
why why
the the
equations equation
look look
so so
simple simple
. .
Because because
they they
use use
mathematics mathematics
we we
already already
have have
. .
A a
trivial trivial
example example
is be
this this
: :
Newton newton
found find
the the
law law
of of
gravity gravity
, ,
which which
goes go
like like
one one
over over
the the
square square
of of
the the
distance distance
between between
the the
things thing
gravitated gravitate
. .
Coulomb coulomb
, ,
in in
France france
, ,
found find
the the
same same
law law
for for
electric electric
charges charge
. .
Here here
' '
s s
an an
example example
of of
this this
similarity similarity
. .
You you
look look
at at
gravity gravity
, ,
you you
see see
a a
certain certain
law law
. .
Then then
you you
look look
at at
electricity electricity
. .
Sure sure
enough enough
. .
The the
same same
rule rule
. .
It it
' '
s s
a a
very very
simple simple
example example
. .
There there
are be
lots lot
of of
more more
sophisticated sophisticated
examples example
. .
Symmetry symmetry
is be
very very
important important
in in
this this
discussion discussion
. .
You you
know know
what what
it it
means mean
. .
A a
circle circle
, ,
for for
example example
, ,
is be
symmetric symmetric
under under
rotations rotation
about about
the the
center center
of of
the the
circle circle
. .
You you
rotate rotate
around around
the the
center center
of of
the the
circle circle
, ,
the the
circle circle
remains remain
unchanged unchanged
. .
You you
take take
a a
sphere sphere
, ,
in in
three three
dimensions dimension
, ,
you you
rotate rotate
around around
the the
center center
of of
the the
sphere sphere
, ,
and and
all all
those those
rotations rotation
leave leave
the the
sphere sphere
alone alone
. .
They they
are be
symmetries symmetry
of of
the the
sphere sphere
. .
So so
we we
say say
, ,
in in
general general
, ,
that that
there there
' '
s s
a a
symmetry symmetry
under under
certain certain
operations operation
if if
those those
operations operation
leave leave
the the
phenomenon phenomenon
, ,
or or
its its
description description
, ,
unchanged unchanged
. .
Maxwell maxwell
' '
s s
equations equation
are be
of of
course course
symmetrical symmetrical
under under
rotations rotation
of of
all all
of of
space space
. .
Doesn doesn
' '
t t
matter matter
if if
we we
turn turn
the the
whole whole
of of
space space
around around
by by
some some
angle angle
, ,
it it
doesn doesn
' '
t t
leave leave
the the
— -
doesn doesn
' '
t t
change change
the the
phenomenon phenomenon
of of
electricity electricity
or or
magnetism magnetism
. .
There there
' '
s s
a a
new new
notation notation
in in
the the
19th 19th
century century
that that
expressed express
this this
, ,
and and
if if
you you
use use
that that
notation notation
, ,
the the
equations equation
get get
a a
lot lot
simpler simple
. .
Then then
Einstein einstein
, ,
with with
his his
special special
theory theory
of of
relativity relativity
, ,
looked look
at at
a a
whole whole
set set
of of
symmetries symmetry
of of
Maxwell maxwell
' '
s s
equations equation
, ,
which which
are be
called call
special special
relativity relativity
. .
And and
those those
symmetries symmetry
, ,
then then
, ,
make make
the the
equations equation
even even
shorter short
, ,
and and
even even
prettier pretty
, ,
therefore therefore
. .
Let let
' '
s s
look look
. .
You you
don don
' '
t t
have have
to to
know know
what what
these these
things thing
mean mean
, ,
doesn doesn
' '
t t
make make
any any
difference difference
. .
But but
you you
can can
just just
look look
at at
the the
form form
. .
You you
can can
look look
at at
the the
form form
. .
You you
see see
above above
, ,
at at
the the
top top
, ,
a a
long long
list list
of of
equations equation
with with
three three
components component
for for
the the
three three
directions direction
of of
space space
: :
x x
, ,
y y
and and
z z
. .
Then then
, ,
using use
vector vector
analysis analysis
, ,
you you
use use
rotational rotational
symmetry symmetry
, ,
and and
you you
get get
this this
next next
set set
. .
Then then
you you
use use
the the
symmetry symmetry
of of
special special
relativity relativity
and and
you you
get get
an an
even even
simpler simple
set set
down down
here here
, ,
showing show
that that
symmetry symmetry
exhibits exhibit
better good
and and
better good
. .
The the
more more
and and
more more
symmetry symmetry
you you
have have
, ,
the the
better well
you you
exhibit exhibit
the the
simplicity simplicity
and and
elegance elegance
of of
the the
theory theory
. .
The the
last last
two two
, ,
the the
first first
equation equation
says say
that that
electric electric
charges charge
and and
currents current
give give
rise rise
to to
all all
the the
electric electric
and and
magnetic magnetic
fields field
. .
The the
next next
— -
second second
— -
equation equation
says say
that that
there there
is be
no no
magnetism magnetism
other other
than than
that that
. .
The the
only only
magnetism magnetism
comes come
from from
electric electric
charges charge
and and
currents current
. .
Someday someday
we we
may may
find find
some some
slight slight
hole hole
in in
that that
argument argument
. .
But but
for for
the the
moment moment
, ,
that that
' '
s s
the the
case case
. .
Now now
, ,
here here
is be
a a
very very
exciting exciting
development development
that that
many many
people people
have have
not not
heard hear
of of
. .
They they
should should
have have
heard hear
of of
it it
, ,
but but
it it
' '
s s
a a
little little
tricky tricky
to to
explain explain
in in
technical technical
detail detail
, ,
so so
I i
won win
' '
t t
do do
it it
. .
I i
' '
ll ll
just just
mention mention
it it
. .
But but
Chen chen
Ning ning
Yang yang
, ,
called call
by by
us us
" "
Frank frank
" "
Yang yang
— -
— -
and and
Bob bob
Mills mills
put put
forward forward
, ,
50 @card@
years year
ago ago
, ,
this this
generalization generalization
of of
Maxwell maxwell
' '
s s
equations equation
, ,
with with
a a
new new
symmetry symmetry
. .
A a
whole whole
new new
symmetry symmetry
. .
Mathematics mathematics
very very
similar similar
, ,
but but
there there
was be
a a
whole whole
new new
symmetry symmetry
. .
They they
hoped hope
that that
this this
would would
contribute contribute
somehow somehow
to to
particle particle
physics physic
— -
didn didn
' '
t t
. .
It it
didn didn
' '
t t
, ,
by by
itself itself
, ,
contribute contribute
to to
particle particle
physics physic
. .
But but
then then
some some
of of
us us
generalized generalize
it it
further further
. .
And and
then then
it it
did do
! !
And and
it it
gave give
a a
very very
beautiful beautiful
description description
of of
the the
strong strong
force force
and and
of of
the the
weak weak
force force
. .
So so
here here
we we
say say
, ,
again again
, ,
what what
we we
said say
before before
: :
that that
each each
skin skin
of of
the the
onion onion
shows show
a a
similarity similarity
to to
the the
adjoining adjoining
skins skin
. .
So so
the the
mathematics mathematics
for for
the the
adjoining adjoining
skins skin
is be
very very
similar similar
to to
what what
we we
need need
for for
the the
new new
one one
. .
And and
therefore therefore
it it
looks look
beautiful beautiful
because because
we we
already already
know know
how how
to to
write write
it it
in in
a a
lovely lovely
, ,
concise concise
way way
. .
So so
here here
are be
the the
themes theme
. .
We we
believe believe
there there
is be
a a
unified unified
theory theory
underlying underlie
all all
the the
regularities regularity
. .
Steps step
toward toward
unification unification
exhibit exhibit
the the
simplicity simplicity
. .
Symmetry symmetry
exhibits exhibit
the the
simplicity simplicity
. .
And and
then then
there there
is be
self-similarity self-similarity
across across
the the
scales scale
— -
in in
other other
words word
, ,
from from
one one
skin skin
of of
the the
onion onion
to to
another another
one one
. .
Proximate proximate
self- self-
similarity similarity
. .
And and
that that
accounts account
for for
this this
phenomenon phenomenon
. .
That that
will will
account account
for for
why why
beauty beauty
is be
a a
successful successful
criterion criterion
for for
selecting select
the the
right right
theory theory
. .
Here here
' '
s s
what what
Newton newton
himself himself
said say
: :
" "
Nature nature
is be
very very
consonant consonant
and and
conformable conformable
to to
her her
self self
. .
" "
One one
thing thing
he he
was be
thinking think
of of
is be
something something
that that
most most
of of
us us
take take
for for
granted granted
today today
, ,
but but
in in
his his
day day
it it
wasn wasn
' '
t t
taken take
for for
granted grant
. .
There there
' '
s s
the the
story story
, ,
which which
is be
not not
absolutely absolutely
certain certain
to to
be be
right right
, ,
but but
a a
lot lot
of of
people people
told tell
it it
. .
Four four
sources source
told tell
it it
. .
That that
when when
they they
had have
the the
plague plague
in in
Cambridge cambridge
, ,
and and
he he
went go
down down
to to
his his
mother mother
' '
s s
farm farm
— -
because because
the the
university university
was be
closed close
— -
he he
saw see
an an
apple apple
fall fall
from from
a a
tree tree
, ,
or or
on on
his his
head head
or or
something something
. .
And and
he he
realized realize
suddenly suddenly
that that
the the
force force
that that
drew draw
the the
apple apple
down down
to to
the the
earth earth
could could
be be
the the
same same
as as
the the
force force
regulating regulate
the the
motions motion
of of
the the
planets planet
and and
the the
moon moon
. .
That that
was be
a a
big big
unification unification
for for
those those
days day
, ,
although although
today today
we we
take take
it it
for for
granted grant
. .
It it
' '
s s
the the
same same
theory theory
of of
gravity gravity
. .
So so
he he
said say
that that
this this
principle principle
of of
nature nature
, ,
consonance consonance
: :
" "
This this
principle principle
of of
nature nature
being be
very very
remote remote
from from
the the
conceptions conception
of of
philosophers philosopher
, ,
I i
forbore forbear
to to
describe describe
it it
in in
that that
book book
, ,
lest lest
I i
should should
be be
accounted account
an an
extravagant extravagant
freak freak
. .
. .
. .
" "
That that
' '
s s
what what
we we
all all
have have
to to
watch watch
out out
for for
, ,
especially especially
at at
this this
meeting meeting
. .
" "
. .
. .
. .
and and
so so
prejudice prejudice
my my
readers reader
against against
all all
those those
things thing
which which
were be
the the
main main
design design
of of
the the
book book
. .
" "
Now now
, ,
who who
today today
would would
claim claim
that that
as as
a a
mere mere
conceit conceit
of of
the the
human human
mind mind
? ?
That that
the the
force force
that that
causes cause
the the
apple apple
to to
fall fall
to to
the the
ground ground
is be
the the
same same
force force
that that
causes cause
the the
planets planet
and and
the the
moon moon
to to
move move
around around
, ,
and and
so so
on on
? ?
Everybody everybody
knows know
that that
. .
It it
' '
s s
a a
property property
of of
gravitation gravitation
. .
It it
' '
s s
not not
something something
in in
the the
human human
mind mind
. .
The the
human human
mind mind
can can
, ,
of of
course course
, ,
appreciate appreciate
it it
and and
enjoy enjoy
it it
, ,
use use
it it
, ,
but but
it it
' '
s s
not not
— -
it it
doesn doesn
' '
t t
stem stem
from from
the the
human human
mind mind
. .
It it
stems stem
from from
the the
character character
of of
gravity gravity
. .
And and
that that
' '
s s
true true
of of
all all
the the
things thing
we we
' '
re re
talking talk
about about
. .
They they
are be
properties property
of of
the the
fundamental fundamental
law law
. .
The the
fundamental fundamental
law law
is be
such such
that that
the the
different different
skins skin
of of
the the
onion onion
resemble resemble
one one
another another
, ,
and and
therefore therefore
the the
math math
for for
one one
skin skin
allows allow
you you
to to
express express
beautifully beautifully
and and
simply simply
the the
phenomenon phenomenon
of of
the the
next next
skin skin
. .
I i
say say
here here
that that
Newton newton
did do
a a
lot lot
of of
things thing
that that
year year
: :
gravity gravity
, ,
the the
laws law
of of
motion motion
, ,
the the
calculus calculus
, ,
white white
light light
composed compose
of of
all all
the the
colors color
of of
the the
rainbow rainbow
. .
And and
he he
could could
have have
written write
quite quite
an an
essay essay
on on
" "
What what
I i
Did do
Over over
My my
Summer summer
Vacation vacation
. .
" "
So so
we we
don don
' '
t t
have have
to to
assume assume
these these
principles principle
as as
separate separate
metaphysical metaphysical
postulates postulate
. .
They they
follow follow
from from
the the
fundamental fundamental
theory theory
. .
They they
are be
what what
we we
call call
emergent emergent
properties property
. .
You you
don don
' '
t t
need need
— -
you you
don don
' '
t t
need need
something something
more more
to to
get get
something something
more more
. .
That that
' '
s s
what what
emergence emergence
means mean
. .
Life life
can can
emerge emerge
from from
physics physics
and and
chemistry chemistry
, ,
plus plus
a a
lot lot
of of
accidents accident
. .
The the
human human
mind mind
can can
arise arise
from from
neurobiology neurobiology
and and
a a
lot lot
of of
accidents accident
, ,
the the
way way
the the
chemical chemical
bond bond
arises arise
from from
physics physic
and and
certain certain
accidents accident
. .
It it
doesn doesn
' '
t t
diminish diminish
the the
importance importance
of of
these these
subjects subject
to to
know know
that that
they they
follow follow
from from
more more
fundamental fundamental
things thing
, ,
plus plus
accidents accident
. .
That that
' '
s s
a a
general general
rule rule
, ,
and and
it it
' '
s s
critically critically
important important
to to
realize realize
that that
. .
You you
don don
' '
t t
need need
something something
more more
in in
order order
to to
get get
something something
more more
. .
People people
keep keep
asking ask
that that
when when
they they
read read
my my
book book
, ,
" "
The the
Quark quark
and and
the the
Jaguar jaguar
, ,
" "
and and
they they
say say
, ,
" "
Isn isn
' '
t t
there there
something something
more more
beyond beyond
what what
you you
have have
there there
? ?
" "
Presumably presumably
, ,
they they
mean mean
something something
supernatural supernatural
. .
Anyway anyway
, ,
there there
isn isn
' '
t t
. .
You you
don don
' '
t t
need need
something something
more more
to to
explain explain
something something
more more
. .
Thank thank
you you
very very
much much
. .
