Tyler tyler
injustice injustice
in in
Brendan brendan
Dassey dassey
' '
s s
individual individual
case case
. .
But but
let let
' '
s s
not not
forget forget
that that
approximately approximately
one one
million million
or or
so so
of of
his his
peers peer
are be
arrested arrest
every every
year year
in in
the the
United united
States states
and and
may may
be be
subjected subject
to to
similar similar
interrogation interrogation
techniques technique
, ,
techniques technique
that that
we we
know know
increase increase
the the
risk risk
for for
false false
confession confession
. .
And and
I i
know know
many many
people people
are be
going go
to to
struggle struggle
with with
that that
term term
, ,
" "
false false
confession confession
, ,
" "
and and
with with
believing believe
that that
false false
confessions confession
actually actually
occur occur
. .
And and
I i
get get
that that
. .
It it
' '
s s
very very
shocking shocking
and and
counterintuitive counterintuitive
: :
Why why
would would
someone someone
confess confess
and and
even even
give give
gruesome gruesome
details detail
about about
a a
horrifying horrify
crime crime
like like
rape rape
or or
murder murder
if if
they they
hadn hadn
' '
t t
actually actually
done do
it it
? ?
It it
makes make
no no
sense sense
. .
And and
the the
fact fact
is be
, ,
we we
can can
never never
know know
precisely precisely
how how
often often
false false
confessions confession
occur occur
. .
But but
what what
we we
do do
know know
is be
that that
false false
confessions confession
or or
admissions admission
were be
present present
in in
approximately approximately
25 @card@
percent percent
of of
wrongful wrongful
convictions conviction
of of
people people
later later
exonerated exonerate
by by
DNA dna
evidence evidence
. .
Turns turn
out out
, ,
they they
were be
innocent innocent
. .
These these
cases case
are be
crystal crystal
clear clear
because because
we we
have have
the the
DNA dna
. .
So so
they they
didn didn
' '
t t
do do
the the
crime crime
, ,
and and
yet yet
one-quarter one-quarter
of of
them them
confessed confess
to to
it it
anyway anyway
. .
And and
at at
this this
point point
, ,
from from
countless countless
research research
studies study
, ,
we we
have have
a a
pretty pretty
good good
sense sense
of of
why why
people people
falsely falsely
confess confess
, ,
and and
why why
some some
people people
, ,
like like
Brendan brendan
Dassey dassey
, ,
are be
at at
greater great
risk risk
for for
doing do
so so
. .
We we
know know
that that
youth youth
are be
especially especially
vulnerable vulnerable
to to
providing provide
false false
confessions confession
. .
In in
one one
study study
of of
exonerations exoneration
, ,
for for
example example
, ,
only only
eight eight
percent percent
of of
adults adult
had have
falsely falsely
confessed confess
, ,
but but
42 @card@
percent percent
of of
juveniles juvenile
had have
done do
so so
. .
Of of
course course
, ,
if if
we we
' '
re re
just just
looking look
at at
wrongful wrongful
convictions conviction
and and
exonerations exoneration
, ,
we we
' '
re re
only only
getting get
part part
of of
the the
story story
. .
Left leave
out out
, ,
for for
instance instance
, ,
are be
the the
many many
cases case
that that
are be
resolved resolve
by by
guilty guilty
pleas plea
, ,
not not
trials trial
. .
From from
TV tv
and and
news news
headlines headline
, ,
you you
may may
think think
that that
trials trial
are be
the the
norm norm
in in
our our
legal legal
system system
, ,
but but
the the
reality reality
is be
that that
97 @card@
percent percent
of of
legal legal
cases case
in in
the the
US us
are be
resolved resolve
by by
pleas plea
, ,
not not
trials trial
. .
Ninety-seven ninety-seven
percent percent
. .
Also also
left leave
out out
will will
be be
confessions confession
to to
more more
minor minor
types type
of of
crimes crime
that that
don don
' '
t t
typically typically
involve involve
DNA dna
evidence evidence
and and
aren aren
' '
t t
usually usually
reviewed review
or or
appealed appeal
following follow
a a
conviction conviction
. .
So so
for for
this this
reason reason
, ,
many many
refer refer
to to
the the
false false
confessions confession
we we
actually actually
do do
know know
about about
as as
the the
tip tip
of of
a a
much much
larger large
iceberg iceberg
. .
In in
our our
research research
, ,
we we
found find
alarming alarming
rates rate
of of
false false
confession confession
among among
teenagers teenager
. .
We we
interviewed interview
almost almost
200 @card@
incarcerated incarcerate
14-to-17-year-olds 14-to-17-year-olds
, ,
and and
17 @card@
percent percent
of of
them them
reported report
that that
they they
' '
d d
made make
at at
least least
one one
false false
confession confession
to to
police police
. .
What what
' '
s s
also also
shocking shocking
to to
most most
is be
that that
, ,
in in
interrogations interrogation
in in
the the
US us
, ,
police police
are be
allowed allow
to to
interrogate interrogate
juveniles juvenile
just just
like like
adults adult
. .
So so
they they
can can
lie lie
to to
them them
— -
blatant blatant
lies lie
like like
, ,
" "
We we
have have
your your
fingerprints fingerprint
, ,
we we
have have
your your
DNA dna
; ;
your your
friend friend
is be
down down
the the
hall hall
saying say
that that
this this
was be
all all
your your
idea idea
. .
" "
Lying lie
to to
suspects suspect
is be
banned ban
in in
the the
UK uk
, ,
for for
example example
, ,
but but
legal legal
here here
in in
the the
US us
, ,
even even
with with
intellectually intellectually
impaired impair
teens teen
like like
Brendan brendan
Dassey dassey
. .
In in
our our
research research
, ,
most most
of of
the the
incarcerated incarcerate
teens teen
that that
we we
interviewed interview
reported report
experiencing experience
high- high-
pressure pressure
police police
interrogations interrogation
without without
lawyers lawyer
or or
parents parent
present present
. .
More more
than than
80 @card@
percent percent
described describe
having have
been be
threatened threaten
by by
the the
police police
, ,
including include
with with
the the
possibility possibility
of of
being be
raped rape
or or
killed kill
in in
jail jail
or or
being be
tried try
as as
an an
adult adult
. .
These these
maximization maximization
strategies strategy
are be
designed design
to to
make make
suspects suspect
feel feel
like like
denials denial
are be
pointless pointless
and and
confession confession
is be
the the
only only
option option
. .
So so
you you
may may
have have
heard hear
of of
playing play
the the
role role
of of
" "
good good
cop cop
/ /
bad bad
cop cop
, ,
" "
right right
? ?
Well well
, ,
this this
is be
bad bad
cop cop
. .
Juveniles juvenile
are be
more more
suggestible suggestible
and and
susceptible susceptible
to to
social social
influence influence
, ,
like like
the the
intense intense
pressure pressure
accusations accusation
and and
suggestions suggestion
coming come
from from
authority authority
figures figure
in in
interrogations interrogation
. .
More more
than than
70 @card@
percent percent
of of
the the
teens teen
in in
our our
study study
said say
that that
the the
police police
had have
tried try
to to
" "
befriend befriend
" "
them them
or or
indicate indicate
a a
desire desire
to to
help help
them them
out out
during during
the the
interrogation interrogation
. .
These these
are be
referred refer
to to
as as
" "
minimization minimization
strategies strategy
, ,
" "
and and
they they
' '
re re
designed design
to to
convey convey
sympathy sympathy
and and
understanding understand
to to
the the
suspect suspect
, ,
and and
they they
imply imply
that that
a a
confession confession
will will
result result
in in
more more
lenient lenient
treatment treatment
. .
So so
in in
the the
classic classic
good-cop-bad-cop good-cop-bad-cop
oversimplification oversimplification
of of
police police
interrogations interrogation
, ,
this this
is be
" "
good good
cop cop
. .
" "
P1 p1
: :
Honesty honesty
here here
, ,
Brendan brendan
, ,
is be
the the
thing thing
that that
' '
s s
going go
to to
help help
you you
, ,
OK ok
? ?
No no
matter matter
what what
you you
did do
, ,
we we
can can
work work
through through
that that
, ,
OK ok
? ?
We we
can can
' '
t t
make make
any any
promises promise
, ,
but but
we we
' '
ll ll
stand stand
behind behind
you you
no no
matter matter
what what
you you
did do
, ,
OK ok
? ?
LM lm
: :
" "
No no
matter matter
what what
you you
did do
, ,
we we
can can
work work
through through
that that
. .
" "
Hints hint
of of
leniency leniency
like like
you you
just just
saw see
with with
Brendan brendan
are be
especially especially
powerful powerful
among among
adolescents adolescent
, ,
in in
part part
because because
they they
evaluate evaluate
reward reward
and and
risk risk
differently differently
than than
adults adult
do do
. .
Confessing confess
brings bring
an an
immediate immediate
reward reward
to to
the the
suspect suspect
, ,
right right
? ?
Now now
the the
stressful stressful
, ,
unpleasant unpleasant
interrogation interrogation
is be
over over
. .
So so
confessing confess
may may
seem seem
like like
the the
best good
option option
to to
most most
teens teen
, ,
who who
are be
less less
focused focus
on on
that that
long-term long-term
risk risk
of of
conviction conviction
and and
punishment punishment
down down
the the
road road
as as
a a
result result
of of
that that
confession confession
. .
I i
think think
we we
can can
all all
agree agree
that that
thoughtful thoughtful
, ,
long-term long-term
planning planning
is be
not not
a a
strength strength
of of
most most
teenagers teenager
that that
we we
know know
. .
And and
by by
and and
large large
, ,
the the
legal legal
system system
seems seem
to to
get get
that that
young young
victims victim
and and
witnesses witness
should should
be be
treated treat
differently differently
than than
adults adult
. .
But but
when when
it it
comes come
to to
young young
suspects suspect
, ,
it it
' '
s s
like like
the the
kid kid
gloves glove
come come
off off
. .
And and
treating treat
juveniles juvenile
as as
though though
they they
' '
re re
adults adult
in in
interrogations interrogation
is be
a a
problem problem
, ,
because because
literally literally
hundreds hundred
of of
psychological psychological
and and
neuroscientific neuroscientific
studies study
tell tell
us us
that that
juveniles juvenile
do do
not not
think think
like like
adults adult
, ,
they they
do do
not not
behave behave
like like
adults adult
, ,
and and
they they
' '
re re
not not
built build
like like
adults adult
. .
Adolescent adolescent
brains brain
are be
different different
from from
adult adult
brains brain
— -
even even
anatomically anatomically
. .
So so
there there
are be
important important
changes change
happening happen
in in
the the
structure structure
and and
function function
of of
the the
brain brain
during during
adolescence adolescence
, ,
especially especially
in in
the the
prefrontal prefrontal
cortex cortex
and and
the the
limbic limbic
system system
, ,
and and
these these
are be
areas area
that that
are be
crucial crucial
for for
things thing
like like
self-control self-control
, ,
decision-making decision-making
, ,
emotion emotion
processing processing
and and
regulation regulation
and and
sensitivity sensitivity
to to
reward reward
and and
risk risk
, ,
all all
of of
which which
can can
affect affect
how how
you you
function function
in in
a a
stressful stressful
circumstance circumstance
, ,
like like
a a
police police
interrogation interrogation
. .
We we
need need
to to
educate educate
law law
enforcement enforcement
, ,
attorneys attorney
, ,
judges judge
and and
jurors juror
on on
juveniles juvenile
' '
developmental developmental
limitations limitation
and and
how how
they they
can can
play play
out out
in in
a a
high-stakes high-stakes
interrogation interrogation
. .
In in
one one
national national
survey survey
of of
police police
officers officer
, ,
75 @card@
percent percent
of of
them them
actually actually
requested request
specialized specialized
training training
in in
how how
to to
talk talk
to to
children child
and and
adolescents adolescent
— -
most most
of of
them them
had have
had have
none none
. .
We we
also also
need need
to to
consider consider
having have
special special
protections protection
in in
place place
for for
juveniles juvenile
. .
In in
his his
91-page 91-page
decision decision
to to
overturn overturn
Dassey dassey
' '
s s
conviction conviction
earlier earlier
this this
year year
, ,
the the
judge judge
made make
a a
big big
deal deal
about about
the the
fact fact
that that
Dassey dassey
had have
no no
parent parent
or or
other other
allied allied
adult adult
in in
the the
interrogation interrogation
room room
with with
him him
. .
So so
here here
' '
s s
a a
clip clip
of of
Brendan brendan
talking talk
to to
his his
mom mom
after after
he he
confessed confess
, ,
when when
it it
was be
obviously obviously
far far
too too
late late
for for
him him
. .
Mom mom
: :
What what
do do
you you
mean mean
? ?
Brendan brendan
: :
Like like
, ,
if if
his his
story story
is be
, ,
like like
, ,
different different
, ,
like like
I i
never never
did do
nothing nothing
or or
something something
. .
M m
: :
Did do
you you
? ?
Huh huh
? ?
B b
: :
Not not
really really
. .
M m
: :
What what
do do
you you
mean mean
, ,
" "
Not not
really really
" "
? ?
B b
: :
They they
got get
into into
my my
head head
. .
LM lm
: :
So so
he he
sums sum
it it
up up
pretty pretty
beautifully beautifully
there there
: :
" "
They they
got get
into into
my my
head head
. .
" "
We we
don don
' '
t t
know know
if if
the the
outcome outcome
would would
have have
been be
different different
for for
Brendan brendan
if if
his his
mom mom
had have
been be
in in
the the
interrogation interrogation
room room
with with
him him
. .
But but
it it
' '
s s
certainly certainly
possible possible
. .
In in
our our
research research
, ,
only only
seven seven
percent percent
of of
incarcerated incarcerate
teens teen
, ,
most most
of of
whom whom
had have
had have
numerous numerous
encounters encounter
with with
police police
, ,
had have
ever ever
had have
a a
parent parent
or or
attorney attorney
in in
the the
room room
with with
them them
when when
they they
were be
questioned question
as as
a a
suspect suspect
. .
Few few
had have
ever ever
asked ask
for for
a a
parent parent
or or
attorney attorney
to to
be be
present present
. .
And and
you you
see see
this this
in in
lower-stake lower-stake
situations situation
, ,
too too
. .
We we
did do
a a
mock mock
interrogation interrogation
experiment experiment
in in
our our
lab lab
here here
at at
FIU fiu
— -
with with
parent parent
permission permission
for for
all all
minors minor
, ,
of of
course course
, ,
and and
all all
the the
appropriate appropriate
ethical ethical
approvals approval
. .
We we
falsely falsely
accused accuse
teens teen
and and
adults adult
of of
cheating cheating
on on
a a
study study
task task
— -
an an
academic academic
dishonesty dishonesty
offense offense
— -
that that
we we
told tell
them them
was be
as as
serious serious
as as
cheating cheating
in in
a a
class class
. .
In in
reality reality
, ,
participants participant
had have
witnessed witness
a a
peer peer
cheat cheat
, ,
someone someone
who who
was be
actually actually
part part
of of
our our
research research
team team
and and
was be
allegedly allegedly
on on
academic academic
probation probation
. .
And and
we we
gave give
everyone everyone
a a
tough tough
choice choice
: :
you you
can can
lose lose
your your
extra extra
credit credit
for for
participating participate
in in
the the
study study
or or
accuse accuse
your your
peer peer
, ,
who who
will will
probably probably
be be
expelled expel
because because
of of
his his
academic academic
probation probation
status status
. .
Of of
course course
, ,
in in
reality reality
, ,
none none
of of
these these
consequences consequence
would would
have have
panned pan
out out
, ,
and and
we we
fully fully
debriefed debrief
all all
of of
the the
participants participant
afterward afterward
. .
But but
most most
teenagers teenager
— -
59 @card@
percent percent
of of
them them
— -
signed sign
the the
confession confession
statement statement
, ,
falsely falsely
taking take
responsibility responsibility
for for
the the
cheating cheating
. .
Only only
three three
teens teen
out out
of of
74 @card@
, ,
or or
about about
four four
percent percent
of of
them them
, ,
asked ask
to to
talk talk
to to
a a
parent parent
when when
we we
accused accuse
them them
of of
cheating cheating
, ,
despite despite
the the
fact fact
that that
for for
most most
of of
them them
, ,
their their
parent parent
was be
literally literally
sitting sit
in in
the the
next next
room room
during during
the the
study study
. .
Of of
course course
, ,
cheating cheating
is be
far far
from from
murder murder
, ,
and and
I i
know know
that that
. .
But but
it it
' '
s s
interesting interesting
that that
so so
many many
teens teen
, ,
significantly significantly
more more
teens teen
than than
adults adult
, ,
signed sign
the the
confession confession
saying say
that that
they they
cheated cheat
. .
They they
hadn hadn
' '
t t
cheated cheat
, ,
but but
they they
signed sign
this this
form form
anyway anyway
saying say
that that
they they
had have
, ,
rarely rarely
attempting attempt
to to
involve involve
a a
parent parent
in in
the the
situation situation
. .
Other other
studies study
tell tell
the the
same same
story story
. .
Over over
90 @card@
percent percent
of of
juveniles juvenile
waive waive
their their
Miranda miranda
rights right
and and
submit submit
to to
police police
questioning question
without without
lawyers lawyer
or or
parents parent
present present
. .
In in
England england
and and
Wales wales
, ,
interrogations interrogation
of of
juveniles juvenile
must must
be be
conducted conduct
in in
the the
presence presence
of of
an an
" "
appropriate appropriate
adult adult
, ,
" "
like like
a a
parent parent
, ,
guardian guardian
or or
social social
worker worker
. .
And and
this this
isn isn
' '
t t
something something
youth youth
have have
to to
ask ask
for for
— -
which which
is be
great great
, ,
because because
research research
shows show
that that
they they
won win
' '
t t
— -
it it
' '
s s
automatic automatic
. .
Now now
, ,
having have
an an
appropriate appropriate
adult adult
safeguard safeguard
for for
juveniles juvenile
here here
in in
the the
US us
would would
not not
be be
a a
cure-all cure-all
for for
improving improve
police police
questioning question
of of
youth youth
. .
Unfortunately unfortunately
, ,
parents parent
often often
lack lack
the the
knowledge knowledge
and and
legal legal
sophistication sophistication
to to
appropriately appropriately
advise advise
their their
children child
. .
You you
can can
just just
look look
at at
the the
case case
of of
the the
Central central
Park park
Five five
: :
five five
teenagers teenager
who who
falsely falsely
confessed confess
to to
a a
brutal brutal
gang gang
rape rape
in in
1989 @card@
, ,
with with
their their
parents parent
by by
their their
sides side
. .
And and
it it
took take
over over
a a
decade decade
to to
clear clear
their their
names name
. .
So so
the the
appropriate appropriate
adult adult
really really
should should
be be
an an
attorney attorney
or or
perhaps perhaps
a a
trained trained
child child
advocate advocate
. .
Overturning overturn
Dassey dassey
' '
s s
conviction conviction
, ,
the the
judge judge
pointed point
out out
that that
there there
' '
s s
no no
federal federal
law law
requiring require
that that
the the
police police
even even
inform inform
a a
juvenile juvenile
' '
s s
parent parent
that that
the the
juvenile juvenile
is be
being be
questioned question
or or
honor honor
that that
juvenile juvenile
' '
s s
request request
to to
have have
a a
parent parent
in in
the the
room room
. .
So so
if if
you you
think think
about about
all all
of of
this this
together together
for for
a a
second second
: :
as as
a a
country country
, ,
we we
' '
ve ve
decided decide
that that
juveniles juvenile
cannot can
be be
trusted trust
with with
things thing
like like
voting voting
, ,
buying buy
cigarettes cigarette
, ,
attending attend
an an
R-rated r-rated
movie movie
or or
driving driving
, ,
but but
they they
can can
make make
the the
judgment judgment
call call
to to
waive waive
their their
Miranda miranda
rights right
, ,
rights right
that that
we we
know know
from from
research research
, ,
most most
teens teen
don don
' '
t t
understand understand
or or
appreciate appreciate
. .
And and
parents parent
in in
the the
room room
: :
depending depend
on on
the the
state state
that that
you you
live live
in in
, ,
your your
child child
can can
potentially potentially
waive waive
these these
rights right
without without
your your
knowledge knowledge
and and
without without
consulting consult
any any
adult adult
first first
. .
Now now
, ,
no no
one one
— -
and and
certainly certainly
not not
me me
— -
wants want
to to
prevent prevent
police police
from from
doing do
the the
very very
important important
investigative investigative
work work
that that
they they
do do
every every
day day
. .
But but
we we
need need
to to
make make
sure sure
that that
they they
have have
appropriate appropriate
training training
for for
talking talk
to to
youth youth
. .
As as
a a
parent parent
and and
as as
a a
researcher researcher
, ,
I i
think think
we we
can can
do do
better well
. .
I i
think think
we we
can can
take take
steps step
to to
prevent prevent
another another
Brendan brendan
Dassey dassey
, ,
while while
still still
getting get
the the
crucial crucial
information information
that that
we we
need need
from from
children child
and and
teens teen
to to
solve solve
crimes crime
. .
Thank thank
you you
. .
