Hi hi
s s
the the
same same
, ,
even even
now now
we we
are be
doing do
the the
same same
. .
So so
I i
was be
very very
disappointed disappoint
that that
we we
are be
not not
working work
for for
society society
, ,
even even
though though
there there
are be
so so
many many
people people
who who
lost lose
their their
houses house
by by
natural natural
disasters disaster
. .
But but
I i
must must
say say
they they
are be
no no
longer longer
natural natural
disasters disaster
. .
For for
example example
, ,
earthquakes earthquake
never never
kill kill
people people
, ,
but but
collapse collapse
of of
the the
buildings building
kill kill
people people
. .
That that
' '
s s
the the
responsibility responsibility
of of
architects architect
. .
Then then
people people
need need
some some
temporary temporary
housing housing
, ,
but but
there there
are be
no no
architects architect
working work
there there
because because
we we
are be
too too
busy busy
working working
for for
privileged privileged
people people
. .
So so
I i
thought think
, ,
even even
as as
architects architect
, ,
we we
can can
be be
involved involve
in in
the the
reconstruction reconstruction
of of
temporary temporary
housing housing
. .
We we
can can
make make
it it
better good
. .
So so
that that
is be
why why
I i
started start
working work
in in
disaster disaster
areas area
. .
1994 @card@
, ,
there there
was be
a a
big big
disaster disaster
in in
Rwanda rwanda
, ,
Africa africa
. .
Two two
tribes tribe
, ,
Hutu hutu
and and
Tutsi tutsi
, ,
fought fight
each each
other other
. .
Over over
two two
million million
people people
became become
refugees refugee
. .
But but
I i
was be
so so
surprised surprise
to to
see see
the the
shelter shelter
, ,
refugee refugee
camp camp
organized organize
by by
the the
U u
. .
N n
. .
They they
' '
re re
so so
poor poor
, ,
and and
they they
are be
freezing freeze
with with
blankets blanket
during during
the the
rainy rainy
season season
, ,
In in
the the
shelters shelter
built build
by by
the the
U u
. .
N n
. .
, ,
they they
were be
just just
providing provide
a a
plastic plastic
sheet sheet
, ,
and and
the the
refugees refugee
had have
to to
cut cut
the the
trees tree
, ,
and and
just just
like like
this this
. .
But but
over over
two two
million million
people people
cut cut
trees tree
. .
It it
just just
became become
big big
, ,
heavy heavy
deforestation deforestation
and and
an an
environmental environmental
problem problem
. .
That that
is be
why why
they they
started start
providing provide
aluminum aluminum
pipes pipe
, ,
aluminum aluminum
barracks barracks
. .
Very very
expensive expensive
, ,
they they
throw throw
them them
out out
for for
money money
, ,
then then
cutting cut
trees tree
again again
. .
So so
I i
proposed propose
my my
idea idea
to to
improve improve
the the
situation situation
using use
these these
recycled recycled
paper paper
tubes tube
because because
this this
is be
so so
cheap cheap
and and
also also
so so
strong strong
, ,
but but
my my
budget budget
is be
only only
50 @card@
U u
. .
S s
. .
dollars dollar
per per
unit unit
. .
We we
built build
50 @card@
units unit
to to
do do
that that
as as
a a
monitoring monitor
test test
for for
the the
durability durability
and and
moisture moisture
and and
termites termite
, ,
so so
on on
. .
And and
then then
, ,
year year
afterward afterward
, ,
1995 @card@
, ,
in in
Kobe kobe
, ,
Japan japan
, ,
we we
had have
a a
big big
earthquake earthquake
. .
Nearly nearly
7 @card@
, ,
000 @card@
people people
were be
killed kill
, ,
and and
the the
city city
like like
this this
Nagata nagata
district district
, ,
all all
the the
city city
was be
burned burn
in in
a a
fire fire
after after
the the
earthquake earthquake
. .
And and
also also
I i
found find
out out
there there
' '
s s
many many
Vietnamese vietnamese
refugees refugee
suffering suffer
and and
gathering gather
at at
a a
Catholic catholic
church church
— -
all all
the the
building building
was be
totally totally
destroyed destroy
. .
So so
I i
went go
there there
and and
also also
I i
proposed propose
to to
the the
priests priest
, ,
" "
Why why
don don
' '
t t
we we
rebuild rebuild
the the
church church
out out
of of
paper paper
tubes tube
? ?
" "
And and
he he
said say
, ,
" "
Oh oh
God god
, ,
are be
you you
crazy crazy
? ?
After after
a a
fire fire
, ,
what what
are be
you you
proposing propose
? ?
" "
So so
he he
never never
trusted trust
me me
, ,
but but
I i
didn didn
' '
t t
give give
up up
. .
I i
started start
commuting commute
to to
Kobe kobe
, ,
and and
I i
met meet
the the
society society
of of
Vietnamese vietnamese
people people
. .
They they
were be
living live
like like
this this
with with
very very
poor poor
plastic plastic
sheets sheet
in in
the the
park park
. .
So so
I i
proposed propose
to to
rebuild rebuild
. .
I i
raised raise
— -
did do
fundraising fundrais
. .
I i
made make
a a
paper paper
tube tube
shelter shelter
for for
them them
, ,
and and
in in
order order
to to
make make
it it
easy easy
to to
be be
built build
by by
students student
and and
also also
easy easy
to to
demolish demolish
, ,
I i
used use
beer beer
crates crate
as as
a a
foundation foundation
. .
I i
asked ask
the the
Kirin kirin
beer beer
company company
to to
propose propose
, ,
because because
at at
that that
time time
, ,
the the
Asahi asahi
beer beer
company company
made make
their their
plastic plastic
beer beer
crates crate
red red
, ,
which which
doesn doesn
' '
t t
go go
with with
the the
color color
of of
the the
paper paper
tubes tube
. .
The the
color color
coordination coordination
is be
very very
important important
. .
And and
also also
I i
still still
remember remember
, ,
we we
were be
expecting expect
to to
have have
a a
beer beer
inside inside
the the
plastic plastic
beer beer
crate crate
, ,
but but
it it
came come
empty empty
. .
So so
I i
remember remember
it it
was be
so so
disappointing disappointing
. .
So so
during during
the the
summer summer
with with
my my
students student
, ,
we we
built build
over over
50 @card@
units unit
of of
the the
shelters shelter
. .
Finally finally
the the
priest priest
, ,
finally finally
he he
trusted trust
me me
to to
rebuild rebuild
. .
He he
said say
, ,
" "
As as
long long
as as
you you
collect collect
money money
by by
yourself yourself
, ,
bring bring
your your
students student
to to
build build
, ,
you you
can can
do do
it it
. .
" "
So so
we we
spent spend
five five
weeks week
rebuilding rebuild
the the
church church
. .
It it
was be
meant mean
to to
stay stay
there there
for for
three three
years year
, ,
but but
actually actually
it it
stayed stay
there there
10 @card@
years year
because because
people people
loved love
it it
. .
Then then
, ,
in in
Taiwan taiwan
, ,
they they
had have
a a
big big
earthquake earthquake
, ,
and and
we we
proposed propose
to to
donate donate
this this
church church
, ,
so so
we we
dismantled dismantle
them them
, ,
we we
sent send
them them
over over
to to
be be
built build
by by
volunteer volunteer
people people
. .
It it
stayed stay
there there
in in
Taiwan taiwan
as as
a a
permanent permanent
church church
even even
now now
. .
So so
this this
building building
became become
a a
permanent permanent
building building
. .
Then then
I i
wonder wonder
, ,
what what
is be
a a
permanent permanent
and and
what what
is be
a a
temporary temporary
building building
? ?
Even even
a a
building building
made make
in in
paper paper
can can
be be
permanent permanent
as as
long long
as as
people people
love love
it it
. .
Even even
a a
concrete concrete
building building
can can
be be
very very
temporary temporary
if if
that that
is be
made make
to to
make make
money money
. .
In in
1999 @card@
, ,
in in
Turkey turkey
, ,
the the
big big
earthquake earthquake
, ,
I i
went go
there there
to to
use use
the the
local local
material material
to to
build build
a a
shelter shelter
. .
2001 @card@
, ,
in in
West west
India india
, ,
I i
built build
also also
a a
shelter shelter
. .
In in
2004 @card@
, ,
in in
Sri sri
Lanka lanka
, ,
after after
the the
Sumatra sumatra
earthquake earthquake
and and
tsunami tsunami
, ,
I i
rebuilt rebuild
Islamic islamic
fishermen fisherman
' '
s s
villages village
. .
And and
in in
2008 @card@
, ,
in in
Chengdu chengdu
, ,
Sichuan sichuan
area area
in in
China china
, ,
nearly nearly
70 @card@
, ,
000 @card@
people people
were be
killed kill
, ,
and and
also also
especially especially
many many
of of
the the
schools school
were be
destroyed destroy
because because
of of
the the
corruption corruption
between between
the the
authority authority
and and
the the
contractor contractor
. .
I i
was be
asked ask
to to
rebuild rebuild
the the
temporary temporary
church church
. .
I i
brought bring
my my
Japanese japanese
students student
to to
work work
with with
the the
Chinese chinese
students student
. .
In in
one one
month month
, ,
we we
completed complete
nine nine
classrooms classroom
, ,
over over
500 @card@
square square
meters meter
. .
It it
' '
s s
still still
used use
, ,
even even
after after
the the
current current
earthquake earthquake
in in
China china
. .
In in
2009 @card@
, ,
in in
Italy italy
, ,
L l
' '
Aquila aquila
, ,
also also
they they
had have
a a
big big
earthquake earthquake
. .
And and
this this
is be
a a
very very
interesting interesting
photo photo
: :
former former
Prime prime
Minister minister
Berlusconi berlusconi
and and
Japanese japanese
former former
former former
former former
former former
Prime prime
Minister minister
Mr mr
. .
Aso aso
— -
you you
know know
, ,
because because
we we
have have
to to
change change
the the
prime prime
minister minister
ever ever
year year
. .
And and
they they
are be
very very
kind kind
, ,
affording afford
my my
model model
. .
I i
proposed propose
a a
big big
rebuilding rebuilding
, ,
a a
temporary temporary
music music
hall hall
, ,
because because
L l
' '
Aquila aquila
is be
very very
famous famous
for for
music music
and and
all all
the the
concert concert
halls hall
were be
destroyed destroy
, ,
so so
musicians musician
were be
moving move
out out
. .
So so
I i
proposed propose
to to
the the
mayor mayor
, ,
I i
' '
d d
like like
to to
rebuild rebuild
the the
temporary temporary
auditorium auditorium
. .
He he
said say
, ,
" "
As as
long long
as as
you you
bring bring
your your
money money
, ,
you you
can can
do do
it it
. .
" "
And and
I i
was be
very very
lucky lucky
. .
Mr mr
. .
Berlusconi berlusconi
brought bring
G8 g8
summit summit
, ,
and and
our our
former former
prime prime
minister minister
came come
, ,
so so
they they
helped help
us us
to to
collect collect
money money
, ,
and and
I i
got get
half half
a a
million million
euros euros
from from
the the
Japanese japanese
government government
to to
rebuild rebuild
this this
temporary temporary
auditorium auditorium
. .
Year year
2010 @card@
in in
Haiti haiti
, ,
there there
was be
a a
big big
earthquake earthquake
, ,
but but
it it
' '
s s
impossible impossible
to to
fly fly
over over
, ,
so so
I i
went go
to to
Santo santo
Domingo domingo
, ,
next-door next-door
country country
, ,
to to
drive drive
six six
hours hour
to to
get get
to to
Haiti haiti
with with
the the
local local
students student
in in
Santo santo
Domingo domingo
to to
build build
50 @card@
units unit
of of
shelter shelter
out out
of of
local local
paper paper
tubes tube
. .
This this
is be
what what
happened happen
in in
Japan japan
two two
years year
ago ago
, ,
in in
northern northern
Japan japan
. .
After after
the the
earthquake earthquake
and and
tsunami tsunami
, ,
people people
had have
to to
be be
evacuated evacuate
in in
a a
big big
room room
like like
a a
gymnasium gymnasium
. .
But but
look look
at at
this this
. .
There there
' '
s s
no no
privacy privacy
. .
People people
suffer suffer
mentally mentally
and and
physically physically
. .
So so
we we
went go
there there
to to
build build
partitions partition
with with
all all
the the
student student
volunteers volunteer
with with
paper paper
tubes tube
, ,
just just
a a
very very
simple simple
shelter shelter
out out
of of
the the
tube tube
frame frame
and and
the the
curtain curtain
. .
However however
, ,
some some
of of
the the
facility facility
authority authority
doesn doesn
' '
t t
want want
us us
to to
do do
it it
, ,
because because
, ,
they they
said say
, ,
simply simply
, ,
it it
' '
s s
become become
more more
difficult difficult
to to
control control
them them
. .
But but
it it
' '
s s
really really
necessary necessary
to to
do do
it it
. .
They they
don don
' '
t t
have have
enough enough
flat flat
area area
to to
build build
standard standard
government government
single-story single-story
housing housing
like like
this this
one one
. .
Look look
at at
this this
. .
Even even
civil civil
government government
is be
doing do
such such
poor poor
construction construction
of of
the the
temporary temporary
housing housing
, ,
so so
dense dense
and and
so so
messy messy
because because
there there
is be
no no
storage storage
, ,
nothing nothing
, ,
water water
is be
leaking leak
, ,
so so
I i
thought think
, ,
we we
have have
to to
make make
multi- multi-
story story
building build
because because
there there
' '
s s
no no
land land
and and
also also
it it
' '
s s
not not
very very
comfortable comfortable
. .
So so
I i
proposed propose
to to
the the
mayor mayor
while while
I i
was be
making make
partitions partition
. .
Finally finally
I i
met meet
a a
very very
nice nice
mayor mayor
in in
Onagawa onagawa
village village
in in
Miyagi miyagi
. .
He he
asked ask
me me
to to
build build
three-story three-story
housing housing
on on
baseball baseball
[ [
fields field
] ]
. .
I i
used use
the the
shipping shipping
container container
and and
also also
the the
students student
helped help
us us
to to
make make
all all
the the
building building
furniture furniture
to to
make make
them them
comfortable comfortable
, ,
within within
the the
budget budget
of of
the the
government government
but but
also also
the the
area area
of of
the the
house house
is be
exactly exactly
the the
same same
, ,
but but
much much
more more
comfortable comfortable
. .
Many many
of of
the the
people people
want want
to to
stay stay
here here
forever forever
. .
I i
was be
very very
happy happy
to to
hear hear
that that
. .
Now now
I i
am be
working work
in in
New new
Zealand zealand
, ,
Christchurch christchurch
. .
About about
20 @card@
days day
before before
the the
Japanese japanese
earthquake earthquake
happened happen
, ,
also also
they they
had have
a a
big big
earthquake earthquake
, ,
and and
many many
Japanese japanese
students student
were be
also also
killed kill
, ,
and and
the the
most most
important important
cathedral cathedral
of of
the the
city city
, ,
the the
symbol symbol
of of
Christchurch christchurch
, ,
was be
totally totally
destroyed destroy
. .
And and
I i
was be
asked ask
to to
come come
to to
rebuild rebuild
the the
temporary temporary
cathedral cathedral
. .
So so
this this
is be
under under
construction construction
. .
And and
I i
' '
d d
like like
to to
keep keep
building building
monuments monument
that that
are be
beloved beloved
by by
people people
. .
Thank thank
you you
very very
much much
. .
Thank thank
you you
. .
Thank thank
you you
very very
much much
. .
