Whenever whenever
there there
are be
amazing amazing
nutrients nutrient
in in
your your
daily daily
doody doody
. .
It it
is be
comparable comparable
to to
pig pig
manure manure
; ;
we we
' '
re re
omnivores omnivore
, ,
they they
' '
re re
omnivores omnivore
. .
Think think
of of
your your
poo poo
and and
pee pee
as as
a a
health health
smoothie smoothie
for for
a a
tree tree
. .
The the
other other
bummer bummer
going go
on on
here here
is be
that that
we we
' '
re re
quickly quickly
moving move
all all
the the
drugs drug
we we
take take
into into
our our
waterways waterway
. .
The the
average average
wastewater wastewater
treatment treatment
plant plant
can can
remove remove
maybe maybe
half half
of of
the the
drugs drug
that that
come come
in in
. .
The the
other other
half half
goes go
right right
out out
the the
other other
side side
. .
Consider consider
what what
a a
cocktail cocktail
of of
pharmaceuticals pharmaceuticals
— -
hormones hormone
, ,
steroids steroid
, ,
Vicodin vicodin
— -
does do
to to
a a
fish fish
, ,
to to
a a
dog dog
, ,
to to
a a
child child
. .
But but
this this
isn isn
' '
t t
just just
some some
problem problem
that that
we we
need need
to to
contain contain
. .
If if
we we
flip flip
this this
around around
, ,
we we
can can
create create
a a
resource resource
that that
can can
solve solve
so so
many many
of of
our our
other other
problems problem
. .
And and
I i
want want
to to
get get
you you
comfortable comfortable
with with
this this
idea idea
, ,
so so
imagine imagine
the the
things thing
I i
' '
m m
going go
to to
show show
you you
, ,
these these
technologies technology
, ,
and and
this this
attitude attitude
that that
says say
, ,
" "
We we
' '
re re
going go
to to
reuse reuse
this this
. .
Let let
' '
s s
design design
to to
make make
it it
beautiful beautiful
" "
— -
as as
advanced advanced
potty potty
training training
. .
I i
think think
you you
' '
re re
ready ready
for for
it it
. .
I i
think think
we we
as as
a a
culture culture
are be
ready ready
for for
advanced advanced
potty potty
training training
. .
And and
there there
are be
three three
great great
reasons reason
to to
enroll enroll
today today
. .
Number number
one one
: :
we we
can can
fertilize fertilize
our our
food food
. .
Each each
one one
of of
us us
is be
pooping poop
and and
peeing pee
something something
that that
could could
fertilize fertilize
half half
or or
maybe maybe
all all
of of
our our
food food
, ,
depending depend
on on
our our
diet diet
. .
That that
dark dark
brown brown
poo poo
in in
the the
toilet toilet
is be
dark dark
brown brown
because because
of of
what what
? ?
Dead dead
stuff stuff
, ,
bacteria bacterium
. .
That that
' '
s s
carbon carbon
. .
And and
carbon carbon
, ,
if if
we we
' '
re re
getting get
that that
into into
the the
soil soil
, ,
is be
going go
to to
bind bind
to to
the the
other other
minerals mineral
and and
nutrients nutrient
in in
there there
. .
Boom boom
! !
Healthier healthy
food food
. .
Voil� voil�
! !
Healthier healthy
people people
. .
Chemical chemical
fertilizers fertilizer
by by
definition definition
don don
' '
t t
have have
carbon carbon
in in
them them
. .
Imagine imagine
if if
we we
could could
move move
our our
animal animal
manure manure
and and
our our
human human
manure manure
to to
our our
soil soil
, ,
we we
might might
not not
need need
to to
rely rely
on on
fossil fossil
fuel-based fuel-based
fertilizers fertilizer
, ,
mine mine
minerals mineral
from from
far far
away away
. .
Imagine imagine
how how
much much
energy energy
we we
could could
save save
. .
Now now
, ,
some some
of of
us us
are be
concerned concern
about about
industrial industrial
pollutants pollutant
contaminating contaminate
this this
reuse reuse
cycle cycle
. .
That that
can can
be be
addressed address
. .
But but
we we
need need
to to
separate separate
our our
discomfort discomfort
about about
talking talk
about about
poo poo
and and
pee pee
so so
we we
can can
calmly calmly
talk talk
about about
how how
we we
want want
to to
reuse reuse
it it
and and
what what
things thing
we we
don don
' '
t t
want want
to to
reuse reuse
. .
And and
get get
this this
: :
if if
we we
change change
our our
approach approach
to to
sanitation sanitation
, ,
we we
can can
start start
to to
slow slow
down down
climate climate
change change
. .
Remember remember
that that
carbon carbon
in in
the the
poop poop
? ?
If if
we we
can can
get get
that that
into into
our our
soil soil
bank bank
, ,
it it
' '
s s
going go
to to
start start
to to
absorb absorb
carbon carbon
dioxide dioxide
that that
we we
put put
into into
the the
air air
. .
And and
that that
could could
help help
slow slow
down down
global global
warming warming
. .
I i
want want
to to
show show
you you
some some
brave brave
souls soul
who who
' '
ve ve
had have
the the
courage courage
to to
embrace embrace
this this
advanced advanced
potty potty
training training
approach approach
. .
So so
those those
folks folk
in in
New new
Mexico mexico
— -
why why
did do
they they
do do
it it
? ?
' '
Cause cause
they they
' '
re re
in in
a a
desert desert
? ?
' '
Cause cause
they they
save save
money money
? ?
Yeah yeah
. .
But but
more more
importantly importantly
, ,
they they
felt feel
comfortable comfortable
seeing seeing
what what
was be
going go
down down
the the
toilet toilet
as as
a a
resource resource
. .
Here here
' '
s s
an an
average average
house house
in in
Portland portland
, ,
Oregon oregon
. .
This this
house house
is be
special special
because because
they they
have have
a a
composting compost
toilet toilet
turning turn
all all
their their
poo poo
and and
pee pee
, ,
over over
time time
, ,
into into
a a
soil soil
amendment amendment
. .
Their their
wash wash
water water
, ,
their their
shower shower
water water
, ,
is be
going go
underground underground
to to
a a
series series
of of
mulch mulch
basins basin
, ,
and and
then then
watering water
that that
orchard orchard
downhill downhill
. .
When when
they they
went go
to to
get get
this this
permitted permit
, ,
it it
wasn wasn
' '
t t
allowed allow
in in
Oregon oregon
. .
But but
it it
was be
allowed allow
in in
five five
other other
states state
nearby nearby
. .
That that
was be
Recode recode
' '
s s
— -
my my
organization organization
' '
s s
— -
first first
code- code-
change change
campaign campaign
. .
Here here
' '
s s
a a
great great
example example
where where
the the
Integrated integrated
Water water
Management management
approach approach
was be
the the
cheapest cheap
. .
This this
is be
three three
high-rise high-rise
residential residential
buildings building
in in
downtown downtown
Portland portland
, ,
and and
they they
' '
re re
not not
flushing flush
to to
the the
sewer sewer
system system
. .
How how
? ?
Well well
, ,
their their
wash wash
water water
is be
getting get
reused reuse
to to
flush flush
toilets toilet
, ,
cool cool
mechanical mechanical
systems system
, ,
water water
the the
landscape landscape
. .
And and
then then
once once
the the
building building
has have
thoroughly thoroughly
used use
everything everything
— -
aka aka
, ,
shat shit
in in
it it
— -
it it
' '
s s
treated treat
to to
highest high
standard standard
right right
on-site on-site
by by
plants plant
and and
bacteria bacterium
, ,
and and
then then
infiltrated infiltrate
into into
the the
groundwater groundwater
right right
below below
. .
And and
all all
that that
was be
cheaper cheap
than than
updating update
the the
surrounding surround
sewer sewer
infrastructure infrastructure
. .
So so
that that
' '
s s
the the
last last
reason reason
we we
should should
get get
really really
excited excited
about about
doing do
things thing
differently differently
: :
we we
can can
save save
a a
lot lot
of of
money money
. .
This this
was be
the the
first first
permit permit
of of
its its
kind kind
in in
Oregon oregon
. .
Brave brave
and and
open-minded open-minded
people people
sat sit
down down
and and
felt feel
comfortable comfortable
saying say
, ,
" "
Yeah yeah
, ,
that that
shit shit
makes make
sense sense
. .
" "
" "
Let let
' '
s s
do do
it it
. .
" "
You you
know know
? ?
I i
keep keep
showing show
examples example
where where
everyone everyone
' '
s s
reusing reuse
everything everything
on-site on-site
. .
Why why
? ?
Well well
, ,
when when
we we
look look
at at
our our
aging age
infrastructure infrastructure
— -
and and
it it
is be
old old
— -
and and
we we
look look
at at
the the
cost cost
of of
updating update
it it
, ,
three-quarters three-quarter
of of
that that
cost cost
is be
just just
the the
pipes pipe
snaking snake
through through
our our
city city
. .
So so
as as
we we
build build
anew anew
, ,
as as
we we
renovate renovate
, ,
it it
might might
make make
more more
sense sense
to to
treat treat
and and
reuse reuse
everything everything
on-site on-site
. .
San san
Francisco francisco
realized realize
that that
it it
made make
sense sense
to to
invest invest
in in
rebates rebate
for for
every every
household household
to to
reuse reuse
their their
wash wash
water water
and and
their their
rainwater rainwater
to to
water water
the the
backyard backyard
, ,
because because
the the
amount amount
of of
water water
they they
would would
save save
as as
a a
community community
would would
be be
so so
big big
. .
But but
why why
were be
all all
these these
projects project
so so
innovative innovative
? ?
The the
money money
piece piece
, ,
yeah yeah
. .
But but
more more
importantly importantly
, ,
they they
felt feel
comfortable comfortable
with with
this this
idea idea
of of
advanced advanced
potty potty
training training
. .
Imagine imagine
if if
we we
embraced embrace
innovation innovation
for for
sanitation sanitation
the the
way way
we we
have have
for for
, ,
say say
, ,
solar solar
power power
. .
Think think
about about
it it
— -
solar solar
power power
used use
to to
be be
uncommon uncommon
and and
unaffordable unaffordable
. .
Now now
it it
' '
s s
more more
a a
part part
of of
our our
web web
of of
power power
than than
ever ever
before before
. .
And and
it it
' '
s s
creating create
resiliency resiliency
. .
We we
now now
have have
sources source
of of
power power
like like
the the
sun sun
that that
don don
' '
t t
vary vary
with with
our our
earthly earthly
dramas dramas
. .
What what
' '
s s
driving drive
all all
that that
innovation innovation
? ?
It it
' '
s s
us us
. .
We we
' '
re re
talking talk
about about
energy energy
. .
It it
' '
s s
cool cool
to to
talk talk
about about
energy energy
. .
Some some
folks folk
are be
even even
talking talk
about about
the the
problems problem
with with
the the
limited limited
resources resource
where where
our our
current current
energy energy
is be
coming come
from from
. .
We we
encourage encourage
our our
best good
and and
brightest bright
to to
work work
on on
this this
issue issue
— -
better good
solar solar
panels panel
, ,
better good
batteries battery
, ,
everything everything
. .
So so
let let
' '
s s
talk talk
about about
where where
our our
drinking drinking
water water
is be
coming come
from from
, ,
where where
our our
poo poo
and and
pee pee
are be
actually actually
going go
. .
If if
we we
can can
get get
over over
this this
discomfort discomfort
with with
this this
entire entire
topic topic
, ,
we we
could could
create create
something something
that that
creates create
our our
future future
goldmine goldmine
. .
Every every
time time
you you
flush flush
the the
toilet toilet
, ,
I i
want want
you you
to to
think think
, ,
" "
Where where
is be
my my
poop poop
and and
pee pee
going go
? ?
Will will
they they
be be
gainfully gainfully
employed employ
? ?
" "
" "
Or or
are be
they they
going go
to to
be be
wreaking wreak
havoc havoc
in in
some some
waterway waterway
? ?
" "
If if
you you
don don
' '
t t
know know
, ,
find find
out out
. .
And and
if if
you you
don don
' '
t t
like like
the the
answer answer
, ,
figure figure
out out
how how
you you
can can
communicate communicate
to to
those those
who who
can can
drive drive
this this
change change
that that
you you
have have
advanced advance
potty potty
training training
, ,
that that
you you
are be
ready ready
for for
reuse reuse
. .
How how
all all
of of
you you
feel feel
is be
going go
to to
determine determine
exactly exactly
how how
innovative innovative
we we
can can
be be
. .
Thank thank
you you
so so
much much
. .
