So so
Stanford stanford
, ,
we we
' '
ve ve
been be
working work
on on
autonomous autonomous
cars car
too too
, ,
but but
with with
a a
slightly slightly
different different
spin spin
on on
things thing
. .
You you
see see
, ,
we we
' '
ve ve
been be
developing develop
robotic robotic
race race
cars car
, ,
cars car
that that
can can
actually actually
push push
themselves themselves
to to
the the
very very
limits limit
of of
physical physical
performance performance
. .
Now now
, ,
why why
would would
we we
want want
to to
do do
such such
a a
thing thing
? ?
Well well
, ,
there there
' '
s s
two two
really really
good good
reasons reason
for for
this this
. .
First first
, ,
we we
believe believe
that that
before before
people people
turn turn
over over
control control
to to
an an
autonomous autonomous
car car
, ,
that that
autonomous autonomous
car car
should should
be be
at at
least least
as as
good good
as as
the the
very very
best good
human human
drivers driver
. .
Now now
, ,
if if
you you
' '
re re
like like
me me
, ,
and and
the the
other other
70 @card@
percent percent
of of
the the
population population
who who
know know
that that
we we
are be
above-average above-average
drivers driver
, ,
you you
understand understand
that that
' '
s s
a a
very very
high high
bar bar
. .
There there
' '
s s
another another
reason reason
as as
well well
. .
Just just
like like
race race
car car
drivers driver
can can
use use
all all
of of
the the
friction friction
between between
the the
tire tire
and and
the the
road road
, ,
all all
of of
the the
car car
' '
s s
capabilities capability
to to
go go
as as
fast fast
as as
possible possible
, ,
we we
want want
to to
use use
all all
of of
those those
capabilities capability
to to
avoid avoid
any any
accident accident
we we
can can
. .
Now now
, ,
you you
may may
push push
the the
car car
to to
the the
limits limit
not not
because because
you you
' '
re re
driving drive
too too
fast fast
, ,
but but
because because
you you
' '
ve ve
hit hit
an an
icy icy
patch patch
of of
road road
, ,
conditions condition
have have
changed change
. .
In in
those those
situations situation
, ,
we we
want want
a a
car car
that that
is be
capable capable
enough enough
to to
avoid avoid
any any
accident accident
that that
can can
physically physically
be be
avoided avoid
. .
I i
must must
confess confess
, ,
there there
' '
s s
kind kind
of of
a a
third third
motivation motivation
as as
well well
. .
You you
see see
, ,
I i
have have
a a
passion passion
for for
racing racing
. .
In in
the the
past past
, ,
I i
' '
ve ve
been be
a a
race race
car car
owner owner
, ,
a a
crew crew
chief chief
and and
a a
driving drive
coach coach
, ,
although although
maybe maybe
not not
at at
the the
level level
that that
you you
' '
re re
currently currently
expecting expect
. .
One one
of of
the the
things thing
that that
we we
' '
ve ve
developed develop
in in
the the
lab lab
— -
we we
' '
ve ve
developed develop
several several
vehicles vehicle
— -
is be
what what
we we
believe believe
is be
the the
world world
' '
s s
first first
autonomously autonomously
drifting drift
car car
. .
It it
' '
s s
another another
one one
of of
those those
categories category
where where
maybe maybe
there there
' '
s s
not not
a a
lot lot
of of
competition competition
. .
But but
this this
is be
P1 p1
. .
It it
' '
s s
an an
entirely entirely
student-built student-built
electric electric
vehicle vehicle
, ,
which which
through through
using use
its its
rear-wheel rear-wheel
drive drive
and and
front-wheel front-wheel
steer-by-wire steer-by-wire
can can
drift drift
around around
corners corner
. .
It it
can can
get get
sideways sideways
like like
a a
rally rally
car car
driver driver
, ,
always always
able able
to to
take take
the the
tightest tight
curve curve
, ,
even even
on on
slippery slippery
, ,
changing change
surfaces surface
, ,
never never
spinning spin
out out
. .
We we
' '
ve ve
also also
worked work
with with
Volkswagen volkswagen
Oracle oracle
, ,
on on
Shelley shelley
, ,
an an
autonomous autonomous
race race
car car
that that
has have
raced race
at at
150 @card@
miles mile
an an
hour hour
through through
the the
Bonneville bonneville
Salt salt
Flats flat
, ,
gone go
around around
Thunderhill thunderhill
Raceway raceway
Park park
in in
the the
sun sun
, ,
the the
wind wind
and and
the the
rain rain
, ,
and and
navigated navigate
the the
153 @card@
turns turn
and and
12 @card@
. .
4 @card@
miles mile
of of
the the
Pikes pikes
Peak peak
Hill hill
Climb climb
route route
in in
Colorado colorado
with with
nobody nobody
at at
the the
wheel wheel
. .
I i
guess guess
it it
goes go
without without
saying say
that that
we we
' '
ve ve
had have
a a
lot lot
of of
fun fun
doing do
this this
. .
But but
in in
fact fact
, ,
there there
' '
s s
something something
else else
that that
we we
' '
ve ve
developed develop
in in
the the
process process
of of
developing develop
these these
autonomous autonomous
cars car
. .
We we
have have
developed develop
a a
tremendous tremendous
appreciation appreciation
for for
the the
capabilities capability
of of
human human
race race
car car
drivers driver
. .
As as
we we
' '
ve ve
looked look
at at
the the
question question
of of
how how
well well
do do
these these
cars car
perform perform
, ,
we we
wanted want
to to
compare compare
them them
to to
our our
human human
counterparts counterpart
. .
And and
we we
discovered discover
their their
human human
counterparts counterpart
are be
amazing amazing
. .
Now now
, ,
we we
can can
take take
a a
map map
of of
a a
race race
track track
, ,
we we
can can
take take
a a
mathematical mathematical
model model
of of
a a
car car
, ,
and and
with with
some some
iteration iteration
, ,
we we
can can
actually actually
find find
the the
fastest fast
way way
around around
that that
track track
. .
We we
line line
that that
up up
with with
data datum
that that
we we
record record
from from
a a
professional professional
driver driver
, ,
and and
the the
resemblance resemblance
is be
absolutely absolutely
remarkable remarkable
. .
Yes yes
, ,
there there
are be
subtle subtle
differences difference
here here
, ,
but but
the the
human human
race race
car car
driver driver
is be
able able
to to
go go
out out
and and
drive drive
an an
amazingly amazingly
fast fast
line line
, ,
without without
the the
benefit benefit
of of
an an
algorithm algorithm
that that
compares compare
the the
trade-off trade-off
between between
going go
as as
fast fast
as as
possible possible
in in
this this
corner corner
, ,
and and
shaving shave
a a
little little
bit bit
of of
time time
off off
of of
the the
straight straight
over over
here here
. .
Not not
only only
that that
, ,
they they
' '
re re
able able
to to
do do
it it
lap lap
after after
lap lap
after after
lap lap
. .
They they
' '
re re
able able
to to
go go
out out
and and
consistently consistently
do do
this this
, ,
pushing push
the the
car car
to to
the the
limits limit
every every
single single
time time
. .
It it
' '
s s
extraordinary extraordinary
to to
watch watch
. .
You you
put put
them them
in in
a a
new new
car car
, ,
and and
after after
a a
few few
laps lap
, ,
they they
' '
ve ve
found find
the the
fastest fast
line line
in in
that that
car car
, ,
and and
they they
' '
re re
off off
to to
the the
races race
. .
It it
really really
makes make
you you
think think
, ,
we we
' '
d d
love love
to to
know know
what what
' '
s s
going go
on on
inside inside
their their
brain brain
. .
So so
as as
researchers researcher
, ,
that that
' '
s s
what what
we we
decided decide
to to
find find
out out
. .
We we
decided decide
to to
instrument instrument
not not
only only
the the
car car
, ,
but but
also also
the the
race race
car car
driver driver
, ,
to to
try try
to to
get get
a a
glimpse glimpse
into into
what what
was be
going go
on on
in in
their their
head head
as as
they they
were be
doing do
this this
. .
Now now
, ,
this this
is be
Dr dr
. .
Lene lene
Harbott harbott
applying apply
electrodes electrode
to to
the the
head head
of of
John john
Morton morton
. .
John john
Morton morton
is be
a a
former former
Can-Am can-am
and and
IMSA imsa
driver driver
, ,
who who
' '
s s
also also
a a
class class
champion champion
at at
Le le
Mans mans
. .
Fantastic fantastic
driver driver
, ,
and and
very very
willing willing
to to
put put
up up
with with
graduate graduate
students student
and and
this this
sort sort
of of
research research
. .
She she
' '
s s
putting put
electrodes electrode
on on
his his
head head
so so
that that
we we
can can
monitor monitor
the the
electrical electrical
activity activity
in in
John john
' '
s s
brain brain
as as
he he
races race
around around
the the
track track
. .
Now now
, ,
clearly clearly
we we
' '
re re
not not
going go
to to
put put
a a
couple couple
of of
electrodes electrode
on on
his his
head head
and and
understand understand
exactly exactly
what what
all all
of of
his his
thoughts thought
are be
on on
the the
track track
. .
However however
, ,
neuroscientists neuroscientist
have have
identified identify
certain certain
patterns pattern
that that
let let
us us
tease tease
out out
some some
very very
important important
aspects aspect
of of
this this
. .
For for
instance instance
, ,
the the
resting resting
brain brain
tends tend
to to
generate generate
a a
lot lot
of of
alpha alpha
waves wave
. .
In in
contrast contrast
, ,
theta theta
waves wave
are be
associated associate
with with
a a
lot lot
of of
cognitive cognitive
activity activity
, ,
like like
visual visual
processing processing
, ,
things thing
where where
the the
driver driver
is be
thinking think
quite quite
a a
bit bit
. .
Now now
, ,
we we
can can
measure measure
this this
, ,
and and
we we
can can
look look
at at
the the
relative relative
power power
between between
the the
theta theta
waves wave
and and
the the
alpha alpha
waves wave
. .
This this
gives give
us us
a a
measure measure
of of
mental mental
workload workload
, ,
how how
much much
the the
driver driver
is be
actually actually
challenged challenge
cognitively cognitively
at at
any any
point point
along along
the the
track track
. .
Now now
, ,
we we
wanted want
to to
see see
if if
we we
could could
actually actually
record record
this this
on on
the the
track track
, ,
so so
we we
headed head
down down
south south
to to
Laguna laguna
Seca seca
. .
Laguna laguna
Seca seca
is be
a a
legendary legendary
raceway raceway
about about
halfway halfway
between between
Salinas salinas
and and
Monterey monterey
. .
It it
has have
a a
curve curve
there there
called call
the the
Corkscrew corkscrew
. .
Now now
, ,
the the
Corkscrew corkscrew
is be
a a
chicane chicane
, ,
followed follow
by by
a a
quick quick
right-handed right-handed
turn turn
as as
the the
road road
drops drop
three three
stories story
. .
Now now
, ,
the the
strategy strategy
for for
driving drive
this this
as as
explained explain
to to
me me
was be
, ,
you you
aim aim
for for
the the
bush bush
in in
the the
distance distance
, ,
and and
as as
the the
road road
falls fall
away away
, ,
you you
realize realize
it it
was be
actually actually
the the
top top
of of
a a
tree tree
. .
All all
right right
, ,
so so
thanks thanks
to to
the the
Revs rev
Program program
at at
Stanford stanford
, ,
we we
were be
able able
to to
take take
John john
there there
and and
put put
him him
behind behind
the the
wheel wheel
of of
a a
1960 @card@
Porsche porsche
Abarth abarth
Carrera carrera
. .
Life life
is be
way way
too too
short short
for for
boring boring
cars car
. .
So so
, ,
here here
you you
see see
John john
on on
the the
track track
, ,
he he
' '
s s
going go
up up
the the
hill hill
— -
Oh oh
! !
Somebody somebody
liked like
that that
— -
and and
you you
can can
see see
, ,
actually actually
, ,
his his
mental mental
workload workload
— -
measuring measure
here here
in in
the the
red red
bar bar
— -
you you
can can
see see
his his
actions action
as as
he he
approaches approach
. .
Now now
watch watch
, ,
he he
has have
to to
downshift downshift
. .
And and
then then
he he
has have
to to
turn turn
left leave
. .
Look look
for for
the the
tree tree
, ,
and and
down down
. .
Not not
surprisingly surprisingly
, ,
you you
can can
see see
this this
is be
a a
pretty pretty
challenging challenging
task task
. .
You you
can can
see see
his his
mental mental
workload workload
spike spike
as as
he he
goes go
through through
this this
, ,
as as
you you
would would
expect expect
with with
something something
that that
requires require
this this
level level
of of
complexity complexity
. .
But but
what what
' '
s s
really really
interesting interesting
is be
to to
look look
at at
areas area
of of
the the
track track
where where
his his
mental mental
workload workload
doesn doesn
' '
t t
increase increase
. .
I i
' '
m m
going go
to to
take take
you you
around around
now now
to to
the the
other other
side side
of of
the the
track track
. .
Turn turn
three three
. .
And and
John john
' '
s s
going go
to to
go go
into into
that that
corner corner
and and
the the
rear rear
end end
of of
the the
car car
is be
going go
to to
begin begin
to to
slide slide
out out
. .
He he
' '
s s
going go
to to
have have
to to
correct correct
for for
that that
with with
steering steering
. .
So so
watch watch
as as
John john
does do
this this
here here
. .
Watch watch
the the
mental mental
workload workload
, ,
and and
watch watch
the the
steering steering
. .
The the
car car
begins begin
to to
slide slide
out out
, ,
dramatic dramatic
maneuver maneuver
to to
correct correct
it it
, ,
and and
no no
change change
whatsoever whatsoever
in in
the the
mental mental
workload workload
. .
Not not
a a
challenging challenging
task task
. .
In in
fact fact
, ,
entirely entirely
reflexive reflexive
. .
Now now
, ,
our our
data datum
processing process
on on
this this
is be
still still
preliminary preliminary
, ,
but but
it it
really really
seems seem
that that
these these
phenomenal phenomenal
feats feat
that that
the the
race race
car car
drivers driver
are be
performing perform
are be
instinctive instinctive
. .
They they
are be
things thing
that that
they they
have have
simply simply
learned learn
to to
do do
. .
It it
requires require
very very
little little
mental mental
workload workload
for for
them them
to to
perform perform
these these
amazing amazing
feats feat
. .
And and
their their
actions action
are be
fantastic fantastic
. .
This this
is be
exactly exactly
what what
you you
want want
to to
do do
on on
the the
steering steer
wheel wheel
to to
catch catch
the the
car car
in in
this this
situation situation
. .
Now now
, ,
this this
has have
given give
us us
tremendous tremendous
insight insight
and and
inspiration inspiration
for for
our our
own own
autonomous autonomous
vehicles vehicle
. .
We we
' '
ve ve
started start
to to
ask ask
the the
question question
: :
Can can
we we
make make
them them
a a
little little
less less
algorithmic algorithmic
and and
a a
little little
more more
intuitive intuitive
? ?
Can can
we we
take take
this this
reflexive reflexive
action action
that that
we we
see see
from from
the the
very very
best good
race race
car car
drivers driver
, ,
introduce introduce
it it
to to
our our
cars car
, ,
and and
maybe maybe
even even
into into
a a
system system
that that
could could
get get
onto onto
your your
car car
in in
the the
future future
? ?
That that
would would
take take
us us
a a
long long
step step
along along
the the
road road
to to
autonomous autonomous
vehicles vehicle
that that
drive drive
as as
well well
as as
the the
best good
humans human
. .
But but
it it
' '
s s
made make
us us
think think
a a
little little
bit bit
more more
deeply deeply
as as
well well
. .
Do do
we we
want want
something something
more more
from from
our our
car car
than than
to to
simply simply
be be
a a
chauffeur chauffeur
? ?
Do do
we we
want want
our our
car car
to to
perhaps perhaps
be be
a a
partner partner
, ,
a a
coach coach
, ,
someone someone
that that
can can
use use
their their
understanding understanding
of of
the the
situation situation
to to
help help
us us
reach reach
our our
potential potential
? ?
Can can
, ,
in in
fact fact
, ,
the the
technology technology
not not
simply simply
replace replace
humans human
, ,
but but
allow allow
us us
to to
reach reach
the the
level level
of of
reflex reflex
and and
intuition intuition
that that
we we
' '
re re
all all
capable capable
of of
? ?
So so
, ,
as as
we we
move move
forward forward
into into
this this
technological technological
future future
, ,
I i
want want
you you
to to
just just
pause pause
and and
think think
of of
that that
for for
a a
moment moment
. .
What what
is be
the the
ideal ideal
balance balance
of of
human human
and and
machine machine
? ?
And and
as as
we we
think think
about about
that that
, ,
let let
' '
s s
take take
inspiration inspiration
from from
the the
absolutely absolutely
amazing amazing
capabilities capability
of of
the the
human human
body body
and and
the the
human human
mind mind
. .
Thank thank
you you
. .
