Chris chris
with with
others other
. .
That that
brought bring
us us
out out
of of
the the
jungle jungle
and and
out out
of of
small small
groups group
, ,
but but
it it
means mean
that that
we we
have have
eternal eternal
conflict conflict
. .
The the
question question
you you
have have
to to
look look
at at
is be
: :
What what
aspects aspect
of of
our our
society society
are be
making make
that that
more more
bitter bitter
, ,
and and
what what
are be
calming calm
them them
down down
? ?
CA ca
: :
That that
' '
s s
a a
very very
dark dark
proverb proverb
. .
You you
' '
re re
saying say
that that
that that
' '
s s
actually actually
baked bake
into into
most most
people people
' '
s s
mental mental
wiring wiring
at at
some some
level level
? ?
JH jh
: :
Oh oh
, ,
absolutely absolutely
. .
This this
is be
just just
a a
basic basic
aspect aspect
of of
human human
social social
cognition cognition
. .
But but
we we
can can
also also
live live
together together
really really
peacefully peacefully
, ,
and and
we we
' '
ve ve
invented invent
all all
kinds kind
of of
fun fun
ways way
of of
, ,
like like
, ,
playing play
war war
. .
I i
mean mean
, ,
sports sport
, ,
politics politics
— -
these these
are be
all all
ways way
that that
we we
get get
to to
exercise exercise
this this
tribal tribal
nature nature
without without
actually actually
hurting hurt
anyone anyone
. .
We we
' '
re re
also also
really really
good good
at at
trade trade
and and
exploration exploration
and and
meeting meet
new new
people people
. .
So so
you you
have have
to to
see see
our our
tribalism tribalism
as as
something something
that that
goes go
up up
or or
down down
— -
it it
' '
s s
not not
like like
we we
' '
re re
doomed doom
to to
always always
be be
fighting fight
each each
other other
, ,
but but
we we
' '
ll ll
never never
have have
world world
peace peace
. .
CA ca
: :
The the
size size
of of
that that
tribe tribe
can can
shrink shrink
or or
expand expand
. .
JH jh
: :
Right right
. .
CA ca
: :
The the
size size
of of
what what
we we
consider consider
" "
us us
" "
and and
what what
we we
consider consider
" "
other other
" "
or or
" "
them them
" "
can can
change change
. .
And and
some some
people people
believed believe
that that
process process
could could
continue continue
indefinitely indefinitely
. .
JH jh
: :
That that
' '
s s
right right
. .
CA ca
: :
And and
we we
were be
indeed indeed
expanding expand
the the
sense sense
of of
tribe tribe
for for
a a
while while
. .
JH jh
: :
So so
this this
is be
, ,
I i
think think
, ,
where where
we we
' '
re re
getting get
at at
what what
' '
s s
possibly possibly
the the
new new
left- left-
right right
distinction distinction
. .
I i
mean mean
, ,
the the
left-right left-right
as as
we we
' '
ve ve
all all
inherited inherit
it it
, ,
comes come
out out
of of
the the
labor labor
versus versus
capital capital
distinction distinction
, ,
and and
the the
working work
class class
, ,
and and
Marx marx
. .
But but
I i
think think
what what
we we
' '
re re
seeing see
now now
, ,
increasingly increasingly
, ,
is be
a a
divide divide
in in
all all
the the
Western western
democracies democracy
between between
the the
people people
who who
want want
to to
stop stop
at at
nation nation
, ,
the the
people people
who who
are be
more more
parochial parochial
— -
and and
I i
don don
' '
t t
mean mean
that that
in in
a a
bad bad
way way
— -
people people
who who
have have
much much
more more
of of
a a
sense sense
of of
being be
rooted root
, ,
they they
care care
about about
their their
town town
, ,
their their
community community
and and
their their
nation nation
. .
And and
then then
those those
who who
are be
anti-parochial anti-parochial
and and
who who
— -
whenever whenever
I i
get get
confused confuse
, ,
I i
just just
think think
of of
the the
John john
Lennon lennon
song song
" "
Imagine imagine
. .
" "
" "
Imagine imagine
there there
' '
s s
no no
countries country
, ,
nothing nothing
to to
kill kill
or or
die die
for for
. .
" "
And and
so so
these these
are be
the the
people people
who who
want want
more more
global global
governance governance
, ,
they they
don don
' '
t t
like like
nation nation
states state
, ,
they they
don don
' '
t t
like like
borders border
. .
You you
see see
this this
all all
over over
Europe europe
as as
well well
. .
There there
' '
s s
a a
great great
metaphor metaphor
guy guy
— -
actually actually
, ,
his his
name name
is be
Shakespeare shakespeare
— -
writing writing
ten ten
years year
ago ago
in in
Britain britain
. .
He he
had have
a a
metaphor metaphor
: :
" "
Are be
we we
drawbridge-uppers drawbridge-upper
or or
drawbridge-downers drawbridge-downer
? ?
" "
And and
Britain britain
is be
divided divide
52-48 @card@
on on
that that
point point
. .
And and
America america
is be
divided divide
on on
that that
point point
, ,
too too
. .
CA ca
: :
And and
so so
, ,
those those
of of
us us
who who
grew grow
up up
with with
The the
Beatles beatles
and and
that that
sort sort
of of
hippie hippie
philosophy philosophy
of of
dreaming dream
of of
a a
more more
connected connected
world world
— -
it it
felt feel
so so
idealistic idealistic
and and
" "
how how
could could
anyone anyone
think think
badly badly
about about
that that
? ?
" "
And and
what what
you you
' '
re re
saying saying
is be
that that
, ,
actually actually
, ,
millions million
of of
people people
today today
feel feel
that that
that that
isn isn
' '
t t
just just
silly silly
; ;
it it
' '
s s
actually actually
dangerous dangerous
and and
wrong wrong
, ,
and and
they they
' '
re re
scared scare
of of
it it
. .
JH jh
: :
I i
think think
the the
big big
issue issue
, ,
especially especially
in in
Europe europe
but but
also also
here here
, ,
is be
the the
issue issue
of of
immigration immigration
. .
And and
I i
think think
this this
is be
where where
we we
have have
to to
look look
very very
carefully carefully
at at
the the
social social
science science
about about
diversity diversity
and and
immigration immigration
. .
Once once
something something
becomes become
politicized politicize
, ,
once once
it it
becomes become
something something
that that
the the
left leave
loves love
and and
the the
right right
— -
then then
even even
the the
social social
scientists scientist
can can
' '
t t
think think
straight straight
about about
it it
. .
Now now
, ,
diversity diversity
is be
good good
in in
a a
lot lot
of of
ways way
. .
It it
clearly clearly
creates create
more more
innovation innovation
. .
The the
American american
economy economy
has have
grown grow
enormously enormously
from from
it it
. .
Diversity diversity
and and
immigration immigration
do do
a a
lot lot
of of
good good
things thing
. .
But but
what what
the the
globalists globalist
, ,
I i
think think
, ,
don don
' '
t t
see see
, ,
what what
they they
don don
' '
t t
want want
to to
see see
, ,
is be
that that
ethnic ethnic
diversity diversity
cuts cut
social social
capital capital
and and
trust trust
. .
There there
' '
s s
a a
very very
important important
study study
by by
Robert robert
Putnam putnam
, ,
the the
author author
of of
" "
Bowling bowling
Alone alone
, ,
" "
looking look
at at
social social
capital capital
databases database
. .
And and
basically basically
, ,
the the
more more
people people
feel feel
that that
they they
are be
the the
same same
, ,
the the
more more
they they
trust trust
each each
other other
, ,
the the
more more
they they
can can
have have
a a
redistributionist redistributionist
welfare welfare
state state
. .
Scandinavian scandinavian
countries country
are be
so so
wonderful wonderful
because because
they they
have have
this this
legacy legacy
of of
being be
small small
, ,
homogenous homogenous
countries country
. .
And and
that that
leads lead
to to
a a
progressive progressive
welfare welfare
state state
, ,
a a
set set
of of
progressive progressive
left-leaning left-leaning
values value
, ,
which which
says say
, ,
" "
Drawbridge drawbridge
down down
! !
The the
world world
is be
a a
great great
place place
. .
People people
in in
Syria syria
are be
suffering suffer
— -
we we
must must
welcome welcome
them them
in in
. .
" "
And and
it it
' '
s s
a a
beautiful beautiful
thing thing
. .
But but
if if
, ,
and and
I i
was be
in in
Sweden sweden
this this
summer summer
, ,
if if
the the
discourse discourse
in in
Sweden sweden
is be
fairly fairly
politically politically
correct correct
and and
they they
can can
' '
t t
talk talk
about about
the the
downsides downside
, ,
you you
end end
up up
bringing bring
a a
lot lot
of of
people people
in in
. .
That that
' '
s s
going go
to to
cut cut
social social
capital capital
, ,
it it
makes make
it it
hard hard
to to
have have
a a
welfare welfare
state state
and and
they they
might might
end end
up up
, ,
as as
we we
have have
in in
America america
, ,
with with
a a
racially racially
divided divide
, ,
visibly visibly
racially racially
divided divide
, ,
society society
. .
So so
this this
is be
all all
very very
uncomfortable uncomfortable
to to
talk talk
about about
. .
But but
I i
think think
this this
is be
the the
thing thing
, ,
especially especially
in in
Europe europe
and and
for for
us us
, ,
too too
, ,
we we
need need
to to
be be
looking look
at at
. .
CA ca
: :
You you
' '
re re
saying say
that that
people people
of of
reason reason
, ,
people people
who who
would would
consider consider
themselves themselves
not not
racists racist
, ,
but but
moral moral
, ,
upstanding upstanding
people people
, ,
have have
a a
rationale rationale
that that
says say
humans human
are be
just just
too too
different different
; ;
that that
we we
' '
re re
in in
danger danger
of of
overloading overload
our our
sense sense
of of
what what
humans human
are be
capable capable
of of
, ,
by by
mixing mix
in in
people people
who who
are be
too too
different different
. .
JH jh
: :
Yes yes
, ,
but but
I i
can can
make make
it it
much much
more more
palatable palatable
by by
saying say
it it
' '
s s
not not
necessarily necessarily
about about
race race
. .
It it
' '
s s
about about
culture culture
. .
There there
' '
s s
wonderful wonderful
work work
by by
a a
political political
scientist scientist
named name
Karen karen
Stenner stenner
, ,
who who
shows show
that that
when when
people people
have have
a a
sense sense
that that
we we
are be
all all
united unite
, ,
we we
' '
re re
all all
the the
same same
, ,
there there
are be
many many
people people
who who
have have
a a
predisposition predisposition
to to
authoritarianism authoritarianism
. .
Those those
people people
aren aren
' '
t t
particularly particularly
racist racist
when when
they they
feel feel
as as
through through
there there
' '
s s
not not
a a
threat threat
to to
our our
social social
and and
moral moral
order order
. .
But but
if if
you you
prime prime
them them
experimentally experimentally
by by
thinking think
we we
' '
re re
coming come
apart apart
, ,
people people
are be
getting get
more more
different different
, ,
then then
they they
get get
more more
racist racist
, ,
homophobic homophobic
, ,
they they
want want
to to
kick kick
out out
the the
deviants deviant
. .
So so
it it
' '
s s
in in
part part
that that
you you
get get
an an
authoritarian authoritarian
reaction reaction
. .
The the
left left
, ,
following follow
through through
the the
Lennonist lennonist
line line
— -
the the
John john
Lennon lennon
line line
— -
does do
things thing
that that
create create
an an
authoritarian authoritarian
reaction reaction
. .
We we
' '
re re
certainly certainly
seeing see
that that
in in
America america
with with
the the
alt-right alt-right
. .
We we
saw see
it it
in in
Britain britain
, ,
we we
' '
ve ve
seen see
it it
all all
over over
Europe europe
. .
But but
the the
more more
positive positive
part part
of of
that that
is be
that that
I i
think think
the the
localists localist
, ,
or or
the the
nationalists nationalist
, ,
are be
actually actually
right right
— -
that that
, ,
if if
you you
emphasize emphasize
our our
cultural cultural
similarity similarity
, ,
then then
race race
doesn doesn
' '
t t
actually actually
matter matter
very very
much much
. .
So so
an an
assimilationist assimilationist
approach approach
to to
immigration immigration
removes remove
a a
lot lot
of of
these these
problems problem
. .
And and
if if
you you
value value
having have
a a
generous generous
welfare welfare
state state
, ,
you you
' '
ve ve
got get
to to
emphasize emphasize
that that
we we
' '
re re
all all
the the
same same
. .
CA ca
: :
OK ok
, ,
so so
rising rise
immigration immigration
and and
fears fear
about about
that that
are be
one one
of of
the the
causes cause
of of
the the
current current
divide divide
. .
What what
are be
other other
causes cause
? ?
JH jh
: :
The the
next next
principle principle
of of
moral moral
psychology psychology
is be
that that
intuitions intuition
come come
first first
, ,
strategic strategic
reasoning reasoning
second second
. .
You you
' '
ve ve
probably probably
heard hear
the the
term term
" "
motivated motivated
reasoning reasoning
" "
or or
" "
confirmation confirmation
bias bias
. .
" "
There there
' '
s s
some some
really really
interesting interesting
work work
on on
how how
our our
high high
intelligence intelligence
and and
our our
verbal verbal
abilities ability
might might
have have
evolved evolve
not not
to to
help help
us us
find find
out out
the the
truth truth
, ,
but but
to to
help help
us us
manipulate manipulate
each each
other other
, ,
defend defend
our our
reputation reputation
. .
. .
. .
We we
' '
re re
really really
, ,
really really
good good
at at
justifying justify
ourselves ourselves
. .
And and
when when
you you
bring bring
group group
interests interest
into into
account account
, ,
so so
it it
' '
s s
not not
just just
me me
, ,
it it
' '
s s
my my
team team
versus versus
your your
team team
, ,
whereas whereas
if if
you you
' '
re re
evaluating evaluate
evidence evidence
that that
your your
side side
is be
wrong wrong
, ,
we we
just just
can can
' '
t t
accept accept
that that
. .
So so
this this
is be
why why
you you
can can
' '
t t
win win
a a
political political
argument argument
. .
If if
you you
' '
re re
debating debate
something something
, ,
you you
can can
' '
t t
persuade persuade
the the
person person
with with
reasons reason
and and
evidence evidence
, ,
because because
that that
' '
s s
not not
the the
way way
reasoning reasoning
works work
. .
So so
now now
, ,
give give
us us
the the
internet internet
, ,
give give
us us
Google google
: :
" "
I i
heard hear
that that
Barack barack
Obama obama
was be
born bear
in in
Kenya kenya
. .
Let let
me me
Google google
that that
— -
oh oh
my my
God god
! !
10 @card@
million million
hits hit
! !
Look look
, ,
he he
was be
! !
" "
CA ca
: :
So so
this this
has have
come come
as as
an an
unpleasant unpleasant
surprise surprise
to to
a a
lot lot
of of
people people
. .
Social social
media medium
has have
often often
been be
framed frame
by by
techno-optimists techno-optimist
as as
this this
great great
connecting connect
force force
that that
would would
bring bring
people people
together together
. .
And and
there there
have have
been be
some some
unexpected unexpected
counter- counter-
effects effect
to to
that that
. .
JH jh
: :
That that
' '
s s
right right
. .
That that
' '
s s
why why
I i
' '
m m
very very
enamored enamor
of of
yin-yang yin-yang
views view
of of
human human
nature nature
and and
left-right left-right
— -
that that
each each
side side
is be
right right
about about
certain certain
things thing
, ,
but but
then then
it it
goes go
blind blind
to to
other other
things thing
. .
And and
so so
the the
left left
generally generally
believes believe
that that
human human
nature nature
is be
good good
: :
bring bring
people people
together together
, ,
knock knock
down down
the the
walls wall
and and
all all
will will
be be
well well
. .
The the
right right
— -
social social
conservatives conservative
, ,
not not
libertarians libertarian
— -
social social
conservatives conservative
generally generally
believe believe
people people
can can
be be
greedy greedy
and and
sexual sexual
and and
selfish selfish
, ,
and and
we we
need need
regulation regulation
, ,
and and
we we
need need
restrictions restriction
. .
So so
, ,
yeah yeah
, ,
if if
you you
knock knock
down down
all all
the the
walls wall
, ,
allow allow
people people
to to
communicate communicate
all all
over over
the the
world world
, ,
you you
get get
a a
lot lot
of of
porn porn
and and
a a
lot lot
of of
racism racism
. .
CA ca
: :
So so
help help
us us
understand understand
. .
These these
principles principle
of of
human human
nature nature
have have
been be
with with
us us
forever forever
. .
What what
' '
s s
changed change
that that
' '
s s
deepened deepen
this this
feeling feeling
of of
division division
? ?
JH jh
: :
You you
have have
to to
see see
six six
to to
ten ten
different different
threads thread
all all
coming come
together together
. .
I i
' '
ll ll
just just
list list
a a
couple couple
of of
them them
. .
So so
in in
America america
, ,
one one
of of
the the
big big
— -
actually actually
, ,
America america
and and
Europe europe
— -
one one
of of
the the
biggest big
ones one
is be
World world
War war
II ii
. .
There there
' '
s s
interesting interesting
research research
from from
Joe joe
Henrich henrich
and and
others other
that that
says say
if if
your your
country country
was be
at at
war war
, ,
especially especially
when when
you you
were be
young young
, ,
then then
we we
test test
you you
30 @card@
years year
later later
in in
a a
commons commons
dilemma dilemma
or or
a a
prisoner prisoner
' '
s s
dilemma dilemma
, ,
you you
' '
re re
more more
cooperative cooperative
. .
Because because
of of
our our
tribal tribal
nature nature
, ,
if if
you you
' '
re re
— -
my my
parents parent
were be
teenagers teenager
during during
World world
War war
II ii
, ,
and and
they they
would would
go go
out out
looking look
for for
scraps scrap
of of
aluminum aluminum
to to
help help
the the
war war
effort effort
. .
I i
mean mean
, ,
everybody everybody
pulled pull
together together
. .
And and
so so
then then
these these
people people
go go
on on
, ,
they they
rise rise
up up
through through
business business
and and
government government
, ,
they they
take take
leadership leadership
positions position
. .
They they
' '
re re
really really
good good
at at
compromise compromise
and and
cooperation cooperation
. .
They they
all all
retire retire
by by
the the
' '
90s 90s
. .
So so
we we
' '
re re
left leave
with with
baby baby
boomers boomer
by by
the the
end end
of of
the the
' '
90s 90s
. .
And and
their their
youth youth
was be
spent spend
fighting fight
each each
other other
within within
each each
country country
, ,
in in
1968 @card@
and and
afterwards afterwards
. .
The the
loss loss
of of
the the
World world
War war
II ii
generation generation
, ,
" "
The the
Greatest greatest
Generation generation
, ,
" "
is be
huge huge
. .
So so
that that
' '
s s
one one
. .
Another another
, ,
in in
America america
, ,
is be
the the
purification purification
of of
the the
two two
parties party
. .
There there
used use
to to
be be
liberal liberal
Republicans republican
and and
conservative conservative
Democrats democrat
. .
So so
America america
had have
a a
mid-20th mid-20th
century century
that that
was be
really really
bipartisan bipartisan
. .
But but
because because
of of
a a
variety variety
of of
factors factor
that that
started start
things thing
moving move
, ,
by by
the the
90 @card@
' '
s s
, ,
we we
had have
a a
purified purify
liberal liberal
party party
and and
conservative conservative
party party
. .
So so
now now
, ,
the the
people people
in in
either either
party party
really really
are be
different different
, ,
and and
we we
really really
don don
' '
t t
want want
our our
children child
to to
marry marry
them them
, ,
which which
, ,
in in
the the
' '
60s 60s
, ,
didn didn
' '
t t
matter matter
very very
much much
. .
So so
, ,
the the
purification purification
of of
the the
parties party
. .
Third third
is be
the the
internet internet
and and
, ,
as as
I i
said say
, ,
it it
' '
s s
just just
the the
most most
amazing amazing
stimulant stimulant
for for
post-hoc post-hoc
reasoning reasoning
and and
demonization demonization
. .
CA ca
: :
The the
tone tone
of of
what what
' '
s s
happening happen
on on
the the
internet internet
now now
is be
quite quite
troubling troubling
. .
I i
just just
did do
a a
quick quick
search search
on on
Twitter twitter
about about
the the
election election
and and
saw see
two two
tweets tweet
next next
to to
each each
other other
. .
One one
, ,
against against
a a
picture picture
of of
racist racist
graffiti graffito
: :
" "
This this
is be
disgusting disgusting
! !
Ugliness ugliness
in in
this this
country country
, ,
brought bring
to to
us us
by by
#Trump #trump
. .
" "
And and
then then
the the
next next
one one
is be
: :
" "
Crooked crooked
Hillary hillary
dedication dedication
page page
. .
Disgusting disgusting
! !
" "
So so
this this
idea idea
of of
" "
disgust disgust
" "
is be
troubling troubling
to to
me me
. .
Because because
you you
can can
have have
an an
argument argument
or or
a a
disagreement disagreement
about about
something something
, ,
you you
can can
get get
angry angry
at at
someone someone
. .
Disgust disgust
, ,
I i
' '
ve ve
heard hear
you you
say say
, ,
takes take
things thing
to to
a a
much much
deeper deep
level level
. .
JH jh
: :
That that
' '
s s
right right
. .
Disgust disgust
is be
different different
. .
Anger anger
— -
you you
know know
, ,
I i
have have
kids kid
. .
They they
fight fight
10 @card@
times time
a a
day day
, ,
and and
they they
love love
each each
other other
30 @card@
times time
a a
day day
. .
You you
just just
go go
back back
and and
forth forth
: :
you you
get get
angry angry
, ,
you you
' '
re re
not not
angry angry
; ;
you you
' '
re re
angry angry
, ,
you you
' '
re re
not not
angry angry
. .
But but
disgust disgust
is be
different different
. .
Disgust disgust
paints paint
the the
person person
as as
subhuman subhuman
, ,
monstrous monstrous
, ,
deformed deformed
, ,
morally morally
deformed deform
. .
Disgust disgust
is be
like like
indelible indelible
ink ink
. .
There there
' '
s s
research research
from from
John john
Gottman gottman
on on
marital marital
therapy therapy
. .
If if
you you
look look
at at
the the
faces face
— -
if if
one one
of of
the the
couple couple
shows show
disgust disgust
or or
contempt contempt
, ,
that that
' '
s s
a a
predictor predictor
that that
they they
' '
re re
going go
to to
get get
divorced divorce
soon soon
, ,
whereas whereas
if if
they they
show show
anger anger
, ,
that that
doesn doesn
' '
t t
predict predict
anything anything
, ,
because because
if if
you you
deal deal
with with
anger anger
well well
, ,
it it
actually actually
is be
good good
. .
So so
this this
election election
is be
different different
. .
Donald donald
Trump trump
personally personally
uses use
the the
word word
" "
disgust disgust
" "
a a
lot lot
. .
He he
' '
s s
very very
germ-sensitive germ-sensitive
, ,
so so
disgust disgust
does do
matter matter
a a
lot lot
— -
more more
for for
him him
, ,
that that
' '
s s
something something
unique unique
to to
him him
— -
but but
as as
we we
demonize demonize
each each
other other
more more
, ,
and and
again again
, ,
through through
the the
Manichaean manichaean
worldview worldview
, ,
the the
idea idea
that that
the the
world world
is be
a a
battle battle
between between
good good
and and
evil evil
as as
this this
has have
been be
ramping ramp
up up
, ,
we we
' '
re re
more more
likely likely
not not
just just
to to
say say
they they
' '
re re
wrong wrong
or or
I i
don don
' '
t t
like like
them them
, ,
but but
we we
say say
they they
' '
re re
evil evil
, ,
they they
' '
re re
satanic satanic
, ,
they they
' '
re re
disgusting disgusting
, ,
they they
' '
re re
revolting revolting
. .
And and
then then
we we
want want
nothing nothing
to to
do do
with with
them them
. .
And and
that that
' '
s s
why why
I i
think think
we we
' '
re re
seeing see
it it
, ,
for for
example example
, ,
on on
campus campus
now now
. .
We we
' '
re re
seeing see
more more
the the
urge urge
to to
keep keep
people people
off off
campus campus
, ,
silence silence
them them
, ,
keep keep
them them
away away
. .
I i
' '
m m
afraid afraid
that that
this this
whole whole
generation generation
of of
young young
people people
, ,
if if
their their
introduction introduction
to to
politics politics
involves involve
a a
lot lot
of of
disgust disgust
, ,
they they
' '
re re
not not
going go
to to
want want
to to
be be
involved involve
in in
politics politics
as as
they they
get get
older old
. .
CA ca
: :
So so
how how
do do
we we
deal deal
with with
that that
? ?
Disgust disgust
. .
How how
do do
you you
defuse defuse
disgust disgust
? ?
JH jh
: :
You you
can can
' '
t t
do do
it it
with with
reasons reason
. .
I i
think think
. .
. .
. .
I i
studied study
disgust disgust
for for
many many
years year
, ,
and and
I i
think think
about about
emotions emotion
a a
lot lot
. .
And and
I i
think think
that that
the the
opposite opposite
of of
disgust disgust
is be
actually actually
love love
. .
Love love
is be
all all
about about
, ,
like like
. .
. .
. .
Disgust disgust
is be
closing close
off off
, ,
borders border
. .
Love love
is be
about about
dissolving dissolve
walls wall
. .
So so
personal personal
relationships relationship
, ,
I i
think think
, ,
are be
probably probably
the the
most most
powerful powerful
means mean
we we
have have
. .
You you
can can
be be
disgusted disgust
by by
a a
group group
of of
people people
, ,
but but
then then
you you
meet meet
a a
particular particular
person person
and and
you you
genuinely genuinely
discover discover
that that
they they
' '
re re
lovely lovely
. .
And and
then then
gradually gradually
that that
chips chip
away away
or or
changes change
your your
category category
as as
well well
. .
The the
tragedy tragedy
is be
, ,
Americans americans
used use
to to
be be
much much
more more
mixed mix
up up
in in
the the
their their
towns town
by by
left-right left-right
or or
politics politics
. .
And and
now now
that that
it it
' '
s s
become become
this this
great great
moral moral
divide divide
, ,
there there
' '
s s
a a
lot lot
of of
evidence evidence
that that
we we
' '
re re
moving move
to to
be be
near near
people people
who who
are be
like like
us us
politically politically
. .
It it
' '
s s
harder harder
to to
find find
somebody somebody
who who
' '
s s
on on
the the
other other
side side
. .
So so
they they
' '
re re
over over
there there
, ,
they they
' '
re re
far far
away away
. .
It it
' '
s s
harder harder
to to
get get
to to
know know
them them
. .
CA ca
: :
What what
would would
you you
say say
to to
someone someone
or or
say say
to to
Americans americans
, ,
people people
generally generally
, ,
about about
what what
we we
should should
understand understand
about about
each each
other other
that that
might might
help help
us us
rethink rethink
for for
a a
minute minute
this this
" "
disgust disgust
" "
instinct instinct
? ?
JH jh
: :
Yes yes
. .
A a
really really
important important
thing thing
to to
keep keep
in in
mind mind
— -
there there
' '
s s
research research
by by
political political
scientist scientist
Alan alan
Abramowitz abramowitz
, ,
showing show
that that
American american
democracy democracy
is be
increasingly increasingly
governed govern
by by
what what
' '
s s
called call
" "
negative negative
partisanship partisanship
. .
" "
That that
means mean
you you
think think
, ,
OK ok
there there
' '
s s
a a
candidate candidate
, ,
you you
like like
the the
candidate candidate
, ,
you you
vote vote
for for
the the
candidate candidate
. .
But but
with with
the the
rise rise
of of
negative negative
advertising advertising
and and
social social
media medium
and and
all all
sorts sort
of of
other other
trends trend
, ,
increasingly increasingly
, ,
the the
way way
elections election
are be
done do
is be
that that
each each
side side
tries try
to to
make make
the the
other other
side side
so so
horrible horrible
, ,
so so
awful awful
, ,
that that
you you
' '
ll ll
vote vote
for for
my my
guy guy
by by
default default
. .
And and
so so
as as
we we
more more
and and
more more
vote vote
against against
the the
other other
side side
and and
not not
for for
our our
side side
, ,
you you
have have
to to
keep keep
in in
mind mind
that that
if if
people people
are be
on on
the the
left left
, ,
they they
think think
, ,
" "
Well well
, ,
I i
used use
to to
think think
that that
Republicans republican
were be
bad bad
, ,
but but
now now
Donald donald
Trump trump
proves prove
it it
. .
And and
now now
every every
Republican republican
, ,
I i
can can
paint paint
with with
all all
the the
things thing
that that
I i
think think
about about
Trump trump
. .
" "
And and
that that
' '
s s
not not
necessarily necessarily
true true
. .
They they
' '
re re
generally generally
not not
very very
happy happy
with with
their their
candidate candidate
. .
This this
is be
the the
most most
negative negative
partisanship partisanship
election election
in in
American american
history history
. .
So so
you you
have have
to to
first first
separate separate
your your
feelings feeling
about about
the the
candidate candidate
from from
your your
feelings feeling
about about
the the
people people
who who
are be
given give
a a
choice choice
. .
And and
then then
you you
have have
to to
realize realize
that that
, ,
because because
we we
all all
live live
in in
a a
separate separate
moral moral
world world
— -
the the
metaphor metaphor
I i
use use
in in
the the
book book
is be
that that
we we
' '
re re
all all
trapped trap
in in
" "
The the
Matrix matrix
, ,
" "
or or
each each
moral moral
community community
is be
a a
matrix matrix
, ,
a a
consensual consensual
hallucination hallucination
. .
And and
so so
if if
you you
' '
re re
within within
the the
blue blue
matrix matrix
, ,
everything everything
' '
s s
completely completely
compelling compelling
that that
the the
other other
side side
— -
they they
' '
re re
troglodytes troglodyte
, ,
they they
' '
re re
racists racist
, ,
they they
' '
re re
the the
worst bad
people people
in in
the the
world world
, ,
and and
you you
have have
all all
the the
facts fact
to to
back back
that that
up up
. .
But but
somebody somebody
in in
the the
next next
house house
from from
yours yours
is be
living live
in in
a a
different different
moral moral
matrix matrix
. .
They they
live live
in in
a a
different different
video video
game game
, ,
and and
they they
see see
a a
completely completely
different different
set set
of of
facts fact
. .
And and
each each
one one
sees see
different different
threats threat
to to
the the
country country
. .
And and
what what
I i
' '
ve ve
found find
from from
being be
in in
the the
middle middle
and and
trying try
to to
understand understand
both both
sides side
is be
: :
both both
sides side
are be
right right
. .
There there
are be
a a
lot lot
of of
threats threat
to to
this this
country country
, ,
and and
each each
side side
is be
constitutionally constitutionally
incapable incapable
of of
seeing see
them them
all all
. .
CA ca
: :
So so
, ,
are be
you you
saying say
that that
we we
almost almost
need need
a a
new new
type type
of of
empathy empathy
? ?
Empathy empathy
is be
traditionally traditionally
framed frame
as as
: :
" "
Oh oh
, ,
I i
