So so
to to
use use
far far
less less
energy energy
in in
creating create
these these
materials material
. .
I i
say say
far far
less less
, ,
because because
10 @card@
percent percent
isn isn
' '
t t
going go
to to
cut cut
it it
. .
We we
should should
be be
talking talk
about about
half half
, ,
a a
quarter quarter
, ,
one-tenth one-tenth
the the
energy energy
content content
. .
And and
lastly lastly
, ,
and and
I i
think think
perhaps perhaps
most most
importantly importantly
, ,
we we
should should
be be
creating create
materials material
that that
fit fit
into into
what what
I i
call call
nature nature
' '
s s
recycling recycling
system system
. .
This this
recycling recycling
system system
has have
been be
in in
place place
for for
the the
last last
billion billion
years year
. .
I i
fit fit
into into
it it
, ,
you you
fit fit
into into
it it
, ,
and and
a a
hundred hundred
years year
tops top
, ,
my my
body body
can can
return return
to to
the the
Earth earth
with with
no no
preprocessing preprocessing
. .
Yet yet
that that
packaging packaging
I i
got get
in in
the the
mail mail
yesterday yesterday
is be
going go
to to
last last
for for
thousands thousand
of of
years year
. .
This this
is be
crazy crazy
. .
But but
nature nature
provides provide
us us
with with
a a
really really
good good
model model
here here
. .
When when
a a
tree tree
' '
s s
done do
using use
its its
leaves leaf
— -
its its
solar solar
collectors collector
, ,
these these
amazing amazing
molecular molecular
photon photon
capturing capture
devices device
— -
at at
the the
end end
of of
a a
season season
, ,
it it
doesn doesn
' '
t t
pack pack
them them
up up
, ,
take take
them them
to to
the the
leaf leaf
reprocessing reprocess
center center
and and
have have
them them
melted melt
down down
to to
form form
new new
leaves leaf
. .
It it
just just
drops drop
them them
, ,
the the
shortest short
distance distance
possible possible
, ,
to to
the the
forest forest
floor floor
, ,
where where
they they
' '
re re
actually actually
upcycled upcycle
into into
next next
year year
' '
s s
topsoil topsoil
. .
And and
this this
gets get
us us
back back
to to
the the
mushrooms mushroom
. .
Because because
in in
nature nature
, ,
mushrooms mushroom
are be
the the
recycling recycling
system system
. .
And and
what what
we we
' '
ve ve
discovered discover
is be
, ,
by by
using use
a a
part part
of of
the the
mushroom mushroom
you you
' '
ve ve
probably probably
never never
seen see
— -
analogous analogous
to to
its its
root root
structure structure
; ;
it it
' '
s s
called call
mycelium mycelium
— -
we we
can can
actually actually
grow grow
materials material
with with
many many
of of
the the
same same
properties property
of of
conventional conventional
synthetics synthetic
. .
Now now
, ,
mycelium mycelium
is be
an an
amazing amazing
material material
, ,
because because
it it
' '
s s
a a
self-assembling self-assembling
material material
. .
It it
actually actually
takes take
things thing
we we
would would
consider consider
waste waste
— -
things thing
like like
seed seed
husks husk
or or
woody woody
biomass biomass
— -
and and
can can
transform transform
them them
into into
a a
chitinous chitinous
polymer polymer
, ,
which which
you you
can can
form form
into into
almost almost
any any
shape shape
. .
In in
our our
process process
, ,
we we
basically basically
use use
it it
as as
a a
glue glue
. .
And and
by by
using use
mycelium mycelium
as as
a a
glue glue
, ,
you you
can can
mold mold
things thing
just just
like like
you you
do do
in in
the the
plastic plastic
industry industry
, ,
and and
you you
can can
create create
materials material
with with
many many
different different
properties property
, ,
materials material
that that
are be
insulating insulate
, ,
fire-resistant fire-resistant
, ,
moisture-resistant moisture-resistant
, ,
vapor- vapor-
resistant resistant
— -
materials material
that that
can can
absorb absorb
impacts impact
, ,
that that
can can
absorb absorb
acoustical acoustical
impacts impact
. .
But but
these these
materials material
are be
grown grow
from from
agricultural agricultural
byproducts byproduct
, ,
not not
petroleum petroleum
. .
And and
because because
they they
' '
re re
made make
of of
natural natural
materials material
, ,
they they
are be
100 @card@
percent percent
compostable compostable
in in
you you
own own
backyard backyard
. .
So so
I i
' '
d d
like like
to to
share share
with with
you you
the the
four four
basic basic
steps step
required require
to to
make make
these these
materials material
. .
The the
first first
is be
selecting select
a a
feedstock feedstock
, ,
preferably preferably
something something
that that
' '
s s
regional regional
, ,
that that
' '
s s
in in
your your
area area
, ,
right right
— -
local local
manufacturing manufacturing
. .
The the
next next
is be
actually actually
taking take
this this
feedstock feedstock
and and
putting put
in in
a a
tool tool
, ,
physically physically
filling fill
an an
enclosure enclosure
, ,
a a
mold mold
, ,
in in
whatever whatever
shape shape
you you
want want
to to
get get
. .
Then then
you you
actually actually
grow grow
the the
mycelium mycelium
through through
these these
particles particle
, ,
and and
that that
' '
s s
where where
the the
magic magic
happens happen
, ,
because because
the the
organism organism
is be
doing do
the the
work work
in in
this this
process process
, ,
not not
the the
equipment equipment
. .
The the
final final
step step
is be
, ,
of of
course course
, ,
the the
product product
, ,
whether whether
it it
' '
s s
a a
packaging packaging
material material
, ,
a a
table table
top top
, ,
or or
building building
block block
. .
Our our
vision vision
is be
local local
manufacturing manufacturing
, ,
like like
the the
local local
food food
movement movement
, ,
for for
production production
. .
So so
we we
' '
ve ve
created create
formulations formulation
for for
all all
around around
the the
world world
using use
regional regional
byproducts byproduct
. .
If if
you you
' '
re re
in in
China china
, ,
you you
might might
use use
a a
rice rice
husk husk
or or
a a
cottonseed cottonseed
hull hull
. .
If if
you you
' '
re re
in in
Northern northern
Europe europe
or or
North north
America america
, ,
you you
can can
use use
things thing
like like
buckwheat buckwheat
husks husk
or or
oat oat
hulls hull
. .
We we
then then
process process
these these
husks husk
with with
some some
basic basic
equipment equipment
. .
And and
I i
want want
to to
share share
with with
you you
a a
quick quick
video video
from from
our our
facility facility
that that
gives give
you you
a a
sense sense
of of
how how
this this
looks look
at at
scale scale
. .
So so
what what
you you
' '
re re
seeing see
here here
is be
actually actually
cotton cotton
hulls hull
from from
Texas texas
, ,
in in
this this
case case
. .
It it
' '
s s
a a
waste waste
product product
. .
And and
what what
they they
' '
re re
doing do
in in
our our
equipment equipment
is be
going go
through through
a a
continuous continuous
system system
, ,
which which
cleans clean
, ,
cooks cook
, ,
cools cool
and and
pasteurizes pasteurize
these these
materials material
, ,
while while
also also
continuously continuously
inoculating inoculate
them them
with with
our our
mycelium mycelium
. .
This this
gives give
us us
a a
continuous continuous
stream stream
of of
material material
that that
we we
can can
put put
into into
almost almost
any any
shape shape
, ,
though though
today today
we we
' '
re re
making make
corner corner
blocks block
. .
And and
it it
' '
s s
when when
this this
lid lid
goes go
on on
the the
part part
, ,
that that
the the
magic magic
really really
starts start
. .
Because because
the the
manufacturing manufacturing
process process
is be
our our
organism organism
. .
It it
' '
ll ll
actually actually
begin begin
to to
digest digest
these these
wastes waste
and and
, ,
over over
the the
next next
five five
days day
, ,
assemble assemble
them them
into into
biocomposites biocomposite
. .
Our our
entire entire
facility facility
is be
comprised comprise
of of
thousands thousand
and and
thousands thousand
and and
thousands thousand
of of
these these
tools tool
sitting sit
indoors indoors
in in
the the
dark dark
, ,
quietly quietly
self-assembling self-assemble
materials material
— -
and and
everything everything
from from
building build
materials material
to to
, ,
in in
this this
case case
, ,
a a
packaging packaging
corner corner
block block
. .
So so
I i
' '
ve ve
said say
a a
number number
of of
times time
that that
we we
grow grow
materials material
. .
And and
it it
' '
s s
kind kind
of of
hard hard
to to
picture picture
how how
that that
happens happen
. .
So so
my my
team team
has have
taken take
five five
days-worth days-worth
of of
growth growth
, ,
a a
typical typical
growth growth
cycle cycle
for for
us us
, ,
and and
condensed condense
it it
into into
a a
15-second 15-second
time time
lapse lapse
. .
And and
I i
want want
you you
to to
really really
watch watch
closely closely
these these
little little
white white
dots dot
on on
the the
screen screen
, ,
because because
, ,
over over
the the
five-day five-day
period period
, ,
what what
they they
do do
is be
extend extend
out out
and and
through through
this this
material material
, ,
using use
the the
energy energy
that that
' '
s s
contained contain
in in
these these
seed seed
husks husk
to to
build build
this this
chitinous chitinous
polymer polymer
matrix matrix
. .
This this
matrix matrix
self-assembles self-assembles
, ,
growing grow
through through
and and
around around
the the
particles particle
, ,
making make
millions million
and and
millions million
of of
tiny tiny
fibers fiber
. .
And and
what what
parts part
of of
the the
seed seed
husk husk
we we
don don
' '
t t
digest digest
, ,
actually actually
become become
part part
of of
the the
final final
, ,
physical physical
composite composite
. .
So so
in in
front front
of of
your your
eyes eye
, ,
this this
part part
just just
self-assembled self-assembled
. .
It it
actually actually
takes take
a a
little little
longer longer
. .
It it
takes take
five five
days day
. .
But but
it it
' '
s s
much much
faster faster
than than
conventional conventional
farming farming
. .
The the
last last
step step
, ,
of of
course course
, ,
is be
application application
. .
In in
this this
case case
, ,
we we
' '
ve ve
grown grow
a a
corner corner
block block
. .
A a
major major
Fortune fortune
500 @card@
furniture furniture
maker maker
uses use
these these
corner corner
blocks block
to to
protect protect
their their
tables table
in in
shipment shipment
. .
They they
used use
to to
use use
a a
plastic plastic
packaging packaging
buffer buffer
, ,
but but
we we
were be
able able
to to
give give
them them
the the
exact exact
same same
physical physical
performance performance
with with
our our
grown grow
material material
. .
Best good
of of
all all
, ,
when when
it it
gets get
to to
the the
customer customer
, ,
it it
' '
s s
not not
trash trash
. .
They they
can can
actually actually
put put
this this
in in
their their
natural natural
ecosystem ecosystem
without without
any any
processing processing
, ,
and and
it it
' '
s s
going go
to to
improve improve
the the
local local
soil soil
. .
So so
, ,
why why
mycelium mycelium
? ?
The the
first first
reason reason
is be
local local
open open
feedstocks feedstock
. .
You you
want want
to to
be be
able able
to to
do do
this this
anywhere anywhere
in in
the the
world world
and and
not not
worry worry
about about
peak peak
rice rice
hull hull
or or
peak peak
cottonseed cottonseed
hulls hull
, ,
because because
you you
have have
multiple multiple
choices choice
. .
The the
next next
is be
self- self-
assembly assembly
, ,
because because
the the
organism organism
is be
actually actually
doing do
most most
of of
the the
work work
in in
this this
process process
. .
You you
don don
' '
t t
need need
a a
lot lot
of of
equipment equipment
to to
set set
up up
a a
production production
facility facility
. .
So so
you you
can can
have have
lots lot
of of
small small
facilities facility
spread spread
all all
across across
the the
world world
. .
Biological biological
yield yield
is be
really really
important important
. .
And and
because because
100 @card@
percent percent
of of
what what
we we
put put
in in
the the
tool tool
become become
the the
final final
product product
, ,
even even
the the
parts part
that that
aren aren
' '
t t
digested digest
become become
part part
of of
the the
structure structure
, ,
we we
' '
re re
getting get
incredible incredible
yield yield
rates rate
. .
Natural natural
polymers polymer
, ,
well well
. .
. .
. .
I i
think think
that that
' '
s s
what what
' '
s s
most most
important important
, ,
because because
these these
polymers polymer
have have
been be
tried try
and and
tested test
in in
our our
ecosystem ecosystem
for for
the the
last last
billion billion
years year
, ,
in in
everything everything
from from
mushrooms mushroom
to to
crustaceans crustacean
. .
They they
' '
re re
not not
going go
to to
clog clog
up up
Earth earth
' '
s s
ecosystems ecosystem
. .
They they
work work
great great
. .
And and
while while
, ,
today today
, ,
we we
can can
practically practically
guarantee guarantee
that that
yesterday yesterday
' '
s s
packaging packaging
is be
going go
to to
be be
here here
in in
10 @card@
, ,
000 @card@
years year
, ,
what what
I i
want want
to to
guarantee guarantee
is be
that that
in in
10 @card@
, ,
000 @card@
years year
, ,
our our
descendants descendant
, ,
our our
children child
' '
s s
children child
, ,
will will
be be
living live
happily happily
and and
in in
harmony harmony
with with
a a
healthy healthy
Earth earth
. .
And and
I i
think think
that that
can can
be be
some some
really really
good good
news news
. .
Thank thank
you you
. .
